Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,31.03242728,32.56495519,27.84774855,30.22932234,30.11755925,32.96017775,32.08130081,32.39092368,32.47938652,33.12653209,32.49536701,31.62816957,29.98309308,27.9536956,30.09343646,26.43780527,26.04378486,26.59935438,25.43438846,27.39029097,26.5450473,28.17267797,29.34354881,24.84356591,26.16753013,27.2251353,27.85353131,26.84371112,27.60070416,29.10860959,28.50362987,23.81422195,21.9148488,23.18716783,23.9325566,25.57732155,24.0357539,24.1200917,25.13110514,25.85499931,26.09933565,23.17415671,24.02111648,25.73244258,26.90243866,27.1533072,27.87625819,28.36740919,29.75255958,28.25855752,28.00797337,
Austria,,,,,,,,,,,29.49803269,29.49163993,30.41059634,30.64423702,30.91024378,25.81100363,27.09703242,28.25003478,24.67364813,27.80601308,27.549633,25.13833085,22.99864838,21.74462658,22.5382845,23.04183074,22.43083188,22.68661331,24.0714183,24.89342876,25.05347713,25.36679758,24.65705146,23.77757969,24.40421877,25.35830032,24.92498258,25.05005792,24.86790994,24.87609605,24.52928187,23.92785955,22.1406443,23.12204204,22.76364193,22.71068776,22.32567713,23.13239987,22.79614649,21.02886024,21.64183246,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54843111,3.091317365,-0.6912719653,21.78620084,15.3139741,23.77917331,28.99833128,34.23508999,33.36782324,26.49586234,20.67400013,20.67537061,34.57617725,53.16952354,57.99045755,41.53483729,29.85933705,21.52500837,18.69363085,18.9486398,17.13782661,
Bahamas,,,,,,,,,,,,,,,,,,12.51051893,11.34070159,12.826811,18.2880256,18.84332324,21.46613401,20.33125577,16.34902723,19.1709406,18.42264938,18.79513722,,31.49967342,29.41471889,29.35689582,27.86137022,23.33958603,25.86069346,27.65500146,30.49376559,27.4681982,29.58144953,26.3833453,27.90020532,24.88670945,21.92326641,22.13311035,21.18878616,25.27944303,30.33285176,28.17503458,24.55891249,23.63122868,21.71339313,
Bahrain,,,,,,,,,,,,,,,,,,,,,46.127287,41.61363438,36.27808579,43.85502022,42.58086358,35.64925997,26.62716812,25.45868091,20.19969876,24.6368825,16.42982897,28.59941287,29.41670399,18.30409686,19.6331321,14.60853002,14.40526583,17.44648696,21.42273421,7.905202153,10.29397011,12.19307661,20.18104366,20.90859482,24.86921529,24.41660574,24.39400802,26.99367954,33.22728708,,,
Bangladesh,6.894265787,7.72941154,11.99040846,9.855628615,11.97516613,11.47627511,9.016898253,10.70870413,14.15480137,12.50836376,11.34465691,8.227827315,4.69769646,8.712006873,7.374857236,6.147905816,9.911362055,11.52321779,11.54679854,11.20387211,14.4393913,17.62143939,17.81970476,16.97174682,15.91998154,16.31817405,16.70135975,16.01624821,16.31307279,16.72359471,17.05412214,16.89596849,17.30503485,17.94682661,18.40255659,19.11979335,19.99322178,20.72286618,21.63241709,22.1930558,23.02397236,23.08701681,23.14749946,23.4053086,24.02311178,24.52721422,24.65061883,24.46418015,24.20791085,24.37222997,24.41375017,
Barbados,24.16555407,21.40175219,18.65222623,19.62566845,19.53713671,17.65005086,20.67012742,20.5203525,23.70721049,24.02849741,26.11570248,23.08265078,22.25691347,22.20827978,22.81504687,19.22698178,27.0093886,24.0136876,22.87769784,23.53508493,24.51750929,27.56484209,22.63819095,19.9403635,16.2410987,15.42802585,16.01284881,16.01743435,17.53032938,19.15030347,18.84192815,17.10378939,9.474347059,12.72341739,13.38745873,15.13384905,14.25705775,16.68443074,18.48479726,19.84208513,18.50245255,19.61169254,20.78388696,20.69363512,23.61438102,23.99042897,21.66476267,21.98724101,22.45800026,22.44789839,14.62830028,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.51270208,29.04707233,31.7912383,41.03032517,32.93630712,24.7501981,23.5190201,26.83681083,26.71201808,23.70677128,25.39867306,23.76085994,22.17685159,24.95432766,28.66730144,28.4604662,32.18413716,34.09190318,37.64165103,37.27428694,40.62937981,
Belgium,,,,,,,,,,,28.05435905,27.10566597,25.20963782,26.19112075,28.75336199,25.27864348,25.6045369,25.28057976,25.07846678,24.63827015,25.20543799,21.42572036,20.50102559,17.80565151,18.81099858,18.01273569,17.62198911,18.63674773,20.74988258,22.33015475,23.10896009,21.67941061,21.44425176,20.81719318,20.89396132,20.68324809,20.54320038,20.98560834,21.2061035,21.41579816,22.57600206,21.15344274,19.15913805,19.39559386,20.86664898,21.9092063,22.44388871,22.87777733,24.0058868,19.8793411,20.1939175,
Belize,,,,,,,,,,,,,,,,,,,,,24.10783055,26.04976672,20.75313808,20.21164021,23.54196302,21.61128377,20.36427474,21.93093346,25.37313433,30.29051223,27.18799282,28.80459407,26.08881193,28.36308707,20.55562448,21.71111391,20.31681539,19.94498349,18.79700697,24.597488,28.66238527,25.14294817,22.59613986,18.96292377,17.66748105,18.50583626,18.5746994,19.2881568,25.45815853,,,
Benin,11.42497171,10.96284078,11.10921127,11.61682926,9.734165767,8.777499645,8.77829511,11.825163,12.37465627,12.66318807,11.59238012,10.2856436,13.36363684,13.07596872,18.23111589,19.30209116,16.6521858,17.75093424,16.0640104,19.0221797,15.15656794,15.67675223,27.60441693,17.32151508,12.78031782,8.939973742,13.46444463,12.9269405,15.63323062,11.81714414,14.21035072,14.49611432,13.75730758,15.36895262,15.76709157,19.59826166,17.11584364,18.39405923,16.99780007,17.51001632,18.92963922,19.18413173,17.67261205,18.82586199,18.24431765,19.58876852,18.2,21.4,20.69239123,25.04949911,25.78376355,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8019081,11.50640844,10.04029559,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,34.23474973,36.29858989,40.94700173,39.30075431,44.91397006,44.4510368,40.81334427,41.66407278,34.23582719,32.385607,31.83105677,47.9703734,44.98526051,54.85184823,48.00285431,44.45447246,34.94544296,36.8495352,41.00417425,48.2127284,53.63969316,59.20414508,56.79180648,58.66882529,49.91224548,46.13034007,36.89864831,39.82187016,41.2064485,,
Bolivia,,,,,,,,,,,16.38530288,16.83571538,20.13755981,20.41704586,14.58144958,23.02256952,19.184547,19.1573373,24.69482195,20.83139342,16.63760665,16.05104811,15.62400865,13.23822872,19.67160545,19.46430303,13.56248887,13.58406404,13.98077856,11.58755741,12.53193627,15.57776895,16.70433537,16.56377536,14.37119499,15.24400338,16.23722042,19.63196913,23.60651163,18.77185198,18.14347874,14.26843448,16.29467336,13.23207238,11.02170317,14.25362169,13.86533113,15.18665483,17.55274008,16.9712613,17.00701824,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98314602,41.21390245,42,38,28,20.55127814,19.07744021,18.55987259,18.84448303,19.39999631,22,23.88720107,31.05731812,28.2,21,19.5,
Botswana,6.015731622,7.399423968,8.799217309,9.807266495,12.28295118,13.26219512,21.81571816,25.44620031,30.73684211,38.25382538,45.32269761,50.44052863,50.94413847,50.89997049,47.87208464,41.89986674,33.77125193,33.46482577,36.36363636,37.21939539,40.05214966,43.40567613,37.65848524,29.38912004,29.44353062,22.99441288,21.48534526,15.50083346,23.58451549,36.10818292,37.36697697,33.2101747,30.41930063,28.77961192,26.46405879,24.6352008,24.99128433,28.18521998,32.60463929,23.95660698,31.75985126,25.77437218,26.95894484,29.99721883,33.1506349,26.29175055,24.01788254,25.81566717,32.31121975,24.39138178,28.33456504,
Brazil,19.67803777,21.35613776,19.60466169,19.25988336,18.60239778,20.0239246,19.8928913,16.91871438,18.91756144,22.35219854,20.54203209,21.11791447,21.17081376,23.24408982,25.38869011,26.83887315,23.11621066,22.0691466,22.97322186,22.7644531,23.34647495,23.08412049,21.09376443,16.68204411,15.74056011,19.20075347,19.09310889,22.30466061,22.71852835,26.90278706,20.16660691,19.76910086,18.9346033,20.84635878,22.14541576,18.02729992,17.04003038,17.4263525,17.02841388,16.37661972,18.25013014,18.02853158,16.19613188,15.77077652,17.1174011,16.20569485,16.7558422,18.32761943,20.68555846,16.50848349,19.24954911,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.58289706,18.68045761,20.62548866,23.25752018,29.6502864,28.65609483,36.66169896,41.31429364,35.49306725,33.80530973,21.38001796,13.05791963,14.42999264,21.25972438,15.05546119,13.48643855,11.36670423,10.43740192,12.9848741,13.66807367,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,33.99635456,35.48781316,34.12952836,32.88992719,33.20335014,32.19727924,35.87634194,32.90384138,34.41743433,33.10905608,25.58877994,22.59764256,19.88894394,15.28203348,9.391171799,15.69860376,9.042187734,10.2156664,16.83729523,17.75469749,17.97975913,20.23787315,19.68087909,21.15532768,22.74587408,27.55209217,32.14081981,34.09322866,37.54169644,29.36580534,24.9233373,
Burkina Faso,8.519938784,8.654232473,8.707800706,8.801236907,9.639108392,8.711953067,7.97208405,8.022715561,8.270184961,9.610307137,10.27003377,14.87390021,17.27749444,20.63106891,25.52317182,23.104222,22.84450388,19.56245444,18.31893381,16.40009385,15.10695057,14.13092964,17.92663493,17.13226586,14.16662848,22.95327815,20.1365916,19.22265641,18.78891127,20.41001717,18.91339663,21.2456099,19.30243347,19.45939739,27.16616165,23.92534288,24.94470712,27.39177838,24.17456283,18.30478158,16.754324,13.77853782,16.01202746,17.44452771,15.34219039,20.45327477,18.11479366,,,,,
Burundi,6.25,6.896551985,7.377049259,6.015037644,5.369127345,5.766593118,6.767566522,6.851483879,8.189644417,8.288770053,4.530794619,7.607678643,3.181696102,5.311823807,4.052299601,7.580076434,9.088417504,11.19641139,14.03688618,14.91621548,13.88576799,17.0061756,14.45739664,22.82679966,18.37083548,13.86112933,11.64423,22.61237161,15.03513991,16.4628868,14.53697686,14.40976319,10.63829807,11.54014928,6.974127151,6.363436388,8.209806157,6.096849475,6.771614193,5.88493632,6.141878669,6.221454545,6.439787889,10.61223532,13.29960577,10.77460674,16.37734665,,,,,
Cambodia,20.17937082,17.77777798,18.18181798,17.64705764,15.69343188,13.48684211,18.125,14.83679536,14.20911508,13.90887299,12.53132824,,,,,,,,,,,,,,,,,,,,,,,11.8804071,11.93855081,14.55231684,14.72005581,15.02049984,11.83376966,16.98372802,17.5289932,18.67949495,18.12451685,20.09876033,16.20760932,18.46570017,20.55051352,21.19729133,18.61672786,21.35991038,17.3676572,
Cameroon,,,,,,12.53132773,13.34289844,13.76465561,13.3590735,10.69556094,16.02765632,16.64710262,18.24678109,19.89145697,17.08068633,19.97386587,17.58845254,28.48920856,31.2488127,28.52036987,20.98283879,27.18770913,24.79631653,25.97784573,25.94366095,24.88494696,25.51283406,24.69976327,20.89731229,17.09601256,17.81197837,16.67265481,14.30538628,13.67116032,12.5711646,13.29647718,14.24025816,15.13044719,15.04539559,14.85914683,16.72088548,20.31131529,19.78918328,17.49581151,18.90958248,19.06830027,16.81491345,17.71963174,,,,
Canada,,,,,,25.69966574,26.38662076,23.6221409,22.75676022,23.56102585,21.51942248,22.45476435,22.56875893,23.91746022,25.71248653,24.97566539,24.58373751,23.6490431,22.83881296,24.54529521,22.98387353,24.81142727,19.29136864,19.772914,20.5088282,20.91086524,21.09743416,22.08841952,22.85832189,23.2843972,20.91125292,18.78395079,17.79765304,17.84637726,18.87236938,18.75889964,18.18778201,20.73333613,20.38770543,20.30218609,20.23087991,19.18129901,19.29517176,19.99027346,20.72327497,22.07505213,23.02081143,23.23970688,23.23773339,20.86658797,22.20443332,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,32.80914659,28.46868843,22.20506623,23.93659192,22.90150036,26.22236573,34.45319114,39.74204943,43.35219909,42.43491545,24.11061952,22,19.8,20.9,30.70654812,31.67907244,35.82004388,31.02332624,39.46584783,36.03251127,38.04582664,46.97814493,46.56738922,39.4090871,47.12641008,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,19.63635567,21.19205262,23.27869315,21.76655695,22.12643573,21.40921409,21.13401804,21.83623325,16.21911622,16.365681,17.98367252,18.74860643,18.43350915,20.84581973,15.5018227,13.80130839,11.96626008,11.55393601,10.88687067,9.794197907,7.0071256,8.73940579,6.669374561,11.83265505,12.30714186,15.38406105,12.80344608,12.51886782,10.36204342,11.51183305,12.30827883,12.40534319,12.16126152,10.17067129,11.7,13.5,4.303142126,9.8,13.54,14.4,9.518244366,8.358453489,8.957956948,6.109717636,6.162549046,8.912870219,9.244936334,8.96267854,11.63004505,10.75937173,,
Chad,13.5736312,14.78004411,11.67230964,15.12399384,14.98532113,11.0319398,13.15273156,15.65616526,15.04346061,16.85434009,16.09262265,15.89077098,14.7506385,15.23033655,18.47476487,20.52805595,17.05431384,18.51475566,16.23124529,,,,3.161763922,2.732897289,4.830397235,7.302372478,8.132939993,9.129483064,7.035497301,8.031074369,6.75350746,6.543070253,7.468113924,9.759301855,16.63991107,13.1924876,20.25016049,19.48477886,16.93422051,13.6915006,23.27390222,40.25037692,60.15617303,52.12177433,24.28387192,17.95000669,14.35129621,18,24.8,33.9,36.8,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,17.41291235,18.16325874,15.29449068,17.93807031,17.36220654,18.26268969,18.91891892,18.75,18.99280576,17.80394382,19.20418641,17.20150111,14.70367904,10.46906851,24.83903304,16.96719333,15.6937527,17.34657237,21.02981049,21.05663838,21.02239287,22.69685353,11.28212024,9.854208683,13.676586,17.19337601,18.88442619,22.17000438,22.69063666,25.26928152,25.18263533,22.38074102,24.13193346,26.93107212,24.85234007,26.1848197,27.38275399,27.7225986,26.89880433,20.90257878,21.85588485,22.08769961,21.65663861,21.10673465,20.03952245,22.19701822,20.05599932,20.48471112,25.23752656,18.8720459,21.4463234,
China,35.5392429,18.11270978,10.51358136,16.47834389,20.09502422,23.16590564,27.13329902,19.44077487,19.1312161,19.84364563,29.02427671,29.5470564,27.40280064,29.43953462,29.01251207,30.16781451,27.9281288,28.4927794,37.80039423,36.40279624,35.19227385,33.32651893,33.51617387,34.19591796,34.89269017,38.34849157,38.36324354,37.00263712,37.89321137,37.26805671,36.14244849,36.12239745,37.4628113,44.48334319,42.20329101,41.89595303,40.44152151,37.94714649,37.10125352,36.74465024,35.11863794,36.26769229,37.86585372,41.20296307,43.26314676,42.09900921,42.97175261,41.73773458,44.04627105,48.24342714,47.77912373,
Colombia,20.20569071,20.43646178,18.0789469,17.64466181,17.4590976,17.66878956,20.43191151,18.46473454,21.16349328,20.47283126,20.33622598,19.24483342,17.93116488,18.09508227,21.40304841,17.03249529,17.66021062,18.71432596,18.2520477,18.16932329,19.06112856,20.62767574,20.50215873,19.90742447,18.95459849,19.02984871,18.00116265,19.06076931,20.64553927,18.49046127,18.50394236,15.94992937,16.71488077,21.28107018,25.53844675,25.79874333,22.15093866,20.92375062,19.72807918,12.88013417,15.04585427,16.10250247,17.04870863,18.64528673,19.42424276,20.22543362,22.16591751,22.65840347,22.67369537,22.37156934,23.7347088,
Comoros,,,,,,,,,,,,,,,,,,,,,33.16854654,26.98785308,31.38391367,30.2640241,44.9603974,32.7922089,23.58805741,25.246041,21.83474699,17.39514471,19.66683315,13.24141893,20.52286469,19.30405188,20.68363693,19.45698751,19.42057174,15.84774788,17.95431413,14.95981787,10.09312593,10.05250217,11.01100021,10.30506582,9.358424656,9.309161381,9.626672527,11.17103263,14.28145377,12.39819816,,
"Congo, Dem. Rep.",6.931732405,7.140554726,3.964220861,18.05167607,18.50968105,16.86320754,8.326573574,12.01961237,11.24759028,12.8268046,14.92225725,18.39277913,18.64687323,16.72023298,17.09391979,17.82065143,14.47070908,21.393626,11.93044342,12.73980475,9.956569874,10.50102455,8.319313546,9.324722476,10.49215948,12.50219473,13.1988745,14.16337901,14.4286555,14.30273729,9.05003681,5.575812728,6.900063996,1.763037628,7.899999716,9.373601742,27.85181838,2.50000004,2.10000006,3.087372661,3.453719205,5.204593529,8.955779813,12.23162632,12.7887407,14.19485357,13.04027987,19.5480806,23.8582876,28.7153293,,
"Congo, Rep.",53.18682676,64.65345369,36.29847936,22.74108547,20.31055595,22.4279805,30.25829314,31.50684419,29.58198369,26.70537669,24.21051823,26.60653567,29.0821303,31.95364874,35.06032774,39.11192105,31.00388583,26.59574128,27.3323232,25.96074348,35.76581576,48.16318996,59.73239437,38.43843856,30.39123631,30.28430264,29.45062753,19.72836302,18.61911988,14.1282962,15.90551181,20.52816443,21.59853168,29.49611893,31.24109288,36.5745124,26.95237362,22.23338497,26.68437527,27.77202788,22.6259542,26.35663721,23.40759656,26.09032417,22.52034084,20.19022881,21.63245666,21.81255483,18.30297919,22.51301909,20.5231699,
Costa Rica,17.50043114,18.87822555,19.45333813,18.79442794,15.99412162,19.50362654,19.05839168,19.35734438,18.02719058,20.02899957,20.5364392,24.3365573,22.02706893,23.9933478,26.73865237,21.64109839,23.66219184,24.26976919,23.46136137,25.31401404,26.57473005,29.02664742,24.68609333,15.88234583,14.70076145,13.75140567,16.0709983,19.53554362,17.92206413,17.74297784,18.47804845,17.93518547,20.23571757,20.88383462,20.04794496,18.23942084,15.95764235,18.08430718,20.46619611,17.03124484,16.91174258,20.30787659,22.62124997,20.64338869,23.12982969,24.34646395,26.41720508,24.66497629,27.57910132,15.86931839,19.97569472,
Cote d'Ivoire,16.72493471,19.84098342,13.8895678,17.78283023,21.84455322,21.87222784,21.82034644,19.78228192,17.81210512,19.52529039,22.49565293,21.8019049,20.87534816,23.18011006,22.01623856,22.44457888,22.98922739,27.33238035,29.76217101,27.96544933,26.53611796,25.94047338,23.18829037,18.41277178,11.6507777,12.95138474,12.06341005,12.31724466,12.65035275,8.903955949,6.688803338,7.358001161,6.923884603,9.793071084,13.71571807,15.59844581,12.11207057,14.42436213,13.33890281,13.11731988,10.78646838,11.16156324,10.06611298,10.1162178,10.80158938,9.735619591,9.333577449,8.685181597,10.14112918,11.35843605,13.85325249,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.40090681,10.47139406,13.41541949,15.45413528,17.37321432,15.70106792,19.1160274,24.78368775,20.43974932,20.37886967,19.06145481,21.4957211,25.25922211,27.28000087,26.73241919,27.30006836,29.42819791,29.42298351,30.70276727,27.05466042,23.38428639,
Cuba,,,,,,,,,,,25.92694129,25.93697337,25.93454593,25.91624302,25.89200899,25.95493519,25.98713372,25.92240872,25.82472847,25.77083889,26.2695661,26.14812643,25.59878372,25.3363272,25.501391,28.76320216,25.54092805,22.85207022,24.02404459,26.32670997,24.80249227,13.99548255,6.544959278,6.394382058,5.242130815,7.014275133,15.89699928,14.95296891,13.20298719,11.85603537,12.50507113,11.46439923,9.196377536,8.50354442,8.801710869,10.77403258,11.72877075,10.1836921,14.84470334,10.3167059,11.78170045,
Cyprus,,,,,,,,,,,,,,,,22.52918288,26.56483977,34.88536989,37.21618954,38.72657987,37.81401919,33.81278539,31.72016881,30.11348556,33.59503354,30.34003377,25.92291888,25.53084015,27.45628494,30.8919301,27.04542662,25.84215052,28.69896007,24.08770269,25.51565453,21.91678694,21.60604969,19.36299657,19.1895282,17.03028612,18.32530881,16.43511001,18.75940499,17.39812595,20.17335038,19.92141244,20.7576448,22.43214308,24.22051252,17.34332586,18.44259948,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15170872,23.04324755,26.62966462,26.84824903,29.75260064,32.57257648,33.68508538,30.470975,28.39473214,27.09413749,29.46853349,29.50603134,28.56467535,27.17237526,27.51099382,25.67836582,26.78904868,27.01422163,25.30882403,21.74623159,22.59253008,
Denmark,,,,,,,25.42189631,24.95287338,24.54513019,26.27197726,26.17717735,25.2141787,26.12362413,27.03885156,26.01356006,21.88641428,24.89981895,23.91598616,22.66548418,22.79781781,19.89767738,16.6517853,17.81676604,17.84466263,20.10683807,21.55672742,23.36233137,21.39217721,20.23883088,20.60570581,19.93711994,18.66776156,17.8726995,16.24309477,17.6258643,19.50693692,19.03677274,20.81036494,21.53702041,19.83612326,21.1817494,20.36378856,20.40755075,19.63069604,20.35957386,20.82546787,22.71399845,23.36815977,22.36600135,17.59078664,17.16338548,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14784757,14.14784971,19.20763644,9.162515424,6.112137875,8.438206566,9.071701122,9.571729202,12.1897847,8.616949032,8.790969864,7.869903451,10.04970739,14.41306409,21.51214361,18.97180742,29.55834462,37.48747453,,,,
Dominica,,,,,,,,,,,,,,,,,,21.90427699,22.97474582,35.18394649,50.86169079,33.93366519,30.89338953,28.06765524,36.83993569,28.48448418,22.30998017,23.25438237,31.06113429,41.21368559,40.79319337,31.60433515,29.54707779,26.76990821,26.91064589,32.35906933,27.45927318,31.05739817,26.97229887,27.70092682,23.14477555,18.89983589,15.84808064,18.9820189,20.8625085,23.35471235,23.23382667,23.45859349,25.39277483,24.122694,22.55961261,
Dominican Rep.,12.61154555,8.867143527,11.90389562,16.01828449,18.32098513,9.773674488,15.85526933,15.52957093,15.37392226,18.13084159,19.13962487,17.85285646,19.70512788,22.0966444,23.3490566,24.51032169,22.54137729,21.78936507,23.67208512,25.35462282,25.12441538,23.61359721,19.96484195,21.06239672,21.32927986,17.59607206,19.77593869,24.22914147,24.55061338,28.47569324,25.14078441,16.72840406,18.08059374,18.45213252,19.18291536,17.71461716,17.94611803,18.69217659,23.62706838,22.4474051,23.27310271,21.05535486,21.16716057,14.97433045,14.91367566,16.50955586,18.4050555,18.92258107,18.30864172,14.82394235,16.47490108,
Ecuador,12.72850558,12.82887007,11.64743365,11.76046634,11.64040459,11.23686396,11.55288878,13.15969785,11.42490372,14.21173763,15.53166069,20.32118511,16.31279076,16.62167415,16.3270499,20.15487229,20.98874014,19.99422169,23.1382643,22.16193656,22.2278267,20.43241787,21.6105545,16.99901647,16.34302758,15.76679367,18.69966017,22.67179753,22.19045618,24.67709807,20.91585383,18.98086944,18.23867945,20.4303932,21.87045698,21.55872414,19.70224221,21.4598914,25.26880717,14.72756926,20.11199863,24.27153309,26.80219702,20.97916754,23.29532579,23.59040229,23.78045285,24.29122089,27.88820998,23.34065096,26.17646458,
Egypt,13.30376497,15.17259265,16.29715361,18.01093863,17.9268766,17.69155092,16.8121922,14.42387747,12.62859968,12.95740837,13.94846979,13.22699071,12.33959692,13.14662566,22.47061634,33.36527364,28.39304269,29.17066002,31.65900801,32.84533482,27.51409156,29.50923912,30.07554815,28.72982991,27.48386097,26.67511717,23.70685163,26.08277516,34.91936939,31.77451276,28.81283925,21.16960362,19.48238677,19.84536082,20.62857143,20.14705882,18.1342633,17.56299361,21.50313152,21.6189857,19.55307263,18.26038472,18.26339389,16.88622756,16.93797642,17.97585894,18.7307755,20.85123523,22.38972641,19.19017463,18.88778386,
El Salvador,15.81841432,13.66151138,12.5141627,13.05886249,17.36783366,15.18024038,16.57629699,14.7715634,11.53937511,13.11225446,13.24718412,15.59370064,14.16452969,18.27888523,22.6258807,22.12173247,19.61963284,23.415509,26.07450337,18.08502112,13.27379196,14.24415147,13.22141261,12.05513853,11.96045118,10.84582569,13.25116996,12.36145321,12.79174745,15.32755721,13.86059106,15.40702978,18.52806748,18.58019731,19.69226246,20.04455709,15.18640387,15.11548505,17.55341555,16.42622265,16.92608597,16.6711767,16.38742687,16.98113208,16.20237621,16.08302425,16.82901454,16.31144646,15.20087723,13.4340061,13.29219833,
