Total reserves (% of total external debt),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ghana,,,,,,,,,,,7.451784752,7.895166863,17.2131218,25.68210909,13.3615184,20.0217517,15.89669163,17.02412246,25.54719942,31.28610903,23.51221457,17.44335686,21.17849338,17.48608518,22.31336812,24.61018521,22.7178967,10.0975341,10.15387564,13.23242569,8.282912789,15.50118637,9.709920963,11.29944049,13.51200887,14.62855176,16.07317531,10.8122958,7.236711582,8.329642224,5.050782358,5.927118889,9.136612284,19.42245963,24.77147323,27.98088984,68.33889736,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,24.60689192,55.72749045,72.10141174,63.76426144,65.45497994,62.95263261,90.51749661,101.1867325,71.61829429,59.79969463,65.8314493,50.10086341,21.17791624,24.93433633,26.41629214,35.83845451,33.02264947,29.54935288,19.43892456,17.35646696,15.87244259,14.25898724,22.38851161,18.19153181,24.20006376,28.91918258,25.58590972,36.88312193,27.34868673,37.44423177,28.62618159,26.68772981,23.99898844,22.10920931,28.18274969,23.21969469,20.02832948,20.58405749,19.02215208,23.10787896,20.68730208,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,49.87554103,54.02220373,79.75990125,112.0859131,105.7564574,109.4158787,145.7117472,114.477748,104.4875204,91.75105735,63.78349345,27.95393074,22.55739695,22.44153002,18.31513299,17.62256518,20.15875435,19.38044727,15.94189568,20.12128257,12.71650916,31.40051877,29.1687347,32.89373096,30.37125315,23.87070325,28.340597,34.05385768,38.39727303,33.1038506,46.86078833,54.84725384,53.5431006,57.55428211,36.25099973,34.39457354,32.94861468,29.61321132,31.506921,37.81351808,41.48308644,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52919449,3.720204341,4.674318167,2.822866337,2.670833175,2.693114321,3.456660662,6.666965139,6.263302194,5.465511184,7.105745036,8.488926232,8.864833692,3.605037967,3.351751432,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1685235416,2.138037447,2.820401523,3.500144877,2.623034888,1.949979983,2.330734372,1.800587427,2.168211259,2.264187712,1.231939405,3.659305954,3.685288412,3.758719096,7.048900529,7.693215505,10.57958498,3.101009195,6.483350502,7.875996996,7.91597068,10.45549134,11.47402874,15.08517434,14.2906732,
Guyana,,,,,,,,,,,24.66687625,16.71117105,23.2196887,7.835093383,28.33238148,31.174717,6.503216273,4.422608409,9.649514822,2.583599593,1.521883973,0.7595236571,1.056993965,0.5209073259,0.4473078946,0.4255075674,0.5427306952,0.4785444076,0.2137640785,0.8057156928,1.463067365,6.300061053,9.842714387,12.59170906,12.05847356,12.70924683,20.54013611,19.86425567,18.70462906,18.9905912,22.34997235,21.93438436,20.73927969,19.29490173,17.0134225,20.71421129,24.504423,42.55366659,42.9418491,60.90208692,57.77741423,
Haiti,,,,,,,,,,,10.04367832,26.0439341,41.16221328,41.55605099,18.14434469,9.410077941,17.15887074,16.06607493,15.64511575,20.52371541,7.461510209,6.561909886,2.114996578,2.547764149,2.616348823,1.61368025,3.053893567,2.911494194,2.388123798,2.371784404,1.109027111,5.297277456,4.113469737,4.773780488,7.912928947,24.21007657,24.54278182,20.13510017,25.03752512,22.2382162,15.56293491,11.29329315,6.570446066,4.651790041,8.771282226,10.08010112,16.87408764,28.67420651,27.80982825,59.61667657,271.824451,
