"Suicide, age adjusted, per 100 000 standard population",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.076667,4.933132,,,4.419733,4.354987,4.046421,4.041069,4.360628,3.407541,3.398556,4.035575,,3.029489,3.767147,4.243863,4.23626,3.172312,4.040097,2.438867,1.812108,2.636733,,1.574350119,1.574350119
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66385,13.68715,13.01187,12.24476,12.34759,12.39623,11.75019,11.73983,11.17164,10.62603,10.41616,10.44023,10.30427,10.22221,9.719625,9.211085
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.483176,,6.288554668,6.288554668
Greece,,,,,,,,,,,,4.290765,3.351786,3.719273,3.110028,3.191037,3.089904,3.286323,3.424427,3.297191,2.90197,3.066059,2.421791,2.671934,3.139178,2.53475,2.509134,2.942651,2.634506,2.558398,2.851855,2.959483,3.137589,3.33327,3.507659,3.529792,3.379197,3.50369,3.392476,3.300551,2.945486,3.068598,2.76838,3.293962,2.779026,2.922064,2.751279,2.973723,3.03325,2.892445,2.911162,2.503332,2.292947,2.775587,2.52179,2.816705
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68991,,3.576478243,3.576478243
Guatemala,,,,,,,,,,,,,,3.766605,3.561324,3.462687,2.772673,4.762259,5.019979,3.423468,3.976593,4.443132,,,0,,,0.0383766,,1.702128,1.591387,0.7140864,,,0.9041516,,3.186091,3.803987,2.704049,2.403,2.316778,2.309885,2.585601,2.376221,1.827944,2.733798,2.135659,2.18534,2.405913,2.756548,1.975233,2.232231,2.875398,2.637938,2.441434,2.234896
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.559197,,7.443826199,7.443826199
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.160841,,7.563692093,7.563692093
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03666,,35.75287247,35.75287247
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.327544,,1.519248009,1.519248009
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.136425,,7.060184479,7.060184479
Hungary,,,,,,20.56651,19.2651,21.22462,23.01719,25.01546,24.0992,24.43875,23.80812,25.57378,26.82395,27.76844,27.2135,28.61994,30.45475,29.73649,30.75247,31.83216,32.43127,32.05293,35.13136,33.18042,34.7974,34.41054,37.23392,38.48032,39.0257,39.33583,37.30019,39.79675,39.57996,38.0765,38.7937,38.58114,35.17373,35.27217,33.45535,32.32246,32.48295,29.84571,29.13849,26.65895,26.95442,25.09564,25.77442,26.81863,26.17464,23.24695,22.31117,21.50005,21.30929,20.16201
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5195,,11.42618084,11.42618084
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.10727,,18.58382607,18.58382607
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20369,,11.39611149,11.39611149
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.735305,,6.021882057,6.021882057
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.374964,,17.03264618,17.03264618
Ireland,2.576427,2.5951,2.139424,2.084519,2.020635,2.36204,2.63976,2.478547,2.666456,2.569155,2.859048,3.269393,1.894674,2.566983,2.102345,1.793074,2.288637,2.499259,2.648572,1.81854,1.872287,3.084166,3.215841,3.622531,4.256819,5.251976,5.984446,5.061938,5.406909,5.977359,7.020132,7.216063,7.418434,8.555241,6.993085,8.168057,8.401656,7.21089,7.815588,8.16873,9.989139,10.1047,10.42875,9.286868,11.02657,11.12525,11.22048,12.51227,13.16638,10.99975,11.80496,12.19669,10.93738,10.78193,10.90351,10.36507
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,8.390099,8.078858,7.223123,6.227843,7.480589,6.553365,5.766298,5.661121,6.476391,5.915869,5.948347,6.992752,6.665237,7.506437,8.217665,6.995386,7.690311,7.780435,7.290931,7.971104,6.60699,5.384706,6.458297,5.37284,6.080658,6.264348,6.154231,5.893611,6.361498,6.088309,5.931845
Italy,,6.741952,6.215577,6.314083,5.898098,6.432989,6.47865,6.252029,5.940865,5.978304,5.758146,5.20988,5.077321,4.884308,5.01984,5.080476,4.755507,5.072762,4.909084,5.000934,5.186391,5.396069,5.260768,5.075356,4.742774,4.90521,4.944437,5.444005,5.600551,6.052142,6.204662,5.824463,6.243677,6.257329,6.417727,6.722367,6.587619,6.28534,6.018995,5.983258,5.978657,6.046276,6.24772,6.412189,6.182798,6.157893,6.348938,6.265896,5.947945,5.439456,5.431369,5.298044,5.34118,5.234479,5.31370163,4.930044509
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1023526,,4.417507172,4.417507172
