Liver Female Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,1,0.93,0.96,0.7,0.7,0.67,1.11,1.2,0.89,0.89,0.93,0.83,0.76,0.74,0.65,0.64,0.76,2.89,2.97,2.68,2.97,2.95,2.88,2.94
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Canada,,,,0.67,0.97,0.75,0.67,0.69,0.7,0.64,0.88,0.59,0.77,0.79,,,,,,,,,,,0.54,0.47,0.6,0.53,0.6,0.54,0.63,0.64,0.57,0.63,0.7,0.62,0.51,0.5,0.5,0.46,0.47,0.48,0.37,0.49,0.59,1.6,1.64,1.68
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.61,1.67,4.56,4.31,4.35,4.24,2.72,1.16,1.18,1.23,1.11,1.21,1.3,1.04,1.1,1.07,4.11,3.88,3.33,2.99,3.14,3.31
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34,1.48,1.5,1.78,2.04,1.24,1.65,1.66,1.88,1.23,1.44,1.58,1.9,4.69,4.43,4.62,,4.61,4.715
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.19,2.36,4.51,3.36,4.86,3.91,4.72,4.35,3.75,4.18,1.45,2.12,1.9,1.22,1.58,1.73,4.79,4.54,4.55,4.07,3.94,4.22
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,3.18,2.94,3.34,2.56,3.24,2.78,2.5
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.76,0.9,1.1,1.48,0.98,1.36,0.92,1.04,1.54,1.2,1.41,,,,1.4,,,1.27,1.28,,1.06,3.52,3.52
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.46,1.7,1.57,1.73,1.63,1.7,1.44,3.56,3.63,3.38,3.66,3.45,3.42,3.34,3.33,3.32
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,2.19,2.25,2.18,2.04,,,,,,,,,,,
Denmark,,,,,,,2.65,2.36,2.48,2.52,1.93,2.12,1.88,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,1.95,2.25,2.25,1.69,2.1,2,1.54,1.08
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,3.73,4.15,2.72,1.58,0.37,0.65,0.82,0.77,0.67,0.52,0.49,0.65,,0.38,0.29,2.76,3.79,4.06,3.88,3,3.71,3.59
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,1,1.18,1.9,1.4,1.01,0.72,1.79,1.95,1.12,2.16,1.25,2.28,1.7,1.6,1.78,1.56,1.55,1.28,7.08,5.65,5.83,6.27,5.23,5.14
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,1.98,,,,2.65,3.13,,,,,,,,3.73,,3.3
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.38,0.75,0.23,,,,,,,0.05,,0.09,,,0.03,4.5,4.39,3.6,4.34,4.96,4.52
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,1.55,2.44,2.55,2.5,1.92
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
Finland,0.49,0.32,0.38,0.31,0.52,0.43,0.34,0.72,0.81,0.8,0.81,1.26,0.77,1.08,,,,,,,,,,,,,,,,,,,0.93,1.05,1.85,2.48,2.2,1.98,2.52,2.07,,2.15,2.78,2.15,2.52,2.53,2.58,2.24
France,0.3,0.31,0.35,0.32,0.32,0.34,0.36,0.32,0.32,0.34,0.32,0.45,0.36,,,,,,,,,,,,0.68,0.6,0.67,0.69,0.79,0.75,0.92,0.86,0.96,0.94,0.97,0.89,0.97,0.96,1.07,1.24,1.14,1.3,1.3,1.29,1.33,2.07,2.17,2.25
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,0.95,0.95,0.75,0.84,0.99,0.98,1.02,1,1.04,1.04,1.75,1.88,1.77,1.66,1.83
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,7.24,7.97,7.46,7.38,7.96,7.09,7.76,6.83,7.24,6.29,6.26,7.46,7.12,7.42,6.71,,,,,,,,6.8,5.04
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,3.97,3.49,4.19,3.57,4.05,3.72,3.58,3.49,3.71,3.71,3.25,3.76,3.8,3.83,3.7,3.69,4.06,3.66,3.13,3.26,3.67,3.2,2.9,2.79
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,0.91,1.46,1.15,0.76,2.15,1.74,0.7,,0.81,0.9,,0.98,1.24,,3.23,1.14,1.12,2.31,1.82,,1.05
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.56,0.35,0.25,0.17,0.27,0.41,0.38,0.63,0.28,0.15,0.04,0.26,0.2,0.13,,0.06,0.25,0.58,0.27,0.1,0.28,0.29,0.23
Israel,,,,,,,,,,,,,,,,,,,,,,,,,1.57,0.68,1.77,0.92,0.3,1.32,0.82,1.61,1.29,1.53,1.29,1.73,1.23,1.34,2.49,1.83,1.36,1.43,1.51,2.12,2.11,1.8,2.4,2.11
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Japan,,,,1.07,1.12,1.23,1.33,1.3,1.15,1.14,1.1,0.88,0.79,,,,,,,,,,,,2.94,2.94,3.13,3.13,3.25,3.32,3.43,3.44,3.52,3.65,3.7,3.88,3.81,3.89,3.93,3.98,6.34,6.32,6.25,6.2,6.26,6.01,5.98,5.79
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.05,0.01,,0.01,0.11,4.96,10.46,10.54,10.56,10.14,9.56,9.27,8.66,8.31,8.42,8.44,8.85
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,5.82,4.54,4.52,9.73,1.2,,,,,,,,,,,,2.22,4.92,1.78,5.92,4.97,8.87,7.5,5.63
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,4.25,3.58
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.18,2.33,1.71,1.73,2.21,1.68
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,1.99,1.41,1.24,1.34
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.31,2.24,1.94,2.39
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
Malta,,,,,,,,,,,,,,,,,,,,,,,,,1.87,2.44,0.95,4.13,0.98,2.14,3.26,0.88,,0.64,0.8,0.18,0.37,0.35,0.45,0.83,1.17,1.69,1.07,1.83,0.9,0.93,1.31,1.9
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,0.43,0.61,0.72,0.49,,,0.15,0.12,,0.26,,,,0.4,0.66,0.16,0.36
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.8,0.8,,1.11,1.13,0.99,1.36,1.37,1.06,0.93,1.42,1.05,1.02,1.16,1.24,1.34,5.54,5.17,5.69,5.52,5.49
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.92,2.83,2.89,2.47,3.69,3.68,2.93,2.76,2.36,2.92,3.62
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.8,0.38,0.42,0.56,0.44,0.51,0.45,0.56,0.51,0.4,0.46,0.49,0.42,0.4,0.42,0.69,1.17,1.28,1.13,1.19,1.24,1.34,1.15
New Zealand,,,,1.01,0.64,,,,,,,0.52,0.88,,,,,,,,,,,,0.87,0.74,0.65,1.06,0.84,0.83,0.44,0.56,0.43,0.77,0.72,0.84,0.81,0.66,0.77,0.77,0.73,0.9,1.01,0.65,0.52,1.45,1.23,1.77
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.51,0.21,0.36,0.91,0.52,1.01,,1.7,4.85,4.55,5.67,5.38,6.48,6.47
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.68,,0.42,0.38,0.39,0.3,0.4,0.36,0.32,0.61,0.49,0.58,1.21,0.94,1.1,0.56
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
Panama,,,,,,,,,,,,,,,,,,,,,,,,,0.69,1.48,1.36,2.44,1.24,0.9,1.46,0.9,0.93,,,,,,,,,1.49,1.77,3.27,2.7,2.1,2.35,2.46
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.14,6.97,6.59,6.22,5.98,5.88,5.47,5.63,5.35,4.8,4.82,4.68,4.28,3.84,3.72,3.62,,,3.14,2.9,2.85,2.64
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.58,0.44,0.29,0.49,0.39,0.28,0.36,0.26,0.5,0.59,0.58,0.46,0.74,0.76,1,0.95,0.98,0.77,0.85,0.87,,1.93
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.7,0.8,0.92,0.71,0.58,0.77,1.11,1.17,1.31,1.52,1.45,1.45,1.74,3.72,3.83,3.66,4.04,3.97,3.51,3.88,3.71,3.64
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,3.51,3.54,2.87,3.45,2.54,2.99,3.14,3.14
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,2.23,1.71,1.35,2.23,1.65,1.02,0.89,1.2,2.18,0.89,1.42,2.74,2.22,2.16,1.97,2.07,2.24
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,3.55,3.5,3.58,3.73,3.6,3.48
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.29,5.22,3.41,0.83,0.66,0.72,1.04,1.18,1.21,1.31,1.15,1.33,1.25,1.34,1.35,1.42,1.31,1.36,2.9,2.72,2.66,2.69
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1.77,,0.92,,1.73,1.53,0.99,0.69,0.37,0.81,1.93,,1.38,,,2.6,2.36,,5.6,1.79,4.03,,1.9
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Sweden,,,,0.71,0.64,0.71,0.56,0.83,0.55,0.6,0.75,0.47,,0.7,,,,,,,,,,,,,,,,,,,1.18,1.37,1.15,1.57,1.06,1.19,1.35,1.39,1.25,1.51,2.46,2.32,2.17,1.9,2.12,1.95
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.5,5.34,5.49,7.21,7.26,8.05,,9.52
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.76,0.98,0.87,1.07,1.03,0.43,0.66,0.62,0.96,0.82,1.04,1.25,1.61,0.99,0.72,0.79,0.55,,0.85,2.39,2.86,1.42,2.94
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
United Kingdom,,,,0.48,0.49,0.57,0.5,0.52,,,,,,,,,,,,,,,,,0.48,0.5,0.47,0.46,0.48,0.52,0.49,0.46,0.51,0.44,0.48,0.43,0.47,0.45,0.3,0.26,0.3,0.34,0.31,0.32,0.38,0.47,1.39,1.45
United States,,,,0.58,0.59,0.56,0.59,0.61,0.52,0.58,0.54,0.51,0.54,,,,,,,,,,,,0.47,0.5,0.44,0.47,0.49,0.49,0.53,0.48,0.49,0.51,0.54,0.63,0.59,0.64,0.61,0.6,0.68,0.65,0.69,0.66,1.76,1.76,1.77,1.78
Uruguay,,,,,,,,,,,,1.97,1.3,,,,,,,,,,,,,0.49,0.39,0.11,0.42,0.49,0.45,0.66,0.33,0.1,0.24,0.34,,,0.18,0.27,0.25,0.27,0.72,0.75,0.47,0.87,1.14,0.8
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
Venezuela,,,,2.71,4.38,4.38,4.1,3.52,2.45,2.48,2.51,2.38,2.41,,,,,,,,,,,,4.06,3.32,1.56,1.24,1.2,,1.05,1.29,1.6,0.9,0.94,0.97,,0.81,0.64,0.64,,4.05,3.91,3.97,3.73,3.28,3.64,3.46
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
