Oil Proved reserves per person (tonnes),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Colombia,2.822124417,2.661769059,2.996760917,3.074950726,5.168816246,5.698960473,7.646037906,8.413704258,8.851710145,8.383018707,8.260734586,7.669155732,12.88877455,12.33739943,12.03075826,11.09783243,10.32287563,9.334846963,8.815140202,8.003023776,6.777440362,6.227506598,5.427298283,5.049757366,4.763435319,4.614592181,4.72282235,4.656916334,4.14141751
"Congo, Rep.",57.48012461,58.01758852,57.9824988,55.09154166,57.82457128,53.12448643,49.05011235,45.92714967,48.04883227,44.09817404,45.43972604,40.77131868,41.0489844,35.66886816,75.01139814,69.50993552,79.94850824,78.6469719,80.55637678,78.05347006,72.5437435,66.12751319,62.07831963,71.34610335,69.50020774,72.13286959,71.47313815,69.62461289,67.79258057
Denmark,11.98119783,9.88063821,8.717082111,8.219815744,12.42010291,11.91175669,10.72300897,10.70943534,14.38381243,16.71533648,15.6868622,16.31187742,19.74200994,18.51985974,19.77707904,23.773954,22.33651839,24.35611961,22.65048153,23.22158558,28.45077899,34.27987765,32.40367924,32.28686919,33.43989665,32.05984682,28.96146981,27.77072248,20.17841083
Ecuador,16.77166552,15.14777773,14.9022036,13.99475929,17.57346987,17.28018165,18.11269075,22.78249559,21.09758894,19.56905614,17.91516137,19.75358953,41.11646819,45.46635195,42.48729841,40.37023593,40.34531585,42.0702833,46.0885019,48.91492988,49.80345782,49.71972956,53.41471256,52.79024562,52.23624286,49.66472804,44.95412456,39.67353122,37.38722175
Egypt,9.330622834,10.89537032,11.04660343,11.46566618,11.30978552,10.35555132,11.89686292,12.10313168,10.78212509,10.61328663,8.321941705,8.294144826,7.887485914,7.699295515,8.672646106,8.194130867,8.102203351,7.670326427,7.579811037,7.439455537,7.01791352,6.958337265,6.558357893,6.434926943,6.486924984,6.546713769,6.432085831,6.916478675,7.251423615
Equatorial Guinea,-,-,-,-,-,-,-,-,-,-,-,108.2516772,105.5079698,102.8494733,100.2707703,180.8741942,176.3965719,172.0613404,167.8767369,163.8440211,230.5923722,312.5437374,301.3516213,344.4988161,464.8261241,465.3802969,443.2105371,421.918683,413.5619262
Gabon,90.0266152,86.54230966,87.17036799,95.87720808,105.5844299,107.6337693,102.5814638,148.7329012,141.0731623,142.393262,125.1252009,124.4891198,106.3260762,89.18061542,183.5887289,187.6742704,348.149816,323.6594568,302.5575036,292.8288053,267.1730269,258.144899,248.8008965,234.091597,219.1420246,209.9354016,205.8100675,298.5136098,292.6239886
India,0.5538279735,0.6864152601,0.6751992655,0.6829432918,0.6939972936,0.6795267881,0.8199922179,0.7643246701,0.7562998758,0.7210615085,0.9044285697,0.9760885981,0.9244541284,0.8970864198,0.872374141,0.8107157357,0.7936600201,0.8001143066,0.7546439959,0.6838918464,0.7160275568,0.7347050694,0.7354797642,0.744717447,0.7127256635,0.7473498201,0.708887696,0.6706089341,0.7027573537
Indonesia,10.7666873,10.01009232,9.370089277,8.778480811,8.194657915,7.662968244,7.381307422,7.252061722,7.125030471,3.977610638,4.137848739,4.437573502,4.131499437,3.74750779,3.549373491,3.487828297,3.274934899,3.333373478,3.450937593,3.478414391,3.385780428,3.334036272,3.050355349,3.007836939,2.715785282,2.616052915,2.697250114,2.433779635,2.260425235
Iran,200.8815565,188.2465999,177.8058522,168.1134677,172.2350655,166.1355899,251.9450842,244.0967085,237.5560993,230.9175453,222.0492819,214.2701351,209.7107464,208.632505,211.3008392,207.3839155,202.2632414,199.4479945,199.1901372,195.6175991,206.7595529,203.452522,266.4279661,270.6767647,268.2203904,275.7163486,274.8317173,271.4505244,267.2458004
Iraq,309.2306949,318.5263951,567.7992972,605.0961022,584.8074337,564.9429513,604.4558679,824.5085032,800.5594995,776.3933614,752.1491117,780.6961543,763.6363535,741.1151218,719.0488102,697.4396754,757.7048637,738.6031654,717.1310049,696.5075085,676.71808,672.295992,653.5338826,635.4900576,618.1750154,601.574556,585.6616395,570.4075086,555.823656
Italy,0.9144276299,0.9135983372,1.004368961,1.039154634,1.493162006,1.528657089,1.546784015,1.637890542,1.928924065,1.837823639,1.837650133,1.983046643,1.543871892,1.538839091,1.805563746,1.838617989,1.799660125,2.011676534,2.009200001,2.11487645,2.021203241,1.945423318,1.889199024,1.975878315,1.881805732,1.884724469,1.936868752,2.059966035,1.96749097
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223.828036,226.2388659,227.0287531,359.0272551,358.4325603,357.71233,356.8590617,357.7370609,356.6239207,355.4180199,354.1297555
Kuwait,6764.3902,6450.530238,6116.391785,5836.423297,7723.407972,7278.344252,7117.239354,6816.441244,6534.334981,6441.066347,6178.404313,13796.24787,9281.888731,8871.033507,8484.189072,8121.011249,7775.210837,7456.106313,7169.707108,6908.609177,6669.429846,6446.05847,6233.587379,6185.343179,6132.580068,5927.5199,5724.710583,5525.55338,5331.40994
Libya,904.6270183,962.1010271,904.9352377,852.7223893,806.1888262,790.4724954,840.6238833,818.4333835,794.7023929,772.2965387,751.2201603,731.3408056,712.5488114,694.8487593,678.2788374,864.542788,858.6251627,845.3947438,825.4561672,805.821428,959.91555,936.9921263,914.6544201,970.4881949,947.6526413,980.943162,958.4689685,986.5360348,964.6970096
Malaysia,17.83738167,22.20653214,24.27295658,23.69672507,26.09694796,30.71078418,30.20429231,27.76142351,27.55038843,29.27951048,27.74193913,28.18420254,37.89819177,36.08638642,36.97956301,36.16724311,33.75880538,33.14726429,30.32998745,32.12235908,28.35239264,27.34867543,27.32530343,28.58778484,29.92133228,29.90726559,29.96387496,30.00424716,29.48380304
Mexico,94.24420175,111.1134642,108.5207858,106.1557874,102.4814845,98.7776385,95.42835427,92.11650581,88.41619267,85.05158094,82.40191106,80.31365542,79.29869847,77.1689436,74.33179761,71.65965874,70.0389865,68.02138661,30.32541782,29.76357451,27.55392307,25.28291985,22.88774464,21.09557735,19.23681488,17.55748805,16.31145563,15.2918581,14.72477023
Nigeria,33.22933472,31.78127569,31.28038772,30.44192412,30.06964414,29.18844836,27.61848476,26.72754597,26.03819612,25.33683337,26.35217118,30.00418332,30.66669077,29.86981904,29.10068828,28.13922589,27.43091375,26.7488655,28.18692366,35.4506715,34.60514563,36.70657958,39.07551141,39.16250401,38.91611987,38.36740212,37.46714757,36.58716887,35.72673015
Norway,121.6075766,131.2949953,127.2958248,126.6124078,162.3983083,182.4370144,200.0995426,213.8240516,236.6052728,244.2314797,265.3178527,280.7802136,308.9805012,301.038876,303.3367124,336.457203,362.3921359,372.7849173,358.8851508,333.7385361,345.2973375,350.3341191,314.2104625,303.8883666,289.8798733,287.9862629,252.8768037,240.8432263,220.3028823
Oman,288.390502,324.1572122,356.4511071,350.208225,373.6931173,374.4220218,358.098377,351.3116278,342.0276519,341.9399384,334.8888365,321.8979468,337.5800435,342.9296652,337.9266893,332.8493515,327.712495,322.4786798,311.567146,320.143964,314.8617129,306.9028349,286.8285607,270.7470455,261.7904253,253.206658,244.991843,237.1435962,229.6523883
Peru,4.956254469,6.776187879,5.833325545,5.129281019,4.831483627,4.152147773,3.6963059,3.2445438,5.641150905,5.484803312,5.219755829,5.102749644,4.880626331,4.761889954,4.848504602,4.622343812,4.341028695,4.179998951,5.078994166,4.74859035,4.75473017,5.064707267,4.855325753,4.668494443,5.433868417,5.266645785,5.288209109,5.334652775,5.267268638
Qatar,2120.16129,1940.744162,1851.644867,1599.754866,1950.01382,1778.723133,1636.74326,1526.356886,1428.335401,1344.236733,847.9017689,809.1578119,804.1276995,764.269813,815.555343,823.1045989,787.9173926,2557.183188,2460.380743,2557.21793,2400.621532,2991.109534,2894.649388,4606.854692,4385.321115,4245.835252,4299.864801,4124.945741,4005.185245
Romania,6.71947958,6.162319265,5.852514541,9.708889535,9.176440073,8.73349749,8.220329511,7.731972646,7.374463506,7.156604224,9.067108313,8.909854081,7.447932575,6.035653233,6.000988624,6.045571222,5.909896965,5.630118846,7.04480369,7.434475179,7.107381146,7.018249117,3.093367146,3.009539696,2.856672153,2.800081702,2.921430631,2.939119923,2.942976857
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.4467507,54.80921866,55.43983992,60.32357817,69.43525732,72.96573863,72.73342306,73.78086364,75.45018778,77.07593594,76.01525429
Saudi Arabia,2292.121509,2154.310613,2005.568674,1933.412133,1857.805621,1754.772575,1653.992976,1582.202289,2283.214107,2240.824503,2211.019067,2182.764854,2102.46606,1974.275968,1865.7547,1786.036138,1728.962586,1680.386122,1633.216966,1594.214175,1548.012917,1503.465691,1462.951742,1424.529915,1397.579883,1364.180764,1333.982059,1305.679431,1278.990798
Sudan,-,1.384658833,2.678836256,1.881308815,1.815225886,1.744677975,1.692928573,1.654940799,1.621213395,1.583722736,1.536764846,1.490939862,1.449645645,1.412806142,1.374491447,1.338685984,1.307041861,1.111617837,1.079797536,1.048853806,2.332965619,2.646314105,2.574258098,22.59247482,22.31629674,21.72897304,21.87751795,21.60834025,21.07928534
Syria,22.57420276,28.41255762,25.36529963,20.40956043,18.8468909,20.04228176,20.35265482,20.86731235,21.10694547,22.69843827,20.62005882,31.84722051,30.95529774,29.63249244,25.93163521,24.38673128,22.7480329,21.20931375,20.26533952,19.74458045,19.44907593,18.95711876,18.12749893,18.57651229,23.91578028,22.18036212,21.67216654,17.65490379,17.26793341
Thailand,-,-,-,-,0.1565527121,0.2895807586,0.2721224361,0.2681063751,0.2642454253,0.5779609107,0.6459615482,0.5365272079,0.4298974564,0.51826628,0.5415758381,0.6841344671,0.5523851956,0.6711649,0.8704612208,0.7964094741,1.13551043,1.277908056,1.502844885,1.077902631,1.12854383,0.9626659927,0.9729049701,0.9663775744,0.9601043453
Trinidad and Tobago,71.41996473,70.68601861,77.33347425,64.99450702,67.58192183,71.57078517,65.1754655,70.92860452,69.77116002,70.29645015,68.55020709,65.49943518,62.34209057,65.05082466,65.52629321,77.30353294,85.8155879,84.63719828,89.22858552,99.50488326,103.8146421,117.9531101,139.276721,111.1854665,101.7773375,101.8813729,101.5857135,112.4394288,108.0921092
Tunisia,46.1624146,51.44444947,49.65949114,50.01625624,34.45820395,32.9775946,31.68506676,30.45834706,30.92505112,30.48805853,28.894615,6.530739601,7.481687658,5.799853533,5.220167652,5.731070081,5.093334789,4.637943583,4.230995497,4.441464523,6.064240466,7.42150524,6.994102189,8.978529545,9.308277464,7.581575335,7.989610629,7.977339391,7.898949137
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.11967016,16.7964952,16.4829532,16.17867747,15.88291484,15.5949563,15.31396503,15.03901087,16.2286929,15.93376662,15.64197163
United Arab Emirates,4146.742178,3988.533166,3666.468046,3352.013484,3081.912445,2865.737837,7737.141343,7524.620649,7275.179834,7054.884768,6859.183347,6685.325782,6530.880388,6391.938828,6264.743227,6148.237662,6021.025873,5917.6335,5818.511089,5723.020452,5630.670539,5541.076487,5453.793946,5368.570253,5285.407789,5204.376384,5125.390314,5048.093406,4972.485292
United Kingdom,20.43674752,19.05109124,18.06692133,16.78309645,14.49464587,13.55080798,12.78834205,12.38767869,10.20143544,9.101348548,9.519455891,9.845810103,10.78398777,10.66599778,10.10478537,10.59314093,11.60543358,12.00290449,11.87003067,11.47338351,10.82767603,10.36305078,10.15957773,9.720216682,9.046832501,8.733541946,8.084867974,7.608170812,7.587238574
United States,21.88195932,21.64570619,20.60734836,20.74520226,20.82748116,20.7975062,19.86848369,19.88838111,19.51908252,18.89866552,18.45336845,17.29721529,16.56376276,15.81683362,15.34007431,15.22338042,15.09331916,15.25325109,14.10755351,14.49051562,14.68164659,14.56677775,14.54251065,13.78833362,13.63825113,13.80077688,13.45699262,13.79672156,13.67480899
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.379075204,3.325556615,3.272870183,3.22088626,3.169432472,3.118416627,3.067789618,3.017429951,2.967048831,2.916538082,2.866150378
Venezuela,180.384063,178.8657253,217.4259572,219.5284293,231.074596,436.9773006,433.9824945,442.4844147,434.2066674,427.2014621,423.8691592,431.557654,426.2507782,424.5804683,418.7008903,419.7122254,451.1793149,456.7983639,455.8623059,452.5508212,445.2373732,443.0454563,434.1575293,427.2462842,434.6990995,430.0892983,462.893379,519.6706018,512.7438605
Vietnam,-,-,-,-,-,-,-,-,0.1085484159,0.2267518512,0.4069738339,0.4769263634,0.682577968,1.141453659,1.200992124,1.413230816,1.619883862,2.235518796,3.361681011,3.144077586,3.364262847,3.751025648,4.740644969,4.936300723,5.088838026,5.093158141,5.252185095,5.455209331,7.491846022
"Yemen, Rep.",-,-,-,-,-,6.470632437,6.274391467,12.76545679,23.53536158,22.7591422,21.97150792,21.2820262,20.50898126,19.5085093,18.81869432,18.23030926,17.67371137,15.76315972,15.43131831,14.92736854,18.7285395,18.10816275,20.82330616,20.09004603,20.43459265,19.22045009,17.67285037,16.39619187,15.83845393
