Stomach Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Finland,,,68.71,66.1,63.06,59.59,54,55.65,53,52.94,48.04,45.23,48.35,43.45,40.84,40.1,36.93,35.57,37.01,32.57,30.63,30.16,27.12,28.62,25.06,24.77,23.75,21.6,22.56,21.39,18.65,19.45,18.75,16.91,16.78,16.84,14.69,14.8,14.52,13.05,12.68,12.01,10.54,10.87,10.81,9.56,9.53,9.28,8.25,7.91,7.63,6.91,6.78
France,29.21,,28.64,28.83,27.83,27.45,27.01,26.64,26.66,25.71,25.2,25.16,23.66,24.11,23.31,21.83,20.78,20.49,20.34,19.62,18.27,17.72,17.14,17.06,16.03,15.67,15.5,14,13.57,13.6,12.75,12.47,11.52,11.64,11.29,10.7,10.53,10.15,9.96,9.19,8.93,8.49,8,7.73,7.33,7.13,7,6.74,6.63,6.38,6.06,5.88,5.86
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2
Germany,,,,,,,,,,,,,,,,,,,,,,,,28.23,27.19,26.71,25.34,24.37,22.88,,21.16,20.5,20.01,18.89,17.94,17.38,16.77,16.22,15.86,15.1,14.6,14.24,13.81,13.29,12.83,12.26,11.89,10.98,10.27,9.99,9.77,9.1,8.99
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Greece,,,,,,,,,,,,15.93,15.94,16.89,17.61,16.59,15.11,14.71,14.92,13.96,15.15,13.28,13,13.49,13.66,14.49,13.05,13.32,13.3,12.41,11.64,11.66,10.88,11.76,11.43,9.79,11.03,9.88,9.8,9.18,9.73,9.07,8.78,9.28,8.29,8.5,8.14,8.25,8.56,8.68,8.04,8.59,7.69
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Guatemala,,,,,,,,,,,,,,15.2,15.69,12.46,14.41,13.56,12.03,13.76,12.97,14.09,,,13.97,12.82,13.19,13.2,14.99,13.66,14.4,11.36,,,14.05,,13.82,13.77,13.79,12.84,12.39,12.82,13.31,14.12,16.62,16.55,15.46,17.26,17.02,17.09,18.05,18.43,17.99
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
