Colon & Rectum Female Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,3.58,3.6,3.12,3.36,3.59,2.25,3.13,3.4,3.07,2.9,3.71,2.32,,2.4,3.13,2.54,3.03,3.03,2.28,2.2,2.92,2.9075
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,2.46,2.37,2.38,2.93,2.12,2.54,2.69,2.85,2.83,3.78,3.11,2.62,2.65,3.25,3.34,3.75,3.81,3.2,3.06,3.07,3.26,3.9,3.52,3.38
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.73,0.64,1.1,,,,,,0.99,0.99,1.51,1.17,,1.27,1.81,2.4,2.58,2.5,2.81,2.71,2.37
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,11.29,12.33,,,11.77,10.44,11.39,11.44,11.14,12.03,13.35,11.53,13.67,14.01,11.6,11.68,11.48,11.1,13.1,11.52,10.71,12.36
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Finland,8.05,8.59,7.9,8.31,8.12,9.92,8.67,9.44,11.07,10.26,9.21,9.23,9.3,10.38,9.58,9.44,10.35,10.3,10.11,9.92,9.48,9.93,10.13,9.15,9.53,8.9,9.18,9.68,10.23,9.23,8.53,9.29,8.8,8.66,8.38,8.29,8.99,8.51,8.55,8.16,8.87,7.69,8.14,8,7.7,8.41,7.21,7.27
France,14.92,14.66,14.85,14.93,14.79,15.04,14.09,14.37,14.47,14.14,14.09,14.06,13.61,14.14,13.76,13.28,13.31,13.83,13.5,13.52,13.76,13.37,12.84,12.84,11.62,11.54,11.38,11.32,11.31,10.97,10.68,10.95,10.86,10.74,10.61,10.41,10.22,10.24,10.18,9.69,9.5,9.46,9.29,9.6,9.37,9.16,8.94,8.76
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
Germany,,,,,,,,,,,,,,,,,,,,,,17.13,,,,16.13,15.84,15.79,16.2,15.64,15.95,15.69,15.69,15.47,15.38,14.91,15.04,15.29,15.09,14.46,14.3,13.89,13.3,12.93,12.73,12.06,11.75,11.4
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Greece,,,,,,,,,,,,4.96,4.99,5.3,4.66,5.44,5.31,5.14,5.45,5.78,6.34,6.85,6.65,6.83,4.5,4.72,4.99,4.77,5.02,5.08,5.41,5.29,5.58,5.44,5.88,5.59,5.74,5.49,5.82,6.54,5.98,6.18,6.04,6.44,7.67,6.25,6.54,6.5
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,2.19,1.52,1.4,,,0.56,,1.51,1.63,2.03,1.47,1.85,1.23,1.66,1.85,2.29,1.72,2.02,2.15,2.6,2.61,2.66,2.43,2.76
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
"Hong Kong, China",,,,,,,,,,,,7.86,7.84,6.8,8.18,7.63,8.5,9.08,8.54,9.14,8.68,9.35,8.38,9.51,10.6,9.68,9.14,10.4,9.94,10.33,10.51,9.89,11.29,10.81,10.67,10.95,11.72,10.97,10.96,11.62,11.56,12.02,10.92,12.32,11.8,11.31,9.94,11.87
Hungary,,,,,,,,,,,,,,,,13.43,14.17,15.31,14.73,15.67,15.71,15.76,16.44,17,16.25,16.94,17.17,18.39,17.23,17.43,17.59,17.85,18.31,18.15,17.79,18.42,18.53,18.61,18.59,19.1,19.04,18.31,18.42,18.89,18.72,19.26,18.04,17.04
Iceland,,,,,,,,,,,,,,,,,17.86,10.77,7.25,14.93,13.51,11.61,10.48,10.04,10.73,10.81,11.44,12.05,7.25,8.56,10,8.27,14.44,10.57,9.47,14.79,8.4,5.63,8.55,8.69,10.81,10.98,8.9,12.64,8.75,11.6,7.71,8.18
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Ireland,17.35,16.73,16.42,17.29,16.65,17.35,17.47,16.16,16.87,16.62,16.71,18.59,17.86,18.08,18.65,21.3,19.14,18.56,17.75,18.72,20.03,18.97,18.86,18.3,16.67,17.42,15.83,16.54,16.81,17.21,15.49,16.9,16.59,16.95,15.07,13.72,13.44,14.36,12.36,13.12,13.33,11.82,13.95,10.96,11.89,12.26,10.19,10.71
Israel,,,,,,,,,,,,,,,,,,,,,13.13,12.08,12.42,13.78,13.35,12.16,13.49,10.85,13.74,12.23,12.27,12.13,13.1,12.56,11.8,11.77,13.01,13.76,12.83,14.94,12.91,14.16,13.76,12.83,13.03,13.44,13.64,12.29
Italy,8.11,8.74,9.04,9.11,9.1,9.89,9.92,9.75,10.17,10.25,10.96,10.42,10.78,11.11,11.46,11.37,11.88,12.25,12.45,12.18,12.41,12.93,12.98,12.73,9.73,9.52,9.88,10.41,10.39,10.18,10.43,10.4,10.31,10.33,10.08,9.93,9.64,9.85,10.1,10.33,9.93,10.03,9.75,9.9,9.36,9.18,9.23,9.23
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
Japan,5.54,5.62,5.67,5.94,5.98,5.96,6.19,6.18,6.22,6.28,6.62,6.82,6.94,7.15,7.4,7.14,7.58,7.56,8.02,8.2,8.16,8.22,8.25,8.66,8.61,8.57,8.89,8.89,9.01,9.15,9.09,9.17,9.16,9.55,9.72,9.69,9.77,9.9,9.76,9.68,9.86,9.88,9.84,9.74,9.72,9.52,9.49,9.35
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,7.33,,,8.64,8.79,8.06,8.4,7.91,9.48,9.23,9.04,9.19,8.86,8.79,8.77,9.35,9.2,9.22,9.27,8.52,8.49
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.43,2.53,2.74,3.14,3.79,3.87,3.95,4.8,5.28,5.41,5.67,5.75,5.79,6.1,6.79,6.8,7.19
Kuwait,,,,,,,,,,,,,,,,,,,,,,2.93,2.42,1.78,2.26,2.21,4.61,3.18,2.93,4.01,4.57,6.56,7.14,,,,,,2.91,6.23,5.24,2.71,3.96,8.22,1.82,6.66,5.15,5.63
