"Crude death rate (deaths per 1,000 population)",1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Burkina Faso,28.993,27.343,25.432,23.741,22.211,20.732,19.372,18.071,15.449,16.878,14.002,13.131,11.804,10.508,9.527,8.711,8.021,7.467,7.045,6.759
Burundi,25.09,23.6,22.03,20.63,20.21,18.8,18.06,17.662,17.405,19.421,15.475,14.011,12.937,11.928,11.001,10.197,9.597,9.206,8.964,8.871
Cambodia,23.82,22.09,20.38,19.4,22.54,40,15.839,13.278,10.441,11.728,9.357,8.402,7.836,7.326,6.95,6.757,6.783,6.951,7.164,7.487
Cameroon,24.918,23.262,21.636,20.119,18.556,16.917,14.631,12.988,13.643,13.071,14.45,14.308,13.151,12.021,11.209,10.474,9.849,9.351,8.97,8.718
Canada,8.72,8.1,7.72,7.46,7.256,7.037,6.931,6.999,7.232,7.06,7.217,7.406,7.625,7.907,8.287,8.767,9.368,10.018,10.583,10.951
Cape Verde,18.6,17,15,12.5,11.7,10,10.229,8.895,6.325,7.378,5.544,5.011,4.738,4.54,4.485,4.655,5.101,5.804,6.643,7.472
Caribbean,15.078,13.079,11.723,10.244,9.255,8.588,8.486,8.182,7.572,7.903,7.517,7.33,7.538,7.733,7.929,8.231,8.672,9.206,9.795,10.382
Central African Rep.,31.043,28.982,26.882,24.31,21.039,18.577,17.01,16.796,17.547,16.837,18.144,17.059,15.729,14.67,13.828,12.962,12.162,11.465,10.912,10.49
Central America,17.71,14.725,12.58,11.231,9.806,8.24,7.158,6.268,5.111,5.598,4.948,4.915,5.007,5.204,5.5,5.905,6.439,7.109,7.886,8.763
Chad,26.992,25.27,23.452,21.856,20.574,19.527,17.847,16.519,16.639,16.229,17.275,16.803,15.498,14.054,12.65,11.315,10.17,9.23,8.503,7.955
Channel Islands,11.62,11.83,12.11,12.14,12.16,12,11.52,10.74,11.083,12.16,9.892,9.503,9.559,9.912,10.504,11.274,12.143,13.003,13.742,14.319
Chile,13.553,13.273,12.21,10.33,8.819,7.351,6.349,5.848,5.285,5.472,5.025,5.382,5.79,6.254,6.792,7.425,8.158,8.977,9.829,10.634
China,25.055,20.655,17.1,10.9,6.3,6.682,7.261,7.465,6.734,7.083,6.624,6.992,7.345,7.757,8.314,9.083,10.018,11.044,12.05,12.964
"Hong Kong, China",8.9,7.2,6.19,5.45,5.038,5.034,4.814,4.864,5.226,5.325,5.417,6.064,6.698,7.236,7.807,8.495,9.368,10.418,11.541,12.551
"Macao, China",13.48,11.6,10.64,8.14,7.16,6.59,6.46,5.44,4.36,4.452,4.592,4.429,4.727,5.284,6.044,7.133,8.579,10.295,12.07,13.689
Colombia,16.474,13.219,11.439,10.031,8.756,7.704,6.562,6.257,5.793,6.212,5.584,5.514,5.553,5.748,6.042,6.421,7.012,7.649,8.369,9.049
Comoros,23.968,22.848,20.839,18.876,16.926,15.606,14.283,12.048,8.575,9.942,7.627,6.782,5.97,5.395,5.109,5.053,5.156,5.363,5.655,6.021
"Congo, Rep.",21.153,18.485,16.362,14.491,12.703,11.16,10.133,10.023,12.313,10.8,12.998,12.89,12.252,11.339,10.566,9.919,9.429,9.078,8.9,8.886
Costa Rica,13.461,11.833,10.172,8.167,6.737,5.59,4.689,4.321,3.906,4.063,3.93,4.089,4.339,4.668,5.112,5.686,6.4,7.238,8.137,9.019
Cote d'Ivoire,26.558,25.075,22.956,20.922,16.998,13.591,12.274,11.416,11.262,10.939,11.872,10.913,9.784,8.838,8.166,7.631,7.263,6.991,6.819,6.768
Croatia,13.99,11.31,10.33,10.09,10.49,10.76,11.59,11.4,10.625,10.708,11.408,11.512,12.027,12.442,12.729,13.034,13.474,13.976,14.427,14.734
Cuba,10.75,9.191,8.516,7.227,6.33,5.821,6.147,6.56,6.903,7,7.203,6.831,7.462,8.319,9.231,10.165,11.2,12.365,13.743,15.287
Cyprus,10.5,10.5,10.5,10,9.7,8.726,8.642,8.85,7.11,7.607,6.927,7.149,7.364,7.643,8.002,8.455,8.949,9.439,9.882,10.226
Czech Rep.,10.904,10.088,10.39,11.45,12.468,12.461,12.817,12.438,10.764,11.499,10.856,10.751,10.852,11.024,11.329,11.874,12.476,12.913,13.122,13.238
"Korea, Dem. Rep.",11.8,10.6,9.1,7.9,6.1,5,5.1,5.4,7.899,5.921,9.337,9.927,10.318,10.663,10.934,11.176,11.637,12.398,13.333,14.127
"Congo, Dem. Rep.",25.441,23.502,22.224,21.235,20.017,19.318,18.226,18.093,19.526,17.983,17.445,17.161,15.839,14.557,13.24,11.933,10.824,9.951,9.294,8.822
Denmark,9.02,9.08,9.72,9.93,10.06,10.43,11.06,11.48,11.358,11.81,10.671,10.292,10.355,10.577,10.943,11.425,11.928,12.281,12.45,12.486
Djibouti,28.322,25.749,23.791,21.641,19.408,17.438,15.908,14.892,12.203,13.689,11.747,11.083,10.409,9.83,9.442,9.071,8.907,8.899,8.954,9.025
Dominican Rep.,20.245,17.405,14.552,11.89,9.672,8.389,7.42,6.635,5.874,6.077,5.779,5.876,6.046,6.212,6.419,6.722,7.136,7.64,8.233,8.886
Eastern Africa,26.778,24.398,22.106,20.356,18.766,17.704,17.075,16.133,15.153,16.242,14.303,12.654,11.138,9.991,9.193,8.51,8.018,7.666,7.413,7.258
Eastern Asia,22.607,18.731,15.667,10.387,6.416,6.628,7.103,7.279,6.777,7.005,6.724,7.162,7.552,8.018,8.618,9.397,10.317,11.318,12.298,13.183
Eastern Europe,10.328,9.069,8.576,8.505,9.355,10.336,11.275,11.247,13.53,12.678,14.366,14.046,14.093,14.043,14.014,14.228,14.685,15.254,15.687,15.915
Ecuador,19.335,16.916,14.583,13.068,11.477,9.812,8.076,6.657,5.289,5.784,5.021,5.154,5.345,5.607,5.918,6.284,6.737,7.298,7.918,8.571
Egypt,22.338,20.66,18.596,16.549,14.659,12.892,11.03,9.27,6.422,7.55,5.995,5.873,5.748,5.651,5.65,5.821,6.118,6.483,6.92,7.389
El Salvador,20.677,17.909,15.469,13.51,12.301,11.958,11.627,8.773,6.843,6.929,6.762,6.821,6.934,7.017,7.067,7.109,7.251,7.512,7.844,8.24
Equatorial Guinea,30.407,28.675,26.87,25.337,23.704,22.19,21.721,20.831,17.141,18.882,16.298,15.118,13.776,12.586,11.532,10.687,10.159,9.826,9.334,8.809
Eritrea,28,25.71,23.61,21.67,19.74,18.85,20.488,17.325,11.258,14.214,9.682,8.579,7.581,6.799,6.283,6.014,5.97,6.082,6.288,6.578
Estonia,13.09,10.96,10.5,10.76,11.03,12.05,12.39,12.087,13.766,13.888,13.366,12.866,13.009,13.03,12.963,12.948,13.183,13.498,13.512,13.454
Ethiopia,29.933,26.698,23.538,21.816,20.618,19.781,20.786,19.069,15.354,17.461,13.492,11.961,10.727,9.705,8.885,8.196,7.69,7.365,7.194,7.159
EUROPE,10.77,10.057,9.794,9.802,10.131,10.455,10.808,10.671,11.554,11.245,11.673,11.399,11.58,11.735,11.899,12.171,12.577,13.059,13.494,13.827
Fiji,13.32,11.5,9.67,8.24,7.19,6.59,6.02,5.95,6.22,6.27,6.367,6.593,6.925,7.366,7.851,8.181,8.373,8.659,9.013,9.447
Finland,9.68,9.08,9.35,9.71,9.53,9.29,9.28,9.81,9.707,9.82,9.516,9.371,9.731,10.163,10.694,11.29,11.92,12.438,12.668,12.6
France,12.824,11.979,11.417,11.235,10.892,10.57,10.366,9.941,9.454,9.534,9.114,8.576,8.97,9.321,9.62,9.91,10.351,10.875,11.357,11.693
French Guiana,15.58,14.08,12,9,7.84,7.24,6.13,5.23,3.875,4.488,3.741,3.696,3.666,3.798,4.072,4.446,4.9,5.379,5.851,6.277
French Polynesia,16.28,12.61,11.21,9.84,8.4,7.76,6.14,5.5,4.935,5.04,4.909,5.128,5.367,5.701,6.157,6.719,7.386,8.111,8.847,9.516
Gabon,27.739,25.923,24.81,21.737,19.095,16.681,13.924,11.459,10.11,10.599,10.457,9.78,8.869,8.208,8.008,7.906,8.058,8.173,8.252,8.368
Gambia,29.31,27.906,27.056,25.495,23.128,20.427,17.795,15.767,13.426,14.508,12.348,11.402,10.323,9.509,8.841,8.19,7.597,7.188,6.954,6.853
Georgia,14.43,12.98,6.79,9.697,7.55,8.12,8.92,8.69,10.029,9.704,10.676,11.902,12.464,12.738,12.794,12.937,13.434,14.178,14.876,15.287
Germany,11.12,11.6,11.79,12.28,12.33,12.15,12.05,11.6,10.723,11.182,10.265,10.33,11.029,11.747,12.401,12.941,13.453,14.015,14.678,15.374
Ghana,20.059,19.019,18.329,17.424,15.847,14.208,13.073,11.949,10.004,10.038,10.78,11.154,10.469,9.752,9.112,8.596,8.265,8.079,8.016,8.048
Greece,7.16,7.28,7.76,8.09,8.56,8.84,9.02,9.28,10.23,9.234,10.034,10.195,10.424,10.911,11.137,11.604,11.963,12.462,12.988,13.621
Grenada,10.545,10.25,9.514,8.584,8.683,9.289,9.442,8.927,7.062,7.754,6.535,6.181,5.851,5.609,5.561,5.87,6.531,7.437,8.482,9.541
Guadeloupe,13.11,10.19,8.45,8.07,7.46,6.87,6.681,6.186,6.361,6.433,6.582,7.877,8.098,8.244,8.471,8.909,9.578,10.359,11.147,11.877
Guam,8.93,7.73,6.4,5.55,4.57,4.14,3.84,3.93,4.686,4.712,5.067,5.461,5.68,5.977,6.369,6.867,7.468,8.096,8.664,9.106
Guatemala,22.306,20.156,17.979,15.817,13.52,12.188,10.89,9.362,6.933,8.092,6.051,5.677,5.36,5.129,4.964,4.875,4.872,4.946,5.104,5.367
Guinea,31.553,30.036,28.3,26.559,24.888,22.745,20.894,18.989,14.947,16.803,12.887,11.166,9.705,8.491,7.531,6.77,6.234,5.864,5.644,5.536
Guinea-Bissau,33.567,29.505,27.353,24.786,27.354,25.197,22.231,20.486,19.419,20.22,18.447,17.374,15.829,14.423,13.182,12.023,11.013,10.151,9.399,8.826
Guyana,17.7,15.9,13.7,11.6,10.3,9.2,9.035,8.694,9,8.709,8.812,8.18,7.893,7.94,8.349,8.983,9.999,11.101,12.244,13.35
Haiti,26.447,23.561,21.05,18.633,17.147,16.178,15.74,13.839,10.331,11.913,9.778,9.112,8.877,8.347,7.709,7.33,7.228,7.309,7.416,7.488
Honduras,24.552,21.532,18.33,16.064,13.765,11.397,9.204,7.306,5.616,6.387,5.283,5.061,4.918,4.801,4.762,4.832,5.01,5.282,5.65,6.215
Hungary,11.36,10.28,10.14,10.89,11.822,12.8,13.74,13.77,13.955,14.3,13.534,13.436,13.372,13.346,13.396,13.595,13.917,14.164,14.293,14.354
Iceland,7.5,7.1,6.9,7.05,6.96,6.42,6.87,6.88,6.727,6.74,6.093,6.068,6.106,6.297,6.621,7.117,7.803,8.61,9.43,10.142
India,25.509,22.683,19.881,17.34,15.223,13.14,11.966,11.056,9.536,10.393,8.927,8.494,8.103,7.901,7.874,7.998,8.281,8.695,9.176,9.705
Indonesia,26.051,24.212,21.709,18.607,15.91,13.364,11.246,9.203,7.193,8.224,6.638,6.327,6.283,6.368,6.603,7.016,7.62,8.357,9.097,9.879
Iran,22.769,20.166,18.002,15.37,13.192,11.746,10.71,8.204,5.88,6.537,5.84,5.741,5.496,5.351,5.446,5.882,6.596,7.441,8.341,9.312
Iraq,23.312,17.667,14.481,12.532,10.823,9.886,8.96,7.874,5.198,6.721,5.303,6.085,4.899,4.833,4.681,4.585,4.636,4.824,5.115,5.526
Ireland,12.55,12.04,11.76,11.45,11.02,10.25,9.39,9.14,8.561,8.84,7.521,6.443,6.487,6.656,6.944,7.344,7.835,8.35,8.872,9.374
Israel,6.9,6.2,6,6.7,7.1,6.83,6.75,6.6,6.313,6.3,5.642,5.476,5.559,5.661,5.822,6.043,6.375,6.786,7.146,7.451
Italy,9.902,9.728,9.943,10.087,9.977,10.043,9.981,9.77,10.263,9.99,9.943,9.923,10.527,11.048,11.521,11.927,12.345,12.824,13.358,13.954
Jamaica,11.5,9.8,9.1,8.5,8.2,7.4,7.075,7.153,7.227,7.171,7.53,7.439,7.33,7.343,7.494,7.795,8.302,8.945,9.657,10.363
Japan,9.389,7.926,7.381,6.907,6.62,6.25,6.276,6.461,7.514,7.013,7.884,9.149,9.84,10.849,11.994,13.013,13.866,14.562,15.066,15.422
Jordan,26,23,22,19,13,9.6,8.85,7.1,4.61,5.79,4.402,4.227,4.006,3.995,4.122,4.369,4.743,5.24,5.881,6.635
Kazakhstan,14.35,12.93,11.25,9.61,9.21,8.79,8.27,7.95,11.667,9.485,10.872,11.251,10.783,10.252,9.92,9.785,9.921,10.207,10.509,10.809
Kenya,23.585,21.604,18.769,16.545,14.4,12.51,10.723,10.028,11.25,9.451,12.901,11.715,10.316,9.336,8.877,8.473,8.198,7.987,7.795,7.644
Kuwait,11.2,10.5,9,6.3,5,4.2,3.18,2.36,1.762,2.1,1.733,1.86,2.139,2.548,3.093,3.78,4.611,5.567,6.598,7.636
Kyrgyzstan,16.38,15.14,13.2,11.12,10.35,9.56,8.74,7.69,7.823,7.913,7.508,7.379,7.146,6.935,6.867,7.067,7.592,8.295,9.006,9.657
Laos,21.126,20.145,19.298,18.673,18.085,17.132,16.152,14.352,9.742,11.821,8.083,7.111,6.447,5.954,5.625,5.485,5.546,5.733,6.049,6.45
LATIN AMERICA AND THE CARIBBEAN,15.565,13.73,12.277,10.982,9.791,8.722,7.825,7.082,6.156,6.552,5.998,5.954,6.058,6.235,6.525,6.925,7.445,8.066,8.767,9.512
Latvia,11.56,10.24,10.15,10.7,11.48,12.54,12.75,12.42,14.465,14.244,14.098,13.829,13.857,13.882,13.863,13.902,14.07,14.437,14.819,15.023
Least developed countries,27.585,25.489,23.622,21.779,20.32,19.253,17.323,15.927,13.789,15.066,12.506,11.422,10.431,9.625,8.99,8.464,8.096,7.863,7.741,7.716
Lebanon,18.7,12.869,10.803,9.28,8.113,7.794,7.609,7.308,7.076,7.137,6.964,6.943,7.084,7.15,7.273,7.568,8.097,8.828,9.572,10.345
Lesotho,22.742,20.355,18.324,17.778,16.853,15.125,13.073,11.787,11.952,10.068,16.523,16.852,16.305,15.972,15.967,15.523,15.198,14.838,14.438,13.927
Less developed regions,23.691,20.721,18.079,14.748,12.127,11.132,10.419,9.753,8.631,9.18,8.277,8.114,7.933,7.836,7.871,8.034,8.335,8.727,9.152,9.584
"Less developed regions, excluding China",23.088,20.779,18.535,16.451,14.686,13.03,11.705,10.649,9.313,9.97,8.842,8.479,8.116,7.861,7.746,7.751,7.901,8.156,8.467,8.82
"Less developed regions, excluding least developed countries",23.177,20.089,17.342,13.812,11.03,10.027,9.457,8.869,7.827,8.305,7.584,7.542,7.477,7.491,7.643,7.941,8.389,8.934,9.506,10.077
Liberia,27.232,26.518,24.661,22.111,19.428,18.501,18.522,18.407,14.078,16.34,12.014,10.603,9.472,8.483,7.69,7.123,6.796,6.616,6.509,6.449
Libya,22.5,19.9,18.3,16.8,14.8,12.7,10.851,5.243,4.028,4.487,4.066,4.077,4.161,4.351,4.661,5.101,5.641,6.269,6.962,7.724
Lithuania,10.62,8.54,7.98,8.31,8.98,9.97,10.54,10.35,11.936,11.776,11.898,13.123,13.788,13.985,14.048,14.112,14.379,14.859,15.423,15.849
Luxembourg,11.72,11.8,11.977,12.272,12.223,11.612,11.224,10.595,9.323,10.242,8.822,8.15,8.055,8.018,7.916,7.887,8.036,8.343,8.698,9.007
Madagascar,27.507,25.8,23.96,22.145,20.58,18.818,16.495,16.436,12.411,14.242,10.755,9.315,8.236,7.482,6.909,6.522,6.309,6.239,6.273,6.393
Malawi,30.89,29.07,27.47,25.46,23.46,23.3,20.436,18.623,14.771,16.207,14.635,12.413,10.561,9.491,8.982,8.429,8.073,7.835,7.623,7.385
Malaysia,19.891,16.539,13.282,10.398,8.8,7.7,6.2,5.6,4.655,5.022,4.51,4.469,4.647,4.954,5.383,5.9,6.479,7.103,7.717,8.308
Maldives,27.31,24,20.77,18.08,15.89,13.91,11.84,9.92,6.811,8.649,5.173,4.626,4.453,4.437,4.496,4.714,5.148,5.807,6.67,7.651
Mali,27.622,27.893,27.81,27.363,26.097,24.802,23.389,21.979,19.059,20.627,17.444,15.888,14.233,12.626,11.291,10.175,9.329,8.689,8.188,7.81
Malta,10.15,8.77,8.79,9.24,9.03,8.83,9.25,7.9,7.777,7.5,7.608,7.842,8.422,9.061,9.777,10.562,11.359,12.057,12.533,12.818
Martinique,12.9,9.9,8.5,7.5,7.2,6.8,6.33,6.14,7.018,7.013,7.329,7.733,8.214,8.729,9.277,9.892,10.594,11.408,12.275,13.095
Mauritania,21.691,21.01,19.88,18.538,17.059,14.907,12.874,11.858,10.788,11.237,10.602,10.459,9.538,8.848,8.377,8.006,7.711,7.569,7.564,7.687
Mauritius,15.658,10.617,9.109,7.785,7.009,6.325,6.457,6.142,6.394,6.332,6.582,7.163,7.974,8.614,9.184,9.752,10.419,11.141,11.705,12.109
Mayotte,23.4,17.1,13.9,11.7,9.3,7.3,5.6,4.5,3.121,3.456,2.946,2.905,2.983,3.118,3.305,3.552,3.878,4.298,4.804,5.382
Melanesia,26.577,23.09,19.986,17.5,15.524,14.83,10.509,10.469,9.245,9.74,8.213,7.595,7.217,6.947,6.858,6.808,6.824,6.931,7.108,7.334
Mexico,16.649,13.483,11.452,10.372,9.093,7.421,6.351,5.71,4.798,5.222,4.73,4.745,4.909,5.202,5.617,6.16,6.855,7.716,8.711,9.824
Micronesia,14.003,12.447,10.852,9.595,8.313,7.676,6.967,6.38,5.492,6.069,5.251,5.147,5.109,5.238,5.51,5.884,6.331,6.805,7.251,7.666
"Micronesia, Fed. Sts.",14.229,12.502,10.93,9.611,8.754,7.756,7.204,6.723,6.303,6.399,6.322,6.104,5.848,5.782,5.894,6.063,6.241,6.415,6.593,6.896
Middle Africa,27.374,25.378,23.707,22.174,20.556,19.351,18.039,17.452,18.107,17.258,17.059,16.438,15.095,13.848,12.663,11.515,10.54,9.763,9.173,8.744
Mongolia,21.74,19.26,16.97,14.78,13.09,11.43,10.01,8.7,7.2,8.9,6.8,6.665,6.549,6.57,6.746,7.06,7.556,8.264,9.094,9.949
Montenegro,4.965,4.175,3.64,3.274,3.075,3.12,3.23,3.11,6.702,6.3,8.267,10.19,10.196,10.632,10.961,11.211,11.457,11.845,12.204,12.466
More developed regions,10.32,9.655,9.418,9.379,9.485,9.503,9.733,9.659,10.067,10.037,10.15,10.065,10.221,10.421,10.687,11.054,11.516,12.01,12.433,12.694
Morocco,25.7,22.7,19.6,17.4,15.7,13,10.744,8.684,6.38,7.246,5.95,5.833,5.817,5.849,6.01,6.373,6.916,7.582,8.243,8.818
Mozambique,32.847,30.008,27.537,25.612,23.528,21.665,21.378,20.986,17.421,19.735,16.888,16.079,14.725,13.494,12.584,11.754,11.149,10.642,10.139,9.7
Myanmar,27.719,22.762,19.9,16.696,14.375,12.395,11.22,10.791,10.096,10.323,9.976,9.925,8.831,8.39,8.219,8.337,8.695,9.238,9.847,10.483
Namibia,22.958,19.918,17.406,15.433,13.808,12.138,10.347,9.174,8.294,8.011,10.54,8.468,8.369,8.53,8.613,8.761,9.115,9.318,9.278,9.275
Nepal,25.59,24.826,23.717,22.02,19.997,17.888,15.795,13.752,9.637,11.971,7.672,6.47,6.122,5.811,5.611,5.537,5.617,5.83,6.199,6.676
Netherlands,7.53,7.615,7.81,8.162,8.32,8.13,8.29,8.553,8.837,8.755,8.737,8.383,8.761,9.219,9.755,10.38,11.075,11.729,12.218,12.497
Netherlands Antilles,12.3,9.4,7.9,7.1,6.7,6.6,6.3,6.18,6.946,6.338,7.288,7.376,7.669,8.231,9.022,10.032,11.194,12.524,13.888,15.146
New Caledonia,15.28,13.89,10.99,9.71,9.08,7.06,6.13,5.74,5.524,5.484,5.212,5.525,5.869,6.254,6.671,7.109,7.602,8.13,8.698,9.261
New Zealand,9.32,9.06,8.87,8.72,8.44,8.21,8.24,8.195,7.521,7.804,7.062,7.038,7.167,7.352,7.617,8.048,8.626,9.233,9.746,10.138
Nicaragua,22.967,20.358,16.994,14.434,12.556,11.33,10.148,8.443,5.568,6.513,5.009,4.735,4.589,4.601,4.698,4.991,5.418,6.015,6.748,7.58
Niger,25.834,26.042,26.72,26.874,26.442,25.932,25.24,24.243,20.468,22.692,17.385,15.175,13.09,11.289,9.751,8.563,7.624,6.778,6.065,5.528
Nigeria,27.709,26.617,25.332,24.18,22.941,20.698,20.081,19.95,18.832,19.748,17.389,16.492,15.343,13.915,12.713,11.731,10.977,10.37,9.885,9.543
Northern Africa,23.262,21.26,19.211,17.239,15.399,13.517,11.442,9.538,7.205,8.139,6.743,6.55,6.348,6.209,6.192,6.342,6.643,7.044,7.515,8.016
NORTHERN AMERICA,9.412,9.297,9.281,9.317,9.041,8.494,8.573,8.602,7.822,8.523,7.878,7.799,7.816,7.946,8.241,8.698,9.253,9.814,10.294,10.508
Northern Europe,11.092,10.903,11.065,11.08,11.23,11.354,11.331,11.132,10.869,11.008,10.283,9.944,9.884,9.882,9.986,10.185,10.466,10.743,10.945,11.057
Norway,8.17,8.77,9.47,9.74,10,10.04,10.24,10.7,10.119,10.51,9.422,8.729,8.48,8.383,8.522,8.864,9.347,9.827,10.175,10.396
West Bank and Gaza,26,23,22,21,16.8,13.5,9.1,6.3,5.049,6.9,4.228,3.675,3.302,3.096,3.019,3.058,3.191,3.396,3.659,3.967
OCEANIA,12.556,11.449,10.727,10.347,9.75,9.086,8.097,8.095,7.586,7.777,7.113,6.998,7.052,7.126,7.294,7.571,7.943,8.337,8.682,8.956
Oman,27.107,24.601,21.668,18.455,14.566,10.964,7.722,5.108,3.131,3.585,2.785,2.7,2.811,3.062,3.393,3.809,4.318,4.916,5.58,6.292
Pakistan,21.698,20.034,18.328,16.533,15.116,13.442,12.264,11.121,8.521,9.807,7.621,6.986,6.448,6.003,5.725,5.583,5.569,5.694,5.937,6.288
Panama,13.248,11.094,9.78,8.601,7.451,6.262,5.646,5.407,5.112,5.204,5.028,5.041,5.152,5.363,5.67,6.07,6.555,7.115,7.746,8.41
Papua New Guinea,29.7,26,22.8,20.2,18,17.5,11.962,11.503,9.999,10.566,8.746,7.998,7.521,7.147,6.988,6.883,6.862,6.934,7.075,7.263
Paraguay,8.793,8.521,7.912,7.593,7.028,6.893,6.82,6.587,5.952,6.214,5.644,5.554,5.495,5.516,5.635,5.823,6.198,6.617,7.057,7.506
Peru,21.581,19.699,17.55,15.571,12.732,10.864,9.023,7.747,6.076,6.859,5.548,5.398,5.464,5.614,5.845,6.176,6.605,7.121,7.71,8.36
Philippines,18.343,15.332,12.733,11.487,10.353,9.233,8.178,7.223,5.529,6.255,5.032,4.818,4.737,4.777,4.941,5.201,5.552,5.972,6.402,6.885
Poland,10.88,8.83,7.62,7.762,8.38,9.214,9.664,10.11,9.835,10.261,9.552,10.004,10.527,10.995,11.502,12.201,13.022,13.918,14.665,15.183
