Suicide 15-29 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Canada,4.94969,4.394345,4.111656,4.66817,4.555512,4.326033,4.940927,4.959096,5.412256,5.002163,6.694443,4.97413,6.021489,6.761015,6.757455,7.189418,7.796001,8.811255,9.157809,10.69267,11.47633,12.06548,14.31524,13.65685,15.75546,15.26637,15.84741,17.85822,18.64653,17.78007,16.90386,16.09614,17.12773,17.84194,16.09591,15.1789,17.17918,16.4384,16.73107,16.26391,15.60787,16.72949,16.15844,14.93742,15.00218,15.72772,14.94036,13.50765,14.20193,13.89774,13.05001,12.52021,11.8463,11.87988,11.54182,,,,
Chile,,,,,,8.622043,12.19974,13.51991,11.73844,9.836985,11.4514,13.56409,9.470842,4.961823,5.073964,3.295216,11.02869,3.108624,13.65049,11.67423,10.3517,9.898107,10.01553,6.60176,7.303923,7.920979,7.650945,7.428396,7.115974,7.515829,7.197012,7.550113,6.763056,7.185899,8.117146,6.653663,6.355176,6.502999,6.683019,7.208475,6.657007,7.316749,5.903427,6.386951,7.333627,7.85084,8.047307,8.46927,8.351089,8.192937,12.00637,13.53737,12.76149,12.53338,13.83387,12.34735,,,
Colombia,,,,1.841111,3.001932,2.79001,1.391699,0.8223917,5.488882,5.394889,5.670967,7.776052,9.612014,10.01539,11.07385,14.41934,14.36359,14.78713,9.271231,5.507157,,,7.806684,,8.553761,7.351829,7.055242,5.881859,,,,,,,6.582634,6.083354,6.017816,5.638446,4.796666,4.050928,4.343457,5.448731,5.762856,5.470565,6.213371,5.308223,5.22222,5.717834,9.598513,9.28146,10.6338,10.52564,10.28521,,8.764361,8.269438,8.220825,,
Costa Rica,,,,,,,,,,,,,4.480511,7.408889,5.528337,3.349214,5.522429,5.900636,4.127524,5.309592,4.82012,4.94549,6.271579,4.166534,8.102446,6.643106,11.08181,6.936718,5.659006,4.253282,8.934755,7.634999,5.207674,8.015252,6.048057,6.744354,5.007469,6.298881,5.369695,7.114823,6.683746,5.084285,6.501514,5.646616,7.830923,8.648402,9.814475,7.460649,9.116512,8.513803,9.318972,6.751297,9.307505,10.72869,8.934997,7.075346,9.917328,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.10126,12.24258,13.72645,14.20292,12.4073,11.93685,15.40536,17.41601,16.97397,14.28014,14.28877,16.56717,13.75402,13.38933,13.65356,12.24127,11.68631,12.63629,10.79515,9.297022,9.608073,10.39979,7.983841,8.407888
Cuba,,,,,,,,,,,,,,,14.50047,,,,17.53886,16.5386,15.12993,15.82249,17.24129,19.06438,21.76555,22.03627,21.70368,23.86899,,,,,,,,,,,,,,,18.50712,16.57386,15.91221,17.19995,14.08999,13.10536,13.80345,13.47258,12.84695,11.45791,9.162713,8.337983,6.770377,7.23952,5.721041,4.50507,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.694978,,,,0,2.189657,1.518332,4.041533,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09717,11.86766,12.12006,10.43069,10.37944,11.4527,11.57264,12.00626,12.4582,11.90372,10.3991,10.72614,10.75799,10.69477,10.57651,10.90166,9.219566,10.53948,9.954203,9.055025,8.587223,9.007997,8.749035
Denmark,,14.21577,13.66763,15.5341,14.07761,13.48962,13.48075,13.49865,12.91839,12.80624,12.40544,10.14461,11.76476,12.52129,12.97456,9.54234,10.13698,8.580421,11.44415,9.53946,10.80442,11.99788,11.26221,11.31745,13.12565,13.36851,13.54329,12.75981,12.57585,14.6243,17.58893,16.50128,18.28231,14.15696,14.00983,17.11197,13.49078,15.21595,14.34827,11.54446,10.57119,11.41566,9.790586,9.687262,8.496739,10.30802,8.463001,10.14073,7.987905,9.949907,8.190946,7.634335,7.930097,5.626376,8.051084,6.22992,6.369389,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.1364844,0.1218615,0.2059551,0.1583621,0.2739264,0.2285575,0.1760639,0.0618773,,,,,,,0.0375533,,,,,,,,,,,,,0.1401548,,,,,,,,0.08624
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52102,11.37091,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.92787,27.48303,,,20.56683,18.26104,17.6784,21.57967,23.68687,23.38663,18.72524,24.47372,26.21728,29.06416,23.40169,23.42529,25.00783,24.74122,28.54728,22.51304,21.18564,22.08741,20.19792,18.92827,17.15508,13.75458,15.89656,15.89092
Finland,,,17.31728,16.0654,16.7944,15.54579,17.10546,18.47777,15.92967,19.32682,15.30761,16.03673,18.98979,13.25607,15.83913,14.34592,15.07966,16.07191,18.25195,19.32418,17.75156,18.97769,22.58689,23.14704,26.23069,27.21169,28.00356,25.78566,24.10196,24.8125,26.36303,23.01616,23.69627,24.88725,25.31637,24.30064,25.66316,25.05998,27.28673,29.13459,32.83679,29.35571,27.70363,24.89643,30.35569,25.08366,23.90196,26.01916,22.03134,24.06347,21.65551,20.78664,19.61206,19.69209,22.19904,16.5538,19.73785,18.47993,17.47682
France,5.633106,,5.491698,5.160602,5.895928,5.786439,5.989944,6.229867,6.661026,7.009623,6.260289,6.523814,6.283027,7.269638,7.163113,7.400543,7.553462,7.794173,8.102978,8.047157,8.367964,7.995465,8.512176,8.885544,9.358574,9.927618,10.57986,11.35612,11.53702,12.84589,13.10109,12.78581,13.44158,13.9082,14.02221,14.40224,13.71249,12.42025,12.03146,13.09314,11.6785,12.16527,11.9461,13.93471,12.97129,12.41415,11.61049,11.14612,10.61029,10.22586,9.90446,9.551098,9.595672,9.787029,9.251638,8.536113,8.364283,8.177883,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.140905,4.512627,,,3.133218,2.62399,3.137848,3.698668,3.883629,3.524133,2.350458,4.257313,,3.040108,3.743025,3.435681,4.085356,3.215391,3.604714,1.608812,1.081468,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33333,10.27559,9.544301,9.073478,9.994622,9.483746,9.555184,9.236953,9.160056,9.041192,8.423116,8.340052,8.208728,8.203847,7.737803,6.84539,6.584023,,
Greece,,,,,,,,,,,,4.913901,3.864812,3.814326,3.156918,3.417551,2.893091,2.755433,2.828762,2.299043,2.435396,3.196046,1.88145,2.485602,2.715418,2.829674,2.554931,2.650762,2.780125,2.082683,2.241106,2.906738,2.871132,3.900889,3.927549,3.2912,4.145415,3.102984,3.44554,3.454829,3.385776,2.484934,2.118528,2.767734,2.700564,3.118935,2.3826,3.898165,2.870274,2.820963,3.218132,2.246753,2.255922,2.133624,2.039395,2.533888,2.344315,2.6584,1.976162
Guatemala,,,,,,,,,,,,,,5.286082,5.230557,4.147178,3.632035,5.482278,8.607755,5.297851,5.907495,6.689497,,,0,,,0,,2.104403,2.185299,0.5906145,,,0.1857591,,5.819577,5.555742,3.895499,3.077333,3.361492,2.74458,2.837853,3.165187,2.63917,3.765866,2.552399,3.246968,3.751319,3.702532,3.341239,3.502788,3.677379,3.894074,3.817055,3.950207,4.37606,,
Hungary,,,,,,17.28451,15.922,18.38167,19.86285,21.0253,23.64128,22.41948,21.17138,22.78369,22.99369,22.85189,22.86677,23.81509,23.42935,21.68843,21.43092,22.48424,21.17418,19.57607,22.0872,19.32274,19.61181,19.56081,22.3717,23.45896,24.23073,24.52967,21.91192,22.86895,22.63079,22.2475,22.29621,23.56994,21.53615,21.25525,19.2187,18.41393,19.09446,16.96049,15.76012,13.23425,13.92818,12.69212,13.58649,14.4737,13.07655,12.15505,11.85694,10.45498,11.85095,9.815438,8.634775,7.938458,8.878175
Ireland,1.280577,1.38805,0.7878578,1.320196,1.173001,1.642151,1.652454,0.7765421,1.394135,1.435018,0.7156424,1.824206,1.578649,2.898752,2.147686,0.8035411,1.919712,1.382424,2.584198,0.562538,1.605575,1.59076,2.437459,3.658852,4.85014,6.109494,5.930634,6.553483,5.693726,8.010579,5.706435,7.421462,6.64076,9.850955,6.448884,8.548886,9.044515,6.70505,10.68256,8.873747,13.09655,12.3901,15.5659,11.2099,13.42276,15.0654,17.94688,19.32491,20.97779,18.00013,18.47537,17.77619,17.26429,15.70788,15.16187,14.99542,15.4797,13.3726,14.66579
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,7.628843,6.039855,6.614347,5.62607,6.78511,6.244953,5.217566,3.925893,4.505381,4.950873,4.274065,6.027709,5.362092,6.471898,6.40254,6.106317,6.603529,7.077847,7.178429,7.419483,7.222829,5.536086,7.335879,6.196994,6.81039,7.603524,8.07119,6.986142,6.723808,7.505418,6.925855,6.997903,,
Italy,,4.969643,4.781938,4.699902,4.458205,4.618185,3.945286,4.156908,4.043829,4.366009,3.92608,3.796041,3.585818,3.186177,2.991856,3.003156,2.983319,3.597992,2.89609,3.620502,3.340956,4.025092,3.585773,2.967171,3.093944,3.616271,3.273271,3.650245,4.001322,4.346093,4.538928,4.194338,4.402133,4.236694,3.833634,4.053597,4.12909,4.186867,4.045011,4.24478,4.676002,4.451911,4.87447,5.165621,5.331387,4.973081,5.417403,5.653764,5.197716,4.854152,4.725869,4.526514,4.572154,4.431387,,,3.597541,3.944538,
Japan,26.14439,26.068,27.56517,33.40703,41.12307,46.07157,42.87588,42.10297,45.60524,37.20944,36.50972,31.21593,25.64767,20.94116,17.92117,15.9302,16.87657,15.20606,14.75815,14.01673,14.65625,15.43133,16.29184,16.7524,17.17763,17.24659,16.6615,16.5695,16.39935,16.62592,14.75966,12.98741,13.11741,14.65934,12.92211,12.03308,13.97608,12.08954,11.08813,10.1997,9.208036,9.142049,9.45154,8.875593,10.35737,10.10598,9.916253,10.20594,14.23871,14.13207,13.48426,13.07534,12.69017,14.64326,14.95609,16.27242,16.68146,16.19013,17.62827
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.35641,20.72182,,,21.56054,16.45205,16.50656,17.31038,20.14511,21.34837,21.27076,23.43548,28.21907,27.40464,30.9143,32.53924,31.40571,31.51832,30.06723,34.72204,34.99752,33.86185,34.12779,36.35811,31.36151,33.57288,32.7669,32.87482
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02356,10.82673,9.648699,8.949874,8.548527,8.775158,8.238429,8.768671,9.798385,9.339846,10.51858,12.69199,11.59613,14.50031,11.22942,9.442428,9.124372,10.18124,12.7776,11.29158,14.20147,11.13471,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,0.4255642,,,1.486496,0.3339858,0.6161958,0.9051745,0.5587932,0.7346586,1.018185,0.2321988,0.1868615,0.94102,1.127857,1.853214,1.196137,,,,,,1.218257,1.397871,2.32812,1.67285,2.940434,1.691989,1.933823,2.436784,1.174359,2.790838,,,,,,1.966554
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.645,12.89125,,,9.227043,9.571891,11.41973,11.15802,13.16391,11.9503,12.80085,13.74296,12.28819,13.55992,15.73144,12.01425,13.63105,14.31485,13.18097,11.9232,14.43705,13.17614,11.2027,9.08643,11.56495,11.80974,12.58836,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.72499,23.57009,20.42819,21.49217,22.13773,18.73036,18.2221,15.88116,18.94068,14.21016,19.12166,20.58628,25.76167,27.83473,26.30264,30.00092,25.50702,26.14654,24.12371,20.14077,21.28604,18.45998,20.69625,19.6048,14.82655,17.30814,14.38078,12.95021,17.31209
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21391,28.67015,,,25.41802,17.10026,18.67856,18.57767,17.3546,16.38643,23.24572,22.15937,28.90778,33.70901,33.24389,34.30202,35.86596,32.4008,35.97213,35.895,31.00438,36.83002,31.83446,30.9865,27.73753,21.32045,25.27888,28.48722
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.104138,3.260175,4.716259,4.057542,4.26806,4.218711,3.967351,4.767809,5.36792,4.921257,3.464965,4.168176,4.332846,,,,,
Mauritius,,,,,,,,,,,,5.983716,4.574164,3.522564,5.357908,2.905707,3.700158,4.590271,3.944845,0.9499342,1.886354,6.400044,3.221966,8.299454,8.711769,14.0265,12.76102,12.48362,11.79588,11.77809,2.468999,3.026185,1.315952,2.592262,20.10519,14.87209,5.152347,21.58274,22.29764,19.35111,20.51487,18.04169,16.30516,16.69714,18.99393,14.93215,16.14775,14.08593,21.57478,21.32936,18.37516,12.80088,16.288,8.448931,9.532791,9.694798,13.36827,15.51086,8.936888
Mexico,,,,,,2.242779,2.350285,2.521692,2.769811,2.804345,2.953248,2.675553,2.428687,3.064526,3.408657,2.977243,3.151032,3.608222,2.84777,1.421235,2.002165,1.306831,1.300987,1.211123,4.08051,2.914205,3.153397,3.366704,3.232793,3.398485,2.618043,3.08667,2.895435,2.394416,2.128917,3.327943,3.58805,3.414207,3.357364,3.299784,3.313833,3.67137,3.895335,3.832355,4.254292,4.911853,5.072433,5.914832,5.671319,5.574129,5.599936,5.845091,6.012783,6.350816,6.305897,6.621919,6.442404,6.34562,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.92955,14.16399,,,12.47047,11.78429,12.36916,10.60714,14.38732,10.92768,11.90088,12.03274,12.74635,13.20974,11.46551,11.32201,12.07831,9.219136,10.16179,8.742752,9.617858,9.812374,7.993672,11.04143,8.814191,7.454475,7.482886,10.23714
Netherlands,2.813717,2.357162,2.707686,2.482929,2.698122,2.611204,2.470758,2.422095,2.943799,2.613921,2.808386,3.200295,3.142994,3.009066,3.786409,3.476208,3.61375,3.529575,3.515973,3.46851,4.641489,4.917612,4.975188,5.530481,6.086028,6.227458,6.259492,6.752942,7.13132,6.634233,7.850904,6.751781,7.578075,7.975565,8.314747,8.765488,7.78934,8.052659,7.183692,7.877363,6.953887,7.573491,7.480847,8.202304,7.248209,7.550343,7.736498,8.876265,7.273608,7.499578,6.352398,6.27614,6.529134,6.56247,5.71613,6.44327,7.086127,5.669636,5.795594
New Zealand,4.366636,4.914928,7.118641,4.395152,5.219554,6.880646,4.445047,6.465862,5.846304,6.468534,6.402146,7.438164,5.504694,6.161993,5.045691,6.350005,4.410303,6.332086,5.613302,9.05474,7.626897,7.324012,7.881433,7.763284,7.955191,9.796618,8.761017,14.06969,10.6061,9.797975,14.24315,10.625,11.81042,12.66475,14.16839,12.8751,15.73225,20.74371,21.55016,23.33574,21.92346,22.06222,23.35897,20.7028,22.64958,26.58781,25.77236,27.12116,26.7264,23.18652,20.86152,21.47001,18.49702,17.48201,19.4489,19.52606,19.89955,,
Norway,,2.999182,4.094621,3.372704,3.90042,3.657327,3.942827,3.120841,2.327954,4.071448,4.323586,4.406457,4.078138,3.350651,4.083115,5.232927,4.111861,3.757134,4.562497,4.664743,5.65618,6.444118,7.929173,6.5988,8.998644,9.431078,10.54361,11.69481,12.34698,12.92046,13.0131,12.19177,13.55471,13.69741,14.92876,16.63967,12.80822,15.95213,18.97255,16.90611,15.28019,17.03479,16.06111,14.11093,14.02321,13.44085,14.32162,12.30653,15.45233,18.53523,15.82559,14.89021,13.03085,13.60345,14.7421,14.53099,14.40623,12.02844,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82044,3.734075,6.077922,5.224411,6.012343,4.328191,,,,,,,5.892066,7.241446,7.802439,6.866878,6.224121,8.849846,5.840654,10.27556,8.345816,,7.835401,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.176535,4.576754,3.936677,4.303431,4.239053,4.291308,4.533673,4.702479,5.994578,4.902371,7.204855,7.202638,6.578166,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064862,2.587263,,,,1.962162,2.102798,2.358606,2.948545,2.659743,2.925276,3.198215,,,,,
Poland,,,,,,,,,,7.824588,9.019241,10.32449,10.68565,8.501987,8.729542,9.476954,10.35908,10.297,10.54062,11.20962,11.34224,12.80357,12.99167,12.1537,11.47209,11.77958,12.18215,12.38024,14.0446,13.65567,,,,13.85992,13.90089,12.80373,11.96297,12.54772,10.75689,10.54529,11.69805,11.19987,12.2612,11.57987,11.53583,11.12217,10.91391,,,12.68361,12.34601,12.25436,12.06869,12.03603,12.53181,12.11505,11.53356,10.85062,11.87365
Portugal,,,,,,6.306626,6.450546,5.552978,6.022532,6.17893,6.094063,6.070214,6.559273,5.623165,5.67297,4.596635,5.187762,5.748419,5.035262,4.180253,4.594728,3.471034,3.686824,4.076271,3.56196,4.553929,5.452899,6.007675,7.473669,7.126155,5.527736,6.152003,6.405588,8.639723,8.968254,7.679593,5.394054,6.942073,5.377275,5.443933,6.645115,6.338423,5.774439,4.389485,4.591293,5.373088,3.11539,3.649803,2.634564,2.171256,2.291308,4.445411,5.285852,4.441114,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.328949,6.682984,6.153359,7.890821,8.100323,8.598461,8.517897,7.740842,7.846498,7.643995,7.836086,7.611784,7.16783,7.944137,7.192062,6.356138,6.097216,6.388326,5.814857,6.563627
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3662,27.85565,28.95333,,,24.37474,17.84233,17.297,18.53195,20.0952,21.38825,22.03023,25.2195,31.17771,36.14503,37.60262,36.83945,35.70944,34.23988,37.13361,39.10637,40.96013,39.09833,34.89342,33.28094,31.99562,30.47822,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26432,10.699,10.01384,9.017747,8.557882,8.961403,7.50034,6.907568,7.87286,8.3315,7.584404
Singapore,,,,,,,,,,,,,,6.348286,8.457067,9.614448,9.703807,9.136404,10.18156,13.00271,10.56277,12.95064,9.729368,12.73866,11.76732,11.47559,12.77846,9.608242,12.85548,9.701154,11.6832,7.247496,9.230311,10.20392,7.32642,11.8338,10.41241,10.21307,12.1612,14.30045,12.23278,9.177016,7.919692,7.600721,9.357651,8.427176,7.112536,7.383679,9.827325,6.173512,7.673099,9.078729,8.989108,9.137651,5.662036,6.996082,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45112,9.060893,9.692921,9.324025,8.450594,6.825928,8.428763,7.753327,9.098808,8.796604,8.510149,7.103237,8.061532,7.582825,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95404,19.84605,19.15371,19.99051,24.11571,17.05445,17.53325,20.51964,20.5044,21.10398,18.46875,16.89193,19.49804,23.53049,17.22801,18.15488,17.35635,12.86559,15.77955,15.23144,15.37218,12.01222,11.55862,12.9322
Spain,,5.327279,4.592174,4.43852,3.870641,4.181352,3.778128,3.711894,3.36082,2.831749,3.866099,2.985834,2.891367,2.291399,2.204934,2.184317,2.181694,1.770597,1.924052,1.945564,1.828104,1.757523,1.998431,1.787893,1.757357,1.725767,1.717858,2.114978,2.649835,2.59037,3.069969,3.400108,3.45226,3.757551,4.38141,3.991467,4.852938,5.00799,5.74571,5.605031,5.429315,5.406998,4.906202,5.508242,5.586534,6.041911,6.234755,6.194593,6.0512,5.042184,5.685221,4.685188,4.989849,4.850678,4.995725,4.574367,,,
Sri Lanka,9.850163,11.75501,11.04657,9.965929,13.13405,11.00146,13.44742,12.44387,12.41441,13.48533,16.6314,15.89547,20.74807,22.93446,28.72362,27.07944,25.20833,33.77996,34.97649,,,,,,,,,41.16122,,,61.26514,63.03955,67.78243,71.37179,74.18094,71.29999,64.0928,,,,,,,,,,,,,,,,,,,,,,
Sweden,,10.53643,8.613336,9.214165,7.756419,8.816889,10.17803,10.91094,7.243197,9.99648,10.28669,10.81858,11.08964,12.65005,13.48584,11.36005,12.37317,14.42799,15.0124,14.44623,14.97525,14.61769,14.37146,15.49065,13.79162,16.55471,16.73809,15.16394,16.69783,15.55226,15.48559,11.71224,14.10787,14.20272,16.97179,15.1062,15.21517,14.35043,13.84829,16.15875,12.085,13.58207,10.14912,10.58826,10.41076,10.05984,10.14862,9.713416,9.134295,10.75249,9.440928,8.1051,9.807391,10.26439,10.66303,10.41249,10.40353,10.24966,
Switzerland,,16.35857,16.58536,18.14228,17.70042,13.85125,17.06111,16.58737,15.68115,16.87546,16.03204,13.24755,14.60731,14.58266,14.78221,13.42825,15.1905,15.16158,13.75813,14.01447,15.20993,15.72882,15.45595,15.41995,16.5955,22.00104,20.63303,23.0511,24.49323,25.15362,24.22133,23.50249,26.16671,22.71555,23.03047,22.01991,21.88544,19.96424,18.74842,19.94072,17.24983,17.50185,16.61361,16.52485,18.22194,15.81413,16.43054,14.82502,14.83142,13.53946,14.77921,13.39473,14.68223,11.37618,10.39569,11.18933,10.73842,12.50289,
Trinidad and Tobago,,6.395227,5.699636,6.300657,4.967021,10.27974,5.470273,7.533524,5.489432,,4.212375,3.495577,3.010873,2.283536,,,,6.187514,10.69296,,13.70958,7.704854,15.73949,14.07054,10.0818,14.1381,13.01107,13.99723,4.422631,7.232146,7.162923,8.377454,8.911861,13.74803,12.63335,4.394998,10.78188,13.41312,15.7373,20.82351,22.88441,21.67663,19.71311,16.17793,16.02501,15.60756,14.13133,13.9142,13.2557,12.64974,14.89146,15.47614,13.62824,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.87272,7.931836,,,9.927597,11.13935,9.32144,10.75673,9.651818,11.80995,11.01814,11.59929,8.647095,8.578829,8.333145,9.236052,13.49893,13.75246,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98784,15.2089,,,13.16183,11.11505,11.66144,12.22478,14.49424,13.81085,13.52079,14.57938,16.2737,17.9597,19.31779,19.95269,19.65294,20.65315,20.19215,20.76894,19.57183,19.28606,18.53158,17.15638,16.86748,15.88487,,
United Kingdom,3.449305,3.31281,3.326596,3.866328,3.829293,3.93061,4.076042,4.237535,4.378497,4.52406,5.17633,4.632702,5.467733,6.393234,5.857476,5.731941,5.64363,5.996099,5.026135,4.966274,4.697059,4.725336,5.350476,5.310543,5.325255,5.709868,5.721199,6.25037,6.197772,6.156085,6.064042,6.424416,6.246582,5.901007,6.184602,6.588361,6.846488,6.976392,8.01525,7.283909,8.27225,7.813746,8.258601,8.157029,8.239584,7.963656,7.529686,8.004914,8.438321,8.080089,8.083006,7.028775,7.358114,6.587677,6.338408,5.881017,5.820817,5.4792,
United States,5.602057,5.512528,5.398469,5.665668,5.57818,5.308266,5.220441,5.234293,6.307611,6.350635,6.513716,6.492884,7.21443,7.76149,7.640895,8.019547,8.220045,8.661461,8.618278,9.586915,10.50804,10.89745,11.7965,12.17864,12.61213,13.23258,12.8339,14.87228,13.70587,13.88504,13.59891,13.71861,13.44997,12.90233,13.38203,13.61381,13.79995,13.58908,13.83199,13.89093,13.67585,13.56441,13.28133,13.92694,14.37527,13.88871,12.96234,12.42784,12.11402,11.29543,10.82865,10.80889,10.79557,10.35312,10.96129,10.58002,,,
