Female contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Marshall Islands,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Mauritius,,,,,,,,,,,3.099999905,,,,,4.099999905,,,,,1.700000048,,,,4.699999809,4.699999809,4.800000191,4.699999809
Mexico,,,,,,,,,,,1.200000048,17.39999962,16.20000076,17.70000076,16.70000076,17,16.10000038,18,15,14.39999962,12.60000038,11.89999962,12.39999962,11.39999962,11.69999981,10.89999962,10.39999962,10
Mongolia,,,,,,,,,,,,,,,,,,,,,38.59999847,,,31.70000076,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,2.599999905,,
Montserrat,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,29.29999924,,,,,54.90000153,5.5,5.099999905,52.5,52.5,56.09999847,55.70000076,55.29999924,
Namibia,,,,,,,,,,,,,,,31.5,,,18.10000038,,,4.099999905,22,,,5.800000191,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,12.89999962,,,,,,
Netherlands,,,,,,,,,,,,,,,,2.5,2.200000048,2.099999905,1.700000048,1.600000024,1.399999976,1.399999976,1.200000048,1.100000024,1.100000024,1.100000024,1.100000024,1
Netherlands Antilles,,,,,,,,,,,,2.400000095,1.899999976,2.299999952,1.100000024,1.200000048,1.399999976,0.8000000119,1.399999976,,1,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
New Zealand,,1.100000024,,,,,1.600000024,1,1,1.100000024,1.899999976,1.899999976,1.799999952,1.600000024,1.700000048,1.600000024,1.799999952,1.299999952,1.399999976,1.299999952,1.299999952,1.200000048,1.100000024,0.8999999762,0.8000000119,0.8999999762,1.299999952,1.5
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,4.199999809,12,10.39999962,11.69999981,9.100000381,
Norway,6.199999809,6.199999809,5.199999809,4.599999905,4.599999905,4,4.900000095,3.599999905,3.5,3.099999905,2.599999905,2,1.899999976,1.700000048,1.299999952,1.299999952,1.299999952,0.8000000119,1,0.6000000238,0.5,0.5,0.5,0.400000006,0.3000000119,0.3000000119,0.5,0.3000000119
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,61.70000076,61.70000076,54.09999847,63.29999924,63.29999924,50.09999847,50.09999847,46.90000153,46.90000153,52.79999924,52.79999924,59.20000076,61.90000153
Panama,,,3,3.400000095,2,2.900000095,2.299999952,3.799999952,4.699999809,3.299999952,,,2.200000048,2.400000095,1.600000024,3,2.799999952,2.900000095,2.900000095,2.099999905,1.799999952,3.299999952,3.200000048,4,3.599999905,5.5,5,4
Paraguay,,,,,,,,,,,0.1000000015,,,,,,,8.100000381,,,8.600000381,,9.5,8.699999809,,,,8.899999619
Peru,,,,,,,,,,,9.199999809,5.900000095,7.300000191,9.199999809,8.300000191,8.300000191,10.10000038,12.10000038,11.69999981,10.60000038,10.69999981,11.5,11.30000019,12.19999981,13,11.69999981,11.39999962,9.899999619
Philippines,,,,,,,,,,,,,,,,,,,18.29999924,17.5,17.20000076,18.70000076,18.5,17,17.39999962,18.70000076,19.10000038,18
Poland,,,,,,,,,,,,,7.800000191,8.399999619,7.400000095,7.699999809,7.900000095,6.699999809,6.300000191,5.800000191,6.599999905,6.800000191,6.900000095,7.199999809,7.300000191,7,6.199999809,6
Portugal,,,,,,,,,,,,,2.400000095,2.5,2.900000095,2.5,2,2,2.900000095,2.900000095,3.5,3.200000048,2.900000095,2.299999952,2.200000048,2.099999905,1.799999952,1.5
Puerto Rico,,,,,,,,,,,,2.099999905,1.799999952,1.700000048,1.700000048,1.799999952,1.700000048,1.5,1.299999952,1.299999952,1,1,1.200000048,1.100000024,0.8999999762,0.8999999762,0,0
Qatar,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,
Moldova,,,,,,,,,,,,,,,,,,,,8,8.800000191,10.69999981,10.19999981,3.400000095,1.5,1.399999976,4.300000191,3.400000095
Romania,,,,,,,,,,,0,5.599999905,22,22.89999962,24.20000076,23.70000076,25.60000038,26.89999962,27.60000038,29,29.29999924,29.10000038,23.39999962,23.39999962,21.20000076,21.20000076,19.89999962,19.89999962
Russia,,,,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015
Rwanda,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,1.299999952,,,,,,,,,,0.8000000119,,,,,,
Saint Lucia,,,,,,,,,,,,,,4.099999905,2.599999905,3,2.200000048,2.200000048,1.100000024,1.600000024,1.399999976,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,2.700000048,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,0.6000000238,0.5,0.3000000119,0.3000000119,0.3000000119,,0,0,0,0,0,0,0
Sao Tome and Principe,,,,,,,,,,,,0.6999999881,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,32.40000153,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,12.69999981,13.89999962,11.60000038,11.89999962
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,21.60000038,,,
Singapore,,,,,,,3.599999905,3.900000095,3.299999952,2.799999952,,2.099999905,1.899999976,1.899999976,2.099999905,1.799999952,2.200000048,2.200000048,2.099999905,2.200000048,0.6000000238,2,1.600000024,1.5,1.399999976,,1.100000024,1.299999952
Slovak Republic,,,,,,,,,,,,,,,0.200000003,0.200000003,0.200000003,0.1000000015,0.1000000015,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015
Slovenia,,,,,,,,,,,,,,4.599999905,7.599999905,6.599999905,5.599999905,8.899999619,8.300000191,7.300000191,6.5,7,6.099999905,5.599999905,6.900000095,6.400000095,7.099999905,7.099999905
South Africa,,,,,,,,,,,,,,,,,,,,,,1.700000048,1.399999976,1.100000024,1.100000024,,,0.6000000238
Spain,19.60000038,19.5,18.60000038,18,16.89999962,16.10000038,14.19999981,13.30000019,12.69999981,11.69999981,10.60000038,9.600000381,8.699999809,8.199999809,7.5,6.5,5.900000095,5.099999905,4.800000191,4.099999905,3.700000048,3.299999952,2.900000095,2.599999905,2.400000095,2.400000095,1.899999976,1.600000024
Sri Lanka,,,,,,,,,,,,,,,,,,18.29999924,27,24.79999924,26.5,21.29999924,25.5,20.89999962,19.79999924,17.89999962,21.70000076,21.70000076
Suriname,,,,,,,,,,,,,,,,2.200000048,2.599999905,3.799999952,1.600000024,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,
Sweden,0.8999999762,0.8000000119,0.6999999881,0.6000000238,0.6000000238,0.400000006,0.3000000119,0.6999999881,0.6000000238,0.5,0.5,0.5,0.5,0.6000000238,0.6000000238,0.5,0.5,0.5,0.5,0.5,0.400000006,0.400000006,0.3000000119,0.200000003,0.3000000119,0.200000003,0.200000003,0.3000000119
Switzerland,,,,,,,,,,,,6.400000095,6.099999905,5.900000095,5.699999809,5.199999809,4.599999905,4.5,4.099999905,4,3.599999905,3.400000095,3.400000095,3.099999905,2.799999952,2.900000095,3.200000048,3.200000048
Syria,,,,,,,,,,,,,,,,,,,,,,44.20000076,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,4.599999905,,,,,13,
Thailand,,,,,,,,54.59999847,58.09999847,58.5,56.09999847,53.20000076,53.5,49.59999847,48.59999847,46.5,44.40000153,45.09999847,43.59999847,40.29999924,39.79999924,35.90000153,37.40000153,35.20000076,31.39999962,30.79999924,30.5,29.89999962
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,12,16.20000076,16.5,21.79999924,19.20000076,18.10000038,12,16.70000076,17,14.89999962
Tonga,,,,,,,,,,,,,,,,,33.59999847,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,8.800000191,8.600000381,8.899999619,6.5,6.300000191,6.199999809,6.900000095,6.800000191,6,4.300000191,4.199999809,4,3.5,2.900000095,2.200000048,1.899999976,2,1.799999952,1.700000048,,
Tunisia,,,,,,,,,,21.79999924,,,,,0.8000000119,,,,,,,,,,,,,
Turkey,,,,,,,,,70.19999695,71.19999695,69.19999695,71.30000305,65.40000153,63.70000076,64.09999847,65,65.30000305,60,60,61.20000076,52.09999847,53.29999924,49.59999847,49,49.79999924,41.70000076,39,38.20000076
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,0.1000000015,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,43.29999924,40.5,,,,
Ukraine,,,,,,,,,,,,,,,,0.200000003,0.200000003,0.3000000119,0.200000003,1.299999952,1.5,1.700000048,2.299999952,2,0.6000000238,0.5,0.3000000119,0.3000000119
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,0.1000000015,1.299999952,1.399999976,1.299999952,1.799999952,1.899999976,1.600000024,1.5,1.5,1.100000024,0.8999999762,0.8000000119,0.8000000119,0.6999999881,0.6999999881,0.6000000238,0.5,0.6000000238,0.5,0.5,0.400000006,0.5,0.5,0.400000006,0.5
United States,1.299999952,1.200000048,1.200000048,1.100000024,0.8999999762,0.8000000119,0.6999999881,0.6000000238,0.6000000238,0.6000000238,0.5,0.5,0.5,0.400000006,0.200000003,0.200000003,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015
Uruguay,,,,,,,,,,,,,,,,,,,2.599999905,2.5,2.299999952,2.400000095,1.399999976,2,,2.200000048,3.400000095,3
Venezuela,,,,,,,,,,,,,,,1.200000048,1.399999976,1.200000048,0.8999999762,1.600000024,2.5,2.299999952,3.299999952,3.799999952,3.900000095,,,1.799999952,1.600000024
Vietnam,,,,,,,,,,,,,,,,,61.5,55.90000153,53.20000076,54.20000076,53.09999847,52.90000153,52.59999847,50.29999924,47.20000076,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,28,28.5,27.5,27.70000076,33.40000153,26.70000076,29,32.59999847,32.20000076,30.79999924,31.5,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,0.3000000119,,,,,,,,
Zambia,17.20000076,,,,,,,,,,55.70000076,45.59999847,,,,,43.20000076,,39.40000153,,61.79999924,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,20.5,,,15.89999962,,16.10000038,,,13.60000038,,,,,
