"Primary completion rate, total (% of relevant age group)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kuwait,,59.30756,54.41609,51.74248,49.05614,58.19484,81.20552,68.1546,73.85586,75.07488,82.18938,94.90963,93.08636,94.39723,93.52937,93.6414,93.76483,94.28742,,,,,55.93252,,82.26693,76.18183,109.3182,106.40349,,103.61398,102.94436,90.52467,97.03097,102.30545,104.92038,115.12757,104.56633,112.11736,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,103.36417,99.08198,,,93.57547,93.38592,93.26531,93.47546,90.77431,93.44351,98.40893,101.97743,96.87454,94.85876,97.15922,96.57164,95.78288
Lao,,,,,,,,,,,,,,,,,,,42.90567,,44.25042,,41.29756,44.45926,49.73263,,58.11406,61.17093,65.50882,71.01988,69.35926,69.45831,69.82693,69.24571,69.5324,71.73863,75.28198,77.39067,79.4773,82.44278,86.5188,92.61441
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,74.98315,73.57229,86.41045,,90.65486,92.37432,98.13548,97.9701,102.80951,98.56364,94.69501,92.05275,93.94437,91.5771,89.21749,92.1097,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.65774,88.06852,102.14456,,,,,,,84.97406,85.56384,87.07584,84.99345,87.25682,86.99127
Lesotho,,32.82374,36.49597,40.43828,49.65389,52.18268,48.74778,44.87714,45.37576,46.14379,46.22159,47.51941,48.03272,49.23295,49.76126,49.85204,50.05251,52.72372,55.40887,55.9358,58.37637,58.89617,61.31405,61.07336,63.23445,,64.012,,62.73349,61.23239,59.7782,61.39642,62.1208,63.55067,65.2653,60.15652,75.69309,70.79301,67.97011,67.7762,69.56458,
Liberia,,,,,,,,,27.56847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.05304,62.33871,61.50561,,65.99624
Libya,,44.32207,81.1167,72.99819,91.13654,113.33807,107.42449,110.7418,108.05349,101.50768,93.26796,95.29913,,99.84883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.38902,109.02062,,101.78117,102.86976,103.64964,94.59459,111.05398,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,93.01213,97.08417,98.74608,,96.65345,97.18774,103.62573,104.65976,106.45625,99.72724,91.66205,93.16379,95.67181,91.91962,95.87151,99.36692,
Luxembourg,,,,,,83.90023,84.20952,86.65403,84.90423,84.47784,,,,82.73335,,,,,,,,,,,,,,,,,,,,,,,,,,,83.47911,
"Macao, China",,,,,,,,,,,,,,,,,,,,,96.70604,,92.54084,95.30586,,,,,,100.33167,99.45666,100.20988,100.7876,98.32043,102.86533,95.73555,101.46128,97.98805,97.08964,95.21001,97.29573,97.00351
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,98.13604,98.1482,96.5206,99.06728,99.95126,104.09467,103.9073,100.41547,98.68969,99.69823,95.68378,94.3656,95.36908,93.41309,92.83422,92.56845,92.29004,,
Madagascar,,27.15432,29.90158,29.52373,,32.06095,,,,,,,,,,,,,37.82896,35.87096,36.12174,35.80373,33.69532,35.38448,32.68323,32.12758,31.86967,,31.29749,34.13699,37.10932,36.67079,36.75312,40.64254,46.65097,59.246,58.16133,62.56269,69.10141,75.97301,72.45633,72.90293
Malawi,,,,,19.8347,21.02563,23.09371,27.39857,28.51432,30.61465,31.35119,33.92128,33.59995,33.48706,31.95801,32.86699,31.74621,31.36086,25.17208,25.97717,28.38962,31.85669,35.89964,38.88333,42.2983,56.06334,65.50651,,,67.24798,65.47709,65.76422,68.21781,,58.6541,58.41295,58.26718,59.30155,64.12193,65.88829,68.29354,71.16301
Malaysia,,,,,80.54472,,,,,,92.20808,89.75627,90.48028,94.98859,95.01047,93.88128,,92.49076,92.5437,89.94107,87.86,89.16302,,92.14212,,,,,97.12327,94.97092,,,92.44213,92.6063,96.4613,98.96242,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.16883,131.78629,,114.66371,120.31711,114.0062,
Mali,,9.90654,9.06059,9.39316,10.08459,,11.09444,13.28486,12.40888,13.06101,11.53515,11.10141,,11.36102,10.88305,10.29885,9.47215,9.40184,9.07273,,,,,,,,,,,,29.36225,33.19631,34.18803,37.24913,39.11455,40.63092,45.61152,48.43094,50.78347,52.10435,54.83242,55.38686
Malta,,107.9129,113.08396,110.10655,113.46026,101.16078,78.56479,102.72818,97.95259,108.20571,113.38766,129.15154,112.90323,108.33159,103.34804,108.50778,107.10725,110.09109,99.46459,99.58026,97.78035,95.91498,98.45592,101.09507,100.19897,95.3638,95.01063,93.21563,94.5547,96.81308,100.05017,99.13162,100.24301,99.14848,97.34738,94.6535,,95.86193,98.46589,92.03004,96.71453,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.52982,,,114.46777,103.83973,,110.39216,114.58128,116.18217,112.93346,107.56901,,97.28217
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,10.33111,10.49777,12.09489,16.02817,19.16844,25.55148,,29.13896,,29.91844,32.20332,32.94356,38.37243,34.15499,28.7586,32.42098,31.39229,32.94435,32.60181,33.60868,34.462,38.82926,44.35395,,,45.94883,43.54353,,,43.59767,44.81623,56.69814,,70.05976,74.7993,
Mauritius,,,,,,,,,,,,,,96.98056,89.36463,97.55283,124.12211,94.47063,93.80164,62.59139,110.578,116.49805,117.07279,112.43267,105.97601,97.66449,90.84948,86.9806,87.55321,92.36771,95.54857,97.0018,95.59493,98.03067,95.28662,95.66757,92.18883,93.99942,93.45827,91.38259,96.02411,94.93418
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,67.96662,69.82245,75.32525,75.59943,79.68735,82.73779,84.93428,86.25406,88.17011,92.27087,91.1438,92.81981,93.02637,92.25536,91.37223,89.00233,88.44246,90.03243,91.17123,92.93345,95.98125,97.74683,98.0866,,98.16973,98.61246,98.72219,99.34824,98.58987,99.41697,99.57817,100.69887,103.60254,104.28724,103.92452,105.00679,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,94.89144,,,,94.35631,97.78653,97.26115,97.1417,95.3809,96.22394,99.48995,98.03026,92.91347,91.37655,92.81584,91.9797,91.09963
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,95.72888,99.92108,99.34374,,,98.04125,,,,,,,,,,,,74.63777,79.25805,76.71493,87.94019,85.81163,85.79663,90.78133,98.50893,100.35826,97.44364,95.87662,109.65437,108.13563,,,108.64677,115.28969
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3372
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,28.39732,27.74464,28.45568,29.00787,30.4633,33.16705,36.5472,40.60324,43.92889,46.31081,47.52776,49.33976,49.80577,50.35047,58.19766,56.40741,56.20708,52.47191,45.17065,51.74715,48.08434,46.45718,46.55387,46.50189,48.03306,48.69655,50.17161,52.91889,54.61301,57.37881,59.13208,61.96141,66.79488,74.98697,80.20768,83.95122,83.63097,81.76123,80.93923,84.68915,89.2743
Mozambique,,,,8.18183,,,,,,,,,35.10869,27.46637,32.50291,32.70024,43.63756,32.79592,25.82644,25.46065,26.62078,26.78459,24.99987,24.93568,25.44365,25.94695,,,,14.0266,16.17677,18.92462,22.34015,,29.55742,41.62583,41.32598,45.77765,58.88599,56.39819,60.55692,56.24013
Myanmar,,37.3806,35.57143,43.9033,41.57144,,,,,,,,,,,,,,,,,,,,,,,,,74.1357,80.84201,80.73783,82.21058,85.30942,88.27904,,95.14928,96.50407,98.96473,99.98528,103.59616,
Namibia,,,,,,,,,,,,,,,,,,,,,,,74.04317,,71.90029,69.26673,77.49162,,96.15176,94.83711,91.4102,94.02718,92.6258,92.92911,85.35019,85.32123,82.18624,81.56993,78.3682,83.91983,81.12271,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,45.64144,,,51.55548,56.75286,,,,,,,63.23806,65.78889,65.41372,70.00653,,,,,,,,,
Netherlands,,97.99057,96.33189,96.44991,95.57191,95.48371,95.68355,94.51268,93.09942,92.37883,92.86494,97.12744,98.29393,96.98562,94.51047,89.73871,,,,,,,,,,,,,,99.62947,98.44693,98.85605,101.17873,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,101.95202,103.80546,105.5594,104.48926,101.55537,99.55754,99.02216,100.57565,101.73861,103.63025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,25.45285,29.04601,29.53247,32.14398,30.32534,,,35.18538,34.78098,30.75825,34.49734,,31.34048,30.93373,29.39076,31.56044,38.67227,47.78968,48.42716,42.05921,39.51556,42.5419,44.75535,49.00652,54.09783,49.54691,,,,67.37634,66.22859,66.67096,73.31842,72.08148,71.94009,74.55251,75.22536,76.25224,75.89813,,80.94473,
Niger,,5.61825,6.81308,6.89101,6.79029,7.16215,7.80224,8.68002,10.51618,10.89364,13.95128,14.81595,17.01735,18.31959,19.88144,19.48169,21.50995,22.72288,,15.10714,16.65926,17.78228,18.72183,16.68903,,14.1095,14.56248,18.65839,,19.91435,18.70835,19.58843,21.21737,20.54622,26.71304,29.4929,32.36175,39.50291,38.39873,40.99332,41.18989,46.21819
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.22722,79.56054,82.90254,91.10968,81.09613,69.99011,71.31754,74.36041,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,99.03407,99.37346,97.61396,97.98823,99.52059,99.93542,101.59877,101.79232,100.93228,98.86534,99.72656,100.64941,,100.34399,99.85592,97.40514,98.16756,96.35272,95.09334,95.21155,99.98661,101.27155,100.04082,,,,,97.72301,97.68268,97.99214,101.63537,102.81158,103.62595,102.74932,100.18967,97.65198,97.3587,98.40863,100.46874,98.96721,
Oman,,,,,1.50456,4.18579,7.52004,16.57207,17.97079,23.35593,,,,35.17361,41.07063,40.17091,43.61315,46.07089,52.51542,59.37792,62.45164,,71.02133,,69.14983,71.6364,73.98803,76.13977,77.94646,79.51276,78.2683,80.46128,86.1338,90.63721,,,,,,100.92355,101.34979,107.01157
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.30634,60.47968,60.66257,60.81788,62.24983,67.05817,66.80988
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.83721,,,,104.45026,,,,,,,
Panama,66.00691,70.25164,74.28133,80.13336,82.70078,85.95901,98.54822,94.36777,91.1408,89.62881,85.2405,83.497,82.07244,83.5878,80.14639,82.43085,83.63891,84.97978,84.18164,86.26355,,,,,,,,,,91.53668,93.92163,94.68421,95.52574,,96.92651,96.48088,93.72859,97.97536,101.15231,101.03385,96.85478,101.19976
Papua New Guinea,,,,,,,,,,,,,,,,,,42.44603,45.48163,45.90189,45.1365,43.3413,44.06435,,50.0698,50.02832,,,51.26486,,55.11308,,,,,,,,,,,
Paraguay,43.72309,45.60414,45.67252,47.43845,48.521,48.74484,49.86521,51.36325,52.03733,,54.28036,57.27772,59.76079,62.39412,64.13943,65.99269,64.56992,64.84867,64.31192,64.19258,65.36412,68.62538,72.036,75.23001,74.83566,76.82258,81.308,,91.95559,89.11638,92.06657,92.70351,93.60813,95.95183,94.55782,94.92657,94.09638,94.68136,94.31745,93.52846,90.87621,
Peru,65.21077,,,66.01142,69.16204,70.58048,76.92628,83.68419,82.69806,82.82159,81.30389,79.70926,,,,83.6615,,,,,,,,,,90.14915,,,99.4909,104.54589,103.06029,98.20555,97.58687,,,,101.7218,103.48051,101.86634,98.43674,99.63961,96.79226
Philippines,,,,,,,,,,,,86.56279,,90.88229,91.60157,89.97668,87.65831,86.63942,85.63598,86.82119,88.6225,,,,,,,,85.03121,87.03554,,101.40215,95.31537,95.87012,94.58287,94.4162,92.00941,91.74664,92.30594,91.56542,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,97.88474,96.2778,94.5093,96.86443,97.32418,99.57951,99.40653,98.17981,97.02779,96.78065,95.379,94.67557,94.95892,93.65109,95.55861,96.9922,98.63161,100.11021,101.03122,98.08034,96.48515,97.53019,99.49202,95.84941,,,99.20217,97.45944,96.57555,95.43751,97.1098,97.19256,98.79494,99.60196,96.95292,96.24475,95.76091,,94.7603,95.35599,
Portugal,,,55.99976,59.66064,65.75448,72.13316,66.3598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,62.44919,65.41555,66.06852,63.82161,69.0714,76.43904,75.67388,91.67464,90.33457,88.69048,83.62069,91.63588,,87.73132,86.2463,82.12235,70.457,75.5102,74.97656,74.09165,74.71793,68.58743,68.71835,69.87967,65.57926,56.58742,,91.59882,92.51163,,,,100.53688,,92.30137,88.56064,101.94494,103.63082,99.69612,,95.84927
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,92.10696,,,82.61629,,91.18567,91.23428,95.20471,,94.21486,95.16078,94.93322,91.89225,97.20391,102.70648,106.1448,100.27313,115.41941,90.8085,91.18877,92.47205,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,93.59479,91.88452,,,,90.62023,90.77255,92.54022,,,,,,92.57879,94.37694,97.92583,,
Rwanda,,22.46763,24.07352,26.29735,27.13587,28.49534,,29.80735,27.21676,,36.43244,47.0866,46.41265,45.01612,46.33217,47.71404,44.41785,44.03419,44.85319,45.35951,44.84806,45.75726,49.56747,,,,,,,29.85914,22.8536,24.01276,29.62708,39.78082,40.00088,,,,51.16539,68.04947,69.63397,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,117.49735,,,,,,,,100.73607,102.90635,109.53437,99.65831,110.40936,109.0584,,93.21267,84.74204,93.71672,88.6812,92.86453
St. Lucia,,,,,,,,,,,,,,106.53935,101.80495,,,,,,120.33133,113.53498,,117.84409,,,,,,,,102.92958,104.45321,103.81895,102.96043,98.79206,106.40351,107.30907,97.56098,96.29399,89.65298,93.15292
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.61538,93.02532,102.10668,102.12862,,,109.37207,,94.2022,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,101.39809,96.5988,99.83633,96.50206,93.90189,94.44568,93.73188,98.69815,101.84662,99.6777,,,108.06799,,100.55237,101.32715,98.44929
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.61677,101.23839,
Sao Tome and Principe,,,,,,,,54.0308,,,60.7876,89.58247,113.12726,111.82837,107.78066,99.1456,,58.91106,75.08943,,79.01851,,,,,,,,,46.28869,,,61.57999,59.75035,73.10924,74.34002,,71.62943,75.19841,84.04203,85.30544,114.68432
Saudi Arabia,,,,,,,,,,39.75209,,,,,,,,,,,,,,,,,,,,,,,,,,90.42009,,93.41443,96.50305,92.24443,93.30542,
Senegal,,28.52061,28.36152,28.23381,,,,,31.30846,32.66714,30.39902,31.95471,32.39628,33.73638,34.70569,34.90985,37.59522,,42.84334,43.75733,43.23876,,40.66507,,40.21434,,42.06516,42.29395,44.5548,43.96888,40.25874,44.69778,47.22021,47.19749,49.17275,54.03064,50.72507,52.14086,59.37386,59.89998,59.24093,62.81421
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.51979,104.3832,96.41524,96.44893,99.30804
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,82.02479,92.9102,101.97628,,99.31164,98.40393,102.20318,97.79951,103.49051,,100.4905,94.1358,96.37046,107.07908,101.42303,99.28479,115.77922,107.50163,95.12516,100.7984,,113.87782,107.89125,106.11296,103.66911,,,,106.1828,113.54447,106.59933,112.74576,113.83126,117.32283,116.12184,127.47918,,119.65099,124.77733,125.06573,133.14968,
Sierra Leone,,,,,,,,,24.09726,,,,28.19162,28.34988,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.39934
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,95.66225,97.38408,97.07428,95.21292,93.89966,95.9326,95.30287,93.98128,97.67539,95.09782,95.99369,94.57515,90.37075,90.79646,92.97794,95.91059,98.2074,98.53745,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,96.01316,94.96455,95.99016,95.18826,95.92743,99.55093,99.11219,95.75978,95.85296,95.94077,100.72781,112.15106,,,,94.94617,94.61841,96.4011,
Solomon Islands,,,,,,45.11048,,,,,66.47654,61.67883,55.58623,53.46671,49.76959,,53.5901,,,,60.10822,71.94451,69.26313,70.60944,73.04609,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,75.90394,,,,,,,89.8654,84.95905,86.37971,,91.46445,95.01249,99.35417,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,98.44479,98.30192,99.34573,102.95426,104.36289,104.46541,102.28947,106.16878,103.81969,101.28509,,,101.83895,102.7207,,,,,,,,,,103.68327,,97.74459,98.71,100.13545,102.43751,103.38261,
Sri Lanka,64.20564,,80.80839,,73.96136,71.74628,42.83809,58.63232,64.71131,70.14372,75.95284,80.47203,87.44908,82.99105,81.58859,83.68776,83.79325,88.67087,,94.59548,96.99056,99.5995,99.64511,,,,,,98.22432,,,107.06163,,,,104.99827,103.57707,101.61394,96.43547,95.37824,100.80201,
Sudan,,10.8813,26.29049,,,,,,,,,,,,,,,,,,,,,,,,,,,36.70154,36.68889,38.5123,40.4351,43.41615,,,,,51.04514,57.87182,,
Suriname,,,,,,,72.69568,82.08461,75.21724,79.12639,,80.926,87.85132,93.37741,91.57533,88.17192,,84.24069,82.03009,88.21433,,,,,,,,,,,,97.51872,,,,83.89475,91.62682,76.42173,86.41036,85.99264,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,42.26822,40.54284,41.54497,49.53316,54.31638,56.46493,57.54772,57.26574,56.1394,55.40097,55.55415,58.60714,59.86768,61.92676,61.77832,62.34339,63.54961,62.77281,64.97789,62.18324,62.87164,60.806,60.53456,60.74789,61.7901,63.3471,60.81067,61.43284,62.89608,59.72058,60.66917,58.17529,61.2708,59.49214,62.246,65.44723,66.25403,73.25881,,72.32633,76.92437,
Sweden,,94.75005,94.35383,90.91698,91.3327,92.8313,96.81903,104.07212,104.38826,104.87767,103.2301,96.50774,92.03204,93.47968,98.08739,,,100.66149,98.31223,96.25296,96.52138,96.3309,100.54181,106.12503,104.31011,,,,,100.47625,99.72797,102.48699,102.57943,106.34371,104.01056,100.26838,95.96176,95.67252,94.87908,93.7101,96.95312,
Switzerland,,,,,,,,52.7054,59.78169,57.56407,56.15388,51.99823,51.7026,52.04534,51.21579,50.71001,49.86722,49.43012,48.48369,49.88265,51.25612,53.62531,55.18337,61.21732,62.28523,,72.97063,,,95.37872,96.41848,97.75656,97.93131,98.08053,99.01643,96.59996,93.72107,92.62985,93.45385,95.18961,95.66466,
Syria,,56.20527,59.87539,59.82375,63.99389,67.79869,71.74834,75.11094,77.37458,74.4003,72.82373,74.34952,78.96739,81.15236,82.63867,85.42742,87.42552,88.08045,88.22982,91.30994,91.68771,93.34184,97.77187,89.74682,91.93521,91.33621,93.10101,93.17244,93.24206,93.93295,93.24354,94.18455,95.26396,107.0374,107.81613,107.8561,106.39825,103.55912,103.20679,103.49331,103.61654,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,100.4294,,75.23147,,92.49232,93.12564,97.77363,98.4612,96.329,93.04527,102.66885,106.28712,94.91525,97.7571,101.26625,104.01998,103.88891
Tanzania,,19.90604,24.63871,27.90243,31.53624,35.3405,38.8798,,,,,77.16779,87.9945,94.20626,123.40221,80.37782,71.79761,68.87869,62.83915,47.5569,,,55.05356,57.95505,,,,58.43633,48.48942,57.4209,,54.98846,59.17696,,58.24496,55.34246,72.66421,83.24304,,102.99039,89.89012,
Thailand,,,,,,37.28795,39.29235,39.59873,40.64267,,,70.86161,,,,,,,,,,,,,,,,,,87.62178,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.00864,67.97609,65.47387,
Togo,,25.69481,31.08853,,,,43.46434,,53.26847,52.86669,54.64189,51.29194,48.81834,47.78868,41.3001,34.83447,34.63561,33.24433,38.64504,31.28678,37.56764,37.71576,38.73573,,30.21318,43.26069,50.53947,,,59.89129,68.95983,75.4567,,74.78347,76.39293,75.59909,75.46598,,68.47656,68.19038,73.67122,76.64333
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,81.95298,92.83167,111.50035,,129.62821,117.76711,,116.79587,96.07173,101.96249,,,,127.82498,97.09136,,111.11972,,,,,107.83796,107.44634,,106.54515,106.68297,,,109.10563,104.01786,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,108.84807,,,94.20429,,,98.30459,,,101.93939,100.76158,98.23305,,,86.81283,86.99612,,93.88523,86.63347,80.72576,,85.14317,91.94046,90.20569,,93.09797,90.21315,91.96443,91.03189,
Tunisia,,55.25584,52.77382,59.33541,60.92211,67.52273,66.34605,67.7899,70.47222,58.66041,60.31534,80.19359,61.86169,62.51402,66.18474,66.79865,69.77142,71.0363,70.67878,75.3232,80.14212,74.30358,69.28159,74.09197,81.15087,91.62208,89.05388,91.17335,,89.21543,88.18269,89.04401,93.70642,96.87651,99.56125,101.86287,,103.0664,93.66008,91.15347,,
Turkey,,,,,,,,,,,,,,,88.66508,90.48815,95.23877,94.55812,106.52064,91.88555,92.10973,93.55134,98.54441,91.69879,91.39643,89.90613,,,,,,,,,94.19432,98.77635,96.43701,95.89122,98.12202,99.15926,100.38287,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.35754,96.28647,91.74757,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.87124,101.68776,92,96.08696,100,106.30252,99.17012,,,,,
Uganda,,,,,,40.10893,40.19094,,,42.03989,,,42.1842,,,,37.51275,,,,,,,,,,,,,,,59.98059,62.24963,62.11192,58.63345,57.49717,,53.56433,58.39345,58.51118,57.18297,54.94205
Ukraine,,101.7434,100.70087,98.62769,94.38094,,92.85425,90.74735,95.9568,97.76726,99.38333,,99.83567,99.37384,99.98847,96.28744,,,98.65328,,94.73952,92.22884,93.93137,99.09407,95.12173,,,,96.58517,94.16546,91.19928,95.2014,97.51705,,,116.96845,104.90619,102.05482,100.18184,97.04276,97.62265,96.62174
United Arab Emirates,,,,,40.77585,43.43434,51.34529,58.13844,61.62642,66.29861,68.41872,72.44833,82.17996,82.06992,79.66647,76.17479,77.90317,77.65171,75.49753,82.71146,91.46333,98.05444,96.4564,93.90966,92.49605,90.43889,86.8863,90.55041,89.1793,88.70667,86.06322,82.93446,87.26425,90.95213,96.01407,99.51234,99.6292,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4398,99.29543,99.06578,101.18404,101.12787,101.48671,100.3758,99.26894,98.18552,100.19121,100.55581,102.49553,103.64321,
Uruguay,66.39604,69.57619,68.927,71.54472,68.16597,,69.42005,70.32001,69.31825,70.59269,72.74525,,,,,87.10269,88.12692,91.91738,92.27266,93.03838,94.6555,94.99917,92.84084,94.56182,94.83684,94.41067,94.4634,,95.93975,96.33678,97.44209,95.54074,95.07663,91.99517,92.44086,95.59686,99.72295,104.27171,106.51737,105.90322,104.35288,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,98.55826,,,,95.58818,95.11907,100.45233,102.17961,96.81514,95.31905,97.29902,99.30526,97.42415,96.14793,93.22111,92.67915,92.85109
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,83.71754,,,,,,,91.20401,92.11485,105.81566,103.30935,97.00563,90.64282,,,81.7409,80.17038,84.6236,,
Venezuela,,67.27494,69.4192,71.22365,71.00123,71.54782,69.85836,69.78356,70.30062,70.17864,73.73343,76.13326,80.09697,80.5153,79.6942,81.25158,81.97532,80.21586,79.52867,79.17139,78.57035,81.03448,84.7019,84.02659,,,80.90234,80.85263,,81.42947,83.29524,84.86397,91.77488,89.75467,90.01915,91.93512,95.84633,97.75038,95.34272,95.20499,93.8484,95.09948
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,89.35919,90.42531,90.80773,,99.56999,97.85214,97.83838,93.72941,97.34224,90.06203,92.91019,,86.71825,88.55809,90.44082,94.9576,90.9477
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,80.7888,,,,,,,,,,,,,,,,,,,,98.17669,98.3775,103.68627,101.16685,99.55167,,93.10556,97.66155,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
