Reported cases per 100000,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Suriname,399.6550241,367.769564,344.4105649,,1139.595618,1588.35113,3968.091293,2672.346652,2899.376769,3223.538608,3008.869429,3879.431786,2951.853956,3281.848959,1821.481875,1931.407304,797.5452037
Venezuela (Bolivarian Republic of),237.7507552,215.0383428,103.5634512,59.29544676,63.51439633,74.1503487,83.65046031,97.3537385,93.13462512,79.73092172,121.8567567,118.5960792,116.4223171,122.9633362,177.6635133,168.5614,136.3013903
Afghanistan,2507.86475,2200.526402,,,512.1398167,,1601.215039,1041.093963,1452.177111,,,1700.945641,2821.83596,2533.451964,1085.943352,980.8792748,1041.109371
Djibouti,577.4283834,1265.739814,1260.736859,692.8310447,1005.122194,958.4173137,950.8235019,650.2236745,862.0601782,865.5116174,639.5463565,577.0090271,658.2535371,648.3132398,271.0212262,322.0567864,941.7123086
Egypt,0.1360249269,0.04265434657,0.027891255,0.02908501768,0.8851442528,0.5309299859,0.04046386283,0.01747675837,0.02027474937,0.09339235036,0.02555292855,0.01623438221,0.01449196266,0.06404065358,0.06009782024,0.03157181243,0.03910121199
Iran,136.6948684,166.11483,130.0443351,107.1557406,83.39092518,108.5738781,89.34621877,60.52350958,50.92885619,35.31730713,29.81614662,28.9099043,23.08903371,34.64971822,20.12694963,27.32041798,22.63976017
Iraq,21.19378819,9.250903864,29.24805498,245.6226287,468.7317205,456.294305,223.3278784,60.65679854,40.84490064,16.98512303,7.424692363,4.924607184,3.619573544,1.290369891,0.5645444385,0.1678812218,0.08419325636
Morocco,3.373946594,1.955265195,1.575497551,0.757676526,0.7759913987,0.730966893,0.3729995977,0.4507333973,0.4304598514,0.2107144283,0.2046684172,0.2022871338,0.3627686654,0.2447957924,0.1857269502,0.327922707,0.2690178699
Oman,1775.368177,1009.23412,749.6357237,824.7943758,341.7879465,82.92542099,56.76550596,44.97753096,46.93926368,38.03106306,28.89037642,26.16720141,24.13980466,30.09079287,24.8119236,21.6988786,17.39763573
Pakistan,70.52703027,57.33366809,83.16177377,76.0059964,87.0490277,87.53159691,74.83541914,57.65106624,53.33226353,64.99491572,57.1666282,85.06549878,71.75997173,81.97031025,81.57908798,80.86128676,77.61130219
Saudi Arabia,96.37209447,59.51582603,114.4892329,105.0637167,56.1946949,102.7419234,112.334057,107.4950033,206.8987622,64.9851508,31.75917014,14.39318694,11.91799072,7.668762484,5.345604388,4.484939244,5.286465849
Somalia,,,,47.82269497,,,,,,132.4471345,146.9013441,142.5139802,1293.315225,302.4260138,461.7962077,348.0676566,583.2290852
Sudan,28954.15207,26135.95583,34199.1248,35249.2992,29794.80839,21521.55491,15184.9478,13095.62571,15903.18998,12929.75567,12992.5199,12398.67433,10118.61735,10528.70807,7192.2859,7732.505591,5924.519014
Syrian Arab Republic,0.8411341318,0.4121615124,3.382184137,6.968803997,4.094696062,4.284634425,2.303453952,0.8473514596,0.3818732653,0.2670965057,0.2543780121,0.46609479,0.1550712254,0.1341286866,0.07069357192,0.1481961276,0.1751895074
Yemen,92.45080389,98.54859165,216.3388356,219.6866566,249.7298191,3221.035371,2585.487922,8382.914639,,15755.68125,7669.758433,575.3307212,970.0054932,878.0229344,774.3022729,950.716021,931.2237254
Armenia,0,0,0,0,5.952124271,15.55635024,10.91878938,26.75779802,37.06420701,19.87102543,4.57495133,2.577643349,1.704830835,0.954694794,1.552753991,0.2319677393,0
Azerbaijan,0.3327929608,1.541433599,0.3622617693,0.3036567,8.675338276,36.45091788,166.651357,124.4963807,64.44870145,28.61624332,18.73976666,12.91935392,6.149018922,5.831013832,4.647277646,2.897502293,1.70116037
Georgia,0.01831501832,0.03695142606,0.01875527961,0,0.01950744863,0.01987058289,0.1413099432,0.02046436928,0.331362829,1.068213831,5.190610884,9.408864007,10.23054046,6.902070358,5.667499745,3.464919036,1.353492247
Kyrgyzstan,0.02275570702,0.02251157095,0.04466113032,0,0.1320184588,0.06533815326,0.5588879849,0.2751877786,0.2290702186,0.1025001635,0.2425984232,0.5593855709,54.25787916,9.167763011,1.804946251,4.343191289,6.085239757
Russian Federation,0.1453420742,0.1133534419,0.1071502098,0.1399317487,0.2244206514,0.2849980048,0.4102701427,0.5589676724,0.7287362989,0.5353989457,0.5392644299,0.6115981679,0.4392470916,,,,
Tajikistan,3.299924271,5.425868882,7.320803404,11.03961223,42.37113139,105.7274004,282.8504273,501.8233499,321.5414315,221.3071572,308.8370255,182.3096116,97.50214077,84.93673324,27.89383889,21.3428174,11.68703036
Turkey,15.13657516,20.92143349,31.4045493,77.96671913,136.8302724,130.8585256,95.37478953,54.59704804,55.78825732,31.23453164,16.77269124,15.61648402,14.56035263,12.95511452,7.343306216,2.812125243,1.037583437
Turkmenistan,0.02726280609,0.4505126436,0.2831495393,0.07506406718,0.2194569562,0.2384939204,0.3278625563,0.3230005459,3.120528476,1.102469847,0.5330798243,0.109544191,0.1727894612,0.1490070595,0.06294578731,0.0206899434,0
Uzbekistan,0.1364838086,0.0571195714,0.1162288319,0.1636003493,0.09342311087,0.1178090347,0.2186969512,0.219520701,0.3078968382,0.34871782,0.5096356118,0.3069778864,0.2907485006,0.2865147349,0.2518236227,0.3835578093,0.2816848266
Bangladesh,47.65653427,54.96857926,97.75887153,103.6552721,134.7099863,120.9287796,78.23718067,52.15309666,44.75090247,46.59571514,43.31500003,254.3395911,211.9699669,332.7453119,143.2807406,124.4275877,232.0919298
Bhutan,1735.065049,4063.738581,5402.172084,5381.938463,7785.418457,4573.281371,3083.729867,1747.428886,1454.572269,2251.961288,1062.544198,1783.400894,1219.53077,665.5417918,485.8124157,305.6452537,306.8903118
"Korea, Dem. Rep.",,,,,,,,,4.818336715,35.08531271,321.3693257,1282.523645,1036.402661,258.7911051,143.7582619,48.72624299,39.45157544
Democratic Republic of Timor-Leste,,,,,,,,,1266.029077,,6088.527751,7475.992331,2975.026344,3467.619097,21539.17204,16577.85877,17185.6046
India,234.6889289,240.9519779,236.8346556,240.846757,268.4738094,313.1392855,311.9924302,268.2824844,220.0947104,222.2169694,194.2000827,195.9753616,170.1847145,170.0239219,171.4761393,160.1343415,154.9908169
Indonesia,94.01764522,71.25740387,54.71438892,71.1509975,75.00767927,62.4211757,89.81730743,79.40320456,77.81813603,,47.79801916,652.7310017,687.0800247,672.437592,669.5650678,793.1380416,580.0074375
Myanmar,2463.56323,2303.665515,1908.403117,1673.174777,1647.412316,1522.109286,1520.153999,1283.09485,1221.994909,266.6766847,,1239.34172,1543.232453,1519.628569,1267.479634,1054.97153,982.4406792
Nepal,119.5762347,148.7006796,115.638416,79.4850726,44.67358147,44.84188023,29.83485991,39.34264705,36.43982795,40.62807425,31.18844648,586.3783262,523.4402828,755.5597948,529.8170317,657.1870552,559.9036487
Sri Lanka,1679.279298,2310.398626,2278.129407,1844.824751,1526.647745,787.0106245,1010.838161,1189.49515,1144.369947,,1122.38027,353.7401741,219.2548206,55.42210365,19.53772072,8.577063583,3.076932689
Thailand,504.4636691,361.0383983,302.8529206,204.8861743,179.5409565,143.8439874,150.6187346,165.7993985,220.3519373,208.6469351,134.6595349,103.8181864,72.24207156,60.12731022,42.65958557,47.27083166,47.74765607
Cambodia,1276.564853,1025.206453,876.0375148,924.1246178,767.8016786,675.0815121,640.0307284,734.2397929,480.0676991,516.3447432,488.5845907,845.8631823,755.6816978,887.4571068,669.4836656,480.3551745,627.6779277
China,10.22173673,8.740046546,6.293836962,4.965474626,5.165921732,3.861026169,2.708693745,2.153901689,2.157241279,2.115410118,1.458030783,2.094151359,13.29030201,13.02157735,11.09969358,7.580862568,8.751394299
Laos,540.7848003,977.4138536,890.2252802,939.0640956,1150.275624,1108.644898,1620.231027,1467.65497,776.6870123,547.0981272,765.8160365,1956.203232,1576.921475,1615.697692,965.4197857,536.0078109,355.3839946
Malaysia,278.954034,210.7234462,193.0752657,203.7431639,293.6293712,287.501884,245.779137,122.9877367,60.73110691,48.81262177,54.58971458,53.75428914,45.42363944,25.63064717,24.42892815,21.70897461,20.27285796
Papua New Guinea,2539.345328,2040.554427,1988.339367,1495.880768,1417.760924,2102.561685,1468.128931,766.7771875,409.3866683,354.0862785,1508.803117,29764.95634,28052.17459,28469.57547,31481.23186,29462.98917,27035.87248
Philippines,140.7899249,137.8653152,149.3442251,98.98603331,92.34490969,82.89032915,57.85457513,58.68335534,69.37716031,49.6574745,48.01801686,44.69394929,46.55306712,59.67673151,61.36270309,54.96879408,40.70077484
"Korea, Rep.",0,0,0,0.002264325852,0.04484968125,0.237738028,0.8721538136,3.7653307,8.650766477,7.790636404,8.85416464,5.432839949,3.804866159,2.465762124,1.811929441,2.859838441,4.268431257
Solomon Islands,37149.23469,43823.21949,46186.0706,36906.99144,37445.75942,32757.61998,22784.9836,17800.77762,18504.8786,15621.85462,16340.81641,17912.15153,17094.76847,20163.25368,19593.15193,16169.96776,15564.82053
Vanuatu,19274.13365,12654.47548,8408.397043,6408.467085,2244.763112,4829.868773,3213.613809,3402.415553,3388.111735,2772.411492,3567.30602,9746.589698,17188.46503,20964.00274,18926.43794,14985.18801,9595.289322
Viet Nam,187.0806427,277.9159887,326.8425254,221.1035927,194.6224641,136.5286291,113.4766674,86.95293285,93.79900016,96.32847201,93.95861623,234.4029643,227.0386155,198.7941133,153.1283298,116.5030941,105.9672655
