"Inflation, GDP deflator (annual %)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Denmark,4.306625382,6.635904693,5.773484803,4.611031223,7.436469786,6.832658723,6.250003609,6.999159172,6.973849504,8.339349127,7.285798672,9.598600365,11.27133448,13.05462015,13.32403425,9.382775407,8.928019657,9.014356948,7.043968484,8.504711023,10.44643241,10.09938187,7.402546425,5.983422008,4.303415498,2.665910258,4.795738826,3.932904414,4.95307632,2.833865163,2.675378208,1.677737262,0.6653201895,1.533473904,1.256832516,2.007119821,1.988403899,1.187434259,1.681251466,2.998562829,2.496210924,2.30312423,1.646074671,2.325730355,2.877886753,2.124598019,2.278837647,4.231711987,1.027411849,3.859264875,0.8084531935
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.800042863,3.399971163,4.399987767,6.500004712,4.886047774,3.51280401,2.519892618,2.204555782,2.018435568,2.4,1.759704789,0.632524599,1.968232616,3.131553469,3.151951777,3.500829311,4.929200606,9.523655216,1.686429501,,
Dominica,,,,,,,,,,,,,,,,,,11.11456091,20.24270253,16.76784004,-0.03524743203,4.489199968,8.020745441,6.628200138,8.332633012,6.168171519,4.852733507,4.814980936,6.942696691,3.028173074,7.830898628,4.142712521,2.787874629,5.987655492,1.967576211,2.821780566,2.422005543,0.1643483405,2.895424577,25.61441288,2.58718542,0.6795350173,-3.202815169,4.127038123,-0.8289205611,2.355596479,3.54926324,1.10665931,4.906155745,-2.281199671,1.133410741
Dominican Republic,-0.4179532427,7.640191525,7.19040387,2.106256184,-1.056860135,-2.358703276,1.786304228,4.032531046,2.830478037,2.104839563,1.184974827,8.028427271,4.507195703,17.71017903,16.95403872,2.861785852,10.57915992,1.901790146,10.17989884,11.68968614,5.093449292,7.760768032,3.473480821,18.33184848,55.29218461,9.387266172,14.42295623,43.5358762,23.60879809,50.45925317,102.7546351,5.6167065,5.008565487,10.18385483,9.404434819,3.432405479,8.66123322,6.00013109,3.479598447,6.914373549,5.10810512,5.471727681,33.63376473,45.19112841,2.694558283,5.399655891,5.700857255,9.767641715,2.953400644,5.141807804,6.649936948
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,4.981363231,2.148797551,4.282145804,3.273168577,3.752892307,7.857330325,2.297724279,4.358532101,5.791484528,-10.49518693,-9.153978367,14.03335969,15.60530241,39.73091125,9.310032953,13.58281674,19.02076804,5.162408982,17.15917138,18.83000259,13.60480228,-5.043661875,-13.00080551,-1.989399913,1.04196598,-16.3336098,-9.806719248,-7.729995232,3.700572467,5.855808947,4.173239248,4.137639799,25.19127788,17.81939537,6.864543065,2.838987589,6.805088419,-3.647657395,-23.47887605,-7.043515261,26.60602776,10.66273622,11.29179538,5.59355448,7.015148869,7.771279147,6.929252431,11.08580283,-4.379818473,7.595866872,10.27253666
Egypt,0.1721518523,0.4038058121,2.432901736,6.278240128,3.052265628,4.608086791,1.350414383,0.8929548172,1.470632963,2.200247025,2.448548306,2.511187867,11.49721374,11.23058147,10.39015931,12.4681375,9.92626996,10.97567296,22.32217419,18.03012463,1.188073976,9.167296127,8.293230983,11.15999216,9.037596447,12.78236821,31.13814418,13.6530381,18.53728763,18.44060723,14.47857192,19.73341854,8.42910539,8.448871564,11.3997415,7.107667446,9.877551521,3.892273039,0.869956402,4.932867114,1.867725721,3.185447964,6.777427528,11.669909,6.212728542,7.359977916,12.59574006,12.20398446,11.1722346,10.10750976,11.2
El Salvador,-1.765505856,-0.8716283656,1.314368732,0.820039392,1.284071081,-1.175310191,-0.3935101535,0.1948277952,0.4254351804,4.837511855,0.8064534693,0.4003207661,8.841359976,9.649149619,9.887977686,17.63421348,18.32163004,0.9600125562,15.56240678,16.95186558,7.397482849,5.549885332,1.593010963,3.052361892,3.15144321,-0.9429408307,2.36853291,3.906488536,3.357307356,4.743979292,6.806242727,4.253875214,8.515927242,9.891626295,10.43687064,6.757537729,3.544665587,3.949123525,0.3387565903,3.150424099,3.399310882,1.207639501,2.807783379,3.08744535,4.477895773,4.437434441,4.370536969,5.254720102,-0.4747541197,2.315439798,6.029569157
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,-1.981339657,0.6375937219,2.580831584,-4.516648726,-2.496223982,3.586915691,0.06934704882,-0.6991929911,54.17915802,2.607072275,25.3789401,28.05150091,-24.07642898,41.15963906,46.56174334,-11.97152743,-1.582890271,0.6356218994,16.92276351,42.64497277,14.40990675,-1.17040109,23.68635997,-33.78553041,25.28145449,21.41333539
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.383170015,10.43214786,9.81004062,9.074833559,3.897151912,9.109172678,2.318561597,24.97759526,5.170785558,17.70789654,31.5848131,24.79468082,7.630151768,11.38830895,7.287061783,16.08673675,29.50846413,11.56101833,13.34579645
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13619034,10.23794813,5.150290253,6.771463866,4.792985992,6.477933583,4.686435103,4.04207945,4.458085788,6.060844417,8.772549489,11.63933595,5.327443615,-1.001545316,1.077087327,3.737207441
Ethiopia,,,,,,,,,,,,,,,,,,,,,,4.270633862,2.703618639,-2.733879137,31.78752258,-5.272663866,-6.120972548,3.106075663,5.584832522,3.271733372,19.08376972,15.53249297,13.37635277,2.930820861,12.70672017,0.2389934475,4.520806995,-0.4374359031,0.6628490025,6.879437896,-5.754635665,-3.621357913,12.76748364,3.911626017,9.875290768,11.55209069,17.22083925,30.31248562,24.14607439,3.855907596,24.40253631
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0.6089771126,1.402525078,-0.9692700573,3.140746034,7.950934697,2.482876712,-3.598219931,3.29113507,6.494226483,6.831294554,3.359259177,14.72537148,15.99744965,29.64571204,24.31865752,7.911445103,-0.03202932196,4.431881064,8.141349608,17.31170561,0.9782100582,12.10856689,6.826345474,3.007499719,8.223477893,3.043471636,7.340009204,7.328014536,2.848296668,6.679472111,5.993127576,6.265133423,7.236737074,0.8416108621,1.156902903,2.89599185,3.450612265,7.487580902,6.811092605,-4.666524071,3.361065269,3.319015835,7.873830347,2.239113015,6.817738084,3.733812366,2.955230997,3.293645182,-0.2297975023,8.210156783,10.11896134
Finland,5.341778022,3.973944989,5.146610108,7.17576839,5.02328994,4.723843626,7.362064371,12.06376651,4.150325901,5.796190728,7.364097338,8.244069855,13.77204309,22.07139743,13.56799301,13.12468146,9.418662287,7.454190619,8.304979539,9.635583787,11.5931672,9.200224391,8.095451116,8.462011986,5.310975694,4.819356711,4.323761786,7.646511464,6.385324162,5.428823205,1.500639772,0.9189392833,1.92384478,1.637163435,4.523087419,-0.3637985448,1.991910102,3.412473531,0.9337677964,2.609527391,3.013001612,1.271321876,-0.6863669543,0.4830824774,0.4612660078,0.8471296379,2.990147036,2.945294579,1.386620264,0.4277308694,3.63501052
France,3.397070619,4.672841955,6.41425292,4.146896852,2.734586729,2.893585887,3.181559416,4.249454796,6.572534404,5.235924537,5.874831165,6.908856447,7.733577907,11.33827156,13.6383324,10.8234148,8.842882599,9.234682311,10.25716743,11.49996051,11.66129767,12.10019899,9.72352775,7.094062436,5.413606123,5.209913088,2.563025707,3.274571011,3.398579704,2.756212849,2.650659215,1.930139559,1.748370216,1.125065502,1.235254779,1.460538809,0.9134876982,1.034864144,0.1767485032,1.572879578,2.013749776,2.218179236,1.99740353,1.674257667,1.912219558,2.140711563,2.587109003,2.542074026,0.7159721454,1.050366124,1.341675432
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,11.4861599,7.566905724,2.209224332,1.179158411,10.02275015,4.031347303,5.014463266,8.379971032,17.85206612,16.38274585,9.306933537,9.099612226,5.959669634,9.601579312,10.81154875,11.37988422,10.52269036,14.24736469,12.29898541,6.606976642,8.589241594,-10.46615087,2.276471929,2.009540183,0.7643639635,1.450174746,1.271569884,2.002843503,0.8673234383,1.14156403,1.468337984,0.9840442322,0.7259143793,0.9305932495,0.9615340507,,,,,,,,,,,
Gabon,3.278446135,1.38092056,-20.34280715,33.54059301,-3.059107182,4.134426122,6.224734609,6.460875092,4.95912491,-0.4201994735,6.504165601,-7.276968614,34.75765401,65.41046803,4.372245192,14.66493519,9.79568003,2.859074084,18.98301604,36.78110196,10.4420667,16.90362925,2.924842115,12.01021711,-1.276051775,-20.80981406,0.99328323,2.615134404,7.728024789,15.35814139,-11.36610253,0.2138669575,-0.5094807799,46.55144295,1.339115488,13.56267674,0.9465368391,-17.78640148,19.19133589,28.0893436,-6.252593441,-0.2400433163,-0.09020600749,6.326494114,17.00210241,7.926870043,5.254309997,14.66683049,-19.42909944,18.64461006,17.42405778
Gambia,,,,,,,8.549715009,-8.686013593,7.128468671,9.069137748,5.163358306,3.156777993,-1.045507363,20.93722467,13.04858544,11.69319027,22.59541988,6.460343872,10.5969556,-0.1775873108,1.563508699,14.48742575,2.683088016,9.00161277,39.41910417,40.51679625,18.4980112,9.706151106,13.73657135,11.96453339,134.0358729,1.950029911,5.142323826,3.777396351,3.96324988,8.368569156,-5.969119059,5.411822288,-2.435495263,2.216982348,1.805437611,10.39134522,12.89394043,16.84620776,4.303666724,-0.3252067239,4.399186231,4.473146822,6.687062551,5.87093144,5.836681535
Georgia,,,,,,-1.815095726,1.357466587,0.6486855837,3.139767712,-0.06053769243,3.06730792,-1.304840185,0.3673975932,0.9122710628,0.6596282741,0.4553178773,1.36296244,0.5729966715,2.766979513,1.001160764,3.678141263,3.457709559,-2.79490453,1.267223612,-4.505486794,6.118676758,2.332369559,-2.265158911,5.402608329,22.42505054,62.13246145,1314.186399,15442.30072,6041.595253,162.725115,43.03263231,6.537979037,6.936230363,9.726612105,4.679635462,5.376925589,5.919659731,3.424566457,8.367515248,7.927173658,8.484890365,9.692906684,9.707409287,-2.008370735,8.543367383,9.210391985
Germany,,,,,,,,,,,7.621336453,4.531857129,6.299513717,7.275290199,5.666623659,3.306194455,3.100718246,3.545841818,4.278140678,5.451189403,4.175238775,4.581058545,2.807938535,1.989146343,2.124725682,2.999543126,1.279663585,1.690461291,2.879066745,3.396643513,3.085079744,5.400475258,3.984270714,2.493430778,2.009418793,0.637769696,0.2634773604,0.5897867685,0.1919715281,-0.672328461,1.125483587,1.431259471,1.09713176,1.070903096,0.6182119597,0.3120124534,1.630335566,0.7737664883,1.173098355,0.5959234322,0.7763761787
Ghana,3.40100107,1.962078351,6.765057226,9.932616294,17.01958686,8.151503086,-3.884507523,12.6072975,11.00711681,2.918250795,5.189073946,15.46587287,20.87222158,24.56429773,29.46073715,28.05257571,67.25165679,73.30130514,37.94881823,51.12613913,75.63357737,27.89057695,123.0612037,35.31242636,20.64841191,41.70579979,39.20149998,33.40284851,28.2943146,31.16660687,20.04136067,11.15006581,31.75720812,30.12892664,43.04533062,39.83774308,19.45816709,17.04846523,13.97116536,27.23011394,34.81794423,22.8185842,28.70440737,14.35015112,14.96371837,80.75013786,16.27665076,20.20210176,16.61831753,16.47778139,12.5228409
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,1.492288375,4.606401129,1.395783961,3.718355589,4.007017801,4.85464073,2.439832988,1.73974902,3.389819241,2.97237164,2.975068882,5.046610798,20.91037552,22.78044376,13.12000688,16.43448737,13.75440286,13.78804538,20.1507119,19.23944927,21.61203488,27.21274889,20.61220683,21.91845466,19.02595281,18.88200038,15.25267949,16.67987012,14.49897293,20.69059763,19.78774302,14.79881428,14.42874717,11.18188874,9.791836047,7.341229561,6.776183627,5.197308084,3.028600531,3.396848856,3.117577199,3.40117707,3.922100636,2.946944276,2.811979951,2.523936209,3.541421765,4.720160003,2.792565684,1.710113739,1.640574839
Greenland,,,,,,,,,,,11.44773016,5.69999985,7.66319785,15.55360273,16.42585556,13.19399086,6.982111919,9.277238382,7.502467943,11.55925156,14.92680443,13.01687008,9.717130085,8.870829967,7.423663352,4.129587302,4.620727202,6.350238775,5.34985984,5.092584452,3.225274956,1.545678253,1.042016807,0.4683743712,2.05587071,0.9801018389,0.4967035039,0.9784277138,1.06045582,2.110093093,3.402256365,3.103084327,2.197285626,2.149056067,1.591148696,-3.077102929,5.887518856,-23.48173174,-18.98523857,,
Grenada,,,,,,,,,,,,,,,,,,20.17217699,9.364394663,7.245524977,4.223335236,3.265978277,3.25964256,3.815233846,7.742504081,3.763389599,4.474076187,6.689723758,8.852830207,-1.371503268,6.819521782,4.177019414,2.4428753,1.799678743,2.967871705,2.485190587,-1.067758044,4.901699865,1.195816476,21.57230453,3.991367874,1.820337803,0.5608118557,7.788143159,4.825488088,2.496944892,2.527085911,7.151139968,-1.218697307,2.341605657,2.995718849
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,-1.080368207,2.585501633,0.8053429281,-1.680574514,-1.797047041,-1.002859571,0.3875971484,1.871424108,1.696244609,5.001179266,-1.269188606,-1.36346086,14.50077774,15.67927087,13.11609208,11.49530425,16.45286442,5.495958917,8.587189784,10.00488602,8.548107393,4.977954463,6.560975654,4.123700779,18.7797348,41.46259298,7.998534471,11.65529827,10.90889687,40.531259,32.97505204,8.861384879,14.50435161,11.72227821,8.667818258,8.900004479,8.257339509,9.50243521,5.04155794,6.830114686,-4.08393045,6.449523093,4.455968535,6.077020808,5.634484078,4.993878126,7.136030246,9.440697064,3.543280356,5.106511846,5.53131986
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,27.25999011,21.65363914,22.31557342,17.27918117,25.81867057,26.22021363,0.6737572761,1.428001639,5.951338302,0.8117219297,1.948672209,2.152891631,3.371134299,11.12534799,0.7152370441,3.217012731,7.543877954,16.52362875,-4.752490245,37.58394041,12.98686746,14.10684796,6.810300448,20.19568743,20.94120359
Guinea-Bissau,,,,,,,,,,,1.807272074,4.974506021,10.43380283,8.924462036,7.203084035,1.513742463,3.065840174,6.335753244,4.280026211,11.53688313,1.817007336,16.54233605,23.30704965,59.40183223,32.31351027,112.894824,94.26345301,79.54483424,99.25332596,30.24603676,67.89436686,64.98118999,49.05888543,23.24948069,44.7300381,39.23371357,34.13819482,8.074834542,5.248429478,3.260737433,-5.079024548,4.703828039,95.8529737,-2.200825888,5.772499011,-1.981839545,6.038822184,10.46117117,1.119169577,1.718401556,5.428030967
Guyana,4.293503692,3.750060594,2.774983465,-0.4853628914,-1.787191726,1.921349051,4.864406117,6.945376901,1.415833664,3.036120439,2.14161314,9.885673799,6.269440331,37.47215899,14.65814732,-5.776558914,1.679570992,14.78777958,6.562940159,11.77879595,4.340741919,4.302402174,8.919684651,19.28174961,14.51010138,12.29336122,58.71082154,23.64603813,162.6226469,56.39717488,126.7371015,13.49999937,15.49999519,19.70000533,12.40000807,3.999990603,1.399055102,3.000957935,11.19999914,6.600052939,-1.88756032,4.513852308,5.485871019,4.893909082,7.89858629,68.44367733,12.70246174,9.020371708,2.13015377,6.702989858,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.90816579,18.33664177,56.70789242,15.96366452,9.978091149,12.72560023,14.15742836,7.0288268,11.05890498,11.63067374,9.996820825,26.90424956,21.50121956,17.57797119,14.76083348,8.015994038,12.89485194,3.397104512,4.726625491,6.774510324
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,4.189059868,2.923978884,2.133001313,5.684513244,2.077127219,2.605668617,2.621114213,1.448686539,2.605162999,4.445578042,-2.777540062,3.86452598,5.3458049,14.77894103,6.384800916,8.532188103,12.19948194,5.061395899,11.48799234,13.21167033,7.164494688,4.432129619,6.964271284,3.372552644,5.248469173,3.892689348,2.830327565,6.4820631,7.074939656,21.20055834,26.02834037,9.102214291,13.60833459,28.88674222,24.87907232,22.9247764,22.27968575,11.62866263,11.5602542,30.81972678,8.084393277,5.131915247,5.759742651,6.451905612,7.279668595,5.348270621,6.625451962,7.790484515,4.29279661,5.707327123,8.9
"Hong Kong, China",0.8428325839,-1.670062714,2.537475223,3.199897523,-2.390964611,-4.213488374,6.285260158,3.494229334,4.946514254,8.603383534,7.399286414,8.753112378,9.319014651,11.82197399,4.5367805,9.378396958,3.87234201,7.904030986,17.62268698,15.52583471,10.33528926,9.769719118,4.499548841,9.630719988,5.451422506,3.800307684,8.699675114,9.014300062,12.76003857,7.497779588,9.046035081,9.92592008,8.698433921,6.471917402,4.12953628,5.759904493,5.680894124,0.779694213,-4.460560482,-3.637391358,-1.88677275,-3.463165883,-6.152512289,-3.537690903,-0.05987483983,-0.2897799218,2.927551711,1.462746066,-0.6169905862,0.4874383355,3.424533169
Hungary,0.9792197874,-0.586404072,-0.449800948,0.4009670136,-30.18326806,2.880125201,0.5881294875,4.358322388,3.952245391,1.687162009,2.174904867,2.11601139,2.64867196,-1.181850958,0.9845624121,5.766086903,2.275544863,3.663443963,5.512454503,5.686642937,5.151789465,5.710350726,4.960906493,6.331622437,5.909768959,3.742255931,8.249572307,17.52608436,18.73654021,25.66605423,38.4661539,21.50917966,21.27845509,19.49106052,26.73278896,22.2087019,20.21293648,13.65188438,7.859057824,9.743096099,11.26310034,8.457153146,5.397668037,5.234458758,2.4856047,3.494780706,5.437458017,5.275909336,3.564767828,3.092748994,3.507808235
Iceland,13.28272544,11.14783286,8.225587784,16.18151698,12.31316663,10.43977228,2.76320176,13.71308954,20.87388119,16.44172418,12.55326076,18.33448103,31.45638699,37.69187272,41.86729064,32.73684434,32.70596214,46.24878316,40.89738507,52.47579252,49.18540828,53.64638325,77.30506737,26.88076056,32.0845444,24.58622488,19.94648879,23.13529317,22.86841303,15.1715522,8.365342187,3.449289505,1.831847503,2.603376976,2.997569712,2.474380982,2.905557135,5.146429946,3.256265733,3.637614685,8.631610843,5.62556928,0.6175101482,2.50303713,2.84248173,8.804089879,5.650824129,11.83592812,8.272741604,6.900703626,3.106150849
India,2.14542765,4.40561673,8.353623886,8.551676966,8.300369406,13.27070656,8.616204711,2.415383587,3.34336434,1.562243485,5.32484105,10.8396027,17.82971565,16.66751573,-1.64868155,5.981859342,5.637229339,2.460282317,15.72804321,11.50832081,10.82758198,8.095863097,8.552859607,7.923232845,7.193785446,6.789400453,9.327893305,8.232515365,8.436808873,10.66830385,13.75181894,8.96515236,9.861782853,9.980044775,9.062702221,7.575018288,6.476271263,8.010167523,2.873158566,3.654974165,3.183581869,3.711782741,3.887769116,5.932333025,4.236936547,6.422576749,5.75626544,8.664642299,5.964533666,8.480573801,7.993806064
Indonesia,13.461614,178.7494266,145.8513983,114.909687,229.2410192,1195.409446,165.3905375,120.7456949,20.62699716,13.61603942,2.744197695,15.2101708,34.78569758,46.47229001,11.19504803,15.42468289,13.27284731,9.434155297,33.61145343,30.99043917,10.43919017,6.061304787,14.25186517,8.047928808,4.285426396,-0.09689588376,15.43782744,12.74534728,9.993165409,7.723910536,8.827730236,5.364316197,8.880105482,7.77637773,9.703276861,8.853591291,12.57130893,75.27128405,14.16119256,20.4474593,14.29571544,5.896051693,5.487427042,8.550732687,14.33178586,14.08742196,11.25857851,18.14975247,8.274750092,8.108519979,8.395189997
Iran,,,,,,-1.330077917,0.08939824286,1.12746751,-0.585761206,1.661257655,10.37552123,6.464270049,35.93893479,54.28130676,5.229830494,14.2627596,19.21100605,5.351872013,27.03499302,22.30631326,27.1670283,16.9438717,11.11660366,11.29249586,4.290015252,11.88051908,23.49154045,19.23382558,17.23097427,20.56447187,25.17058319,28.07645634,52.95914106,30.96208936,38.72339694,24.71634495,13.99150419,9.45634878,30.14201372,26.44230458,11.62586691,28.28165591,11.80370336,20.59201969,17.00672551,12.14502627,20.46233496,17.40044738,0.592329468,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.4352485,67.17176587,47.3800706,-21.63204123,10.22883777,13.17757781,3.600831842,24.01952151,35.12046723,6.488851254,31.86406898,-30.14119195,25.22442136,29.43902941
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.487094491,5.018884514,3.057371438,2.187980364,3.065547954,3.574325663,1.277548971,-2.332125516,-4.064528561,-2.448362523,0.9928738041
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,5.322116095,2.17153666,5.370775921,4.437186116,7.478872721,9.049359762,6.890457685,3.755534448,2.187959165,2.537775675,2.938880572,2.554490458,2.661685032,2.378768622,2.300069322,3.267054312,1.167328293,2.945032506,2.649966,5.962849385,3.162090867,3.27690795,3.904640669,,,,
Israel,8.609348427,8.910043169,7.691518649,5.44307683,-1.394727492,8.730820567,-1.688177438,-1.399298871,1.596261548,9.598249842,11.92290938,12.70610483,25.10947421,35.06815017,35.23709831,24.85102164,45.54300266,57.42037791,76.28650905,134.740174,125.9316292,120.8998078,149.8655266,390.678824,259.995044,48.2942302,19.43257717,21.59482881,20.73714894,15.89871717,18.31531454,13.54468142,9.284152665,12.69559745,20.67629073,10.01674639,7.903587705,7.124558775,6.335779761,1.622163227,1.762147135,4.119009406,-0.5326219227,0.1166339023,0.9892695611,2.108725984,0.3878277742,1.315560398,5.023759444,1.196777511,2.104088866
Italy,2.782158882,5.793729916,8.4578599,6.489807937,4.197040196,2.232396286,2.775258981,1.734451129,4.05131666,6.865034924,7.178839376,5.632973193,12.73863272,20.2463799,16.98308845,17.4542766,18.47715731,13.94497395,15.45102727,20.81579474,18.78722595,17.54095014,15.09673921,10.76184515,9.174642442,7.488417794,6.009282968,6.650402635,6.19738787,8.394753861,7.540590151,4.907860035,3.885951827,3.542473566,4.925244478,4.797220766,2.56304503,2.662274377,1.793794483,1.944997532,2.877751917,3.208039672,3.118767887,2.392194901,1.817097125,1.707599378,2.373856947,2.533158422,2.088948083,0.3909784669,1.305158021
Jamaica,,,,,,,4.241781101,2.734812167,4.105663995,5.225925654,6.92243187,-4.905810791,26.44854089,31.08615646,20.74270065,11.13113015,12.48649786,26.57510272,15.73694382,18.28801246,8.324341519,8.314788324,16.96059809,35.91919576,28.52884602,26.86112166,10.82259501,12.05557654,12.36922143,25.11710579,43.8422876,60.03573385,37.38944774,32.06179372,22.17146893,18.73185149,10.45127049,23.66277198,6.789261792,10.59553477,7.418256749,10.80359845,10.28429422,12.71595227,13.94479637,10.60625801,12.57607728,12.86121928,10.89097793,8.517288178,7.239581997
Japan,7.785717616,4.19957757,5.510469059,5.328705884,5.136857285,4.970869147,5.495390076,4.918863182,4.433398705,22.66433345,5.091351938,5.60442162,12.70539616,20.81005042,7.177440853,8.007886486,6.74910663,4.60375829,2.75163103,5.437983897,3.196478892,1.557394309,0.9142830451,1.743512926,1.005240969,1.776739137,-0.1064830025,0.3323587773,2.226585781,2.264596899,2.605734723,1.58817394,0.437403851,0.1150405314,-0.7253144486,-0.5568987108,0.5950590033,-0.05446749689,-1.273699764,-1.247598098,-1.197867544,-1.550272998,-1.714756036,-1.352465845,-1.251151873,-1.121432188,-0.93074037,-1.2652014,-0.5002834022,-2.08543109,-2.120228072
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,1.021394907,16.01353024,-4.785978591,15.36118767,1.095898472,18.88859979,7.814121657,5.403094807,-0.2673510452,-1.448128111,0.07863453444,-0.7927785002,4.461215201,21.03845788,11.4020474,5.084084115,6.564347968,2.815880345,6.877008868,1.878531033,2.062803616,1.262827528,5.996661676,-0.3781871666,-0.3959447175,0.7945854551,0.8863375155,2.134148045,3.075828985,2.0304576,10.63676569,5.050727922,19.86802656,2.819360471,8.436039993,6.385522655
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.35649613,1472.216356,1243.461656,1546.726816,160.8886735,38.89963115,16.13572998,5.662844724,13.28014062,17.42640268,10.15643264,5.803224096,11.73852465,16.131627,17.87482725,21.55170891,15.5270973,20.93653821,4.691085073,19.5422854,16.41199222
Kenya,8.662176591,0.01830893329,-1.877316109,2.690729043,-2.051973512,1.713788841,2.400809116,1.678840855,-0.1798666784,15.3156611,-9.219157923,1.205245847,10.20384149,16.04927222,11.83510861,18.90617186,16.89982063,3.080995534,5.638644083,9.550720035,10.85307726,11.59255375,11.83803749,10.19071997,8.305782702,8.71172358,5.401952088,6.455624292,9.769009358,10.63719874,12.53196189,18.8972341,25.6984836,17.01641478,11.22107085,41.98877391,11.43521633,6.931402668,4.19393905,6.079848487,1.573120298,0.9332055578,6.197313239,7.126841553,4.899649723,7.786740571,5.614812444,13.41069588,9.157510135,2.178339046,12
Kiribati,,,,,,,,,,,7.113416826,5.227674167,16.25529973,12.98964139,9.460989874,9.172142381,8.896361842,11.85599699,9.174432375,15.81809218,7.691648197,7.370385604,2.517018608,1.15367237,-2.072464428,-0.6124034508,14.52908705,-2.295792393,3.555872928,-4.653058212,76.17957387,6.932435687,2.894089447,2.466889764,2.363328998,5.247732398,1.858192077,3.292397314,1.042881021,0.2999132398,8.143542034,4.209337207,1.068295148,-4.299280964,2.138011974,0.1925512998,4.484372002,4.536134004,4.578687759,-1.37524558,2.848722986
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,14.09664637,18.44883872,28.46223552,32.92142714,6.420179266,13.989728,16.10418312,15.94007147,14.59408345,18.42127703,14.31211204,18.05908368,15.40800111,33.05939279,26.04049328,24.55852463,16.66510834,23.33720361,20.09182335,24.04139618,18.23920564,6.668700553,6.210651228,6.004303299,4.766418658,5.509221844,5.650964568,7.606543642,5.735581234,10.5192837,10.66484078,7.621973961,6.349317471,7.835182011,7.387149007,5.119044041,4.616870121,5.821720492,-0.09938276562,5.013985579,3.859938639,3.230325738,3.561293192,3.033575203,0.6545942886,-0.1434439306,2.080353236,2.910435239,3.428611912,3.614171834,1.744831722
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.40093513,1.805207193,-1.650810488,-3.836525868,-1.169201858,-2.090379657,2.951950739,5.576071156,-1.291504968,3.715819246,4.7673268
Kuwait,,,0.2670741895,0.2691978339,0.7151214628,1.516379921,-0.2664694828,-0.2705153171,1.226817067,0.57155419,25.04618377,1.482396109,15.10719044,162.8087777,-0.5973993392,0.9318512687,5.620030548,-1.957692247,40.80499521,42.56670491,11.45340711,1.416853301,-11.31055267,0.3493097253,4.859514905,-25.6995384,10.78616908,2.965963058,-1.723677396,,,,-7.386421429,-5.870474965,4.851797794,15.51126254,-4.71944428,-17.14802551,18.07267111,20.5264697,-8.180194489,5.153043496,4.924563453,11.41546424,21.77785238,18.73567577,5.924423111,15.84701933,-18.89742219,13.06171603,26.41487664
