Suicide women age adjusted,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82664001
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.418571949
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63560295
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176829338
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.601067,5.578468,5.648069,4.264499,3.86869,3.785358,3.27064,,,,,,,,,,,,,6.068046093
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.206121445
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.947609,2.26725,2.021245,1.853886,1.943074,1.93474,1.841214,1.668564,1.874173,1.790918,1.68751,1.6468,1.734251,1.895723,1.842513,1.82712,1.810481,1.499834,1.642224,1.801882,1.923308,1.771712,1.858153
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3751452863
Bulgaria,,,,,,,,,,,,,,,4.988511,5.975726,5.58489,5.478089,6.077128,6.873514,6.879066,6.43973,6.071483,6.03754,6.5073,6.496712,7.020559,6.84496,6.798341,7.439748,7.046616,6.696206,7.364737,5.688814,7.712174,7.307676,7.483826,7.293007,7.417935,7.1627,6.729357,6.157265,7.011856,7.656058,7.263122,7.016848,7.075727,7.83246,7.508582,5.760809,6.385141,6.135974,5.639285,5.019393,4.429179
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.665971756
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.297821045
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.420325994
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32839632
Canada,3.701859,3.834756,3.627389,3.410489,3.741708,3.635554,3.781025,3.565373,3.267719,3.432731,3.347038,3.285075,3.417043,4.184049,4.573519,5.013979,4.816313,5.281665,5.707197,6.693918,6.85581,6.870836,7.348289,7.401609,7.404959,7.020964,7.364343,7.323486,7.249467,6.893365,6.64391,6.568106,6.296635,6.628303,5.813638,5.098656,5.993124,5.735684,5.511722,5.555664,4.865834,4.760344,5.139292,4.978075,4.922986,5.047436,5.167635,4.624682,4.641982,4.892793,4.77592,4.744035,4.632044,4.803301,4.828558
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.764701843
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.773792267
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.371674538
Chile,,,,,,1.705518,3.286162,2.787757,2.964926,2.39578,3.64664,4.176262,2.89764,0.8644308,1.288428,1.139999,3.682542,0.7630991,3.92298,3.416939,2.793142,2.091359,2.313092,2.220561,1.960531,2.509824,2.519268,1.640443,1.852657,2.253324,1.48823,2.07544,1.493241,1.791543,1.742825,2.013265,2.029685,2.036328,1.897084,1.596402,1.726302,2.030589,1.422202,1.73219,1.426363,1.791788,1.71192,1.860289,1.777482,1.834275,2.69615,2.945508,3.088813,3.112759,3.206247
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02147102
Colombia,,,,0.3979131,0.703688,0.3914769,0.3340232,0.2548287,1.547101,1.930941,1.765069,2.893297,2.765813,3.251587,3.631145,4.938983,4.73882,5.493619,2.756773,1.631767,,,2.245594,,2.267192,2.168202,1.939155,1.501226,,,,,,,1.580137,1.499763,1.425974,1.123727,0.9852467,1.013285,1.137153,1.249398,1.350895,1.260327,1.526278,1.387697,1.302763,1.404484,2.406739,2.301252,2.505282,2.501183,2.506116,,2.180043
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.550222635
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.275096893
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.957852364
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.290148497
Costa Rica,,,,,,,,,,,,,0.8727162,1.64262,1.174007,0.498162,0.7799269,0.4272753,0.6360087,0.5877427,0.6645824,1.125805,1.363301,1.356756,1.576568,2.115221,2.641876,2.350467,1.839676,1.295663,2.385492,1.513461,1.949306,1.563824,1.794858,1.326825,0.9740071,1.57761,1.248714,2.198613,1.337344,1.246473,1.535387,1.856192,1.901241,2.291895,1.38356,1.613845,1.299603,1.254674,1.522919,1.455986,1.933612,2.442115,2.148408
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85433578
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02628,9.546262,10.73183,11.11103,10.14025,10.20551,9.989329,9.034454,9.667844,9.080338,7.616956,8.89677,8.328824,9.316629,8.638062,7.595149,6.665844,6.912228,5.606805,7.074668
Cuba,,,,,,,,,,,,,,,8.704844,,,,10.60389,10.65689,11.06531,12.11019,13.99399,13.32282,16.35233,15.75323,17.38483,18.4484,,,,,,,,,,,,,,,17.22876,17.2061,14.70204,14.09523,11.42207,10.52007,10.80781,9.469912,8.589081,7.20769,7.033532,5.714284,5.674331
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2754736
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.503201,8.125144,8.98777,8.210373,8.271993,7.742053,7.50093,7.470964,7.617469,6.44746,5.081792,5.25615,4.965591,4.659358,5.038876,4.686975,4.675765,5.044152,4.079931
Czechoslovakia,,,,10.82814,10.28614,10.25148,10.87737,10.81348,10.9639,11.55604,12.72596,11.09167,11.16994,11.31057,10.94708,11.00362,11.71201,11.84606,12.51732,11.04574,12.01178,10.85366,11.36778,9.913467,10.03628,9.9984,9.454665,8.85787,9.647628,8.442943,8.96263,8.35686,8.420896,7.684603,7.789109,7.603957,8.296039,7.126152,7.823055,7.449316,7.312033,6.509547,,,,,,,,,,,,,
Denmark,,14.27589,13.60956,14.99642,14.17499,13.67732,13.69933,13.39697,12.22714,12.22801,12.29644,10.22965,12.1017,11.66955,13.73748,13.10448,10.9374,10.3449,13.05375,13.89309,13.90803,16.16964,15.63836,16.18154,15.7398,16.26976,15.06202,15.28153,16.32782,17.30851,19.64175,18.21034,18.18115,16.89326,17.36956,17.33599,16.5684,16.34699,14.99911,15.84603,12.48864,11.45446,11.56925,11.54635,8.818576,8.247846,7.469941,7.441717,6.114258,5.802166,5.379292,5.794447,4.873204,4.299984,5.689239
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.231966019
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.783265352
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.461356163
East Germany,,,,,,,,,,,,,,,,,,,,,,,,19.24329,20.03715,,,,,,,,,,,,,,,11.11047,9.880279,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.690472603
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.1022943,0.0326752,0.0822208,0.0929138,0.265601,0.1156929,0.1334831,0.0244919,,,,,,,0.0503436,,,,,,,,,,,,,0.0398939,,,,1.606142759
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.166975021
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.129074574
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53256464
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.60823,11.88938,,,9.958379,10.94282,8.646701,10.72386,12.25039,11.23726,9.974966,12.11447,12.47818,12.29944,12.85668,11.1046,9.307997,8.52366,9.188284,9.108438,8.350281,7.395526,6.736414,6.293787
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.124103069
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.330704927
Finland,,,6.338303,7.281992,7.707232,8.487377,9.074881,9.905864,9.75908,8.999933,8.933072,8.80759,9.858613,7.726057,9.401792,7.993702,8.920331,8.169849,9.504064,9.854064,8.769833,8.79709,9.229571,9.496243,9.784482,9.442504,9.485551,9.716622,8.877536,9.063207,9.321412,8.579315,9.323059,8.921499,8.673536,8.783978,10.10547,10.34389,10.0063,9.952428,10.87554,10.14119,10.12068,9.833062,10.38673,10.49015,9.45045,9.463944,8.779446,8.427931,9.725185,8.672476,8.663737,8.375106,8.453583
France,5.887676,,5.894147,5.898882,6.149604,6.312592,7.245126,7.061091,7.111049,7.370492,6.744084,6.47076,6.214105,6.490596,6.554833,6.369074,6.935515,6.853002,7.248062,7.167145,7.132113,7.327756,7.76903,7.306815,7.436042,7.545575,7.578704,8.381433,8.286058,8.803364,9.274755,9.157047,9.617654,9.992432,10.17096,10.40593,10.5879,10.09694,9.537703,9.432059,8.89199,8.930861,8.761019,9.271954,8.595119,8.586724,8.319171,8.143969,7.349611,7.474207,7.474487,7.268069,7.496887,7.259634,7.523865
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.182321548
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.648649216
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.661158,2.359338,,,2.290122,2.457144,2.208648,1.896613,2.320746,1.723654,1.802185,1.920067,,1.400695,1.544716,1.676831,1.523687,1.173226,1.609125,0.8593065,0.7854481,,,0.68989259
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.40588,7.334742,6.838923,6.26495,6.08572,6.169956,5.904619,5.762719,5.249892,5.128614,4.887512,4.835307,4.956316,4.865662,4.446264
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.580263615
Greece,,,,,,,,,,,,2.885454,2.425727,2.585252,1.71491,2.053422,2.242784,2.064633,1.805746,1.958511,1.663302,1.779856,1.318437,1.712468,2.089513,1.838597,1.664181,1.696307,1.44031,1.616824,1.517045,1.785452,1.8628,1.687741,1.950024,2.097203,1.643898,1.848962,1.7138,1.665641,1.262625,1.287541,1.085906,1.538909,1.027133,0.9652933,0.8616472,0.7926515,1.318808,1.221455,1.229001,0.6871724,0.889488,1.048374,0.9383833
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3439733684
Guatemala,,,,,,,,,,,,,,0.3510816,0.9152728,0.497628,0.3507546,1.054271,2.715208,1.308517,0.9226225,1.831857,,,,,,0.0757692,,0.3456988,0.5256463,0.0820086,,,0.2678788,,1.022552,1.700646,0.8226081,0.8325154,0.7111649,0.8570762,1.093902,0.7572162,0.4675907,1.151244,0.719579,0.9284606,0.9521694,0.833605,0.748291,0.9213251,1.296,0.9491554,1.167424
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.431053638
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.794747829
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24728584
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005262375
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.775053024
Hungary,,,,,,12.69632,11.16879,12.20223,13.77872,13.85482,13.98831,13.99279,13.61258,15.26564,15.11467,15.81352,15.64082,15.6902,15.97417,15.77956,15.99266,17.12012,17.37899,16.99369,18.6133,17.40216,18.89012,19.96113,21.01015,20.91629,21.00696,22.75861,20.2928,20.97707,19.90151,17.93445,20.27017,19.99391,20.06003,17.6153,16.15175,15.35198,14.68765,13.48357,12.38292,11.98233,11.87498,10.7454,10.44197,10.64106,10.67224,9.227195,8.776537,8.222026,8.70322
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.842729092
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.30644226
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.29459095
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.179065228
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3937397
Ireland,0.8519407,1.147528,0.8795826,0.8431673,0.7177907,1.028455,0.8246769,1.061786,1.196178,1.156083,1.646138,1.351529,0.8145017,1.372869,0.6879103,0.4480566,1.147462,1.278857,1.159696,0.9921009,0.5851788,1.637786,1.837284,2.035601,1.915172,3.126245,3.551923,3.664815,3.678854,3.02496,4.751621,4.323764,3.911616,4.951054,4.182046,3.596939,4.133846,3.492118,4.315279,3.673987,4.983715,3.663033,3.235636,3.840218,4.877121,4.634556,3.451479,4.644797,3.808829,4.180132,4.057105,3.919842,3.920538,4.490198,3.41769
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,7.104736,5.999494,5.092841,5.041726,4.918262,4.146507,4.065509,4.224372,4.039836,3.747314,3.690757,4.69941,3.622077,4.246885,4.53929,3.713322,3.96209,4.04869,3.676736,4.021978,3.420748,2.505053,2.420717,2.555491,2.140876,2.617903,2.144401,2.672714,2.055687,2.572143
Italy,,3.403254,3.411496,3.762159,3.424151,3.538924,3.559867,3.571236,3.459091,3.471756,3.44536,3.123026,2.932354,2.96182,2.867537,2.884943,2.762205,2.915639,2.851062,3.004217,3.126643,3.277322,3.193547,2.919297,3.024318,2.959525,2.989021,3.151382,3.165382,3.547825,3.782305,3.317748,3.507519,3.411837,3.606211,3.607491,3.607199,3.184254,3.258729,3.138868,3.135413,3.152732,3.063648,2.962984,2.843028,2.829177,3.056394,2.875446,2.616057,2.522697,2.567187,2.386306,2.270674,2.393229,2.270322323
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.366206169
Japan,18.59102,17.54239,17.70802,18.70844,19.78119,20.92908,21.07244,20.5632,21.98324,19.97823,19.14574,17.79087,15.54236,13.9991,13.43369,12.77739,13.45667,12.42193,12.68101,12.70211,13.086,13.03017,13.86707,14.20149,14.47614,13.86057,13.31338,12.90554,12.39004,12.38469,11.75796,10.92085,10.8324,11.59852,11.28145,10.91748,12.34518,11.12482,10.79308,10.15297,9.448299,8.853615,8.678051,8.09518,7.945656,8.228492,8.221194,8.525414,10.53238,10.07857,9.527674,9.240021,9.138422,9.884797,9.467574
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1078235283
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.70737,9.850085,,,10.27528,8.818217,8.599585,8.853513,9.610785,9.613778,8.350544,9.367308,9.806592,9.40272,9.738996,9.888084,9.658834,9.566568,8.703578,,8.500433,8.623614,8.66642,8.599231
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.663258076
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.947198868
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.164001,4.503972,4.490364,4.082624,4.329062,4.475991,4.283374,4.848248,5.720911,5.958957,6.443645,7.577933,7.614263,9.56099,8.383825,7.674746,,10.06169,12.45745,12.98079
Kuwait,,,,,,,,,,,,,,,,,,,,,,,0.2315013,,,0.2027273,0.1818349,,0.7486228,,0.4587432,1.228961,0.1885224,0.2795371,0.6097794,0.3615558,0.4981179,1.079387,,,,,,0.8018389,1.649444,0.7495468,1.267969,2.075491,1.519149,1.15032,1.210588,0.7647457,1.27791,,1.153894782
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50064,6.34895,,,7.063722,5.368869,7.401427,6.957907,7.492762,7.92241,7.180477,5.318038,6.514298,4.828927,7.441998,4.41672,4.538289,4.220627,4.674402,4.435472,3.433721,4.70046,3.463841,3.090236
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7233696
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88666,10.81198,12.86586,11.15093,11.39347,10.6231,8.832312,10.62801,9.422872,11.68672,8.305492,9.872416,11.43828,13.42937,11.25131,11.79434,10.75871,10.56331,10.02606,10.01683,8.682847,,8.689015,7.310288,6.048817
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.278940678
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.889326096
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77520299
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.159276009
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.391936,10.94309,,,11.62064,8.948446,9.742769,10.22528,8.518539,8.18327,10.01307,11.65289,12.01923,11.82504,13.48254,14.54227,12.66714,11.8952,11.7318,13.98588,12.04878,10.12422,11.06494,11.23422
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.768095493
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.264551,5.215999,5.450121,4.786742,4.383663,4.035392,3.823972,5.2374,4.723891,4.055635,3.230196,4.228063,3.42506,3.403936386
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.220290184
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.541824818
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.219151974
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88921928
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.074855328
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.803545952
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.016569614
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.997253418
Mauritius,,,,,,,,,,,,0.8261023,0.9853638,0.6893913,1.376559,0.7797109,2.230799,1.89526,1.699673,0.234245,0.8703529,2.449282,1.042842,4.143795,2.354944,4.791313,5.306667,3.497532,3.660588,3.85744,,1.682621,0.7379744,1.874342,9.486123,7.364926,1.337873,10.09053,10.14206,7.237272,10.16941,8.037538,8.41322,8.027224,3.82664,6.123081,6.467022,3.519147,6.959721,8.945867,4.995429,6.136876,4.66105,3.985688,3.52988
Mexico,,,,,,0.7036235,1.010261,1.000293,1.090594,1.153708,1.267063,0.9837637,0.7359514,1.070004,1.06657,1.139985,1.055895,1.275057,0.8262541,0.2955154,0.5537056,0.3251885,0.3462555,0.3002614,0.9812592,0.7468019,0.7708514,0.8056478,0.8383937,0.7557345,0.6704537,0.8834986,0.8242058,0.7340415,0.4477717,0.7602599,0.7355883,0.8270538,0.7707267,0.8070925,0.7400703,0.8179485,0.850549,0.8181823,0.9178948,0.9948026,1.055193,1.104328,1.03723,1.020981,1.06394,1.325666,1.274557,1.343468,1.295992
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.526386261
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5142,10.14406,,,9.151825,9.944036,9.799662,8.88693,8.246838,6.287681,8.331331,6.45459,6.722978,7.346989,7.698922,5.795405,5.846859,5.669214,4.727281,3.701661,4.849782,4.689592,4.040868,4.56739
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.649781227
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.467162132
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.103894472
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.518768787
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.503791809
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.017440796
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.383360386
