Male agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Belgium,3.700000048,3.799999952,3.799999952,3.799999952,3.799999952,3.700000048,3.700000048,3.599999905,,,,,,3.099999905,3.200000048,3.099999905,3,2.900000095,2.900000095,2.400000095,2.299999952,2,2.099999905,2.200000048,2.400000095,2.400000095,2.5,
Belize,,,,,,,,,,,,,,33,30.89999962,36.20000076,38.40000153,40.29999924,34.09999847,36.90000153,,,,,,28,,
Bermuda,,,,,,,,,,,,,,,,,,,,,2.400000095,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,32.59999847,,
Bolivia,52.09999847,52.09999847,52.90000153,53.90000153,53.79999924,54.09999847,54,54.09999847,54,3,1.899999976,2.299999952,2.700000048,2.799999952,2.400000095,3,6.400000095,7,,5,6.099999905,42.90000153,42.29999924,,,,,
Botswana,,,,,,55.29999924,,,,,,,,,,,19.60000038,,26.20000076,,21.89999962,16.79999924,,28.60000038,,35.09999847,,
Brazil,,33.59999847,34.40000153,30.89999962,35.09999847,33.70000076,31.5,29.39999962,29.39999962,28.10000038,,,,,,,,,,,23.20000076,,23.5,23.89999962,24.5,23.70000076,22.5,
British Virgin Islands,,,,,,,,,,,,3.299999952,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,2.099999905,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,12.30000019,11.69999981,10.69999981,9.800000191,9.199999809
Cambodia,,,,,,,,,,,,,,,,,,,71.59999847,,72.40000153,70.80000305,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,53.09999847,,,,,,
Canada,7,7,6.800000191,7.099999905,7,6.599999905,6.400000095,6.099999905,5.800000191,5.599999905,5.599999905,5.800000191,5.699999809,5.800000191,5.699999809,5.5,5.400000095,5.199999809,5.099999905,4.800000191,4.5,3.900000095,3.799999952,3.900000095,3.700000048,3.700000048,3.599999905,3.400000095
Cayman Islands,,,,,,,,,,,,2.099999905,,,,,,,,,,,,,,2.599999905,3.5,3.200000048
Chad,,,,,,,,,,,,,,80.30000305,,,,,,,,,,,,,,
Chile,21.89999962,21,22.20000076,21.79999924,21.60000038,27,27.39999962,27.29999924,26.29999924,25.29999924,,24.79999924,,21.60000038,,20.60000038,,19.20000076,,19.29999924,,18.10000038,14.60000038,18.10000038,17.60000038,17.10000038,16.70000076,16.10000038
Colombia,1.899999976,,,,,1.700000048,1.799999952,1.899999976,1.799999952,1.700000048,1.899999976,1.799999952,1.899999976,,1.700000048,1.399999976,1.600000024,1.399999976,1.399999976,1.600000024,1.600000024,32.5,30.29999924,30.60000038,29.39999962,31.79999924,28.20000076,26.70000076
Costa Rica,34.40000153,35.20000076,38.20000076,36,36.79999924,35.29999924,34.40000153,36.09999847,36.09999847,34.09999847,33.59999847,33.29999924,31.89999962,29.5,28.29999924,28.20000076,28.29999924,27.20000076,26.89999962,26.89999962,27.29999924,21.89999962,22.10000038,21,20.39999962,20.79999924,19.39999962,17.89999962
Croatia,,,,,,,,,,,,,,,,,18.79999924,16.70000076,16.10000038,16.10000038,13.89999962,15.80000019,15.39999962,16.20000076,15.5,16,13.69999981,12
Cuba,,,,,,,,,,,,,,,,31.60000038,31.5,31.60000038,26.89999962,34.20000076,34.29999924,28.5,28.60000038,28.70000076,27.5,26.5,26.29999924,25
Cyprus,14.89999962,14.69999981,14.30000019,14.30000019,14.30000019,13.89999962,13.39999962,13.19999981,12.80000019,12.5,12,11.5,11.30000019,11.30000019,11.10000038,10.89999962,,,,4.800000191,5.599999905,5.5,6,6.199999809,5.699999809,5.699999809,5.300000191,6
Czech Rep.,,,,,,,,,,,,,,9,7.900000095,7.599999905,7.300000191,7,6.599999905,6.400000095,6.300000191,6,5.800000191,5.5,5.300000191,4.900000095,4.5,4.400000095
Denmark,,10.5,,10.30000019,9.399999619,9.199999809,8.199999809,7.699999809,7.900000095,7.900000095,7.800000191,7.900000095,7.199999809,7.300000191,7,6.199999809,5.599999905,5.400000095,5.400000095,4.900000095,4.699999809,4.699999809,4.599999905,4.5,4.599999905,4.400000095,4.400000095,4.099999905
Dominica,,,,,,,,,,38.70000076,,40.20000076,,,,,,31.39999962,,34.29999924,,29.39999962,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,26.60000038,26.79999924,,,22.70000076,,,19.70000076,21.20000076,20.60000038,,
Ecuador,,,,,,,,,,,,,9.600000381,10.39999962,,,9.5,9.800000191,,10.5,11.10000038,10.19999981,11,,12.30000019,11,11,
Egypt,44.90000153,42.79999924,41.59999847,40.90000153,39.29999924,,,,,34.59999847,34.90000153,29.39999962,34.5,32.5,32.20000076,32,,29.10000038,28.5,28,27.39999962,27.79999924,27.5,27.70000076,28.10000038,27.10000038,28.29999924,
El Salvador,51,,,,,45.70000076,2.200000048,,11.80000019,15.39999962,,14.89999962,47.79999924,,40.29999924,37,40.29999924,36.5,37.29999924,34.09999847,33.90000153,33.79999924,31.89999962,28.5,30,30.89999962,29.29999924,
Equatorial Guinea,,,,68.09999847,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,27.20000076,26.5,24,22.5,20.10000038,17.60000038,12.5,12.10000038,11.80000019,11.19999981,10.30000019,9.699999809,9.899999619,9.600000381,8.399999619,8.100000381,7.199999809,6.699999809,6.400000095
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,10.39999962,84.30000305,11.69999981,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
Finland,14.60000038,14.39999962,15.10000038,14.5,13.89999962,13.39999962,13.10000038,12.5,11.80000019,11.5,11,11,11.60000038,11.69999981,11.19999981,10.39999962,9.600000381,9.100000381,8.300000191,8.300000191,8.100000381,7.5,7,6.800000191,6.699999809,6.599999905,6.400000095,6.199999809
France,9,8.800000191,8.5,8.300000191,8.199999809,8,7.800000191,7.400000095,7.099999905,6.699999809,6.400000095,6.199999809,6.199999809,6,,,,,,,,,,5.400000095,4.800000191,4.699999809,5,4.599999905
Gabon,,,,,,,,,,,,,,25.60000038,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,53.70000076,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,46.20000076,50.40000153,47,52.70000076,52.40000153,53.09999847,51.70000076,51.70000076,53.40000153,50.5
Germany,,,,,,,,,,,,4.199999809,3.900000095,3.599999905,3.400000095,3.299999952,3.299999952,3.200000048,3.200000048,3.200000048,3.099999905,3.099999905,3,3,3,2.900000095,2.799999952,2.799999952
East Germany,,,,,,,,,,,,8,5.599999905,4.699999809,4.300000191,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,66.19999695,,,,,,,59.79999924,,,,,,,,
Greece,,25.70000076,24.79999924,25.20000076,24.5,24.29999924,24,22.60000038,22.60000038,21.60000038,20.39999962,19.89999962,19.5,19.10000038,18.60000038,18.5,18.20000076,17.89999962,16.5,16.10000038,16.10000038,15.19999981,14.39999962,14.30000019,11.60000038,11.5,11.30000019,10.89999962
Grenada,,,,,,,,,23.70000076,,,,,,23.39999962,,18.20000076,,16.5,,,,,,,,,
Guatemala,,60.70000076,60.70000076,,,,,63.5,,,17.70000076,19.39999962,,,60.40000153,,,,49.70000076,,48.09999847,,50.09999847,,,,43.79999924,
Guinea,,,,,,,,,,,,,,,72.90000153,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,33.5,,,,,27.20000076,,,,,
Haiti,81.30000305,81,76.09999847,76.09999847,,,,,76.09999847,,76.09999847,,,,,,,,,62.5,,,,,,,,
Honduras,,,,,,1.5,5.400000095,5.400000095,,,65.19999695,,52.70000076,12.80000019,51,50.40000153,53.5,52.5,48.59999847,49.79999924,,,,,,51.29999924,,
"Hong Kong, China",1.5,1.100000024,1.399999976,1.299999952,1.299999952,1.700000048,1.700000048,1.600000024,1.299999952,1.100000024,1,0.8999999762,0.8000000119,0.8000000119,0.8000000119,0.6999999881,0.5,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.200000003
Hungary,24.39999962,24.89999962,25.89999962,26,25.70000076,25,24.20000076,23.39999962,22.89999962,22.39999962,21.20000076,19.39999962,,,11.39999962,10.69999981,11.30000019,10.60000038,10.80000019,10.10000038,9.300000191,8.699999809,8.5,8,7.599999905,7,6.800000191,6.599999905
Iceland,,,,,,,,,,,,14.69999981,14.89999962,13.69999981,13.69999981,13.19999981,14.5,13.19999981,12.69999981,12.19999981,10.69999981,10.60000038,10.80000019,11,9.600000381,10.5,9.800000191,8.800000191
Indonesia,57.5,,55.20000076,,,55.29999924,54.70000076,54.59999847,55.40000153,55.70000076,55.59999847,53.5,53.79999924,50.20000076,45.40000153,44.09999847,43.40000153,40.70000076,44.29999924,43.29999924,,43.29999924,43.70000076,45.70000076,42.59999847,43.40000153,44.40000153,
Iran,,,,,,,,,,,,,,,,,23.89999962,,,,,,,,,22.79999924,,20.5
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
Ireland,,,,21.60000038,21.29999924,20.10000038,20.60000038,20.70000076,20.89999962,20.60000038,20.70000076,19.10000038,19.10000038,17.89999962,17.39999962,17,15.39999962,15,13.30000019,12.89999962,11.89999962,10.60000038,10.80000019,9.800000191,10,9.300000191,9,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,2.200000048,,,,,2.900000095,
Israel,7.599999905,7.5,7.099999905,7.099999905,6.699999809,6.800000191,6.699999809,6.599999905,6,6.099999905,5.300000191,4.599999905,4.599999905,4.699999809,4.400000095,4.199999809,3.599999905,3.400000095,3.299999952,3.299999952,3.200000048,3.099999905,3,2.799999952,3.099999905,3.099999905,2.700000048,2.5
Italy,13.10000038,12.5,11.60000038,11.60000038,11.30000019,10.60000038,10.30000019,10.19999981,9.600000381,9.100000381,8.699999809,8.300000191,7.900000095,7.199999809,7.099999905,6.800000191,6.699999809,6.5,6.300000191,6,5.900000095,5.800000191,5.599999905,5.5,5.099999905,4.900000095,5,4.599999905
Jamaica,,,,,,,,,,,,,35.90000153,34,32.59999847,31.79999924,31,29.20000076,29,28.70000076,28.79999924,28.39999962,27.39999962,28.60000038,25.5,25.10000038,25.60000038,
Japan,8.699999809,8.399999619,8.199999809,8,7.599999905,7.599999905,7.300000191,7.199999809,6.900000095,6.699999809,6.300000191,6,5.800000191,5.400000095,5.300000191,5.199999809,5,4.900000095,4.800000191,4.800000191,4.699999809,4.599999905,4.5,4.5,4.400000095,4.400000095,4.199999809,4.199999809
Jordan,,,,7,,,5.800000191,6.900000095,,,,,,,,,,,,,5.099999905,4.199999809,4.099999905,3.799999952,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,33.29999924,,36.79999924,36.20000076,36.40000153,34.90000153,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,3.700000048,,,,,,,
"Korea, Rep.",31,31.20000076,29.60000038,27.79999924,25.20000076,23.10000038,21.89999962,20.20000076,19.10000038,18,16.29999924,14.89999962,12.19999981,11.69999981,10.89999962,10.19999981,9.699999809,9.399999619,10.5,10.19999981,9.5,9,8.399999619,7.900000095,7.300000191,7.199999809,7,6.699999809
Kuwait,,,,0.8000000119,,,,,1.700000048,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,46.90000153,47.90000153,49,51.70000076,51.70000076,51.40000153,49.40000153,43.40000153,39.09999847,39.29999924,36.90000153,
Laos,,,,,,,,,,,,,,,,81.19999695,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,19.79999924,23.20000076,20.70000076,17.79999924,16.20000076,18,18.29999924,16.70000076,16,15.30000019,13.60000038,11.80000019
Lesotho,,,,,,,,,,,,,,,,,32.5,65.59999847,,78.19999695,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,23.20000076,22.39999962,23.10000038,22.39999962,21.89999962,21.39999962,21.20000076,18.20000076,16.60000038,14.60000038,12.89999962
Luxembourg,,,,4.599999905,4.300000191,4.099999905,3.799999952,3.700000048,3.700000048,3.599999905,3.400000095,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,0.8999999762,0.200000003,,0.3000000119,0.3000000119,0,0.3000000119,0.3000000119,0.200000003,0.200000003,0.1000000015,0.200000003,0.1000000015,0.200000003,0.400000006,0.3000000119,0.200000003,0.200000003,0.1000000015
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,76.69999695,,81.5,,
Malaysia,33.90000153,32.90000153,28.10000038,28.39999962,28.20000076,28.60000038,29.70000076,30.89999962,30.70000076,28.89999962,26.39999962,26.79999924,22.70000076,22.20000076,,21.60000038,20.60000038,18.89999962,20.70000076,20.89999962,20.70000076,16.79999924,16.79999924,16.10000038,16.79999924,17.10000038,17.20000076,17.5
Maldives,,,,,,,,,,,28.10000038,,,,,27,,,,,17.89999962,,,21.79999924,,,14,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,49.79999924,,,
Malta,,,,,,,,,,,,,,,,,,,,,2.5,2.799999952,2.400000095,2.299999952,2.299999952,2.700000048,2,2.200000048
Marshall Islands,,,,,,,,,,,,,,,,,,,,27.10000038,,,,,,,,
Martinique,,,,,,,,,,,10.10000038,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,15,,14.5,15.30000019,13.80000019,13.5,12.89999962,12.39999962,,12.5,11.10000038,10.89999962,10.89999962,10.5,10.39999962,9.899999619
Mexico,,,,,,,,,,,28.60000038,32.70000076,,32.5,,29.79999924,27.70000076,29.20000076,25,26,22.89999962,23.29999924,23.20000076,21.79999924,21.39999962,20.39999962,19.70000076,18.89999962
Mongolia,,,,,,,,,,,,,,41.90000153,45.79999924,47.09999847,47.90000153,49.70000076,50.70000076,50.59999847,50.59999847,50.09999847,47.40000153,43.79999924,42.90000153,43,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,10.19999981,,8.5,,
Montserrat,,,,,,,,,,,,8.800000191,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,4.099999905,4.199999809,3.799999952,3.5,41.40000153,5.699999809,6.800000191,5.400000095,5,5.599999905,,5,40.09999847,39.20000076,40.40000153,39.59999847,36.70000076,
Namibia,,,,,,,,,,,,45.20000076,,,,,,37.59999847,,,32.79999924,,,,33.70000076,,,
Nepal,,,,,,,,,,,,74.90000153,,,,,,,,67.09999847,,60.20000076,,,,,,
Netherlands,6,,6,,5.900000095,,5.699999809,,5.5,5.400000095,5.199999809,5.300000191,4.800000191,4.699999809,4.900000095,4.5,4.800000191,4.599999905,4.099999905,3.900000095,4.099999905,3.5,3.799999952,3.5,3.900000095,3.799999952,,
Netherlands Antilles,,,,0.6000000238,1.100000024,1.100000024,1,,,,,,0.8000000119,1,1,1.100000024,1.200000048,1.600000024,1.799999952,,2,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,9.199999809,,,,,,,,,,,
New Zealand,,,,,,,12.80000019,12.39999962,12.5,12.39999962,12.80000019,13.19999981,13.39999962,13,12.69999981,12.19999981,11.89999962,11.19999981,10.80000019,11.80000019,11.19999981,11.69999981,11.39999962,10.39999962,9.5,8.899999619,8.699999809,9
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,43.09999847,42,41.29999924,41.70000076,
Nigeria,,,,39,,,51.20000076,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,11.39999962,,,,,,
Northern Mariana Islands,,,,,,,,,,,4.099999905,,,,,2.200000048,,,,,,,,,,,,
Norway,9.899999619,9.800000191,9.600000381,9.5,9.5,9.199999809,9,8.5,8.100000381,8.5,8.300000191,7.900000095,7.400000095,7.599999905,7.300000191,6.800000191,7.099999905,6.599999905,6.5,6.400000095,5.800000191,5.599999905,5.400000095,5.300000191,5.099999905,4.800000191,4.900000095,4.199999809
Oman,,,,,,,,,,,,,,9.600000381,,,7.5,,,,6.599999905,,,,,,,
Pakistan,,,,,,47.90000153,51.20000076,45.20000076,48.40000153,48.40000153,48.40000153,44.79999924,44.79999924,44,46.20000076,43.90000153,43.90000153,40.70000076,43.70000076,43.59999847,,44.40000153,,38.20000076,,38.09999847,,36.40000153
Panama,,,37.20000076,37.70000076,38.70000076,39.79999924,39.20000076,,,,,,34.70000076,32.20000076,28.20000076,29.10000038,28.5,26.89999962,25.70000076,25.29999924,24.70000076,25.5,24.89999962,24.89999962,23.10000038,22.20000076,22.29999924,21.29999924
Paraguay,,,1.5,6.199999809,5,4.400000095,4.699999809,4.5,4,3,,,,,,42.5,,35.79999924,36.70000076,38.29999924,37.70000076,39,41.29999924,38.70000076,,,,33.29999924
Peru,,,,,,,,0.8999999762,,,1.700000048,,,,,1.600000024,7.599999905,9.800000191,7,7.900000095,8.899999619,10.89999962,14,15.5,14.80000019,14.69999981,14.5,12.30000019
Philippines,59.79999924,59.20000076,59.70000076,59.29999924,58.29999924,58.29999924,58.40000153,56.40000153,54.29999924,53.20000076,53.09999847,53.90000153,53.40000153,53.40000153,52.79999924,51.70000076,7.099999905,6.599999905,6.5,6.699999809,45.29999924,45.40000153,45.29999924,44.70000076,44.59999847,44.70000076,44.20000076,43.79999924
Poland,,,,,,,,,,,,,,,24,22.70000076,22.20000076,20.70000076,19.39999962,18.5,19.10000038,19.20000076,19.79999924,19.10000038,18.60000038,18,16.39999962,15.19999981
Portugal,22.29999924,20.60000038,20.60000038,20,20.5,20.70000076,18.79999924,18.70000076,17.70000076,16.39999962,15.60000038,15.10000038,10.5,10.69999981,10.80000019,10.80000019,11.30000019,12.19999981,12.30000019,11.5,11.5,11.60000038,11.39999962,12,11.69999981,11,11.30000019,11.10000038
Puerto Rico,8,7.599999905,7.599999905,8.300000191,7.800000191,8,7.199999809,5.599999905,6,6,,5.699999809,5.400000095,5.400000095,5.599999905,4.699999809,4.300000191,4.5,4,3.5,3.099999905,3.400000095,3.299999952,3.400000095,3.5,3.299999952,2.299999952,1.899999976
Qatar,,,,,,,,,,,,,,,,,,4.300000191,,,,2.700000048,,,3.200000048,,3.5,
Moldova,,,,,,,,,,,,,,,,,,,,,52,51.79999924,50.70000076,44.29999924,41,41.09999847,35.29999924,35.5
Romania,22.39999962,22.10000038,21.89999962,22.29999924,22.39999962,22.60000038,22.5,22.29999924,22.5,22.39999962,24.60000038,26.29999924,28.79999924,32.20000076,34.79999924,35.29999924,34.29999924,35.29999924,36.90000153,38.90000153,40.40000153,39.90000153,34.59999847,34.40000153,31,31.39999962,29.70000076,28.20000076
Russia,,,,,,,,,,,,,,,,,,16,15.5,17.5,17.10000038,14.60000038,13.60000038,13.39999962,12.39999962,12.30000019,12.10000038,11
Rwanda,,,,,,,,,,83.40000153,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,30,33.59999847,29.29999924,30.20000076,25.5,28,26.5,26.10000038,,15.10000038,16.29999924,18.79999924,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,30.60000038,,,,,,,,,,20.20000076,,,,,,
San Marino,5.400000095,5.400000095,5.300000191,5.199999809,5,3.299999952,3.099999905,3,2.799999952,2.599999905,2.400000095,2.200000048,2.099999905,1.899999976,,1.5,1.5,1.399999976,1.299999952,1.299999952,,0.5,0.5,0.400000006,0.5,0.6000000238,0.5,0.5
Sao Tome and Principe,42.40000153,53.70000076,46.20000076,56.79999924,45.79999924,,,,,,,42.29999924,,,,,,,,,30.60000038,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,7.099999905,6.699999809,6.800000191,5.300000191,,,,4.599999905,5.400000095
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,34.09999847,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,23.89999962,23.29999924,21.5,21.70000076
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,66,,,
Singapore,1.5,1.299999952,1.100000024,1.200000048,0.8999999762,0.8000000119,1,1.100000024,0.6000000238,0.6000000238,0.6000000238,0.400000006,0.5,0.400000006,0.400000006,0.3000000119,0.3000000119,1.399999976,1.100000024,1.200000048,0,1.200000048,1.100000024,1.100000024,1.100000024,,1.600000024,1.600000024
Slovak Republic,,,,,,,,,,,,,,,12.5,11.39999962,10.89999962,11.39999962,10.39999962,9.600000381,8.899999619,8.199999809,8,7.699999809,7,6.400000095,5.900000095,5.800000191
Slovenia,,,,,,,,,,,,,,11.10000038,11.89999962,10.39999962,10.69999981,11.80000019,11.69999981,10.60000038,9.399999619,10.10000038,9.600000381,8.399999619,9.600000381,8.600000381,9.800000191,10
South Africa,,,,,,,,,,,,,,,,,,,,,15.30000019,12.89999962,14.19999981,12.80000019,10.39999962,8.600000381,9,10.60000038
Spain,19.60000038,19.20000076,19.20000076,19.29999924,19.20000076,19.10000038,17.10000038,16.10000038,14.89999962,13.60000038,12.30000019,11.19999981,10.69999981,10.80000019,10.5,9.899999619,9.600000381,9.300000191,9.100000381,8.399999619,7.800000191,7.699999809,7.199999809,6.900000095,6.699999809,6.5,5.800000191,5.599999905
Sri Lanka,,44.20000076,,,,47.20000076,,,,,,,,36.90000153,40.79999924,35.5,32.79999924,,37.70000076,,,21.70000076,,,,27.89999962,29.10000038,28.39999962
Saint Helena,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
Suriname,,,,,,,,,,,,,4.800000191,5.699999809,8.100000381,8.800000191,7.900000095,6.300000191,6.699999809,8.399999619,,,,,9.899999619,,,
Sweden,7.599999905,7.699999809,7.699999809,7.599999905,7.099999905,6.800000191,5.199999809,5.5,5.5,5.199999809,4.900000095,4.699999809,4.699999809,4.900000095,5,4.5,4.300000191,4,3.700000048,3.700000048,3.5,3.400000095,3.200000048,3.200000048,3.200000048,3,3,3.400000095
Switzerland,7.900000095,7.300000191,7.199999809,7.199999809,6.900000095,6.800000191,6.400000095,5.900000095,5.5,5.099999905,4.800000191,4.699999809,4.599999905,4.800000191,4.800000191,5,5.400000095,5.400000095,5.5,5.599999905,5.199999809,4.900000095,4.900000095,4.800000191,4.599999905,4.599999905,4.5,5
Syria,,,,27.20000076,22.10000038,,,,,22.70000076,,,,26,22.60000038,20.70000076,,17,,23.39999962,26.20000076,25.5,24.70000076,22.60000038,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,41.79999924,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,80.19999695,,,,,72.69999695,
Thailand,67.80000305,61.70000076,59.70000076,62.09999847,62.90000153,67.19999695,65.5,64,65.5,65.80000305,62.40000153,59.09999847,59.20000076,55.40000153,54.59999847,50.29999924,48.5,49.09999847,51.90000153,49.40000153,49.5,48,47.79999924,46.79999924,43.90000153,44.20000076,43.09999847,43.29999924
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,23.39999962,21.89999962,18,19.79999924,20,18.89999962
Tonga,,,,,57.79999924,,,,,,,,,,,,,,,,,,,50.59999847,,,,
Trinidad and Tobago,10.89999962,9.899999619,9.800000191,9.600000381,10.19999981,12.39999962,12.80000019,13.69999981,15.10000038,16.79999924,,14.39999962,14.80000019,14.39999962,15.80000019,13.80000019,12.5,12.60000038,10.80000019,11.19999981,9.800000191,10.60000038,9.800000191,8.300000191,6.300000191,6.099999905,,
Tunisia,34.5,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,
Turkey,,,3.700000048,4.5,3.799999952,30.29999924,,,33.90000153,34.5,33.59999847,35,33.29999924,33.09999847,32.5,32.29999924,31.5,31,30.5,30.89999962,27,27.70000076,24.79999924,24.39999962,25.60000038,21.70000076,19.79999924,19.10000038
Uganda,,,,,,,,,,,,,,,,,,,,,,,,61.79999924,,,,
United Arab Emirates,,,,,,,,,,,,,,,,9,,,,,9,,,,,5.599999905,,
United Kingdom,3.400000095,3.599999905,3.599999905,3.599999905,3.5,3.5,3.400000095,3.299999952,3.200000048,3.099999905,2.900000095,3.099999905,3.099999905,2.900000095,2.900000095,2.799999952,2.599999905,2.5,2.400000095,2.200000048,2.200000048,2,2,1.799999952,1.899999976,1.899999976,1.899999976,1.899999976
United States,5,4.900000095,5.099999905,5,4.699999809,4.5,4.400000095,4.300000191,4.099999905,4.099999905,4.099999905,4.199999809,4.199999809,4,4,4,3.900000095,3.799999952,3.799999952,3.599999905,3.5,3.299999952,3.5,2.299999952,2.299999952,2.200000048,2.099999905,2
Uruguay,,,,,,,,,,,,,7,6,6.199999809,7.099999905,,,5.699999809,5.800000191,6.199999809,6.099999905,6.400000095,6.699999809,7.400000095,7.099999905,15.39999962,15.60000038
Venezuela,19.89999962,19.29999924,19,19.70000076,21.39999962,21.5,20.5,19.20000076,18.39999962,18.5,18.5,17.60000038,16.5,15.60000038,,,,,,,,,,16,,,13.5,13.10000038
Vietnam,,,,,,,,,,,,,,,,,69.5,64.5,63.90000153,64.5,64.19999695,63,61,57.70000076,55.90000153,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,11.80000019,10.30000019,9.5,9.300000191,9.800000191,9.100000381,11.89999962,11.89999962,12,11,12,10.80000019
"Yemen, Rep.",,,,,,,,,,,,43.5,,,45,,,,46.59999847,43.09999847,,,,,,,,
Zambia,,,,,,,,,,,46.59999847,,,,,,,,64,,65.19999695,,,,,,,
