"Traffic mortality women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.70439148
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80973434
Canada,7.995498,8.702544,9.941793,10.66701,9.854374,9.719029,11.02129,10.57074,10.26005,11.11422,10.95553,10.62465,12.23367,12.63347,13.45817,14.1634,14.32643,15.01944,14.38163,14.18167,13.2599,14.58182,14.78615,16.01428,14.82702,13.82925,11.78396,11.74651,11.69389,12.57828,12.02289,10.60896,8.843854,8.692962,8.399637,9.263448,8.709574,8.992943,8.160713,9.3948,7.861071,7.352646,6.90028,7.349194,6.028729,6.347325,5.803707,5.824852,5.418214,5.848364,5.315345,4.82082,5.206022,4.872386,4.473574
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18562508
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.15854073
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.80347443
Chile,,,,,,1.496868,1.637995,2.826707,2.378604,1.631539,3.899861,2.86754,1.578218,2.22781,2.37144,1.759599,4.679812,2.640913,10.2892,6.519651,5.88819,7.35218,6.746183,6.195002,3.940878,3.585796,3.493938,3.646194,3.85891,4.225915,4.81627,5.491234,4.500163,3.24149,2.73102,2.184687,2.453103,2.647157,2.53473,2.433208,2.751789,3.736374,4.867439,4.541895,4.668509,4.601991,4.937543,4.658462,4.844594,3.914688,5.07668,4.840802,4.121708,4.853553,4.722811
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14801025
Colombia,,,,4.125203,3.244823,4.169404,3.916914,3.637008,4.215781,4.31167,4.454302,4.346838,5.311999,5.756487,5.992441,6.046613,6.383623,5.901598,6.484645,5.262528,,,7.081965,,7.52969,8.112767,8.50415,9.133741,,,,,,,8.525397,8.589213,7.415422,6.261657,6.072233,6.640343,6.110844,7.310251,7.680072,7.84396,8.26742,8.386183,8.142761,7.431735,8.291725,7.511709,6.878594,6.970981,6.601646,,5.972251
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62512779
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99158287
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85552788
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8512737155
Costa Rica,,,,,,,,,,,,,1.593144,2.592715,2.13589,4.739787,4.516963,3.988383,4.988586,6.6614,6.064826,7.699141,7.733983,5.985734,9.328432,9.424313,9.734804,10.32662,11.76013,7.052766,9.692781,5.671363,4.749535,4.121353,6.465468,5.871884,6.113933,6.012006,6.554685,5.933431,6.130618,6.090252,5.881038,5.086005,7.214811,5.920793,3.624212,6.512652,7.374691,7.001077,6.84533,5.464608,5.794336,5.180398,5.044964
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.73916054
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.495085,6.917059,7.542198,8.142162,8.130352,8.490232,7.510221,6.625698,4.070649,5.207267,5.933647,4.819776,4.915796,4.584341,5.025123,4.393906,4.837222,4.162937,5.706215,4.893654
Cuba,,,,,,,,,,,,,,,3.528907,,,,3.7807,4.377028,5.18304,4.854869,4.074448,3.948509,4.515826,5.551526,6.247349,7.724527,,,,,,,,,,,,,,,7.161282,6.857833,7.06313,8.047381,7.009356,6.909119,6.626389,5.297488,6.436534,5.516352,4.761881,4.580282,4.281193
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.631252,6.513276,,,,4.958819
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333541,4.626078,4.849436,5.005704,5.693594,6.133643,6.406875,6.425168,6.184078,6.641725,5.612041,5.714099,4.719145,3.825179,4.772897,4.658448,4.745487,4.144341,4.113549
Czechoslovakia,,,,2.047512,2.465216,2.779599,3.444544,3.617957,3.312567,4.29215,4.580906,5.18015,4.657,4.932358,5.881052,5.566887,5.804312,6.966866,8.572993,9.327938,8.594817,9.123587,8.804888,8.592604,7.656061,8.591124,8.373216,7.726568,8.280416,6.727348,5.509878,6.013051,4.569496,5.571324,4.426259,4.889058,4.726871,4.494187,5.105247,5.06219,6.163871,6.149526,,,,,,,,,,,,,
Denmark,,4.066274,4.884795,4.679185,6.333398,6.483954,5.961341,6.595635,5.307984,7.80162,7.621649,9.078619,7.770405,8.480833,9.864618,11.314,10.43744,11.55867,11.98443,13.56786,13.55748,13.21855,12.87089,12.69379,7.718662,8.514278,9.321379,8.560558,7.801191,7.857956,7.902383,6.70957,6.407017,6.305099,7.650342,6.824638,6.782297,7.936326,7.333571,6.004129,6.368609,5.191796,4.931993,5.071408,5.181536,5.899062,4.702786,3.432464,4.489048,4.760109,4.716098,3.90022,3.560483,3.917894,3.070697
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07228088
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4077731073
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.87170792
East Germany,,,,,,,,,,,,,,,,,,,,,,,,6.07526,6.287627,,,7.996373,,,5.761602,6.19572,5.558992,5.996548,6.362322,5.241394,5.665365,4.87095,5.213255,5.743773,10.13763,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.827374935
Egypt,,,,,,,,,,,,,,,,,,,,,0.8369409,0.7142769,0.8836129,0.6491357,0.8323127,0.9302373,0.8760874,0.8212326,0.8818617,2.09722,2.554347,,,,,,,2.942717,,,,,,,,,,,,,2.872216,,,,6.743310452
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.25391769
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13176537
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.20523548
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.231806,7.174628,,,6.900234,5.256775,7.408607,10.73045,12.45756,14.21156,14.64083,8.212441,9.299071,10.82138,9.38753,6.759411,7.687179,8.572164,7.407696,7.036613,6.978611,7.188994,5.067194,5.409345
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36227036
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3975405097
Finland,,,3.673187,3.725418,4.238304,4.798299,5.374826,6.075541,5.040074,5.939696,7.496033,7.891577,7.095742,9.854513,9.583144,11.14004,12.55246,10.86812,10.93643,12.78357,11.51702,13.84102,12.82525,11.6575,8.937648,10.20144,9.030041,7.286188,6.175049,6.972724,5.471539,5.548612,5.970339,7.294049,5.387898,5.528691,6.652956,6.459193,7.034261,7.764935,7.559261,6.962862,6.720116,4.79684,4.887987,3.773542,4.148024,4.658538,3.79687,4.434443,4.34994,4.255249,3.809135,3.738023,3.846258
France,2.918607,,3.460713,5.084915,6.040012,6.46429,6.816744,7.140742,6.93977,7.616394,8.043262,8.645908,9.426788,9.265111,10.79511,11.68652,11.62469,13.29186,13.98058,10.82588,11.70858,12.24244,13.26498,12.42742,10.39448,10.33916,10.57171,10.41961,9.547441,10.06643,9.907425,10.00399,9.692377,9.814918,9.716106,9.038201,9.248384,8.16518,8.748554,8.800746,8.458976,7.873742,7.335933,7.513262,7.140356,7.025836,6.596568,6.064397,7.008737,6.659997,5.80718,6.167624,5.425694,4.067964,3.783006
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.87283134
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75108242
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.050988,1.708766,,,3.605113,4.94003,4.332439,5.76319,6.989021,5.017873,2.436248,5.173146,,1.196833,1.024004,1.912059,2.52195,1.672124,2.897189,1.996352,2.505971,,,2.388521671
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.726182,6.56026,6.387506,5.876063,5.591778,5.717312,5.350676,4.947806,4.563151,4.738925,4.585925,4.155582,4.081124,3.655204,3.18902
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01268387
Greece,,,,,,,,,,,,2.442326,3.035308,3.136751,3.989797,3.897369,5.019234,4.901092,4.588809,4.731897,5.106533,5.773833,5.805684,7.22794,6.278516,7.612707,8.21188,8.633943,9.758804,9.236977,7.355405,6.410321,8.804585,8.589006,9.306263,9.150936,8.530651,7.841001,8.767771,8.410507,9.428919,8.763371,8.609079,7.116776,8.644275,9.133685,9.941672,8.821514,8.618689,8.390573,7.333296,7.134911,6.334836,5.404038,6.866362
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241346955
Guatemala,,,,,,,,,,,,,,5.298168,3.345422,3.480445,2.354231,2.615595,2.68443,3.532156,4.337361,3.993667,,,0.7154959,,,1.873673,,8.879206,7.881047,6.931635,,,0.8640303,,2.383514,2.457578,2.088745,1.986669,2.265671,2.129696,2.622462,2.773039,2.230452,2.839119,1.72712,1.876014,2.027493,1.26796,1.722311,1.078145,1.430671,1.205937,1.343362
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.19050026
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28594685
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10579109
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.741116524
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.287170887
Hungary,,,,,,1.505164,2.024305,2.066062,1.582865,2.195939,2.284624,1.898567,2.461117,2.834137,3.145432,2.69732,2.839571,3.689483,4.779829,5.256344,6.460866,7.198507,7.080671,6.900172,6.443641,6.563304,6.394156,7.512875,8.290855,7.771202,6.74758,6.445494,6.272764,7.057095,6.341923,7.874304,7.246633,7.062341,7.99052,10.40323,11.0729,9.731701,10.25145,7.863752,7.175463,6.740446,6.003708,5.951951,5.386829,5.459618,5.162804,5.277876,6.634048,5.630782,5.755472
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.861105442
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.837711334
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.679179192
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.68647385
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.36748505
Ireland,1.953293,2.401675,1.883478,2.126618,2.428128,2.506216,3.398909,3.556906,3.671092,3.065696,3.72869,4.129751,4.282198,4.608087,4.55395,4.319105,4.561745,5.652555,5.624566,7.463153,8.583499,9.373291,9.595369,7.814328,6.69103,8.205625,7.861074,9.029449,7.599452,8.928385,8.017632,8.74696,7.141693,8.222536,7.933074,6.675412,4.655145,6.303325,6.148659,6.371628,6.600235,6.492561,5.957815,5.585928,5.627768,5.514657,5.351859,6.26309,5.278119,5.825581,4.789844,4.506876,4.509933,2.888745,4.127143
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,11.18171,9.396653,11.67922,8.790481,9.913317,6.784082,5.534263,5.685274,6.327364,5.755325,6.034251,5.623333,6.210231,6.067917,5.800201,4.906116,3.244324,3.593112,5.823039,5.134661,5.55372,5.088098,4.192215,2.590351,3.171486,2.375715,2.757117,2.366527,2.160222,2.281949
Italy,,3.041214,3.244199,3.472917,3.910244,4.746404,4.910035,4.816635,4.944872,4.682677,4.981194,5.796752,6.796414,7.694049,7.340918,7.183151,6.989882,7.516751,7.988369,8.273798,8.922976,9.006362,10.17162,10.26399,8.556358,8.48286,7.947284,7.364722,6.862339,7.613682,7.608099,7.375901,7.099789,6.775233,6.33308,6.336463,6.511121,6.45545,6.052191,5.456458,6.041884,6.284238,6.515996,5.566388,5.685395,5.491153,5.159708,5.041037,5.477299,4.988736,5.187684,4.955138,4.540476,3.988416,4.406064987
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.971557617
Japan,1.806494,1.824421,2.017823,2.533859,3.103342,3.02399,3.27824,3.874794,4.362018,5.223011,6.292675,6.812809,6.01325,6.643755,7.27932,7.213244,7.657207,7.712186,8.588392,9.230878,9.695691,9.25552,8.786848,8.068199,6.303343,5.7851,5.267741,4.79905,4.79208,4.794749,4.680454,4.723618,4.691409,5.027217,4.610351,4.569689,4.454335,4.560369,4.799267,5.25988,5.426769,5.225718,5.253559,4.983023,4.821309,4.762704,4.424801,4.370037,4.093965,3.946685,3.669296,3.624525,3.495378,3.087947,2.942051
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.115650177
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.241241,5.645654,,,5.555624,5.690499,6.061409,7.362431,9.147435,9.116941,9.497398,8.37584,7.879068,5.87426,6.442588,6.418942,5.993423,6.630666,5.098444,,6.73385,6.24143,6.314067,9.148902
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52386665
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7297710776
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.331676483
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.135986,7.548522,9.970807,10.22965,13.21557,17.00452,15.99244,16.32757,16.63054,18.36342,20.72281,19.95661,17.14485,12.50387,13.48562,13.1309,,9.663013,9.249106,7.92886
Kuwait,,,,,,,,,,,,,,,,,,,,,,,17.06769,,,18.90523,17.95209,18.76186,14.2781,15.63755,17.65913,15.91029,14.98766,15.97204,12.3929,11.85315,11.29618,11.17578,,,,,,9.089897,10.54642,12.21718,14.44814,8.191502,8.239441,8.910358,11.16141,6.663027,7.971433,,7.76232338
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51112,8.106174,,,7.206864,8.17426,9.576681,9.007234,12.16033,9.426664,11.25307,9.901772,6.145511,5.904722,5.887565,5.695889,5.22196,5.404065,4.867325,3.796526,5.426594,5.706593,7.386311,7.842858
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.42483139
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76797,10.26631,10.31259,9.784492,10.07042,9.807837,7.435409,8.568943,11.06246,12.9907,14.71128,15.243,10.99661,11.8354,12.76858,11.42409,9.590332,10.76996,11.43517,12.22073,10.62917,,9.780332,9.653268,9.176981
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.20397949
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25515461
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43675804
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0637989
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.031074,10.4801,,,8.675123,9.751804,9.174479,10.24952,13.32113,12.93635,14.4275,9.855717,11.0254,9.79005,8.144749,9.326213,9.871631,11.47866,9.395569,7.219492,7.852006,8.745148,7.980792,7.025382
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.955725193
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.404576,2.540642,2.245091,2.178993,2.104901,3.76344,3.650331,3.786629,1.701399,2.259258,1.283382,3.026712,1.864933,2.016882896
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.78016281
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20024776
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.374655724
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.97707176
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.81902885
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6210317612
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.798301697
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63618851
Mauritius,,,,,,,,,,,,6.976093,5.726932,5.411297,4.665938,3.528921,4.846348,4.220655,4.944617,2.901291,9.026332,4.461789,7.047593,7.181242,8.83588,11.89686,8.920036,5.960343,6.046319,7.042423,1.690275,1.426433,0.5900861,,0.3295092,0.8016223,1.367814,3.231322,5.472555,4.480929,6.655589,7.550322,4.866,5.689156,5.587004,5.86682,5.305875,4.844488,5.182276,7.415822,4.853873,4.655046,6.095765,4.588083,5.601439
Mexico,,,,,,0.8173639,1.167522,1.136225,1.504899,1.429472,1.465363,1.352904,1.152697,2.998101,3.516709,3.494563,3.373876,3.171595,3.731119,3.674248,3.89415,4.600896,4.403335,4.766128,7.650226,8.475183,8.975204,10.25193,10.08985,10.56175,10.91797,13.29401,11.2636,10.58855,7.739629,7.566778,7.796806,7.504601,7.968883,8.530988,8.407161,8.544621,7.685102,8.034366,7.667569,7.133668,6.930868,7.283112,5.572765,5.553235,4.78616,4.832004,5.383072,5.235641,5.203776
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9725571275
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39397,11.42614,,,8.355858,8.373243,8.756691,8.651552,11.52004,11.77074,9.875063,8.672455,6.472014,6.987369,6.886443,7.077162,8.428544,6.138768,5.091845,5.135576,6.502297,5.702055,6.406791,5.819281
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.270246983
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27388763
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35575485
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4342041
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.41248798
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.36626625
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.79499054
