Population density (per square km),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Belarus,37.307,37.176,37.143,37.206,37.358,37.589,37.888,38.24,38.629,39.038,39.451,39.858,40.255,40.648,41.047,41.46,41.885,42.317,42.746,43.157,43.543,43.899,44.229,44.538,44.833,45.12,45.4,45.672,45.944,46.226,46.525,46.841,47.17,47.507,47.84,48.162,48.47,48.761,49.025,49.248,49.421,49.54,49.607,49.621,49.582,49.491,49.347,49.154,48.928,48.687,48.448,48.217,47.993,47.774,47.554,47.327,47.095,46.86,46.631,46.416,46.221
Belgium,282.642,283.862,285.316,286.934,288.658,290.446,292.27,294.116,295.981,297.874,299.799,301.753,303.71,305.62,307.421,309.069,310.534,311.828,313.005,314.138,315.281,316.453,317.628,318.756,319.768,320.613,321.292,321.825,322.212,322.455,322.566,322.534,322.386,322.222,322.172,322.331,322.736,323.361,324.15,325.018,325.898,326.793,327.715,328.619,329.453,330.185,330.785,331.282,331.782,332.428,333.323,334.488,335.889,337.497,339.262,341.136,343.127,345.216,347.293,349.218,350.893
Belize,3.001,3.098,3.191,3.285,3.38,3.479,3.583,3.692,3.804,3.918,4.033,4.149,4.266,4.385,4.509,4.639,4.777,4.92,5.063,5.201,5.327,5.442,5.547,5.643,5.732,5.816,5.893,5.966,6.044,6.14,6.263,6.416,6.598,6.8,7.01,7.219,7.424,7.628,7.836,8.053,8.284,8.53,8.788,9.055,9.325,9.593,9.858,10.121,10.383,10.645,10.908,11.172,11.437,11.703,11.968,12.233,12.498,12.763,13.03,13.298,13.569
Benin,20.025,20.05,20.107,20.193,20.305,20.442,20.604,20.789,20.997,21.229,21.485,21.764,22.067,22.393,22.74,23.108,23.497,23.908,24.344,24.808,25.302,25.827,26.385,26.975,27.598,28.255,28.946,29.671,30.432,31.228,32.059,32.93,33.842,34.788,35.763,36.762,37.777,38.815,39.906,41.086,42.382,43.811,45.358,46.976,48.598,50.178,51.695,53.17,54.649,56.201,57.873,59.68,61.604,63.62,65.689,67.782,69.895,72.034,74.195,76.377,78.58
Bermuda,703.019,713.075,724.981,738.151,752.17,766.736,781.623,796.755,812.094,827.698,843.642,859.868,876.151,892.189,907.396,921.491,934.264,945.811,956.415,966.604,976.698,986.811,996.811,1006.547,1015.698,1024.113,1031.736,1038.698,1045.208,1051.509,1057.811,1064.151,1070.547,1077.057,1083.792,1090.792,1098.132,1105.774,1113.509,1121.057,1128.208,1134.906,1141.189,1147.151,1152.906,1158.585,1164.17,1169.623,1175,1180.283,1185.547,1190.792,1196,1201.038,1205.755,1210,1213.736,1217.019,1219.943,1222.679,1225.302
Bhutan,3.582,3.711,3.836,3.959,4.08,4.2,4.32,4.44,4.561,4.684,4.808,4.936,5.068,5.205,5.349,5.501,5.661,5.83,6.011,6.207,6.423,6.658,6.911,7.178,7.455,7.736,8.023,8.313,8.604,8.888,9.162,9.418,9.655,9.89,10.146,10.435,10.775,11.152,11.509,11.769,11.883,11.824,11.625,11.359,11.137,11.034,11.075,11.239,11.5,11.817,12.155,12.512,12.894,13.286,13.668,14.028,14.355,14.651,14.923,15.184,15.446
Bolivia,2.47,2.52,2.571,2.625,2.68,2.738,2.797,2.859,2.922,2.987,3.054,3.122,3.193,3.265,3.339,3.416,3.495,3.577,3.661,3.748,3.838,3.932,4.029,4.129,4.23,4.334,4.44,4.547,4.655,4.764,4.872,4.98,5.088,5.196,5.308,5.423,5.542,5.665,5.792,5.924,6.061,6.202,6.348,6.498,6.649,6.801,6.952,7.104,7.256,7.408,7.562,7.716,7.871,8.025,8.177,8.326,8.472,8.614,8.755,8.896,9.039
Bosnia and Herzegovina,51.981,53.138,54.283,55.398,56.473,57.502,58.484,59.425,60.335,61.227,62.113,63,63.882,64.747,65.57,66.34,67.048,67.705,68.333,68.965,69.621,70.314,71.038,71.774,72.498,73.19,73.843,74.468,75.089,75.739,76.441,77.143,77.822,78.551,79.433,80.505,81.926,83.591,84.96,85.299,84.149,81.206,76.789,71.828,67.622,65.084,64.568,65.739,67.978,70.345,72.147,73.215,73.752,73.886,73.859,73.852,73.863,73.814,73.718,73.592,73.445
Botswana,0.709,0.731,0.752,0.771,0.789,0.807,0.825,0.843,0.861,0.881,0.901,0.922,0.945,0.97,0.996,1.024,1.054,1.085,1.119,1.154,1.191,1.23,1.272,1.315,1.362,1.413,1.468,1.526,1.587,1.65,1.712,1.776,1.839,1.903,1.967,2.033,2.1,2.168,2.237,2.306,2.376,2.447,2.518,2.589,2.658,2.726,2.791,2.854,2.915,2.971,3.022,3.067,3.108,3.146,3.184,3.224,3.268,3.313,3.36,3.406,3.45
Brazil,6.339,6.538,6.744,6.955,7.169,7.385,7.605,7.829,8.058,8.297,8.546,8.806,9.077,9.354,9.634,9.912,10.187,10.461,10.735,11.009,11.285,11.563,11.843,12.126,12.415,12.711,13.014,13.324,13.641,13.965,14.295,14.633,14.977,15.323,15.666,16.003,16.332,16.654,16.968,17.276,17.577,17.87,18.156,18.438,18.722,19.01,19.303,19.599,19.898,20.194,20.487,20.775,21.058,21.333,21.596,21.845,22.076,22.292,22.497,22.697,22.897
British Virgin Islands,49.278,49.675,49.987,50.238,50.483,50.735,51.033,51.384,51.841,52.391,53.079,53.901,54.854,55.921,57.093,58.331,59.649,61.033,62.424,63.748,64.967,66.079,67.113,68.026,68.801,69.43,69.881,70.225,70.669,71.51,72.934,75.007,77.662,80.828,84.391,88.238,92.391,96.808,101.258,105.47,109.212,112.384,115.04,117.377,119.669,122.119,124.795,127.616,130.477,133.225,135.755,138.04,140.106,142.026,143.848,145.629,147.371,149.079,150.742,152.364,153.94
Brunei,8.326,8.859,9.381,9.902,10.427,10.962,11.509,12.071,12.648,13.241,13.85,14.477,15.124,15.8,16.512,17.266,18.062,18.902,19.786,20.718,21.698,22.725,23.795,24.9,26.026,27.163,28.31,29.465,30.614,31.741,32.836,33.893,34.918,35.927,36.947,37.997,39.079,40.191,41.337,42.517,43.734,44.988,46.278,47.593,48.916,50.237,51.55,52.858,54.157,55.447,56.728,57.996,59.252,60.498,61.742,62.988,64.235,65.484,66.729,67.968,69.197
Bulgaria,65.376,65.661,66.038,66.497,67.026,67.612,68.243,68.904,69.581,70.261,70.93,71.58,72.207,72.812,73.398,73.969,74.523,75.056,75.568,76.064,76.543,77.008,77.456,77.881,78.273,78.627,78.935,79.2,79.435,79.663,79.897,80.14,80.378,80.587,80.733,80.789,80.755,80.634,80.402,80.033,79.513,78.829,78.001,77.093,76.186,75.345,74.591,73.915,73.304,72.734,72.185,71.658,71.162,70.688,70.228,69.777,69.33,68.886,68.445,68.006,67.57
