Population density (per square km),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Jordan,5.024,5.639,6.083,6.457,6.836,7.265,7.766,8.328,8.922,9.501,10.022,10.467,10.864,11.292,11.86,12.639,13.665,14.896,16.23,17.519,18.658,19.618,20.431,21.129,21.767,22.392,23.004,23.601,24.223,24.921,25.729,26.675,27.755,28.932,30.152,31.379,32.576,33.764,35.03,36.495,38.23,40.287,42.601,44.988,47.195,49.048,50.481,51.563,52.406,53.183,54.029,54.958,55.946,57.048,58.319,59.793,61.507,63.435,65.467,67.444,69.253
Kazakhstan,2.46,2.507,2.584,2.685,2.803,2.933,3.072,3.217,3.365,3.516,3.668,3.821,3.971,4.115,4.249,4.37,4.478,4.571,4.654,4.733,4.811,4.89,4.969,5.046,5.12,5.188,5.25,5.307,5.362,5.417,5.475,5.535,5.596,5.659,5.724,5.791,5.862,5.933,5.998,6.045,6.066,6.06,6.03,5.98,5.916,5.845,5.766,5.683,5.602,5.535,5.489,5.467,5.469,5.49,5.524,5.568,5.619,5.68,5.745,5.813,5.881
Kenya,10.471,10.752,11.049,11.36,11.686,12.027,12.382,12.753,13.14,13.544,13.966,14.407,14.868,15.35,15.852,16.377,16.924,17.496,18.096,18.725,19.388,20.086,20.82,21.589,22.395,23.237,24.116,25.031,25.987,26.986,28.03,29.119,30.252,31.425,32.631,33.867,35.129,36.416,37.724,39.054,40.401,41.767,43.149,44.535,45.907,47.256,48.575,49.873,51.168,52.488,53.852,55.269,56.736,58.248,59.794,61.366,62.962,64.589,66.261,67.995,69.805
Kiribati,35.95,36.683,37.408,38.163,38.978,39.866,40.839,41.894,43.021,44.201,45.42,46.667,47.948,49.28,50.69,52.197,53.817,55.529,57.264,58.928,60.456,61.82,63.054,64.227,65.448,66.792,68.282,69.904,71.646,73.485,75.402,77.383,79.433,81.574,83.844,86.253,88.831,91.539,94.237,96.748,98.946,100.775,102.291,103.618,104.942,106.402,108.032,109.798,111.687,113.669,115.716,117.837,120.037,122.281,124.515,126.705,128.835,130.913,132.964,135.023,137.116
North Korea,80.778,79.305,78.468,78.299,78.793,79.907,81.559,83.63,85.97,88.414,90.814,93.082,95.223,97.353,99.649,102.236,105.128,108.252,111.537,114.879,118.193,121.478,124.728,127.854,130.746,133.336,135.57,137.49,139.243,141.036,143.02,145.252,147.69,150.255,152.825,155.311,157.68,159.969,162.245,164.605,167.111,169.79,172.595,175.422,178.13,180.614,182.838,184.827,186.628,188.311,189.933,191.503,193.006,194.433,195.767,197,198.132,199.179,200.155,201.083,201.98
South Korea,193.006,193.943,196.575,200.716,206.155,212.665,219.991,227.861,235.988,244.084,251.905,259.288,266.189,272.704,279.016,285.269,291.439,297.478,303.488,309.598,315.89,322.434,329.187,335.982,342.582,348.827,354.632,360.072,365.336,370.695,376.334,382.312,388.537,394.86,401.063,406.98,412.574,417.874,422.852,427.495,431.799,435.739,439.322,442.617,445.717,448.694,451.583,454.377,457.064,459.613,462.011,464.25,466.363,468.412,470.481,472.625,474.871,477.198,479.555,481.865,484.072
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,8.545,9.205,9.782,10.261,10.655,10.999,11.355,11.806,12.458,13.424,14.801,16.637,18.913,21.525,24.317,27.175,30.065,33.01,36.014,39.096,42.269,45.526,48.852,52.236,55.668,59.14,62.638,66.165,69.754,73.449,77.279,81.137,84.971,88.916,93.162,97.771,103.032,108.728,113.827,116.935,117.167,113.986,107.985,100.796,94.711,91.363,91.375,94.22,98.984,104.233,108.923,112.784,116.164,119.362,122.881,127.063,131.97,137.379,143.021,148.518,153.594
Kyrgyz Republic,8.704,8.821,8.964,9.13,9.315,9.517,9.738,9.978,10.244,10.539,10.868,11.231,11.624,12.037,12.457,12.874,13.283,13.686,14.079,14.461,14.83,15.185,15.526,15.857,16.181,16.503,16.823,17.142,17.464,17.798,18.147,18.511,18.888,19.277,19.675,20.078,20.49,20.908,21.312,21.676,21.984,22.219,22.393,22.544,22.725,22.972,23.306,23.708,24.131,24.507,24.787,24.952,25.026,25.054,25.104,25.225,25.431,25.709,26.034,26.368,26.684
Lao,7.107,7.282,7.46,7.64,7.823,8.009,8.199,8.392,8.589,8.79,8.995,9.205,9.419,9.639,9.865,10.097,10.334,10.574,10.822,11.085,11.365,11.668,11.99,12.31,12.601,12.846,13.034,13.178,13.306,13.457,13.659,13.923,14.24,14.602,14.994,15.404,15.83,16.274,16.734,17.212,17.704,18.211,18.727,19.245,19.755,20.25,20.726,21.185,21.625,22.048,22.454,22.842,23.212,23.573,23.932,24.296,24.669,25.048,25.431,25.811,26.186
Latvia,30.17,30.262,30.422,30.637,30.897,31.192,31.515,31.861,32.226,32.607,33.001,33.407,33.817,34.225,34.621,35,35.356,35.69,36.007,36.315,36.621,36.928,37.232,37.525,37.795,38.034,38.238,38.415,38.575,38.734,38.906,39.084,39.262,39.457,39.69,39.969,40.315,40.705,41.058,41.26,41.237,40.953,40.445,39.8,39.147,38.577,38.121,37.755,37.458,37.19,36.919,36.646,36.383,36.134,35.901,35.689,35.497,35.32,35.158,35.006,34.862
Lebanon,138.733,141.049,144.201,148.001,152.292,156.947,161.874,167.01,172.321,177.794,183.42,189.176,195.004,200.807,206.469,211.914,217.011,221.782,226.479,231.464,236.951,243.118,249.768,256.294,261.859,265.893,268.139,268.859,268.654,268.395,268.715,269.937,271.901,274.193,276.173,277.45,277.736,277.383,277.388,279.124,283.497,290.967,301.037,312.481,323.547,332.978,340.302,345.899,350.401,354.811,359.839,365.664,371.972,378.406,384.427,389.656,393.986,397.584,400.665,403.557,406.5
Lesotho,24.179,24.521,24.868,25.222,25.582,25.953,26.336,26.735,27.152,27.591,28.054,28.545,29.062,29.604,30.17,30.758,31.37,32.007,32.666,33.342,34.032,34.733,35.451,36.2,37.004,37.878,38.826,39.838,40.907,42.017,43.155,44.322,45.513,46.705,47.87,48.99,50.053,51.067,52.047,53.019,54,54.989,55.98,56.989,58.032,59.118,60.261,61.447,62.624,63.724,64.697,65.524,66.225,66.842,67.436,68.053,68.706,69.383,70.084,70.802,71.531
Liberia,8.181,8.308,8.448,8.603,8.771,8.951,9.144,9.347,9.561,9.785,10.018,10.261,10.512,10.773,11.045,11.328,11.622,11.929,12.248,12.58,12.927,13.288,13.662,14.053,14.461,14.887,15.323,15.766,16.227,16.724,17.263,17.859,18.492,19.094,19.57,19.857,19.946,19.868,19.663,19.388,19.1,18.779,18.445,18.233,18.317,18.808,19.788,21.195,22.815,24.342,25.566,26.392,26.902,27.273,27.77,28.577,29.754,31.222,32.85,34.443,35.864
Libya,0.585,0.588,0.596,0.607,0.622,0.64,0.661,0.685,0.711,0.739,0.767,0.795,0.825,0.855,0.888,0.922,0.96,1,1.042,1.087,1.133,1.182,1.233,1.287,1.343,1.402,1.462,1.524,1.59,1.662,1.741,1.828,1.922,2.017,2.107,2.188,2.257,2.315,2.367,2.415,2.463,2.513,2.563,2.614,2.664,2.714,2.764,2.814,2.865,2.918,2.973,3.03,3.088,3.149,3.213,3.279,3.35,3.423,3.495,3.559,3.612
Liechtenstein,85.981,87.15,88.331,89.625,91.069,92.706,94.544,96.575,98.775,101.1,103.506,105.975,108.513,111.156,113.969,116.981,120.225,123.638,127.094,130.419,133.488,136.244,138.725,141.019,143.262,145.55,147.906,150.3,152.725,155.156,157.581,160,162.438,164.856,167.256,169.625,171.944,174.238,176.519,178.819,181.162,183.563,186,188.463,190.931,193.381,195.8,198.188,200.563,202.938,205.331,207.744,210.163,212.537,214.781,216.85,218.719,220.413,222.006,223.575,225.2
Lithuania,39.317,39.351,39.48,39.684,39.946,40.256,40.606,40.994,41.423,41.896,42.417,42.985,43.591,44.215,44.833,45.428,45.99,46.522,47.032,47.535,48.042,48.554,49.067,49.572,50.059,50.52,50.952,51.36,51.752,52.138,52.528,52.916,53.298,53.687,54.1,54.543,55.028,55.538,56.016,56.387,56.599,56.632,56.508,56.257,55.933,55.576,55.192,54.78,54.362,53.962,53.599,53.287,53.023,52.79,52.558,52.309,52.035,51.746,51.452,51.165,50.898
Luxembourg,114.463,114.931,115.646,116.45,117.236,117.943,118.561,119.129,119.726,120.459,121.424,122.662,124.127,125.667,127.07,128.192,128.95,129.411,129.765,130.287,131.162,132.467,134.109,135.889,137.523,138.807,139.69,140.243,140.539,140.698,140.819,140.915,140.986,141.105,141.357,141.808,142.485,143.39,144.522,145.869,147.419,149.171,151.113,153.201,155.377,157.588,159.852,162.164,164.43,166.531,168.403,169.957,171.261,172.599,174.357,176.797,180.041,183.957,188.237,192.435,196.229
"Macao, China",7557,7536.5,7451.577,7318.615,7154.962,6978.654,6809.077,6666.308,6570.654,6541.577,6594.231,6735.731,6962.308,7257.615,7596.885,7957.923,8341.115,8740.615,9120.269,9434.923,9653.654,9764.577,9780,9724.731,9636.462,9546.577,9458.192,9374.038,9325.192,9348.731,9470.385,9701.962,10035.115,10448.654,10910.077,11392.692,11892.769,12409.115,12920.423,13401.654,13834.962,14211.269,14534.077,14815.115,15073.308,15324.077,15569.538,15809.615,16055.192,16318.923,16610.269,16933.269,17287.385,17671.385,18081.808,18515,18971.808,19450.346,19940.885,20430.577,20909.846
"Macedonia, FYR",47.824,49.266,50.463,51.414,52.133,52.65,53.008,53.265,53.49,53.759,54.136,54.66,55.33,56.094,56.874,57.613,58.297,58.951,59.595,60.263,60.98,61.739,62.529,63.358,64.237,65.165,66.162,67.21,68.23,69.117,69.802,70.246,70.483,70.615,70.786,71.098,71.589,72.222,72.935,73.636,74.256,74.778,75.225,75.617,75.988,76.362,76.743,77.12,77.486,77.827,78.135,78.407,78.647,78.864,79.067,79.264,79.458,79.645,79.824,79.989,80.137
Madagascar,6.956,7.102,7.254,7.412,7.576,7.747,7.923,8.106,8.295,8.491,8.694,8.904,9.121,9.346,9.579,9.819,10.067,10.324,10.59,10.867,11.156,11.457,11.77,12.095,12.431,12.78,13.14,13.514,13.895,14.28,14.665,15.048,15.433,15.825,16.234,16.668,17.127,17.613,18.124,18.659,19.216,19.795,20.398,21.027,21.682,22.365,23.077,23.817,24.582,25.368,26.172,26.994,27.833,28.69,29.568,30.468,31.389,32.332,33.296,34.281,35.285
Malawi,24.313,24.73,25.186,25.673,26.186,26.722,27.279,27.858,28.461,29.091,29.753,30.448,31.177,31.939,32.729,33.546,34.39,35.265,36.187,37.176,38.244,39.397,40.631,41.94,43.315,44.747,46.26,47.856,49.491,51.104,52.664,54.093,55.428,56.896,58.804,61.344,64.659,68.603,72.724,76.392,79.174,80.886,81.713,82.05,82.477,83.415,84.995,87.093,89.568,92.183,94.77,97.307,99.871,102.503,105.27,108.222,111.368,114.694,118.203,121.892,125.762
Malaysia,18.523,18.984,19.503,20.064,20.655,21.27,21.904,22.562,23.248,23.971,24.739,25.553,26.406,27.281,28.155,29.012,29.844,30.657,31.458,32.26,33.074,33.903,34.747,35.601,36.462,37.329,38.2,39.084,39.992,40.939,41.936,42.986,44.088,45.25,46.482,47.788,49.175,50.635,52.146,53.676,55.203,56.717,58.221,59.728,61.257,62.819,64.415,66.035,67.675,69.328,70.987,72.654,74.323,75.975,77.583,79.128,80.602,82.011,83.378,84.734,86.104
Maldives,247.376,248.906,252.03,256.336,261.49,267.255,273.463,280.047,286.99,294.349,302.181,310.49,319.178,328.044,336.812,345.332,353.44,361.272,369.315,378.235,388.497,400.362,413.644,427.822,442.121,456.023,469.299,482.218,495.379,509.638,525.591,543.393,562.779,583.426,604.826,626.577,648.574,670.799,693.027,714.99,736.49,757.413,777.705,797.336,816.295,834.604,852.215,869.134,885.46,901.342,916.899,932.185,947.201,961.963,976.47,990.738,1004.762,1018.587,1032.322,1046.104,1060.017
Mali,3.739,3.785,3.83,3.877,3.925,3.974,4.024,4.075,4.126,4.179,4.232,4.285,4.339,4.395,4.453,4.513,4.576,4.643,4.712,4.786,4.865,4.95,5.039,5.132,5.228,5.325,5.423,5.522,5.624,5.73,5.842,5.963,6.09,6.219,6.343,6.458,6.563,6.659,6.756,6.865,6.993,7.145,7.318,7.509,7.712,7.922,8.138,8.363,8.597,8.845,9.108,9.385,9.677,9.982,10.299,10.625,10.96,11.305,11.659,12.022,12.393
Malta,987.332,990.247,992.133,993.364,994.19,994.75,995.051,994.975,994.316,992.801,990.206,986.468,981.801,976.706,971.896,967.883,964.997,963.193,962.174,961.462,960.782,959.93,959.25,959.63,962.288,968.032,977.177,989.307,1003.576,1018.75,1033.889,1048.753,1063.437,1077.759,1091.595,1104.858,1117.307,1128.911,1140.051,1151.304,1163.051,1175.491,1188.396,1201.184,1213.019,1223.342,1231.889,1238.921,1245.028,1251.073,1257.658,1265.019,1272.924,1280.972,1288.554,1295.237,1300.899,1305.722,1309.956,1313.987,1318.085
Marshall Islands,71.823,73.028,74.21,75.254,76.099,76.757,77.276,77.796,78.459,79.47,81,83.149,85.873,89,92.265,95.481,98.558,101.586,104.779,108.409,112.691,117.729,123.425,129.497,135.547,141.315,146.669,151.751,156.884,162.508,168.939,176.193,184.144,192.762,202,211.751,222.077,232.818,243.392,253.05,261.26,267.785,272.757,276.464,279.365,281.812,283.917,285.619,286.906,287.735,288.094,288.017,287.657,287.249,287.116,287.497,288.453,289.983,292.155,295.006,298.552
Martinique,201.453,203.675,207.194,211.75,217.109,223.055,229.402,235.983,242.653,249.287,255.776,262.019,267.918,273.378,278.312,282.657,286.358,289.412,291.877,293.856,295.427,296.659,297.566,298.132,298.319,298.132,297.547,296.683,295.877,295.565,296.056,297.468,299.703,302.584,305.829,309.21,312.718,316.361,319.949,323.251,326.113,328.417,330.221,331.777,333.447,335.489,337.986,340.838,343.886,346.893,349.681,352.208,354.52,356.644,358.631,360.519,362.307,363.975,365.521,366.947,368.252
Mauritania,0.641,0.655,0.671,0.688,0.706,0.725,0.745,0.766,0.788,0.81,0.833,0.857,0.881,0.907,0.933,0.959,0.987,1.015,1.044,1.074,1.105,1.138,1.172,1.206,1.242,1.279,1.318,1.357,1.397,1.438,1.48,1.523,1.568,1.613,1.658,1.704,1.751,1.797,1.845,1.895,1.946,1.999,2.055,2.113,2.173,2.235,2.299,2.365,2.433,2.504,2.577,2.653,2.731,2.81,2.891,2.971,3.052,3.133,3.213,3.294,3.374
Mauritius,241.791,248.232,255.435,263.166,271.244,279.538,287.973,296.526,305.217,314.097,323.211,332.553,342.028,351.443,360.543,369.15,377.192,384.722,391.828,398.656,405.325,411.818,418.128,424.4,430.819,437.496,444.522,451.823,459.147,466.143,472.56,478.359,483.637,488.469,492.975,497.279,501.325,505.168,509.169,513.804,519.386,526.103,533.794,541.99,550.02,557.401,563.945,569.798,575.221,580.623,586.288,592.294,598.498,604.703,610.622,616.05,620.924,625.319,629.338,633.142,636.849
Mayotte,40.484,42.091,44.032,46.195,48.497,50.888,53.345,55.874,58.516,61.316,64.318,67.545,70.968,74.495,78.008,81.43,84.717,87.917,91.142,94.556,98.275,102.38,106.832,111.529,116.297,121.037,125.711,130.42,135.374,140.866,147.102,154.184,162.08,170.706,179.912,189.604,199.693,210.241,221.468,233.695,247.094,261.767,277.527,293.898,310.235,326.067,341.241,355.853,370.011,383.917,397.735,411.463,425.088,438.773,452.714,467.061,481.864,497.118,512.848,529.064,545.759
Mexico,14.23,14.613,15.047,15.526,16.041,16.587,17.159,17.751,18.36,18.984,19.619,20.266,20.921,21.583,22.252,22.928,23.608,24.294,24.994,25.723,26.488,27.291,28.128,28.992,29.87,30.755,31.646,32.542,33.429,34.293,35.122,35.91,36.661,37.393,38.134,38.901,39.7,40.526,41.37,42.216,43.053,43.879,44.696,45.506,46.314,47.121,47.931,48.739,49.536,50.308,51.047,51.746,52.412,53.06,53.711,54.378,55.069,55.776,56.494,57.212,57.922
"Micronesia, Fed. Sts.",45.584,47.573,49.274,50.835,52.375,53.972,55.677,57.501,59.429,61.425,63.442,65.462,67.5,69.62,71.91,74.41,77.207,80.231,83.195,85.707,87.509,88.469,88.742,88.729,88.994,89.947,91.714,94.168,97.175,100.493,103.934,107.487,111.179,114.91,118.564,122.054,125.285,128.258,131.111,134.053,137.207,140.668,144.322,147.835,150.748,152.754,153.709,153.771,153.283,152.759,152.568,152.835,153.459,154.309,155.165,155.868,156.395,156.826,157.218,157.658,158.211
Moldova,69.156,70.351,71.847,73.589,75.525,77.605,79.784,82.022,84.28,86.525,88.727,90.864,92.92,94.886,96.757,98.535,100.203,101.762,103.248,104.712,106.186,107.693,109.219,110.72,112.13,113.409,114.533,115.529,116.46,117.416,118.46,119.606,120.824,122.081,123.327,124.516,125.637,126.681,127.606,128.364,128.916,129.25,129.358,129.224,128.831,128.172,127.254,126.093,124.702,123.101,121.318,119.353,117.244,115.105,113.081,111.278,109.744,108.462,107.384,106.433,105.547
Monaco,13422.819,13334.228,13319.463,13377.852,13504.027,13688.591,13917.45,14170.47,14426.846,14662.416,14855.705,14995.302,15085.235,15142.282,15196.644,15267.785,15359.732,15467.114,15593.289,15736.913,15898.658,16085.906,16296.644,16513.423,16712.752,16881.208,17007.383,17102.013,17192.617,17316.779,17502.013,17757.718,18073.826,18428.859,18794.631,19149.664,19487.248,19812.752,20127.517,20434.228,20735.57,21026.846,21305.369,21579.866,21861.745,22157.047,22473.154,22801.342,23116.779,23382.55,23574.497,23683.221,23718.792,23706.711,23679.195,23664.43,23669.128,23687.919,23715.436,23742.953,23763.087
Mongolia,0.498,0.507,0.516,0.526,0.536,0.547,0.558,0.569,0.582,0.596,0.611,0.628,0.647,0.667,0.687,0.708,0.729,0.75,0.772,0.795,0.818,0.843,0.868,0.894,0.92,0.946,0.973,0.999,1.026,1.053,1.081,1.109,1.137,1.166,1.197,1.229,1.265,1.302,1.338,1.372,1.4,1.421,1.438,1.45,1.461,1.472,1.484,1.497,1.511,1.525,1.539,1.554,1.57,1.586,1.605,1.626,1.65,1.675,1.703,1.731,1.759
Montenegro,28.855,29.086,29.479,29.969,30.504,31.051,31.592,32.121,32.651,33.201,33.788,34.417,35.072,35.704,36.254,36.682,36.963,37.12,37.216,37.34,37.556,37.881,38.293,38.767,39.263,39.748,40.228,40.707,41.144,41.488,41.708,41.778,41.724,41.625,41.591,41.703,41.98,42.394,42.915,43.491,44.079,44.682,45.296,45.862,46.303,46.57,46.635,46.52,46.286,46.024,45.801,45.634,45.511,45.432,45.389,45.376,45.401,45.465,45.554,45.644,45.72
Montserrat,132.559,138.412,141.971,143.294,142.549,140.049,136.176,131.48,126.549,122.069,118.578,116.441,115.618,115.706,116.02,116.069,115.745,115.235,114.637,114.157,113.941,113.98,114.176,114.51,114.931,115.392,115.892,116.422,116.833,116.971,116.725,116.049,114.971,113.647,112.216,110.853,109.461,107.971,106.578,105.578,105.039,105.353,106.294,106.696,104.971,100.098,91.461,79.775,66.98,55.853,48.343,45.176,45.686,48.647,52.176,54.892,56.471,57.304,57.608,57.794,58.176
Morocco,20.049,20.53,21.028,21.551,22.104,22.69,23.308,23.957,24.632,25.326,26.035,26.756,27.489,28.241,29.021,29.835,30.687,31.572,32.477,33.385,34.285,35.172,36.053,36.935,37.831,38.753,39.697,40.663,41.664,42.712,43.818,44.985,46.205,47.454,48.7,49.918,51.1,52.247,53.359,54.441,55.495,56.518,57.507,58.466,59.397,60.304,61.188,62.05,62.888,63.698,64.479,65.232,65.959,66.667,67.366,68.061,68.754,69.446,70.141,70.842,71.552
Mozambique,8.037,8.154,8.279,8.411,8.551,8.698,8.852,9.013,9.181,9.357,9.54,9.731,9.93,10.137,10.35,10.571,10.8,11.037,11.282,11.534,11.793,12.058,12.329,12.612,12.917,13.249,13.609,13.991,14.384,14.775,15.152,15.521,15.882,16.209,16.466,16.636,16.697,16.673,16.637,16.689,16.9,17.3,17.862,18.531,19.224,19.877,20.475,21.036,21.577,22.126,22.706,23.318,23.952,24.602,25.258,25.911,26.561,27.21,27.861,28.517,29.18
Myanmar,25.359,25.811,26.288,26.792,27.322,27.879,28.46,29.063,29.685,30.323,30.976,31.64,32.319,33.015,33.735,34.483,35.258,36.059,36.892,37.762,38.671,39.622,40.61,41.622,42.641,43.653,44.652,45.642,46.622,47.599,48.575,49.549,50.519,51.484,52.443,53.398,54.348,55.292,56.226,57.143,58.04,58.908,59.749,60.578,61.416,62.274,63.165,64.076,64.963,65.767,66.449,66.99,67.412,67.758,68.093,68.464,68.884,69.343,69.837,70.356,70.891
Namibia,0.589,0.6,0.612,0.625,0.638,0.652,0.667,0.682,0.697,0.714,0.731,0.749,0.768,0.787,0.807,0.828,0.85,0.872,0.895,0.92,0.947,0.976,1.007,1.038,1.069,1.099,1.126,1.152,1.177,1.203,1.229,1.255,1.282,1.313,1.35,1.395,1.45,1.514,1.582,1.651,1.716,1.778,1.835,1.89,1.946,2.003,2.064,2.125,2.187,2.246,2.3,2.349,2.394,2.436,2.479,2.523,2.57,2.619,2.669,2.72,2.77
Nauru,140.619,145.667,151.952,158.81,165.667,172.429,179.048,185.762,192.952,201.286,211.095,222.619,235.571,249.095,261.905,273.238,282.667,290.571,297.19,303.238,309.19,315.19,321.095,326.762,332,336.667,340.762,344.524,348.143,352.048,356.571,361.762,367.571,374.048,381.286,389.238,397.905,407.143,416.762,426.476,436.048,445.429,454.476,462.81,469.667,474.762,477.762,478.952,478.857,478.381,478.143,478.381,478.905,479.762,480.667,481.619,482.524,483.524,484.762,486.286,488.333
Nepal,55.924,56.884,57.837,58.795,59.765,60.755,61.771,62.818,63.9,65.02,66.18,67.384,68.637,69.944,71.313,72.749,74.255,75.832,77.478,79.193,80.974,82.823,84.739,86.72,88.762,90.861,93.018,95.233,97.506,99.836,102.223,104.67,107.178,109.746,112.376,115.069,117.824,120.644,123.544,126.539,129.644,132.858,136.178,139.6,143.117,146.723,150.412,154.176,158.003,161.878,165.786,169.724,173.681,177.628,181.531,185.363,189.112,192.782,196.393,199.977,203.555
Netherlands,241.453,244.385,247.445,250.611,253.867,257.2,260.604,264.079,267.627,271.252,274.958,278.739,282.578,286.443,290.295,294.101,297.843,301.515,305.109,308.622,312.049,315.384,318.615,321.724,324.69,327.5,330.156,332.664,335.018,337.211,339.248,341.124,342.867,344.544,346.242,348.029,349.922,351.916,354.024,356.251,358.595,361.074,363.675,366.322,368.91,371.368,373.654,375.79,377.834,379.877,381.979,384.161,386.388,388.598,390.702,392.638,394.384,395.961,397.401,398.749,400.043
Netherlands Antilles,139.626,142.486,145.215,147.91,150.644,153.46,156.374,159.376,162.428,165.475,168.47,171.385,174.234,177.081,180.02,183.1,186.366,189.76,193.127,196.248,198.974,201.248,203.13,204.743,206.262,207.826,209.466,211.16,212.919,214.74,216.621,218.546,220.519,222.572,224.75,227.063,229.524,232.061,234.495,236.593,238.174,239.252,239.86,239.874,239.156,237.655,235.281,232.202,228.965,226.291,224.711,224.395,225.213,227.009,229.504,232.459,235.875,239.735,243.749,247.546,250.861
New Caledonia,3.49,3.461,3.47,3.508,3.569,3.647,3.738,3.84,3.952,4.071,4.199,4.335,4.478,4.623,4.767,4.909,5.044,5.173,5.309,5.468,5.66,5.891,6.153,6.428,6.691,6.922,7.115,7.276,7.413,7.54,7.668,7.797,7.927,8.059,8.193,8.331,8.473,8.62,8.777,8.948,9.135,9.341,9.562,9.795,10.033,10.27,10.504,10.737,10.967,11.192,11.411,11.624,11.83,12.032,12.235,12.44,12.65,12.863,13.077,13.292,13.506
New Zealand,7.053,7.2,7.365,7.541,7.719,7.896,8.069,8.24,8.411,8.586,8.768,8.959,9.157,9.355,9.543,9.714,9.864,9.996,10.122,10.26,10.422,10.616,10.833,11.053,11.247,11.396,11.492,11.543,11.568,11.591,11.633,11.701,11.788,11.889,11.99,12.082,12.164,12.238,12.319,12.423,12.56,12.738,12.949,13.176,13.394,13.584,13.741,13.869,13.985,14.11,14.261,14.441,14.645,14.862,15.078,15.281,15.469,15.645,15.812,15.978,16.146
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,9.961,10.241,10.543,10.869,11.218,11.587,11.974,12.376,12.789,13.211,13.638,14.067,14.501,14.941,15.393,15.861,16.344,16.844,17.36,17.894,18.447,19.019,19.609,20.218,20.846,21.493,22.158,22.84,23.534,24.235,24.94,25.648,26.36,27.067,27.761,28.436,29.085,29.713,30.341,30.996,31.698,32.455,33.256,34.078,34.891,35.67,36.409,37.114,37.784,38.421,39.028,39.605,40.152,40.679,41.2,41.726,42.258,42.797,43.351,43.925,44.524
Niger,1.943,2.001,2.06,2.118,2.177,2.237,2.298,2.361,2.426,2.494,2.565,2.64,2.718,2.8,2.885,2.972,3.062,3.155,3.251,3.35,3.451,3.556,3.663,3.773,3.886,4.003,4.123,4.247,4.374,4.503,4.634,4.766,4.9,5.037,5.177,5.322,5.472,5.628,5.791,5.963,6.147,6.343,6.551,6.771,7.002,7.244,7.498,7.763,8.039,8.325,8.621,8.925,9.239,9.565,9.903,10.256,10.624,11.007,11.405,11.817,12.243
Nigeria,40.984,41.686,42.438,43.232,44.063,44.925,45.818,46.742,47.697,48.688,49.716,50.784,51.892,53.036,54.213,55.421,56.661,57.941,59.266,60.647,62.091,63.593,65.159,66.814,68.593,70.517,72.602,74.832,77.151,79.484,81.777,84.008,86.194,88.372,90.598,92.912,95.324,97.821,100.384,102.984,105.602,108.237,110.899,113.591,116.32,119.093,121.912,124.781,127.72,130.752,133.896,137.161,140.547,144.048,147.656,151.362,155.168,159.078,163.099,167.237,171.497
Niue,17.95,18.008,18.023,18.023,18.023,18.042,18.085,18.162,18.273,18.412,18.581,18.769,18.969,19.181,19.396,19.604,19.823,20.031,20.15,20.073,19.735,19.088,18.181,17.135,16.123,15.281,14.646,14.188,13.842,13.5,13.088,12.588,12.038,11.465,10.923,10.446,10.042,9.7,9.415,9.173,8.973,8.815,8.692,8.588,8.477,8.338,8.165,7.958,7.735,7.512,7.308,7.123,6.958,6.8,6.646,6.485,6.319,6.146,5.981,5.812,5.646
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,15.084,15.278,15.565,15.985,16.563,17.297,18.162,19.103,20.058,20.95,21.703,22.284,22.718,23.08,23.494,24.045,24.761,25.608,26.547,27.513,28.455,29.435,30.478,31.476,32.28,32.828,33.009,32.959,33.168,34.28,36.741,40.746,46.103,52.388,58.97,65.39,71.496,77.384,83.127,88.888,94.769,100.705,106.586,112.416,118.216,123.959,129.683,135.272,140.384,144.558,147.483,149.103,149.554,148.933,147.422,145.218,142.254,138.683,135.144,132.485,131.287
Norway,8.477,8.567,8.652,8.735,8.816,8.898,8.979,9.06,9.141,9.22,9.298,9.372,9.445,9.517,9.59,9.666,9.745,9.826,9.908,9.989,10.067,10.143,10.215,10.284,10.348,10.404,10.454,10.498,10.537,10.573,10.608,10.642,10.675,10.709,10.744,10.782,10.822,10.865,10.911,10.96,11.012,11.068,11.127,11.189,11.252,11.318,11.385,11.455,11.526,11.594,11.66,11.72,11.776,11.836,11.91,12.004,12.122,12.26,12.408,12.551,12.678
