Private expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,18.59964654,18.6247273,18.61437324,17.74295978,17.37345628,17.44676416,16.38475301,16.47414833,16.24282456,16.39413447,16.4496025,16.17093505,15.85102269,15.70675081,15.89898226,16.1024692
Oman,16.03866188,16.06067009,17.02720942,18.44322252,18.33860153,18.24826342,17.94216112,16.49404016,17.11047666,18.08105577,17.64892394,19.41039756,19.839795,23.6120134,21.22072946,19.86671908
Pakistan,74.31731103,72.88163652,74.94654796,79.87018611,80.95920413,78.75338307,79.51890295,71.83109744,76.66772056,75.32615503,74.43693266,70.01359934,69.32419608,66.51828238,65.15892139,61.52471181
Palau,22.98931725,20.97009876,21.63430889,28.42390708,29.89602012,33.7060351,19.62671208,19.16120414,16.22114453,18.35536499,20.57100269,19.16825117,21.56332123,22.72761293,22.04798026,22.69307288
Panama,32.04456094,35.55854241,31.53203343,33.29030592,33.71959761,31.93305254,32.91652956,30.95189771,33.63497712,29.6528868,30.44154498,32.56647495,35.79965167,30.86852353,25.22615084,24.89793102
Papua New Guinea,13.77916042,13.97862428,19.45673344,16.86345746,17.59302808,18.26221477,17.21227652,20.2744156,20.96165368,19.4630555,20.31951374,22.36131772,28.01039053,24.52416511,29.35001638,28.4519013
Paraguay,64.03784856,58.28869836,60.78197083,55.11714432,55.39099478,60.11599253,65.14233881,66.81378331,66.88922535,65.20373639,62.05279064,58.92945142,59.54964109,59.0757261,60.98863626,63.59398155
Peru,45.60219841,45.28632756,47.9456709,43.99482897,43.44228457,41.30423438,42.07174072,42.38034544,41.30759244,41.19632303,40.5867792,43.70386398,41.49666377,37.69822832,42.29602204,45.9768323
Philippines,60.46559797,59.02106922,56.94974718,57.07174791,55.7950937,52.42515042,55.82832156,59.99363479,59.77371471,60.19371507,60.76898157,64.61699614,65.22745656,67.62273123,64.87514156,64.6572889
Pitcairn,,,,,,,,,,,,,,,,
Poland,27.10928192,26.61134386,28.04278593,34.61636,28.87024904,29.96982822,28.10071155,28.84063914,30.04825961,31.36756071,30.60369201,29.97933457,29.11163983,27.69431175,27.67542395,27.37872874
Portugal,37.37522669,34.73904426,34.31015619,32.88509292,32.43153696,33.98008666,33.88424112,32.15938522,32.03035664,32.88189748,32.9271992,33.88959946,34.25509484,34.91005384,32.16072166,31.85139251
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,37.36266941,33.05596627,31.30927963,33.39625935,32.81430861,31.20004576,27.78429568,27.73218924,17.89777139,18.25143833,18.66135707,19.31706038,19.8380484,20.52824279,21.57636519,22.54747666
Reunion,,,,,,,,,,,,,,,,
Romania,31.30744784,35.4239563,30.18469024,38.10960243,34.50578933,32.30667121,34.10691464,33.33140845,15.19654387,24.92636066,19.15186917,20.14352052,17.70873929,17.95130976,21.01746119,21.88841775
Russia,26.11546283,28.56185274,29.20994962,34.91142235,38.13672652,40.11613229,41.33990148,41.04938272,41.18520518,40.4166195,38.01828998,36.76728062,35.81931011,35.69164567,36.64546879,37.924841
Rwanda,63.51291598,59.69752976,60.10381093,51.63690134,54.66969862,60.83202124,51.12023469,47.7316434,47.25697845,46.43162186,43.55550367,53.54079317,52.96856203,52.60834311,51.35717759,49.92507796
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,40.65281899,41.50417827,41.7989418,40.20356234,43.18181818,39.58549223,40.33970276,42.67906191,43.51591254,46.61463826,45.35762745,42.28390623,47.02904343,51.12742528,50.90065502,39.42917548
St. Lucia,35.88297626,35.51785359,39.31329607,38.18175782,38.41136902,38.08738752,38.34415498,40.53699327,45.45922978,43.49824558,47.37626914,51.32651422,52.47452848,48.92282978,37.02857086,39.50200264
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,15.2059021,15.37626045,17.40900733,18.93404801,16.68906208,17.82984602,19.1183958,17.82721285,17.93600189,18.82157898,19.15182919,18.03278689,17.87301255,15.1970153,15.6762062,13.54761702
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,29.12529252,25.56133356,27.26648145,24.94326307,23.70730851,23.25468656,24.98025121,20.00081836,20.39843809,18.06119576,18.6600978,15.04059496,14.11447296,14.24495641,14.66135534,12.33691926
San Marino,13.34131843,13.58188996,14.79674231,14.62937288,13.99157518,14.02808353,13.97864852,10.80801714,14.25300303,13.4362406,14.27657572,14.62619316,14.4325578,14.82748985,14.64178345,14.64178345
Sao Tome and Principe,67.81472456,75.98767869,68.77161552,65.3609899,59.44178005,61.92259177,63.10435949,63.56268015,48.84727319,53.42729967,47.09309089,53.72999925,55.78722387,57.03153679,59.8668801,61.73715527
Saudi Arabia,47.92551228,45.39605364,42.6613324,41.79301866,32.06475239,28.35117021,27.85899204,28.09034482,28.01917431,28.34170117,27.23989302,26.69913474,29.2430842,35.40163227,37.60680382,37.14156404
Senegal,67.46874885,63.66402056,65.05784497,64.70338292,62.99937179,63.17511836,62.83622876,61.48397051,61.26493166,62.5328877,44.65513741,42.80408999,43.90512415,45.84627681,45.52729252,44.50524274
Serbia,29.06769541,29.0673808,28.15415405,29.89800507,29.95541758,30.01406917,31.52524709,27.35392265,29.06082924,31.15071777,34.0046171,36.99818725,38.62589797,38.01549665,38.1372066,38.12942971
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,14.84647787,12.38810709,13.74885065,15.76011425,16.00377552,17.29567626,14.85711424,12.86108611,10.10382285,8.03185433,6.79640561,6.58209693,7.94170707,7.51192553,7.27818527,8.12657539
Sierra Leone,90.58590029,90.94342031,88.77291104,90.64900925,88.52444499,86.75087253,85.73771275,85.48727248,70.94175925,89.31193351,87.42313095,88.49009609,92.76444208,90.45263754,89.48831572,88.67492069
Singapore,49.45632109,51.00882463,51.49245586,45.85023859,47.49277401,48.64913923,54.93787093,62.75715988,64.27215302,69.30768522,69.55629944,69.92952204,70.2433563,68.09010684,63.8816005,63.69930863
Slovak Republic,11.48120326,11.32311023,8.32138149,8.41441003,10.35651131,10.61420905,10.71242822,10.9355393,11.68044147,26.22720768,25.60441344,31.67618578,33.15144667,32.23517593,34.30902358,34.14531318
Slovenia,22.30007123,23.82116048,24.9737074,24.48385097,24.34382009,25.98970214,26.70776736,26.62762142,28.1234613,26.89278396,27.85390623,27.73166462,27.74266973,26.55718156,26.58794423,26.33971493
Solomon Islands,7.1870968,7.78776068,7.20114498,7.117804,6.83327776,5.42882575,4.13322663,4.19097633,8.02906124,8.32757846,5.9137871,7.25222217,7.60070987,8.8379994,6.47031828,6.61112018
Somalia,56.52173913,55.55555556,54.54545455,53.88669302,55.03211991,55.20833333,55.37525355,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,60.6983601,64.07330943,61.20811906,60.62556424,60.68723636,59.52041931,60.53352446,61.31439027,60.53949734,63.57257187,61.6957944,60.08752735,59.17031977,57.85285265,56.22594399,55.89727227
South Ossetia,,,,,,,,,,,,,,,,
Spain,27.82000439,27.63870607,27.53474719,27.80155494,27.9729674,28.37651071,28.80361751,28.70836816,29.74827964,29.59938226,29.42908074,28.69529437,28.52226559,27.39272742,26.37006993,27.18514529
Sri Lanka,53.20400515,53.59523637,54.77068853,49.75469283,52.39407682,51.19305392,53.93975057,56.76986617,56.75430121,52.29444393,51.87124357,51.06296924,50.64692654,53.2331818,53.75901963,55.25129763
Sudan,86.51897545,75.96585215,77.59784173,76.65722528,80.29050774,72.73629084,72.37488369,71.78991982,70.31411971,67.96328465,65.6251805,66.82762838,66.78163574,66.88033167,72.47791122,70.18103997
Suriname,48.35852561,57.56779072,56.85363655,46.72179018,48.75107666,51.22786796,51.95771922,50.27624309,49.31506849,51.61290323,48.79518072,48.88726108,50.32959865,53.9705777,49.01247847,52.20021894
Svalbard,,,,,,,,,,,,,,,,
Swaziland,42.90431673,43.40713108,45.05195346,47.70833333,43.65079365,43.70503597,42.5851491,40.11903131,34.97140275,39.70554992,38.57370437,35.52897903,37.15948032,35.68164123,33.53827951,36.3422759
Sweden,13.35025388,13.0720459,14.17995393,14.2060961,14.27327843,15.10970034,18.86397062,18.57588846,17.99323001,18.62653881,18.84182716,18.86993684,18.64296118,18.49505928,18.50908633,18.90096439
Switzerland,46.44031729,45.52535986,45.04939138,45.3448728,44.86054455,44.56855126,43.07399444,42.26428941,41.6517083,41.60940731,40.53723522,40.87502708,40.73313813,40.50239908,40.28340565,40.97995511
Syria,60.31746032,64.47368421,64.55696203,61.72839506,61.62790698,59.5505618,55.78947368,54.22843232,51.75325266,52.02946827,49.49593791,51.46213041,50.94885489,53.47083088,54,54
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,58.52534562,58.2289056,55.93076351,67.93202686,73.15617764,79.60615526,79.28878454,79.76312743,79.59189404,78.06492761,76.35305345,76.91772997,77.84107508,75.43735464,75.05928531,73.34235453
Tanzania,57.18504971,59.94175415,56.48468595,58.55200466,60.16679617,56.6209076,54.54664258,55.36188415,50.51594789,55.64759377,53.04652188,41.12030215,35.86033319,38.297534,33.85842013,32.67962386
Thailand,52.991458,52.82046583,46.05496885,45.17810374,45.11473368,43.85410187,43.61664328,36.48246649,36.20808203,35.08709862,35.60653591,27.29789226,23.67261063,23.84564003,25.41049663,24.95896709
Timor-Leste,10.97534363,15.99389178,9.98692527,16.46768667,31.88909411,25.13871589,27.7020286,27.76944361,25.53413236,35.00097522,25.43645748,21.68658465,25.69122391,30.27727468,33.93818402,44.17183341
Togo,65.36045974,67.33825814,70.3974007,63.44266951,68.59681461,68.88834175,76.27710771,81.30176087,75.54584164,75.19632826,70.46489108,67.69946344,68.30285883,64.71443847,57.04817409,55.77728391
Tokelau,,,,,,,,,,,,,,,,
Tonga,34.59842419,33.16558964,31.90383805,31.52291959,26.72995429,29.25025864,24.31131348,24.29193542,16.85314306,16.85314306,12.92824884,12.96409135,15.06870067,15.06870067,20.37828585,18.50016194
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,52.43601519,54.1660789,53.68811832,60.51794546,55.5516268,56.96282891,52.55906198,49.13114511,51.09255234,52.52774353,47.13486741,46.254194,50.85147313,51.1235721,39.41195993,40.10834431
Tunisia,48.31166251,47.03374025,47.41076996,47.64787438,48.27152726,45.06563348,46.25283211,47.34667763,47.2853223,48.16172031,48.47213113,47.60119335,47.63107525,45.9146789,45.11801438,45.70020476
Turkey,29.67889908,30.84464032,28.38760137,28.07258861,38.87159096,37.07316304,31.92965473,29.31714073,28.07776268,28.75320609,32.16154303,31.66171231,32.16643093,26.98302736,24.86858929,24.79667862
Turkmenistan,39.65087282,30.33726618,28.22655525,27.20249591,30.90252708,20.41145241,24.03738318,30.07882024,28.64112116,32.3403611,36.73769802,42.00478937,44.44279743,50.85716684,40.75938014,40.61678092
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,0.43,0.19,0.27,0.25,0.23,0.12,0.12,0.14,0.1,0.11,0.11,0.1,0.11,0.09,0.13,0.11
Uganda,73.57059067,73.10718234,69.775031,71.20468043,69.43436485,73.15346284,72.67065724,70.50149881,70.81954116,74.10505926,74.71376573,78.95995967,80.45618714,82.8218132,78.24259423,78.25641904
Ukraine,38.76238677,36.4008052,43.80309169,46.49489156,50.0899846,48.20024594,45.69977008,43.80715342,41.69583871,41.44855101,40.53853493,39.23068077,38.15387302,42.34474864,44.96602841,43.37162666
United Arab Emirates,21.03057135,20.74884561,21.65879411,32.68677378,33.99428072,34.85726943,21.72797593,36.92991072,36.83739912,40.8632196,41.00135862,40.61218372,40.38277999,33.98742935,23.07323188,25.63474432
United Kingdom,16.13824222,17.05698746,19.72620012,19.73010589,19.45604304,20.80409924,20.1233731,20.19165483,19.97016571,18.65644572,18.12315712,18.72963961,18.66398399,17.64746015,15.85050941,16.1131648
United States,55.09245362,55.03305517,55.32935218,56.48895665,56.93540386,56.80279745,55.83516235,55.89908629,56.39902973,56.00011701,55.91845101,55.11619258,54.87510597,53.95841604,52.32570053,46.94153092
Uruguay,40.43700341,46.99620633,58.06214184,56.43242769,26.64799015,27.69696711,28.09253004,29.15757677,32.03382251,50.65921855,49.31460099,46.86637462,45.38884596,36.21010533,34.67854208,32.94246705
USSR,,,,,,,,,,,,,,,,
Uzbekistan,30.40689083,31.89606865,36.60988205,54.17347252,53.31683132,55.92983211,55.146061,56.11807357,54.60450666,58.28109226,56.71264812,58.14968124,58.4841402,54.15671205,54.65172927,52.52665383
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,23.12725774,27.86433989,23.24348328,22.19352769,25.09585461,23.37134262,24.00510771,24.41909238,24.91045362,25.99563117,27.11145257,20.71845379,13.44313001,11.57460736,10.15048285,9.39087688
Venezuela,57.40260797,57.56331211,64.07445551,67.51466448,62.99114953,58.51875914,59.3284286,60.70095264,61.86787995,58.60407472,56.71164838,58.34369466,53.48609099,55.05201393,59.95062991,65.10055173
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,65.49145035,67.39433427,66.96436262,64.98010727,64.83962071,69.05005297,68.54130319,69.52090683,67.93086399,72.6042812,73.59757034,67.09697851,60.02354567,66.040834,62.4596494,62.15876492
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,68.53581638,56.28713074,54.60395086,53.19472415,50.08984897,46.18326368,46.72971331,48.75201587,54.19427177,62.14828683,66.13613389,68.41221522,70.2542399,69.02723817,73.5101448,75.83649642
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,39.37834541,37.95470022,34.71593289,37.83970448,50.57549004,48.73690282,43.0580065,36.14604996,38.39106169,42.7176008,45.14152003,39.29406089,44.30568066,40.49845232,41.35486167,39.72363044
Zimbabwe,45.37027371,48.60242667,52.64430244,44.13490682,51.061767,47.23277474,61.62397488,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,
