RTI 15-29 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0067,25.80392,24.07968,23.02925,22.70263,22.94789,21.78746,21.37562,18.08511,18.69688,18.36758,16.39069,16.42252,14.80759,12.85373,10.92826,10.38593,,
Greece,,,,,,,,,,,,7.093912,8.408323,10.94902,14.4271,14.49905,15.36614,15.9369,12.62856,12.37394,13.39601,15.12892,15.77,19.43436,19.80795,21.15492,24.31818,24.05482,27.3695,25.51005,22.92873,20.62305,30.18559,30.59294,32.72332,30.58684,27.72312,29.12731,26.40167,29.30664,33.05804,33.8995,32.5964,29.22119,31.97388,32.08147,32.65126,29.881,29.94059,30.3894,27.66584,27.94122,22.99612,25.41901,27.23355,27.77321,26.39602,26.66178,24.24318
Guatemala,,,,,,,,,,,,,,13.96323,9.315685,8.976868,10.23081,7.17939,7.307047,9.341694,10.00845,10.72695,,,3.67096,,,8.639823,,26.859,23.87317,15.02388,,,2.356621,,4.778196,5.78889,6.408398,4.828649,3.562523,4.402344,6.18518,5.918711,4.868127,5.384251,5.144402,6.534347,5.986571,2.83714,3.718935,3.047886,3.143689,3.10699,3.151532,2.382461,2.783115,,
Hungary,,,,,,6.91951,11.98808,10.86873,7.548585,9.84102,9.059681,8.894066,10.47527,12.9692,13.86539,10.02309,9.541809,11.11728,14.09624,16.73925,18.81796,20.55987,20.53059,19.32015,18.93574,18.56272,15.52007,18.4531,19.05485,17.06671,18.15715,18.00167,16.34963,17.83508,18.65353,21.50786,19.78524,19.57534,19.02669,24.71911,31.71505,28.43,27.29457,19.98123,18.96659,21.11574,14.98777,14.57073,14.35014,12.80222,13.7249,13.13614,15.40522,14.86801,15.0859,15.51658,14.60171,14.48571,12.05003
Ireland,5.572552,5.823618,5.225445,5.910606,5.334054,9.107015,11.61051,6.961855,13.32204,9.685617,10.0296,11.7511,12.30177,13.35152,14.02544,13.19118,13.57272,14.7142,20.25049,17.52129,19.21766,24.20716,27.07188,28.54963,24.16324,26.13849,26.521,24.94319,27.13835,27.2135,22.55718,26.49579,25.77469,25.17059,21.90245,21.03796,18.65671,20.5146,22.09859,20.58051,21.56026,21.79018,18.56795,18.08215,18.61957,18.89104,20.6525,19.88436,20.24539,17.10563,20.1476,17.2241,14.20696,12.14683,12.28565,14.49069,12.24397,10.07101,9.314278
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,19.63786,13.55528,15.18352,13.0126,9.998796,10.07087,12.52427,12.25131,12.79344,12.66115,9.144696,12.62813,11.51221,11.36928,12.74232,10.48287,8.217591,8.913158,13.92962,14.41255,13.34655,11.01634,12.24011,10.12731,8.596958,9.521331,12.10089,11.58663,7.524251,9.148043,8.120052,8.666487,,
Italy,,9.430701,11.63222,14.12343,17.05271,19.59875,19.28613,19.3719,19.77783,19.318,21.2223,23.7993,24.57513,26.0976,25.79215,23.38204,22.7344,24.24245,23.92302,25.49564,26.80133,26.29397,29.20896,28.71027,24.03439,24.7478,23.58944,22.06931,22.16821,24.34487,24.92411,23.10774,22.39952,22.67218,21.24452,21.28613,20.86907,20.22325,20.42896,22.36444,22.44622,25.53537,26.31836,22.34558,21.26709,21.69121,20.34737,20.26967,22.10065,20.78691,21.38333,21.34019,22.13385,19.81538,,,17.10787,16.40854,
Japan,3.238351,3.327448,3.748527,5.083183,6.006132,6.026428,7.076457,8.218039,9.101371,12.19276,15.91261,17.29135,15.87655,16.57301,18.16853,16.79677,17.9803,17.22804,17.58359,20.15127,21.5945,21.79671,19.87886,18.41105,15.27292,14.6083,13.53642,12.98426,13.23044,12.49998,13.02189,13.91988,14.47181,14.90253,14.78542,14.94831,14.34828,14.98415,16.16827,16.86864,17.09631,15.92231,16.11642,14.36378,13.87807,13.58998,12.34447,12.01353,11.32183,10.68533,10.43227,9.850092,9.134078,8.054687,7.312557,6.472681,6.074877,5.400919,4.491682
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.29725,17.45997,,,12.64346,13.8367,15.88016,21.93918,27.21612,25.86838,24.897,22.51358,20.42078,16.31141,14.54093,13.46362,13.44048,15.85997,11.35079,11.29863,15.03008,13.71102,14.93721,23.27126,30.28481,37.78361,39.20536,28.72124
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96707,12.19856,14.03941,14.54313,19.11051,22.48591,23.55545,24.12441,24.5193,29.53377,34.53067,33.79494,29.26074,20.77671,19.59432,19.31888,15.08728,12.65944,12.61974,9.943582,8.991083,9.255542,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,20.575,,,43.27211,28.93112,28.64258,31.49012,38.85577,23.36264,26.0772,31.97206,22.43936,25.29975,22.28909,17.88761,14.61888,,,,,,28.31667,25.74794,23.6388,24.98748,28.39447,23.00545,27.84275,24.65503,23.67242,23.5347,,,,,,23.68502
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.16986,23.09667,,,19.31405,14.40962,19.07291,22.02934,31.9588,27.29201,27.94285,20.39813,15.78154,11.83108,11.22755,10.96092,10.85946,8.739863,7.310379,7.375251,8.684035,11.8719,14.01652,14.55974,12.23081,14.78319,16.19815,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.39819,34.52559,32.51722,32.57834,35.38863,30.9911,25.74255,28.9169,32.42128,52.78509,53.95245,51.09209,43.62885,40.32544,49.75685,44.63973,39.11742,35.49768,44.66347,34.98244,36.56102,31.73433,27.20533,30.30403,26.07621,23.10885,20.81223,20.68114,20.47317
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.84236,34.30567,,,26.00158,22.39356,23.73052,35.38109,40.65693,35.64415,49.07145,31.60033,38.39779,29.2113,25.91467,32.43146,31.11282,37.36512,30.72215,25.83266,27.9265,27.62164,28.37754,27.80692,33.17972,31.22785,31.7447,20.40624
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.589579,7.966718,3.444193,2.359684,4.688063,7.155627,5.222959,8.318538,6.592609,4.91097,4.271092,7.484063,6.205188,,,,,
Mauritius,,,,,,,,,,,,8.168863,9.187583,5.748012,9.73356,6.382896,8.115148,6.755443,5.382176,7.400866,10.6459,8.666518,7.235459,13.36833,14.48958,17.73201,16.67913,14.19918,15.01526,14.08091,5.047243,3.990338,0.9272859,0,1.66252,1.613598,0.979606,8.704804,11.7168,12.39724,8.181321,14.16202,13.4951,17.47415,15.3533,13.16977,16.43392,11.23428,13.2483,15.00654,10.00737,9.546412,15.22123,12.26948,17.16843,11.06561,14.41311,15.80882,14.04578
Mexico,,,,,,2.076251,3.005495,3.095387,2.723039,3.334223,3.588732,3.262919,2.991055,5.942622,6.782569,6.949775,7.018707,7.037599,8.267411,7.894398,7.573884,9.556399,10.93046,10.85439,18.98161,20.91891,22.44241,25.55256,25.92679,29.57012,30.07593,31.91766,28.79151,24.4406,20.54661,19.19424,17.92537,18.05936,18.34369,18.88399,18.9259,18.55485,18.95641,18.88632,18.59802,17.08478,17.24537,17.22285,14.20094,14.27634,13.24967,12.95726,14.24973,14.70869,15.23864,16.53147,17.28428,15.63236,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0741,28.15513,,,25.20867,27.15203,22.87037,34.07956,44.74785,39.68024,32.49404,32.35193,16.14007,20.04053,21.27341,16.9871,20.04304,17.19341,11.85207,13.51515,15.20187,15.35611,15.09767,15.74955,15.21015,14.22705,19.68587,16.96533
Netherlands,6.682999,7.450123,6.553239,8.32798,10.67623,10.61455,12.63533,13.56479,13.89649,14.91945,17.33344,19.05823,19.11642,18.35479,23.24129,22.85461,24.25517,27.74262,27.63114,29.24975,30.93909,29.61158,31.56012,32.37306,27.68527,20.9246,23.64023,26.41521,23.43602,21.04526,18.95209,17.41506,15.97008,15.8225,15.51788,13.4262,14.64804,12.85133,12.91446,13.33284,13.2947,13.31002,12.40656,11.50704,12.1437,11.63444,12.87621,11.75396,11.17365,11.78643,12.28673,9.870298,11.59487,10.59082,8.544236,6.696383,6.002138,7.32999,6.128919
