Annual number of AIDS deaths,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Somalia,600,600,1000,1200,1400,1700,1900,2100,2300,2500,2700,2800,2900,3000,3100,3100,3100,3100,3100,3100,3100,3100
Somaliland,,,,,,,,,,,,,,,,,,,,,,
South Africa,2200,3600,5900,9800,16000,26000,41000,61000,89000,120000,160000,210000,260000,300000,340000,370000,390000,390000,380000,340000,300000,270000
South Ossetia,,,,,,,,,,,,,,,,,,,,,,
Spain,3000,3500,4000,4600,5200,5900,5900,3700,1800,2000,2000,1800,1700,1700,1700,1700,1700,1600,1600,1600,,
Sri Lanka,60,60,60,60,60,60,60,60,60,60,60,150,150,150,150,150,150,350,350,350,350,350
Sudan,350,600,600,1400,1900,2500,3100,3800,4500,5100,5600,6000,6300,6400,6400,6300,6200,6000,5700,5700,5600,5600
Suriname,60,150,150,350,350,350,600,600,600,600,600,600,600,600,600,600,600,600,350,350,350,350
Svalbard,,,,,,,,,,,,,,,,,,,,,,
Swaziland,350,600,600,600,1300,1800,2400,3000,3800,4700,5700,6700,7700,8500,9300,9900,9800,9200,8600,8100,7800,6800
Sweden,60,60,60,150,150,350,150,150,150,60,60,60,60,60,60,60,60,60,60,60,60,60
Switzerland,150,350,350,350,350,600,600,350,60,60,60,150,150,60,60,60,60,60,60,60,60,60
Syria,,,,,,,,,,,,,,,,,,,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,60,60,60,60,60,60,60,120,120,120,120,120,300,300,300,300,300,300,300,300,,
Tanzania,22000,30000,40000,51000,63000,76000,89000,100000,110000,120000,120000,130000,130000,130000,130000,130000,130000,120000,100000,96000,91000,84000
Thailand,1100,3600,8600,16000,25000,34000,42000,49000,48000,55000,56000,52000,47000,39000,27000,21000,21000,25000,28000,28000,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,
Togo,300,300,600,600,1300,1800,2400,3200,4000,4800,5600,6400,7100,7600,8000,7900,8000,8400,8300,7700,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,60,60,60,150,150,350,350,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600
Tunisia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Turkey,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,60,60,60,120,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Uganda,85000,95000,100000,110000,110000,110000,110000,110000,110000,110000,100000,100000,97000,93000,89000,82000,74000,74000,74000,69000,66000,62000
Ukraine,60,60,60,60,150,350,600,1400,2600,4300,6400,9000,12000,15000,18000,20000,21000,23000,23000,23000,23000,22000
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,600,1100,1200,1400,1500,1600,1300,600,350,350,350,350,350,350,350,350,350,350,350,350,350,350
United States,32000,39000,45000,51000,56000,59000,59000,38000,33000,25000,20000,20000,20000,20000,20000,20000,20000,20000,19000,19000,20000,20000
Uruguay,60,60,60,60,60,60,150,150,350,350,350,350,350,600,600,600,600,600,600,600,600,600
USSR,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,300,300,300,,
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,
Venezuela,1100,1300,1500,1700,2000,2200,2500,2800,3100,3400,3700,3800,3400,3000,2800,2700,2700,2800,3000,3200,3100,2900
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Vietnam,300,300,600,600,1000,1300,1700,2200,2800,3600,4500,5500,6800,8200,9800,11000,13000,13000,14000,14000,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,
Yemen,60,60,60,60,60,60,60,150,150,350,350,350,600,600,600,600,1100,1200,1300,1400,1500,1600
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
Zambia,23000,29000,34000,39000,44000,49000,53000,57000,60000,63000,66000,68000,69000,71000,70000,65000,60000,49000,42000,45000,,
Zimbabwe,23000,32000,43000,55000,68000,82000,96000,110000,120000,140000,150000,150000,160000,160000,150000,150000,140000,130000,110000,98000,78000,58000
Åland,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,11000
Christian,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,
