"Total above 60, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Czech Rep.,1116000,1215000,1389000,1598000,1782000,1879000,1729000,1797000,1831000,1858000,1875000,2033000,2312000,2559000,2692000,2804000,2906000,3135000,3377000,3470000,3547000
Denmark,572000,632000,708000,783000,868000,947000,998000,1038000,1047000,1038000,1054000,1149000,1282000,1374000,1460000,1564000,1652000,1704000,1699000,1648000,1624000
Djibouti,2000,2000,3000,4000,6000,7000,12000,15000,22000,25000,32000,41000,48000,57000,67000,79000,95000,113000,134000,161000,193000
Dominican Rep.,106000,118000,137000,163000,194000,234000,282000,351000,438000,540000,649000,764000,896000,1066000,1284000,1547000,1823000,2090000,2344000,2614000,2879000
Ecuador,277000,291000,312000,344000,376000,424000,475000,543000,640000,762000,916000,1094000,1301000,1595000,1914000,2263000,2636000,3011000,3384000,3757000,4130000
Egypt,1122000,1306000,1500000,1713000,1945000,2199000,2504000,2923000,3442000,3977000,4562000,5157000,6295000,7477000,8972000,10731000,12609000,14596000,17343000,20806000,24846000
El Salvador,133000,141000,157000,180000,204000,235000,270000,314000,364000,429000,498000,563000,630000,704000,786000,887000,1009000,1142000,1276000,1415000,1598000
Equatorial Guinea,20000,20000,20000,20000,21000,20000,20000,23000,24000,25000,28000,28000,30000,38000,54000,72000,86000,92000,93000,102000,121000
Eritrea,59000,59000,64000,69000,77000,88000,143000,134000,136000,131000,145000,180000,214000,244000,275000,306000,375000,532000,759000,965000,1167000
Estonia,162000,169000,182000,206000,228000,246000,234000,246000,270000,275000,290000,292000,303000,317000,332000,341000,345000,351000,359000,371000,392000
Ethiopia,885000,906000,959000,1118000,1303000,1514000,1649000,1902000,2231000,2632000,3089000,3642000,4299000,4991000,5796000,6814000,8054000,9549000,11354000,13640000,16657000
Fiji,12000,14000,15000,16000,20000,26000,28000,32000,35000,39000,47000,56000,69000,83000,99000,115000,124000,130000,145000,163000,178000
Finland,408000,439000,494000,559000,652000,732000,782000,854000,921000,968000,1027000,1120000,1320000,1470000,1583000,1678000,1727000,1722000,1726000,1735000,1735000
France,6794000,7094000,7708000,8562000,9213000,9659000,9325000,10130000,10982000,11795000,12236000,12742000,14517000,16130000,17586000,19004000,20191000,21172000,21512000,21852000,22035000
French Guiana,2000,3000,3000,3000,3000,3000,4000,5000,6000,8000,9000,11000,16000,20000,28000,37000,46000,55000,62000,70000,80000
French Polynesia,2000,3000,3000,4000,4000,6000,7000,8000,11000,12000,17000,20000,24000,31000,38000,47000,59000,67000,70000,78000,89000
Gabon,54000,54000,54000,55000,58000,59000,64000,69000,75000,79000,83000,86000,97000,115000,136000,162000,189000,219000,252000,296000,349000
Gambia,12000,14000,18000,19000,22000,24000,29000,35000,41000,51000,63000,75000,85000,98000,115000,135000,163000,197000,234000,280000,333000
Georgia,526000,522000,507000,527000,564000,608000,620000,678000,818000,819000,872000,807000,807000,847000,917000,1000000,1018000,1022000,1020000,1023000,1060000
Germany,9983000,11102000,12577000,14245000,15533000,16072000,15098000,15479000,16217000,16986000,19038000,20496000,21316000,22677000,24349000,26625000,28453000,28604000,28329000,28123000,27873000
Ghana,205000,245000,295000,347000,388000,450000,502000,606000,714000,853000,1013000,1193000,1400000,1601000,1874000,2232000,2673000,3202000,3827000,4543000,5336000
Greece,754000,858000,1005000,1132000,1430000,1573000,1682000,1768000,2030000,2280000,2447000,2542000,2715000,2885000,3084000,3284000,3549000,3787000,4012000,4134000,4113000
Grenada,5000,6000,6000,6000,8000,7000,8000,8000,10000,10000,10000,10000,8000,11000,11000,16000,16000,18000,20000,22000,28000
Guadeloupe,14000,16000,20000,20000,24000,28000,31000,37000,44000,52000,59000,76000,84000,93000,106000,122000,136000,145000,144000,153000,158000
Guam,0,1000,1000,2000,2000,3000,4000,7000,8000,11000,13000,15000,20000,24000,30000,35000,40000,45000,48000,50000,53000
Guatemala,134000,154000,182000,214000,242000,282000,326000,393000,477000,568000,664000,777000,927000,1089000,1252000,1451000,1702000,2036000,2476000,3031000,3667000
