,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Chile,73.97,95.89,98.63,87.67,82.19,98.63,101.37,106.85,101.37,101.37,106.85,109.59,87.67,87.67,82.19,93.15,98.63,104.11,101.37,104.11,101.37,95.89,90.41,98.63,90.41,98.63,104.11,101.37,106.85,106.85,106.85,117.81,117.81,120.55,123.29,126.03,126.03,128.77,131.51,126.03,123.29,128.77,126.03,126.03
China,5.48,5.48,5.48,5.48,5.48,8.22,5.48,5.48,8.22,5.48,5.48,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,13.7,13.7,16.44,16.44,16.44,19.18,19.18,19.18,21.92,19.18,21.92,21.92,19.18,13.7,16.44,19.18,21.92,24.66,21.92,19.18,16.44,16.44,19.18,21.92,21.92
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,147.95,139.73,136.99,128.77,123.29,120.55,112.33,115.07,115.07,109.59,115.07,123.29,126.03,134.25,142.47,150.69,153.43,145.21,142.47,153.43,153.43,147.95,147.95,142.47,139.73,139.73,150.69,147.95,147.95,147.95,153.43,147.95,139.73,136.99,134.25,136.99,134.25,134.25,136.99,136.99,134.25,134.25,134.25,134.25
Comoros,5.48,5.48,8.22,10.96,10.96,10.96,13.7,13.7,16.44,19.18,19.18,19.18,21.92,19.18,13.7,10.96,10.96,13.7,16.44,16.44,16.44,16.44,19.18,16.44,16.44,19.18,16.44,16.44,16.44,21.92,19.18,19.18,19.18,16.44,16.44,16.44,16.44,10.96,13.7,8.22,16.44,16.44,21.92,21.92
"Congo, Dem. Rep.",5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,5.48,5.48,5.48,5.48,5.48,5.48,2.74,5.48,5.48,5.48,8.22,8.22,5.48,5.48
"Congo, Rep.",8.22,8.22,8.22,5.48,5.48,5.48,5.48,8.22,8.22,10.96,13.7,10.96,16.44,13.7,16.44,13.7,16.44,19.18,19.18,21.92,21.92,19.18,24.66,24.66,24.66,21.92,21.92,21.92,24.66,24.66,21.92,16.44,16.44,16.44,19.18,19.18,16.44,21.92,21.92,24.66,24.66,27.4,30.14,30.14
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,120.55,120.55,117.81,128.77,123.29,128.77,120.55,131.51,131.51,142.47,150.69,158.9,169.86,169.86,175.34,167.12,175.34,172.6,167.12,167.12,178.08,178.08,167.12,169.86,186.3,178.08,175.34,169.86,158.9,164.38,164.38,164.38,164.38,161.64,158.9,156.16,156.16,156.16,156.16,153.43,150.69,158.9,156.16,156.16
Cote d'Ivoire,19.18,19.18,16.44,16.44,19.18,21.92,19.18,19.18,19.18,27.4,27.4,24.66,27.4,21.92,13.7,16.44,19.18,24.66,19.18,32.88,24.66,27.4,35.62,24.66,24.66,32.88,30.14,32.88,30.14,24.66,27.4,27.4,24.66,24.66,27.4,19.18,19.18,24.66,24.66,24.66,27.4,27.4,32.88,32.88
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.99,112.33,136.99,136.99,126.03,106.85,101.37,104.11,123.29,153.43,161.64,164.38,164.38
Cuba,136.99,139.73,139.73,142.47,142.47,145.21,145.21,145.21,145.21,145.21,145.21,145.21,139.73,156.16,145.21,153.43,147.95,156.16,145.21,147.95,153.43,178.08,186.3,189.04,178.08,180.82,186.3,164.38,167.12,161.64,158.9,158.9,158.9,147.95,158.9,164.38,180.82,175.34,183.56,178.08,167.12,164.38,117.81,117.81
Cyprus,60.27,60.27,63.01,65.75,73.97,76.71,76.71,82.19,82.19,82.19,84.93,84.93,90.41,65.75,41.1,60.27,65.75,71.23,82.19,73.97,68.49,84.93,87.67,93.15,90.41,90.41,87.67,71.23,82.19,101.37,109.59,109.59,117.81,120.55,131.51,112.33,112.33,112.33,115.07,123.29,120.55,123.29,128.77,128.77
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.33,106.85,126.03,139.73,128.77,126.03,126.03,123.29,115.07,136.99,142.47,142.47
Czechoslovakia,123.29,123.29,123.29,120.55,120.55,120.55,117.81,126.03,126.03,120.55,120.55,120.55,126.03,123.29,123.29,123.29,117.81,126.03,126.03,123.29,120.55,120.55,117.81,115.07,106.85,115.07,112.33,123.29,117.81,134.25,126.03,128.77,,,,,,,,,,,,
