Mobile cellular subscriptions (per 100 people),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.1291334579,0.252334397,0.3457060951,0.4852536359,0.6644976591,0.9607962336,1.494926471,2.217116821,2.817213834,3.524080692,4.833079289,7.521018875,14.5479808,28.74707079,53.23175816,76.4174901,81.37110499,83.33478699,89.42451257,97.6354316,105.257455,112.1813932,119.2810931,129.6601719,136.6128217,145.8365401,154.78324
Azerbaijan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006519130061,0.07727181055,0.2166899715,0.5054530806,0.8149808016,4.602383886,5.183261714,8.911715903,9.591495525,12.61947826,17.17665126,26.1064926,38.1936029,51.22994958,73.21436558,85.55706194,99.0457981,108.7479044
Bahamas,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750406047,0.7744062566,0.9783226282,0.8869564575,,1.465468557,1.744237284,2.158646598,2.777978532,5.412125665,10.59092696,20.07751835,39.81641656,39.4028388,59.09880885,71.32152631,78.06650497,113.7255558,107.3095147,106.0450765,124.9360558,86.0629767
Bahrain,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.1434390558,0.3837343267,0.6244266353,0.8893398467,1.044247105,1.451394851,1.863204643,2.13388634,3.230343517,4.936778823,6.971477473,9.872577093,15.06175182,21.29474364,32.23585969,46.62760113,60.58373698,68.46935244,96.72561629,105.8354845,111.8340913,120.55085,136.9097428,119.8700728,124.1842238,127.9641264
Bangladesh,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002268076582,0.0004438705297,0.0009595076057,0.002127895871,0.003335315567,0.0212469677,0.06009454025,0.1171246993,0.2152906105,0.3941048463,0.8006469048,0.9998918212,2.006414024,6.401687906,13.43906744,23.87521729,30.68498876,35.65935407,46.16922196,56.48078539
Barbados,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186671071,0.3048220085,0.5956813105,1.129696121,1.751602029,2.377789636,3.022769797,4.512279039,7.613267456,10.64143157,19.80334984,36.15636149,51.96945681,74.13973854,76.22466294,87.47777261,94.83760281,106.0555515,123.5787351,128.0721909,127.0117733
Belarus,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003145223105,0.0167490404,0.05739602312,0.06391813481,0.08003424411,0.119666344,0.2320747784,0.490693302,1.381934322,4.64330238,11.27251693,22.68296241,41.72475767,60.96049811,71.54437581,83.96095733,100.5207961,107.6857389,111.8778807
Belgium,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.03854863868,0.07316985953,0.1935597182,0.3103256368,0.4309972672,0.5154202575,0.614325458,0.6755425892,1.273384347,2.333938136,4.73522389,9.635679107,17.33978842,31.40013309,55.31814864,75.37754386,79.01070068,83.52658246,88.16946193,92.22683163,94.00841604,101.8917125,106.9753382,110.4521947,113.4612221,116.6127738
Belize,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1923428319,0.3885072822,0.702189178,0.9646515285,1.094447743,1.482447569,2.696025295,6.711055758,15.2602287,19.69375673,22.47469862,27.28711502,34.17014597,41.10996917,40.36312277,53.48001751,52.9744792,62.31841272,63.86666163
Benin,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01858031856,0.04649616926,0.07172567293,0.1021331962,0.11484363,0.8511447864,1.859749035,3.153221,3.296242723,6.208744678,7.810924555,13.41166535,25.29131017,43.38648489,58.51526389,79.94350666,85.33266549
Bermuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,1.253871011,1.859687265,2.394014963,3.200899426,5.59219724,8.390612726,10.2988356,12.93333982,16.57686724,20.18787635,20.46199345,20.68943566,21.12593485,47.32756989,62.83874008,76.67631641,82.20801497,93.4274344,106.9734272,122.183213,131.1687911,135.8155865,
Bhutan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3611287716,2.979140722,5.460394696,12.16545301,21.70245766,36.13378522,47.49259106,54.31798771,65.58453784
Bolivia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004329427456,0.0222392119,0.03725026631,0.05552946717,0.09676177983,0.4373088901,1.517528788,3.001692209,5.164691315,7.013393605,9.200705132,11.83501049,14.50609018,20.04681775,26.4730877,30.90413747,34.38908471,52.3846526,66.14241596,72.30012259,82.80316785
Bosnia and Herzegovina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04537655279,0.2674101858,0.7235326992,1.460722078,2.528252174,11.86411694,19.83059327,28.41317497,37.22051707,42.16785449,49.92135579,64.8426291,84.23152783,86.45204493,82.71568494,84.5173321
Botswana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8958549458,5.323522621,12.6393333,18.61997737,18.37638674,24.31405034,28.22739781,30.05758466,43.29884976,59.75289748,76.00645992,94.57628675,117.7616228,142.8181774
Brazil,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004457060353,0.004403639228,0.02070097338,0.1159340349,0.3601092803,0.7942833481,1.520089834,2.726687053,4.349348021,8.743180198,13.29403443,16.25182871,19.45513659,25.53128953,35.67944477,46.3528917,53.16001917,63.7414822,78.64616123,90.01936334,104.1024405,123.1758591
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7028259792,1.166346002,1.537890657,3.026558929,5.540070922,12.38924914,14.64527504,14.76736478,15.7355805,20.64732492,29.04878974,42.77100506,44.98060512,50.85428548,56.87820803,64.13804689,81.38972826,96.98685873,103.681358,105.3708557,109.0704903,109.1696269
Bulgaria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01169522934,0.07692334092,0.2503403288,0.3213823842,0.8538659635,1.562061055,4.338641641,9.217904518,19.50234789,32.91090742,44.65327494,60.72180897,80.69297329,107.3333056,129.5433297,137.3807092,138.6089602,136.1020835,140.6781236
Burkina Faso,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004776127007,0.0132989925,0.02349163281,0.04213626161,0.2053438698,0.6023335305,0.8529334594,1.777404654,2.871258739,4.462130866,6.952475421,12.33664652,19.49145802,23.92086098,34.65874749,45.27445884
Burundi,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005949478645,0.006282067837,0.009266027147,0.009136423909,0.01001376205,0.009962215886,0.01273142954,0.2560262251,0.5141197538,0.7812416664,0.9358416228,1.428503648,2.109930408,2.67581331,3.502953704,6.050115914,10.26103395,13.72445096,14.46035135
Cambodia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04563896881,0.09426380922,0.1262396442,0.2015733156,0.2860409607,0.5117999741,0.7290083598,1.048827307,1.765952113,2.958298424,3.826638947,6.529502399,7.950545511,12.73797556,18.89791532,30.65260163,44.84220559,57.65042433,69.90473313
Cameroon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01177362354,0.02008559764,0.02449698075,0.02870439043,0.03338630627,0.03915413751,0.6587398137,2.601632433,4.275374,6.417067947,8.918404823,12.83217922,17.47201351,24.71931641,32.84272035,41.74241623,44.0670489,52.35359201
Canada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.0464349778,0.2291553951,0.3704225342,0.7520692082,1.262986595,2.107393512,2.765715834,3.616589661,4.643805388,6.431717542,8.838208548,11.82392249,14.05348741,17.75255685,22.74578153,28.45696068,34.38795765,37.95186883,42.0487335,47.02036605,52.71004029,57.46326052,61.48890022,66.28819759,70.70997244,70.66366699,75.27990824
Cape Verde,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004843869961,0.2421635174,1.879434772,4.51218787,7.078697629,9.48646022,11.59530553,14.09217111,17.28144171,22.76092643,31.51237105,56.97302466,59.1148466,74.97414309,79.19314402
Cayman Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2.042904652,3.441309648,4.189665492,5.767089735,7.727494511,,11.62014649,14.08565824,21.96740153,26.6202264,39.99905885,42.11272913,44.00292795,67.23290832,154.8653096,172.3246202,185.6233655,177.7972692,194.9303301,177.6471634,167.6743817
Central African Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001322230603,0.03144034657,0.03932231294,0.04587588957,0.1145834566,0.1341849634,0.2920042856,0.329047189,1.02825781,1.518110681,2.48887473,2.691109114,4.8066062,5.899063252,15.73950564,22.24995802,25.04124843
Chad,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06689103948,0.2582782888,0.3872633829,0.7100803997,1.298181533,2.145944237,4.622014864,8.854321784,15.01816917,20.85856666,25.61014279,31.80480042
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03771200072,0.1055595159,0.2690829726,0.4710940402,0.6115558542,0.8161685911,1.369340714,2.18357627,2.761044143,6.411580645,14.84212678,22.0594339,32.68852617,39.56103371,45.54119844,57.40927978,64.83713442,75.60292184,83.89941018,88.09806834,97.01862561,116.0021265,129.7080782
China,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.00006410814321,0.0002906319062,0.0008690083461,0.001599639916,0.004095797718,0.01505602759,0.05367264193,0.1305010858,0.2989324569,0.5589109865,1.069031101,1.910537629,3.437617453,6.71805812,11.33262297,16.01987612,20.87163278,25.74475803,30.08626177,35.07260937,41.41607884,48.27650502,55.97490921,64.04089229,73.18776926
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2424858508,0.7532643719,1.408838788,3.34814346,4.683327775,5.029160042,5.675464186,8.077811032,11.1898797,14.82368146,24.53793392,50.76605419,68.11229219,76.5261268,91.90986394,92.34584564,96.07475053,98.45142015
Comoros,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3282611514,1.338603813,2.414250032,5.582695868,9.15175611,13.16162483,17.12775261,22.4944539,28.70747523
"Congo, Dem. Rep.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.01928864871,0.01589578055,0.0191937193,0.02110880767,0.02477809257,0.03022596935,0.2941786516,1.066842868,2.303632955,3.570488936,4.782426046,7.472649249,10.8470694,15.90658303,14.73196719,17.91890479,23.13117395
"Congo, Rep.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03558569427,,0.1140136191,0.163642713,2.232304443,4.668054635,6.743848974,9.806336736,11.13404425,15.79858581,25.28547818,34.51527524,47.10219822,50.74269546,98.93890498,93.84042217
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09327568516,0.1372217574,0.2063821577,0.5405143621,1.308118001,1.764867281,2.907839377,3.606364498,5.399445802,8.167584574,12.30599454,18.70714093,21.79343919,25.55580076,32.94788467,33.87271011,41.71867025,42.4832763,65.14446476,92.20475714
Cote d'Ivoire,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08978846265,0.2323760966,0.5744351422,1.583055822,2.852260869,4.312738207,5.977993032,7.336919175,9.442516964,13.03726785,22.18392262,40.0483001,55.0325599,68.1358671,79.03132061,86.42123062
Croatia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005313025768,0.04439239802,0.1377454599,0.2458863401,0.4650311155,0.7215247973,1.394612415,2.603456141,3.982331975,6.497737246,22.92736509,39.15994663,51.78220484,56.93370285,63.72594629,82.16369885,99.12961617,113.7502867,103.0868731,105.9886907,111.9232944,116.3706103
Cuba,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002181393497,0.004633625703,0.0106196237,0.01778769347,0.02216599085,0.02723727267,0.03676767534,0.04640244618,0.05886001232,0.07700961063,0.1597342886,0.3154524315,0.6746524468,1.204292568,1.355644199,1.759317656,2.944340083,5.515195921,8.909369968,11.68633507
Cyprus,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02280963055,0.1794701105,0.4116541427,0.65514199,1.216300095,1.86699037,2.739830746,5.196604257,8.105217474,10.32468976,12.82174396,16.38555857,23.14485198,32.69483984,42.65170828,55.2783494,64.7991841,75.78266487,82.7824267,92.97148614,94.40464772,89.64192603,93.69581035,97.70546068
Czech Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01204991108,0.04509552475,0.1360765967,0.2947814985,0.4738676525,1.94291648,5.112080594,9.392971314,18.95213948,42.4295194,67.9381394,84.33495274,95.1894473,105.6941882,115.2166626,120.9323102,128.2648852,132.7906744,136.5782177,121.7489441,121.6028451
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,,,,,0,,,,,0,0,0,0,0,0,0,0.1405509911,0.3145146765,0.5981848024,0.9014997162,1.12636024,1.513273586,1.981199891,2.413039677,2.883077607,3.413030127,4.080846242,6.888143207,9.660267483,15.71195889,25.05306636,27.36136996,36.4382811,49.4049606,62.99375166,73.93809436,83.37670913,88.53396805,95.67859444,100.5491707,107.0831934,115.3382714,119.2762572,123.6893909,125.7805656,126.4581629
Djibouti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01706924216,0.0304916974,0.03193311464,0.03934944131,0.03142377003,0.4002113116,1.96005922,2.950079524,4.344254653,5.449628696,5.441056136,8.283846743,13.18878589,14.76636586,18.63508702,21.31809568
Dominica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6476174421,0.7848008356,0.9230463369,1.142808165,1.722356183,11.10199145,17.5654031,34.37283237,60.55842633,75.44432354,104.0756914,130.0523132,133.5113485,145.0192868,155.8023525,164.0192095
Dominican Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.04400482246,0.07636420809,0.09605084095,0.1358130885,0.2699702068,0.7071351055,1.024821572,1.728709182,2.515219804,5.018039376,8.210355091,14.55471854,19.19258619,23.25538014,27.75545142,39.1103689,49.0053132,57.83556026,74.60446761,88.08763264,89.57888937,87.21780167
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1693269888,0.4776667516,0.5160447007,1.074443233,2.030270948,3.154256421,3.90613286,6.844722243,12.22534867,18.46444778,26.83177492,46.5227542,62.20844317,71.77023277,83.1236759,92.84925653,102.1845607,104.5455987
Egypt,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.004941082063,0.005549868721,0.006501144778,0.007036892227,0.007764995215,0.008326501636,0.01145776663,0.01207725491,0.01187165274,0.01167449598,0.1018355445,0.1390095095,0.7237356723,2.010246537,4.055566575,6.405021119,8.108611275,10.4922235,18.36793999,23.82092697,39.11237088,52.71313013,69.43661504,87.10560512,101.0763385
El Salvador,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02922611504,0.08594905912,0.2350262959,0.4018024648,0.6878282503,2.332625678,8.650936696,12.51834712,14.37777603,14.84274243,19.135984,30.3971177,39.86030606,63.40635843,100.5984886,113.3951848,122.8202187,124.3394914,125.845224
Equatorial Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01333855213,0.06349394479,0.06085579226,0.1190473828,0.9608363119,2.792282132,5.771703861,7.255257439,10.49518985,15.94434453,19.1761602,23.29424042,27.17690808,29.36361701,57.00877069,59.14916837
Eritrea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4631406074,0.9013955158,1.334441996,1.757776967,2.195665263,2.768341612,3.526578342,4.467709888
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03671805046,0.1635180603,0.4824478216,0.9389127317,2.113680061,4.895307337,10.27659872,17.76449317,28.04425049,40.63471868,47.78316773,64.93965993,77.68313294,93.12410036,107.3888236,123.4116893,125.2425955,121.034985,117.0620194,123.23911,138.983109
Ethiopia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01055288242,0.02707772102,0.04085954759,0.0729555503,0.0725078991,0.2144509147,0.5529338153,1.140493735,1.554969531,2.46018263,4.990534841,8.262854643,16.67172011
Faeroe Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.040749016,3.73072747,3.570395747,4.452319295,5.882758779,7.520269025,10.74612536,14.68957122,23.87619259,37.10075859,52.82151948,73.99667689,80.10195484,86.19012835,87.09851216,103.0737494,107.4055011,112.8876268,117.2092545,122.0456599,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1436547063,0.2836327163,0.4715099661,0.6556012936,0.9991444825,2.897412034,6.782774313,9.933110778,11.01262225,13.4438709,17.3592544,24.92240622,34.37743797,63.45851087,71.11945579,75.08890409,81.09474183,83.7166026
Finland,0,,,,,0,,,,,0,0,0,0,0,0.4913078556,0.5890111245,0.7020069567,0.8700613469,1.065945789,1.379766579,1.733305806,2.144160676,2.790161329,3.825464864,5.171463976,6.371068203,7.667109057,9.664807758,13.28187422,20.34389743,29.30636347,42.07950682,55.25085886,63.41410637,72.07342603,80.52925839,86.90604073,91.10525765,95.44462404,100.4892511,107.6731658,114.924474,128.4719884,144.1530224,156.3972049,166.0238042
France,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0.01629323431,0.0702225723,0.1750837948,0.3160679055,0.4993981476,0.6584023188,0.7636001613,0.9963032447,1.532217236,2.251719658,4.241824107,9.983281569,19.16382924,36.48157704,49.20143081,62.29491746,64.55140568,69.29097497,73.50896438,78.83730258,84.17013472,89.65659116,93.35504274,95.44434226,100.6570949,105.0282155
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532905773,1.23494359,2.415575051,4.826090561,9.390147817,16.79024398,27.87349657,21.32653061,24.19903607,38.1524668,47.08282654,58.88756736,66.90275307,70.74366544,77.8007733,79.73364258,81.38996336
Gabon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02824605135,0.1172411974,0.2444807129,0.3678746136,0.6081120357,0.8272263709,0.8229649149,0.7367039479,9.714443921,11.8749332,21.6413851,22.77067501,36.40660303,53.74439441,64.27083751,82.11362868,89.63600885,92.92636144,106.9438439,117.3202491
Gambia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01973401641,0.04293006626,0.07415701195,0.1280431333,0.2672864212,0.3974293858,0.4120668319,0.4210958967,0.4317376515,4.124135081,7.26725701,10.53026552,11.98225531,16.45817788,26.13298743,50.29487412,71.27504497,78.06668593,85.53298611,89.01510779
Georgia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002959006516,0.04607061704,0.6091903677,1.233630241,2.772926491,4.103469093,6.431285218,10.88662556,15.56329707,18.59995792,26.22976159,38.35145431,58.87092172,62.7008583,64.86602662,91.44707879,102.346648
Germany,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.001390232011,0.03059777288,0.06251641397,0.1261982899,0.2080677101,0.344646737,0.668221323,1.210580299,2.192590036,3.056008432,4.546595161,6.705568942,10.05271493,16.89486472,28.47408316,58.53378207,68.12709457,71.72940284,78.56058484,86.42540783,96.03863615,103.7751488,116.6229321,127.9450964,127.4188883,127.0435825,132.2987788
Ghana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002554955985,0.01081617946,0.02015118828,0.03647723782,0.07324486154,0.122462581,0.2283941902,0.3741569367,0.6785373085,1.241817997,1.922879877,3.85974953,8.025602002,13.28366807,23.48719626,33.47973792,49.7349659,63.41781842,71.48686263,84.77929582
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4587026646,1.446927001,2.558141736,4.946701615,8.662440482,18.80638009,35.69334879,53.99532333,72.18506952,84.11432365,80.4261011,83.64687074,91.74900658,97.86551746,109.2325971,122.2066583,117.3794227,108.2167583,106.4789464
Greenland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3068090069,0.7865249246,1.732846794,3.689519392,7.406076504,11.62678052,15.92890257,24.13516119,26.89515268,28.16207111,35.19022219,52.33445922,68.42972599,81.27294982,94.09916201,115.8489776,97.3812307,93.30587743,100.0925021,102.5237364
Grenada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1559251559,0.1525402623,0.1863808141,0.2871339551,0.3524211332,0.399349061,0.5659983914,0.9659636378,1.393019097,1.985121455,4.235535155,6.304862825,7.408242933,41.38460786,42.27514519,45.61099539,44.83146831,49.70687253,57.86758964,109.9205549,116.7092557,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
