,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,0.360000014,,0.349999994,,0.519999981,,0.7,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529999971,,0.400000006,,0.560000002,,,0.699999988,,0.709999979,,0.699999988,,0.920000017,,1.12,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730000019,,,,0.550000012,,0.779999971,,0.71,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.790000021,,,0,,0.920000017,,1.090000033,,1.350000024,,1.65,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170000002,,0.209999993,,0.200000003,,0.239999995,,0.22,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469999999,,0.439999998,,0.389999986,,0.479999989,,0.64,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310000002,,0.409999996,,0.360000014,,0.709999979,,0.86,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409999996,,,0.550000012,,0.670000017,,0.699999988,,0.939999998,,1.2,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349999994,,0.529999971,,0.649999976,,0.709999979,,0.74,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389999986,,0.5,,0.5,,0.730000019,,0.89,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.79,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219999999,,0.25,,0.100000001,,0.09,,0.13,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.850000024,,0.810000002,,0.889999986,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349999994,,,0.50999999,,0.660000026,,0.689999998,,1.029999971,,1.08,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.839999974,,,0.779999971,,0.75,,0.75999999,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74000001,,0.730000019,,0.730000019,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.930000007,,,0.699999988,,0.75999999,,0.850000024,,1.169999957,,1.23,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.430000007,,0.540000021,,0.469999999,,,0.469999999,,0.75999999,,1.080000043,,1.049999952,,1.15,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639999986,,0.709999979,,0.649999976,,,0.50999999,,0.689999998,,0.660000026,,0.949999988,,1.17,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419999987,,,0.280000001,,0.280000001,,0.349999994,,0.370000005,,0.53,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.120000005,,1.139999986,,0.819999993,,,0.769999981,,0.699999988,,0.689999998,,1.159999967,,1.22,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769999981,,0.810000002,,0.870000005,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.860000014,,0.850000024,,,,,0.589999974,,0.670000017,,0.629999995,,0.800000012,,0.97,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74000001,,,
