Total 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Poland,,,,,,,,,,,,,5.400000095,5.800000191,4.800000191,4.599999905,4.300000191,4.800000191,7.599999905,7.900000095,7.800000191,8.600000381,9.100000381,9.699999809,9.5
Portugal,,,1.799999952,1.5,2,1.899999976,1.899999976,1.700000048,1.200000048,1.600000024,1.600000024,1.600000024,2.599999905,3.099999905,3,3.400000095,3.599999905,2.299999952,2.200000048,2.200000048,2.099999905,2.400000095,2.900000095,3.799999952,4.199999809
Romania,,,,,,,,,,,,,,1.200000048,1.399999976,1,0.8999999762,0.6999999881,0.8999999762,1,1.100000024,1.700000048,1.799999952,2.900000095,2.5
Singapore,1.5,1.200000048,1.299999952,1.600000024,2.299999952,4,2.700000048,1.5,0.8999999762,0.6999999881,0.8999999762,1,1.299999952,1.399999976,1.399999976,1.899999976,1.600000024,2.299999952,3.700000048,,3,4.5,3.900000095,4.400000095,
Slovak Republic,,,,,,,,,,,,,,,,,6.699999809,7.599999905,9.600000381,12.39999962,12.10000038,15.10000038,13.10000038,15.10000038,
Slovenia,,,,,,,,,,,,,4.800000191,4.199999809,2.799999952,3,2.700000048,2.400000095,2.599999905,4.199999809,3.900000095,1.299999952,2.799999952,2.200000048,3.099999905
Spain,5.5,6.199999809,6.599999905,8.899999619,9.600000381,10.5,9.300000191,8.300000191,8.199999809,7.599999905,7.900000095,8.899999619,10.69999981,11.69999981,11.5,11,10.89999962,9.899999619,9.300000191,9,6.099999905,6.900000095,6.699999809,6.800000191,5.900000095
Sweden,2,3,4,4.699999809,4,3.400000095,2.099999905,1.700000048,1.399999976,1.5,2.200000048,3.299999952,5.5,6.800000191,7.800000191,8.199999809,7.900000095,6.599999905,6.599999905,6.099999905,5,4.699999809,4.800000191,4.900000095,4.5
Switzerland,,,,,,,,,,,1,1.899999976,3,3.299999952,2.700000048,2.900000095,2.599999905,2.700000048,2.5,2.5,1.600000024,1.700000048,2.200000048,2.799999952,3.299999952
Turkey,,,,,,,,,3.799999952,2.599999905,2.200000048,2.200000048,2.099999905,1.899999976,2,1.299999952,1.200000048,1.5,1.5,1.600000024,1.799999952,2.599999905,2.799999952,2.299999952,1.600000024
United Kingdom,,,,,,,,,,,,,,,,,,,,,3.200000048,3.400000095,3.200000048,3,2.599999905
United States,3.599999905,5,5.300000191,4.5,4.099999905,3.900000095,3.299999952,3.099999905,3.099999905,3.299999952,3.900000095,4.800000191,4.300000191,4.099999905,3.700000048,3.400000095,3,2.700000048,2.799999952,2.599999905,3,3.799999952,4.099999905,3.700000048,3.400000095
