Female 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Colombia,9.772689564,9.406511092,9.457441513,10.36925719,11.07376284,11.33549406,11.71111111,11.4831267,10.1751659,10.12259954,9.76771888,9.406053945,9.117972272,8.546395858,8.07712546,7.784131523,7.369358263,7.03889918,6.727858293,6.427985098,6.149250016
Comoros,10.12658228,9.195402299,9.278350515,8.411214953,10.08403361,10.37037037,10.36585366,10.3626943,10.45454545,11.47540984,12.63537906,10.81967213,9.88372093,9.736842105,10,10.39823009,9.856262834,9.038461538,8.288288288,8.020477816,7.967479675
"Congo, Dem. Rep.",9.975293391,10.11314429,10.18656716,10.09356081,9.84812303,9.884445922,9.948134275,9.96058312,9.96592845,10.03253319,10.37581699,10.71476465,11.00295244,11.13389379,11.25656822,10.95422086,10.90357482,10.76715118,10.4050333,9.902009871,9.382928172
"Congo, Rep.",9.732360097,9.734513274,9.589041096,9.417808219,9.509658247,9.731113956,9.967141292,10.33834586,10.66775244,10.97560976,11.15485564,11.03971963,10.90425532,10.41666667,10.51511281,10.2866117,9.90497076,9.613410879,9.158336021,8.712931825,8.343057176
Costa Rica,9.090909091,8.844765343,8.702290076,9.395109395,10.90100111,11.77052423,12.13171577,10.87613293,9.199205824,9.543325527,10.04140787,10.19257868,9.190371991,8.22758903,7.606177606,6.813186813,6.797477225,6.41025641,6.188605108,5.910543131,5.714285714
Cote d'Ivoire,10.44534413,10.20979021,9.757539917,9.042294604,9.230769231,9.313264346,9.440039643,9.723052401,10.30502885,11.07573031,11.13099499,10.87002765,10.87202718,10.71937024,10.774537,10.52738612,10.23359288,9.785880616,9.323727387,8.915166086,8.533886584
Croatia,8.978174603,7.951807229,6.676136364,8.372093023,8.445475638,7.535179301,6.956136464,6.504770165,6.386626661,6.575682382,6.464041096,5.861919236,5.516637478,5.223550243,4.573991031,4.692482916,4.828226555,4.788999526,4.701890451,4.570293095,4.538500765
Cuba,9.849807894,10.09751494,9.822451317,9.042008197,9.500466853,8.748925193,11.83371064,11.30191693,9.859422492,6.664212077,7.062861272,7.368232341,6.622516556,6.018931952,5.489985694,4.823381746,4.671374253,4.569743873,4.443183967,4.258644266,4.097024052
Cyprus,9.2,8.921933086,8.30449827,10.03344482,9.120521173,10.71428571,8.823529412,8,7.038123167,7.336956522,7.518796992,7.226107226,7.095343681,5.684210526,5.030181087,5.03875969,5.223880597,5.23465704,5.281690141,5.136986301,4.865771812
Czech Rep.,6.691368788,5.844155844,7.243133266,8.576569372,8.089398734,6.722039791,6.281833616,6.314797361,7.750330002,7.992459943,6.436869168,6.163859112,5.590179415,4.178377366,4.400522096,5.110986756,5.285848172,5.065205065,4.780041897,4.535017222,4.576923077
Denmark,6.685236769,6.839517211,8.058925477,8.423686405,7.292506044,7.042253521,7.440246723,7.357473035,6.901840491,5.9712774,5.077835434,5.512960935,6.225117626,6.047516199,5.756167322,5.545680768,5.231530576,5.231530576,5.423608649,5.601141634,5.565529623
Djibouti,9.677419355,11.42857143,11.62790698,12.06896552,9.87654321,10.61946903,10.52631579,10.94527363,10.79136691,10.54313099,10.89918256,11.38613861,11.33786848,10.29411765,9.708737864,9.369369369,9.075630252,8.846761453,8.669656203,8.273894437,7.880434783
Dominican Rep.,11.00840336,10.64748201,10.27355623,10.08749357,10.74270557,11.56961049,11.97399932,11.67682927,11.01369863,10.40993789,10.31492469,10.08651614,9.781968179,9.114391144,8.879566509,8.572381588,8.110274082,7.652902825,7.265021946,6.92627824,6.615701264
Ecuador,9.426229508,9.349173554,9.193330329,9.353078722,10.55462185,10.56153622,10.65656566,10.77976585,10.77434494,10.76462297,10.43875387,10.00921093,9.595812736,9.457236842,8.805194805,8.102742276,7.628029127,7.311429894,6.97253927,6.622958106,6.287787183
Egypt,9.808634557,9.06487769,8.407652474,10.42446545,10.57789794,10.90126582,10.69463239,10.4922845,9.808429119,10.75326478,11.22402113,11.65866639,9.422101579,8.994419521,8.897969141,8.893295706,8.627832415,8.012732749,7.434865148,7.088116564,6.898030447
El Salvador,10.40358744,10.12145749,9.608540925,9.596577017,10.48988285,10.60252219,10.38412832,10.546875,10.89181287,10.21996616,9.608540925,9.97168921,10.61946903,10.16499705,8.073654391,7.548194407,7.491516575,7.336200354,7.15872624,6.587551465,6.114162885
Equatorial Guinea,9.565217391,9.243697479,9.230769231,8.759124088,9.459459459,10.6557377,13.15789474,11.875,8.24742268,6.493506494,8.550185874,10.81967213,10.85714286,10.37974684,9.977324263,10.20408163,10.44776119,10.46312178,10.12658228,9.572901325,9.228650138
Eritrea,10.22530329,10.37735849,10.46025105,10.41666667,9.881847476,10.13133208,8.133971292,9.44716585,11.56716418,13.11775473,11.83083512,11.22314774,10.21485111,9.70075633,10.51856217,11.06052491,10.66077131,9.780393933,8.925204274,8.449051438,8.290346352
Estonia,7.790143084,7.951070336,6.304985337,6.267409471,6.49526387,6.623376623,6.329113924,6.12745098,6.474820144,6.347150259,6.793478261,7.300275482,5.131761442,4.166666667,4.475524476,5.397727273,5.924855491,5.908419498,5.421686747,4.732824427,4.658385093
Ethiopia,9.974204643,10.13968936,10.29450549,10.33006383,9.974652326,9.912079971,10.24433983,10.35432881,10.19443417,9.955382041,10.17046833,10.76546103,11.22927012,11.04350346,10.72535991,10.75379727,10.54131054,10.21779748,9.780061878,9.282224728,8.783203326
Fiji,10.86956522,10.90909091,10.9947644,11.0619469,11.71875,12.63157895,11.50159744,10.25641026,9.915014164,10.61007958,10.88607595,9.7799511,9.976247031,9.76744186,9.174311927,8.520179372,8.131868132,7.608695652,7.456140351,7.268722467,6.904231626
Finland,7.310081223,7.304900181,7.62195122,10.03811944,8.739495798,8.008213552,7.583130576,6.806489909,5.763239875,6.106870229,6.117824773,5.831775701,6.018348624,5.384893386,5.189692198,5.293072824,5.380530973,5.388160227,5.343783399,5.240488155,5.128205128
France,7.108001105,6.250835375,5.777324321,8.168237738,7.857775041,7.703736721,7.743547044,7.365827908,7.150684932,6.160136743,6.313471588,6.111323642,5.63498477,5.586063823,5.873684211,5.81167093,5.512669417,5.371755904,5.26912346,5.261936532,5.355067411
French Guiana,8.333333333,7.142857143,6.25,10.52631579,9.090909091,11.11111111,9.090909091,9.302325581,9.090909091,8.955223881,8.75,8.910891089,9.565217391,9.160305344,8.965517241,8.536585366,7.865168539,7.692307692,7.766990291,7.305936073,6.896551724
French Polynesia,10.34482759,9.375,10.25641026,10.86956522,11.53846154,11.29032258,11.11111111,12.19512195,10.75268817,8.737864078,10.52631579,10.48387097,8.333333333,8.391608392,7.482993197,7.051282051,7.453416149,6.547619048,6.395348837,6.32183908,5.681818182
Gabon,8.298755187,8.196721311,8.064516129,7.782101167,8.455882353,8.823529412,8.933717579,9,9.421841542,9.89010989,10.43338684,10.77147016,11.30319149,10.39119804,9.706546275,9.348739496,9.162561576,8.955223881,8.518189885,8.142493639,7.767784137
Gambia,9.62962963,9.85915493,10.36585366,10.05291005,8.256880734,8.429118774,9.003215434,9.115281501,9.492273731,9.636363636,9.603658537,9.778357236,10.31746032,10.68931069,10.71428571,10.57692308,10.28240406,9.933774834,9.610705596,9.24464487,8.846761453
Georgia,8.947368421,10.2862688,6.789568345,6.420478389,7.892628205,8.989627353,8.803863299,7.345037621,6.948324022,7.140172867,7.44,8.237791932,7.42065266,4.939981533,4.691943128,5.450121655,5.455455455,5.274043433,4.940923738,4.748603352,4.795321637
Germany,6.599246265,8.033585845,6.698503171,5.562050695,6.312751613,6.87011825,7.862156366,7.339946341,5.291571422,5.01264494,5.396462663,5.609518607,4.966269556,4.704119126,4.408562691,4.13046716,4.080705033,4.204560093,4.249881435,4.215842493,4.1737153
Ghana,10.26785714,10.33158813,10.35098156,10.44238683,9.634935305,9.995961228,10.4029304,10.70208139,10.80935009,10.79812207,10.79987551,10.79655842,10.60833333,10.20485013,9.960897304,9.91127053,9.801755712,9.469533276,9.111548358,8.724895794,8.453036202
Greece,10.18303687,9.296051018,7.295331926,8.081038015,7.179373194,7.43067591,7.148676171,7.391993658,7.141470988,7.164013328,6.367583213,5.243378669,4.790631654,4.597498679,4.556650246,4.758547762,4.567180032,4.379562044,4.246550797,4.239581454,4.35654393
Grenada,9.302325581,8.888888889,8.163265306,9.803921569,10.63829787,12.76595745,13.04347826,11.76470588,10.20408163,10,11.76470588,13.7254902,9.803921569,9.433962264,7.272727273,7.272727273,9.259259259,7.547169811,7.692307692,6.25,6.25
Guadeloupe,9.174311927,8.333333333,8.571428571,10.38961039,10.97560976,10.65088757,12.04819277,11.11111111,10.76923077,9.178743961,7.692307692,7.627118644,6.967213115,6.374501992,6.25,5.859375,5.747126437,5.363984674,5.384615385,5.019305019,4.705882353
Guam,10.52631579,9.090909091,7.142857143,9.375,10.52631579,11.36363636,10.20408163,8.771929825,9.677419355,8.695652174,8,8.536585366,9.195402299,8.510638298,7.920792079,7.476635514,7.272727273,6.956521739,6.779661017,6.666666667,6.557377049
Guatemala,10.7830552,9.955257271,9.789525208,10.69289991,10.83302204,10.37181996,10.44130372,10.53703232,10.83955646,11.05367793,11.06248906,10.66216009,10.80054274,10.66185319,10.54223374,10.22270185,9.853060489,9.379448957,8.840169731,8.277504838,7.716927454
Guinea,9.139375476,9.351011863,10.26131294,9.763142692,9.880395216,9.930486594,9.982638889,9.862385321,9.970482125,10.1754386,10.39961483,10.58050383,10.56751468,10.47960403,10.52552553,10.67093504,10.55781661,10.22419582,9.783575452,9.334666424,8.924658689
Guinea-Bissau,9.433962264,8.741258741,9.570957096,9.240924092,12.45901639,9.090909091,9.241706161,7.75862069,12.23300971,10.50847458,9.574468085,9.703504043,9.975961538,10.38543897,10.49085659,10.55363322,10.57165231,10.34975018,10.20274689,9.873570138,9.547738693
Guyana,9.174311927,8.835341365,8.965517241,10.21671827,11.20448179,12.06434316,12.72264631,11.98979592,11.42857143,11.34020619,10.56701031,8.847184987,9.485094851,10.56910569,9.56284153,7.843137255,7.471264368,7.374631268,7.430340557,7.333333333,6.810035842
Haiti,9.933373713,10.2006689,9.949238579,9.258406264,10.15461763,10.49808429,10.62283737,10.18204258,9.722222222,10.3569633,11.54021938,11.14609572,10.71220648,10.37344398,9.790681972,9.435458294,9.12364946,8.809251856,8.441647284,7.997364954,7.567636549
Honduras,9.986504723,9.624413146,9.365558912,9.674657534,10.61285501,10.80906149,10.95132743,11.10056926,10.81081081,11.04338473,11.22514432,11.23335263,11.18110236,10.50370017,9.732573433,9.340659341,8.919022154,8.437443418,7.880152407,7.301216869,6.735583912
"Hong Kong, China",10.30176899,6.688687036,4.879679144,9.829763866,10.53175013,11.92917055,11.23548922,8.560606061,7.473948976,7.005758157,6.558328497,5.734966592,6.016653237,4.658305605,2.990196078,3.468617272,4.00366049,3.976764969,3.883282141,3.681247293,3.523850451
Hungary,7.857290163,7.145669291,7.218889104,7.550047664,8.48666917,7.12045748,5.670289855,6.24885803,7.146834973,7.508342603,6.128550075,5.857898715,5.572519084,4.725168756,4.609375,4.832640127,4.868235767,4.796064767,4.719148048,4.613095238,4.558219918
Iceland,8.333333333,7.692307692,8.045977011,9.473684211,9.900990099,10.37735849,9.90990991,9.166666667,8.064516129,7.633587786,7.194244604,7.382550336,7.547169811,6.586826347,6.25,6.557377049,6.382978723,6.25,5.699481865,5.670103093,5.102040816
India,10.28967508,10.02669755,9.256948648,9.310323082,10.64398992,10.5578107,10.3405707,10.13976425,10.06241926,10.18287814,10.13789917,10.00971514,9.854307929,9.33306329,8.916941239,8.392530398,7.99215721,7.533380315,7.02207183,6.493973299,6.097791631
Indonesia,10.83590535,10.95825427,10.20259562,9.260077199,9.568862275,10.34340785,10.57447682,10.77493053,10.77752291,10.52295718,10.17806497,9.310190798,8.645399511,8.176336988,8.034166582,7.546327474,6.946521242,6.356978686,6.133115043,6.044635395,5.948506694
Iran,9.197886647,8.964122219,9.217929482,10.28412347,10.52668888,10.43302257,10.39454508,10.1357658,10.45286036,12.06005495,13.60177745,13.05713216,9.565594193,6.49526387,6.891800425,7.442863103,7.336694678,6.787586177,5.878487238,5.468424994,5.530732009
Iraq,9.354275742,8.997584541,8.97367007,8.259033318,11.7447657,9.716324104,10.12216405,11.38457655,11.36642499,11.27192562,10.65379265,10.47653171,10.59262116,11.05652493,10.45385779,9.962764508,9.362425851,8.98313511,8.71654328,8.397354533,7.964489938
Ireland,7.956104252,7.745504841,8.085106383,8.817354794,8.565601632,9.005037783,9.289940828,9.080590238,9.215017065,9.080902587,8.315899582,7.016706444,6.072520751,5.744768158,6.196414653,6.572068708,6.36232926,5.729166667,5.234899329,5.042290176,5.177890724
Israel,8.538587849,7.77262181,7.514450867,10.01577287,10.29207232,9.128878282,8.39086564,8.560311284,9.171075838,8.850532501,8.314387788,7.933688573,7.57493188,7.884028484,7.997118156,7.844925884,7.316543639,6.878636741,6.62,6.507844277,6.396226415
Italy,8.420875704,8.141979301,7.186544343,7.655448234,6.793993293,6.995841263,7.691777517,7.738806735,7.355343771,6.018549861,5.050676248,4.621347645,4.571095118,4.399922695,4.623847274,4.741407422,4.421634426,4.106087765,4.035122998,4.110888942,4.29028155
Jamaica,9.861111111,9.331651955,9.090909091,9.912854031,8.872651357,11.38132296,11.55268022,11.91709845,10.80631754,9.76,9.677419355,9.324522761,10.11477762,9.563994374,8.298755187,7.923497268,7.749830048,7.592339261,7.266435986,6.7748765,6.395348837
Japan,10.06682781,9.421841542,9.691908648,10.85732604,8.608922898,6.881162795,6.796198308,7.085115727,7.845636621,6.567939075,5.683608837,4.916324404,4.52397029,4.470966545,4.342233238,4.090493968,3.828632514,3.63904473,3.612133965,3.680177639,3.77429918
Jordan,10.0877193,10.59190031,10.87962963,10.26119403,9.783989835,9.62962963,11.00746269,11.36890951,11.56069364,11.64150024,11.18224499,10.95079541,10.45958796,9.952885748,9.380097879,9.404942007,8.906213088,8.087578195,7.471264368,6.979591837,6.564163217
Kazakhstan,7.743426755,12.27349601,6.966422231,7.520259319,9.227373068,10.57810578,10.11119731,8.620056324,8.258064516,8.639125152,8.954265159,9.769318039,8.136578278,6.112669472,6.458949284,7.859774478,7.626184704,6.955194593,6.154178363,5.731458624,5.77687104
Kenya,10.18918022,9.161624892,8.217821782,9.448653199,10.51791415,10.59710316,10.63334558,10.65922921,11.03078755,11.44119991,11.84710953,11.75913019,10.58144088,10.30927835,10.74647562,11.38627656,11.10687871,10.42000175,9.819892473,9.492704658,9.287038993
"Korea, Dem. Rep.",12.4692526,13.74782777,12.4073755,10.24767802,6.363390198,9.718360933,9.506047248,11.53926483,10.26963886,6.688963211,7.831169948,7.623994638,8.27910042,7.466926386,6.34996801,5.881424173,5.913683716,6.125957181,6.072715875,5.749940763,5.431565475
"Korea, Rep.",10.03941091,10.72775264,9.070548712,9.049068895,9.797792945,11.70920877,10.97626176,10.31452131,10.13378082,8.471306143,7.816387816,6.235421526,6.746987952,6.125161082,4.668078814,4.292324876,4.215756993,4.116478079,4.100633095,4.056354814,3.970004411
Kuwait,11.29032258,10.25641026,8.571428571,8.743169399,8.923076923,9.210526316,9.572649573,9.798657718,9.837837838,8.588064047,8.581235698,8.480894688,7.922392886,7.841726619,7.737321196,7.875894988,7.335907336,6.711065574,6.279961649,6.057866184,6.056701031
Kyrgyzstan,9.340659341,10.08991009,5.789473684,6.755753526,9.190938511,10.53864169,10.84981293,9.350775194,9.54079358,9.605488851,10.35444046,11.02719033,10.14234875,8.711738984,7.726835524,8.480346642,8.348402652,7.640117994,6.759501015,6.137080585,6.128293242
Laos,9.822485207,9.563409563,9.62962963,10.23947151,10.63829787,10.19480519,10.31307551,10.59530311,10.74655254,10.30328209,10.55164754,11.38211382,11.63512256,11.38952164,9.426551453,9.236363636,9.109449354,9.04232578,8.715969118,8.09080326,7.518656716
Latvia,7.706255666,8.060230292,7.142857143,6.290322581,6.167056987,6.857573474,6.715867159,5.886575736,6.236860547,6.035767511,6.697819315,7.431340872,5.385252693,3.901611535,4.173913043,4.838709677,5.243790248,5.313092979,4.98046875,4.404404404,4.209445585
Lebanon,9.90237099,9.215442092,8.226495726,8.47145488,9.98349835,11.09478325,11.04775481,10.67301156,10.22280472,9.644670051,9.298701299,8.973128599,8.852005533,8.539823009,6.962836395,6.446280992,6.451612903,6.42602142,6.31372549,6.008583691,5.653021442
Lesotho,9.511568123,9.761904762,10.10989011,10.53677932,10.27027027,10.33925687,10.32998565,10.39290241,10.69767442,11.29207383,11.72962227,11.80358829,11.46496815,11.42355009,10.97770154,10.7472712,10.70840198,10.47928513,10.16813451,9.769658459,9.411764706
Liberia,10.07194245,9.978308026,9.701492537,9.28,9.24137931,10.86956522,11.14551084,10.59661621,9.571558797,10.47812818,10.58906031,10.5952381,10.56713524,10.67919692,10.6302202,10.52452316,10.37037037,10.03665069,9.617884066,9.198454853,8.809577592
Libya,10.64257028,10.34482759,9.893455099,9.627727856,10.22128556,10.00862813,10.09110021,10.97560976,12.31813773,12.82051282,13.39320578,10.07017544,8.428030303,8.3141542,8.666666667,8.812452925,8.464849354,7.52516011,6.466462078,5.800464037,5.751125665
Lithuania,9.019886364,8.607417775,8.189081225,6.805293006,6.906906907,7.8465063,7.918050941,7.146666667,6.923076923,6.517205422,6.874328679,7.346491228,6.477732794,5.042016807,4.261890056,4.505076142,4.827136334,4.969778375,4.98960499,4.721030043,4.4411547
Luxembourg,7.432432432,6.578947368,6.289308176,6.586826347,6.976744186,7.222222222,7.486631016,6.806282723,5.670103093,5.288461538,5.381165919,5.531914894,6.072874494,6.106870229,5.434782609,5.172413793,5.211726384,5.263157895,5.637982196,5.714285714,5.464480874
"Macao, China",10.22727273,6.896551724,6.818181818,10.47619048,15.32258065,14.4,11.47540984,9.150326797,6.806282723,5.714285714,7.826086957,8.62745098,6.993006993,4.347826087,3.236245955,3.761755486,3.975535168,3.951367781,3.647416413,3.363914373,3.105590062
"Macedonia, FYR",10.44045677,9.495548961,8.720930233,10.08174387,10.33591731,9.770808203,9.255079007,8.681318681,8.088235294,8.256880734,8.051689861,7.662082515,7.212475634,6.243902439,5.463414634,5.093046033,5.148514851,5.220883534,5.133470226,4.921465969,4.731182796
