PC per 100,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Colombia,,,0.88,1.05,1.32,1.63,2.34,3.04,3.19,3.38,3.56,3.62,3.68,3.77,3.91,4.15,5.38
Comoros,,,,,,0.03,,,0.23,0.29,0.43,0.56,0.57,0.61,0.64,0.68,
"Congo, Rep.",,,,,,,,,0.28,0.3,0.32,0.34,0.36,0.4,0.44,0.48,
Costa Rica,,,,,,,,6.84,8,10.42,15.27,17.44,19.94,21.79,21.87,23.11,
Cote d'Ivoire,,,,,,,0.13,0.32,0.41,0.49,0.54,0.69,0.89,1.14,1.47,1.78,
Croatia,,1.54,1.63,1.73,1.82,2.14,3.22,4.33,5.47,6.62,11.08,13.78,16.87,17.69,,,
Cuba,,,,,,,,0.55,0.63,0.99,1.21,1.97,2.23,2.41,2.67,3.35,3.54
Cyprus,0.73,1.45,2.15,2.82,3.47,4.79,6.74,9.96,11.77,16.76,19.08,21.34,23.92,26.82,30.15,33.4,38.36
Czech Rep.,1.16,1.45,2.42,2.91,4.36,5.32,6.78,8.24,9.71,10.7,12.17,14.63,17.57,20.51,23.95,27.4,
"Congo, Dem. Rep.",,,,,,,,,,,,0.01,0.02,0.02,0.02,0.02,
Denmark,11.48,13.39,15.48,17.93,19.21,26.78,30.48,36.04,37.77,45.13,50.57,54.1,57.63,61.4,65.44,69.46,72.75
Djibouti,0.18,,,,,0.66,0.72,0.77,0.82,0.87,0.91,0.95,1.33,1.9,2.18,2.4,
Dominica,,,,,,,,,,6.46,7.07,7.69,8.95,12.13,16.55,,
Dominican Rep.,,,,,,,,,,,,2.03,2.11,2.2,2.28,2.31,3
Ecuador,,0.19,0.37,0.64,0.98,1.32,1.51,1.7,1.88,2.06,2.23,2.4,3.18,4.2,5.55,6.55,12.74
Egypt,,,,,0.32,0.41,0.56,0.71,0.93,1.14,1.19,1.46,1.6,2.81,3.17,3.65,4.19
El Salvador,,,,,,,,,,1.62,1.91,2.19,2.45,3.31,4.44,5.09,
Equatorial Guinea,,,,,,,,,0.23,0.23,0.45,0.54,0.74,1.04,1.42,1.79,
Eritrea,,,,,,,,,,0.16,0.17,0.19,0.26,0.3,0.35,0.57,0.66
Estonia,,,,,,,7.02,9.96,11.87,14.15,16.09,18.43,21.14,44.36,46.44,48.88,51.32
Ethiopia,,,,,,,,,0.05,0.07,0.09,0.11,0.14,0.2,0.3,0.39,0.55
Faeroe Islands,,,,,6.74,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,18.18,18.09,18.03,18.01,29.46,29.41,
Fiji,,,,,,,,,4.03,4.24,4.44,4.64,4.84,5.04,5.23,5.9,
Finland,10.03,11.38,12.91,14.23,15.93,23.49,27.31,31.13,34.94,36.02,39.6,42.39,44.19,46.07,48.04,50.01,
France,7.05,7.36,10.81,11.62,13.46,14.6,16.08,19.23,23.04,26.55,30.23,32.77,34.64,41.66,49.79,57.86,65.87
French Polynesia,,,,,,,,,,,6.35,6.66,7.36,8.04,9.89,10.91,
Gabon,,,,0.09,0.28,0.54,0.61,0.72,0.82,0.88,0.94,1.54,1.89,2.24,2.94,3.25,3.34
Gambia,,,,,0.03,0.06,0.17,0.25,0.32,0.78,1.14,1.25,1.36,1.46,1.56,1.65,2.02
Georgia,,,,,,,,,,2.09,2.37,3.06,3.38,3.77,4.25,4.7,
Germany,8.18,9.39,10.94,12.61,15.13,17.88,20.87,23.88,27.86,29.66,33.57,37.99,43.15,48.44,54.45,60.47,65.28
Ghana,,,0.03,0.06,0.09,0.11,0.14,0.16,0.21,0.26,0.3,0.34,0.4,0.45,0.52,0.58,
Greece,1.72,1.95,2.22,2.53,2.84,3.28,3.44,4.35,5.06,5.86,6.83,7.81,8.15,8.51,8.88,9.17,9.38
Greenland,,,,,,10.76,,,,,,,,,,,
Grenada,,,,,,,,,9.91,10.86,11.81,12.78,13.75,14.72,15.65,,
Guatemala,,,,0.1,0.21,0.3,0.49,0.67,0.84,1.01,1.16,1.31,1.48,1.67,2.03,2.08,
Guinea,,,,,,0.13,0.19,0.25,0.31,0.32,0.34,0.37,0.48,0.48,0.48,0.48,
Guinea-Bissau,,,,,,,,,,,,0.18,0.21,0.2,0.19,0.19,
Guyana,,,,,,,,,2.71,2.83,2.96,3.08,3.21,3.47,3.6,3.86,
Haiti,,,,,,,,,,,,0.16,0.17,0.18,0.19,0.19,
Honduras,,,,,,,,0.34,0.82,0.96,1.09,1.22,1.35,1.45,1.56,1.43,1.64
Hungary,0.96,1.16,1.93,2.71,3.39,3.87,4.36,5.73,6.42,7.32,8.51,9.31,10.81,12.55,14.58,14.42,18.32
Iceland,3.92,7.77,11.54,13.34,16.99,20.56,25.91,29.31,32.64,35.91,39.11,42.25,45.35,46.31,47.27,48.21,53.85
India,0.03,0.04,0.05,0.06,0.09,0.13,0.16,0.21,0.27,0.33,0.45,0.58,0.71,0.88,1.2,1.54,2.76
Indonesia,0.11,0.14,0.2,0.27,0.37,0.5,0.66,0.8,0.83,0.92,1,1.09,1.17,1.27,1.37,1.47,2
Iran,,,,,1.3,2.41,3.16,3.9,4.62,5.33,6.03,6.72,7.25,8.8,10.68,,10.53
Iraq,,,,,,,,,,,,,0.75,,,,
Ireland,8.54,10.22,11.6,13.5,15.64,18.29,20.89,23.98,27.25,31.47,35.78,38.83,42.06,45.52,49.29,52.99,58.91
Israel,6.65,7.51,8.28,8.97,10.58,13.96,16.27,19.37,20.63,22.85,26.13,25.74,25.37,25.02,,,
Italy,3.7,4.58,5.45,6.13,7.17,8.38,9.23,11.31,13.2,15.62,17.85,19.55,22.5,26.71,31.28,36.99,
Jamaica,,,,,0.35,0.52,0.8,1.98,3.92,4.28,4.64,5,5.39,5.82,6.29,6.75,
Japan,5.99,6.53,6.91,7.78,9.19,12.03,16.21,20.22,23.72,28.64,31.49,35.82,38.19,40.72,,,
Jordan,,,,,0.73,0.82,0.9,1.09,1.63,1.86,3.02,3.32,3.8,4.53,5.39,6.23,6.34
Kenya,0.03,0.04,0.05,0.05,0.06,0.07,0.18,0.26,0.34,0.42,0.49,0.56,0.64,0.92,1.18,1.44,
Kiribati,,,,,,,,,0.7,0.8,0.89,0.98,1.07,1.05,1.03,,
"Korea, Rep.",3.72,4.54,5.72,6.91,8.69,10.79,13.88,15.14,17.92,24.81,39.79,47.82,49.72,51.09,52.17,53.72,54.44
Kuwait,0.42,1.34,2.68,3.79,4.89,5.6,7.24,8.24,9.72,10.96,11.21,11.62,11.69,15.84,17.27,22.33,
Kyrgyzstan,,,,,,,,,,,0.52,1.27,1.27,1.46,1.67,1.9,
Laos,,,,,,,0.1,0.16,0.2,0.23,0.27,0.3,0.33,0.35,0.38,1.69,
Latvia,,,,,0.31,0.8,2.03,4.11,6.22,8.37,14.33,15.28,17.07,18.71,21.61,24.53,32.59
Lebanon,,,,,1.29,1.57,2.31,3.04,3.75,4.46,5.15,7.28,8.65,9.99,11.3,11.45,11.62
Lesotho,,,,,,,,,,,,0.06,0.19,0.22,0.27,0.28,
Libya,,,,,,,,,,,,2.4,2.36,2.31,2.26,2.22,
Lithuania,,,,,0.55,0.66,2.78,3.5,5.64,6.25,6.86,7.47,10.96,13.03,15.48,17.95,18.13
Luxembourg,,,,,,,37.7,38.35,38.99,39.61,45.95,52.13,59.26,61.8,62.09,62.38,67.54
Madagascar,,,,,,,,0.14,0.16,0.19,0.22,0.24,0.41,0.45,0.5,0.55,
Malawi,,,,,,,,,0.07,0.09,0.1,0.11,0.12,0.13,0.16,0.19,
Malaysia,0.84,1.26,2.18,2.59,3.23,3,3.64,4.81,6.19,8.01,9.57,12.77,15.02,17.19,19.68,22.09,23.41
Maldives,,,,,,1.19,1.54,1.87,2.18,2.66,3.45,5.03,6.54,8.62,11.21,13.67,20.08
Mali,,,,,,0.03,0.05,0.07,0.08,0.1,0.11,0.12,0.16,0.27,0.34,0.44,0.57
Malta,1.39,2.75,4.09,5.39,6.68,7.94,10.5,13.02,15.51,17.98,20.42,22.84,,,,,
Marshall Islands,,0.01,0.02,0.02,0.02,0.03,0.04,0.98,1.96,2.92,3.84,4.68,5.43,6.96,8.37,,
Mauritania,,,,,,,0.55,0.58,0.6,0.78,0.95,0.99,1.03,1.21,1.41,2.56,4.4
Mauritius,0.38,1.03,1.39,1.37,1.8,3.2,5.27,7.83,8.61,9.37,10.12,10.85,14.88,15.55,16.22,16.87,17.52
Mexico,0.81,1.05,1.48,1.79,2.31,2.59,3.08,3.35,3.6,4.36,5.69,6.8,8.11,9.58,10.61,13.08,13.85
"Micronesia, Fed. Sts.",,,,,,,,,,,,1.3,1.85,2.76,4.56,5.43,
Monaco,,,,,,,,,,,23.97,26.67,29.31,34.8,40.16,42.55,45.07
Mongolia,,,,,,0.31,0.41,0.54,0.74,0.97,1.28,1.66,2.7,7.36,11.93,12.85,13.44
Morocco,,,,0.23,0.26,0.31,0.36,0.47,0.71,1.04,1.2,1.35,1.66,1.96,2,2.37,2.99
Mozambique,,,,,,,0.09,0.18,0.23,0.29,0.33,0.38,0.44,0.5,0.58,1.43,
Myanmar,,,,,,,,,,0.11,0.21,0.31,0.51,0.61,0.65,0.79,0.88
Namibia,,,,,,,1.17,1.71,2.21,2.7,3.96,5.33,6.79,9.62,10.95,12.26,19.49
Nepal,,,,0.05,0.07,0.12,0.16,0.2,0.21,0.25,0.29,0.32,0.33,0.38,0.44,0.49,
Netherlands,9.36,11.29,13.2,14.42,16.93,20.05,23.15,28.13,32.43,36.05,39.63,43.17,47.04,51.26,68.47,85.54,91.22
New Caledonia,,,,,,,,,,,,6.37,9.82,13.14,15.05,16.89,
New Zealand,,9.63,11.69,14.32,17.99,21.87,24.36,26.83,29.3,33.03,36.14,38.89,41.79,44.88,48.23,51.56,54.15
Nicaragua,,,,0.7,0.8,1.01,1.2,1.61,1.89,2.06,2.42,2.57,2.91,3.28,3.72,4.01,
Niger,,,,,,,,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,
Nigeria,,,,0.41,0.43,0.48,0.52,0.55,0.58,0.61,0.64,0.66,0.69,0.68,0.67,0.91,
Norway,,14.55,16.27,18.94,22.99,27.37,31.73,35.98,40.49,44.7,48.87,50.79,52.83,54.97,57.2,59.41,63.13
West Bank and Gaza,,,,,,,,,,,,3.28,3.71,4.11,4.71,5.27,
Oman,0.16,0.21,0.3,0.78,0.8,0.92,1.12,1.52,2.12,2.71,3.28,3.44,3.81,4.22,4.66,5.06,6.89
Pakistan,0.13,0.17,0.21,0.25,0.28,0.36,0.36,0.36,0.41,0.42,0.41,0.41,0.46,,,,
Panama,,,,,,,,,2.64,3.11,3.56,3.66,3.75,3.85,4.09,4.56,
Papua New Guinea,,,,,,,,,3.96,4.64,5.28,5.54,5.8,6.06,6.36,6.64,
Paraguay,,,,,,,,,0.96,1.12,1.28,2.68,3.48,4.54,5.92,7.47,
Peru,,,,,,1.47,1.86,2.31,2.99,3.52,4.05,4.74,5.23,6.63,8.34,10.01,
Philippines,0.34,0.42,0.52,0.63,0.79,0.96,1.16,1.36,1.51,1.7,1.95,2.2,2.8,3.55,4.51,5.44,7.46
Poland,0.79,0.97,1.3,1.77,2.21,2.85,3.11,3.88,4.91,6.21,6.91,8.54,10.56,14.2,11.72,13.88,16.77
Portugal,2.6,3.01,3.51,4,4.3,5.48,6.66,7.33,7.99,9.14,10.27,11.77,13.49,13.46,13.43,15.31,16.3
Puerto Rico,,,,,,,,,,,,0.7,0.75,0.79,0.84,0.83,
Qatar,,,,,4.85,5.71,6.53,10.97,12.5,13.81,14.84,15.57,16.03,16.5,17.12,17.84,18.71
Moldova,,,,,,0.21,0.25,0.39,0.65,0.82,1.49,1.64,1.81,2.01,2.66,8.27,10.11
Romania,0.22,0.43,0.65,0.87,1.1,1.32,1.55,1.78,2.15,2.7,3.22,3.63,8.2,9.6,11.24,12.9,14.79
Russia,0.34,0.44,0.64,0.79,1.15,1.75,2.37,2.98,3.46,3.74,6.35,7.54,8.95,8.99,10.42,12.15,13.33
Rwanda,,,,,,,,,,,,0.12,0.12,0.14,0.17,0.21,0.3
Saint Kitts and Nevis,,,,,,,,,12.44,14.9,17.3,19.62,21.85,24,26.07,,
Saint Lucia,,,,0.04,0.06,,,,13.15,13.7,14.24,14.77,15.29,15.8,16.3,,
Saint Vincent and the Grenadines,,,,,,,,,8.71,9.54,10.35,11.15,11.95,12.73,13.51,13.86,
Samoa,,,,,,0.06,0.18,0.29,0.46,0.51,0.56,0.61,0.66,1.1,1.52,1.89,2.34
San Marino,,,,,,,,,,71.14,75.89,75.33,74.81,79.91,86.06,86.74,90.56
Sao Tome and Principe,,,,,,,,,,,,0.98,1.37,2.01,3.27,3.83,
Saudi Arabia,2.32,2.42,2.42,2.42,2.96,3.48,3.91,4.31,4.93,5.74,6.05,10.41,10.57,11.15,11.69,12.82,13.89
Senegal,0.23,0.3,0.37,0.44,0.51,0.66,0.85,1.04,1.22,1.39,1.55,1.7,1.84,1.98,2.13,2.14,
Serbia,,,,,,,,,,,,,,,,,16.19
Seychelles,,,,,,,,,12.44,13.03,14.25,15.43,16.58,17.69,18.77,19.84,20.91
Singapore,6.63,7.43,9.43,10.69,14.82,20.13,26.48,33.49,37.99,43.33,48.31,51.26,55.97,60.19,64.36,68.43,72.61
Slovak Republic,,,,,2.81,4.1,4.65,6.96,8.72,10.93,13.7,14.81,18.7,23.51,29.49,35.72,42.96
Slovenia,,3.36,4.37,5.12,7.66,10.18,12.71,19.05,21.34,25.42,27.86,27.96,30.5,33.04,35.79,41.08,41.51
Solomon Islands,,,,,,,,2.34,2.53,3.44,3.82,3.95,4.07,4.19,4.29,4.6,
Somalia,,,,,,,,,,,,0.07,0.2,0.32,0.63,0.91,
South Africa,0.68,0.88,1.13,1.4,2.14,2.63,3.34,4.13,5.19,5.78,6.36,6.72,7.09,7.49,7.92,8.36,
Spain,2.8,3.3,3.79,4.28,4.77,6.01,7.75,9.47,10.69,11.87,17.19,21.89,19.16,22.18,25.69,27.87,36.88
Sri Lanka,0.02,0.03,0.05,0.07,0.09,0.11,0.31,0.39,0.46,0.53,0.68,0.87,1.24,1.59,2.57,3.54,
Sudan,,,,,0.02,0.03,0.07,0.1,0.17,0.26,0.3,0.34,0.58,1,1.71,8.97,11.45
Suriname,,,,,,,,,,,,4.57,4.54,4.51,4.48,4.45,
Swaziland,,,,,,,,,,,1.17,1.55,2.42,2.9,3.48,4.07,4.08
Sweden,10.52,12.77,13.83,14.88,18.21,24.92,29.38,33.86,39.5,45.12,50.69,56.17,62.2,68.83,76.17,83.48,88.2
Switzerland,8.78,10.9,13.02,17.28,22.95,28.56,34.11,39.59,42.21,46.22,65.57,68.7,71.57,75.15,84.33,88.66,88.3
Syria,,,,,0.56,0.68,0.86,1.09,1.25,1.4,1.49,1.57,1.87,2.76,3.23,4.2,6.66
Tajikistan,,,,,,,,,,,,,,,0.25,1.3,
Thailand,0.42,0.54,0.8,1,1.18,1.39,1.69,2.01,2.16,2.27,2.79,3.23,3.93,4.79,5.83,6.86,
"Macedonia, FYR",,,,,,,,,,,,3.57,4.65,5.82,6.89,22.17,26.51
Togo,,,,,,0.33,0.43,0.52,0.6,0.96,1.86,2.17,2.64,2.74,2.86,3.01,
Tokelau,,,,,,,,0.86,,,,,,0.36,5.09,,
Tonga,,,,,,,,0.61,0.81,1.1,1.3,1.39,1.98,2.95,4.9,5.86,
Trinidad and Tobago,,0.41,0.81,1.21,1.6,1.99,2.76,3.93,4.7,5.47,6.23,6.98,6.96,7.94,8.91,9.88,17.42
Tunisia,0.26,0.29,0.35,0.41,,,,1.39,1.65,2.08,2.17,2.64,3.43,4.11,4.72,5.62,6.22
Turkey,0.52,0.65,0.88,1.13,1.28,1.47,1.73,2,2.57,3.28,3.66,3.9,4.27,4.68,5.13,5.56,5.93
Turkmenistan,,,,,,,,,,,,1.53,1.66,1.81,2.35,7.2,
Tuvalu,,,,,,,,,,,,1.07,1.75,2.51,4.04,8.05,
Uganda,,,,,,0.05,0.09,0.14,0.18,0.23,0.25,0.28,0.32,0.38,0.43,1.04,1.67
Ukraine,0.19,0.27,0.38,0.58,0.7,0.83,1,1.18,1.41,1.61,1.81,1.89,1.98,2.36,2.82,3.89,4.61
United Arab Emirates,,,2.89,3.56,4.16,4.73,6.23,7.38,8.73,9.87,12.32,12.04,11.98,16.12,19.84,23.36,30.06
United Kingdom,10.92,12.65,14.71,16.76,17.22,20.46,21.95,24.28,27.29,30.79,34.41,37.37,40.58,44.06,60.34,76.52,81.21
Tanzania,,,,,,,,0.15,0.17,0.24,0.29,0.34,0.4,0.54,0.74,0.93,
United States,21.21,22.85,24.71,26.61,29.06,32.01,35.45,39.57,44.55,50.13,56.66,62.02,,,75.76,77.26,79.89
Virgin Islands (U.S.),,,,,,,,,,,,2.34,2.69,2.69,2.68,2.68,
Uruguay,,,,,,2.18,3.7,6.12,9.11,9.95,10.47,10.99,11.5,12,12.5,12.99,
Uzbekistan,,,,,,,,,,,,,,1.58,2.2,2.82,3.08
Vanuatu,,,,,,,,0.72,0.82,1.07,1.25,1.33,1.51,1.48,1.45,1.42,
Venezuela,1.01,1.24,1.45,1.89,2.31,2.72,3.1,3.48,3.83,4.18,4.5,5.22,6.06,7.03,8.16,9.25,
Vietnam,,,0.01,0.03,0.07,0.14,0.27,0.4,0.52,0.64,0.76,0.88,0.99,1.96,3.99,6.9,9.51
"Yemen, Rep.",,,,,,,0.09,0.12,0.15,0.17,0.2,0.2,0.76,1.02,1.48,1.91,2.77
Zambia,,,,,,,,,0.58,0.62,0.65,0.69,0.72,0.84,0.98,1.12,
Zimbabwe,0.02,0.05,0.12,0.16,0.19,0.28,0.67,0.9,1.05,1.2,1.55,1.58,4.69,4.82,5.41,6.53,6.61
