Crude birth rate (births per 1000 population),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Chile,36.094,38.832,37.662,31.32,27.319,22.949,23.339,23.553,21.842,18.007,15.729,15.04,14.47,13.731,13.097,12.368,11.743,11.335,11.101,10.923
China,43.768,36.065,37.951,36.924,28.583,21.534,21.524,23.724,18.933,15.898,13.968,13.536,13.665,12.968,11.576,10.568,10.208,10.253,10.22,9.923
"Hong Kong, China",37.7,36.3,33.14,23.49,19.5,17.219,15.658,12.84,12.35,9.974,8.446,8.165,7.496,7.318,6.988,6.413,6.002,6.152,6.649,7.065
"Macao, China",37.7,30.29,31.62,20.42,20.09,17.1,24.84,22.04,16.909,10.897,7.491,8.28,8.625,8.488,7.711,6.639,6.026,6.103,6.514,6.851
Colombia,47.113,45.108,43.875,40.747,34.593,32.887,30.3,28.106,26.338,23.969,21.987,20.605,18.951,17.603,16.346,15.209,14.195,13.288,12.642,12.241
Comoros,46.76,48.847,48.015,46.8,46.764,47.906,48.639,39.554,35.145,33.252,33.119,32.746,29.419,25.699,23.105,21.728,20.857,19.694,18.117,16.549
"Congo, Rep.",42.241,42.319,42.812,43.15,42.956,42.521,40.731,38.751,37.594,35.951,36.409,34.744,31.897,29.268,26.699,24.474,22.625,21.003,19.544,18.171
Costa Rica,44.622,45.09,44.32,36.245,30.481,30.089,29.95,28.877,24.681,21.435,19.112,16.643,16.298,14.978,14.074,13.152,12.43,11.907,11.513,11.193
Cote d'Ivoire,51.152,52.646,53.189,52.989,52.025,50.265,46.699,42.772,39.87,37.616,37.083,35.127,32.759,30.053,27.599,25.499,23.635,21.905,20.275,18.776
Croatia,22.61,19.64,17.59,15.9,14.96,15.55,14.7,13.13,10.67,10.469,9.192,9.556,9.746,9.592,9.308,9.015,8.88,9.042,9.36,9.603
Cuba,31.602,28.391,35.437,31.543,26.454,17.375,16.502,17.584,15.247,13.104,12.047,10.499,10.178,9.884,9.492,8.927,8.418,8.099,7.9,7.775
Cyprus,27.4,27.3,25.2,21,18,18.95,20.984,19.464,17.527,14.008,11.969,11.514,11.772,11.97,11.742,11.171,10.563,10.426,10.704,10.89
Czech Rep.,19.386,15.578,14.644,14.35,17.462,17.483,13.669,12.724,11.657,8.686,8.962,10.564,10.723,10.106,9.392,8.856,8.954,9.621,10.267,10.37
"Korea, Dem. Rep.",23.8,36.154,32.768,36.856,30.182,19.016,21.58,20.039,20.963,18.141,15.118,13.812,13.693,13.941,13.542,12.552,11.627,11.238,11.302,11.399
"Congo, Dem. Rep.",47.209,47.185,47.334,47.5,47.65,48.083,49.162,50.194,50.676,49.969,48.323,45.058,42.459,39.508,35.974,32.339,29.047,26.255,23.792,21.494
Denmark,17.9,16.82,17.17,16.27,14.64,12.31,10.31,11.33,12.95,12.648,12.015,11.546,10.776,10.71,11.076,11.257,11.058,10.703,10.425,10.372
Djibouti,50.047,50.743,51.209,50.248,47.751,45.19,44.048,43.166,40.214,34.595,31.397,28.687,26.543,24.868,23.225,21.424,19.684,18.279,17.214,16.357
Dominican Rep.,52.793,52.748,49.844,44.789,39.503,35.333,33.284,31.011,28.769,25.825,24.318,22.719,20.868,19.182,17.736,16.509,15.419,14.412,13.525,12.763
Eastern Africa,49.728,49.226,49.042,48.636,48.178,47.824,46.782,45.996,44.229,42.391,40.95,39.593,37.161,34.191,31.286,28.71,26.488,24.514,22.632,20.824
Eastern Asia,40.742,34.174,35.496,34.625,27.637,20.907,20.625,22.187,18.039,15.28,13.425,12.957,13.012,12.374,11.147,10.248,9.917,9.949,9.924,9.674
Eastern Europe,25.826,23.999,19.445,15.625,16.234,16.561,16.488,15.578,11.465,9.31,9.505,10.391,10.739,10.295,9.428,8.799,8.877,9.466,9.948,10.009
Ecuador,45.55,44.726,44.059,42.789,40.587,38.174,34.762,30.918,27.519,25.588,23.185,20.989,19.322,18.009,16.708,15.503,14.378,13.416,12.603,12.126
Egypt,47.734,47.268,44.364,41.818,39.409,39.939,38.97,37.688,29.157,26.873,25.739,24.83,23.232,20.9,18.876,17.563,16.664,15.748,14.651,13.539
El Salvador,46.827,47.974,47.535,44.441,41.914,39.822,36.035,32.752,30.366,27.427,21.856,20.377,20.042,19.402,18.51,16.705,15.197,14.093,13.347,12.875
Equatorial Guinea,40.882,40.448,40.119,40.644,36.778,32.906,43.301,49.71,46.663,42.382,39.125,38.027,37.419,35.472,32.338,29.448,27.191,25.467,23.886,22.225
Eritrea,48.36,49.15,48.5,47.61,46.05,45.05,42.366,41.136,39.787,38.073,38.532,37.283,33.566,29.278,25.824,23.747,22.616,21.629,20.228,18.489
Estonia,17.25,16.73,15.78,14.82,15.41,15,15.364,15.616,11.187,9.143,9.773,11.766,12.673,12.325,11.203,9.942,9.682,10.486,11.31,11.434
Ethiopia,49.383,47.919,48.047,47.67,46.83,46.158,47.167,48.003,47.562,44.117,40.563,38.558,35.739,32.775,29.794,26.955,24.392,22.238,20.287,18.429
EUROPE,21.452,20.731,19.145,16.778,15.68,14.804,14.404,13.698,11.513,10.204,10.165,10.478,10.419,10.096,9.616,9.27,9.288,9.573,9.798,9.841
Fiji,46.3,46.7,42,36.53,32.53,33.16,31.93,29.56,27.5,25.523,23.146,21.11,19.654,18.415,17.365,16.528,15.529,14.304,13.186,12.282
Finland,22.82,19.92,18.06,16.02,13.06,13.67,13.41,12.59,12.94,11.497,10.962,11.127,11.213,11.113,10.883,10.539,10.251,10.24,10.395,10.498
France,18.857,18.293,18.297,16.868,16.077,13.816,14.182,13.676,12.731,12.653,12.858,12.21,11.383,10.969,10.653,10.531,10.609,10.619,10.443,10.224
French Guiana,36.37,32.61,30.42,30.47,29.58,25.78,28.62,30.16,32.55,30,28.094,25.229,22.951,21.645,20.515,19.207,17.77,16.416,15.343,14.517
French Polynesia,43.29,44.77,44.34,43.85,36.24,32.04,30.47,29.8,25.41,21.372,19.167,18.075,17.272,15.995,14.649,13.507,12.734,12.412,12.064,11.625
Gabon,30.539,30.114,31.331,32.443,35.405,37.465,38.43,38.126,38.059,33.336,29.861,27.483,25.739,24.062,22.208,20.432,18.948,17.746,16.677,15.645
Gambia,44.304,46.189,48.244,48.752,48.3,47.501,45.588,44.098,43.665,42.239,39.676,36.993,34.607,32.198,29.951,27.768,25.671,23.713,21.929,20.321
Georgia,24.4,24.62,23.29,19.63,18.52,17.95,18.01,17.53,15.515,12.715,11.927,12.116,11.961,11.434,10.518,9.877,9.833,10.113,10.148,9.917
Germany,15.95,16.54,17.84,15.92,11.35,10.33,10.78,11.07,10.04,9.503,8.815,8.136,7.942,8.105,8.106,7.967,7.818,7.779,7.922,8.245
Ghana,44.597,46.204,47.406,47.519,46.268,44.446,42.594,40.43,37.827,35.403,33.695,32.507,30.857,28.602,26.495,24.512,22.989,21.743,20.559,19.373
Greece,19.44,19.34,18.06,18,15.86,15.65,13.672,10.706,10.039,9.673,9.435,9.65,9.135,8.653,8.302,8.236,8.407,8.684,8.872,8.945
Grenada,39.829,45.942,40.96,28.925,29.099,29.812,32.504,31.565,24.695,20.716,18.89,19.412,19.537,18.328,15.982,13.725,12.478,12.243,12.183,11.532
Guadeloupe,39,38.67,36.82,32.69,28.93,19.56,20.156,19.174,17.846,17.41,15.649,14.452,13.448,12.832,12.099,11.438,11.082,10.777,10.448,10.127
Guam,31.8,34.5,36,32,31.5,29,26.86,25.95,25.953,23.898,20.662,18.459,17.448,16.827,16.077,15.068,14.009,13.123,12.468,12.141
Guatemala,50.276,47.04,45.995,44.681,43.99,43.488,42.225,39.587,38.891,37.333,35.776,33.25,30.516,27.739,25.065,22.563,20.293,18.268,16.496,14.951
Guinea,48.431,48.986,49.216,48.959,48.666,48.497,48.247,47.371,45.613,43.496,41.566,39.88,37.309,34.306,31.295,28.599,26.305,24.275,22.389,20.632
Guinea-Bissau,55.157,42.354,42.238,35.559,55.814,45.535,41.18,41.441,42.812,43.466,42.605,41.357,39.395,37.08,34.82,32.333,29.993,27.885,26.013,24.313
Guyana,43,43.9,41.08,40.57,35,31.5,29.654,25.371,24.535,24.156,21.331,18.043,16.584,16.116,15.781,14.875,13.363,11.937,11.249,11.008
Haiti,45.679,44.555,43.499,40.711,38.218,40.031,42.822,39.172,35.592,32.693,29.769,27.852,26.077,24.307,22.484,20.72,19.183,17.824,16.646,15.559
Honduras,52.108,51.084,49.459,48.418,45.915,44.482,42.304,39.503,37.154,33.438,30.056,27.748,25.43,23.069,20.718,18.566,16.659,14.979,14.047,13.4
Hungary,21.06,17.82,13.404,14.42,15.706,16.25,12.56,12.02,11.66,9.759,9.442,9.858,9.861,9.622,9.392,9.152,9.025,9.257,9.607,9.846
Iceland,27.9,28.3,25.73,22.09,20.85,19.17,18.19,17.42,17.4,15.501,14.425,14.738,14.14,13.211,12.205,11.231,10.702,10.597,10.649,10.538
India,43.393,42.173,40.492,38.8,37.332,36.185,34.448,32.501,30.654,27.743,25.412,22.966,21.008,19.069,17.211,15.487,14.197,13.629,13.021,12.352
Indonesia,42.732,45.04,44.01,42.107,39.141,35.423,31.754,27.392,24.317,21.991,20.706,18.756,16.79,15.032,14.219,13.716,13.19,12.555,11.89,11.383
Iran,46.965,45.816,45.39,44.63,42.509,43.745,45.476,38.789,28.852,20.608,19.945,18.94,17.989,16.102,13.625,12.437,12.31,12.319,11.877,11.105
Iraq,52.958,42.12,42.8,46.05,43.488,41.457,39.104,38.496,37.922,37.627,34.113,31.585,28.627,26.336,24.521,22.737,20.876,19.154,17.705,16.538
Ireland,21.39,21.06,21.8,21.38,22.16,21.29,21,16.15,14.2,14.144,15.209,15.645,14.79,13.02,11.676,11.128,11.299,11.587,11.478,10.957
Israel,32.5,27.9,25.5,25.5,27.4,26.04,23.84,22.7,21.5,21.462,21.059,20.028,18.226,16.776,15.843,15.267,14.7,13.934,13.01,12.141
Italy,18.237,17.664,18.439,18.001,16.301,13.36,10.856,9.865,9.692,9.199,9.178,9.258,8.56,7.922,7.735,7.848,8.156,8.456,8.56,8.523
Jamaica,34.8,39.2,39.6,37.3,32.5,28.8,29.118,26.872,24.971,23.08,20.991,19.461,18.649,17.899,16.712,15.301,14.064,13.154,12.658,12.228
Japan,23.751,18.044,17.112,17.798,19.038,15.216,12.817,11.198,9.871,9.448,8.924,8.201,7.507,7.006,6.854,6.903,7.011,7.05,7.023,7.029
Jordan,46.7,46.7,52.5,52.5,50,45,42.26,38.8,34.4,32.356,27.765,26.04,23.653,20.895,18.723,17.018,15.615,14.464,13.843,13.107
Kazakhstan,33.2,34.28,32.9,26.05,25.87,24.9,24.85,24.6,20.64,16.218,16.672,19.775,18.722,16.754,14.652,13.499,13.42,13.643,13.354,12.46
Kenya,51.235,51.437,50.982,50.586,50.804,49.939,48.399,45.132,39.59,38.196,38.778,39.026,36.066,32.292,29.276,27.271,25.715,24.042,22.182,20.431
Kuwait,45.2,44.3,44.5,49.7,44.4,40.1,34.6,28.12,20.7,20.559,18.559,17.911,16.281,14.55,13.378,12.74,12.533,12.374,11.997,11.555
Kyrgyzstan,35.6,38.2,37.93,31.54,31.1,29.9,32.7,33.2,28.862,24.152,20.929,22.38,21.213,18.804,16.253,14.497,14.097,13.839,13.209,12.355
Laos,46.135,43.623,42.694,42.637,42.965,41.731,42.443,42.385,39.87,36.46,29.057,27.612,26.25,24.978,23.14,20.806,18.795,17.492,16.593,15.702
LATIN AMERICA AND THE CARIBBEAN,42.541,41.749,40.963,37.816,35.221,33.021,30.668,27.839,25.322,23.21,21.225,19.011,17.261,15.903,14.774,13.806,12.988,12.263,11.751,11.301
Latvia,16.38,16.45,15.62,14.06,14.43,13.93,15.11,15.48,11.346,8.031,8.769,10.143,10.845,10.735,9.977,8.878,8.485,9.187,10.118,10.58
Least developed countries,48.138,47.799,47.573,47.204,46.837,46.085,45.146,43.158,41.13,38.922,36.774,34.787,32.892,30.756,28.486,26.286,24.314,22.608,21.051,19.545
Lebanon,41,39.746,37.9,34.639,31.642,30.051,29.207,26.617,24.858,22.582,17.624,15.844,15.556,15.171,14.525,13.517,12.414,11.731,11.526,11.463
Lesotho,42.142,42.248,42.301,42.547,42.808,42.289,40.754,38.072,34.992,33.955,31.214,29.112,27.606,26.137,24.581,23.103,21.845,20.784,19.784,18.754
Less developed regions,43.99,41.473,41.345,39.785,36.125,32.946,32.001,31.082,28.02,25.351,23.596,22.311,21.199,19.761,18.211,16.89,15.939,15.299,14.658,13.942
"Less developed regions, excluding China",44.105,43.924,42.852,41.074,39.454,37.814,36.261,33.968,31.436,28.744,26.883,25.16,23.538,21.78,20.099,18.609,17.429,16.553,15.713,14.856
"Less developed regions, excluding least developed countries",43.442,40.636,40.517,38.798,34.691,31.158,30.169,29.354,26.07,23.235,21.436,20.154,19.064,17.64,16.117,14.868,14.038,13.552,13.053,12.467
Liberia,47.891,54.291,53.705,50.072,44.71,48.193,48.078,47.639,45.581,43.642,41.069,38.556,36.072,33.2,30.37,27.814,25.614,23.67,21.885,20.228
Libya,48,48.5,49,49.5,49,47.3,45.641,29.824,24.471,23.76,24.031,23.415,21.451,18.373,15.394,13.616,13.31,13.662,13.52,12.763
Lithuania,21.59,21.74,20.416,17.75,16.65,15.49,15.85,15.92,13.477,10.597,9.082,9.468,9.918,10.115,9.993,9.369,8.636,8.667,9.26,9.881
Luxembourg,14.72,15.8,15.958,14.445,11.748,11.164,11.617,12.008,13.129,13.086,11.878,11.389,11.334,11.671,12.064,12.21,11.807,11.383,11.214,11.281
Madagascar,49.005,48.821,48.249,47.87,48.239,47.035,42.22,44.985,44.665,42.837,39.261,36.191,33.462,30.872,28.379,26.071,24.003,22.184,20.582,19.152
Malawi,52.3,53.22,54.658,55.785,56.65,57.21,52.535,50.92,49.123,47.032,43.718,40.455,38.182,36.052,33.47,30.611,27.987,25.862,24.114,22.478
Malaysia,45.194,45.409,43.194,38.482,34.7,29.35,32.55,32.49,27.801,24.549,22.584,20.534,18.912,17.304,15.676,14.276,13.705,13.239,12.716,12.124
Maldives,45.18,42.84,40.85,39.78,40.49,42.01,41.65,41.81,36.546,25.583,19.451,18.82,18.966,18.241,16.425,14.313,12.871,12.402,12.356,12.103
Mali,45.106,48.045,48.059,48.427,46.928,46.858,47.122,47.109,45.997,44.126,43.283,42.79,40.647,37.49,34.311,31.308,29.055,27.194,25.364,23.524
Malta,29.32,26.74,22.57,16.6,17.49,17.86,17.04,15.63,14.2,12.275,9.963,9.04,9.27,9.322,9.097,8.7,8.19,7.956,8.123,8.49
Martinique,39.5,39.3,35.6,31.1,25.8,17.4,16.56,17.99,16.661,15.19,14.38,12.643,11.758,11.587,11.372,10.892,10.285,9.777,9.484,9.36
Mauritania,48.665,50.341,49.448,47.954,46.36,44.415,42.156,40.696,39.077,37.406,35.758,33.798,31.308,28.246,25.798,23.95,22.419,20.912,19.335,17.821
Mauritius,47.311,44.676,42.483,32.172,26.117,26.667,21.948,19.73,20.837,18.152,15.978,14.112,14.132,13.764,13.245,12.518,11.891,11.564,11.449,11.336
Mayotte,41.3,42.3,44.1,46.3,48.4,44.2,42.7,41.5,39.857,37.365,30.543,25.391,23.233,22.139,20.684,18.582,16.235,14.729,14.248,13.894
Melanesia,43.435,43.169,42.275,40.942,40.357,38.893,36.55,35.745,35.26,34.942,32.37,30.08,27.797,25.558,23.916,22.383,20.827,19.309,17.926,16.744
Mexico,47.991,46.798,44.697,43.667,42.432,36.428,31.655,28.967,27.182,23.747,21.328,19.091,17.015,15.24,14.331,13.669,12.867,12.027,11.305,10.785
Micronesia,40.01,41.235,40.93,39.171,36.159,35.233,34.299,31.967,30.403,27.928,24.305,21.881,20.41,19.293,18.106,16.936,15.873,14.849,13.978,13.438
"Micronesia, Fed. Sts.",47.923,44.76,42.747,41.972,39.937,38.222,39.28,35.505,32.239,31.477,28.545,25.487,23.469,22.18,20.748,19.128,17.254,15.265,13.641,13.024
Middle Africa,46.787,46.823,47.077,47.131,47.207,47.578,48.131,48.246,47.96,46.558,45.47,42.668,40.221,37.391,34.239,31.106,28.256,25.791,23.598,21.564
Mongolia,43.67,43.43,43.26,42.34,41.45,39.17,37.56,35.31,29.1,21.7,18.415,18.955,18.331,17.312,15.982,14.117,12.731,12.339,12.401,12.326
Montenegro,16.085,14.9,13.3,11.23,9.885,9.19,8.845,8.2,13.495,13.52,13.046,12.076,12.155,12.016,11.704,11.402,11.086,10.74,10.605,10.566
More developed regions,22.382,21.333,19.637,17.156,16.105,14.933,14.504,13.948,12.404,11.233,11.087,11.235,10.998,10.639,10.214,9.908,9.884,10.041,10.157,10.152
Morocco,50.4,50.4,50.1,48.2,45.6,39.4,37.325,32.109,27.284,23.423,20.905,20.536,19.753,18.294,16.486,14.902,13.884,13.298,12.982,12.509
Mozambique,49.344,49.1,48.594,47.964,47.231,46.919,45.871,43.607,43.503,43.495,43.548,39.509,35.564,32.635,30.43,28.491,26.497,24.512,22.708,21.169
Myanmar,47.367,44.206,41.703,39.923,39.127,35.567,33.396,28.87,25.174,22.219,21.5,20.651,19.225,17.45,15.783,14.555,13.742,13.191,12.799,12.288
Namibia,43.374,42.711,42.308,42.433,44.233,43.827,41.247,39.135,36.564,32.671,29.953,27.8,25.774,24.214,22.676,21.031,19.552,18.44,17.494,16.548
Nepal,43.926,44.384,44.444,43.947,43.266,42.418,40.85,39.122,37.71,34.879,30.05,25.611,23.765,22.724,21.231,19.343,17.591,16.293,15.311,14.395
Netherlands,22.1,21.4,20.8,19.03,15.44,12.66,12.191,12.631,12.765,12.433,12.361,11.259,10.684,10.724,10.975,10.956,10.775,10.484,10.268,10.292
Netherlands Antilles,41.6,35.5,29.1,22.6,20.4,21.5,20.23,19.27,19.68,16.34,14.764,13.401,12.173,10.777,9.682,8.953,8.743,8.925,9.109,8.958
New Caledonia,35.11,34.9,36.73,34.75,36.29,28.51,25.58,24.6,23.84,21.747,18.386,16.477,15.507,14.759,13.915,13.154,12.515,11.998,11.628,11.344
New Zealand,25.74,26.25,25.85,22.56,20.8,17.17,15.941,16.71,16.688,14.955,14.074,13.831,13.458,12.907,12.333,11.745,11.359,11.18,11.104,10.987
Nicaragua,54.898,54.19,48.51,46.32,46.292,45.215,42.87,38.199,35.414,30.127,26.255,24.848,23.208,21.19,19.151,17.423,16.021,14.831,13.786,12.86
Niger,52.957,55.151,57.287,57.743,56.874,56.829,56.538,55.989,55.253,54.013,52.182,54.053,50.611,47.635,45.272,43.279,40.815,37.494,33.793,30.399
Nigeria,48.032,47.77,47.37,46.997,47.919,48.776,48.388,46.865,45.172,43.462,41.785,40.134,36.851,33.011,29.678,27.204,25.299,23.511,21.661,19.879
Northern Africa,48.408,48.235,46.869,44.989,43.116,41.661,39.826,36.361,30.424,27.008,25.315,24.377,22.948,20.976,19.026,17.47,16.38,15.542,14.763,13.924
NORTHERN AMERICA,24.57,24.56,22.029,17.743,15.714,15.07,15.467,15.724,15.512,14.204,13.848,13.847,13.285,12.782,12.256,11.82,11.612,11.527,11.442,11.303
Northern Europe,16.913,16.919,18.005,17.035,14.788,12.95,13.52,13.664,13.215,11.913,11.538,12.074,11.913,11.827,11.625,11.23,10.915,10.904,11.007,11.044
Norway,18.72,18.14,17.4,17.6,15.78,12.92,12.3,13.32,14.01,13.378,12.366,12.304,11.729,11.682,11.722,11.563,11.214,10.911,10.742,10.701
West Bank and Gaza,46.7,46.7,52.5,52.5,46.6,47.8,44.6,45.1,45.6,41.971,39.06,35.855,32.808,30.12,27.836,25.755,23.699,21.761,20.04,18.567
OCEANIA,27.66,27.401,26.665,24.533,23.996,20.99,20.242,20.016,19.761,18.833,17.808,17.355,16.677,15.964,15.375,14.739,14.121,13.611,13.189,12.814
Oman,51.44,50.906,50.408,50.029,49.515,48.113,46.02,41.499,34.105,29.397,23.952,22.058,21.697,20.503,18.894,17.154,15.635,14.586,13.931,13.32
Pakistan,37.246,38.452,39.986,42.541,43.687,42.473,42.111,42.374,37.807,34.049,31.73,30.209,28.64,25.96,23.41,21.353,19.855,18.647,17.415,16.107
Panama,39.893,40.471,40.363,38.945,35.552,30.956,28.546,27.254,25.037,24.111,22.68,20.819,19.1,17.788,16.716,15.666,14.611,13.627,12.773,12.252
Papua New Guinea,43.1,42.6,42.3,41.8,41.6,40,37.575,36.959,36.731,36.869,34.145,31.684,29.2,26.726,24.962,23.297,21.615,20.002,18.537,17.286
Paraguay,44.244,42.625,41.219,39.443,35.623,36.142,37.271,34.909,31.956,29.254,26.915,24.822,22.934,21.08,19.345,17.861,16.643,15.638,14.775,14.03
Peru,47.076,46.788,46.271,43.572,40.515,37.95,33.736,31.288,28.445,25.384,23.058,21.342,19.402,17.847,16.568,15.465,14.468,13.588,12.822,12.189
Philippines,48.217,45.825,43.526,41.479,39.278,37.778,35.656,33.994,31.748,28.893,26.374,24.963,23.106,21.468,19.884,18.41,17.135,16.021,15.005,14.05
Poland,30.14,27.16,19.57,16.59,17.783,19.37,19.239,16.008,13.19,10.551,9.372,9.792,9.84,9.395,8.587,7.895,7.668,7.892,8.195,8.293
