Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hungary,4490000,4567252,4629663,4678895,4716715,4745002,4765762,4781109,4793216,4804227,4816001,4829834,4846221,4864751,4884397,4904384,4924855,4946174,4967971,4989750,5011123,5031548,5050923,5069791,5088979,5108845,5129860,5151136,5170040,5183052,5187746,5183366,5170941,5152097,5129311,5104642,5078231,5050229,5022729,4998265,4978548,4964738,4956229,4950749,4944950,4936415,4924470,4909891,4893458,4876493,4859998,4844062,4828425,4813354,4799116,4785897,4773843,4762925,4752912,4743452,4734268,4725286,4716525,4707899,4699332,4690757,4682101,4673315,4664393,4655348,4646181,4636873,4627377,4617632,4607562,4597114,4586289,4575098,4563504,4551471,4538991,4526057,4512738,4499205,4485681,4472342,4459247,4446403,4433867,4421686,4409886,4398476,4387441,4376750,4366357,4356201,4346211,4336305,4326386,4316349,4306077
Iceland,71002,72658,74427,76263,78131,80002,81858,83687,85485,87255,88999,90716,92396,94019,95559,97001,98328,99553,100728,101928,103202,104580,106041,107518,108916,110171,111257,112208,113092,114009,115031,116180,117434,118760,120109,121443,122757,124062,125355,126634,127900,129151,130388,131618,132854,134106,135408,136771,138151,139482,140741,141857,142896,144124,145898,148452,151901,156104,160714,165242,169326,172847,175888,178539,180967,183295,185528,187614,189566,191394,193104,194711,196222,197626,198907,200056,201071,201967,202765,203493,204175,204820,205427,205995,206521,207002,207439,207838,208200,208527,208821,209082,209310,209505,209666,209792,209882,209935,209949,209924,209857
India,193108100,196485434,200018541,203703141,207535655,211513206,215633632,219895471,224297927,228840807,233524331,238348936,243315101,248423272,253674071,259068925,264610610,270302636,276148494,282152168,288318417,294644973,301136570,307812954,314699572,321812799,329159311,336728657,344498288,352436041,360516502,368728471,377071139,385541488,394139577,402862982,411700100,420638850,429675262,438806754,448026309,457330334,466701327,476101444,485483096,494810396,504061648,513237326,522351135,531428276,540484610,549521621,558523350,567467798,576325498,585074852,593702917,602212872,610618652,618942535,627198414,635386242,643492251,651499677,659385824,667131582,674727751,682169301,689445990,696547780,703465267,710192634,716722647,723043461,729142033,735009081,740642900,746045452,751216941,756159247,760877104,765367718,769639899,773724467,777661703,781480738,785193188,788792563,792266976,795596098,798763801,801762449,804591384,807253390,809750644,812080929,814236369,816202669,817958866,819477578,820725007
Indonesia,38271460,38848496,39477420,40160933,40900110,41694398,42541518,43437564,44377300,45354654,46364202,47402749,48470716,49572733,50715957,51905124,53140722,54419388,55737273,57088956,58469905,59878000,61312254,62770507,64250685,65750699,67267535,68798805,70343712,71902002,73472422,75053755,76642079,78230137,79808917,81371414,82914732,84438526,85941711,87424130,88885969,90326738,91746759,93148397,94534974,95909555,97272041,98623633,99970208,101319136,102675340,104040184,105411172,106784279,108153484,109513382,110862816,112199922,113517590,114807198,116062255,117279870,118460242,119604064,120713466,121790413,122834471,123845862,124828267,125786517,126724331,127642703,128541474,129421677,130284120,131129052,131956705,132766151,133554847,134319335,135056622,135765700,136445637,137093587,137706296,138281290,138817174,139313788,139771549,140191541,140574659,140921314,141231539,141505225,141742403,141943494,142109400,142241552,142341932,142413051,142457950
Iran,8585997,8797756,9012773,9233340,9461333,9698208,9944989,10202281,10470329,10749106,11038585,11339037,11651280,11976790,12317395,12674355,13049513,13442734,13850991,14269922,14697016,15133723,15583555,16048962,16533123,17040060,17565452,18113027,18704060,19366458,20117620,20962467,21887034,22865586,23862037,24846627,25815092,26764223,27667041,28491876,29218095,29830189,30337377,30775087,31194500,31632948,32103786,32597297,33099971,33588969,34048438,34476072,34880884,35271577,35660741,36057654,36465002,36880541,37302628,37727913,38153812,38579378,39005188,39431710,39859795,40289339,40720786,41151696,41575589,41984009,42370869,42733710,43073977,43394422,43699652,43993302,44275833,44546822,44808077,45061649,45309089,45551068,45787636,46018836,46244415,46463975,46677455,46884372,47083277,47272292,47449801,47614689,47766257,47904030,48027529,48136070,48228685,48304088,48360657,48396448,48409198
Iraq,2852339,2959961,3057627,3148402,3234994,3319758,3404683,3491401,3581217,3675145,3774043,3878743,3990176,4109419,4237552,4375233,4523089,4680771,4846664,5018457,5194373,5373635,5556365,5742738,5933263,6128153,6327065,6529212,6733819,6939945,7146733,7355287,7565473,7773889,7976048,8169566,8352978,8529691,8708276,8900356,9114623,9353145,9614474,9899251,10207138,10537065,10889653,11263055,11650373,12042469,12432152,12818833,13202666,13578478,13940377,14285409,14608831,14914634,15219368,15545729,15909465,16317316,16763102,17233728,17709622,18176447,18629729,19073412,19511594,19951441,20397853,20851514,21309271,21767732,22222126,22669025,23107068,23537249,23961349,24382212,24801854,25220631,25637638,26052130,26462947,26869193,27270635,27667393,28059330,28446371,28828423,29205345,29576960,29943078,30303517,30658136,31006833,31349555,31686302,32017119,32342100
Ireland,1510999,1506921,1501748,1494814,1485853,1475002,1462824,1450284,1438671,1429474,1424001,1422974,1426175,1432292,1439355,1445994,1451673,1457012,1463181,1471887,1484302,1500631,1520251,1542468,1566248,1590712,1615545,1640547,1665056,1688335,1709752,1729323,1746860,1761351,1771565,1776832,1776653,1771842,1764697,1758367,1755213,1756251,1761188,1769489,1780073,1792235,1805743,1821195,1839650,1862536,1890747,1924554,1963230,2005405,2049164,2092978,2136424,2179433,2221262,2261149,2298567,2333038,2364601,2393925,2422038,2449703,2477121,2504092,2530500,2556110,2580765,2604501,2627462,2649728,2671396,2692556,2713248,2733517,2753460,2773191,2792800,2812324,2831777,2851185,2870566,2889923,2909262,2928560,2947746,2966726,2985417,3003759,3021714,3039249,3056334,3072921,3088948,3104333,3118974,3132750,3145521
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,646782,699250,751083,800483,846352,888300,926682,962556,997564,1033731,1072850,1115840,1162176,1209646,1255037,1296170,1332088,1363884,1393891,1425475,1460996,1501226,1545209,1591476,1637794,1682494,1725338,1766747,1806514,1844538,1880846,1915679,1949357,1982184,2014544,2047023,2079089,2111514,2147717,2192160,2247751,2316000,2395235,2481207,2567850,2650653,2728232,2801494,2871010,2938135,3003908,3068088,3130229,3191009,3251323,3311810,3372752,3433972,3495075,3555439,3614602,3672508,3729295,3784920,3839371,3892661,3944752,3995692,4045699,4095067,4144025,4192649,4240929,4288896,4336556,4383908,4430966,4477734,4524174,4570233,4615855,4661014,4705667,4749717,4793046,4835555,4877194,4917933,4957712,4996477,5034184,5070805,5106328,5140749,5174076,5206320,5237497,5267627,5296732,5324839,5351979
Italy,22571479,22779358,22965493,23129729,23273616,23400415,23515227,23624860,23737437,23861743,24005257,24172057,24360984,24564859,24772709,24976315,25172896,25364127,25551424,25737686,25924491,26112193,26298128,26477340,26643313,26791477,26919398,27028470,27122677,27208056,27288881,27367180,27441399,27508043,27561927,27599779,27620176,27625749,27622188,27617369,27616953,27625783,27642849,27661144,27670282,27664316,27638524,27599637,27566851,27566319,27615933,27722165,27876901,28065222,28264983,28458990,28642941,28818339,28980635,29125996,29251585,29354588,29434118,29492144,29532267,29557571,29568317,29564794,29550340,29529089,29504259,29477564,29449269,29419310,29386963,29351794,29314205,29274998,29234528,29193150,29151119,29108573,29065514,29021867,28977468,28932133,28885831,28838418,28789442,28738331,28684624,28628050,28568501,28505967,28440460,28371945,28300318,28225390,28146883,28064435,27977600
Jamaica,682498,701982,718064,731121,741598,750004,756920,762995,768919,775393,783016,792172,802928,814992,827835,841051,854602,868591,882902,897408,912003,926676,941389,955992,970307,984236,997485,1010123,1022845,1036613,1052001,1069526,1088688,1107824,1124639,1137584,1145926,1150419,1152823,1155683,1160833,1168848,1179143,1190986,1203175,1214817,1225759,1236266,1246340,1256066,1265499,1274603,1283291,1291522,1299250,1306458,1313114,1319257,1325024,1330603,1336133,1341655,1347141,1352570,1357896,1363078,1368112,1372991,1377657,1382041,1386083,1389755,1393040,1395908,1398325,1400268,1401718,1402666,1403104,1403030,1402446,1401352,1399754,1397666,1395111,1392108,1388667,1384804,1380557,1375973,1371088,1365925,1360491,1354786,1348808,1342556,1336034,1329251,1322222,1314967,1307511
Japan,40624787,41431473,42130913,42739872,43274603,43750848,44183887,44588488,44978762,45367925,45767569,46186896,46632039,47105773,47608336,48139840,48699385,49288029,49908995,50566088,51259199,51991620,52754435,53520261,54252906,54926260,55527446,56062128,56545646,57002625,57450428,57895277,58329584,58740871,59110792,59427575,59685478,59892940,60069450,60242197,60430321,60642000,60870537,61102043,61315428,61495657,61637916,61747876,61833445,61906805,61976401,62044934,62108296,62160020,62190657,62193563,62166360,62111680,62033934,61939779,61833972,61718110,61590472,61448551,61288469,61107567,60905528,60683869,60444012,60188044,59917747,59633834,59336733,59027659,58707934,58378746,58040951,57695283,57342625,56983835,56619664,56250874,55877992,55501228,55120611,54736289,54348606,53958125,53565451,53171269,52776155,52380514,51984603,51588579,51192566,50796705,50401177,50006212,49612093,49219153,48827775
Jordan,245195,273207,293139,309698,326326,345207,367199,391899,417833,442774,464691,482765,498276,514986,538055,570878,615218,669131,727761,784199,833493,874184,907896,936552,963320,990699,1018839,1047426,1077986,1112318,1151643,1197460,1249540,1305286,1360932,1414131,1462486,1507654,1556107,1616826,1695507,1795647,1913277,2037564,2153348,2250003,2323528,2377943,2420493,2462194,2511214,2568769,2632597,2703176,2780306,2863348,2953778,3050789,3148570,3239280,3317492,3380742,3431114,3473344,3514507,3559788,3610557,3665336,3723044,3781647,3839626,3896945,3954172,4011042,4067279,4122666,4177023,4230275,4282454,4333664,4383971,4433358,4481746,4529084,4575304,4620368,4664223,4706888,4748477,4789149,4829008,4868066,4906254,4943453,4979528,5014356,5047839,5079908,5110529,5139697,5167436
Kazakhstan,3243747,3302367,3401172,3530922,3683740,3853106,4033914,4222416,4416081,4613340,4812852,5012714,5209769,5399310,5575918,5735932,5876613,5999049,6108291,6211823,6315098,6420204,6525659,6629127,6726805,6816232,6896682,6970094,7039835,7110545,7185534,7264299,7345422,7429906,7518810,7611769,7710707,7812365,7904874,7972501,8004303,7997470,7956392,7886623,7796952,7695326,7581834,7458821,7339375,7239900,7171959,7141399,7145191,7174755,7216707,7260908,7305057,7351181,7398484,7447034,7496721,7546335,7594607,7641480,7687238,7732022,7775619,7817560,7857486,7894999,7929841,7961896,7991287,8018326,8043469,8067119,8089397,8110424,8130609,8150435,8170283,8190305,8210558,8231194,8252343,8274061,8296378,8319191,8342229,8365117,8387518,8409177,8429907,8449551,8467931,8484814,8499894,8512782,8523007,8530016,8533176
Kenya,3064522,3144568,3229104,3318036,3411314,3508927,3610907,3717325,3828296,3943974,4064554,4190269,4321393,4458237,4601150,4750527,4906635,5069913,5241146,5421260,5611023,5810925,6021202,6242040,6473512,6715738,6968625,7232427,7507971,7796310,8098043,8413382,8741634,9081328,9430448,9787374,10151039,10521195,10897977,11281876,11672914,12071713,12477114,12885312,13291306,13691861,14085553,14474405,14862972,15257736,15663671,16082233,16512943,16956486,17413088,17882869,18365902,18862319,19372142,19895274,20431185,20979869,21539955,22107808,22678730,23249121,23817533,24384032,24948457,25511211,26072668,26632362,27190096,27746967,28304525,28863952,29425459,29988890,30554590,31122871,31693854,32267541,32843603,33421359,33999885,34578323,35156263,35733239,36308242,36880108,37447861,38010832,38568615,39120974,39667727,40208651,40743439,41271684,41792872,42306388,42811514
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,90450,95994,101592,107290,113228,119649,126897,135418,145725,158364,173778,192172,213394,236878,261798,287491,314084,341636,369364,396286,421867,445310,467178,489933,516961,550514,591817,639687,691037,741449,787809,827765,862220,895122,932238,977013,1033216,1097838,1159574,1202861,1217703,1198251,1150993,1093316,1049683,1037370,1062622,1119251,1196857,1279375,1354857,1420747,1480147,1533446,1582443,1628532,1670944,1708826,1743590,1777238,1811254,1846148,1881634,1917432,1952965,1987817,2022017,2055798,2089161,2122117,2154674,2186826,2218568,2249906,2280850,2311407,2341570,2371338,2400725,2429753,2458431,2486752,2514691,2542225,2569320,2595942,2622073,2647682,2672704,2697063,2720694,2743559,2765639,2786927,2807423,2827118,2846000,2864048,2881229,2897503,2912823
Kyrgyzstan,828816,837463,849539,864340,881384,900406,921375,944478,970082,998664,1030605,1065973,1104331,1144657,1185573,1226029,1265612,1304394,1342408,1379869,1416927,1453578,1489687,1525156,1559862,1593783,1626816,1659157,1691451,1724555,1759077,1795032,1832187,1870560,1910110,1950641,1992642,2035743,2077877,2116290,2149203,2175412,2195956,2214044,2234213,2259622,2291654,2329062,2369187,2408076,2442948,2472893,2499050,2523150,2547807,2574898,2604867,2637023,2670738,2704978,2738946,2772493,2805753,2838523,2870618,2901874,2932160,2961364,2989383,3016129,3041542,3065584,3088250,3109566,3129586,3148379,3165940,3182337,3197798,3212620,3227024,3241094,3254808,3268146,3281041,3293436,3305336,3316736,3327543,3337639,3346925,3355343,3362869,3369496,3375222,3380033,3383897,3386764,3388562,3389198,3388562
Laos,820908,842171,863524,885022,906724,928690,950981,973661,996793,1020444,1044674,1069543,1095101,1121391,1148453,1176327,1204746,1233691,1263717,1295574,1329627,1366634,1406022,1445253,1480876,1510662,1533468,1550714,1565894,1583942,1608453,1640553,1679292,1723635,1771738,1822168,1874781,1929858,1986826,2045040,2103976,2163108,2222244,2281604,2341624,2402486,2464537,2527275,2589063,2647717,2701836,2750618,2794947,2837195,2880710,2927914,2979660,3035267,3093751,3153478,3213249,3272835,3332638,3392814,3453676,3515421,3577981,3641129,3704712,3768534,3832414,3896264,3959973,4023302,4085972,4147761,4208557,4268319,4326993,4384557,4441001,4496276,4550380,4603413,4655522,4706821,4757329,4807035,4855991,4904251,4951847,4998778,5045016,5090512,5135203,5179021,5221896,5263755,5304526,5344134,5382504
Latvia,842658,849923,858547,867499,876126,884154,891711,899302,907744,918052,931096,947239,966021,986020,1005238,1022240,1036452,1048281,1058467,1068190,1078286,1089011,1100008,1110780,1120589,1128944,1135704,1141185,1145905,1150598,1155819,1161353,1167033,1173461,1181403,1191172,1203496,1217622,1230603,1238459,1238504,1229522,1212801,1191261,1169152,1149620,1133611,1120412,1109506,1099810,1090530,1081709,1073750,1066591,1060166,1054409,1049266,1044670,1040520,1036706,1033134,1029737,1026473,1023310,1020227,1017199,1014201,1011192,1008119,1004921,1001558,997994,994234,990328,986349,982351,978360,974355,970288,966089,961714,957150,952437,947644,942867,938180,933608,929146,924804,920587,916494,912528,908690,904980,901392,897918,894540,891236,887975,884721,881431
Lebanon,726155,735190,749286,767354,788477,811914,837104,863662,891354,920071,949725,980146,1010989,1041695,1071601,1100273,1126973,1151794,1176107,1201866,1230236,1262199,1296680,1330328,1358527,1378157,1387780,1388892,1384912,1380806,1380174,1384840,1393905,1405038,1414621,1420432,1420835,1417768,1416796,1425560,1449093,1490007,1545459,1608343,1668537,1718792,1756349,1783472,1804030,1824120,1848075,1877025,1909145,1942322,1973332,1999914,2021464,2039001,2053830,2067912,2082690,2098552,2115110,2132104,2149023,2165499,2181522,2197281,2212817,2228195,2243453,2258582,2273521,2288186,2302467,2316273,2329571,2342337,2354500,2365980,2376720,2386694,2395907,2404370,2412112,2419164,2425525,2431218,2436333,2440988,2445270,2449223,2452849,2456125,2459022,2461520,2463611,2465306,2466634,2467643,2468396
Lesotho,344233,349705,354765,359609,364394,369243,374239,379430,384829,390428,396216,402208,408465,415106,422277,430076,438581,447753,457426,467361,477395,487480,497697,508175,519103,530624,542675,555218,568442,582591,597778,614150,631490,649110,666077,681733,695842,708624,720450,731901,743437,755037,766640,778605,791373,805203,820329,836538,853090,868950,883382,896121,907401,917597,927309,936986,946708,956365,965995,975604,985195,994806,1004459,1014112,1023698,1033160,1042492,1051686,1060686,1069422,1077844,1085923,1093664,1101089,1108237,1115139,1121800,1128212,1134372,1140273,1145913,1151293,1156425,1161330,1166038,1170570,1174935,1179133,1183159,1187008,1190674,1194155,1197451,1200565,1203498,1206248,1208810,1211177,1213335,1215271,1216964
Liberia,407799,413716,421060,429789,439839,451128,463553,476991,491307,506354,522000,538146,554748,571823,589427,607585,626366,645712,665382,685056,704550,723709,742723,762169,782843,805302,829263,854415,881181,910101,941248,975053,1010498,1044424,1072646,1092180,1103386,1107448,1103488,1090625,1069294,1036967,996531,960333,944820,961034,1015004,1101567,1206784,1310473,1398183,1464596,1514394,1555186,1598922,1654003,1722624,1800944,1884182,1965192,2038877,2103781,2161823,2215345,2268023,2322560,2379528,2438094,2497908,2558235,2618536,2678850,2739458,2800316,2861378,2922601,2983947,3045387,3106895,3168446,3230016,3291573,3353083,3414516,3475841,3537027,3598043,3658855,3719428,3779726,3839713,3899354,3958616,4017465,4075866,4133786,4191189,4248039,4304299,4359932,4414898
Libya,530750,531995,537152,546156,558846,574969,594170,615999,639936,665427,692000,719385,747619,777096,808433,842093,878205,916664,957428,1000391,1045499,1092799,1142418,1194479,1249129,1306500,1366023,1427613,1492389,1561877,1636804,1717964,1803984,1890779,1972848,2046301,2109588,2163955,2211794,2256840,2301929,2347700,2393603,2439910,2486666,2533951,2582082,2631406,2682006,2733894,2787068,2841560,2897399,2954546,3012931,3072451,3133018,3194471,3256523,3318824,3381052,3443031,3504579,3565354,3624979,3683141,3739679,3794491,3847421,3898331,3947136,3993787,4038314,4080836,4121529,4160572,4198029,4234015,4268828,4302835,4336332,4369434,4402202,4434799,4467389,4500073,4532914,4565869,4598782,4631423,4663590,4695144,4725995,4756077,4785309,4813572,4840691,4866434,4890507,4912560,4932181
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,1157994,1162094,1168988,1177914,1188313,1199831,1212328,1225868,1240685,1257124,1275473,1295777,1317681,1340361,1362717,1383943,1403636,1421932,1439234,1456206,1473297,1490691,1508119,1525049,1540738,1554702,1566762,1577242,1586789,1596314,1606509,1617241,1628339,1640362,1653990,1669499,1687399,1706988,1725841,1740687,1749230,1750638,1745724,1735907,1723385,1709887,1695649,1680507,1665319,1651039,1638307,1627742,1619195,1611577,1603283,1593197,1580952,1567053,1552309,1537923,1524772,1513090,1502621,1493172,1484379,1475967,1467908,1460280,1453023,1446077,1439382,1432893,1426556,1420301,1414050,1407740,1401334,1394808,1388135,1381292,1374265,1367041,1359622,1352037,1344325,1336522,1328640,1320692,1312726,1304796,1296948,1289207,1281581,1274070,1266668,1259373,1252188,1245120,1238185,1231403,1224802
Luxembourg,148001,149114,150340,151471,152376,152999,153363,153569,153778,154195,155000,156285,157988,159875,161606,162949,163771,164181,164484,165120,166380,168401,171017,173842,176329,178091,179014,179244,178977,178521,178117,177807,177566,177500,177722,178311,179321,180748,182538,184597,186854,189294,191918,194684,197539,200444,203375,206320,209267,212209,215139,218046,220925,223786,226648,229524,232418,235325,238243,241167,244094,247024,249962,252913,255884,258881,261904,264955,268037,271156,274313,277509,280740,284004,287297,290614,293954,297310,300668,304007,307314,310582,313810,316995,320137,323233,326283,329287,332249,335175,338071,340941,343788,346615,349425,352222,355012,357801,360599,363416,366264
Madagascar,2099990,2142725,2187167,2233289,2281086,2330571,2381775,2434748,2489556,2546281,2605008,2665818,2728780,2793947,2861365,2931105,3003194,3077751,3155044,3235407,3319087,3406096,3496378,3590004,3687037,3787449,3891630,3999441,4109706,4220835,4331859,4442348,4553159,4666216,4784187,4909091,5041604,5181498,5328781,5483167,5644425,5812620,5987885,6170074,6358966,6554297,6756037,6963916,7177135,7394680,7615796,7840081,8067590,8298590,8533578,8772897,9016482,9264095,9515700,9771243,10030632,10293782,10560526,10830573,11103571,11379204,11657257,11937565,12219907,12504072,12789844,13077016,13365377,13654708,13944788,14235407,14526370,14817491,15108582,15399455,15689934,15979846,16269029,16557333,16844616,17130738,17415544,17698891,17980661,18260751,18539047,18815416,19089712,19361779,19631460,19898601,20163056,20424687,20683364,20938963,21191370
Malawi,1389498,1412061,1437223,1464449,1493331,1523600,1555122,1587898,1622045,1657773,1695300,1734771,1776182,1819345,1863985,1910000,1957300,2006253,2057779,2113098,2173100,2238102,2307929,2382354,2460944,2543334,2630902,2723953,2819899,2915186,3008060,3093964,3175331,3265550,3382893,3538688,3741543,3983002,4236671,4465808,4645159,4763642,4832201,4874563,4925635,5010577,5137136,5297185,5480877,5672130,5859228,6040228,6219471,6398842,6581850,6771084,6966556,7167164,7373163,7584763,7802097,8025220,8254088,8488574,8728466,8973516,9223591,9478418,9737411,9999850,10265119,10532854,10802825,11074718,11348248,11623141,11899158,12176038,12453482,12731183,13008897,13286430,13563703,13840749,14117678,14394568,14671342,14947919,15224363,15500773,15777197,16053598,16329868,16605853,16881376,17156269,17430375,17703559,17975706,18246719,18516523
Malaysia,3144307,3211181,3289236,3375999,3469567,3568607,3672384,3780733,3893970,4012746,4137605,4268518,4404468,4543276,4682102,4818906,4952826,5084362,5214562,5345137,5477406,5611962,5748659,5887278,6027351,6168795,6311937,6457823,6607992,6764383,6928657,7100656,7280746,7471600,7676539,7897487,8136034,8390380,8654836,8921530,9184770,9441619,9693405,9943844,10198750,10461912,10734636,11014169,11295389,11571176,11836458,12089192,12330968,12564801,12795400,13026167,13257884,13489314,13719456,13946639,14169645,14388195,14602737,14813617,15021401,15226440,15428774,15628046,15823728,16015108,16201633,16383236,16559961,16731527,16897635,17058149,17212893,17362123,17506694,17647769,17786215,17922340,18056008,18187086,18315270,18440322,18562245,18681106,18796782,18909120,19017981,19123259,19224873,19322758,19416844,19507046,19593257,19675348,19753162,19826520,19895219
Maldives,44206,44900,45630,46391,47182,48000,48845,49716,50615,51542,52500,53490,54514,55572,56667,57800,58974,60194,61467,62799,64200,65669,67209,68834,70561,72400,74362,76442,78614,80841,83100,85376,87682,90052,92539,95175,97959,100870,103898,107026,110233,113521,116867,120186,123373,126349,129085,131600,133926,136122,138234,140269,142227,144143,146057,148001,149991,152031,154122,156260,158443,160672,162948,165264,167608,169969,172343,174724,177100,179455,181778,184061,186300,188486,190610,192664,194645,196552,198386,200151,201851,203486,205057,206572,208042,209475,210873,212236,213567,214867,216137,217376,218583,219754,220886,221974,223013,223997,224919,225773,226550
Mali,2185594,2215218,2247524,2282341,2319460,2358631,2399559,2441910,2485321,2529422,2573896,2618547,2663352,2708494,2754281,2800954,2848477,2896781,2946028,2996422,3048077,3101173,3155607,3210877,3266288,3321386,3376027,3430507,3485371,3541390,3599169,3658878,3720504,3784253,3850312,3918811,3989872,4063501,4139555,4217800,4298047,4380630,4465627,4552324,4639754,4727435,4814863,4902834,4993753,5090870,5196478,5311552,5435344,5566293,5701991,5840660,5981769,6125788,6273107,6424448,6580263,6740509,6904704,7072338,7242738,7415360,7589937,7766382,7944545,8124325,8305610,8488286,8672174,8857027,9042569,9228604,9414989,9601748,9789071,9977253,10166509,10356838,10548159,10740507,10933916,11128377,11323853,11520239,11717363,11915005,12112958,12311044,12509112,12707017,12904603,13101686,13298047,13493428,13687532,13880023,14070528
Malta,154000,153473,152965,152535,152211,152000,151877,151791,151670,151431,151001,150347,149502,148568,147698,146999,146531,146271,146154,146076,145974,145808,145639,145631,146003,146904,148388,150379,152734,155245,157749,160210,162643,164997,167229,169310,171191,172876,174455,176059,177777,179654,181648,183654,185522,187151,188492,189594,190573,191592,192766,194141,195667,197248,198742,200049,201137,202044,202824,203558,204307,205083,205867,206650,207412,208139,208830,209491,210115,210699,211238,211729,212170,212558,212891,213167,213385,213545,213643,213677,213647,213552,213396,213183,212921,212615,212268,211885,211474,211043,210601,210153,209703,209252,208801,208354,207912,207479,207059,206658,206281
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,105998,107217,109016,111430,114447,118000,121969,126183,130429,134471,138101,141193,143752,145935,147994,150100,152314,154544,156627,158331,159499,160097,160214,159973,159553,159100,158640,158187,157864,157814,158135,158874,160004,161447,163083,164811,166629,168529,170390,172061,173443,174468,175173,175696,176236,176935,177840,178904,180059,181202,182255,183201,184069,184882,185680,186493,187326,188165,188988,189767,190480,191121,191696,192220,192713,193188,193649,194090,194511,194907,195276,195617,195930,196210,196452,196651,196806,196915,196976,196988,196947,196854,196707,196509,196258,195957,195606,195206,194760,194271,193741,193174,192571,191935,191267,190571,189849,189105,188343,187566,186781
Mauritania,319967,328501,337574,347170,357271,367860,378915,390416,402339,414664,427369,440443,453880,467686,481873,496449,511422,526790,542542,558666,575155,592001,609223,626878,645041,663765,683066,702923,723313,744193,765528,787353,809667,832361,855290,878373,901581,925012,948868,973427,998908,1025380,1052849,1081395,1111088,1141976,1174045,1207280,1241715,1277384,1314266,1352360,1391519,1431386,1471496,1511488,1551215,1590666,1629779,1668537,1706930,1744886,1782375,1819492,1856384,1893156,1929842,1966412,2002833,2039051,2075028,2110762,2146281,2181617,2216815,2251910,2286903,2321790,2356589,2391321,2425994,2460604,2495127,2529526,2563752,2597759,2631519,2665002,2698153,2730907,2763208,2795014,2826292,2857018,2887168,2916716,2945631,2973878,3001415,3028193,3054161
Mauritius,245626,252276,259627,267482,275689,284138,292766,301553,310515,319693,329118,338773,348561,358290,367714,376647,385056,392966,400343,407163,413443,419101,424211,429137,434368,440239,446908,454238,461897,469398,476385,482803,488763,494279,499409,504226,508662,512770,516892,521480,526843,533126,540198,547755,555343,562626,569501,576040,582297,588385,594379,600285,606041,611589,616848,621766,626318,630535,634497,638314,642069,645789,649456,653053,656545,659906,663135,666241,669225,672085,674820,677429,679905,682236,684407,686408,688235,689887,691361,692654,693765,694695,695448,696032,696454,696725,696849,696837,696705,696477,696171,695799,695369,694884,694346,693761,693134,692475,691796,691110,690434
Mayotte,8248,8549,8923,9345,9796,10264,10744,11238,11753,12299,12887,13521,14193,14883,15565,16219,16836,17427,18016,18638,19318,20073,20897,21766,22646,23515,24364,25214,26114,27130,28309,29674,31214,32900,34683,36533,38428,40383,42447,44689,47151,49852,52755,55771,58781,61696,64481,67155,69747,72307,74873,77450,80022,82578,85105,87592,90038,92453,94847,97236,99635,102046,104469,106910,109372,111859,114371,116908,119466,122039,124621,127210,129803,132392,134967,137522,140052,142555,145022,147442,149811,152124,154383,156590,158750,160869,162947,164984,166991,168977,170951,172916,174872,176816,178745,180655,182545,184413,186262,188094,189913
