Adult (15+) literacy rate (%). Male,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
South Africa,,,,,,77.52559535,,,,,,,,,,,,,,,,84.07137793,,,,,,,,,,,90.71758694,,,,93.8594195
Spain,,,,,,,95.89752681,,,,,,,,,,98.0354881,,,,,,,,,,,,,,98.61747324,,98.63345778,98.40230375,98.46193841,98.52570979,
Sri Lanka,,,,,,,91.34840279,,,,,,,,,,,,,,,,,,,,92.2701973,,,,,92.71365403,,92.24393307,,92.57847003,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,71.5810158,,,,,,,,,,,80.71497
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.01633007,,,,95.4929391,,95.36478619,
Swaziland,,57.38438588,,,,,,,,,,69.68346908,,,,,,,,,,,,,,83.15462315,,,,,,,,,,,88.39267
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,73.58422455,,,,,,,,,,,,,,,,,,,,,91.02856766,,87.75813619,,,,,,,90.32096
Tajikistan,,,,,,,,,,,,,,,98.79109054,,,,,,,,,,,99.68461526,,,,,,,,,,,99.80615
Tanzania,,,,,,,,,,,,,,71.3657099,,,,,,,,,,,,,,77.50639976,,,,,,,,75.46780174,
Thailand,,,,,,92.21295614,,,,,,,,,,,,,,,,,,,,94.90156736,,,,,95.60024876,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,58.5,,,63.59179381,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,68.72574386,,,,,,70.27027207,,,71.16635109,,74.05681791
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,99.65865938,,,,,,,,,,,,,,,,,,,,98.83406204,,,,,,,,,,98.95388148,,,,,
Trinidad and Tobago,,,,,,96.52153266,,,,,,,,,,98.00979722,,,,,,,,,,,,,,99.01297,,,,,,,99.21413
