"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mexico,,,,,,59.45234243,60.07250386,59.49520005,59.81519027,59.80185948,55.11434473,56.24220815,57.12912373,56.61703161,55.60900372,55.80275616,56.72240137,55.97536728,56.34598402,56.71498902,57.3554222,57.86111694,58.44616518,56.31964189,55.66473906,54.66087405,54.79181581,52.32566523,59.99355342,62.87441073,63.73362118,64.44285909,65.21665654,66.87824843,67.2439462,66.45987115,65.37586534,65.74924053,66.121457,66.57883912,67.81046674,68.59103738,69.57183523,63.14433412,62.07689913,62.31008234,60.51327981,61.41031497,59.61298273,62.42176197,61.77905615,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.30501541,27.20903043,23.93162393,17.58055399,23.48532299,32.40531697,34.8270381,37.8895089,40.76349946,43.77423757,53.09584856,49.24789616,49.94499847,52.72729221,53.95354809,62.24164987,64.13194527,67.02505577,73.21333244,74.98122497,76.84271487,72.5117923,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,58.28105444,56.26886432,55.27274305,55.82725841,56.42173339,53.05474025,55.18933639,54.5533502,45.69048457,44.66315149,48.80159624,35.89655064,39.60258772,37.23104654,30.95365947,33.82230889,34.54541323,40.44550184,40.77257185,44.13355753,48.47721875,52.94925001,50.84156609,45.41277708,41.73332281,37.36096898,37.65004756,44.2077168,47.35176207,46.25955264,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.11542184,63.38947643,63.6988707,65.7681128,66.83369609,68.83620718,69.41785877,70.01879638,69.54435773,69.93658766,71.25972611,
Morocco,,,,,,,,,,,,,,,,,,,,,50.48718037,53.02465317,52.39682769,51.19982466,51.86459111,50.4725761,48.11580832,50.48550845,47.7290742,48.12453203,48.31807124,47.45919729,50.05637163,50.79771196,49.1634732,50.85426168,48.88320698,50.44980617,52.06731616,54.33399948,55.95051134,55.88120349,56.1290616,54.77814862,55.15939579,57.10276903,55.95832014,58.95494353,55.04492989,55.01969664,54.95884406,
Mozambique,,,,,,,,,,,,,,,,,,,,,28.49341463,31.1000008,33.59999829,34.90000312,49.81658074,39.29856187,43.86860343,34.40692709,31.7334759,28.33625136,44.4707077,46.23631888,48.77973813,48.62739881,51.538398,50.66816873,48.45484937,47.38743842,47.19861621,48.77694181,51.47157398,51.67574879,49.02908574,45.86194547,45.16949229,47.69856575,45.7192937,46.41135717,45.86551119,44.92526432,44.75668384,
Myanmar,,,,,,52.20356126,51.39774948,48.49335731,46.77230677,46.91880789,47.81676408,47.36035233,48.09692086,48.39370309,44.10046557,42.15615221,41.8638577,42.31885904,43.19811231,41.68340922,40.78582966,40.23320836,39.72997428,39.60821758,38.74843382,38.73439383,37.60367766,34.40128958,32.9407367,32.00952976,32.20498166,31.32513287,30.04915501,28.05850455,28.38990122,30.14341962,29.46816839,30.89943895,31.09177923,31.0897951,33.06910672,32.35031867,32.46478604,35.1211982,35.44216504,35.8005545,36.84374985,36.26810515,37.05908826,37.35521078,37.64413408,
Namibia,,,,,,,,,,,,,,,,,,,,,33.04075235,40.93137255,44.67741935,47.15407262,49.31385569,44.69293575,45.5277004,49.17898194,45.75737115,45.70380382,50.24639533,52.85232203,56.38253638,61.54770488,56.72955975,59.98577904,60.94286141,61.18394649,60.04417647,60.9511272,60.21696891,58.56575119,56.73798277,60.71325938,60.84437297,59.49708128,54.88926746,55.0413655,52.84789313,57.96891336,72.88442057,
Nepal,,,,,,23.49746615,20.21988235,22.84946416,21.34466071,21.63854742,21.17525463,22.60968854,21.24383559,23.51254897,20.49899172,20.06777092,21.85182892,24.88465009,25.02442479,23.70181395,26.309053,26.73368527,26.1356206,26.90010343,26.41065522,33.18186982,32.67067549,33.44928112,32.93405711,33.08918366,32.13058068,35.42197853,34.73683341,37.11049524,35.21694287,35.48708239,35.57886711,35.704084,37.60207448,36.89905796,37.04840202,44.56447072,43.31953987,44.31325694,44.97033148,45.95531327,48.1602571,49.34564754,49.9370413,49.60634944,48.48581597,
Netherlands,,,,,,,,,,,56.6316776,57.43038691,57.96287792,58.48181502,59.10968541,60.37005032,60.1556281,61.5299344,63.03437292,63.54446227,63.12610941,62.29076334,63.23468543,64.01661106,62.7123277,62.5875857,64.84598235,66.3686033,66.28547816,66.07213448,66.22198792,66.80946613,68.0754625,68.94909435,69.23295057,69.16346858,69.83861585,70.70291219,71.77241403,72.80642398,72.41326674,72.78219924,73.5861806,73.79601934,74.00280172,73.74249751,73.20860438,73.23786073,72.56506998,74.36167873,74.14896914,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.06600503,72.28791497,75.74006779,76.00447002,76.63391341,76.24325875,77.39789168,76.71390972,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,56.2412238,55.75346447,57.40200142,58.9126694,58.74311509,57.16665722,58.59844799,59.60457629,56.99569829,58.86485057,58.64904715,59.34328707,60.22218123,58.65535727,60.8119153,61.6894969,62.96651233,64.29495689,63.27595328,65.45556249,65.07100517,65.45092961,64.90301237,65.13237854,65.9314893,66.22191492,66.90562819,68.35010596,67.6739367,66.18333847,66.52609344,68.25609362,68.89192162,68.84487162,69.4744613,69.54347756,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.71118648,49.29251865,47.87731334,49.56874126,50.27872192,51.64089323,50.88539617,51.03131482,51.24926515,52.9546604,51.31729922,51.19529075,50.67451956,52.68768516,50.5469141,50.94373376,48.82755952,
Niger,20.79010343,22.6665066,20.4827475,23.43844165,22.07665734,28.82426476,29.40465457,24.85992773,25.97680394,28.33608714,28.1834129,27.14179538,29.43825059,30.35076365,28.47005649,38.67513967,40.09270012,34.22515974,32.36248842,32.5749684,34.00000037,35.19240298,38.44645526,38.17493686,42.6311672,42.3362167,43.43342531,46.08850847,47.29093274,48.38199222,48.59342606,43.18917178,43.38038341,43.62931587,41.90574898,42.54367432,43.26591382,43.2149429,40.66153612,42.11331373,44.40018744,43.00140252,43.44262295,43.23149606,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.91597299,20.54243522,23.69906702,23.73674921,26.08549875,26.63379423,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,62.51056369,62.9013755,63.25918673,63.44548354,62.85255061,61.59823606,61.6986494,61.81364219,60.8322554,58.63503547,56.82220174,56.6649802,56.894847,56.26292193,54.51745588,55.22849401,61.65480717,62.43015463,64.19323855,62.92092621,62.62336314,63.59200889,64.25400675,64.56992776,63.95202119,62.75658601,60.72977323,60.43807776,64.66493355,62.92216821,55.95263316,58.00269092,60.33077645,60.63934531,58.78984357,55.91694097,54.16559383,56.91610588,54.22253923,60.06812338,58.17902784,
Oman,,17.79142617,15.42288557,15.42056075,15.83710407,15.92920354,15.70247934,10.56701031,6.988564168,6.69999,7.209728464,10.79136691,16.90340909,19.30342385,14.24802191,19.67684634,28.19179995,31.26320828,34.97096233,32.65606743,28.09157393,30.39524344,34.16877359,36.36264341,37.98615236,37.93802102,45.22286008,39.72164751,49.74104711,47.63569675,43.31723386,47.9636764,48.87737841,51.8985761,52.3604373,50.73957533,48.12999001,48.75769774,56.37230565,50.07906552,40.79914528,43.67742295,44.43985042,44.11324399,43.03195635,,,,,,,
Pakistan,38.18263598,38.16945634,38.74478508,38.20987656,37.97567717,39.72792909,42.32319925,41.62707921,40.51601686,40.74567111,40.84899986,41.33736164,41.9125844,42.03306256,43.15585443,44.50974749,44.15226299,44.79637022,45.5813654,45.98962028,45.56034381,46.57165378,46.18025389,47.66573452,49.37878499,48.9959161,49.02630728,49.7313904,49.60276042,49.16107845,48.83207471,48.77965457,48.63495813,50.28824019,50.18506423,50.06450448,50.35419099,49.78702764,48.88777549,49.22979024,50.74497055,51.88767255,52.78434274,52.73209184,50.82899298,51.43346713,52.77073063,52.64353228,52.87661728,53.70530868,53.38853298,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.90031655,80.65132333,83.69569194,84.71756197,87.01369095,88.01851586,84.30546263,83.79126577,80.8175862,79.90074844,78.73833754,79.55908028,78.98010609,80.37962815,78.81952894,75.79823635,,,,
Panama,,,,,,,,,,,,,,,,,,,,,71.54664154,72.24613044,72.8255729,73.50468563,73.6823032,71.67676306,75.0197803,72.1213119,73.82230671,73.71646067,75.11743468,73.97142001,74.90918687,74.139687,74.72667859,74.34022801,72.28284642,73.62995921,73.728606,72.89909286,73.615239,75.23568161,76.40812919,78.53015966,73.544311,76.4561912,76.87663601,76.83240463,76.69411519,77.06586033,77.91616857,
Papua New Guinea,,35.89863914,36.72391017,38.84711779,39.93948563,38.45117845,35.88445503,35.5878631,35.94127624,36.92599466,37.63463035,37.77072318,36.19421887,32.79642609,34.04496066,38.42540214,39.78780182,36.88800953,34.6302077,33.15553104,35.91140751,39.22508318,39.70770374,34.81361551,33.90872295,34.90869173,33.50691117,32.18424917,30.47559478,38.2207158,36.75172911,36.03067097,32.65376594,30.73893244,32.32355724,30.85798516,30.05189373,31.58702716,31.51091562,26.82874355,22.80840293,23.16636761,23.34121299,23.1201869,23.33346147,19.94334511,19.03509358,19.23672439,18.4459988,19.59365219,19.45432558,
Paraguay,43.70164169,44.40426783,44.25327084,43.14762613,43.41651446,44.5139648,44.92235976,46.82606084,47.8370815,47.46722405,47.25230316,46.0256044,45.14597847,41.89672713,42.0538264,42.07594046,43.25007357,42.81330176,44.16355005,44.87707453,43.93259752,45.09488966,48.11448869,50.69062737,48.59123374,48.49665293,50.19085778,50.13233878,48.22422619,47.31794148,46.98504881,48.16384692,49.60910839,49.66768682,58.0790915,56.46783751,56.17755527,58.84777472,59.72404575,58.93552571,60.50649668,60.67452703,60.24152099,57.26983089,57.10356426,58.19738648,59.3474457,58.02161321,56.17335826,59.46594756,57.30903886,
Peru,48.38424762,48.4777627,49.64309945,52.44299939,51.90724751,52.59643911,52.22570605,50.49341981,50.57843766,50.14468726,49.74999973,50.43227619,51.09763447,50.0241444,49.41581865,51.89359983,50.50251188,49.70235317,48.59832782,45.49440032,,,,,,,61.34414683,56.31715395,56.31715395,55.77441576,64.08420652,64.42873951,63.60954552,61.52860833,59.62496048,60.25107956,60.55033029,60.67221706,61.32907094,61.6885822,61.60675852,62.17196041,61.76821151,61.53693958,59.73242059,58.46872327,56.03096462,55.93175872,55.7117584,57.35049061,57.46500674,
Philippines,41.79121743,41.57496858,42.06281068,41.01488331,42.13464184,41.73851528,41.91655278,41.12737209,40.20110608,39.87962011,38.59160634,37.33210208,37.02887041,35.32140393,34.45079908,34.66049097,34.58034289,34.44596462,34.90544039,35.08477082,36.09655834,35.93623489,37.82367574,38.40147178,37.33938884,40.35458302,41.47764692,41.55799076,41.88157391,42.40894101,43.62401217,45.00272834,45.34200875,45.71248941,45.4664452,46.31058196,47.2962657,48.99464014,50.84996065,51.73300163,51.5771488,52.29841296,52.27066753,52.7347739,52.94194349,53.50103669,54.13813313,54.45022134,53.87876774,55.20913838,55.11738739,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.63038891,46.09120028,52.01117437,52.82472987,57.51026303,56.8250391,58.87699542,60.00672492,61.19033125,62.04448006,63.33461185,65.43527195,66.79565135,66.04666847,64.14049521,64.76188607,64.60293885,64.0350792,64.72767888,64.61152844,64.82866626,
Portugal,,,,,,,,,,,39.76629214,40.29048457,41.32447272,40.83338664,41.04117155,42.81227145,44.9067332,44.9067332,47.49388984,50.18785363,51.55893937,52.65506962,53.16647439,53.72766298,55.13973287,55.73053777,58.93668675,58.72192568,59.54403351,61.01217637,62.61311258,64.67466632,66.10124372,66.98200501,66.47069631,66.06816129,65.52491756,66.15148344,66.77260886,67.46741868,68.39425291,68.95179207,69.73929691,70.73250963,71.21480987,72.30106969,72.44451223,72.78445127,73.57271256,74.77107068,74.49899896,
Puerto Rico,,,,,,,60.72938276,,,62.39379246,62.39820331,64.67140176,64.09859442,63.64623003,61.0672996,62.15359251,59.24559491,60.75129773,59.02463195,59.61568517,58.04892042,58.6386063,58.91303977,58.91494504,58.03805771,57.61143618,57.88414846,56.81338224,56.21160841,56.70397825,56.60734584,57.00808055,55.52722464,54.73491773,54.53583468,55.00022264,56.06804467,56.36706996,53.93806576,56.23242683,57.07969622,51.07919031,50.22064108,50.43345486,50.74751991,51.5343964,51.93312016,52.14266372,51.51259588,49.2554463,49.30755606,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,26.96379952,24.90942331,,,,,,,,26.3164573,34.81753944,36.62260211,35.26559173,32.17864255,35.83083862,36.97059447,41.2172425,48.41920201,50.98066562,51.1079733,48.06862915,49.33879905,52.2114355,50.71348681,54.89335209,52.07162363,55.9231003,67.62937901,66.88025345,66.66082328,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.96971761,35.0378567,38.10153132,49.59897808,47.12069294,48.64783317,55.88345442,54.11803207,55.50508125,57.03046535,55.4536446,55.61987015,57.71082525,60.93556988,61.17459574,58.05111825,56.95573025,58.24707103,59.14636116,59.47691223,61.60896352,59.28037131,
Rwanda,,,,,,18.35480167,18.36270363,24.40211589,25.22184286,24.8230168,29.7862662,30.13944826,31.01321691,30.24590186,31.65969326,31.81731918,31.88944639,32.33282395,35.45960096,32.22418634,32.6048694,38.470321,38.48195718,37.7134665,35.92429077,35.47835457,39.38974866,44.45946305,43.64238522,42.27093542,42.82983814,46.92724341,48.05894828,47.93028029,29.07116951,40.02836724,34.72489637,35.42898083,35.77981455,38.69747123,49.23140469,48.50727686,50.58066687,50.69029459,47.55939264,47.54772744,47.80667902,50.4253309,52.78157786,51.75451472,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,52.16763006,58.64759428,59.61319681,57.48792271,64.48748991,61.52758133,63.60373295,65.14778325,69.22651934,64.53734147,64.61412151,61.64241164,64.46795271,64.59447611,66.81346613,66.87642856,68.00237766,71.02114186,69.4042345,70.18279471,70.62569067,71.43576623,70.52206519,71.37677167,69.85249621,71.42996141,73.46122395,74.94267596,75.75929398,76.38999207,76.00158243,76.23417788,78.50851698,81.84539407,
Saint Lucia,,,,,,,,,,,,,,,,,,,,62.02531646,61.9907318,63.99375603,65.27896269,66.68904018,66.96477723,66.59618,64.70472441,69.19656256,64.99580653,66.15304133,67.34748365,67.93480764,66.66389961,68.10319977,70.40129899,70.32928474,72.33256487,75.52259557,73.53090053,73.29574248,73.83259694,76.35459232,76.7106615,76.86480803,75.79435137,75.54974591,73.4543457,77.98888073,77.10601475,79.0692253,80.16807029,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,60.09529482,58.37196366,59.36127745,59.18367347,58.51314805,58.22588963,57.90816327,58.51435386,56.95049505,56.55966504,58.32156127,57.50328557,58.27183349,55.94728244,57.86533069,56.33315216,59.7885264,62.66034737,60.96421471,63.11256077,63.3027807,62.307119,64.21622198,71.79034448,73.35362972,74.65728128,74.81624666,74.61117242,74.91277516,74.74672559,72.82301446,73.81280072,74.1999025,75.22999428,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.13964898,51.90449669,52.84516697,52.83173669,56.46617474,58.525913,57.19941572,58.01621832,56.96167168,56.98910558,55.97997518,56.18904546,57.77234212,56.66148686,59.45843992,61.79526184,61.97757011,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.46093827,62.97960203,61.16766289,56.40051201,62.66370193,,,,,,
Saudi Arabia,,,,,,,,,33.02202266,33.96908825,32.87835179,27.38630081,26.54800143,25.53894957,15.249377,26.84120543,28.46961923,31.63102357,38.10905332,33.81397542,27.41619073,28.09997106,38.4750372,48.29339007,51.00894799,54.89718846,57.25389582,54.15431859,55.12542384,51.25313407,45.46593363,46.0409896,43.07378072,46.27131884,46.32892772,45.22646641,42.67318689,44.06491636,50.23598299,46.91420892,41.1452793,43.56997847,43.42205039,41.11226275,38.32052758,33.53460013,32.42573831,31.59766029,27.47657942,37.39051784,35.45243614,
Senegal,,,,,,,,,,,,,,,,,,,,,59.85001556,58.37712805,56.46098675,59.92562637,58.42303746,56.23215364,55.68484864,54.76527431,57.12010562,56.53795168,57.89157361,57.51664032,57.13261792,55.91841704,57.03800626,55.20896687,55.74156136,56.75241247,56.94508278,57.54211698,57.62731454,56.96085609,59.00366897,58.16266982,59.20292037,59.51261591,62.1760072,63.04718548,62.25377072,61.01862085,60.24543302,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.59214726,51.68358584,56.05159974,58.5758607,56.55250026,58.90347312,59.70854181,61.3813974,61.17668568,62.41436412,64.30798091,
Seychelles,,,,,,,,,,,,,,,,,74.15207877,76.9979716,77.79458733,77.61101464,77.52415331,74.97427454,78.08304069,76.472958,77.02462316,75.89011536,76.08848041,79.00995773,78.79581152,80.12062033,78.93345534,77.13751831,78.02088961,77.03616224,76.36008783,73.15924304,72.35421166,72.15860899,71.53343954,69.76835021,67.98169812,68.91418146,66.73367518,69.59727652,68.78674426,75.60663112,77.14417964,77.54054243,77.61795963,78.93811974,,
Sierra Leone,,,,,35.64957427,38.49337748,39.10659898,40.00786782,40.96342551,41.37987013,41.46610036,41.79514578,41.93725922,41.4340322,41.11319451,41.16626171,41.8180442,42.87096774,43.7707325,45.45325645,45.03529577,48.00545658,47.12337991,47.0846525,46.23737789,41.1795877,45.97956079,36,42,43,33.90295176,25.47412548,21.0569885,23.71281675,20.21571461,18.38967501,14.4219313,13.66523361,13.48590915,12.87171822,13.25025558,27.19800975,27.46682968,28.58277706,30.8914269,24.81393821,25.73601539,25.86855077,26.29923504,25.19109271,30.37021141,
Singapore,,,,,,,,,,,,,,,,65.41562455,64.76856016,65.03914573,65.73339617,64.06719159,62.26179545,62.8002976,64.11506702,63.02538511,62.37522075,65.72943293,65.06310451,65.66529514,64.7361349,65.99214687,67.77586423,66.105531,66.33292595,66.27450299,66.76289774,66.53704889,66.61355241,67.1436372,66.36271845,67.36497722,65.35447326,68.11749567,68.06239283,68.8090809,67.12377109,68.34158271,68.65788317,71.02014631,73.29062482,71.62279893,71.69705075,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,31.93965254,31.60942909,32.37787214,33.16465435,32.17358634,33.45323759,34.18830338,56.72585121,58.88626592,55.30604422,56.3284413,55.49892565,59.49459086,60.02386968,59.95922646,59.34215221,60.46448633,60.94411388,60.53374392,59.38446162,59.87873173,57.3880046,57.4632321,57.07935986,60.8067639,61.19624107,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.94074892,49.16994571,53.14829176,55.9274345,55.17324442,60.75289797,60.69751742,60.36134128,59.94007032,60.81501628,61.07495757,61.68853317,62.03853137,62.49997582,62.90689497,63.17766586,63.22731234,62.89610931,63.62901911,66.37019377,65.94006243,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.09489556,37.27714946,37.61235685,39.57450345,37.66675931,40.97205636,43.08760572,43.96328078,48.54837214,49.55391513,52.60401925,63.69277101,56.83315326,49.293525,52.88913162,57.44012564,57.59341689,49.79504328,52.72218245,55.00086828,,
Somalia,21.19004836,21.94450822,21.50609727,22.91634968,22.39196588,23.7322784,23.09506531,24.84539624,25.08932945,24.58899764,24.71188972,25.43402778,23.77465137,25.57531058,33.98825242,33.3200959,29.79252118,26.96573959,29.14507066,31.21013153,23.59564368,24.04538649,24.17119469,26.13678896,24.82854312,25.55970463,27.51586748,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,50.97233608,50.50334148,51.00522183,51.11756532,51.42841176,50.97593543,51.22579142,52.02858677,53.54996248,53.48158904,54.65512855,55.71127308,54.64350003,53.08747955,50.95632687,51.16180525,51.68939823,52.20633893,50.79235965,48.39567865,45.42833787,47.88876948,50.05578572,50.8537299,52.00881959,51.19307508,51.07748467,52.74444261,52.61473436,53.86008222,55.27282534,57.08404914,59.77628214,60.28420581,60.42163183,61.32558222,62.35963131,63.32300489,64.04899155,65.24071086,64.94324875,64.21648195,63.23626697,64.88499329,65.61703132,66.1641449,65.95741704,65.43498505,64.17712836,65.66118395,66.72937324,
Spain,,,,,,,,,,,49.56845514,49.946708,49.61958242,49.39359368,49.16952452,50.3717749,51.56914552,52.59636544,53.8222725,55.2802614,56.16145396,58.00922192,58.5032635,58.87197508,59.39393823,59.46825937,59.21212773,59.77049651,59.8291258,60.0009012,60.78639851,61.90549845,64.24267664,65.58960343,66.20660191,66.10912654,65.78943143,65.70843134,66.03466228,66.33014331,66.38653253,66.55845836,67.03380261,67.1092835,67.26045338,67.11343171,67.36570312,67.9390024,68.90847591,71.25627361,71.65074563,
Sri Lanka,47.94616442,47.34562553,48.62447613,47.81650616,49.44269291,50.5148527,51.64507948,50.67221714,47.70289419,48.20184897,47.91082301,48.22290624,49.45652174,47.31584571,41.76894875,43.21747,43.89626119,40.63833253,42.28612189,44.84151224,42.80596307,44.30957778,47.34735338,45.40473097,45.01960092,46.11147165,46.30664978,45.59981025,46.98205493,47.61810674,47.7137799,47.67589582,48.50968548,49.74597254,50.05771144,50.45501754,51.12122701,51.23155713,51.35330546,52.0485961,52.81948423,53.14266302,57.71000289,58.34489275,58.83809434,57.99243471,58.02142459,58.39701589,57.24961418,57.6365812,57.76691482,
Sudan,31.10908717,31.17019821,32.103926,36.06810411,39.65894738,40.914037,44.84579637,45.42682927,46.92613031,44.77278814,42.02422821,41.71650933,42.32884883,41.49405951,41.82195459,45.44258535,47.66208888,47.74419153,48.63704462,51.15384615,53.01119073,49.34785958,48.45063037,50.96331622,53.27294743,49.95058737,47.46212121,50.87686882,44.76386137,46.40673282,44.16180558,45.61327138,47.51365034,45.99875249,53.90843941,50.78311894,41.18985686,38.61877495,38.44599367,38.53627239,36.78329382,38.02779384,37.35577454,39.26581205,38.94013842,39.67552569,40.76627259,40.68982388,39.71536504,44.29862885,43.32871842,
Suriname,43.37215752,46.10935857,48.10568295,48.2629108,47.96224796,46.79343773,41.22546104,40.30079021,40.40657835,41.07181601,45.57795146,43.72537985,45.66678458,43.81654318,37.67132877,51.3620267,51.008916,49.19193763,52.97354661,51.83249515,51.99314041,52.59528919,56.92657472,60.37772586,59.11372267,60.73553326,61.56150844,63.72225884,60.93377128,62.76424725,67.09176601,72.85424645,71.77566983,64.40027894,54.54300281,53.29099948,54.66925689,58.37372518,66.14752933,65.30490353,63.6730547,65.63081462,61.54963857,61.9529632,58.93393677,57.29705419,55.37347561,54.03104657,53.05102578,56.39599555,,
Swaziland,,,,,,32.35908142,31.10687023,35.17786561,41.75824176,36.7013373,38.32417582,38.20861678,33.07008885,34.34782609,35.58673469,34.16149068,33.5106383,32.55813953,28.24427481,31,47.10860586,47.10860367,49.9999966,54.86831892,50.9185063,53.33333107,48.37754942,46.39225487,42.75759686,40.86476815,46.45179853,46.38435351,48.93649933,47.48516626,44.40421923,43.00363354,42.62936892,42.01710325,41.78813892,42.30832088,43.88432676,44.11017991,45.03608614,43.81930363,44.66880603,46.5283622,45.47903825,45.49000275,45.67388227,40.70747781,45.49000275,
Sweden,,,,,,,,,,,57.10728207,57.93242779,59.11168939,58.8710814,56.75116346,57.52073763,58.62377362,61.48906555,62.99954988,63.18211615,63.73736614,64.67842069,64.47570598,64.38146324,63.51104792,63.55077427,63.55009284,63.84949012,64.17051059,64.38616986,65.36377414,67.41303287,69.21995969,69.36228589,68.33505852,66.4919021,67.9944564,68.22849451,68.26441511,68.89410605,69.11265381,69.76298247,70.03339085,70.41222423,70.09057855,70.64881952,70.32932642,70.06562547,71.43064576,73.61039298,71.49922942,
Switzerland,,,,,,,,,,,,,,,,,,,,,61.15166673,62.02011157,63.11157029,63.51736332,63.83440307,63.76871979,63.71896844,63.60922266,64.27246988,64.68374074,65.11804279,65.69646262,66.73326009,67.71700682,67.05194018,67.61943066,69.06270684,69.76434576,70.3344122,70.48322833,71.14144423,70.8034319,71.37471084,71.8266693,71.94037788,71.55982746,71.21154437,71.19948113,71.10210329,72.40269517,71.75418114,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,54.77459308,51.39481293,52.75873308,46.81253166,49.95784074,44.7326763,43.85394046,46.71838703,47.7358531,48.86338303,48.1527381,42.45422586,41.21048995,41.83696401,41.18026948,38.30624279,39.72743699,40.98926622,44.95475784,42.98325874,44.30512884,45.50121867,49.08590928,49.34932469,46.47022556,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,25.02085729,26.76694052,26.53396979,29.08681487,31.75367299,29.08332818,26.44917201,26.54232425,30.18007213,35.02123513,22.22767901,29.45432236,35.92965571,45.82889169,42.99713437,33.72290001,33.76633094,35.90684268,35.44606861,46.60305315,44.73544986,47.77173743,50.37458947,48.42554241,53.90688956,56.63559231,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.39168638,34.96892157,35.80161766,36.31961696,39.88246503,38.35640685,37.75167926,38.91834828,46.14883596,46.3942941,47.33651475,47.83024205,46.47877968,44.9611653,44.32313483,45.51979765,46.7141657,46.70044418,47.1518342,46.92849536,46.46585178,
Thailand,45.03912933,44.9971145,45.05436129,45.90747435,47.6657724,45.19141922,44.09423709,45.798771,46.41135208,46.37865048,48.77883623,49.02216678,47.38389128,45.52003451,46.3467055,47.3458621,45.6854238,45.87365618,45.9442889,45.66112153,48.08205785,48.54370911,51.94178965,49.35661523,50.45078011,52.34794113,51.25291238,50.9234086,49.24195571,48.67317794,50.2756267,48.69229456,49.6468264,50.88006292,50.30872158,49.74886861,49.67908539,50.38642424,49.590152,49.67627434,48.98585765,48.72430166,48.12529458,45.9601556,46.29612622,45.77081594,44.88400738,44.5861603,44.38667575,45.19701321,42.9578515,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.09626064,55.72422517,,,,,,,,,,,
Togo,29.62966794,29.3548756,32.4074396,29.91460252,31.94110226,34.42264055,34.08664234,32.45613903,33.55591461,35.77577542,45.15664124,45.75409725,48.93618783,47.79248159,42.25352267,46.86319149,47.22973125,45.07853383,53.11828041,49.39377472,47.73011314,49.33077781,49.66666448,44.1055526,46.33524692,44.67153119,45.37289343,46.53702299,44.87599715,43.45770357,43.71738266,42.02025858,40.96370063,35.17954234,43.84944758,40.05642005,38.10241209,37.68434093,48.17484649,46.85696667,47.93405775,45.03338431,43.34395959,37.05370388,36.03049157,32.59694371,,,,,,
