"Services, etc., value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Chad,49.59898153,50.06908487,51.00612501,50.47453931,51.16679211,50.49417297,48.44652032,44.45829275,44.11660549,45.50923234,46.87111289,46.88737229,46.97425405,46.57919059,45.73688308,46.21667302,47.55192978,51.28187184,51.17541936,48.78702295,45.99957671,48.51532695,48.1556525,47.56653945,50.35398547,48.87568474,52.38583931,52.33059809,49.73378612,51.67356162,53.00294235,50.24180303,51.22171465,53.45456505,50.24071574,50.52202985,48.06607578,45.81879979,45.71269469,47.49989341,46.34175561,44.61465396,45.71738878,42.03894879,29.40530183,27.29173148,27.75155534,33.21920384,37.5274825,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,55.17886405,53.04397251,53.68829533,53.7154302,49.76728342,51.36612022,50.57915058,50.74626866,50.64377682,49.85294118,51.13402062,52.89912629,53.62505363,52.05335205,44.95365276,54.96170545,50.98043754,53.27235262,55.4053846,54.74953312,55.30335771,57.12304408,59.77729188,54.24384514,52.00383827,54.77816268,54.0417081,52.79721364,48.0416015,49.54837052,49.82847344,49.98905219,52.01399129,55.00198777,55.01166708,55.47122035,53.73497282,54.05462961,56.4195827,56.45347336,55.49077441,55.48709406,54.76518892,56.92940412,54.07912838,52.0475223,47.23325476,47.20631697,50.88975336,53.09852345,53.85680821,
China,32.96101755,31.94825088,28.71131538,26.90277447,26.08190103,26.96812552,24.42719369,25.75680293,26.66705366,26.45131642,24.29085218,23.79244637,24.08562141,23.53632998,23.39510323,21.87635905,21.72435751,23.44545416,23.93558863,21.63392961,21.6033096,22.00916021,21.84693911,22.44117611,24.78184373,28.67125023,29.13617357,29.63859907,30.51426392,32.06393361,31.54308443,33.68500786,34.75551163,33.7231384,33.56951236,32.8626157,32.77228752,34.17383156,36.23184285,37.77222699,39.02033768,40.45579483,41.46744282,41.23370608,40.38154187,40.51061687,40.93805838,41.8914931,41.82196847,43.42530484,43.14210797,
Colombia,,,,,,43.77442531,45.13444085,44.91211769,45.13569041,45.54166678,46.01628649,47.58499429,46.09831871,44.24108154,44.51241317,45.78064867,44.3880644,43.48519872,45.7994583,47.74401446,47.60061299,48.71483429,48.92663271,48.53448004,48.19095805,47.00594263,44.65242393,45.27933771,45.04402666,45.14850124,45.36235714,45.43204677,49.25164148,50.12022843,52.49094433,53.02374977,55.41524917,56.9236259,57.36543669,57.43917282,61.59202338,61.66440217,61.52072243,59.9563973,59.27887876,58.95822729,57.95742492,58.2569092,57.83882779,58.49384668,56.73577954,
Comoros,,,,,,,,,,,,,,,,,,,,,52.81673775,53.17059106,52.41261838,50.82125301,50.04896747,49.81336029,49.64456809,51.43559126,51.15056333,50.8005087,50.31436378,50.97515439,49.04907888,48.93075356,48.76601466,47.16513846,47.16618419,47.16519829,47.12758255,47.10747018,39.92666148,38.31878707,38.25925482,36.73389867,36.86621498,37.99001993,43.0096692,42.79922223,42.20838812,41.58137899,,
"Congo, Dem. Rep.",,,,,,47.64941855,47.96165753,48.00711153,44.17754275,43.26519647,38.57981404,43.45448152,46.78099935,42.05015583,41.00789146,45.04180857,46.44833351,50.16252303,47.39121718,44.54620192,38.18019537,40.34702419,40.66409449,38.46142506,39.14072683,37.13205381,39.96416992,42.00180178,39.97800985,39.84235225,40.04495045,40.75999339,34.10173128,31.76943335,26.99999958,26.00000024,33.81277131,30.32771197,31.64065099,28.44660027,29.73135222,20.08779723,27.49560166,27.49560052,28.28991952,27.54647455,26.59897483,29.12685083,31.82612054,33.04813164,,
"Congo, Rep.",59.26019156,61.47492527,62.31139832,61.24071315,61.0483273,61.9341601,61.0701107,60.2739658,61.09324759,62.8446809,58.15789474,60.99212142,62.31884058,62.16887417,59.47480483,53.10218978,48.91846922,52.92553191,54.46293495,49.2941098,41.70365982,41.22207864,39.57746479,38.08808809,36.49453312,38.63826638,55.26430699,52.27446053,56.2168437,49.08644639,46.49606299,52.64732666,52.96239052,53.45349296,44.20171831,44.67903806,39.17057783,33.99719702,42.9875663,30.37328365,22.54307525,28.71161451,30.41949736,32.55241658,28.62610962,23.57429844,20.53876218,22.43186026,18.90938735,24.3771559,20.79240206,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,53.63962305,52.69611644,55.04008871,54.8683594,55.15815169,55.44057136,55.98946454,57.83580699,56.45986499,55.75959774,56.77011739,57.05651776,56.70081633,58.11559974,58.07910278,57.36581039,54.35592909,58.45932988,61.45072129,62.37121166,62.62813664,61.84873086,62.11570337,61.90439295,62.24947596,64.11205458,65.35654753,66.92496307,
Cote d'Ivoire,38.95329292,39.71419328,40.11403251,41.13268721,44.13483131,44.4542994,44.67408961,46.35885289,48.13997184,51.00310912,49.63957237,49.42686802,50.46127587,51.20729361,58.44384367,54.7153998,59.15619052,60.57692373,57.63966744,56.53761128,54.37927357,54.87793898,54.58658712,56.63750066,56.31724538,53.7163436,50.25602146,48.45280419,45.30984647,45.49986529,44.33098533,44.9996183,44.68344343,49.03090198,53.69654623,54.50439667,54.97903306,53.03081879,52.89811831,53.8352089,50.93370367,51.21020427,51.42310463,52.79694537,53.7466014,51.31842628,51.19252557,50.86021223,48.904274,49.85762433,49.66828861,
