"Expenditure per student, secondary (% of GDP per capita)",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Panama,,19.12635,21.56496,14.16254,15.84431,,12.3223,,,15.12323,9.94404,,,
Papua New Guinea,,,,,,,,,,,,,,
Paraguay,,,18.43649,15.97412,14.74405,14.83277,13.02691,,,16.26691,,,,
Peru,10.80211927,,,9.15086,8.61755,9.7767,10.02351,9.52899,9.92373,9.678,9.90316,8.85097,,
Philippines,,,10.22685,9.00738,8.84495,9.74645,8.76642,8.82466,,8.75654,9.11992,,,
Poland,10.90844476,,,,19.86825,19.75166,21.5691,22.16829,23.09092,21.97931,22.88981,,,
Portugal,,26.56714,27.59638,29.02734,29.3389,30.11877,33.54664,33.6041,32.90879,,31.61293,,,
Puerto Rico,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,10.9831,,
Romania,,,,,,13.54116,14.74632,15.96935,,16.64898,,,,
Russia,,,,,,,,,,,,,,
Rwanda,,,42.68369,,,,,14.51854,,31.21576,33.40936,,37.12571,
Saint Kitts and Nevis,,,13.62559,28.32001,13.23222,,,,,,,,,
Saint Lucia,,24.49837,,,,,16.83248,,,,,18.0725,21.62735,
Saint Martin,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,22.40582,,14.70296,,14.11401,22.37742,,17.48521,,21.06844,17.05823,
Samoa,,10.03584,9.56548,10.4293,,,,,,,,,,
San Marino,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,19.26211,,,,
Senegal,,,,,,,,30.91224,30.10614,,24.59867,,27.96585,
Serbia,,,,,,,,,,13.57636,13.91667,14.42511,,
Seychelles,24.0264453,,,,15.08361,17.03671,17.46895,,,,,,,
Sierra Leone,,,,,,,,,,17.9727,,,,
Singapore,,,,,,,,,,,12.82717,15.98666,17.51061,
Slovak Republic,,18.4204,16.06669,16.58619,18.50684,17.46223,16.88114,15.3017,14.853,14.77102,15.07586,,,
Slovenia,,,,25.5681,24.4891,24.77833,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,
South Africa,,20.04302,17.71404,17.50244,17.16385,18.65679,19.51357,17.4827,16.67714,17.37432,,17.63618,19.81397,
Spain,,24.37261,23.23635,22.64767,23.39251,23.68787,23.64791,23.29743,23.88026,24.12668,25.80752,,,
Sri Lanka,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,
Swaziland,,23.1631,26.11657,32.4781,27.50969,48.32098,31.29559,41.93323,39.47364,,34.38323,,37.07195,
Sweden,,26.0645,25.68733,25.50317,25.62513,25.6351,33.35424,32.2881,31.51099,30.63463,30.86594,,,
Switzerland,,27.32443,26.84555,27.63593,29.08608,28.88807,27.65072,27.82828,26.26111,25.21355,31.06851,,,
Syria,,20.97312,22.76703,,24.19324,,,,,13.18637,,14.24767,,
Tajikistan,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,18.8383,,,
Thailand,,,,16.16157,,,16.09327,,,,7.72148,9.27014,15.43892,
Timor-Leste,,,,,,,,,,,,,,
Togo,,27.71179,23.84748,,,,,,,17.00623,,,,
Tonga,,,,,7.70082,8.82238,7.46053,,,,,,,
Trinidad and Tobago,,12.21885,,17.26096,,,,,,,16.0547,,,
Tunisia,,24.59279,24.19065,23.51441,21.48409,23.7145,21.0305,21.70744,,,24.34317,,,
Turkey,,,9.58477,8.57385,,9.64798,10.9545,,,,,,,
Turkmenistan,,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,
Uganda,,,,,,,31.87005,,,,25.99631,20.474,,
Ukraine,,,,,,,,,,,,,,
United Arab Emirates,,7.16866,6.27886,6.36891,7.45457,6.04992,5.52489,5.5561,5.56935,,,8.57838,,
United Kingdom,26.3546811,23.7881,24.28761,24.47802,26.12181,27.48804,26.10328,25.56646,27.02483,28.11019,28.91187,,,
United States,22.51148354,22.278,22.70982,23.88598,24.32624,25.41886,24.25366,22.78978,24.19212,24.20621,24.79581,,,
Uruguay,,,9.94328,9.53089,7.96325,6.45594,8.39942,9.85979,10.51513,,,,,
Uzbekistan,,,,,,,,,,,,,,
Vanuatu,81.76941354,71.66236,61.35484,89.06077,,,,,,,,20.11251,,
Venezuela,,,,,,,,,8.30397,8.16511,,,,
Vietnam,,,,,,,,,,,16.96893,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,
Zambia,,,19.42828524,,,,11.85972026,7.757433076,,,,,,
Zimbabwe,,,19.2623146,20.98296724,,,,,,,,,,
