"Primary completion rate, male (% of relevant age group)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cape Verde,,,,,6.57684,9.84234,,11.91698,12.99639,11.52348,18.88112,30.23804,26.63915,25.18972,32.44903,34.27091,35.31157,39.41091,44.8466,,58.04409,,,,75.70364,,,,100.05199,109.35021,105.96694,100.40883,102.72176,102.26675,102.09329,84.91379,96.34757,90.66958,96.62864,95.22731,100.12531,94.00184
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5283,,,,,,,,,,,,
Central African Republic,,43.96397,38.82732,48.81007,42.35057,54.88611,43.16815,,61.45985,,,42.52211,42.23605,38.00864,,,48.59852,36.39445,37.44774,37.99953,41.86187,36.82962,29.91812,,,,,,,,,,,,30.92078,33.74091,33.14412,41.88557,45.70616,48.42228,52.33221,53.2816
Chad,,,,,,,18.82922,17.74464,,,,,,,,,,,19.42127,21.21255,26.85619,29.33193,,,28.11634,22.2633,22.96032,23.71097,,29.69864,32.74859,35.8816,39.7355,46.2496,47.39711,42.91254,42.08027,,,43.83009,43.18934,47.1688
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,76.80257,82.81753,86.21126,86.0094,84.16331,85.28448,89.01087,88.60271,,,,,,96.98863,,,,,,,,,,,,,,,91.0232,98.49345,98.59048,,101.14308,97.45322,95.74806,,,102.06293,,,98.966,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,95.79143,96.03874,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,61.07847,49.74218,50.02613,52.82718,53.01174,,,,,,,,67.55004,70.22633,71.07923,65.02246,72.29214,67.50657,66.8024,66.55848,62.63532,70.06874,75.86555,79.71795,80.72499,84.36271,85.78283,,91.54277,92.83279,92.86989,90.30992,90.72393,,98.39353,102.1102,107.91535,109.10287,109.28269,113.23216,112.59015,111.87797
Comoros,,,,,,,,,,,,,,,,,72.64019,54.8891,,,,,42.78948,,,,,,,53.24638,,,67.3913,66.54645,69.59863,70.09202,,69.74026,83.91722,,,
"Congo, Dem. Rep.",,60.40053,62.73694,,,,71.72949,73.88723,77.45268,,75.27301,76.17053,78.80803,79.55694,80.06073,,,,61.12776,,,61.98252,57.3874,62.65644,53.65057,,,,,34.12602,,,46.28893,,,,,60.14872,65.07742,68.188,66.86715,
"Congo, Rep.",,,71.05389,81.51899,68.60155,78.03611,78.57957,81.19328,80.15312,87.52457,87.31694,83.22919,83.09663,73.4428,78.57453,74.43813,74.42453,73.85644,75.42784,69.9859,60.90132,60.46245,62.61037,65.21131,55.80001,,49.39052,,,,,56.94675,60.36139,58.08148,84.94679,73.68861,81.12426,78.42818,72.88531,72.81884,72.84403,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,75.01281,73.52412,82.41208,86.88388,85.76402,81.9671,78.8681,86.02727,82.98988,81.68033,82.42943,85.52997,85.74118,,,76.02848,77.70564,75.13386,75.24677,74.4952,,78.21248,80.14983,82.33777,80.33957,79.031,78.97044,,,79.22397,85.14714,88.71712,92.56281,,93.84119,93.28952,88.92221,90.94273,91.52227,95.48379,95.26417,97.38866
Cote d'Ivoire,,,,52.1568,52.65978,,60.88185,64.59903,64.4787,66.92714,69.34645,72.84652,,69.18116,67.09236,55.46231,57.6697,55.90153,57.05344,52.03335,50.0441,53.86786,49.68767,50.84183,49.78484,48.18253,50.00053,51.58704,,,52.34217,59.08823,,,,,56.43557,56.23429,,58.18158,,64.93459
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,80.57304,85.98551,87.12842,92.68531,92.25039,93.51065,94.8717,96.35219,92.16264,,94.6432,97.06999,101.30729,97.78639,94.78895,93.06698,
Cuba,,59.70225,54.13467,,,,,,,,,,,,,,,,,,,,,,,,,,,93.00765,95.78254,95.42747,100.01465,95.03517,91.63414,91.95134,90.47517,91.71979,88.6181,97.62388,97.69443,98.12278
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,100.96061,103.97086,99.5756,98.12467,98.53899,,101.56877,98.02643,97.55493,100.01796,99.36486,88.09077,100.30179,100.89286,99.94413,100.78695,103.00226,102.00125,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,94.06547,101.72995,,108.95982,,,99.48196,98.89753,98.7458,102.57588,98.45417,97.54804,97.03868,92.63111,93.81713,95.98358,100.65604,104.67449,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,94.56866,91.32471,92.26287,91.13376,,,,,,,93.61086,91.60332,92.02495,98.30876,99.4985,97.14064,98.27246,101.69105,98.15561,95.10698,97.55805,96.70274,98.79923,96.03813,,,,101.16813,101.39683,100.41501,101.33642,104.97905,,100.36134,100.2004,101.64599,101.20512,,97.19883,98.29512,
Djibouti,,,27.33119,26.82717,26.93077,25.86016,25.5116,,,,,,,,,,,,,,,,,,,,,,,28.73019,32.88427,32.11009,,37.64601,37.7559,35.12445,39.09687,,46.07757,37.08851,,46.6484
Dominica,,,,,,,,,,,,,,,,,,,89.29766,,,,,,,,,,,109.2511,113.71681,119.51567,102.73973,101.59787,101.69271,98.45758,90.80158,92.10526,87.46356,86.92308,85.01629,87.24138
Dominican Republic,,33.00283,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.76614,74.05569,,86.58751,,84.19606,,80.58648,88.96691,,93.28079,92.67429,90.81839
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,59.48905,57.48002,60.87799,64.24022,67.95155,72.30174,73.84976,72.55338,77.38606,80.3055,,,,,,,93.71506,92.36076,,,,,,90.90672,89.15951,89.63516,94.02102,,96.86291,98.38379,99.16793,100.22,100.2225,100.65431,105.53886,105.77417,104.84761,,,103.94974,
Egypt,,65.48758,61.52082,65.41707,67.104,70.63552,71.54734,71.93489,66.69435,45.36134,52.71031,62.39533,,,,,79.10503,,,,,,,,,,,95.70402,,99.62799,97.91882,95.83765,93.00397,95.1508,96.83217,100.97722,93.79192,98.17595,,100.19194,,
El Salvador,,42.55595,45.41461,50.76062,51.38917,,49.78181,50.70503,,,,43.24615,46.34251,47.20832,44.7619,,,57.48221,61.03576,59.18537,,62.47615,63.116,65.2695,,65.61161,71.08578,,73.98303,83.98643,84.23588,81.9484,81.24592,81.31017,82.4713,83.7517,83.95199,87.00895,88.9924,92.08047,96.46038,100.4475
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,56.35088,,,,,64.86486,,,,44.90681,,48.31927,,,47.29892,50.07862,52.19575,51.26678
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,21.3401,27.78714,39.76488,43.41667,,38.36736,39.98473,39.7489,40.36401,45.02812,52.0437,58.5964,56.33664,52.72595,51.67466,52.14673,43.23088,41.52628
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,79.12108,91.48341,,88.51473,91.20714,92.69454,97.22342,99.78094,107.22029,104.1599,107.27663,102.08279,99.56909,96.34638,97.42823,97.57576,
Ethiopia,,,,,,,,,,,,,22.96655,,,,,30.60956,30.34866,28.59519,,,,,17.19136,18.03776,19.93583,,23.10583,26.82756,29.77375,36.54125,40.85555,44.16056,45.98742,50.69895,52.8414,53.5593,55.3852,56.24907,73.57448,67.59804
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,96.41921,96.0563,,94.85156,91.37741,92.25822,95.00643,,,,,,,,,,,,101.07004,99.7818,96.29991,95.30977,99.49064,103.29534,108.12933,,110.92981,102.24421,105.86232,104.87535,,
Finland,,,,,,,,,,,,,,,,,,103.61013,106.1922,105.62945,101.67219,97.79978,96.15509,95.8864,97.2528,101.14051,100.37034,,97.92199,96.24204,96.17052,102.00444,101.15466,102.44043,100.21875,101.14421,97.059,98.21577,99.48709,97.88201,97.64069,
France,,90.4416,90.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,92.55679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,78.95356,77.93392,,101.50843,111.87435,102.33417,105.90724,103.40104,103.97814,110.04659,108.8932,104.62755,89.60241,,,76.10494,73.87959,69.57472,,,58.41732,,,67.6163,66.73708,70.03214,,,,,70.18722,67.36723,,,,,,,,
Gambia,,35.03286,37.1147,35.2396,33.92453,34.94173,34.84052,28.25279,35.64392,36.96858,40.40611,38.88402,44.08308,49.34623,56.82077,58.12477,59.94573,64.9865,,53.67494,,,48.46882,44.39929,44.1464,44.92631,50.90191,,,74.23865,73.91686,75.05542,73.33493,74.60558,72.64359,68.26807,65.99393,71.59998,74.46904,,,65.47156
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.62621,98.27905,99.93631,96.95648,91.71649,96.66316,87.44143,84.42441,96.20418,103.82114,111.77172,116.20548,
Germany,,,,,,,,,,,,,,,,,,,,,,,,100.61782,96.9501,95.14711,94.51422,95.45991,,97.58567,101.95658,105.56201,103.04442,103.63576,103.11229,98.8171,98.70083,102.38585,100.00409,100.23148,100.53378,
Ghana,,72.17367,65.91398,,60.42973,62.8997,66.23348,68.61381,70.63009,70.37159,70.92073,75.75463,,,,,,,,,,72.28418,74.25545,,,,,,,72.13177,75.22712,70.76745,72.00524,68.63344,73.59625,77.2212,73.04938,80.22254,86.44661,90.1721,,96.58715
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,104.6459,103.03109,102.01043,100.62544,101.02666,100.86543,100.57077,102.54855,101.85891,98.38631,97.53264,97.36227,98.40383,101.84684,104.87268,110.96836,100.31229,100.84751,97.5352,,,99.51472,,,,,,,,,,,,102.77099,99.83604,103.61986,101.3603,,,98.77081,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,90.20867,92.19799,,,,95.48811,84.8583,,,,,,,,,,,,,,,,,,94.79725,100.88141,,,,97.06691,114.95327,128.9924,119.5547,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,32.77693,32.49418,33.92152,,,,,,,,,,,,,,,,,,52.72235,,,58.2912,62.99716,65.50746,68.84164,70.01618,74.70048,78.25965,80.619,80.62982,83.26253,86.79478,88.45324,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,30.35776,24.13696,23.04396,22.71502,18.5828,20.57112,31.1587,26.42799,25.62895,28.62533,29.26598,29.24677,,,35.7631,40.97687,43.89902,45.77065,50.45995,48.78229,60.78074,68.28559,72.87478,72.61478,64.324,72.66287,74.91081,74.07916
Guinea-Bissau,,,,,,,,,,29.12837,24.51833,33.35382,31.44122,20.62948,16.32691,,,10.67071,7.59555,,,,,,,,,,,37.26029,38.05087,,,,,,,,,,75.27148,
Guyana,,96.16451,89.73366,89.90136,89.1025,,84.26285,93.15043,88.78443,94.45427,85.94835,,91.82669,,,,,91.14555,,,,,97.32909,96.73301,,84.53883,82.02406,87.12342,,101.6814,100.33383,92.97148,,82.07998,83.61301,102.75429,103.4659,95.2538,92.90098,90.58754,81.95173,84.33403
Haiti,,,,,,,,,,27.65308,28.74905,,30.22757,33.38641,,36.37462,39.07352,40.6236,,,,,,,,,,49.16203,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,41.85822,,47.60502,,52.43165,,,,,,,67.60332,,65.7163,,,,,,,,,,,,79.23421,86.41905,,87.30592,90.92946,95.57196,98.42396
"Hong Kong, China",,,,,,,,,,,104.30431,102.4544,98.18091,97.70787,102.75176,103.60061,,,,,,,,,,,,,,,,,,98.8742,99.60083,99.52719,101.1414,101.59161,97.56914,95.39596,,90.29293
Hungary,,,,,,,96.22537,98.02637,103.20405,99.28471,96.97323,92.27145,90.57534,91.59923,98.62092,110.81107,103.45511,98.226,91.9513,87.21552,84.91794,,,,,,,97.4927,98.18182,97.43037,97.90167,99.10697,100.59071,97.46459,95.1592,94.88449,99.28682,96.45459,98.69884,97.86346,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.87856,89.93103,100.73699,109.97701,102.66486,107.50883,99.08973,102.03822,97.52724,96.89337,95.89568,100.04357,99.06334,
India,,50.50148,,,53.15487,,,,,,,,,,,,,73.57309,74.45399,,,,,,,81.91893,,,,76.53847,78.98398,78.35686,81.48978,82.35061,87.01908,87.95205,89.25894,96.08657,96.22644,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,92.66704,92.01678,94.79673,,,,92.34093,94.3556,96.09123,96.29706,95.90205,95.73894,103.40563,101.99195,104.12447,,
Iran,,65.98174,,,,,,,,,,,,,,,,91.46978,90.60131,90.70499,92.66324,95.74623,98.37545,103.13363,99.77848,103.05841,,100.48875,,,94.88144,98.47059,98.58477,96.57032,101.03325,101.63773,100.14115,96.08603,99.40201,104.55879,106.95812,106.45354
Iraq,,57.93419,56.18176,60.43082,61.67639,73.23058,72.97083,90.61194,88.92292,,92.09241,,,64.4595,,71.2787,70.26648,62.45738,63.43105,64.28086,,,,64.48884,,,,,,62.22863,60.85985,65.84845,,90.19621,89.39343,,,74.4742,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,103.20535,103.77845,101.77629,100.49442,,,93.70275,95.16901,94.26395,90.78234,93.68972,97.26571,96.50438,94.89344,,,,,101.79357,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.53835,104.48846,107.60145,104.03832,102.19921,102.1888,99.7949,102.40013,101.15963,
Italy,,97.58427,99.27612,98.81796,100.01488,107.55976,105.605,104.8877,101.93381,101.64038,102.57692,99.35653,99.44497,98.54057,98.02213,100.23905,99.74881,99.2808,98.4571,98.99364,99.90292,97.88408,98.53079,,98.9904,100.64957,100.85615,97.27978,,101.84739,101.79949,104.57165,102.63915,102.38344,100.16184,98.50556,99.32794,101.56501,104.41938,102.62647,102.63938,
Jamaica,,,,,,,74.00013,75.80958,,81.61552,80.43215,80.49399,,,84.98658,,,87.71488,89.65377,92.69295,93.99281,90.49889,,88.22058,,,,,,,85.51644,79.00648,85.30294,,86.88026,,,83.32319,,74.85416,73.90545,
Japan,,105.14392,100.99096,98.67672,98.13026,97.86117,98.34198,102.58002,98.55166,90.59621,105.69624,104.15365,99.39466,98.57903,99.09037,99.33372,101.28238,102.59473,100.63445,100.84541,103.28821,103.26869,101.14651,,98.97925,,,,103.10353,,,,,,,,,,,102.52859,101.9267,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,79.57545,86.45094,100.16359,109.46317,108.94442,107.76941,107.30934,106.23794,105.36711,101.08861,98.13402,92.60126,94.85321,94.82161,,86.44072,89.97709,92.12607,94.88306,96.82314,97.7275,95.73196,99.56178,,93.94089,,,91.30498,92.79274,,93.15139,97.44655,100.05161,104.31088,101.46418,103.60543,101.32914,,89.33103,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,104.99318,,,,,,92.20185,95.15476,96.20018,97.73613,104.55523,106.2516,103.07784,100.826,105.50623,107.59374,109.95639,116.28317
Kenya,59.5825,61.30816,64.46349,65.15353,,,,74.73005,75.02698,,90.86706,88.19201,,,,,,,,,,,,,,,,,,,,,,,89.9992,91.67824,,,,,,
Kiribati,,,,,,,,88.27786,90.54242,75.09934,83.35484,132.93011,128.6944,137.48103,143.87097,145.80537,137.13826,113.03704,110.80332,114.13748,100.2445,111.95266,114.87889,107.5028,,107.15789,120.14388,117.61762,,108.00368,103.42651,117.00801,108.69947,118.43478,114.90095,119.25043,117.17172,138.58333,111.01906,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,97.67032,100.05126,108.10157,104.45977,103.53762,107.73628,100.96418,100.02306,101.84082,97.64007,103.33171,100.63366,102.34057,107.74372,104.75127,104.15029,103.95964,99.31214,95.14974,98.53092,97.03144,108.56896,108.82587,111.10212,110.80431,,,99.30386,103.32565,103.6101,100.70507,95.64724,101.79719,101.6767,100.42576,101.42852,102.25823,100.30497,100.41627,101.83359,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,64.63719,59.58759,59.67603,55.80142,64.6661,87.41382,72.91403,78.55249,82.2182,86.76427,99.79325,96.61584,94.60546,91.56839,92.64691,94.09149,95.90687,,,,,57.26294,,82.31742,68.72605,108.34673,103.29677,,103.11458,101.32617,89.34647,97.62513,101.47158,104.23738,118.08215,102.79057,110.15804,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7392,93.9775,94.24041,94.84386,91.32837,93.38304,98.43937,101.98938,97.66572,95.31438,96.81139,96.49735,96.14078
Lao,,,,,,,,,,,,,,,,,,,,,,,46.06642,49.09625,55.98615,,64.5361,68.21484,71.63367,77.39776,75.13975,74.32843,73.84409,73.19442,73.62199,75.81398,80.35746,81.88355,83.34427,86.42842,89.32503,95.25548
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.45459,93.54327,98.06466,98.1503,104.1407,99.30514,95.53356,93.00693,95.76749,93.42796,92.11886,94.36914,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.57777,100.05183,,,,,,,82.9449,83.49108,84.86169,82.93459,85.19056,84.87609
Lesotho,,,27.28822,28.59108,34.48494,35.76014,33.84069,30.29468,29.43997,29.6706,28.96869,30.78104,31.3739,33.71056,35.55592,36.01254,35.9523,37.1307,39.26425,40.24855,41.43964,41.86152,44.93011,45.41593,47.95957,,51.82971,,51.43728,52.14395,50.33599,52.4947,52.58911,54.3997,55.19562,49.60349,62.49486,60.16019,58.41752,57.73517,60.38695,
Liberia,,,,,,,,,38.19619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85203,67.41118,67.23764,,71.55794
Libya,,66.23845,115.30576,95.92336,115.86928,135.05725,126.49528,121.97182,116.80893,109.13125,98.8347,99.28791,,105.12254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.18803,114.91713,,95.16908,103.00429,105.88235,92.37668,116.29213,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,93.08363,96.97098,100.4446,,97.75097,97.72647,103.83302,105.14501,106.57076,100.67844,92.13605,92.97615,95.38484,91.98,97.49485,99.20776,
