Male 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"Korea, Rep.",,,,,,,,,,,,9.100000381,11.89999962,9.100000381,7.800000191,8,9.199999809,20.20000076,17.10000038,13.19999981,12.5,10,11.60000038,12,12
Latvia,,,,,,,,,,,,,,,,32.40000153,24.39999962,25,26.20000076,21.29999924,21.89999962,17.89999962,17.5,16.5,12.5
Lithuania,,,,,,,,,,,,,,,,,,24.39999962,28.20000076,30.39999962,34.29999924,21.89999962,21.29999924,21,15
Netherlands,,,,,,,12.89999962,13,10.80000019,10,10.10000038,8,9.699999809,10.89999962,11.89999962,10.89999962,8.600000381,7.199999809,5.900000095,4.800000191,5.699999809,6.400000095,7.800000191,11.19999981,9.399999619
New Zealand,,,,,,7.900000095,8.399999619,11.69999981,14.30000019,14.89999962,20.60000038,20.39999962,18.5,15.60000038,11.89999962,12.39999962,13.10000038,15.60000038,14.5,14.19999981,12.10000038,11.60000038,10.10000038,8.699999809,9.100000381
Norway,5.300000191,7.300000191,8.199999809,7.400000095,5.800000191,3.900000095,4.199999809,7.400000095,11.89999962,12.39999962,13.60000038,15,14.5,13.10000038,12.19999981,11.69999981,10.19999981,9.5,9.600000381,9.600000381,10.60000038,12.39999962,12.69999981,12.60000038,12.60000038
Philippines,,,,,,18.20000076,17.10000038,15.69999981,15.89999962,13.39999962,18.70000076,12.60000038,11.39999962,12,12.39999962,10.80000019,16.60000038,13.89999962,13.30000019,16.70000076,15.10000038,16.39999962,15.30000019,16.20000076,15.89999962
Poland,,,,,,,,,,,,,25,27.29999924,25.89999962,23.79999924,20,19.39999962,26,30.89999962,37.5,41.09999847,39.59999847,36.90000153,34.79999924
Portugal,,,,,,,,,,,,8,9.800000191,12,13.80000019,13.5,11.30000019,7.900000095,7,6,7,9.600000381,12,13.30000019,13.69999981
Romania,,,,,,,,,,,,,,20.20000076,18.79999924,17.5,15.89999962,17.29999924,19,19.60000038,17.60000038,21.70000076,18.29999924,22.39999962,20.5
Singapore,4.599999905,4.300000191,5,4.5,6.099999905,7.900000095,6.199999809,4.800000191,3.400000095,3.299999952,3.5,4.599999905,4.699999809,4.699999809,4.800000191,5.099999905,4,5.300000191,5.5,,5.400000095,6.400000095,7.099999905,7.800000191,
Slovak Republic,,,,,,,,,,,,,,,,,21.10000038,23.79999924,32.09999847,36.40000153,38.40000153,36.59999847,32.70000076,33,
Slovenia,,,,,,,,,,,,,26.89999962,21.5,18.10000038,20,16.29999924,17.60000038,17.20000076,14.5,15,14.80000019,12.69999981,11.30000019,14.80000019
Spain,28.20000076,31.79999924,33.70000076,37.90000153,39.20000076,38.20000076,33.70000076,29.39999962,24.39999962,23.10000038,22.70000076,26.5,39.70000076,40.90000153,36.90000153,36.20000076,33.20000076,29,23.20000076,20.29999924,16.70000076,18.5,19.5,18.70000076,16.70000076
Sweden,5.699999809,7,7.300000191,5.699999809,5.599999905,5.900000095,5.199999809,4,3.900000095,4.800000191,8.5,16.20000076,26.10000038,25.29999924,20.70000076,21.60000038,21.79999924,17.29999924,14.80000019,12.39999962,12.89999962,13.80000019,14.69999981,17.70000076,23.20000076
Switzerland,,,,,,,,,,,2.900000095,4.800000191,7,5.300000191,5.400000095,5.199999809,7.900000095,4.699999809,5.599999905,5.699999809,5.800000191,7.300000191,8.199999809,8,8.5
Turkey,,,,,,,,,,,,17.89999962,18.70000076,17.5,16.89999962,14.80000019,14,14.89999962,15.60000038,13.69999981,17.20000076,20.29999924,21.5,20.10000038,19.29999924
United Kingdom,,,,,,,,,,,,,,,,,,,,,12,13,13.30000019,11.80000019,13.39999962
United States,14.60000038,17.70000076,17.10000038,13.39999962,13.10000038,12.69999981,11.80000019,10.69999981,10.60000038,10.80000019,13.39999962,14.39999962,13.60000038,12.60000038,12.5,12.60000038,11.80000019,11.10000038,10.30000019,9.699999809,11.39999962,12.80000019,13.39999962,12.60000038,12.39999962
