Urban population (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Argentina,73.6,74.1626,74.7142,75.2658,75.8174,76.369,76.8712,77.3734,77.8756,78.3778,78.88,79.2978,79.7156,80.1334,80.5512,80.969,81.3526,81.7362,82.1198,82.5034,82.887,83.3172,83.7474,84.1776,84.6078,85.038,85.4272,85.8164,86.2056,86.5948,86.984,87.318,87.652,87.986,88.32,88.654,88.9482,89.2424,89.5366,89.8308,90.125,90.3764,90.6278,90.8792,91.1306,91.382,91.5754,91.7688,91.9622,92.1556,92.349,92.4948
Armenia,51.3,52.1444,53.0138,53.8832,54.7526,55.622,56.4704,57.3188,58.1672,59.0156,59.864,60.6134,61.3628,62.1122,62.8616,63.611,64.0988,64.5866,65.0744,65.5622,66.05,66.258,66.466,66.674,66.882,67.09,67.1562,67.2224,67.2886,67.3548,67.421,67.1482,66.8754,66.6026,66.3298,66.057,65.7788,65.5006,65.2224,64.9442,64.666,64.5696,64.4732,64.3768,64.2804,64.184,64.1604,64.1368,64.1132,64.0896,64.066,64.1148
Aruba,50.8,50.7608,50.7456,50.7304,50.7152,50.7,50.6848,50.6696,50.6544,50.6392,50.624,50.6088,50.5936,50.5784,50.5632,50.548,50.5328,50.5176,50.5024,50.4872,50.472,50.4566,50.4412,50.4258,50.4104,50.395,50.3798,50.3646,50.3494,50.3342,50.319,50.0074,49.6958,49.3842,49.0726,48.761,48.3494,47.9378,47.5262,47.1146,46.703,46.6824,46.6618,46.6412,46.6206,46.6,46.6354,46.6708,46.7062,46.7416,46.777,46.8714
Australia,81.5,81.9202,82.3114,82.7026,83.0938,83.485,83.841,84.197,84.553,84.909,85.265,85.3962,85.5274,85.6586,85.7898,85.921,85.8888,85.8566,85.8244,85.7922,85.76,85.7,85.64,85.58,85.52,85.46,85.448,85.436,85.424,85.412,85.4,85.5412,85.6824,85.8236,85.9648,86.106,86.3178,86.5296,86.7414,86.9532,87.165,87.3684,87.5718,87.7752,87.9786,88.182,88.3548,88.5276,88.7004,88.8732,89.046,89.1916
Austria,64.7,64.7782,64.8364,64.8946,64.9528,65.011,65.0604,65.1098,65.1592,65.2086,65.258,65.2746,65.2912,65.3078,65.3244,65.341,65.351,65.361,65.371,65.381,65.391,65.426,65.461,65.496,65.531,65.566,65.6058,65.6456,65.6854,65.7252,65.765,65.772,65.779,65.786,65.793,65.8,65.8,65.8,65.8,65.8,65.8,65.9468,66.0936,66.2404,66.3872,66.534,66.718,66.902,67.086,67.27,67.454,67.6674
Azerbaijan,47.7,52.3632,52.0634,51.7636,51.4638,51.164,50.9328,50.7016,50.4704,50.2392,50.008,50.3858,50.7636,51.1414,51.5192,51.897,52.073,52.249,52.425,52.601,52.777,52.9212,53.0654,53.2096,53.3538,53.498,53.5482,53.5984,53.6486,53.6988,53.749,53.4404,53.1318,52.8232,52.5146,52.206,52.042,51.878,51.714,51.55,51.386,51.5866,51.7872,51.9878,52.1884,52.389,52.5914,52.7938,52.9962,53.1986,53.401,53.6448
Bahamas,59.7,60.3794,61.1048,61.8302,62.5556,63.281,63.9698,64.6586,65.3474,66.0362,66.725,67.3798,68.0346,68.6894,69.3442,69.999,70.6196,71.2402,71.8608,72.4814,73.102,73.8164,74.5308,75.2452,75.9596,76.674,77.3068,77.9396,78.5724,79.2052,79.838,80.0626,80.2872,80.5118,80.7364,80.961,81.1758,81.3906,81.6054,81.8202,82.035,82.2416,82.4482,82.6548,82.8614,83.068,83.2672,83.4664,83.6656,83.8648,84.064,84.2558
Bahrain,82.3,82.356,82.392,82.428,82.464,82.5,82.755,83.01,83.265,83.52,83.775,84.015,84.255,84.495,84.735,84.975,85.2002,85.4254,85.6506,85.8758,86.101,86.3118,86.5226,86.7334,86.9442,87.155,87.352,87.549,87.746,87.943,88.14,88.1896,88.2392,88.2888,88.3384,88.388,88.3848,88.3816,88.3784,88.3752,88.372,88.3814,88.3908,88.4002,88.4096,88.419,88.4588,88.4986,88.5384,88.5782,88.618,88.6872
Bangladesh,5.1,5.3502,5.5654,5.7806,5.9958,6.211,6.4874,6.7638,7.0402,7.3166,7.593,8.0416,8.4902,8.9388,9.3874,9.836,10.839,11.842,12.845,13.848,14.851,15.38,15.909,16.438,16.967,17.496,17.959,18.422,18.885,19.348,19.811,20.1874,20.5638,20.9402,21.3166,21.693,22.0724,22.4518,22.8312,23.2106,23.59,23.9992,24.4084,24.8176,25.2268,25.636,26.0876,26.5392,26.9908,27.4424,27.894,28.3902
Barbados,36.8,36.8498,36.9226,36.9954,37.0682,37.141,37.2206,37.3002,37.3798,37.4594,37.539,37.7552,37.9714,38.1876,38.4038,38.62,38.8124,39.0048,39.1972,39.3896,39.582,38.8606,38.1392,37.4178,36.6964,35.975,35.3238,34.6726,34.0214,33.3702,32.719,33.2716,33.8242,34.3768,34.9294,35.482,36.055,36.628,37.201,37.774,38.347,38.914,39.481,40.048,40.615,41.182,41.7234,42.2648,42.8062,43.3476,43.889,44.3996
Belarus,32.4,33.5462,34.6914,35.8366,36.9818,38.127,39.3036,40.4802,41.6568,42.8334,44.01,45.3308,46.6516,47.9724,49.2932,50.614,51.7908,52.9676,54.1444,55.3212,56.498,57.565,58.632,59.699,60.766,61.833,62.6626,63.4922,64.3218,65.1514,65.981,66.37,66.759,67.148,67.537,67.926,68.3354,68.7448,69.1542,69.5636,69.973,70.4492,70.9254,71.4016,71.8778,72.354,72.8062,73.2584,73.7106,74.1628,74.615,75.0216
Belgium,92.5,92.5954,92.7308,92.8662,93.0016,93.137,93.2782,93.4194,93.5606,93.7018,93.843,93.9704,94.0978,94.2252,94.3526,94.48,94.6602,94.8404,95.0206,95.2008,95.381,95.4908,95.6006,95.7104,95.8202,95.93,96.0194,96.1088,96.1982,96.2876,96.377,96.457,96.537,96.617,96.697,96.777,96.8452,96.9134,96.9816,97.0498,97.118,97.1528,97.1876,97.2224,97.2572,97.292,97.3248,97.3576,97.3904,97.4232,97.456,97.4854
Belize,54,53.7186,53.4092,53.0998,52.7904,52.481,52.1774,51.8738,51.5702,51.2666,50.963,50.8046,50.6462,50.4878,50.3294,50.171,50.0116,49.8522,49.6928,49.5334,49.374,49.183,48.992,48.801,48.61,48.419,48.2282,48.0374,47.8466,47.6558,47.465,47.4688,47.4726,47.4764,47.4802,47.484,47.5198,47.5556,47.5914,47.6272,47.663,47.3926,47.1222,46.8518,46.5814,46.311,46.0414,45.7718,45.5022,45.2326,44.963,44.7764
Benin,9.3,9.9238,10.5726,11.2214,11.8702,12.519,13.3534,14.1878,15.0222,15.8566,16.691,17.7336,18.7762,19.8188,20.8614,21.904,22.991,24.078,25.165,26.252,27.339,28.0304,28.7218,29.4132,30.1046,30.796,31.5338,32.2716,33.0094,33.7472,34.485,34.9396,35.3942,35.8488,36.3034,36.758,37.073,37.388,37.703,38.018,38.333,38.867,39.401,39.935,40.469,41.003,41.654,42.305,42.956,43.607,44.258,44.9086
Bermuda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,3.6,3.8142,4.0324,4.2506,4.4688,4.687,4.9674,5.2478,5.5282,5.8086,6.089,6.4464,6.8038,7.1612,7.5186,7.876,8.3272,8.7784,9.2296,9.6808,10.132,10.6938,11.2556,11.8174,12.3792,12.941,13.6304,14.3198,15.0092,15.6986,16.388,17.2178,18.0476,18.8774,19.7072,20.537,21.5132,22.4894,23.4656,24.4418,25.418,26.5274,27.6368,28.7462,29.8556,30.965,31.7306,32.4962,33.2618,34.0274,34.793,35.5668
Bolivia,36.8,37.061,37.36,37.659,37.958,38.257,38.5608,38.8646,39.1684,39.4722,39.776,40.0836,40.3912,40.6988,41.0064,41.314,42.1414,42.9688,43.7962,44.6236,45.451,46.4646,47.4782,48.4918,49.5054,50.519,51.5306,52.5422,53.5538,54.5654,55.577,56.3416,57.1062,57.8708,58.6354,59.4,59.8868,60.3736,60.8604,61.3472,61.834,62.305,62.776,63.247,63.718,64.189,64.631,65.073,65.515,65.957,66.399,66.8114
Bosnia and Herzegovina,19,19.7954,20.5508,21.3062,22.0616,22.817,23.6938,24.5706,25.4474,26.3242,27.201,28.0184,28.8358,29.6532,30.4706,31.288,32.139,32.99,33.841,34.692,35.543,35.9522,36.3614,36.7706,37.1798,37.589,37.921,38.253,38.585,38.917,39.249,39.6028,39.9566,40.3104,40.6642,41.018,41.4186,41.8192,42.2198,42.6204,43.021,43.4688,43.9166,44.3644,44.8122,45.26,45.7546,46.2492,46.7438,47.2384,47.733,48.273
Botswana,3.1,3.2158,3.3716,3.5274,3.6832,3.839,4.638,5.437,6.236,7.035,7.834,8.644,9.454,10.264,11.074,11.884,12.803,13.722,14.641,15.56,16.479,18.528,20.577,22.626,24.675,26.724,29.7658,32.8076,35.8494,38.8912,41.933,43.3426,44.7522,46.1618,47.5714,48.981,49.8286,50.6762,51.5238,52.3714,53.219,54.0392,54.8594,55.6796,56.4998,57.32,58.0514,58.7828,59.5142,60.2456,60.977,61.6148
Brazil,44.9,47.1186,48.0982,49.0778,50.0574,51.037,52.0114,52.9858,53.9602,54.9346,55.909,56.885,57.861,58.837,59.813,60.789,61.7248,62.6606,63.5964,64.5322,65.468,66.3468,67.2256,68.1044,68.9832,69.862,70.674,71.486,72.298,73.11,73.922,74.6596,75.3972,76.1348,76.8724,77.61,78.3264,79.0428,79.7592,80.4756,81.192,81.5204,81.8488,82.1772,82.5056,82.834,83.1342,83.4344,83.7346,84.0348,84.335,84.6032
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,43.4,45.2458,47.0906,48.9354,50.7802,52.625,54.435,56.245,58.055,59.865,61.675,61.7388,61.8026,61.8664,61.9302,61.994,61.5732,61.1524,60.7316,60.3108,59.89,60.3624,60.8348,61.3072,61.7796,62.252,62.9682,63.6844,64.4006,65.1168,65.833,66.3952,66.9574,67.5196,68.0818,68.644,69.148,69.652,70.156,70.66,71.164,71.6348,72.1056,72.5764,73.0472,73.518,73.9338,74.3496,74.7654,75.1812,75.597,75.9606
Bulgaria,37.1,38.831,40.562,42.293,44.024,45.755,47.064,48.373,49.682,50.991,52.3,53.3524,54.4048,55.4572,56.5096,57.562,58.4696,59.3772,60.2848,61.1924,62.1,62.598,63.096,63.594,64.092,64.59,64.9474,65.3048,65.6622,66.0196,66.377,66.658,66.939,67.22,67.501,67.782,68.0054,68.2288,68.4522,68.6756,68.899,69.155,69.411,69.667,69.923,70.179,70.648,71.117,71.586,72.055,72.524,73.0816
Burkina Faso,4.7,4.7996,4.8992,4.9988,5.0984,5.198,5.3076,5.4172,5.5268,5.6364,5.746,5.8662,5.9864,6.1066,6.2268,6.347,6.8386,7.3302,7.8218,8.3134,8.805,9.5108,10.2166,10.9224,11.6282,12.334,12.6302,12.9264,13.2226,13.5188,13.815,14.0782,14.3414,14.6046,14.8678,15.131,15.6736,16.2162,16.7588,17.3014,17.844,18.5826,19.3212,20.0598,20.7984,21.537,22.363,23.189,24.015,24.841,25.667,26.509
Burundi,2,2.0726,2.1072,2.1418,2.1764,2.211,2.2452,2.2794,2.3136,2.3478,2.382,2.5492,2.7164,2.8836,3.0508,3.218,3.4422,3.6664,3.8906,4.1148,4.339,4.5154,4.6918,4.8682,5.0446,5.221,5.431,5.641,5.851,6.061,6.271,6.459,6.647,6.835,7.023,7.211,7.418,7.625,7.832,8.039,8.246,8.4718,8.6976,8.9234,9.1492,9.375,9.6284,9.8818,10.1352,10.3886,10.642,10.928
Cambodia,10.3,10.394,10.503,10.612,10.721,10.83,11.858,12.886,13.914,14.942,15.97,13.658,11.346,9.034,6.722,4.41,5.3224,6.2348,7.1472,8.0596,8.972,9.9638,10.9556,11.9474,12.9392,13.931,14.254,14.577,14.9,15.223,15.546,15.899,16.252,16.605,16.958,17.311,17.566,17.821,18.076,18.331,18.586,18.7036,18.8212,18.9388,19.0564,19.174,19.302,19.43,19.558,19.686,19.814,20.003
Cameroon,13.9,14.5256,15.1142,15.7028,16.2914,16.88,17.564,18.248,18.932,19.616,20.3,21.6984,23.0968,24.4952,25.8936,27.292,28.2178,29.1436,30.0694,30.9952,31.921,32.7832,33.6454,34.5076,35.3698,36.232,36.917,37.602,38.287,38.972,39.657,40.2402,40.8234,41.4066,41.9898,42.573,43.1668,43.7606,44.3544,44.9482,45.542,46.1418,46.7416,47.3414,47.9412,48.541,49.1352,49.7294,50.3236,50.9178,51.512,52.085
Canada,69.1,69.8272,70.5934,71.3596,72.1258,72.892,73.4444,73.9968,74.5492,75.1016,75.654,75.6454,75.6368,75.6282,75.6196,75.611,75.6214,75.6318,75.6422,75.6526,75.663,75.8012,75.9394,76.0776,76.2158,76.354,76.3996,76.4452,76.4908,76.5364,76.582,76.8006,77.0192,77.2378,77.4564,77.675,78.0356,78.3962,78.7568,79.1174,79.478,79.6068,79.7356,79.8644,79.9932,80.122,80.2084,80.2948,80.3812,80.4676,80.554,80.6618
Cape Verde,16.7,16.9578,17.2366,17.5154,17.7942,18.073,18.3702,18.6674,18.9646,19.2618,19.559,19.931,20.303,20.675,21.047,21.419,21.8388,22.2586,22.6784,23.0982,23.518,25.1144,26.7108,28.3072,29.9036,31.5,34.024,36.548,39.072,41.596,44.12,45.0496,45.9792,46.9088,47.8384,48.768,49.7014,50.6348,51.5682,52.5016,53.435,54.2858,55.1366,55.9874,56.8382,57.689,58.5178,59.3466,60.1754,61.0042,61.833,62.5786
Cayman Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central African Republic,20.1,20.7838,21.4676,22.1514,22.8352,23.519,24.2808,25.0426,25.8044,26.5662,27.328,28.2536,29.1792,30.1048,31.0304,31.956,32.3396,32.7232,33.1068,33.4904,33.874,34.2056,34.5372,34.8688,35.2004,35.532,35.7906,36.0492,36.3078,36.5664,36.825,36.9062,36.9874,37.0686,37.1498,37.231,37.3126,37.3942,37.4758,37.5574,37.639,37.7246,37.8102,37.8958,37.9814,38.067,38.2234,38.3798,38.5362,38.6926,38.849,39.1006
Chad,6.7,7.0372,7.3794,7.7216,8.0638,8.406,9.0384,9.6708,10.3032,10.9356,11.568,12.3676,13.1672,13.9668,14.7664,15.566,16.2102,16.8544,17.4986,18.1428,18.787,18.9854,19.1838,19.3822,19.5806,19.779,19.9854,20.1918,20.3982,20.6046,20.811,20.937,21.063,21.189,21.315,21.441,21.4596,21.4782,21.4968,21.5154,21.534,21.5526,21.5712,21.5898,21.6084,21.627,21.6494,21.6718,21.6942,21.7166,21.739,21.8294
Channel Islands,38.7,38.437,38.174,37.911,37.648,37.385,37.1256,36.8662,36.6068,36.3474,36.088,35.707,35.326,34.945,34.564,34.183,33.7882,33.3934,32.9986,32.6038,32.209,32.1336,32.0582,31.9828,31.9074,31.832,31.744,31.656,31.568,31.48,31.392,31.218,31.044,30.87,30.696,30.522,30.5106,30.4992,30.4878,30.4764,30.465,30.5014,30.5378,30.5742,30.6106,30.647,30.7338,30.8206,30.9074,30.9942,31.081,31.2196
Chile,67.8,68.608,69.38,70.152,70.924,71.696,72.4022,73.1084,73.8146,74.5208,75.227,75.8588,76.4906,77.1224,77.7542,78.386,78.9574,79.5288,80.1002,80.6716,81.243,81.5192,81.7954,82.0716,82.3478,82.624,82.7534,82.8828,83.0122,83.1416,83.271,83.4912,83.7114,83.9316,84.1518,84.372,84.6868,85.0016,85.3164,85.6312,85.946,86.2814,86.6168,86.9522,87.2876,87.623,87.8868,88.1506,88.4144,88.6782,88.942,89.1456
China,16,16.5796,16.9562,17.3328,17.7094,18.086,17.9488,17.8116,17.6744,17.5372,17.4,17.4,17.4,17.4,17.4,17.4,17.7916,18.1832,18.5748,18.9664,19.358,20.0612,20.7644,21.4676,22.1708,22.874,23.5876,24.3012,25.0148,25.7284,26.442,27.3458,28.2496,29.1534,30.0572,30.961,31.9442,32.9274,33.9106,34.8938,35.877,37.206,38.535,39.864,41.193,42.522,43.8628,45.2036,46.5444,47.8852,49.226,50.5008
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,45,46.2308,47.4286,48.6264,49.8242,51.022,51.7816,52.5412,53.3008,54.0604,54.82,55.5638,56.3076,57.0514,57.7952,58.539,59.2554,59.9718,60.6882,61.4046,62.121,62.8116,63.5022,64.1928,64.8834,65.574,66.1144,66.6548,67.1952,67.7356,68.276,68.724,69.172,69.62,70.068,70.516,70.8278,71.1396,71.4514,71.7632,72.075,72.3762,72.6774,72.9786,73.2798,73.581,73.8688,74.1566,74.4444,74.7322,75.02,75.2928
Comoros,12.6,13.4364,14.3218,15.2072,16.0926,16.978,17.4604,17.9428,18.4252,18.9076,19.39,19.7598,20.1296,20.4994,20.8692,21.239,21.6342,22.0294,22.4246,22.8198,23.215,23.6658,24.1166,24.5674,25.0182,25.469,25.949,26.429,26.909,27.389,27.869,27.9554,28.0418,28.1282,28.2146,28.301,28.2568,28.2126,28.1684,28.1242,28.08,28.039,27.998,27.957,27.916,27.875,27.894,27.913,27.932,27.951,27.97,28.0686
"Congo, Dem. Rep.",22.3,23.0604,23.8208,24.5812,25.3416,26.102,26.9416,27.7812,28.6208,29.4604,30.3,30.1406,29.9812,29.8218,29.6624,29.503,29.3462,29.1894,29.0326,28.8758,28.719,28.57,28.421,28.272,28.123,27.974,27.9278,27.8816,27.8354,27.7892,27.743,27.8304,27.9178,28.0052,28.0926,28.18,28.4046,28.6292,28.8538,29.0784,29.303,29.6742,30.0454,30.4166,30.7878,31.159,31.6726,32.1862,32.6998,33.2134,33.727,34.279
"Congo, Rep.",31.6,32.3354,33.0698,33.8042,34.5386,35.273,36.0442,36.8154,37.5866,38.3578,39.129,39.956,40.783,41.61,42.437,43.264,44.1826,45.1012,46.0198,46.9384,47.857,48.7298,49.6026,50.4754,51.3482,52.221,52.6416,53.0622,53.4828,53.9034,54.324,54.7418,55.1596,55.5774,55.9952,56.413,56.8694,57.3258,57.7822,58.2386,58.695,59.1536,59.6122,60.0708,60.5294,60.988,61.435,61.882,62.329,62.776,63.223,63.6494
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,34.3,34.5614,34.8688,35.1762,35.4836,35.791,36.3982,37.0054,37.6126,38.2198,38.827,39.3314,39.8358,40.3402,40.8446,41.349,41.699,42.049,42.399,42.749,43.099,43.5918,44.0846,44.5774,45.0702,45.563,46.587,47.611,48.635,49.659,50.683,51.7042,52.7254,53.7466,54.7678,55.789,56.4388,57.0886,57.7384,58.3882,59.038,59.5716,60.1052,60.6388,61.1724,61.706,62.202,62.698,63.194,63.69,64.186,64.6438
Cote d'Ivoire,17.7,19.0432,20.4074,21.7716,23.1358,24.5,25.2326,25.9652,26.6978,27.4304,28.163,28.9762,29.7894,30.6026,31.4158,32.229,33.149,34.069,34.989,35.909,36.829,37.0452,37.2614,37.4776,37.6938,37.91,38.197,38.484,38.771,39.058,39.345,39.718,40.091,40.464,40.837,41.21,41.6762,42.1424,42.6086,43.0748,43.541,44.2,44.859,45.518,46.177,46.836,47.5802,48.3244,49.0686,49.8128,50.557,51.2798
Croatia,30.2,31.1186,32.0832,33.0478,34.0124,34.977,36.0208,37.0646,38.1084,39.1522,40.196,41.182,42.168,43.154,44.14,45.126,46.113,47.1,48.087,49.074,50.061,50.507,50.953,51.399,51.845,52.291,52.6406,52.9902,53.3398,53.6894,54.039,54.2096,54.3802,54.5508,54.7214,54.892,55.031,55.17,55.309,55.448,55.587,55.7508,55.9146,56.0784,56.2422,56.406,56.6322,56.8584,57.0846,57.3108,57.537,57.8242
Cuba,58.4,58.5882,58.7754,58.9626,59.1498,59.337,59.5228,59.7086,59.8944,60.0802,60.266,61.0576,61.8492,62.6408,63.4324,64.224,65.0004,65.7768,66.5532,67.3296,68.106,68.6714,69.2368,69.8022,70.3676,70.933,71.4192,71.9054,72.3916,72.8778,73.364,73.5466,73.7292,73.9118,74.0944,74.277,74.5416,74.8062,75.0708,75.3354,75.6,75.6,75.6,75.6,75.6,75.6,75.523,75.446,75.369,75.292,75.215,75.193
Cyprus,35.6,36.14,36.652,37.164,37.676,38.188,38.7026,39.2172,39.7318,40.2464,40.761,42.0642,43.3674,44.6706,45.9738,47.277,49.5444,51.8118,54.0792,56.3466,58.614,59.8268,61.0396,62.2524,63.4652,64.678,65.0976,65.5172,65.9368,66.3564,66.776,67.0284,67.2808,67.5332,67.7856,68.038,68.16,68.282,68.404,68.526,68.648,68.8072,68.9664,69.1256,69.2848,69.444,69.6174,69.7908,69.9642,70.1376,70.311,70.5086
Czech Republic,59.5,60.0416,60.5352,61.0288,61.5224,62.016,62.4932,62.9704,63.4476,63.9248,64.402,65.505,66.608,67.711,68.814,69.917,70.967,72.017,73.067,74.117,75.167,75.2066,75.2462,75.2858,75.3254,75.365,75.336,75.307,75.278,75.249,75.22,75.1046,74.9892,74.8738,74.7584,74.643,74.512,74.381,74.25,74.119,73.988,73.93,73.872,73.814,73.756,73.698,73.6512,73.6044,73.5576,73.5108,73.464,73.4424
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,73.7,74.3592,75.0314,75.7036,76.3758,77.048,77.5858,78.1236,78.6614,79.1992,79.737,80.2188,80.7006,81.1824,81.6642,82.146,82.4614,82.7768,83.0922,83.4076,83.723,83.8486,83.9742,84.0998,84.2254,84.351,84.4494,84.5478,84.6462,84.7446,84.843,84.8702,84.8974,84.9246,84.9518,84.979,85.0032,85.0274,85.0516,85.0758,85.1,85.2512,85.4024,85.5536,85.7048,85.856,86.0438,86.2316,86.4194,86.6072,86.795,86.9308
Djibouti,50.3,51.4818,52.6386,53.7954,54.9522,56.109,57.2426,58.3762,59.5098,60.6434,61.777,62.85,63.923,64.996,66.069,67.142,68.1328,69.1236,70.1144,71.1052,72.096,72.603,73.11,73.617,74.124,74.631,74.8348,75.0386,75.2424,75.4462,75.65,75.78,75.91,76.04,76.17,76.3,76.3464,76.3928,76.4392,76.4856,76.532,76.5778,76.6236,76.6694,76.7152,76.761,76.8086,76.8562,76.9038,76.9514,76.999,77.08
Dominica,27.3,29.1486,31.0072,32.8658,34.7244,36.583,38.6446,40.7062,42.7678,44.8294,46.891,48.572,50.253,51.934,53.615,55.296,56.919,58.542,60.165,61.788,63.411,63.938,64.465,64.992,65.519,66.046,66.38,66.714,67.048,67.382,67.716,67.6986,67.6812,67.6638,67.6464,67.629,67.5388,67.4486,67.3584,67.2682,67.178,67.1224,67.0668,67.0112,66.9556,66.9,66.932,66.964,66.996,67.028,67.06,67.1788
Dominican Republic,30.2,31.191,32.153,33.115,34.077,35.039,36.073,37.107,38.141,39.175,40.209,41.3054,42.4018,43.4982,44.5946,45.691,46.809,47.927,49.045,50.163,51.281,51.7984,52.3158,52.8332,53.3506,53.868,54.1396,54.4112,54.6828,54.9544,55.226,55.7,56.174,56.648,57.122,57.596,58.426,59.256,60.086,60.916,61.746,62.533,63.32,64.107,64.894,65.681,66.3594,67.0378,67.7162,68.3946,69.073,69.6396
