GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.",4992962083,4451156989.33022,5394833318.50882,5676119395.51365,5537609392.52111,5592838672.91436,5971780635.22897,5912914484.66719,6169103239.77468,6744608852.4167,6728080744.9495,7132103209.28055,7142882350.10477,7724118393.19451,7965928552.96272,7569095386.3013,7167251954.7055,7221779949.0436,6835754757.28795,6865154536.06992,7015838700.21366,7180747677.92836,7147883003.67863,7248789931.68462,7650450747.4305,7686243454.01036,8048819672.19801,8264177308.23544,8303050455.86222,8197929632.79358,7659464144.02188,7014456723.87591,6277938167.1589,5432359502.61119,5220497655.70038,5257041078.18947,5203252472.08575,4910983356.10852,4831221421.24852,4624921462.71342,4305797175.65217,4215380704.3919,4361586317.79577,4614184091.1176,4920560759.37794,5303776064.63505,5599793441.61332,5950214773.24562,6316453095.9658,6495485661.45534,6961484999.95952,7440411972.4829
"Congo, Rep.",626127041,678538007.757585,713837650.303108,685074986.873301,711222903.336167,737370784.02065,747391523.690527,763208361.636507,821451281.645206,883458738.73085,939633199.011707,1012483298.06123,1099734560.95717,1190255790.57818,1284113658.62965,1383396149.80043,1396072025.21252,1271075722.02931,1351912922.00364,1484579175.40983,1746408547.8925,2054120886.88255,2538846170.72469,2687469282.08271,2874950661.16798,2840863496.54776,2645936896.98187,2650947683.12228,2697770402.85881,2767909101.93384,2795588291.6666,2862682410.66661,2937112153.34394,2907741031.8105,2747815275.06092,2857727886.06336,2980610185.16408,2962726524.05309,3072347405.44306,2992466372.90154,3219893817.24206,3342249782.29726,3495993272.28293,3523961218.46119,3647299861.10733,3931789250.27371,4173100882.44033,4106748578.40953,4335494474.22694,4659307268.50269,5067059616.86512,5293029726.85862
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2398494445,2375566266.50756,2569135008.36399,2692060708.03232,2803755709.90241,3079354165.83871,3321721143.19776,3509402570.53589,3803666599.61453,4015824845.37562,4317137578.49378,4609774983.5633,4986764462.24867,5371189936.40431,5669017046.64579,5788070432.45623,6107430946.24702,6651265573.29654,7068146069.34846,7417250565.02032,7473020531.04733,7304006550.67103,6771868124.82995,6965746215.05997,7397741147.63452,7474782130.66046,7907194502.30685,8450848889.98628,8773620017.21067,9218062904.66178,9578020684.10869,9824359310.56642,10723486281.2348,11518491952.0258,12063270098.2,12536256860.1415,12647402444.6159,13352898208.1335,14474254065.0824,15664354699.3547,15946443260.8335,16118090925.2913,16585867507.482,17648111590.7936,18399824531.0148,19482907711.1028,21193436186.6289,22875207933.4116,23497907525.0133,23261376836.6712,24349981200.718,25363904537.3609
Cote d'Ivoire,2003623491,2202622974.13749,2229649036.59604,2552733116.53739,3002348242.50459,2908985591.98507,3245769317.2392,3395014716.96431,3821029605.08378,4185525978.3805,4619775631.52273,5056651073.69428,5270882417.95043,5583930536.57631,5825568477.71905,6306346024.63966,7120898740.8884,7641753970.81836,8475427578.0555,8678363848.68068,7727415010.41776,7997913088.48636,8013974685.62502,7701410403.83992,7493375174.83071,7830668714.74256,8085897519.0896,8057679927.22998,8149254167.41356,8389494583.18485,8297553406.33679,8300949194.09676,8280648341.9539,8264709327.63899,8331753202.35688,8925452666.4465,9615330126.96805,10165236491.1883,10648336839.2844,10817267121.2629,10417006095.6768,10414794516.2386,10265778787.134,10106108491.4962,10287397439.4386,10416603855.0612,10487850374.258,10667682579.8993,10916239584.011,11331056688.2034,11603002048.7203,11057660952.4304
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25147844848.7794,19844498689.9297,17520054878.0011,16113968509.0253,17059934940.9902,18211797512.9564,19289988823.3902,20552256735.3077,20958526744.2543,20739955885.124,21517784659.0236,22304474424.1023,23392545951.0607,24648975414.3445,25666592893.8846,26765073225.6013,28085993743.4479,29507125184.3611,30147225799.437,28341089553.8616,28003469441.9948,27992416492.504
Cuba,,,,,,,,,,,15468957115.3611,16796790511.4298,17607518857.0985,18212247100.5134,18391545130.0764,20134406355.5358,21227293964.3518,23076085739.9114,24598183991.2135,24865857365.0414,23660001783.3752,28318262073.9197,30843751163.3532,32512851710.9102,35091028699.1695,35651318220.5215,35685295197.6066,34828072769.5818,36118640908.61,36364277744.8233,35292053460.8011,31518380977.1981,27868362411.9886,23722057177.9791,23892127731.0861,24479205338.725,26398069059.2596,27133256341.5377,27175508484.1974,28857999501.6501,30565200000,31537855020.7705,31988401919.2071,33201198864.7141,35117199825.0176,39050927790.3571,43762736985.333,46940846885.4881,48873320833.0563,49581552317.992,50605230812.3034,
Cyprus,,,,,,,,,,,,,,,,1930010486.41981,2321151991.90903,2700938928.6347,2911001893.04554,3199353130.81084,3383419766.62649,3468580371.01957,3677448288.77356,3882730110.36672,4222775482.70577,4428954210.81526,4593000516.27219,4917507413.50132,5342713390.23345,5767321556.78006,6194334044.84406,6240141145.10568,6826714412.74562,6874501413.63483,7280096997.03929,7724182913.85869,7866990431.12659,8051748059.18416,8457818690.15252,8867754206.56789,9314937556.47906,9689915174.36381,9892554194.15646,10083883129.1235,10509896324.2224,10920829406.2205,11371347785.1084,11954759660.6975,12388312912.3468,12181903864.279,12320777568.3318,12379424469.557
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56341410900.2374,49797388500.3608,49545143638.0078,49575814187.6143,50676144450.1758,53685084744.5858,56122215303.682,55643759658.698,55512454162.1423,56444667842.9056,58807244367.8667,60628710341.9532,61931803246.655,64264262985.7886,67312054039.1406,71857267364.8578,76901921232.2686,81312346952.1958,83832217961.1764,79896120087.8694,82084475849.4869,83442890476.3941
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,52164745342,55492247058.6774,58636894019.138,59010423485.1167,64480653282.3124,67417911345.0994,69265775692.4556,71635777000.4328,74483261672.1768,79192454725.1633,80796964459.8582,83222395086.9319,86696928071.4442,89956073413.9398,89222072908.4347,88132268348.6851,93502608470.6254,95352888524.6174,97521734447.7609,101373969023.931,100879727995.869,99985021834.4308,103698448292.081,106448383103.537,110882572572.325,115344969038.458,121053669413.652,121404648586.772,121231447725.874,121925983178.075,123885874634.035,125496920043.76,127976062127.96,127861389126.378,134926238386.339,139061964293.392,143003738460.27,147577647548.368,150765998042.352,154626288220.606,160082517845.876,161210834023.941,161961831921.802,162583491905.377,166317200731.885,170383902312.986,176167942355.278,178957142593.756,177554383049.404,167196323656.513,169362540761.396,171051872547.201
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660030923.304715,631797330.469873,631683815.332882,589860779.819534,584331764.283602,563948745.775657,540739442.023148,536706216.855104,537239587.72766,548946071.651634,551230861.856505,562518771.069119,577248676.089627,595720398.943077,618515497.559308,638119971.920023,668748867.085286,702855469.833871,743620824.346805,780798170.819023,,
Dominica,,,,,,,,,,,,,,,,,,161703930.501967,180740520.99581,147404439.958942,168425320.990694,188778472.508101,196583358.702812,201874800.137236,212829333.694565,215563245.10235,230820234.571605,248174892.53057,269416250.288756,268761119.444494,282884248.764244,284603957.151496,290430831.985466,295312826.721162,299539690.612596,305454756.137141,313524214.403573,318198300.846108,334038477.713989,336320953.575397,328735889.74987,328138870.449156,322207191.4698,346628444.613561,358119886.844268,356587477.276288,373153709.822557,387615140.565422,417737931.792272,414658637.629365,416046523.13284,420473812.407869
Dominican Republic,3019307866,2949463771.41266,3452265960.57554,3676763462.29955,3925491550.3759,3435518212.30249,3898053873.26884,4027763264.44825,4037383996.42819,4477113493.80921,5293142768.37257,5868584993.37454,6478575344.45543,7314037113.66212,7753018516.41055,8155652411.51344,8704374711.0342,9138007852.92821,9333623789.57555,9756567536.02434,10534042898.0726,10984885966.6334,11171487179.7886,11688497606.1552,11834942323.7546,11583741530.7922,11991720123.6177,13204966506.649,13489660738.673,14083278499.0637,13315132485.0468,13440845832.8066,14853906415.8806,15926747834.8333,16293581672.6988,17188690648.862,18414479323.4348,19888424784.1288,21282722240.0093,22711932398.0271,23996656675.8335,24430811263.7342,25844917267.7082,25779436894.049,26117652334.7789,28536865195.2307,31582078268.5218,34258540898.9641,36059049713.2742,37304548927.7311,40196106908.3343,41998064066.1829
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,3641530019,3697721715.57028,3866296549.62339,4016140988.85291,4329877471.33354,4467234895.30461,4463233149.22953,4775389321.08016,4886444433.99507,5152577964.70096,5544774180.61584,5902953505.86749,6174088706.91093,7171587948.1579,7770887842.1211,8418211762.52286,9061533936.84954,9271638924.45416,9902954836.04306,10419212864.1294,10882444170.9271,11248627500.5852,11184595465.3337,10901454001.5525,11319663103.7242,11649828669.6815,12124065290.4419,11863935403.3612,12856431949.7581,12982495147.2233,13330669595.031,14023015720.0588,14235121580.7009,14277142988.0269,14948478409.3916,15210610194.0224,15575792574.9054,16207108486.4943,16549527222.7173,15506997580.7439,15941641913.4676,16792401244.6822,17650754679.2296,18228555753.3251,19837038477.8394,20976428515.1052,21973124162.3138,22420870169.8103,24044518481.6737,24131528012.5749,24995823419.8935,26195622944.0483
Egypt,12008501551,12536920097.724,13396534339.8415,14609661873.7618,15799225320.2023,17256717129.6455,17439059544.6401,17548216714.5837,18025776785.0669,19253791889.3082,20331718432.8968,21031314990.6494,21458018623.543,21609350617.8775,22146450777.5649,24126160272.4143,27655153481.8372,31205234103.4555,33008806121.2246,35002160771.9209,38506344421.7662,39952673865.8945,43910853498.7431,47160756999.0564,50033561716.7202,53336802406.7392,54748401321.2411,56127744342.985,59102918305.7387,62041739159.8319,65579206064.0346,66286699444.8751,69224523386.2059,71232581990.5434,74062775121.3654,77501108924.9262,81367430435.9789,85835423038.1454,89300055775.4207,94752235333.4777,99838540997.321,103368058729.07,105818387281.584,109197716207.21,113666164952.265,118749025399.762,126876016554.826,135868769654.244,145591924088.415,152414550276.746,160258746161.725,163143403592.636
El Salvador,4017741905,4159510749.7209,4656688841.92465,4857179944.65779,5310184301.33775,5595259456.95659,5995943686.14644,6321933985.0317,6526555576.456,6754033315.04917,6955120789.87376,7223467391.19877,7665365435.45877,8038030511.50043,8466939737.33189,8714473587.62838,9154489902.78396,9775170070.53143,10295479446.9981,9865101118.97371,8703848679.63821,7794215003.03065,7302727945.30644,7414825706.20328,7513958616.74957,7560289381.49228,7574608193.26884,7765002615.56776,7910787275.11708,7986904251.30781,8372810074.95085,8672159450.83023,9326459853.62431,10013804572.3453,10619662925.8882,11298815407.9523,11491596864.9675,11979528543.226,12428695150.1271,12857344602.3094,13134147768,13358642293.1981,13671259606.8535,13985703809.8278,14244514235.3485,14752019854.1257,15329111294.8589,15917713172.3067,16120541019.2613,15615477008.272,15828594488.0472,16061419230.6821
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,194293740.813721,189765615.698672,198185017.827795,203447349.500971,200946619.40237,207499790.539676,205141003.679892,227081761.956183,241379315.622285,253727370.2323,289915456.227045,374402170.187843,640931532.34531,781365388.082366,1105213629.59634,1254223037.33709,2030554289.58624,2425757700.91067,2764278260.23073,3814668805.84594,4186550476.56191,4239290429.11297,5148299306.78246,5697997257.51338,6024744205.69925,5979285834.9711,6403432391.17733
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429588978.527988,487389152.289934,590820007.44694,607707881.345414,663974581.109594,716486235.571553,729186545.860742,729284845.475984,633600000,768210748.883919,791298774.82814,770285714.285714,781506493.506494,801558441.558442,793870129.87013,805194805.194805,726337662.337662,754493506.493507,771116883.116883,838337662.337662
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104911008.64477,4346685996.97675,4856828569.93279,5187563538.92222,5173492087.62229,5675174661.87581,6031668952.54822,6427372283.59952,6926482596.87579,7365818095.26683,8017950551.90427,8827550544.93364,9488928631.4304,9140619357.94319,7837361480.95623,8014762096.87522,8626739894.25593
Ethiopia,,,,,,,,,,,,,,,,,,,,,,5147105049.2749,5194255336.46694,5622006404.28824,5461892869.70672,4853203034.89924,5322089426.90221,6059709673.46062,6090215652.83967,6068236778.74378,6233682737.9628,5788766562.71381,5286719782.12697,5981544745.48862,6172368103.03834,6550580456.5046,7364550132.92852,7595359797.54279,7332697406.72614,7711240982.39205,8179533779.1746,8858552228.85293,8992734182.82548,8798393779.76974,9992543571.77932,11173546750.4407,12384159131.2523,13802890302.1844,15292022591.4704,16638100822.2788,18291486355.4865,19626589433.7414
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062339943.83343,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,437079701,452454345.025823,468770309.684054,498578347.639135,522895396.204278,508775824.338832,508775824.338832,576706713.274761,622360092.964294,638519147.897975,719628345.292844,769203456.901595,826780467.095287,922793396.863868,946796652.327628,951816653.357134,977859900.067301,1035592858.67321,1054890127.92036,1183848552.57693,1164866034.83432,1238601961.83201,1164552296.28078,1118434636.60832,1212305127.31995,1156375706.55565,1245993741.09482,1163571018.59539,1174691917.11344,1262072928.80656,1335273158.67734,1299220783.39305,1378473251.18003,1407835172.27834,1479634766.06453,1516625635.21614,1589423665.70651,1554456345.06097,1574664277.54676,1713234733.97088,1684109743.49338,1717791938.36324,1772761280.39087,1790488893.19478,1885384804.5341,1898582498.16584,1933591136.76191,1917139709.05638,1936934579.71751,1912289652.24819,1908465072.94369,1946634374.40257
Finland,32363088296,34824194518.0173,35862633031.9313,37040756259.0169,38981205392.9164,41048323284.5185,42022327346.8008,42933719719.5541,43922607785.4229,48136229952.8677,50703772072.9479,51898819538.2546,55913445264.8976,59818344059.0831,61754384904.1597,62868988391.3764,63085498433.7571,63236594803.759,65082918739.6352,69718076285.2404,73475216510.0424,74420490141.8832,76689699649.8986,79008660401.6952,81463976414.2252,84154228855.7214,86377372397.2729,89391929242.6755,94059332964.8056,98835452367.7907,99334807444.2602,93374792703.1509,90120692832.1356,89390086604.0169,92656163626.3128,96327621153.4918,99765984890.363,105957250783.121,111288004422.333,115637552975.861,121793808734.107,124575271789.202,126860143725.815,129413119587.249,134751243781.095,138680670720.472,144797309747.558,152522572323.567,152970333517.597,140190713101.161,145421964252.81,149573429150.544
France,349778187326,369037927245.624,393660782188.862,414710508266.523,441742742172.271,462849365785.003,486982368985.373,509812875871.98,531525932127.008,568682414708.099,601287903228.628,633340148631.584,662077162386.551,705840360681.181,738949898007.582,730641519752.044,762687037772.67,789935209765.064,820703033189.416,849011684285.92,862905694751.184,871351830989.844,892413505746.226,903407336383.319,916909603122.409,931672923881.787,952690141655.377,975443949951.029,1020973645763.28,1063728514428.42,1091598599816.93,1102943385636.2,1119243188168.46,1111773755003.03,1136759530932.39,1160031311021.31,1172414702759.87,1198016965929.96,1238488425750.81,1279258855127.53,1326334899576.19,1350682881886.69,1363229017958.53,1375491323088.37,1410493938384.31,1436256423650.45,1471687515757.36,1505321677069.46,1504107370104.43,1456772338299.09,1480999829195,1506143156817.09
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,805624423.615501,882775676.808919,840939466.647538,966498474.51392,940538895.598211,955838748.509926,1070562421.07942,1020298672.56696,1099908100.08843,1297903095.09412,1234270768.96482,1335525607.23446,1363291087.2254,1498155466.44385,1556971914.06354,1564521690.56812,1697580026.40235,1866856569.26971,1967784808.40872,2074157077.93646,2186297273.11275,2369946312.36253,2538212603.71429,2599129674.32622,2677103615.78724,2735999898.74998,2870063789.90316,2895894294.5655,2898790282.49938,2921980670.79075,2936590396.25847,2945400176.55502,3001362902.01068,3187447274.99572,3314945313.9969,3447543137.94149,,,,,,,,,,,
Gabon,887289809,1018309174.85609,1094165180.09491,1160826485.34571,1213695789.644,1314837133.66517,1374110051.74067,1430656780.6726,1466549110.62653,1585088961.73002,1722664256.45841,1899387746.98947,2114720779.04677,2330050818.58032,3250120203.13233,3873822004.78308,5253884186.27849,4592835688.1274,3488295169.03476,3504843825.41672,3594320285.78212,3777462739.77418,3660455060.83481,3865742190.63637,4156016995.16627,4059059224.63968,4026440716.44313,3336065491.59194,3764594888.3807,4086291191.60393,4298461126.04899,4561204712.00492,4420256843.00122,4594704710.83278,4765294832.30326,5002313342.71378,5183649653.67729,5481106515.22648,5671730278.61365,5165096006.37744,5067838984.24113,5175869091.90638,5162041537.37761,5289811986.01803,5361013680.58408,5523001847.83905,5588238865.76432,5898573546.00851,6035623995.8102,5950756011.35934,6343809583.45765,6649166795.64969
Gambia,,,,,,,207683716.008107,207683716.008107,227571802.75801,233114370.954048,247459869.138163,247296850.030073,247894579.969818,270825642.541306,286746924.204451,322284702.742683,345976575.471254,357876705.555029,380481791.019588,375428300.517567,398967950.105472,412221242.672113,409069472.016553,453589434.341584,469624990.301416,465810387.985575,484867022.285898,496767274.588172,519006682.303334,549605876.098477,569165683.959717,586849885.993811,606677719.023643,624951462.35804,625916051.492672,631435683.350374,645475940.832912,677104255.130228,700802893.637842,745654278.830664,786665264.166349,832291849.487997,805242361.22979,860562511.446276,921232168.50324,923671344.604227,954571694.286,1011867196.86919,1075628981.89007,1147182107.22522,1217357172.36873,1277885816.17076
Georgia,,,,,,3371856942.02526,3625947638.60573,3852569346.11491,4024252757.02263,4216537591.27494,4724719621.35364,4841464417.20101,4978810636.39298,5301575079.48719,5768553307.50007,6194327096.52938,6572030154.68393,7025273569.70229,7547190094.3166,8103444129.10562,8474279303.07458,8920655470.8251,9099205810.54174,9490643363.23196,10005693277.4962,10500140176.1215,9641724713.87731,9765335801.61588,10307854704.9514,9566183720.09575,8151514859.98033,6431545204.78005,3543781426.30442,2505453416.48843,2244886380.91417,2303253365.03692,2561217795.42214,2830633309.5153,2918521769.48841,3002261649.61411,3057453460.84974,3204377911.4422,3379780411.87512,3753519943.79747,3973376002.43895,4354805817.36963,4763429293.1461,5351427005.09206,5475261546.29493,5268528046.52734,5597970558.38139,5987225425.158
Germany,,,,,,,,,,,929852280013.346,958981760098.242,1000221248757.76,1048006687998.15,1057334667575.89,1048170336762.67,1100046995116.11,1136867967133.53,1171070558918.6,1219674241981.6,1236857362256.4,1243403312837.28,1238493849901.62,1257968052879.72,1293479834780.97,1323591207453,1353866228889.55,1372849485574.09,1423744251340.39,1479221182513.31,1556954345661.21,1636487645218.84,1667775438934.58,1651062704403.19,1691872870119.37,1720245651998.24,1733849040570.3,1763970829551.29,1796813296246.69,1830433099431.93,1886401326699.83,1914968442701.16,1915162776823.62,1907972414292.67,1930126504252.88,1943341224580.03,2015244849889.49,2081124117402.75,2103666875607.88,1995811437643.69,2069464070055.27,2131456655119.38
Ghana,1902005320,1965121690.91886,2045871633.83602,2136012213.56232,2183203738.64378,2213091746.71507,2118851899.47335,2184014292.89001,2192070265.66034,2323729823.30925,2549677064.19911,2682671392.66361,2615935780.61881,2691394628.81113,2875822907.03222,2518311292.36949,2429410284.32891,2484657690.65774,2695255677.32139,2627471578.27279,2639865251.11727,2547388990.25577,2371016684.80502,2262809702.02946,2458487738.15397,2583664541.66067,2717993396.87954,2848318427.77407,3008626623.68341,3161641538.13685,3266886838.00013,3439438120.98081,3572868342.78534,3746152457.41042,3869775488.50499,4028916868.57068,4214346194.39582,4391195242.9334,4597598579.90584,4799892758.17178,4977488790.22412,5176588341.83309,5409534817.2156,5690830627.71082,6009517142.86258,6364078885.54576,6771379934.2207,7208793173.09773,7816530775.86755,8128525458.20356,8779397392.40743,10042802344.5558
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,28208389534,31353494474.2642,31834306239.6443,35061049111.9912,37956509843.4835,41521636083.508,44053976946.304,46468768011.7418,49565497480.0947,54472347988.9825,58805784184.0725,63416849797.0489,69860097594.0086,75513441225.5556,70651704210.0644,75149963025.7408,80299161830.0247,82660761559.3696,88651073971.2559,91560673330.6822,92180659096.3632,90748428631.6526,89720568797.5694,88752822668.6997,90537269528.3128,92809353505.7494,93289790480.7791,91182501476.0674,95092281000.6066,98705787677.1644,98705787677.1644,101765667096.737,102478026766.307,100838378338.2,102855145905.735,105014815743.466,107491487302.218,111401606431.581,115148803930.553,119086192481.676,124418164455.203,129640052496.614,134098566244.522,142068547965.041,148273579289.3,151654726496.39,160060884678.577,164856617855.66,164598016076.395,159247577305.264,153647288779.68,143034499786.792
Greenland,,,,,,,,,,,428840229.996858,484850427.568224,514800963.02073,549838359.884303,581213529.200291,584969559.973521,619829122.204584,674512397.662323,715095900.585249,749853842.542249,814911202.582065,820332649.252049,784076724.646527,811183957.99645,769167746.304068,797291500.904614,853877850.522578,900976668.46807,951463890.582302,1014827048.53775,895894062.21496,894877540.964338,849134084.686342,806440192.160214,854216690.939452,886067690.125612,899621306.800575,912836083.058662,983653730.185336,997207346.860298,1068024993.98697,1081578610.66193,1071074557.73884,1067008472.73635,1095471067.75377,1117156854.43371,1167082380.78889,1231424330.11454,1235683938.73852,1168808893.34005,,
Grenada,,,,,,,,,,,,,,,,,,181391474.633788,191213323.206003,202708833.306712,201805408.555966,203525381.027069,213549930.315666,219798608.909099,230315399.597272,248928265.936362,269463805.462938,299508469.609548,309776248.63873,328586015.244009,345669990.396201,353609713.336923,352561518.24458,343255075.80914,352706288.586177,361537835.377255,376206895.942386,393545720.267342,419291120.380626,461524207.512925,519752999.70972,499420151.633632,510116469.035094,553191297.855927,517390196.515461,579680174.842548,568497397.959915,604222784.927146,614414707.209595,579518270.55955,572168317.376963,578532803.583195
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,3989089865,4160561629.63566,4307699952.37618,4718699493.92264,4937316476.17738,5152670836.97471,5436691406.933,5660257703.5786,6156437883.13861,6448062748.90118,6816110665.82794,7196705549.16302,7724443677.9795,8248379902.23131,8774216592.09052,8945313004.34917,9606127039.75281,10356290699.1755,10873762420.3126,11386292444.1954,11814414541.3134,11890837105.8027,11471079977.4069,11176033300.2011,11231544416.2348,11163106240.6713,11179075018.5228,11575259559.9378,12025813477.9972,12499941929.7373,12887760529.0802,13359226868.9451,14005591525.6332,14555609587.1868,15142745250.7452,15892091189.8229,16362144271.3126,17076202965.7313,17928907904.4338,18618644148.9166,19290566570.0483,19740527581.1639,20503822393.6901,21022740913.1031,21685384121.31,22392362924.107,23597025900.6499,25084585159.7893,25907634307.4658,26043918245.1531,26801786950.3741,27838549512.5061
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,1752616479.35177,1810451751.36765,1924657160.5919,2001710348.38882,2088265559.95809,2142840772.50092,2212931964.92979,2324555451.87005,2416842607.07708,2528202816.20432,2660235794.4303,2783956470.57676,2918504398.1513,3054862705.82643,3112362568.47962,3202122564.24405,3322809563.68315,3502841591.69668,3584767429.2455,4938241628.03755,5061531939.3859,5150498469.11574,5404776603.8913,5389634967.58673,5493989673.15392,5691015849.76293
Guinea-Bissau,,,,,,,,,,,104038537.017707,99969623.6730341,106342548.138863,107522836.376076,112425061.656902,121245464.676203,127239180.069835,118116041.807897,133620004.724669,136284580.471972,114543576.340242,135353312.765126,141038263.087384,136245377.534721,148656272.81199,154850025.845082,153620752.593392,158075754.4186,165347239.121856,175433420.708289,186134859.371495,195627737.199441,197779642.308635,201933014.797116,208394871.270623,217564245.606531,242801698.096889,258583808.473187,185921810.694018,200423711.928151,215455490.322762,215886401.303407,200558466.810866,199296368.428443,203714836.158326,210770185.180923,215273017.141732,222166391.497014,229323638.928714,236193584.775483,244395462.714028,257348422.237872
Guyana,385886207,403982434.62874,408446141.027324,358294439.103302,398997699.337748,441056121.413449,464137796.317022,484158945.844623,489120739.956882,523331735.644315,545601892.318567,562585665.395696,543920924.189954,550691213.267843,593110075.984822,643423731.353015,653312596.189283,636073769.43812,624585076.424927,613119591.693454,623750409.270106,633082750.194867,549578284.157268,512248801.745784,486489152.299181,498163274.14125,493676804.63259,498116916.93403,479718803.865073,455999524.454524,442145871.920414,468606577.672351,505305251.863961,546810206.873445,593416532.14471,623006141.637172,672120623.308248,713973227.693766,701774515.586137,722616383.55704,712667925.076665,728702948.345611,736361621.956725,728959307.856468,752970679.221852,738235712.18483,776104320.276093,830589276.26626,847007094.757798,875116076.929696,913366257.90009,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734792699.96711,3536477717.91508,3344577988.44702,2944879860.06368,3236355466.59584,3370238998.78287,3461447155.08527,3537035565.96586,3632985430.69989,3664503845.56892,3626291254.09054,3617086761.25269,3630196190.446,3502448986.81755,3565485816.5556,3645815935.86782,3767705734.96308,3799503073.8575,3908841291.81024,3697137956.53951,3903820659.35322
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,1502038539,1529911259.16056,1618108290.47302,1676043631.71219,1766828974.81679,1926499596.8002,2030026643.3079,2151372356.435,2293323844.40342,2308355179.81947,2392072781.77261,2487636175.01336,2630981360.43794,2838035708.28924,2803194800.90068,2862921961.49426,3163548606.10627,3492047989.37092,3841451878.84333,4020633360.62405,4047510519.18218,4150042144.86782,4092306080.75428,4054478751.62707,4230673875.37811,4407864388.09674,4439719001.16459,4707495771.15911,4924504390.94012,5137531200.0149,5142508463.3977,5309744576.76867,5608380316.02757,5957784205.49997,5880138960.4373,6119047602.81159,6339042644.33125,6655596595.47719,6848714414.72975,6719305566.777,7105541205.28211,7299040639.57362,7573072089.86784,7917422407.60398,8410861673.31266,8919792791.13419,9505547333.38409,10093784782.4346,10520914743.1572,10296774093.7863,10582329896.7153,10942129113.2036
"Hong Kong, China",,10490975371.2711,12021980539.2125,13425142977.4005,14982653354.9282,17469241672.7855,18666560242.7173,19031588145.3751,19647855786.2456,21999705846.5406,24091796596.7929,25876416573.5711,28723554183.3707,33720979270.2857,34451734606.7651,34634966188.4611,40336855124.0809,45033141350.6772,48845400325.2996,54530789734.6055,60150325771.343,65754664875.9492,67674978166.5828,71712441202.1207,78828223756.6883,79357655925.6013,88164639927.3391,99988432056.1471,108432137013.606,110841646786.177,115162785888.163,121720768667.173,129137305745.251,136941292226.331,145176003183.814,148505289182.039,154731978840.589,162555648967.096,152759417049.962,156663870746.18,169121013113.141,169962054757.087,173091030716.554,178294170812.897,193389645330.518,207085699497.888,221622650576.516,235782862470.978,241220758985.576,234803022180.234,251168960224.022,264136719510.591
