,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cuba,,,,,,,,,,,,,,,,,,,,,5.51,,,5.12
Cyprus,,,,,,,,,,,,,,,,,,,,,9.26,,,8.84
Czech Republic,,,,,,,,,,,,,,,,,,,,,16.45,,,16.47
Denmark,,,,,,,,,,14.36,,,,,,,,,,,13.37,,,12.02
Djibouti,,,,,,,,,,,,,,,,,,,,,1.87,,,1.87
Dominica,,,,,,,,,,,,,,,,,,,,,7.84,,,8.68
Dominican Republic,,,,,,,,,,,,,,,,,,,,,6.41,,,6.28
Ecuador,,,,,,8.4,,,,,,,,,,,,,,,9.38,,,9.43
Egypt,,,,,,,,,,,,,,,,,,,,,0.37,,,0.32
El Salvador,,,,,,,,,,,,,,,,,,,,,3.61,,,3.99
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,6.08,,,6.12
Eritrea,,,,,,,,,,,,,,,,,,,,,1.54,,,1.64
Estonia,,,,,,,,,,,10.74,,,,,,,,,,15.57,,,17.24
Ethiopia,,,,,,,,,,,,,,,,,,,,,4.02,,,4.1
Fiji,,,,,,,,,,,,,,,,,,,,,2.43,,,2.76
Finland,,,,,,,,,,9.79,,,,,,,,,,,12.52,,,13.1
France,,,,,,,,,,,,,,,,,,,,,13.66,,,12.48
Gabon,,,,,,,,,,,,,,,,,,,,,9.32,,,9.46
Gambia,,,,,,,,,,,,,,,,,,,,,3.39,,,3.58
Georgia,,,,,,,,,,,,,,,,,,,,,6.4,,,6.66
Germany,,,,,,,,,,,,,,,,,,,,,12.81,,,12.14
Ghana,,,,,,,,,,,,,,,,,,,,,2.97,,,3.11
Greece,,,,,,12.51,,,,,,,,,,,,,,,10.75,,,11.01
Grenada,,,,,,,,,,,,,,,,,,,,,10.35,,,10.71
Guatemala,,,,,,,,,,,,,,,,,,,,,4.03,,,7.1
Guinea,,,,,,,,,,,,,,,,,,,,,0.76,,,0.79
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,3.68,,,3.9
Guyana,,,,,,,,,,,,,,,,,,,,,9.5,,,8.7
Haiti,,,,,,,,,,,,,,,,,,,,,6.61,,,5.92
Honduras,,,,,,,,,,,,,,,,,,,,,4.48,,,4.43
Hungary,,,,,,,,,,,14.52,,,,,,,,,,16.27,,,16.12
Iceland,,,,,,,,,,5.52,,,,,,,,,,,6.31,,,7.38
India,,,,,,,,,,,,,,,,,,,,,2.59,,,2.69
Indonesia,,,,,,,,,,,,,,,,,,,,,0.59,,,0.56
Iran,,,,,,,,,,,,,,,,,,,,,1.02,,,1.03
Iraq,,,,,,,,,,,,,,,,,,,,,0.4,,,0.47
Ireland,,,,,,,,,,,,,,,,,,,,,14.41,,,14.92
Israel,,,,,,,,,,,,,,,,,,,,,2.89,,,2.52
Italy,,,,,,,,,,,,,,,,,,,,,10.68,,,9.72
Jamaica,,,,,,,,,,,,,,,,,,,,,5,,,5.17
Japan,,,,,,,,,,,,,,,,,,,,,8.03,,,7.79
Jordan,,,,,,,,,,,,,,,,,,,,,0.71,,,0.65
Kazakhstan,,,,,,,,,,,,,,,,,,,,,10.96,,,11.1
Kenya,,,,,,,,,,,,,,,,,,,,,4.14,,,3.88
Kiribati,,,,,,,,,,,,,,,,,,,,,3.71,,,2.7
Kuwait,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,5.09,,,4.72
Laos,,,,,,,,,,,,,,,,,,,,,6.73,,,6.99
Latvia,,,,,,,,,,,,,,,,,,,,,12.5,,,13.45
Lebanon,,,,,,,,,,,,,,,,,,,,,2.23,,,2.3
Lesotho,,,,,,,,,,,,,,,,,,,,,5.55,,,5.56
Liberia,,,,,,,,,,,,,,,,,,,,,5.06,,,5.07
Libya,,,,,,,,,,,,,,,,,,,,,0.11,,,0.1
Lithuania,,,,,,,,,,,,,,,,,,,,,15.03,,,16.3
Luxembourg,,,,,,,,,,,,,,,,,,,,,13.01,,,12.84
Macedonia [FYROM],,,,,,,,12.66,,,,,,,,,,,,,8.51,,,8.94
Madagascar,,,,,,,,,,,,,,,,,,,,,1.33,,,1.32
Malawi,,,,,,,,,,,,,,,,,,,,,1.74,,,1.44
Malaysia,,,,,,,,,,,,,,,,,,,,,0.82,,,0.87
Mali,,,,,,,,,,,,,,,,,,,,,1.04,,,0.99
Malta,,,,,,,,,,,,,,,,,,,,,4.27,,,4.1
Mauritania,,,,,,,,,,,,,,,,,,,,,0.11,,,0.11
Mauritius,,,,,,,,,,,,,,,,,,,,,3.72,,,3.53
Mexico,,,,,,,,,,,,,,,,,,,,,8.42,,,8.55
Micronesia,,,,,,,,,,,,,,,,,,,,,5.5,,,5.25
Moldova,,,,,,,,,18.1,,,,,,,,,,,,18.22,,,23.01
Mongolia,,,,,,,,,,,,,,,,,,,,,3.24,,,3.41
Morocco,,,,,,,,,,,,,,,,,,,,,1.46,,,1.24
Mozambique,,,,,,,,,,,,,,,,,,,,,2.38,,,2.27
Myanmar [Burma],,,,,,,,,,,,,,,,,,,,,0.57,,,0.58
Namibia,,,,,,,,,,,,,,,,,,,,,9.62,,,12.09
Nauru,,,,,,,,,,,,,,,,,,,,,4.83,,,4.81
Nepal,,,,,,,,,,,,,,,,,,,,,2.41,,,2.42
Netherlands,,,,,,,,,,,,,,,,,,,,,10.05,,,9.75
New Zealand,,,,,,,,,,,9.19,,,,,,,,,,9.62,,,9.99
Nicaragua,,,,,,,,,,,,,,,,,,,,,5.37,,,5.21
Niger,,,,,,,,,,,,,,,,,,,,,0.34,,,0.34
Nigeria,,,,,,,,,,,,,,,,,,,,,12.28,,,12.72
Niue,,,,,,,,,,,,,,,,,,,,,9.85,,,8.69
North Korea,,,,,,,,,,,,,,,,,,,,,18.28,,,
Norway,,,,,,,,,,6.26,,,,,,,,,,,7.81,,,8.35
Oman,,,,,,,,,,,,,,,,,,,,,0.94,,,0.92
Pakistan,,,,,,,,,,,,,,,,,,,,,0.06,,,0.05
Palau,,,,,,,,,,,,,,,,,,,,,10.1,,,9.86
Panama,,,,,,,,,,,,,,,,,,,,,6.85,,,7.3
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,3.49,,,3.64
Paraguay,,,,,,,,,,,,,,,,,,,,,7.88,,,7.91
Peru,,,,,,,,,,,,,,,,,,,,,6.9,,,6.53
Philippines,,,,,,,,,,,,,,,,,,,,,6.38,,,6.08
Poland,,,,,,,,,,,,,,,,,,,,,13.25,,,14.43
Portugal,,,,,,,,,,,,,,,,,,,,,14.55,,,13.89
Puerto Rico,,,,,,,,,,,,,,,,,,,,,5.75,,,
Qatar,,,,,,,,,,,,,,,,,,,,,1.25,,,1.29
Romania,,,,,,,,,,,,,,,,,,,,,15.3,,,16.15
Russia,13.31,10.77,10.96,11.57,12.04,12.29,12.67,13.23,13.6,13.3,,,,,,,,,,,15.76,,,16.23
Rwanda,,,,,,,,,,,,,,,,,,,,,9.8,,,9.99
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,9.43,,,10.62
Saint Lucia,,,,,,,,,,,,,,,,,,,,,11.85,,,12.05
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,5.44,,,4.99
Samoa,,,,,,,,,,,,,,,,,,,,,4.8,,,4.51
São Tomé and Príncipe,,,,,,,,,,,,,,,,,,,,,8.74,,,8.45
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,0.25,,,0.34
Senegal,,,,,,,,,,,,,,,,,,,,,0.6,,,0.51
Serbia,,,,,,,,,,,,,,,,,,,,,11.09,,,12.21
Seychelles,,,,,,,,,,,,,,,,,,,,,10.59,,,12.11
Sierra Leone,,,,,,,,,,,,,,,,,,,,,9.72,,,9.48
Singapore,,,,,,,,,,,,,,,,,,,,,1.55,,,1.54
Slovakia,,,,,,,,,,,,,,,,,,,,,13.33,,,13.31
Slovenia,,,,,,,,,24.19,,,,,,,,,,,,15.19,,,14.94
Solomon Islands,,,,,,,,,,,,,,,,,,,,,1.66,,,1.37
Somalia,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5
South Africa,,,,,,,,,,,10,,,,,,,,,,9.46,,,10.16
South Korea,,,,,,,,,,,,,,,,,,,,,,,,19.15
Spain,,,,,,,,,,,,,,,,,,,,,11.62,,,11.83
Sri Lanka,,,,,,,,,,,,,,,,,,,,,0.79,,,0.81
Sudan,,,,,,,,,,,,,,,,,,,,,2.56,,,2.56
Suriname,,,,,,,,,,,,,,,,,,,,,6.09,,,6.56
Swaziland,,,,,,,,,,,,,,,,,,,,,5.7,,,5.05
Sweden,,,,,,,,,,,,8,,8.2,,8.4,9.1,9.9,10.2,10.5,10.1,9.8,9.8,9.5
Switzerland,,,,,,,,,,,,,,,,,,,,,11.06,,,11.41
Syria,,,,,,,,,,,,,,,,,,,,,1.43,,,1.49
Tajikistan,,,,,,,,,,,,,,,,,,,,,3.39,,,3.39
Tanzania,,,,,,,,,,,,,,,,,,,,,6.75,,,7.86
Thailand,,,,,,,,,,,,,,,,,,,,,7.08,,,7.08
Timor-Leste,,,,,,,,,,,,,,,,,,,,,0.86,,,0.74
Togo,,,,,,,,,,,,,,,,,,,,,1.99,,,1.92
Tonga,,,,,,,,,,,,,,,,,,,,,3.78,,,3.92
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,6.28,,,6.16
Tunisia,,,,,,,,,,,,,,,,,,,,,1.29,,,1.05
Turkey,,,,,,,,,,,,,,,,,,,,,2.87,,,3.02
Turkmenistan,,,,,,,,,,,,,,,,,,,,,4.63,,,5
Tuvalu,,,,,,,,,,,,,,,,,,,,,2.44,,,2.14
Uganda,,,,,,,,,,,,,,,,,,,,,11.93,,,16.4
Ukraine,,,,,,,,,13,,,,,,,,,,,,15.6,,,17.47
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,0.54,,,0.52
United Kingdom,,,,,,,,,,,,,,,,,,,,,13.37,,,13.24
United States,,,,,,,,,,,,,,,,,,,,,9.44,,,9.7
Uruguay,,,,,,,,,,,,,,,,,,,,,8.14,,,8.99
Uzbekistan,,,,,,,,,,,,,,,,,,,,,3.54,,,3.61
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.93,,,0.96
Venezuela,,,,,,,,,,,,,,,,,,,,,8.23,,,7.6
Vietnam,,,,,,,,,,,,,,,,,,,,,3.77,,,3.91
Yemen,,,,,,,,,,,,,,,,,,,,,0.2,,,0.2
Zambia,,,,,,,,,,,,,,,,,,,,,3.85,,,3.56
Zimbabwe,,,,,,,,,,,,,,,,,,,,,5.08,,,4.96
