"Energy production, total (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Iraq,,,,,,,,,,,,85980.103,74610.071,102865.33,100401.332,115423.798,123670.92,119517.651,131476.664,177552.857,135499.032,45231.098,50878.662,49618.698,61161.864,73048.034,87245.18,109386.659,137149.654,148117.779,104933.514,16651.594,23970.797,27304.866,30219.516,31329.48,32740.074,65464.087,109946.397,130749.743,135297.551,134177.638,115689.26,80387.779,104429.341,97447.535,101284.883,105257.93,117963.638,119640.114,,
Ireland,1382.042,1351.963,1345.169,1345.53,1372.134,1116.064,1259.942,1360.593,1710.209,1623.708,1416.482,1423.389,1371.387,1120.353,1308.393,1659.621,1408.772,1331.868,1123.662,1466.523,1893.587,2487.83,3033.079,3207.843,3629.231,2845.285,2635.666,3009.024,2873.078,3760.464,3466.887,3286.776,3081.648,3451.065,3559.597,4100.518,3539.013,2852.639,2460.119,2459.606,2158.309,1774.824,1544.22,1834.341,1859.395,1634.096,1596.27,1405.65,1516.336,1528.673,1945.323,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,5938.419,6241.608,6149.194,4270.975,6576.834,88.091,77.931,74.432,85.782,153.47,150.115,78.873,68.085,55.947,282.172,341.094,362.321,379.468,390.582,424.096,438.123,458.011,501.962,516.193,547.662,556.932,583.98,600.378,600.536,642.028,672.61,708.307,738.61,1742.051,2109.301,2683.242,2898.905,3900.245,3266.15,3730.068,
Italy,13838.472,14120.323,14050.042,14687.054,15860.994,16035.888,16693.507,16992.623,17574.999,18496.417,19866.446,19530.427,20119.566,20383.657,21214.882,20980.612,21740.134,20900.732,20944.292,20558.633,19895.245,20829.446,22573.506,21474.885,22642.294,22769.853,24810.982,24191.181,25472.714,25217.385,25313.228,26077.385,27254.223,28295.314,29503.584,29419.199,30270.195,30402.131,30287.83,29221.872,28169.3,26852.805,27454.292,27843.52,28393.268,27847.986,27427.413,26381.148,26971.265,27009.124,28825.356,
Jamaica,,,,,,,,,,,,277.026,280.203,250.944,266.557,253.6,254.445,233.918,253.036,222.04,223.879,224.285,247.115,235.127,272.476,252.249,255.401,256.069,260.166,309.637,484.619,485.259,484.413,472.64,485.421,483.42,497.596,510.295,466.676,481.272,588.861,500.312,393.268,396.082,412.212,411.607,411.235,412.371,493.707,530.877,,
Japan,46980.432,49921.149,48126.378,47196.573,47998.677,48138.927,48905.842,44906.664,44809.078,42299.417,39341.543,35785.954,32612.254,29507.143,30636.82,29921.043,32986.262,31966.025,36166.205,39386.314,43291.411,44523.522,51787.397,55179.861,59296.955,67047.414,68878.703,71654.136,69712.51,70519.395,75200.674,79224.093,80213.423,87661.857,90490.222,98552.427,101708.401,106197.752,109125.829,104541.666,105823.811,104776.592,96928.395,84075.971,95092.656,100507.476,101420.971,90596.24,88691.631,93791.016,95059.794,
Jordan,,,,,,,,,,,,0.931,0.931,0.931,0.931,0.931,1.17,0.693,0.693,0.693,0.693,0.931,0.931,1.17,1.17,1.17,16.683,24.161,20.003,53.974,161.988,158.571,171.001,188.431,272.137,279.464,274.832,288.88,294.602,285.724,285.937,280.757,262.658,286.786,294.107,255.893,290.259,277.103,275.492,293.107,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90455.446,91323.512,89006.635,78441.397,70856.185,63469.851,63326.847,65112.673,64377.959,65580.172,77909.425,83322.196,90437.624,101033.751,113480.963,117365.481,126483.03,130789.137,142221.324,145814.065,,
Kenya,,,,,,,,,,,,4276.116,4436.716,4600.586,4782.733,4969.315,5148.375,5355.028,5583.627,5813.647,6012.325,6273.107,6518.662,6787.898,7041.441,7327.275,7880.931,8163.621,8442.295,8731.954,9013.399,9293.659,9554.778,9850.281,10121.464,10491.607,10768.444,11001.893,11295.76,11496.865,11727.797,12151.696,12497.325,13160.515,13654.972,13965.255,14328.291,14696.289,15130.421,15572.806,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,18168.97,18646.32,19050.629,19713.593,20459.37,21690.471,22987.529,24123.522,25620.192,27208.969,28124.987,29539.741,29718.801,30501.041,31809.868,31540.235,30997.464,30591.303,30371.328,28914.018,28084.116,24454.623,22499.918,21279.471,20025.248,17873.161,17379.937,15845.778,17666.529,18789.139,19279.35,18645.573,19262.003,20236.492,22028.556,22247.976,19684.983,20812.931,20263.579,,
"Korea, Rep.",,,,,,,,,,,,6378.072,6194.937,6760.11,7642.669,8413.465,7808.645,8150.755,8704.93,9033.193,9271.787,9728.588,10007.817,11309.389,12682.222,14597.485,18395.018,21385.657,21447.086,21883.614,22622.553,22196.829,20394.445,20061.248,19268.723,21148.436,22489.321,23729.052,27076.213,30639.115,34375.783,34879.151,34841.872,37940.905,38267.053,42934.877,43727.387,42604.499,44730.936,44312.826,44617.304,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,161274.069,173793.175,160228.893,135843.538,111861.863,114590.431,105688.68,115591.053,138486.529,93598.11,63680.689,46415.101,59761.567,66778.373,60779.662,65075.028,69642.065,82929.123,98945.341,50372.995,10047.907,59805.198,106605.881,113967.106,114970.968,115290.426,115218.895,117503.144,107756.438,114316.359,112004.527,100836.339,120992.574,131571.966,146869.819,150982.708,146910.905,153291.298,130240.219,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502.01,2437.434,1817.937,1578.431,1465.341,1258.726,1318.994,1261.149,1113.581,1301.182,1443.052,1353.19,1203.59,1402.9,1475.06,1447.025,1487.714,1426.749,1190.185,1160.797,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.497,1123.384,1080.43,1180.288,1324.899,1431.821,1435.697,1623.656,1770.433,1641.642,1408.947,1522.78,1609.123,1736.909,1847.183,1860.647,1846.27,1801.622,1788.943,2096.969,,
Lebanon,,,,,,,,,,,,168.486,168.767,142.335,177.598,177.502,177.741,177.502,176.57,178.53,177.599,177.145,159.945,152.205,154.57,154.57,152.659,157.198,156.576,150.078,142.842,151.035,167.111,170.76,184.886,180.107,189.461,200.516,192.761,155.403,167.232,159.333,191.248,252.403,233.654,229.129,200.447,192.205,165.806,173.465,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,137512.415,114877.131,112560.845,80151.451,78787.838,102200.123,108151.52,104097.741,109724.128,96549.059,64321.899,60425.533,58134.583,58824.403,57221.371,56896.908,55176.602,58696.69,61114.95,73172.737,81675.547,77981.348,74102.394,74952.593,76118.473,75738.781,75781.933,78257.83,69289.619,72843.778,71938.655,65886.312,77505.683,86250.413,94437.922,100140.948,97680.22,100541.571,87135.557,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4935.726,4926.412,4373.071,3856.63,2695.335,3846.872,4490.374,4062.479,4614.881,3659.604,3361.194,4263.024,5058.635,5370.025,5200.281,3919.874,3485.718,3801.614,3853.03,4211.014,,
Luxembourg,1.72,4.902,3.87,0.172,6.45,8.514,7.74,8.342,8.428,7.31,8.256,4.73,5.59,4.042,7.138,6.106,3.956,24.256,24.202,26.118,29.418,30.278,28.66,28.402,30.908,30.67,26.104,33.736,36.564,35.154,28.802,30.507,45.589,44.185,45.318,44.559,37.375,42.5,53.08,53.442,57.284,58.206,56.069,58.118,66.658,88.323,91.873,94.623,101.253,106.137,103.975,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.833,1348.412,1535.91,1513.533,1513.096,1595.355,1568.107,1491.995,1747.878,1632.608,1534.693,1575.092,1513.058,1666.451,1597.81,1578.31,1617.429,1503.568,1624.003,1607.667,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,4770.214,6020.036,5967.064,5633.712,6673.515,10026.601,10995.641,14970.301,18818.215,18203.496,16995.682,19826.891,27133.857,33356.691,34203.666,40210.236,41072.716,43909.442,47133.79,48762.568,52787.684,54201.414,56430.341,58327.099,64548.401,70063.866,73675.078,74620.254,72832.158,76137.135,77145.131,80497.853,83937.146,88455.838,91493.159,90248.448,90138.434,93117.877,89693.349,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.31,0.406,0.525,0.645,0.788,0.907,1.075,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,43360.599,45057.972,47284.263,55231.886,63028.593,67912.774,79151.251,95009.097,113597.71,147033.179,171231.596,195594.295,193193.33,195152.318,192838.004,182088.861,190860.922,190053.011,190505.624,194653.026,202072.741,201695.443,203197.069,203681.155,201556.286,212016.919,220111.967,224143.319,220581.97,222300.901,225847.919,225489.002,236682.099,246942.895,253976.893,250610.312,244145.37,233345.881,220031.212,217685.796,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.922,65.834,58.094,63.294,52.564,54.132,91.033,100.122,62.578,63.872,63.828,74.24,75.551,84.571,92.157,88.435,87.273,88.106,101.574,103.771,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,2491.586,2683.802,2978.169,3279.347,3087.036,2748.672,3251.476,2901.011,2556.432,2325.987,2256.135,1873.189,1810.847,1857.279,1837.729,1916.086,1902.634,2052.367,1981.245,2023.348,3420.907,3744.807,4476.264,5107.427,7689.938,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,619.628,683.117,687.684,733.147,747.045,807.757,898.497,862.946,895.652,877.905,812.079,788.789,836.316,879.024,873.609,891.352,812.376,831.151,758.076,773.239,834.506,815.903,789.141,849.138,830.946,877.025,841.512,764.859,615.101,570.673,583.578,585.673,639.02,680.414,610.282,629.002,638.902,633.231,781.627,,
Mozambique,,,,,,,,,,,,6165.377,6125.745,6130.205,6183.144,6277.473,6250.263,6114.559,6040.003,6062.524,6086.486,6123.649,6060.068,5971.932,5947.976,5924.162,5823.569,5778.631,5710.372,5661.68,5608.165,5603.233,5631.211,5700.067,5804.237,5907.663,6006.815,6157.935,6772.517,6961.722,7258.093,7548.522,7763.153,7731.006,9045.024,10055.063,10697.606,11075.677,11528.217,11917.996,,
Myanmar,,,,,,,,,,,,7340.738,7626.46,7813.412,7864.599,8134,8529.193,8832.561,9002.939,9205.629,9514.919,9642.214,9757.362,9986.955,10437.273,11099.25,11213.64,10931.749,10632.272,10916.039,10653.812,10480.944,10805.35,10399.355,10953.834,10998.668,10910.067,11171.593,12160.45,13670.379,15405.114,15843.013,16461.096,18362.929,20554.082,23120.088,22950.681,23849.478,22992.066,22357.497,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.522,210.978,207.338,189.968,248.708,230.312,217.375,252.305,269.557,286.435,295.746,298.129,316.861,323.2,323.796,313.111,332.422,323.5,328.596,,
Nepal,,,,,,,,,,,,3597.147,3676.673,3757.129,3841.474,3925.564,4018.134,4109.834,4204.17,4301.39,4402.781,4500.404,4603.176,4704.648,4807.324,4913.806,5028.333,5137.103,5247.175,5372.617,5500.791,5620.067,5734.269,5858.332,5989.358,6138.472,6272.636,6397.897,6542.287,6707.904,7138.437,7337.945,7617.642,7793.98,7969.466,8152.061,8294.722,8462.673,8642.971,8821.41,,
Netherlands,10199.931,10496.981,9976.727,10076.013,10361.505,11085.448,11431.075,12807.282,17199.687,22388.279,28869.381,37342.134,47781.042,56761.912,66710.163,71332.838,76315.783,76038.312,69945.928,73543.729,71821.459,66755.062,57455.372,61797.066,62937.87,66334.605,62316.91,61944.248,55267.632,59527.174,60543.883,67376.654,67390.765,68541,66413.488,66692.477,74548.05,66214.789,63648.222,59517.187,57568.387,61459.892,60652.381,58724.329,68033.227,62228.604,61097.383,61245.585,66606.795,63048.138,69741.593,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,2486.816,2580.4,2696.312,3029.134,3354.33,3375.836,3415.901,3152.953,3247.814,3320.135,3398.184,3416.893,3837.696,4048.284,4577.279,4796.58,5438.802,6103.557,5963.561,5278.878,5471.184,5770.82,6683.123,7144.232,7985.198,8950.167,9878.103,9677.245,10416.225,11463.147,11459.421,12123.459,12345.607,12894.795,12613.513,12735.336,13832.884,14512.317,13404.777,13742.713,14118.332,14197.372,14640.809,13384.509,13031.739,12575.41,13066.188,14023.619,14988.775,15214.603,16555.144,
Nicaragua,,,,,,,,,,,,736.437,757.91,795.779,822.125,852.348,888.302,881.252,890.209,918.262,906.606,921.067,950.915,975.75,1218.055,1298.589,1223.52,1233.883,1259.209,1435.062,1494.561,1541.159,1522.196,1508.701,1486.275,1494.667,1546.783,1594.652,1457.706,1482.311,1552.517,1540.486,1658.901,1805.103,1932.465,1954.467,2089.337,1656.245,1691.375,1706.578,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,111494.887,127156.172,139929.434,150870.712,128220.055,144012.294,146288.169,137264.902,159206.591,148478.746,118938.391,112898.574,111937.065,121157.16,128446.846,127937.113,123342.38,131835.155,147477.415,150452.357,156709.542,161988.952,164875.914,166163.253,169186.044,181955.375,193860.181,188582.821,187743.879,201717.436,211192.071,196105.45,216419.773,229863.129,233308.552,235005.164,231339.609,228245.877,228721.61,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,2966.668,3153.323,3599.191,3686.678,4119.462,4551.076,4478.988,4882.79,5408.633,5203.41,5294.192,6029.359,7654.313,8056.407,8569.246,16122.598,21745.76,23258.191,36919.48,45917.427,54970.063,55390.673,55420.755,63511.465,69627.195,72579.719,74854.938,86479.211,94876.455,112776.243,119068.701,130997.777,146606.355,154763.886,169877.642,184288.24,207066.072,212565.209,205738.592,209416.257,226955.099,225872.147,234782.339,234423.629,228352.238,223749.218,215034.425,214912.075,218986.27,213636.612,205085.75,
Oman,,,,,,,,,,,,15203.992,14635.857,15203.992,15062.213,17762.13,19040.179,17619.331,16469.986,15595.936,15089.82,17437.457,17926.092,20743.194,22398.498,26749.973,30271.735,31560.469,33624.269,34681.847,38312.865,39505.92,41742.276,44334.858,46248.394,48655.68,50157.153,51528.787,51765.352,54013.415,61005.466,65337.982,63337.595,60529.211,58872.756,60261.88,61674.943,60496.838,63436.696,67198.212,,
Pakistan,,,,,,,,,,,,14355.444,14822.966,15587.538,16391.308,17081.032,17354.73,18247.604,18966.741,19801.641,20922.384,22071.066,23090.592,24027.699,24420.74,26003.562,27511.833,30223.453,31373.659,33103.304,34177.583,36171.64,37722.623,38959.507,39521.957,41044.745,41981.553,42211.248,43328.501,45114.022,46918.849,48975.668,50058.447,55279.584,58829.174,61476.556,61905.596,64209.843,63262.25,64859.416,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,342.318,339.142,342.399,366.432,379.977,404.909,441.829,486.922,499.017,527.311,568.444,568.101,539.396,593.9,604.044,605.105,599.625,609.999,612.439,612.278,602.596,623.582,662.552,650.916,604.213,701.304,704.023,643.133,730.255,755.453,678.019,737.681,688.641,752.565,735.37,750.83,695.231,697.92,666.171,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,1168.487,1186.656,1272.914,1299.64,1249.576,1313.202,1325.786,1416.111,1471.755,1605.292,1630.922,1666.651,1752.207,1756.825,2033.78,2780.171,3666.859,3875.825,4307.176,4577.278,4876.024,4519.588,4821.305,5381.25,6025.8,6389.029,7011.128,6864.476,6741.368,6837.93,6157.046,6293.039,6622.85,6630.573,6732.786,7129.865,7287.022,7532.237,7434.946,,
Peru,,,,,,,,,,,,7354.244,7523.599,7872.736,8296.41,8049.283,8358.924,9231.615,12292.162,14194.765,14470.271,14568.612,14946.404,13582.275,14622.391,14662.596,13937.057,12902.875,11560.047,10786.963,10596.234,9829.305,9596.927,10069.648,10107.16,10020.478,9958.992,9743.906,9786.492,9527.447,9360.732,9413.511,9290.513,9505.989,9608.233,10914.386,11649.429,12475.663,12648.464,15143.25,,
Philippines,,,,,,,,,,,,7526.19,7699.521,8070.294,8353.173,8598.812,8901.963,9098.73,9406.288,11282.635,12216.264,12895.466,14080.748,15375.493,16003.789,16458.814,16421.577,15950.763,16510.97,16955.36,17230.955,16821.566,16847.631,16451.393,16480.817,15823.34,15821.727,16086.342,17251.353,18657.741,19550.065,18370.604,20114.983,20597.302,20889.613,21403.992,21398.798,22145.354,22979.194,23474.374,,
Poland,64808.579,66798.877,68730.62,71340.784,75725.353,77288.651,79870.838,81500.302,85849.885,91591.508,95762.473,99249.228,103682.33,107405.72,110807.298,115703.699,119593.636,122790.918,131771.148,135279.002,126641.279,108184.008,124513.726,126781.223,127766.218,128837.98,131195.618,132320.627,132261.068,122138.393,103872.669,99836.758,97666.808,97349.201,97428.827,99361.316,98963.028,100014.755,87595.519,83919.249,79584.858,80284.672,80196.957,79855.356,78824.222,78649.487,77633.417,72512.122,71357.995,67523.832,67791.289,
Portugal,1266.116,1315.085,1278.631,1322.687,1347.355,1367.213,1453.591,1467.219,1417.429,1534.709,1407.708,1384.493,1407.172,1401.317,1440.184,1327.048,1161.163,1638.944,1734.8,1809.272,1480.912,1247.045,1450.042,1595.32,1741.782,1942.931,1848.044,1949.426,2215.279,2492.333,3393.334,3394.658,2942.508,3276.794,3486.058,3318.226,3793.208,3747.774,3732.357,3369.656,3846.055,4096.489,3642.591,4336.249,3895.286,3614.092,4364.558,4649.018,4486.884,4885.181,5963.793,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,22026.986,25025.348,29534.528,26426.195,23645.717,26186.871,23352.928,25221.669,27517.104,26470.612,24222.614,21002.356,19611.611,25825.764,20808.665,21977.404,20521.475,22134.568,25445.752,26565.499,26769.943,29201.391,28681.951,28303.215,28724.902,29489.687,40149.838,45947.868,53212.713,59238.589,63046.408,67738.291,71919.785,87859.975,93128.115,102016.958,112515.058,133138.97,139945.095,,
Romania,,,,,,,,,,,,42807.505,44395.126,46242.872,47531.557,49962.015,52103.72,54066.908,54025.589,51860.881,52586.484,54704.694,55153.081,55931.207,55676.012,54316.163,54018.281,52558.756,53513.648,49780.604,40833.69,35970.484,34470.981,33389.58,31706.095,32317.503,32818.435,31449.523,28810.362,27842.166,28282.453,27646.3,29112.099,29259.619,28363.027,27787.29,27917.039,27696.85,28934.869,28296.434,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293100.191,1217876.606,1138748.573,1057472.992,991412.274,967561.653,964999.869,933432.722,939750.53,962100.359,977983.127,1008221.749,1046285.198,1119453.419,1172318.075,1203237.075,1226999.865,1239129.081,1253922.465,1181589.237,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,244143.479,308090.112,388542.171,434793.15,364561.292,443946.983,475346.059,436959.771,497390.995,533639.549,531098.332,361339.125,283893.315,264321.263,200730.407,285825.484,248534.881,297525.682,299536.661,370192.764,465730.494,479502.138,472862.557,464333.707,467277.764,471674.926,467429.589,481510.053,445412.174,479294.838,470213.815,440443.529,515243.795,552866.269,580558.949,576019.162,554454.244,579320.264,528377.133,,
Senegal,,,,,,,,,,,,825.03,831.86,838.761,845.734,852.707,859.274,865.841,872.432,879.047,885.661,892.181,898.652,905.243,912.049,919.141,926.401,935.146,952.4,958.709,963.503,969.543,974.93,991.636,1005.891,1061.322,1086.078,1096.475,1124.5,1140.623,1192.226,1211.461,1258.941,1258.877,1255.832,1265.184,1231.343,1222.131,1230.345,1256.082,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13401.372,12140.057,11835.373,11368.444,10527.958,12193.478,12094.935,12475.35,12730.622,10528.569,11432.815,11089.138,11286.835,11408.374,11548.765,10289.217,10564.5,10571.306,10791.608,9440.487,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.424,15.14,22.686,24.071,33.719,28.178,26.841,46.088,34.387,24.74,32.334,28.895,,
Slovak Republic,,,,,,,,,,,,2689.938,2655.343,2574.74,2589.722,2593.66,2534.695,2504.087,2629.261,2895.103,3466.012,3554.644,3738.961,3829.15,4044.155,4681.634,5154.473,5231.583,5301.032,5423.323,5284.129,4829.523,4482.529,4988.137,5476.312,5043.246,4978.402,4947.482,4992.596,5512.844,6326.267,6684.673,6821.05,6590.067,6451.974,6609.267,6619.382,5975.279,6420.062,5936.248,6135.721,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3068.592,3104.148,2948.269,2770.975,2894.352,2968.269,2876.3,2998.108,3046.137,2868.113,3097.691,3159.617,3337.54,3265.579,3459.82,3507.613,3442.445,3464.721,3672.118,3541.149,3544.587,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,37773.647,37944.776,40360.788,42778.626,45214.968,49029.563,54060.302,58657.945,66479.333,73169.565,80932.535,87191.677,91141.492,103005.829,109527.085,112640.735,112314.605,116868.599,114588.629,114534.663,116930.489,115040.883,122983.81,128281.964,134777.627,134992.664,143363.062,144991.313,145006.829,145624.695,144949.227,143818.403,153393.441,157593.36,157889.205,157449.101,158801.984,161970.739,160637.036,,
Spain,9842.212,9949.07,9313.203,9997.871,9458.495,9849.506,10494.828,9778.89,10053.584,10369.94,9684.947,10449.932,11583.486,11348.205,13144.29,13355.785,12615.832,14453.221,14538.93,15655.655,15773.606,17704.773,19647.354,21944.894,25073.817,26471.712,28318.169,27895.475,30256.782,34546.011,34582.742,34335.949,33707.027,32914.563,32249.687,31513.668,32697.653,31696.601,32334.743,30660.819,31675.845,33495.656,31800.345,32985.47,32590.31,30132.449,31306.133,30253.976,30435.982,29720.402,33900.892,
Sri Lanka,,,,,,,,,,,,2809.996,2811.888,2847.851,2892.822,3119.962,3162.928,3056.083,3136.409,3193.772,3208.908,3300.08,3419.782,3418.705,3725.743,3775.099,3915.211,3983.211,4101.597,4182.867,4191.184,4199.555,4327.626,4259.492,3997.032,4021.826,4203.968,4346.275,4318.656,4547.669,4747.728,4563.186,4544.011,4655.225,4765.125,4920.232,5154.757,5076.418,5071.882,5086.847,,
Sudan,,,,,,,,,,,,5667.592,5787.067,5911.56,6042.787,6181.082,6357.815,6532.104,6714.978,6904.181,7088.92,7280.539,7475.048,7815.057,7853.533,8032.831,8201.499,8353.549,8496.49,8635.037,8774.708,8902.588,9028.69,9151.629,10293.166,10399.752,10782.993,11013.62,11350.817,14430.989,20174.135,22264.009,24417.307,25399.661,27022.081,26977.757,29137.768,34928.429,34093.665,35197.511,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,5482.57,5933.8,6104.636,6002.76,6489.979,6765.642,6587.549,6929.163,6867.045,6452.728,6492.092,7385.943,7893.142,9251.464,9006.748,11698.868,12413.801,13177.713,14883.708,14683.744,16128.402,19260.233,19097.504,20869.145,24289.178,26862.64,29067.728,29405.949,29846.335,28983.249,29684.526,31427.597,29476.171,29317.545,31257.801,31838.987,31973.925,32447.032,33990.187,33240.537,30520.924,33902.377,31829.256,30924.658,34333.292,34674.521,32829.771,33583.71,33233.126,30345.028,32546.947,
Switzerland,2111.219,2197.279,2205.48,2321.924,2281.246,2526.836,2728.86,2903.357,2847.95,2772.845,3359.917,2904.673,3325.473,4280.255,4429.321,5100.812,4499.792,5378.723,5319.123,6246.422,7029.628,7638.704,7724.135,7796.009,8097.381,9412.711,9546.749,9814.949,9859.815,9359.163,10251.845,10400.79,10565.496,10856.845,11367.211,11211.622,10812.606,11282.983,11421.776,12055.811,12022.5,12564.024,12152.035,12257.471,12067.128,10978.213,12240.091,12662.847,12804.389,12765.765,12706.823,
