Flood affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,32053,0,251,0,0,0,0,0,300,400
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,507,0,0,0,0,0,0,91,2500,600,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100005,2,0,0,5200,0,100007,0,0,330135,0,0,451,1000,1,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2807,0,2000005,0,0,0,700145,0,0,0,324654,0,144037,2204,0,0,0,0,332656,58000
Greece,0,0,0,0,0,0,0,1627,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,9,903,0,6601,1061,390,450,0,0,3091,602,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,1005,0,0,0,0,0,0,0,0,20876,0,0,0,0,6599,6000,10,0,0,0,0,610,7466,0,0,0,6035,3022,0,98740,0,0,0,0,2107,180021
Guinea,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,6066,0,0,0,0,0,0,0,220009,0,0,0,0,1200,20685,4200
