"Exports unit value (index, 2000=100)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Cameroon,90.2310239629,72.0248494172,69.2635133373,63.5920184611,57.7538395348,47.072892493,50.9802873458,54.0114338609,60.4242392636,82.9613308649,130.513545931,119.5549007849,119.9688404474,122.7582070872,96.8879559855,88.94,87.62,91.97,91.16,87.34,100,95.41,98.31,124.52,135.12,152.62,195.11,204.57,237.31,196.42
Canada,21.61995,23.11915,22.53029,24.21727,28.44537,28.99151,29.22419,32.27125,38.21095,41.21004,43.46851,43.14354,45.55047,50.10294,56.75809,67.16602,72.15105,76.52974,80.18901,89.02197,100,94.78748,94.84791,103.1622,119.8763,136.4448,147.4727,160.9628,163.6172,114.9375
Cape Verde,39.7261872277,28.7731117739,30.4312315929,33.3693085051,22.4664791065,60.8997243054,45.2515596037,73.6225147492,30.9434778927,64.4674765001,53.0182447754,38.977106994,41.6672469114,36.5369741336,40.8359287522,84.19,119.25,130.88,98.2,107.77,100,94.29,99.23,119.95,142.09,164.9,194.01,180.92,333.64,349.38
Cayman Islands,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
Central African Rep.,71.9880024145,48.9515180555,66.7975531895,46.3203255776,52.8103472953,57.090336592,41.2840776856,81.1249603296,80.8965830528,83.6178196504,74.8984125601,78.4074574204,66.5984231389,68.2997405087,94.0360549848,106.14,91.19,100.94,94.03,90.93,100,88.4,91.3,79.17,78.36,80.13,98.14,110.68,93.35,73.4
Chad,,,,,,,,,,,,,,,,132.86,130.3,129.41,145.71,132.78,100,103.09,100.97,325.63,1201.76,1719.08,1832.95,2005.84,2366.81,1449.33
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,24.4936310209,19.9710571933,19.2901724596,19.9398239486,19.0033471627,19.8023976721,21.8174625071,27.19218336,36.7084324555,42.0524406178,43.5844312686,46.5453428629,52.0939287778,47.8842079509,60.4056157374,83.41,86.55,93.02,84.97,89.34,100,95.11,94.64,112.77,169.29,214.82,305.46,352.24,345.94,270.49
China,7.2628740424,8.8309530784,8.9569547718,8.9188332404,10.4890390565,10.9749882626,12.4163834304,15.8252508999,19.0671861896,21.0824107254,24.9158316714,28.8559929054,34.0846619021,36.814966112,48.5572003547,59.7,60.61,73.35,73.72,78.22,100,106.78,130.65,175.85,238.09,305.76,388.99,488.67,573.29,482.25
Colombia,30.0867111851,22.3586055676,23.1812501438,23.0049144005,26.539296037,27.2293054672,39.1128012083,35.590686406,38.6175277729,43.8270989704,51.8718422485,55.4468577737,53.0272247054,54.5559789317,64.5427154171,77.63,81.17,88.34,83.49,88.75,100,94.22,91.32,100.28,124.38,162.12,186.97,228.36,293.37,251.35
Comoros,,,,,,,,,,,,,,,,83.19,45.15,41.38,43.73,66.57,100,122.04,141.89,196.29,136.98,88.41,72.98,101.55,67.86,86.75
"Congo, Rep.",36.5847504952,32.5900615878,39.873771157,25.7053267608,47.5121829716,43.684741255,31.2058028307,39.0870304082,37.6593428226,50.0849694472,39.4125658363,41.3698762218,47.3550999747,42.935885229,38.5245447204,47.11,54.04,67.02,54.95,62.68,100,82.56,91.6,107.55,136.92,192.85,244.18,226.4,335.85,261.96
Costa Rica,17.1239550746,17.2333623947,14.8793955246,14.9170042908,17.2043010753,16.6846163051,19.1548284527,19.8010154367,21.2951091509,24.1824367062,24.7568251363,27.3125117527,31.4682804246,44.8826435544,49.2025232063,59.42,64.25,74.1,94.46,113.89,100,85.84,89.98,104.32,107.72,120.11,140.44,160.28,163.68,148.91
Cote d'Ivoire,80.6311647227,65.1575982819,59.1067501704,53.7680842582,69.6215326449,76.3737606255,86.2748678644,79.982510513,71.2418821774,72.2071475418,79.0144159669,69.0852741091,73.9501806818,64.7802883193,70.5296999781,103.35,118.41,114.84,121.6,118.94,100,101,138.6,151.86,191.46,212.99,234.58,239.88,279.22,244.08
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,332.7564983294,322.5536458234,353.2218348449,383.7707608592,370.7038854415,356.9808190931,454.355398568,322.3148754177,329.2360400955,321.7183159905,292.9594272076,63.5519093079,69.4498806683,68.2881861575,78.4128878282,95.46,120.22,108.11,90.21,89.25,100,99.33,84.82,100.05,139.14,138.34,177.81,237.5,237.11,185.52
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,35.08236,32.43387,31.56754,31.39342,31.83146,33.98947,43.17898,51.90767,55.17969,58.00055,68.92951,74.45154,80.45076,71.23949,78.8219,101.4511,102.2007,96.46007,96.08852,99.09894,100,101.6073,111.1916,130.0271,149.7418,165.7392,181.678,209.7477,228.5291,183.4062
Djibouti,,,,,,,,,,,,,,,,42.98,91.86,98.65,88.59,87,100,101.27,112.73,117.88,120.19,125,177.22,183.76,217.77,237.34
Dominica,,,,,,,,,,,,,,,,84.2,95.71,98.85,115.75,104,100,81.02,79.62,74.65,77.24,77.32,77.4,67.84,74.64,63.83
Dominican Rep.,99.5559695699,122.9643430109,79.4638513688,81.2689540962,89.8494022667,76.0937742587,74.2752160638,73.6169331884,92.0871500285,95.6776897997,76.0275319567,68.1384878125,58.2104228122,52.8944780831,66.6594214149,65.88,70.65,80.42,86.82,89.54,100,91.97,90.03,95.36,103.47,107.11,115.23,124.81,121.13,95.23
Ecuador,50.3562366792,49.7594641226,47.2424642241,47.6545214655,53.1898914036,58.9607226226,44.0779458033,39.1312290673,44.5021820765,47.7783416218,55.0959098752,57.8808484725,61.0453668933,58.9404242363,77.5378057444,87.43,99.46,106.86,85.31,90.35,100,94.96,102.33,126.31,157.37,205.01,258.36,281.17,375.73,280.09
Egypt,64.9585208249,68.9435072828,66.5415538163,68.5504681069,66.9618903414,79.2094431767,62.5751210254,92.7990445928,121.6924356486,144.2594527735,105.7055724979,79.0219871617,65.3219167857,48.0249941353,74.1197671195,73.47,75.61,83.86,66.96,76.14,100,88.29,100.25,131.83,164.34,227.86,292.93,346.54,561.43,493.31
El Salvador,72.5662388351,59.794340614,52.4956841552,55.1887712978,53.8407265631,50.9644974856,56.6614125948,44.3548750281,45.692411619,37.3414396157,43.6463259026,44.1342040081,44.8472566239,54.919237409,63.341589732,56.14,60.77,82.86,83.62,86.16,100,97.36,101.83,106.35,112.35,116.21,125.98,135.45,154.66,129.1
Equatorial Guinea,1.2483017079,1.0291787105,1.0536158805,1.2141352616,1.3618342467,1.5162260985,2.2238554195,3.8297057509,4.5060864966,3.6944077178,5.6920825393,3.4054746556,4.5837748133,5.171607291,5.6529374755,8.2,15.98,45.17,40.02,64.63,100,158.16,192.98,255.33,419.22,643.93,748.16,930.7,1361.02,806.03
Eritrea,,,,,,,,,,,,,,,,456.56,520.32,301.54,149.14,109.78,100,100.67,275.12,35.14,60.05,60.1,65.14,70.19,79.64,79.64
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,40.9384683488,76.6937418286,87.02,85.96,120.85,115.45,96.21,100,93.74,98.89,102.21,139.67,190.72,214.76,262.98,329.84,333.2
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,80.8814591236,68.8343575183,64.8566514058,52.60758247,57.2430168031,52.7942257661,57.8706134951,65.3893768283,64.106462438,76.1430610534,85.5940301694,77.5518391424,76.3410682402,77.4240814619,97.5855175822,101.11,139.5,115.23,94.78,114.76,100,99.28,96.59,125.23,128.92,130.32,126.24,140.34,171.59,116.83
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,66.72062,70.0845,76.55978,68.56567,77.35285,94.46373,96.84892,96.41007,101.9139,101.0236,100,103.1909,109.6031,129.1214,150.5556,158.0271,174.1786,193.6506,211.4909,
French Polynesia,12.3593327307,11.7668486424,11.3673825217,14.1713022098,12.9263076562,16.6105596109,16.7661122752,34.0595640509,30.6673367346,36.3844192031,45.538564515,52.3154851412,43.7041977453,60.1352924108,91.6933616166,79.6,102.84,90.75,103.22,101.91,100,75.35,68.3,62,75.88,86.1,96.49,80.1,111.77,84.68
Gabon,88.2460928616,89.3808688306,87.7538421549,81.2368002079,81.6929037918,79.2564252526,51.6030639763,52.2996068493,48.5581765604,64.8800240439,89.5043376547,91.0895311434,84.5615232154,93.2023101667,95.4568346493,104.28,122.36,116.23,73.63,91.99,100,96.93,92.66,108.61,139.12,186.78,201.77,228.67,320.91,200.54
Gambia,205.5072102616,205.5072102616,288.4957145012,31.4707097468,274.6981789089,166.6852469982,382.9537480901,412.4899174378,311.264271334,292.1287157931,202.0656956804,249.0986353293,375.7015168108,437.4986064751,230.8483779371,108.91,142.44,98.55,140.53,79.98,100,66.67,84.45,50.97,66.81,53.33,76.43,86.67,92.81,100
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,36.69718,33.44483,33.56364,32.24191,32.65558,34.73302,46.16927,55.863,61.45742,64.90072,75.77734,73.30476,79.09773,68.20402,78.63681,94.86909,95.11422,92.92207,98.4175,98.83833,100,104.0787,111.6506,136.233,165.4318,178.1536,204.1914,240.7821,262.8004,204.6514
Ghana,75.2513464991,63.7181328546,52.2713943746,157.0227408737,31.5778575703,36.9191502095,51.6233393178,58.4388390186,60.3961699581,60.9042489527,53.3213644524,36.9239976062,74.9257929384,58.2709754638,85.2878515859,103.29,100,97.98,107.52,102.94,100,102.7,110.72,139.1,146.63,167.79,223.66,258.61,338.14,349.49
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,33.50121,27.17078,24.41799,25.30673,31.13761,30.97674,38.94678,48.97995,35.89906,49.31963,50.42112,55.62582,72.44421,65.27609,69.77869,88.81481,98.46472,98.01842,105.3041,117.2331,100,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,66.8746822593,73.1566116182,71.3489175028,72.7708420016,69.9631468862,85.8004704159,110.7693415386,121.5101215101,126.2108954417,116.6666551282,107.2651072651,84.4731613962,76.7808460116,78.4900784901,91.5954762109,28.67,26.07,34.23,53.52,47.89,100,77.32,50.45,50.06,41.63,36.45,33.45,44.05,40.26,38.13
Guam,,,,,,,,,,,,,,,,114.85,98.87,119.86,116.22,102.7,100,82.43,66.73,58.57,71.35,70.1,71.62,123.45,141.73,68.92
Guatemala,56.3818815848,45.4852351981,41.5432556759,42.9885739724,41.8645199585,39.2120492655,38.7223623683,36.6275782757,37.9025077905,41.1032794183,43.1432705149,44.5982341594,48.0520106841,49.7262205075,56.4438343968,73.43,75.84,88.17,94.52,91.97,100,90.87,153.51,164.48,185.76,198.47,221.78,254.42,285.39,266.72
Guinea,60.1734850077,64.548128583,68.9227721584,73.2974157337,77.6720593091,73.9849026023,67.5330912147,81.7375514002,76.818140889,89.379295855,100.7293573851,96.8390268797,85.2524729868,98.6253549307,98.6253549307,105.38,106.49,102.77,104.05,95.45,100,109.76,106.46,91.44,109.01,133.63,135.14,165.17,195.2,137.54
Guinea-Bissau,,,,,,,,,,,,,,,,38.41,45.29,77.93,43.04,82.23,100,101.07,86.7,104.8,121.77,143.82,119.15,172.03,200.98,185.84
Guyana,78.1813871824,69.4975350854,48.4812750861,37.934574295,42.1940351878,33.4147605598,44.6804450105,53.5667937628,46.1162025449,45.6780624606,51.5753757639,49.5112357519,58.673004062,83.1435596823,91.6612761307,93.2,115.91,118.19,108.94,104.15,100,97.66,98.78,102.35,118.24,110.26,117.22,135.29,158.41,152.05
Haiti,71.2059684578,47.6910000944,55.9322567444,52.255485252,56.4107407058,53.0109862436,58.0602512041,67.2207007272,56.4359240722,45.3489470205,50.4485787138,52.4380646583,23.1057386596,25.2683602481,25.8853527245,34.72,28.35,66.86,100.73,105.22,100,86.34,88.28,109.09,123.17,148,155.59,164.24,149.93,181.41
Honduras,60.1037658602,55.1245262784,47.7888161852,48.6801011572,52.5604515844,56.5241335333,61.8972051332,57.3465794222,61.0059201612,62.2087925625,60.2160822591,57.419041615,58.07844757,58.9842249806,61.0131663804,52.9,60.04,72.97,87.6,83.05,100,102.37,112.01,112.28,135.61,150.98,157.82,172.99,193.14,119.56
"Hong Kong, China",9.7848508868,10.8129396612,10.406023977,10.8782324383,14.0308134351,14.9543247796,17.5563261667,24.0147627068,31.2905974438,36.233032795,40.7014267314,48.8343406321,59.193005053,66.9989101357,75.0019815714,86.07,89.54,93.16,86.2,86.14,100,94.07,99.12,110.85,128.44,143.34,156.95,170.67,179.67,157.79
Hungary,35.77703,36.12339,35.27901,34.00483,33.85733,35.0946,37.98237,39.48718,41.86279,41.44172,40.92339,42.97361,44.9211,37.47264,45.11853,54.81316,55.70347,67.86459,81.80361,88.9863,100,108.5026,121.2976,151.6214,195.3893,219.5156,261.2622,331.249,369.8781,284.8112
Iceland,44.68246,43.69019,34.33292,36.60286,35.16967,39.75729,54.38139,68.80901,69.45082,66.81187,78.97304,83.1792,81.97734,75.86266,85.83611,95.12083,99.31653,96.08971,102.2744,103.5091,100,106.4814,118.7706,127.6905,154.7316,157.8238,173.6245,214.8202,266.7328,207.8898
India,,,,,,,,,,,,,,,,72.28,78.12,82.61,78.9,84.16,100,102.32,118.86,139.13,180.86,235.07,287.42,353.83,459.02,383.73
Indonesia,38.5519284013,40.5076942888,35.9410211834,34.0383748632,35.2327602859,29.9191938703,23.831369519,27.5835425922,30.9365140686,35.6705942953,41.3286330565,46.9094069925,54.6761316078,59.2733887065,64.4726675681,73.11,80.18,86.03,78.63,78.34,100,87.7,90.46,98.02,109.75,131.76,158.22,181.52,225.73,182.68
Iran,43.4926794849,41.7040042336,72.1538190157,75.8758158405,60.2822367261,50.0088198977,25.2989945317,42.0391603457,37.7809137414,46.1492326689,68.1072499559,65.8352443112,70.0934909155,63.7855000882,68.5623566767,64.77,78.99,64.85,46.28,74.19,100,84.33,99.44,119.92,156.65,227.08,268.32,343.63,354.81,249.12
Iraq,,,,,,,,,,,,,,,,2.43,3.59,22.58,26.99,64.12,100,81.01,65.01,39.21,90.73,116.28,149.8,193.9,312.69,217.73
Ireland,10.90478,10.02494,10.45467,11.1424,12.48687,13.35129,16.37899,20.66201,24.27277,26.79535,30.71249,31.33924,36.95941,38.00123,44.16176,57.89871,63.13337,69.54008,83.42441,92.58392,100,107.3294,114.3768,120.3123,136.0254,139.9519,141.3634,157.7343,164.0134,150.0024
Israel,17.40205,17.80055,16.52597,16.2705,18.43408,19.87227,22.7289,26.85469,31.59805,35.14969,38.26597,37.66869,41.58767,46.96059,53.47805,60.25469,64.65108,70.59856,72.73262,79.5984,100,92.51791,93.40842,100.6766,122.8243,136.1102,148.1436,172.8712,196.0131,157.9165
Italy,32.69422,32.26523,30.86366,30.47954,31.18347,32.0148,40.58017,48.69005,53.48654,58.80245,71.15016,70.81008,74.48788,70.75359,79.95437,98.01934,105.5308,100.6618,102.8281,98.20557,100,102.1388,105.8478,124.4523,146.9766,155.1421,173.5173,208.2099,225.507,168.6123
Jamaica,74.3493169198,75.218284461,59.2632465035,55.4609343023,54.4173546379,43.7063180088,45.4803184876,54.5247013214,67.9685991644,77.0496652174,89.4414111069,85.3413856217,80.8559932657,82.7318572521,93.6256149266,110.2,106.82,106.82,101.35,95.79,100,94.23,86,91.09,107.36,115.8,144.73,159.83,188.34,101.63
Japan,35.59621,40.95359,36.81456,39.4548,45.95649,47.34024,56.56209,62.80587,73.35406,74.20367,76.0146,79.2276,82.40051,84.2457,90.65732,99.50929,90.83102,93.02187,85.97244,90.78322,100,82.12194,85.29999,92.8864,108.5164,109.3964,115.2198,123.1531,129.6685,94.29387
Jordan,30.2320867271,38.6157985352,39.6042205245,30.5221424848,39.5867403082,41.5240431951,38.5794165188,49.1726908476,53.664790527,58.2786199053,56.0130364505,59.4769624439,64.2008329428,65.5871404578,74.9890748648,93.17,95.66,96.62,94.45,96.46,100,120.8,145.85,162.26,206.5,226.51,272.47,301.47,410.08,343.9
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,71.8184439702,65.6652632793,59.0997174001,50.1264202088,61.95339985,55.2240036911,69.1816137032,55.4029644155,61.5346905819,54.8528173482,59.5259242171,63.8918046023,77.2414787473,79.2658169445,91.5208489532,108.34,119.24,118.44,115.83,100.77,100,112.12,122.05,139.06,154.79,189.91,198.22,235.3,286.76,257.42
Kiribati,,,,,,,,,,,,,,,,200.2,135.29,142.34,154.34,234.04,100,125.72,95.66,80.81,68.74,119.93,175.28,272.17,417.59,417.59
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,135.45,128.39,155.08,91.95,89.97,100,116.67,142.37,150.56,180.51,188.98,206.92,237.99,290.96,218.93
"Korea, Rep.",10.1656150046,12.345951343,12.6855404692,14.1907620148,16.9765538379,17.5785263573,20.1518572913,27.4463478205,35.2336779534,36.2094887587,37.7414130391,41.72017856,44.4841438,47.7374656783,55.7351088717,72.6,75.3,79.04,76.81,83.41,100,87.33,94.31,112.51,147.35,165.1,188.93,215.65,244.97,209.91
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,102.0889071825,83.8649927969,56.3953488372,59.5492899774,63.1817246347,54.5225355011,37.3070590657,42.5190368389,39.915620498,59.0450710023,36.2317349249,5.5978596419,33.813541881,52.7166083556,57.9337312204,65.78,76.61,73.17,49.15,62.58,100,83.41,78.98,106.37,147.14,230.85,288.25,321.48,447.68,258.5
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,8.4768853501,6.9631558233,12.1098362145,12.4125821198,13.3208198359,16.3482788895,16.6812993854,19.4060125337,17.559262511,19.1638158094,23.826102752,29.2452544579,40.144107051,72.9617631922,90.9751445612,94.15,97.73,108.69,111.86,94.09,100,96.73,91.01,101.56,110,167.44,267.03,279.34,328.45,312.04
Latvia,,,,,,,,,,,,,,50.17406,47.28087,66.22954,72.84836,93.04324,92.59045,91.69001,100,101.5313,116.0212,146.7748,,,,,,
Lebanon,133.6449382854,128.746956254,111.9538750035,106.3561812533,52.9155587898,40.3025553472,76.9682890649,90.9625234403,109.1550281284,67.914019424,69.1315178147,75.442917518,78.3257297993,63.2346273335,65.8287385597,115.48,142.86,100.36,92.63,94.72,100,152.96,173.25,253.72,307.73,327.05,393.78,500.19,623.25,585.95
Lesotho,26.3603181818,22.8499090909,16.3166363636,13.4983181818,12.3979545455,10.1525909091,11.5837272727,21.1556818182,29.1762727273,30.1520909091,28.0336818182,30.5376363636,49.6681818182,60.1236363636,65.1977272727,72.56,84.69,88.46,87.74,78.11,100,126.7,162.19,215.48,320.8,294.78,314.87,367.3,407.8,294.52
Liberia,,,,,,,,,,,,,,,,249.24,191.49,130.7,129.18,142.55,100,38.88,53.53,33.04,31.55,39.91,47.96,60.85,73.68,44.98
Libya,172.6692410749,122.7125857042,110.2056899677,97.2574670975,87.8556229805,97.0446843723,60.7691701474,62.9364016077,52.5888564899,63.314682008,104.2241311372,88.5333753645,85.0579241863,67.3339112617,61.9828197652,66.92,79.86,75.31,47.44,62.61,100,89.16,77.71,115.19,160.51,243.38,308.04,368.61,493.72,259.33
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",24.0593850888,26.9360764333,28.346779605,29.9745692812,35.8580373285,35.5784376456,41.0709526856,55.0542868818,59.1015484616,64.5237426257,66.7899189906,66.3221184173,70.1364900029,70.5552235385,73.5171596408,79.74,82.71,89.88,84.07,86.52,100,90.57,92.78,101.64,110.74,97.52,100.72,100.14,78.67,37.85
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,48.7398967152,38.51193699,37.7884094777,36.0804717982,40.3354448359,33.2872428503,38.0383663817,40.1886755805,33.7498877076,39.0065093197,38.5573395553,40.6802129793,39.657319889,40.6142942815,54.6445367603,58.77,59.09,59.88,62.44,67.75,100,109.94,77.44,113.59,112.68,96.98,116.96,155.85,193.35,127.14
