pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Argentina,5273.349596,5479.835523,5037.972373,5167.087403,5245.501997,5534.170357,5531.110617,5688.527473,5982.20423,5560.917123,6033.050445,6152.011546,6103.282374,5779.541172,6163.149818,6692.229491,6607.346553,6710.778329,6925.360543,7482.262662,7615.497107,7823.17725,7823.231886,7933.885267,8209.727963,8045.261068,7932.961261,8382.130932,7916.439848,8393.210576,8486.968247,7875.453728,7604.354193,7774.204463,7655.599346,7008.801727,7617.959025,7690.192087,7533.879392,6902.709194,6940.77281,7422.89095,7845.645724,8166.966829,8508.266558,8328.856356,8641.370805,9147.690684,9403.533847,9054.734992,8901.755898,8552.140322,7915.665572,8441.589318,8977.080623,9670.709771,10321.7473,11001.48418,11480.31187,11590.13073,12337.59335
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605.857199,1720.554782,1917.662452,2029.106745,2039.344541,2212.007553,2296.344379,2518.30001,2837.302931,3185.663469,3481.588647,3939.86959,4452.05631,4969.297636,5495.999344,5627.7273,5246.805042,5411.612027
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,13032.94054,13308.37215,11630.84727,12954.80231,13881.91881,14115.15412,13580.70076,13604.42241,14407.18726,14992.40513,15206.08071,14769.78987,15488.14381,16257.13075,17143.90427,17239.17598,18028.21415,18669.24721,19498.46267,20350.7097,20660.16276,20899.49993,20850.65814,21399.05786,19205.62176,19505.1269,20123.35024,20308.40147,21062.97762,21378.74355,21904.37103,22400.61799,21782.50192,22471.28814,23251.22142,24183.40636,24548.69014,25595.42783,26106.5245,26545.43172,26184.01022,26253.17285,26979.43667,27632.50734,28618.82105,29522.15854,30433.27563,31509.70975,32774.72017,33833.67076,34086.44772,34948.56406,35820.03474,36964.39562,37653.77892,38383.84218,39281.34515,40287.27641,40387.13013,40814.64567,41107.48518
Austria,6220.741186,6627.184851,6574.273167,6751.528836,7329.726793,8085.795233,8336.111919,8858.288829,9187.682114,9445.425747,10545.54532,11052.07931,11239.93382,11615.37327,12250.84444,12551.22823,13170.45286,13468.8263,13994.01881,14746.84908,15743.31728,16526.94177,17481.49468,18315.48187,18884.01546,18871.66909,19819.23226,20904.28307,20542.14401,22211.92867,22420.51025,22436.87139,22634.60138,23217.08487,23358.44961,24173.79737,24507.12005,24982.81573,25777.74011,26725.227,27511.8048,27956.02664,28140.88901,28249.66896,28559.8847,29356.41773,29899.5316,30605.01753,31684.59266,32662.34342,33625.00136,33838.9581,34266.47024,34558.4242,35231.65145,36150.99452,37348.43391,38761.10037,39329.92039,37634.09142,38585.63035
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119.134435,2500.748496,1811.819342,1774.359431,1845.587911,2021.465189,2362.259804,2525.262162,2772.430094,3019.723471,3379.296924,3792.383702,4659.001281,5979.150268,7342.494673,8064.939523,8831.203606,9478.999434
Bahamas,,,,,,,,,,,,,,,,,,,,,22881.338,22752.59838,21465.58177,22548.63092,18517.26189,15472.24218,15680.92895,17277.43194,19028.60489,22003.99581,23424.5103,21387.79206,22495.72683,23251.34298,25520.10434,26611.71835,26640.99431,26882.38125,26884.01917,29073.21577,28063.37939,26553.72239,25319.31435,24480.66773,24825.62153,25758.61948,26781.76576,27909.53067,29628.39407,30342.76533,31351.02215,31683.99178,32079.88307,31407.46911,31412.98981,32374.2962,33197.49421,33317.43339,32265.74086,30213.9317,30113.74697
Bahrain,,,,,,,,,,,,,,,,,,,,,21825.10509,21745.35214,23582.02949,25859.5955,27010.9226,23068.30443,30202.33346,30380.99754,28532.33748,28934.06772,29887.0771,26290.87573,22864.37632,24179.29361,24572.14693,18475.15907,17308.2385,16736.38642,17846.77734,18267.00793,18157.07759,19024.79121,20074.26742,19780.6024,20201.39079,19348.77319,19595.8977,20013.27805,20789.6889,19734.57897,20786.3308,20820.933,22003.96993,21770.03953,22022.30149,22013.14226,22836.85641,23996.68327,24560.30662,23151.67031,23096.51168
Bangladesh,,,,,,,,,,833.7138356,853.5866972,785.6673796,816.8614006,842.6161623,798.7689378,765.316818,761.2908145,674.8811752,693.2354018,703.8089447,744.5485652,739.0693774,648.4759339,649.2970032,675.2539499,629.38311,657.4671834,632.5051471,671.0156592,681.9987172,679.1624653,651.6607998,645.053067,651.1431588,677.5162193,689.6803261,696.8326655,706.4217176,713.245297,739.5577505,761.0734509,777.7661511,795.6822576,793.7643996,829.1560366,818.4793079,800.9769369,854.2481616,881.8965544,889.7687361,907.5028731,935.9172712,1000.863563,1028.92002,1059.015813,1085.531188,1128.628329,1169.346316,1231.243461,1296.418104,1370.97908
Barbados,,,,,,,,,,,16435.66827,16628.87373,17137.21668,16864.41332,16855.59187,17574.45399,18171.81024,20224.6343,21498.93165,24359.82841,27255.87909,26605.15116,26651.06283,26553.72776,24516.35945,26363.52104,23996.92802,23506.72008,23547.35475,24376.87981,24649.8464,25128.38319,22802.59122,22148.03207,22172.55305,21981.28772,23841.68301,25289.15558,25676.89167,26853.47542,26074.02726,24656.80356,22055.55941,22586.21052,22975.56855,23639.3793,23866.79254,25866.93393,27201.0521,28229.14249,28215.12581,27134.01697,26309.02131,26350.22511,28211.61185,28575.04631,28942.21338,29964.07068,30120.42468,28009.02545,28112.24529
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.985558,4230.149504,4332.957043,4985.452334,5279.374508,5677.684773,6153.344544,6824.033787,7280.854406,7685.364765,8216.123988,9177.094053,9795.867906,10876.29161,12070.82104,12403.24928,13504.33473
Belgium,7973.391204,8188.163319,8313.221919,8485.865904,8868.243785,9163.099387,9442.345242,9559.396366,9320.859034,9615.851014,10164.39422,10658.34417,11165.492,11599.34344,12361.21842,12636.68499,12989.97294,13381.37842,13895.46033,14788.18804,15679.02458,16174.60081,16903.35931,18100.81642,18853.25042,18351.39837,19426.32433,19607.28276,20113.88167,20698.08958,21585.28277,21112.06082,21199.32453,21017.52561,21651.98633,21891.11009,22415.94185,22893.74443,24229.76712,25117.78109,26051.88919,26387.8592,26714.77152,26324.90292,27157.24311,27822.91197,28131.01613,29148.16062,29662.32984,30638.94217,31678.43395,31757.53186,32002.03084,32192.28857,33281.07397,33892.67915,34822.05333,35871.43317,36172.72948,34825.33171,35558.52364
Belize,,,,,,,,,,,,,,,,,,,,,4026.645655,4206.310644,4295.469177,4185.213025,4506.293047,4385.650858,4332.780789,4512.618396,4442.552113,4996.277119,5402.029009,5123.512586,4905.620322,4673.496178,4641.005937,4421.819886,4840.287365,5136.914165,5425.485145,6029.990479,6519.582288,6455.008799,6495.536683,7040.810119,7163.131282,7443.942183,7318.348494,7230.642732,7121.776912,7236.040703,7754.069182,7909.656557,8481.433682,8696.900854,9055.927244,8980.72186,9485.263924,9200.596459,9261.731337,9156.601253,9056.11743
Benin,,,,,,,,,,715.4408326,744.8626838,738.0067764,694.1303108,715.4433878,729.4542571,750.550655,758.2001814,787.7421484,807.7055969,832.0195685,827.2012599,825.3118807,887.3472346,895.1976572,933.8794574,859.616408,809.8312499,817.7454272,781.3746998,849.4796727,897.6557834,912.813214,1124.183395,1025.257571,1027.929823,1069.354727,1115.478789,1051.593616,1040.481675,948.0873682,1018.118123,1031.18983,1021.046412,1024.732551,950.0520476,1034.529387,1037.338064,1065.185003,1065.003023,1086.858815,1098.486642,1136.186439,1145.275605,1164.191726,1163.72381,1136.409613,1160.808203,1168.749179,1182.521114,1186.541715,1176.747368
Bermuda,,,,,,,,,,,,,,,,,,,,,24697.92177,25195.02725,25559.96905,25847.14629,26178.86823,25854.12519,27472.97991,27751.8394,28373.60435,30377.54233,31486.44637,29936.63627,30967.13588,31109.01092,31078.81655,32235.168,32976.65869,34290.67763,34857.46576,34570.68,33421.0355,32872.47188,31970.25237,32786.45887,33088.68625,34015.41698,34989.77466,35798.99771,37654.62002,37259.27068,34989.63242,34526.37473,41899.4368,42874.27162,44222.331,46119.02968,48562.67325,50301.89747,49784.86288,45460.40727,45862.01968
Bhutan,,,,,,,,,,,,,,,,,,,,,1053.152086,1040.823793,1013.704465,991.6222368,1004.378038,935.3811908,986.1713292,1021.814069,1054.212296,1083.865693,1068.028083,1156.610304,1225.58135,1312.166605,1281.29243,1247.842448,1327.047969,1507.862223,1321.102404,1509.142044,1504.507686,1443.477225,1405.615815,1764.119275,1662.257305,1894.126434,1938.493346,2139.82639,2140.94055,2339.623327,2328.498059,2806.002669,2987.877178,3138.286858,3109.499871,3037.972484,3304.664241,3497.020779,3408.008408,3838.98071,3947.696116
Bolivia,3128.778484,3297.414212,3254.220427,2736.6349,2718.229342,2846.46047,2670.770832,2635.799868,2562.292144,2597.0773,2614.335553,2641.576596,2655.935069,2802.384285,2858.845212,2964.486578,3098.782621,3286.27583,2759.82367,2783.564278,2689.554683,2739.553922,2834.030865,2953.559599,2994.317206,3104.767593,3254.584693,3340.41433,3285.182534,3247.565736,3177.245262,3138.806473,2980.984808,2768.743211,2713.23192,2647.879508,2552.209182,2589.640258,2617.987338,2675.729952,2724.135246,2776.308695,2754.776762,2810.493739,2892.918468,2953.795692,2999.651734,3049.096994,3098.799333,3086.502747,3117.139717,3133.636445,3128.152411,3170.786088,3258.033263,3312.740713,3418.854955,3498.936317,3613.283737,3661.083031,3743.15148
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.567835,1031.798186,1024.125851,1065.479022,1211.869575,1610.485786,2854.278146,3653.028272,3988.375194,4296.549682,4403.047041,4478.118152,4593.262287,4666.310628,4625.918639,4828.065757,5222.528333,5664.98132,6017.349981,5881.553556,5941.928512
Botswana,,,,,,,,,,,681.7601318,729.532098,780.980293,803.1641185,848.9462679,733.5770038,857.6995397,1024.6517,1209.857837,1082.252728,1389.660452,1779.166903,2214.341637,2530.411765,2505.382268,2508.069595,2521.003727,2633.334689,2932.190474,3202.126563,3407.991565,3412.253168,3487.743884,3790.231171,4097.312444,4244.494152,4434.191749,4480.959529,5324.011857,6400.61277,6637.855277,6637.882042,6517.003738,6445.339552,6321.018177,6670.332131,6730.75293,6965.448029,7224.972013,7924.030941,8701.097706,8366.443906,8946.793197,9062.301452,9850.454432,9441.378924,9806.151048,10489.72449,10851.97151,9276.071727,9673.113951
Brazil,1699.481885,1737.730904,1853.94358,1867.407395,1977.17799,2041.334433,2042.836883,2195.976702,2263.935297,2374.910131,2469.088407,2739.109485,2800.50675,2884.462725,2926.941046,3055.904961,3086.194908,3159.857638,3426.224642,3566.181329,3844.639389,4207.017861,4596.795165,5101.697847,5418.662856,5519.1292,6007.107615,6087.000136,6237.178288,6537.063977,6943.075253,6372.424387,6292.724942,5911.127779,5997.65245,6140.161137,6749.926259,6757.844135,6543.250686,6486.05788,6162.645972,6116.774957,6010.723287,6121.934722,6377.019874,6649.070834,6693.84515,6823.768621,6714.463383,6627.246532,6834.342885,6818.131323,6854.748192,6816.502558,7118.303054,7234.049669,7432.303928,7789.215944,8085.59636,7975.769257,8324.701064
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,51630.49032,52515.48606,56453.83205,60725.97592,62115.95584,64734.97976,74926.17902,80047.23286,82719.06471,98024.18063,87217.69541,67947.4869,69360.40086,67517.16205,65632.37229,58941.84794,52458.09412,49964.6501,50694.67934,48865.71298,46913.28479,47100.65376,48265.68474,49388.66774,48785.00889,51094.57193,53904.92991,49386.15829,44418.77192,46212.70739,48107.63534,48795.73566,50159.61788,50683.16121,50713.23307,48775.90886,50448.32643,47850.73797,44350.65889,43351.4333,44543.01081
Bulgaria,,,,,,,,,,,,,,,,,,,,,2784.462795,2960.196193,3171.829946,3413.664509,3646.697971,3947.366136,4192.647739,4430.848907,4667.098465,5002.199578,5232.926643,5448.443558,5594.012091,5785.836241,5950.842054,6108.578761,6292.308443,6721.581575,7385.654967,7158.700189,6698.231191,7366.159635,6828.352324,6440.256119,6462.415301,6690.730291,6137.587739,5944.903029,6114.503172,6212.398193,6591.620073,6941.593622,7315.427411,7790.723803,8364.438951,8903.995493,9503.388242,10164.05704,10779.62124,10399.02599,10588.96143
Burkina Faso,,,,,,,,,,525.176704,518.2951249,451.0936398,471.5658102,460.7181686,464.1718009,460.1020715,455.1226686,487.572403,504.2038293,508.206545,510.4719472,500.4409201,607.1884384,570.2060987,593.5293636,616.7734182,591.6606348,625.8962157,678.0896605,674.6520368,652.31013,676.0418723,676.440524,624.3560087,591.737798,634.6977548,659.7568888,641.3618623,657.1033906,650.2207812,628.206603,664.7238572,641.2925437,642.034832,639.7237916,648.0090002,692.7549558,718.9391111,747.0337554,764.9285172,753.0622573,770.388291,768.3750794,797.0052054,807.5697816,848.8706886,876.5366731,884.0313883,911.2645066,896.55128,929.6884061
Burundi,,,,,,,,,,,347.6742898,291.3921947,311.9637634,333.1985668,327.3841328,343.9717156,343.8513686,379.1318703,375.1828434,357.1712764,441.052241,437.5966174,437.5723251,460.204103,438.7033352,454.2823965,487.0729895,529.1311391,534.288819,514.0737126,495.1181535,508.9276767,518.0948207,523.9720735,505.3090432,546.7039656,546.6958333,562.5081874,567.6681385,571.2895604,590.756713,604.2833948,600.4335084,581.8420647,535.79731,459.8730905,421.7085709,402.9514555,418.0210849,399.3142464,389.415632,384.2314562,396.1657759,377.929022,378.736597,372.5991953,375.5601976,393.6107871,398.4094553,396.1288842,395.8912298
Cambodia,,,,,,,,,,,,,,,,,,,,,1044.734024,993.4237973,931.2901901,746.488458,700.4771864,701.2162476,727.4067256,641.5721631,662.8827115,581.2415617,535.715458,521.4218092,505.714842,512.2618039,527.6539111,541.2033427,542.5840081,659.3485531,738.7261127,726.0497383,704.9762074,728.0284502,753.3652256,829.1146318,826.6216105,813.5887453,830.1731195,859.0663686,887.9580397,972.7438224,1023.947302,1085.018109,1154.027219,1229.377321,1337.896122,1489.046957,1618.198854,1704.585449,1792.428213,1875.669629,1890.038315
Cameroon,,,,,,,,,,,1419.166512,1416.534611,1433.982482,1454.652794,1480.853028,1510.107088,1548.875042,1349.009503,1421.161489,1442.483054,1477.389362,1551.349388,1545.827642,1561.927194,1650.44778,1822.079903,1676.16942,1903.794915,2233.453933,2281.332071,2119.979577,2205.819432,2279.15811,2376.544651,2475.917161,2418.235415,2217.788491,2017.428811,1912.786657,1862.155605,1784.180168,1659.133237,1575.28661,1496.218764,1439.104927,1445.74491,1507.058003,1547.718748,1583.088269,1609.780417,1636.645248,1662.29379,1692.742452,1722.110626,1741.108557,1742.694249,1759.622005,1781.341546,1756.905143,1745.739916,1747.94123
Canada,11153.45868,11674.60533,12271.52443,12446.68562,11868.31278,12412.20406,13104.4176,12835.96472,12754.58245,12914.45645,12901.17718,13010.06661,13631.53559,14087.69386,14806.3583,15451.49644,16150.12915,16278.0552,16867.24351,17550.59252,17735.27054,18545.19893,19343.75691,20425.23063,20758.66355,20890.46613,21736.96648,22291.74954,22901.69287,23518.35923,23590.3733,23836.65149,22737.89103,23265.11937,24466.5667,25407.93173,25914.73855,26797.44782,27671.58429,28003.72913,27585.08064,26537.40358,26471.74281,26860.32436,28044.17561,28516.00895,28669.40248,29743.43193,30702.98923,32152.6607,33565.19152,33762.80892,34449.73468,34885.26541,35765.43468,36653.89691,37379.82782,37885.72327,37750.49118,36252.85317,37110.40315
Cape Verde,,,,,,,,,,,853.7413496,939.7052419,777.2291059,634.1917536,663.1159043,676.9752955,812.2538338,871.3015612,943.2965754,1017.147708,1114.939461,1154.704912,1173.075403,1184.613976,1206.945581,994.66644,1005.649693,949.0711152,1031.05568,1051.405657,1075.327106,1154.346693,1211.998601,1294.639777,1313.541273,1398.397287,1456.733204,1479.03097,1495.822604,1575.140191,1581.658126,1533.249657,1577.606791,1641.428683,1775.067326,1805.598434,1898.523041,1978.624272,2056.49277,2313.378957,2351.553584,2450.821263,2584.144943,2631.731914,2778.606555,2845.919007,3098.480114,3466.788805,3696.3686,3676.53809,3910.055987
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,961.9908865,1018.305798,970.1136317,945.4366053,967.0840047,960.7893338,946.5767297,1050.205348,991.1157851,988.8195709,1005.661544,933.0696199,881.6642061,917.6703885,888.3967627,853.0948677,821.858418,873.1802367,868.395686,835.0768534,787.7683831,860.4563987,859.0206869,764.6863274,813.979107,823.2711732,841.0869762,740.310999,743.7912105,733.2075374,678.3540656,650.4575445,612.2164885,589.2176107,587.7544195,600.3640288,556.2556806,579.1994617,579.2744014,606.792183,605.8025097,595.4549483,581.6751613,527.6731459,532.7056844,532.3156216,516.4425291,528.3158868,537.1981256,520.8594048,586.9823983
Chad,,,,,,,,,,,812.0499438,811.5003597,880.6087873,827.6412292,811.5630845,821.6721582,807.1912816,814.307639,809.0802921,849.6176972,889.0359612,885.7416531,807.0126628,756.2367363,821.0415064,918.5758894,886.1112674,814.6859452,793.2166355,609.3217854,572.7202647,579.6558351,582.5358886,641.5289778,647.6948015,782.4876752,729.0154116,688.5734359,771.4078411,785.7267814,738.8315428,775.0282097,802.4671408,786.2509192,799.8806223,793.5607561,718.8301709,741.6582796,775.372962,750.6944816,729.8625419,771.3107511,824.4251762,910.8234655,1244.107789,1295.710357,1262.557965,1212.452936,1180.996112,1293.041768,1331.74606
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,3221.792796,3281.016658,3544.738745,3228.783136,3363.481282,3329.596324,3485.065205,3549.565005,3391.382412,3700.160974,3745.869205,3851.058929,3991.060457,3974.782025,3878.16468,4185.525843,4218.635335,4329.083451,4437.185523,4465.287324,4763.324713,4603.785002,4283.285687,4352.292134,3628.834266,3693.872615,4021.237417,4313.861043,4656.125806,4970.359559,5199.291002,4307.614306,4076.237991,4279.968001,4265.458389,4436.598288,4666.047143,4940.3731,5415.084838,5528.700294,5871.728645,6527.277157,6897.657422,7235.458038,7968.437272,8496.305109,8978.14041,9175.57466,9024.452926,9338.363395,9577.335411,9664.193995,9937.514303,10514.22816,11068.38508,11490.12961,11976.83832,12426.65368,11832.70017,12526.5642
China,,,530.575001,558.7781335,558.7668681,575.9022507,610.6069229,639.2792695,746.9812107,789.1826885,771.6597174,622.9505215,584.8025944,615.7439068,682.8791496,731.3497731,770.599657,716.3740693,670.3247233,734.38756,818.8049145,840.815793,842.0225488,884.0301249,881.0570427,925.8959189,882.4072488,919.2823073,1010.593063,1059.125809,1085.242507,1134.992923,1215.683243,1282.426565,1405.780712,1494.035069,1568.840612,1683.927453,1732.37513,1714.144143,1718.062128,1802.00442,1929.191159,2036.046276,2239.778063,2559.318502,2630.608558,2869.362295,2867.114308,3003.985722,3173.695551,3364.775948,3746.519529,4054.49557,4458.139825,4802.163789,5325.564403,5955.229788,6500.178501,7075.371578,7746.066199
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,2622.306519,2580.585072,2669.777144,2767.532788,2910.783651,2942.24178,2921.498717,2855.612941,2785.581114,2870.113821,2940.692672,3028.419913,3077.681957,3081.07834,3239.948012,3153.257424,3255.169436,3262.23299,3384.273038,3517.891818,3665.822739,3803.546201,3939.570028,4088.775896,4272.082131,4214.997462,4369.590376,4498.540942,4784.532726,4907.914163,5030.894619,5089.303239,5053.05761,4983.246236,4990.140953,4961.862803,5083.351542,5224.145067,5328.812587,5348.888497,5417.65187,5368.485177,5572.451447,5785.438467,5949.895957,6148.546521,6090.965152,6162.209659,6082.343978,5674.597428,5795.126878,5833.330828,5900.775237,6052.997844,6286.169063,6490.991627,6830.31193,7204.619005,7354.039444,7385.788966,7534.477549
Comoros,,,,,,,,,,,744.7001298,803.1006493,907.5670966,977.0141216,1047.624282,1021.074267,1108.92037,1232.370653,1180.389512,1118.041777,1202.867796,1219.567612,1211.503964,1263.218982,1265.112113,1309.017854,1274.074946,1223.698964,1220.01474,1295.696416,1365.442067,1360.277123,1421.45864,1444.128937,1506.826342,1455.723595,1422.777541,1405.917809,1389.647214,1316.512146,1277.238059,1231.586164,1218.667445,1190.439357,1089.819927,1173.527614,1100.944766,1079.094015,1043.765319,1014.895834,945.5704804,980.251234,1003.941007,976.3845091,936.7679714,939.8249878,926.8856867,909.1345906,872.1049372,852.4094256,856.2020878
"Congo, Dem. Rep.",520.8124717,619.2277373,679.7768668,746.2526372,756.721096,791.445443,810.4948044,793.3194757,733.5621484,695.3337558,691.2951498,607.773788,681.4720719,765.8625876,743.1969564,731.806856,752.562487,709.0559975,696.2220717,769.5263841,738.2406362,825.8655105,795.5382155,817.9769242,820.4483006,735.2133059,667.5981356,739.4046729,597.3968342,633.7652578,669.9839299,638.7836568,585.606425,605.9697243,642.2951323,641.4413052,637.0479318,636.0929166,619.030061,609.8017418,467.904235,422.0711287,363.5568944,302.8451627,279.8191431,273.6997834,258.6009634,242.0977111,228.5145643,206.130708,179.9918552,187.0499385,201.7433404,181.7523187,195.6703241,207.4695252,213.8256497,222.4454274,230.6278731,231.3992642,240.4608405
"Congo, Rep.",,,,,,,,,,,999.9622461,1128.14852,1066.246526,984.7476269,989.0723281,1003.889814,1029.947328,1111.573789,1178.807246,1261.734224,1351.18691,1439.343569,1507.244187,1868.797694,1858.650241,1607.736058,1653.245701,1481.171813,1547.433825,1730.576767,1876.680047,2113.003508,2506.193001,2671.178878,2800.301619,2616.036906,2392.433163,2367.837115,2417.854719,2433.799703,2437.007407,2131.901291,2214.579193,2106.800989,2009.079968,2126.269213,2230.019739,2241.670203,2337.524392,2230.685927,2256.363851,2157.005129,2151.5747,2061.178906,2046.508825,2183.40273,2226.279576,1992.364633,2077.090888,2132.981387,2253.734769
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,3429.16002,3440.294571,3750.727439,4218.990026,4254.89475,4542.45722,4348.801553,4472.204613,4784.806269,4771.56742,4953.444652,4775.343419,4939.8043,5075.902768,5138.399796,5522.758001,5676.318246,5790.581918,5954.528704,6087.715194,6389.643548,6590.059199,6800.293857,7067.347744,7266.962903,7254.218102,7470.280481,8013.879187,8168.185473,8313.775818,8236.109581,7529.666797,6754.191201,6802.277433,7074.860124,7022.018106,7214.18338,7209.697014,7189.689074,7297.659484,7339.697194,7159.13561,7594.596913,7934.643256,8063.158143,8092.832397,7920.715707,8161.525352,8553.565687,8898.457176,8870.112092,8905.897978,9022.552445,9360.647835,9585.047094,9939.315785,10618.36718,11232.05126,11466.75337,11147.93572,11502.85357
