Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Ghana,,,,,,,,,,,,,23.10000038,,,,,,,26.5,,,,,,,,
Greece,,40.40000153,41.20000076,40.70000076,42.20000076,42.79999924,42.40000153,43.70000076,44.59999847,45.40000153,46.20000076,47.5,48.09999847,51.70000076,52.59999847,53.09999847,53.70000076,54.29999924,54,54.79999924,55.20000076,55.09999847,55.79999924,56.20000076,58.5,58.29999924,58.90000153,58.59999847
Grenada,,,,,,,,,40.20000076,,,,,,43.20000076,,45.40000153,,46.29999924,,,,,,,,,
Guatemala,,22,22,,,,,20.60000038,,,48.5,44.59999847,,,18.70000076,,,,27.70000076,,31.39999962,,27.39999962,,,,31.79999924,
Guinea,,,,,,,,,,,,,,,18,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,41.79999924,,,,,39.09999847,,,,,
Haiti,10.5,10.69999981,13.10000038,13,,,,,12.89999962,,13.10000038,,,,,,,,,22.39999962,,,,,,,,
Honduras,,,,,,67.90000153,64,64.19999695,,,20.10000038,,29.20000076,51.09999847,27,27.20000076,27.39999962,28.10000038,30.20000076,29.60000038,,,,,,28.70000076,,
"Hong Kong, China",51.5,53,55,56.20000076,56.20000076,55.5,56,55.90000153,57.09999847,58.70000076,60.20000076,61,62.5,65.19999695,66.30000305,67.09999847,68,69,70.30000305,71.80000305,72.09999847,73.19999695,,75.5,77.40000153,77.5,77.90000153,78.40000153
Hungary,30.5,30.70000076,30.60000038,31,31.60000038,32.09999847,32.79999924,33.5,34.20000076,34.90000153,36,38.09999847,,,49.59999847,50.40000153,50,49.79999924,46.29999924,47.09999847,48.79999924,49,49,49.70000076,50.20000076,50.40000153,50.70000076,51.29999924
Iceland,,,,,,,,,,,,52,50,52.09999847,49.29999924,51.29999924,52.59999847,51.29999924,53.20000076,52.40000153,56,54.09999847,55.40000153,57.29999924,55.40000153,60.5,59.79999924,59.70000076
Indonesia,29.39999962,,29.70000076,,,30.60000038,37.70000076,37.90000153,31.39999962,30.20000076,29.70000076,30.70000076,31.20000076,33.09999847,34.20000076,36.20000076,37.09999847,38.59999847,38,37.5,,36.40000153,35.79999924,35.40000153,37.29999924,36.79999924,36,
Iran,,,,,,,,,,,,,,,,,44.09999847,,,,,,,,,46.29999924,,46.70000076
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,66.09999847,,,
Ireland,,,,43.79999924,45,46.59999847,46.40000153,47.59999847,47.09999847,46.20000076,45.59999847,46.59999847,47.5,48.20000076,47.40000153,47.70000076,49,48,49.29999924,49.40000153,49.70000076,49.70000076,50.59999847,51.29999924,51.29999924,50.5,51.09999847,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,72.90000153,,,,,73,
Israel,52.40000153,52.70000076,53.70000076,53.40000153,54.09999847,55.29999924,55.40000153,55.29999924,57,57.70000076,57.70000076,56.90000153,56.70000076,56.20000076,56.79999924,56,56.90000153,57.90000153,59.79999924,61,61.79999924,63,63.70000076,64.19999695,64.30000305,64.90000153,65,64.90000153
Italy,45.20000076,46.20000076,47.5,48.40000153,50.5,52,52.70000076,53.09999847,53.79999924,54.29999924,54.5,54.40000153,54.90000153,52.09999847,52.40000153,52.90000153,53.40000153,54,54,54.20000076,54.90000153,54.90000153,54.90000153,54.59999847,55.20000076,55,55.5,56.29999924
Jamaica,,,,,,,,,,,,,39,40.29999924,41.79999924,42.09999847,42.40000153,45.79999924,45.59999847,45.90000153,46.59999847,46.5,47.40000153,45.79999924,47,47.79999924,46.90000153,
Japan,51.40000153,51.90000153,52.40000153,52.79999924,53.09999847,52.90000153,53.5,54.20000076,53.90000153,54.20000076,54.5,54.40000153,54.09999847,54.59999847,54.59999847,55.09999847,55.29999924,55.40000153,56.09999847,56.29999924,56.70000076,57.40000153,57.90000153,58.29999924,59,59.09999847,59.29999924,59.29999924
Jordan,,,,70.09999847,,,74.09999847,75.09999847,,,,,,,,,,,,,71.09999847,72.09999847,72.30000305,72.5,,,,
