Electricity generation per person (kilowatt-hours),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
China,547.2235803,588.7745703,647.1754637,688.6986185,778.4634618,835.4150499,888.0949448,897.9127289,936.849352,955.8853229,1073.619267,1164.289814,1291.783818,1482.905154,1700.433914,1918.580433,2186.202283,2488.507671,2587.620324
Colombia,1077.131181,1093.750606,1052.343175,1154.783881,1218.194089,1248.67413,1213.626372,1218.87002,1201.488672,1137.991373,1065.77553,1073.126561,1116.849065,1130.524638,1147.957937,1147.610696,1200.651692,1212.499901,1212.614915
Czech Rep.,6068.181294,5873.563511,5747.839556,5702.065205,5682.871474,5893.839786,6231.394525,6271.220024,6309.427828,6292.729219,7153.367514,7273.899789,7444.013652,8118.846323,8230.678796,8063.459354,8234.905043,8611.125667,8363.833713
Denmark,5010.354109,7048.412681,5965.317275,6502.600231,7790.451942,6995.359106,10176.78387,8275.887391,7728.983755,7306.018984,6714.485062,7021.325936,7264.973088,8526.478188,7437.111519,6631.954767,8364.306641,7173.76356,6638.621495
Ecuador,615.3161319,640.7464497,669.4978803,675.0144542,726.6203714,736.8939546,828.5118576,869.8712598,897.0661777,836.7559441,848.6418134,871.6848009,924.3621778,968.7640019,1076.725785,1131.993469,1187.399013,1322.908064,1402.426109
Egypt,756.0356961,771.9404862,786.8227368,796.364618,813.8747133,843.2823452,874.1359116,922.3656756,963.8554431,1024.328345,1035.289762,1115.692298,1168.708352,1224.81897,1278.340736,1341.603584,1403.34897,1482.173766,1566.138261
Finland,10825.97954,11467.38213,11362.14181,11959.8898,12786.16544,12378.11613,13548.39844,13396.29161,13607.00045,13469.11468,13534.04552,14350.49531,14486.31524,16117.30832,16427.04054,13449.7521,15704.67556,15509.90177,14707.47218
France,7405.548739,7970.053973,8071.522906,8196.13291,8235.761826,8493.591036,8788.371144,8599.770044,8678.85508,8856.41563,9107.193895,9215.841512,9331.65913,9419.990309,9504.468018,9499.444558,9438.838234,9328.151129,9373.372429
Germany,6927.113514,6743.715675,6664.403246,6479.801281,6488.072518,6548.717167,6720.045399,6703.31432,6747.101008,6760.907718,6867.798523,7123.190023,7124.41068,7372.722596,7473.496174,7525.045981,7726.06452,7737.770548,7758.935377
Greece,3455.515483,3493.651277,3623.094014,3697.969613,3894.887604,3973.300066,4061.007193,4142.397546,4403.868872,4709.232421,5099.198701,5075.265687,5149.821343,5503.322293,5573.687566,5625.985039,5687.562698,5907.088263,5795.399268
"Hong Kong, China",5091.457234,5543.984701,6016.780292,6057.280878,4407.405747,4484.248027,4449.615149,4455.567327,4757.230581,4469.560213,4704.95831,4830.505546,5073.881223,5214.003828,5416.239675,5573.283569,5563.414496,5579.581518,5412.772225
Hungary,2739.233917,2892.499829,3054.881181,3173.972496,3249.871954,3303.944862,3416.721573,3455.060205,3641.909458,3652.334052,3471.386145,3602.36598,3585.924586,3394.896172,3359.922252,3573.057815,3592.605958,4013.516125,4028.027629
Iceland,17705.78559,17497.88772,17551.31036,18092.39484,17964.85953,18599.99178,19007.43494,20575.8282,22901.45985,25912.43508,27323.221,28187.01459,29201.81925,29186.02094,29316.31549,29251.49206,31891.72579,39664.6916,54102.44869
India,352.7863528,373.7167056,388.3239679,408.1262626,433.56663,456.0029666,470.8417285,493.8448905,519.7933333,547.095315,561.0899849,570.0287713,585.7107711,611.0549947,632.6054776,656.0282907,693.5599332,728.4171482,741.3172141
Indonesia,186.7563025,207.4239655,221.8909618,236.1670903,270.1773454,302.3542399,338.6648934,383.8306286,383.2870324,413.2676831,449.1309723,487.1697788,512.6788591,526.4689017,556.381299,582.985833,602.3231715,637.0517162,668.4340258
Iran,1010.840278,1062.629719,1112.25587,1230.190328,1330.720923,1368.74215,1421.375742,1531.439804,1595.711761,1695.836018,1817.658768,1929.458936,2065.886881,2169.235549,2317.045539,2494.43308,2682.824341,2822.619485,2937.069297
Ireland,4137.449404,4289.99785,4500.302297,4582.001364,4763.120553,4947.300554,5275.04284,5442.250329,5684.878579,5876.579041,6323.565481,6600.999993,6349.836498,6447.719598,6441.271295,6467.155219,6655.695695,6869.167499,7158.120352
Italy,3822.346999,3912.79173,3980.289034,3906.728257,4053.955739,4216.184677,4261.872917,4374.814249,4513.632748,4611.809734,4792.657268,4823.154405,4909.644983,5066.78181,5224.495029,5226.439728,5402.913146,5398.318796,5467.335884
Japan,6808.116464,7025.608871,7049.056164,7116.620663,7548.503548,7727.77674,7873.632467,8055.471596,8078.150789,8196.323121,8349.951094,8193.754601,8329.083502,8510.146316,8700.383896,8896.629408,8942.029,9100.656038,9058.877453
Kazakhstan,5328.59507,5210.015299,5027.547048,4734.425931,4126.582901,4203.108004,3742.779014,3358.193003,3266.195311,3135.643496,3434.97333,3693.79993,3893.28964,4227.414038,4420.450902,4472.566688,4704.740599,5012.880858,5213.665001
"Korea, Rep.",2769.787026,3052.493384,3374.991011,3689.937435,4129.686045,4531.224338,4976.006579,5385.151619,5163.962301,5680.263971,6233.352677,6582.345687,7009.442527,7309.864118,7684.828448,8153.896561,8515.374685,8971.06502,9401.508473
Kuwait,8626.006122,11298.94945,11906.81865,13599.11523,14697.43662,14637.14394,15048.20446,15138.11748,16332.37339,16573.18792,16646.46641,17056.6431,17471.43464,18231.36269,18274.6864,18724.56809,19685.38612,19684.54944,20037.55393
