"Foreign direct investment, net outflows (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007244106844,0.006808893258,0.0001312293225,,,0.005627424358,0.005350841495,0.007193722117,0.003218305021,,,,,0.0002577253451,
Barbados,,,,,,,,,,,0.1101928374,0.6453292148,-0.02230174103,0.2867867282,0.04291166797,0.1970676506,0.2179539638,0.08078904735,-0.009043615499,0.03729602771,0.06973189049,0.1267226726,0.05053517806,0.1332743337,0.1310122589,0.1877847685,0.2090353353,0.1691212222,0.0616525259,0.1731299181,0.08185047887,0.07705222089,0.05350960133,0.1584180651,0.06369637977,0.1775008723,0.1790310271,0.05473545792,0.04017694304,0.05266561985,0.0410340575,0.04306653908,0.01894103214,0.01855370378,0.1375853931,0.3038140218,1.392958528,2.412259818,-0.1698872528,1.756964827,8.268754337,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01486366577,0.01510969491,0.006590608122,0.001570246161,0.002428202082,-1.412819829,0.008414941419,0.005617592085,0.008275380338,0.008116461733,0.03357208386,0.05035919341,0.2074231204,0.092116831,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.521509477,12.52632278,9.58887757,8.626730494,12.54115775,18.17662094,42.13104475,1.40258984,10.19813891,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8834014099,0.5961496792,0.6532413731,,,,,0.03623080012,0.006081962945,0.08799107121,0.04712227619,0.07722080997,0.2029697041,0.03419202669,0.08001979372,
Benin,,,,,,,,,,,,,,,,,,,,0.01664427867,,0.002280242836,0.04176842952,0.04959323408,0.04506892446,,,,,,,,,,,,0.9927916929,0.6092161626,0.2229030577,0.06048039136,0.1589020353,0.09720406266,0.04809129786,0.008849552743,-0.03236366981,-0.008976340704,-0.03651344254,-0.1098529523,-0.05974800988,0.4698184958,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,0.01101931327,0.001697329871,0.001787591768,0.001844114677,,,,0.0393188714,0.04132576882,0.02120450626,0.0225984858,0.03743033637,0.03543671176,0.03487538622,0.03678180006,0.02978333613,0.02839007195,0.03028110785,0.03295087071,0.03379576566,0.03334183468,0.03168944062,0.03288855713,0.03439573905,0.03191446284,0.03141625646,0.02619790473,0.02286495188,0.01799098748,0.01730104585,-0.1465942221,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01533816103,0.004057069771,0.0338175078,0.1868026625,0.08848482564,0.03205053905,0.2633865067,
Botswana,,,,,,,,,,,,,,,,,0.03092736497,0.05259949582,,,0.2182376982,-0.01113314122,,-0.1088847582,-0.01861604129,0.1320463816,,,,,0.1942128486,0.2158363096,0.2378023322,0.2281584959,0.2180245828,0.8568988748,-0.02194081386,0.07921823457,0.06738208053,0.02580058979,0.03999941223,6.490578193,0.704161518,2.606409854,-0.3701807463,0.545154689,0.443460125,0.4123015389,-0.6761577985,0.5678965915,0.001812882761,
Brazil,,,,,,,,,,,,,,,,0.09053477037,0.1198600817,0.08287389206,0.06175271377,0.08712292543,0.1561538671,0.07853966638,0.1334837135,0.09198024921,0.0200933948,0.0363321908,0.0533309018,0.04692535033,0.05296652139,0.1228866925,0.1439544182,0.2489334204,0.03507724855,0.1120238547,0.189845593,0.1799854185,-0.05561621026,0.1196051441,0.322459652,0.2879717155,0.3538980176,-0.4078140677,0.4922656678,0.04512468028,1.426839822,0.2852803174,2.589957156,0.5173315886,1.237847457,-0.6324422264,0.5549893967,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5281147811,,0.1521849251,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06121314814,-0.3205735927,-0.01690958633,0.000558925003,0.1293960325,0.02544978851,0.06965833776,0.1773427384,0.1282299976,-0.8581558026,1.06459663,0.5265131814,0.7395542289,1.547746971,-0.227319188,0.5326669127,
Burkina Faso,,,,,,,,,,,,,,,0.05084131699,0.07198116129,0.02571601673,0.0323822622,0.05195234167,0.02070212216,0.001717961539,0.001450612516,0.01300955922,0.00163986722,0.0009405870356,0.002007219458,0.001985263892,,,,,,,,,,,,,,0.006401527641,0.02163032615,0.08369517574,0.1110417443,-0.1128566743,0.3219923785,0.6883055382,0.4905044527,0.604363883,0.4191984932,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004526355673,0.0005157870243,0.002359631274,,0.01448122807,0.01112439661,0.06003253893,,,,0.0588051849,,0.001818174519,,,,,,0.003584906712,0.04978519427,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6343045198,0.2584979585,0.1804308367,0.1831241641,0.1406620079,0.2073956189,0.1918943419,0.09976090812,0.1152231497,0.01267542283,0.197924683,0.1808627628,0.1830598487,
Cameroon,,,,,,,,,,,,,,,,,,0.1305848555,0.1557594175,-0.03721020977,-0.1221752034,-0.004819194878,0.05859484094,0.07074363816,0.1296539751,0.1294836071,0.1478996473,0.09385117798,0.2292330922,0.2341175278,0.1353673698,0.1730418853,0.2900702931,0.1633697329,0.004297507259,0.006882033717,0.08317798168,-0.03961259431,0.2493863457,-0.1112165691,0.09602841006,0.3668374707,-0.3045096349,0.06230895579,0.06050001937,-0.1396754406,-0.2672657702,-0.02910232129,-0.1993414244,-0.6345713195,-0.1592599246,
Canada,0.1252162766,0.2316113081,0.4596876966,0.5544536217,0.2728596567,0.3031540358,0.2414599877,0.3835703789,0.5441448116,0.682097609,1.076975569,0.469890255,0.07229095518,0.9042133959,0.8615474764,0.7320234897,0.4942937471,0.7849008025,1.060781357,1.604126565,1.52233773,1.844410256,0.7700842903,0.7874304237,1.055146682,1.086410675,0.9499272085,1.689223412,1.248702423,0.948737394,0.897385724,0.975700809,0.6120106317,1.013256287,1.648107342,1.945760781,2.135519891,3.618442384,5.53085606,2.61048722,6.136789445,5.053276681,3.650444695,2.72823743,4.297262777,2.436657649,3.625197133,4.054462168,5.40122645,3.207190468,2.481261292,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06303557659,0.2606525994,0.09351160461,0.1550621384,0.3056551896,0.1828528163,0.101066755,0.1169607284,0.05246472862,0.00983304648,,0.07118070144,0.2518018122,0.09298808856,,0.1051597614,,,,0.02639587592,-0.1621822282,-0.01061985595,-0.009078496039,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,0.01765179773,-0.2191881482,0.04695834512,,,0.04595344161,0.06733040821,0.03946881227,0.06974708408,0.1129098724,0.2122575647,0.3713612845,0.3004578549,0.2548167899,0.2493883336,0.408315802,0.4094783219,0.8446142209,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,-0.093490082,0.1287209101,0.04123657265,0.01258955418,0.01495366924,0.01071857808,,0.02563981098,0.04002204557,0.6872505813,0.9334434195,0.8750224485,,0.5595260781,0.7319651363,0.7469415559,0.04762943436,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,0.03742754368,0.02597498518,0.05306377652,,,,,0.0571941475,0.01031177203,0.01410633278,0.02631314994,0.06330934346,0.02395628255,0.02376506615,0.3440023654,0.8945769534,0.9103871915,1.651188048,1.053971139,1.495931187,1.766345526,1.868985807,3.504231712,5.300648879,2.347633234,0.5101485641,2.1709193,1.634159554,1.845853507,1.479467621,1.565789428,4.709581313,5.011181761,4.110029277,
China,,,,,,,,,,,,,,,,,,,,,,,0.02165533211,0.04070806686,0.0520525511,0.2051086996,0.1510919516,0.2385600339,0.2746164353,0.2267615358,0.232534097,0.2405995818,0.9463851112,0.9988628878,0.3576379895,0.2747225577,0.2469381742,0.2690382359,0.2583724379,0.1638545336,0.07643046791,0.5196228919,0.173226009,-0.00927956663,0.09344645149,0.5009382509,0.7799625162,0.4863932873,1.182508053,0.8795034183,1.014925126,
Colombia,,,,,,,,,0.03379253149,0.06244691817,0.05556810878,0.03847568351,0.01252062541,0.01155637892,0.04861097759,0.03053753567,0.07170139215,0.1129886732,0.1762416615,0.08589715659,0.3173585033,0.1016807858,0.0744199998,0.2692472945,0.06012581341,0.02006051425,0.09157906543,0.07148098018,0.1122089863,0.07334329452,0.03972766231,0.05892401636,0.1014618927,0.4300879486,0.1823207033,0.2769516113,0.3375122482,0.75887845,0.8085818421,0.1340540428,0.3241672339,0.01632424784,0.8722134403,0.9879064865,0.121555826,3.180679052,0.6745962883,0.4400719174,0.9213288501,1.309440497,2.271376824,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4406928731,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076500904,-0.01538815356,0.1505496935,-0.4173548891,0.8204662088,0.1194335584,0.2098817925,0.1380116627,0.04921744266,0.097727828,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,0.04541314552,0.02725795298,0.09313979515,0.1295826977,0.09207321566,0.1357993846,0.08489502518,0.09798549205,0.06571866908,0.07703984877,0.01484227762,0.08738200844,0.02836512604,0.07818448402,0.05132026765,0.02386315013,0.04451798638,0.0469188919,0.04804433243,0.03437530766,0.03419428852,0.03167512255,0.03135495432,0.05814867011,0.2021433059,0.1538047777,0.3257398742,-0.2151889434,0.4354230894,0.9969000933,0.01982372133,0.02551308604,0.06914451655,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003220671938,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188195516,0.04744777702,0.03316596418,0.1137144104,0.8224776242,0.3931489365,0.2599759425,0.02389909233,0.8006516353,2.064030296,0.3559556452,0.8445808523,0.5289325066,0.5239003243,0.4772899087,1.884122279,1.991363841,-0.2373234799,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,0.006717024564,,0.06171546707,0.01502548336,0.01772097475,0.08199331316,0.2537461056,0.2123998072,0.1860865332,0.08208238341,0.1696555059,0.3762789953,0.3134598275,0.7404121623,1.86757889,1.847483864,2.573942188,5.191198388,4.427185315,4.499717256,3.221713545,4.861775931,5.782437054,13.35762076,3.866440429,4.339910836,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261543695,0.2830899018,0.06626184384,0.2494674886,0.0484081021,0.202680872,0.1494902347,0.07524286962,0.2662833342,0.2808283794,0.2276542541,0.9472724914,-0.02151089041,1.037134397,0.9427008986,1.996851627,0.4822717712,0.9155724546,
Denmark,,,,,,,,,,,,,,,,0.1990531383,0.1454822591,0.3300979201,0.05602437023,0.2419911017,0.2806668413,0.2298872725,0.1386578058,0.2535610898,0.5005042528,0.5006817692,0.7577727439,0.5761764471,0.636299337,1.877003123,1.091176459,1.354842392,1.488760932,0.9763413149,2.709612394,1.631284222,1.361157837,2.555102541,2.427020989,10.2441113,17.72911786,8.196567899,1.523840764,0.4027305877,-4.057537899,6.289478201,2.968945345,6.420725642,4.16547764,1.883873421,1.060923046,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,0.04888992691,0.1325108788,0.02833529962,0.03055100966,0.02563510501,0.03125932146,0.06752585957,0.05221442403,0.008648134933,0.01672228571,0.0469043915,0.03424204757,0.05709269325,0.02782259331,0.1677010253,0.009556692852,,0.08285485663,0.1545897074,0.007393199564,0.1647190724,0.05304801688,0.04134021496,0.05108247726,0.0127007528,0.03164460402,0.02496271251,0.2015341819,0.1025804275,0.1380670166,0.5095118958,1.179352317,0.3022476684,0.5370172282,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02325257515,,0.008560528077,0.4316204464,-0.03806870524,-0.07022500343,-0.1796361145,0.1236151448,-0.01740693619,0.660473388,-0.1417736258,0.4735164064,0.3706313284,0.00851846474,0.2889505862,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04696784964,0.1598472182,0.05965914653,0.0573820214,0.8463346301,2.703761615,0.1123809752,1.453202288,1.117474909,3.206063376,1.801424705,1.585803977,2.229109264,4.944957888,6.615089984,8.045900547,4.797508774,8.176166059,0.6621824154,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,0.1829905033,-0.1221321602,0.0673637724,0.008754858623,0.04704789836,1.139430003,-0.05473244357,2.477560468,0.1322789857,2.416893048,0.9813076093,-0.4897300699,1.684847178,1.764851143,-0.01496756361,-0.1443540074,0.4618473896,1.432329391,3.779170534,2.729163069,0.1369396735,0.1593864176,0.09336136474,0.1662982256,0.1187544632,0.3440305615,0.01862193076,-0.1899109803,-0.2444638397,0.1055401388,0.1820631622,
Finland,,,,,,,,,,,,,,,,0.08920000535,0.09697969392,0.2180897323,0.1745297622,0.2845526879,0.2580156153,0.2488889607,0.1497889288,0.2755640252,0.9443348233,0.6327943317,1.051350179,1.267226203,2.448206006,2.541234938,2.003247292,-0.0957579477,-0.6871505006,1.604493813,4.326517757,1.142288215,2.792414025,4.277028505,14.40902523,5.171299004,19.62186592,6.785821351,5.564627179,-1.383087664,-0.6062047473,2.255202011,2.348895997,2.933481396,3.103866086,2.062738781,4.472876661,
France,,,,,,,,,,,,,,,,0.3762503707,0.4460461551,0.2473088155,0.3801919357,0.3284249075,0.4483630841,0.7515650333,0.4957717493,0.3113037855,0.4062110949,0.4126645038,0.7123353606,1.003421974,1.447933472,1.936190197,2.79894577,1.921601681,2.277475479,1.588623807,1.786404339,1.006383536,1.930415445,2.49649725,3.11131057,8.611517651,13.14221415,6.498256102,3.485660142,2.97832701,2.768098629,5.327539887,4.938890966,6.470487522,5.648135111,3.927673913,3.296624473,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,0.2218412886,0.1869236379,0.1838961108,0.132901514,0.1686932351,0.094461587,0.1212921025,0.1934301461,0.2342113374,0.2539171815,0.1916877253,0.4837700426,0.2755533207,0.4593773681,0.05645760306,,0.7065309934,0.04037333195,0.393458337,0.7405018177,1.584363084,0.4998363276,0.07968870255,-0.466920747,-0.3449459647,-0.3451385715,0.8701785038,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571397523,0.1034842571,0.1261194396,0.1205172777,0.09426577141,0.1867136312,-1.395653636,-0.204397423,0.7504669916,0.5467896061,-0.009871659257,0.05048628982,
Germany,,,,,,,,,,,,0.4961565295,0.6219980801,0.5093344713,0.4924794688,0.4594046914,0.5187132716,0.4142179516,0.5498412205,0.5880624605,0.510009449,0.5812409413,0.4018475194,0.4920348492,0.6649432487,0.816235324,1.031811639,0.6972691301,1.071786447,1.121029601,1.428086267,1.270641203,0.907349324,0.8539660117,0.8817227851,1.549778584,2.082555356,1.980546808,4.128659761,5.099172025,3.167124573,2.086788892,0.9781492509,0.2126378895,0.7321666288,2.781934536,4.106976038,5.166787259,2.24173258,2.363760104,3.303175371,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03091816172,0.02656038685,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4071704299,1.686650827,0.4705730227,0.4572423669,0.1945373591,0.4510357149,0.6148133105,1.612542683,1.725754875,0.8136834852,0.6516371209,0.322282745,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1719153687,0.1411182055,0.1323139402,0.07445818519,0.0419048445,0.06979269152,0.05705767611,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01292312819,,,,,,,,,,,,1.68437323,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1987666914,0.5009993614,0.1086172788,-1.43529645,0.1214584535,0.08727242047,0.03050992201,-0.09756717911,-0.01167128123,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3912153422,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09147790171,0.03700521316,0.08358582639,0.1481649643,-0.07011805722,-0.01075097029,0.00549571371,0.01181071799,-0.007015549412,0.004832317124,-0.008996373779,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17602594,11.8621954,35.09450925,6.809950012,10.66240016,3.463447611,27.5578229,15.30105072,23.68136383,29.51356672,23.47120073,30.5778101,42.50867629,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004090894529,0.02718415965,0.115662788,0.1299451552,-0.008325476198,0.964662254,0.5792476322,0.512937583,1.269020603,0.6909242729,0.4250215879,1.988386121,1.09455001,2.02135558,16.52890771,49.72638436,45.86957873,2.97480081,-35.56007412,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05342806737,0.0128711074,0.01828406115,0.1467290251,0.1831420388,0.4210009066,0.09264665892,0.237400016,0.3648992169,0.3547411761,0.8679976612,0.7619998083,0.907145803,1.424282593,4.3063536,4.192724941,3.843296589,3.50216535,19.5261452,43.68154128,33.36142644,50.06253673,-22.49427421,18.75865568,-19.72843648,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001270264845,0.02552758405,0.03289065702,0.06162700119,0.02747987892,0.01143369327,0.01761634853,0.1107242221,0.2925581569,0.3308708113,0.3133828598,0.3019941621,0.3570317932,1.507733427,1.390909356,1.583605352,1.156427751,0.7614461595,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2253066878,0.3442775759,0.2983198613,0.2638874378,0.08250333486,,,,,,,1.326912224,1.072170883,0.7476613643,1.081667967,1.15625542,0.4170017255,0.3770740305,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2832330746,0.6765738937,0.01386210142,0.03883043258,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7630050106,0.4038175285,0.3970327693,0.4324717151,0.7907897256,1.223081702,0.9820896651,1.242346618,5.623279893,6.327994934,4.758332691,3.881457226,8.952300465,3.515300384,9.685876604,7.128363105,6.837701015,7.911587986,7.04212563,12.02882929,8.764276254,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,-0.03463704995,0.02867832119,,,,0.1091898073,0.1758788081,0.1530188555,0.07577376012,-0.06567406767,0.1675259789,0.07177323145,,,,-0.01621141401,0.04809253882,0.04355316105,0.0513993698,0.0057105868,-0.01377349212,0.4897325754,0.7707736925,0.3652202194,0.09254008947,0.397551498,0.4275886345,0.4715818483,0.3353649638,0.2452927294,0.3798795255,0.5594023805,0.8810845128,0.9334767732,0.9931736961,0.8537985106,0.7735585189,0.8512788414,1.023145848,0.7484386854,2.673603863,0.5585117593,0.8678858167,1.75410644,3.573947793,2.194389909,10.60162937,5.152236843,3.567267838,0.8672832669,3.662541191,
Italy,,,,,,,,,,,0.1045629446,0.3381814224,0.1577328162,0.1634130144,0.1057775869,0.1563374655,0.07351379669,0.2256011906,0.05269299847,0.1419309029,0.1609332098,0.335380267,0.2353817393,0.4737676454,0.4459812148,0.3984235828,0.3980195178,0.2697239058,0.5474816754,0.2413682042,0.6523606944,0.6303373968,0.3261005016,0.7142527838,0.4946427047,0.6205867192,0.6868035594,0.86878683,1.013170423,0.5564301679,1.093963879,1.936304116,1.407697275,0.5933515815,1.109065318,2.282994949,2.267914507,4.330553118,3.013041685,0.9316218166,1.581851679,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.067205058,1.140454451,1.429380621,0.7574406914,0.9379839986,1.074634558,0.8247647226,0.9775368694,0.7636747963,1.237373205,0.5915923949,0.9057995218,0.7123624663,0.8918356965,0.532471772,0.4860171976,0.4085235341,
