"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bulgaria,,,,,,,,,,,,,,,,,,,,24186794549,27915535962,30367913305,32757585518,35233520977,37229005651,39550270553,42970130654,48959780709,48616048807,43481686387,40169176170,41635529761,41859189427,43397019775,45061164025,37120152130,38994334124,44191265843,45860971181,49592267479,54295668976,60920764486,65293835438,69851790656,76142705995,83131142059,87443901096,100827811904,100486093454,101755015390,104511589989
Burkina Faso,,,,,,,,,,,,,,,,,,,,2107292633,2394667238,2782589814,2901341843,2965425470,3315344136,3662864023,3757269461,4108107085,4356417324,4504222913,5076800126,5192524627,5477534621,5652936736,6135488861,6979842948,7536921055,8200488065,8930096681,9290322766,10129305628,10795700424,11912734163,12802474843,14277985251,15853911389,16903110388,18278275532,19014950753,20749294737,22220555173
Burundi,,,,,,,,,,,,,,,,,,,,1194320070,1457448243,1522937110,1640260825,1696638441,1948963554,2054793179,2213372990,2415368178,2554045301,2751127772,2997414394,3082164313,2959639481,2898830673,2731045249,2547732307,2563753764,2733085487,2732120466,2847168444,2973094157,3163702445,3209719711,3454637561,3579489309,3860248296,4151219354,4449182902,4656097211,4885370489,5228731292
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7238430384,7712721707,8412016503,8903997197,10008743472,11058204039,12197866730,13097333878,14599039346,16524730034,19223632022,22066140894,24983324922,27086566075,27472097197,29293947030,32400546115
Cameroon,,,,,,,,,,,,,,,,,,,,7274298969,10057016083,11970461791,13337479267,15241798755,17039803427,18950899979,19087980962,18381328578,18424979103,17528948813,17080107787,17000970721,16865967405,16683575009,17614234995,18817644622,20132501343,21745218702,23133616335,24214167413,26342886189,27321200726,29739880920,32139626325,33886810280,36621078317,39405179058,41026844691,42631662760,44309477826,47174080820
Canada,,,,,,,,,,,,,,,,,,,,263906127172,296763360275,305459589365,327907863396,359345074393,388214684844,405244693613,436254138031,473127075427,502877747470,522421769837,531051937721,546770247208,572815693441,611811686178,642768731052,666606199466,708905607028,744859899305,797112049781,851326568058,884103108687,914346677215,965961300144,1027447738222,1110784515256,1189061073292,1246703294191,1282544380363,1256632260254,1309482759133,1369987015205
Cape Verde,,,,,,,,,,,,,,,,,,,,138861660.3,169367176.3,178217722.5,199166759.7,217982759,245180137.9,261972968.2,285024929.7,313821099.3,347349581,361370765.1,377505289.5,397129800.9,434800566.7,473068708.2,518026431.3,560517248.8,615872333.4,674822255.3,762534930.8,826244892.7,910924223.5,961854443.2,1034293493,1106811844,1199549598,1355413352,1542186269,1662720371,1748298237,1828040450,2004174027
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,1040526590,1122183215,1263962874,1199231539,1363737321,1470530415,1553073776,1506059394,1582674676,1676828526,1711946408,1766791777,1689271435,1725771230,1828507593,2017409062,1969032918,2121934736,2247921660,2387392902,2481518412,2558514713,2583221843,2452566750,2548753554,2696016698,2885296622,3067697352,3182191290,3298404391,3450518057,3654890696
Chad,,,,,,,,,,,,,,,,,,,,1421178443,1575806730,1767050319,2125687992,2229132566,2798396395,2732612599,2741801979,3277394942,3553677551,3521248408,3987292551,4409546194,3762305810,4161244307,4399647277,4563896801,4893178126,5362122381,5399975293,5405042569,6168440489,6684574188,6723683069,9346359758,10847223162,11145774204,11886743063,11680571753,13739235526,15312823624,15804354003
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,25162497894,28477699535,26104522117,25905615011,28479057303,30783475058,33880720588,38622680391,43477210310,50942944295,56279066582,63680381442,74761203616,83199862276,89703251722,103198305861,113680081909,123438365092,129866032899,129803862366,137391427976,145451893382,150040853034,156768963130,166977448305,189172168300,198893354334,216342917377,238477043933,240749671969,257401116396,282086472831
