"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,115003191.2,132515249.5,137797419.7,142565000.7,160794861.7,172899480.9,198044561.2,221822175.5,245865049.7,265102921.8,292047533.1,299095239.1,310997939.1,337566074.5,362509218.5,389212110.9,405362136.5,447810221.3,450846855.2,478626829,510503790.4,529920630.5,541799502.1,547800654.8,618799618.7,685192230.4,757364307.9,750190997.2,797488281.5,755491237.4,743517615.2,768822337.2
St. Lucia,,,,,,,,,,,,,,,,,,,,232713899.7,263610692.8,251322386.6,273583040.4,346894205.9,336187529.9,392645169.6,412198995.8,468397291,533364054,659138683.8,695858174.7,770285179.3,801117653.8,834410108.6,876525587.6,947492759.1,973721029.5,1044907037,1089629748,1111592592,1070629640,1141747143,1170736950,1249823590,1348318172,1517005661,1564813952,1685995710,1446017211,1542085321,1597954809
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,155480994.3,179046816.3,197261016.2,215663670.6,241715219,261381028.6,269505349,301596616.5,351224111.4,378262705.3,404949372.3,422891226.6,474526445.9,483284761.6,471540751.6,490118110.5,509071847,589264187.8,623581321.1,649137133.1,682557260.1,721059153.7,761071010.3,791528654.6,862593336.2,911029781.4,1042693601,1117860890,1135153030,1136297268,1120863401,1154559025
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,241988033.5,254000630.2,249874130.1,275356045.9,300293581.4,316112786.3,375788961.9,430674638.1,447704896.5,447395971.5,439607878.9,474405686.5,318257203.3,350428840.5,398157588.7,406450466.8,424089511.8,439291194,479207275.2,527760410.8,558308035.8,571957431.1,630207721.4,650285433.5,671747490.9,739370589.8,744492451.4,750678087.8,778761761,814221490.4
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212438919.5,242539085.6,268998367.7,291980657.8,306599385.7,325565492.9,349962786.9
Saudi Arabia,,,,,,,,,,,,,,,,,,,,159166313290,183006686150,180141143376,179784539988,178497112923,178717148392,195411112551,191908176768,214011566129,219886735539,240387573672,266919445986,281995091697,285401084949,287850075585,297683752919,311924940460,326620954241,341306318223,343440259972,362295395728,370536956109,377665338509,413124731729,452096002677,499680134991,534834606342,557496255997,595453647057,604507946320,635329573816,698483964625
Senegal,,,,,,,,,,,,,,,,,,,,3849990929,4397471888,5016877210,4938146583,5261776716,5623347974,5949770127,6497751256,6653367366,7194258188,7472682428,7921878181,8296276742,8486840936,8631240530,9353175771,9884313914,10378748940,11194164298,11994743761,12629155910,13554012865,13820456473,15109286649,16515417209,17906791251,19114692431,20643679967,21989643415,22451725063,23735698539,24996464573
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43830414989,44734695173,40300303062,43343836349,46265416818,49158652793,51757223570,57812284450,62559127112,69020983686,73137767354,82349543664,79771134836,80890167443,84523869551
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,335387700,344085185.7,356482566.7,362164912.9,390387323,448720031,455194712,481410439,522148135.3,610754569.6,687298515.7,735460088.8,810868108.9,878683852.5,903028353.7,888044994.2,956848716.8,1101080918,1194682336,1227927776,1292123653,1323301022,1263801857,1263676438,1279352096,1427192168,1612056886,1779815242,1786027316,1844052766,1960911393,2177194172
Sierra Leone,,,,,,,,,,,,,,,,,,,,1192284577,1344400172,1505126274,1510684310,1639152596,1589621993,1564630222,1795583100,1708838804,1790164389,1807747141,1977462187,1577837365,1731278184,1608678903,1625764257,1784454768,1536602375,1494994232,1416751206,1510893274,1824375582,2356527660,2632759182,2841270414,3163652415,3542185635,3959942340,4274954026,4549801623,4829965103,5098067838
Singapore,,,,,,,,,,,,,,,,,,,,16525907823,19881431487,22778770345,26322702457,30380193059,31564646741,32426768595,35989143813,41901941517,48294816817,54971401888,60212202853,66858825327,74511758765,85998464762,94911484263,102461545158,116394890727,114902696530,123435446208,135087653591,135971729843,141443537584,150029674849,162035488813,180564568427,209491324918,235642256702,257843941514,259962798205,288838163504,309920004638
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,30364350515,32441758057,34553307712,36251331387,38493342223,40245690240,40932037801,36015810976,34306750058,37772733244,40976726538,44822138613,48926264687,52577059732,55715932433,55833729592,58988720595,64911590251,69480900107,69521763334,75701045781,84670835954,96042348545,109140756806,117207907472,115642414131,118811626571,120929329310
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20899805506,22037824406,24077086939,26168964422,27714315020,29605608787,31190384929,33248501184,34943901512,36805262075,39200399266,40640339047,43961771268,46563964504,50482211585,53781552053,57116766628,54310618800,54383559756,55321029208
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358470527,412381276.7,450470159.9,435444478.7,487058376.3,534108396,535732450.7,886357180.8,913082140.9,925045192.5,820842193.1,776583718.5,758098614.6,826749909.7,902866234.9,977564459.2,1084929299,1148233438,1146857360,1055081322,1186417511,1305806236
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,110607089138,127200175144,134720864688,137684911878,150094339272,152014032051,155415238247,164820627902,178079809162,189070352582,195011715096,201954054799,202654440177,210114103638,221908736946,233862945236,247589017606,259042734844,263525952226,273545750710,291136538579,303480389887,321846542587,337520160760,365695553675,397641242500,433615059687,463994232750,492169403230,494989547792,516442612391,545679564698
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,253603707714,275539918879,295751635052,312147339692,329851864915,350321229368,370156640037,402231197314,436608924291,476569144720,513492773497,545373362088,562942934969,571648388137,589711407413,626632440274,653870789054,694650756823,743294325160,784083834629,850976757891,904565427919,979331086789,1027757601617,1093380253447,1171882104078,1317472703663,1412663616395,1470079133474,1443612610404,1448374393882,1463843410901
Sri Lanka,,,,,,,,,,,,,,,,,,,,11050555567,12572374251,14110755113,15140801435,16121630239,17881889953,19078282976,19974299083,21219392388,22415945489,24753184467,26746554279,28684033907,31410706483,33633379190,36055883174,38048665147,41372716252,43736475550,46178321543,49948465860,50362220577,53382162199,58074024598,62904262591,68886002208,76443813375,84249185909,90045978265,95408891909,104148206914,115990718170
Sudan,,,,,,,,,,,,,,,,,,,,10124632145,11529978122,13223621651,13963597708,13521598947,13148640535,14169001158,16695357102,17086346523,19059392620,18109873900,18817574173,20979783958,23007145947,24397520951,26589696986,29466816190,33557485613,35379975103,36624754628,38723706140,42541419892,45046166955,49785025270,51992535588,58935969819,66655481187,73917971892,80667999805,84752563382,88180544367,
Suriname,,,,,,,,,,,,,,,,,,,,1137544778,1290229985,1334749108,1321838408,1297385903,1288887491,1327182527,1180288445,1312731937,1508322873,1530786239,1620167313,1662872963,,1668785342,1743575553,1818126885,1926594038,2332809857,1657535337,2054555913,1967955585,2240361011,2437831386,2711736068,2988883081,3215626400,3557590784,3798507818,3936914969,4042953324,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555524145,2707741435,2866051046,2936171374,2928754187,3329194365,3635884860,3814058128,3805389530,4054127166,4078198794,4439313563,4279278437,4354595173,4718897943,5334568134,5346646048,5743770648,5919183035,5812544631,5874774054,6379599172
Sweden,,,,,,,,,,,,,,,,,,,,88570463298,96175770389,101960818163,107682628069,116559986019,122783564261,129845669734,138748617102,147172662535,156707350591,163378189681,166040518123,165799586165,164663672427,177606053055,188656755005,196015011153,203439948529,213038161839,227994488499,245947937551,249271823021,260279285930,275863635018,292196298613,297415309051,328380139286,360021836006,377971992434,353756375318,376399832753,398948492571
Switzerland,,,,,,,,,,,,,,,,,,,,91932782164,103094785998,106970956938,112396066747,120916350750,128897446201,132724173889,138060473780,148618989919,159919062223,170529457888,175046773925,178868391375,183317311555,187794949610,194029912736,200495334889,212967693468,221963926962,229053843846,244761645491,244610476172,253106852045,264957919649,275708937744,291213214444,318310803539,328871177674,328396932726,361925532018,391199289168,413680378434
Syria,,,,,,,,,,,,,,,,,,,,14606527755,17460085309,18762326482,19818366670,19763303471,21602907559,20919184457,21307846577,24889709843,22730137328,25656080063,28558317500,33232766765,35813755180,40984845061,44367403516,46277563894,45769908250,50181555806,48805021264,50846620702,55184917326,59035185866,60881486172,67541515251,74075556792,80477916288,88532837795,94101472838,100945682112,104161860661,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,8932426517,9451778163,9611964255,11329277472,10991633413,11340049343,10892919510,7896875729,6680692807,5271098694,4664903674,3815980680,4158338591,4442742378,4664531910,5082386242,5698380959,6320452608,7025610213,8168486781,9352812173,8126803168,10312458112,12947867586,13540208805,14613651397,16123735943
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,12386807207,13266292269,14689386988,15606499590,15974276212,16557835856,17239170100,18448891553,19901641710,20899787164,22081691065,23524169737,25288921954,27290622310,29931465749,32629985791,36233577504,39482170272,43913101810,48557153918,53224822787,57188281097,62065634312,67815346483
Thailand,,,,,,,,,,,,,,,,,,,,49932579204,57390127452,64176517041,71018488201,77585859662,83241704916,89526034815,101185205838,118785277397,138722953368,160092189409,179307863927,196373172075,218953915861,243277421334,271678632288,291065517676,291432042821,262151814577,279934819214,303164591575,313411353434,332489864205,361291017573,393451207195,423602541846,463457801940,502975468628,527343830494,518726116198,563297599996,583284776462
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744604138.1,883764193.7,783261753.1,831188200.7,860025734.2,1284580238,1803106002,2817030920,4140965965,6442195493,4894065596,5949983045,
Togo,,,,,,,,,,,,,,,,,,,,1467480513,1536916102,1566538426,1526152978,1676206232,1833748281,1921418681,1990121484,2204968166,2395346950,2506890299,2572674884,2529957970,2183740091,2480736168,2790727480,3142252950,3658597505,3641472234,3749186045,3808344455,3832733595,3887967999,4169493772,4362841826,4563974888,4899619968,5184245921,5464841858,5693682253,5958873872,6355937564
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,134632589.5,147791101.1,153194850.6,162657412.6,180739357.3,190662664.9,199493737.7,207881452.1,210847771.9,211358420.8,230659787.3,234603992.6,247900149,275444275.3,284653586.4,291049276,296560195.4,314310685.3,328459632.8,340159996.8,357171667.6,382126058,396560239.6,413491446.8,417584214.4,439282453.1,450332865.9,471745128.2,475463280.5,474735961,490611443.2
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,7483108076,8750727084,9870041920,9243669539,8806229989,8643111814,8498952899,8302353777,8182507205,8235079721,8761851475,9261856001,9317404572,9479643818,9880899490,10467248283,11047126886,11856563311,13093756457,13837937055,14711946077,15933416434,17626798327,20445136359,23400299504,25734085207,29267732786,31773036351,33782415595,32386037404,32726816979,33574784616
Tunisia,,,,,,,,,,,,,,,,,,,,11920950011,13724170537,14483598175,15829704008,17390341794,18718469219,18762904320,20533969471,21282840690,22515639920,25602152447,27239237148,29847825998,30636898723,32475197604,34346627681,37238998696,40415725212,43193404144,46481797929,49283918267,53003543987,54792657323,59194647096,64354027552,68378135588,74946334676,81433534709,86668352988,90698958266,94536479700,97017434491
Turkey,,,,,,,,,,,,,,,,,,,,93757803283,107119977290,117429943321,128052230832,141509986473,152324351563,166365789627,187650545703,197491374124,206741965858,235827353547,246200970529,267438750890,295676538903,282562737703,311090090825,341175089458,374305269042,529679835219,510409111820,580565121092,546610320325,560884724402,577074220645,678495891000,771720064771,883741159425,965420299613,1055657528435,1024508037020,1125259952691,1276554086218
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8765080837,7606431536,7025795668,6668810510,6194209149,6559009584,7636666228,8708052522,11082370197,13072642298,15861303820,19061769134,21037931226,24414841539,28144668132,32960751786,35064555744,37597972199,42635182644
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,4180379086,4556674330,4747103303,4720458770,4863735402,5224155245,5845569875,6427097766,7064031624,7712655411,8037160875,9037292598,9810548395,11254931495,12525047096,13484409439,14363939167,15731936590,16327257103,17582193556,19377378936,21072142877,23214135683,25141199174,28883287235,32411610582,36003086646,39075156411,41808304450,45649976324
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,271725130997,288404143221,315917975792,309038856639,292084326654,263601129371,225688349010,180681980492,160761078161,147732674059,146063430033,144223029706,144949594272,156401116214,176928327274,189777501403,212571862826,244813644490,259999475974,286654856248,318638749811,335298689224,285142846894,302120854672,323779545787
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202222836076,202353400344,222831604698,252325397496,276402723850,315235454292,338437055302,350379546113,348344653641,352976071823,380512914082
United Kingdom,,,,,,,,,,,,,,,,,,,,465235568486,503118205414,543759305851,589880415525,629271562637,665438952385,711008827578,765476799285,833724652099,882009685717,918903040925,939986898036,970390269505,1011529514608,1085885726367,1136069234928,1210931430449,1304648661387,1376386769504,1416900320465,1532471112728,1639320019097,1739085883289,1801939750926,1928438657008,2004682335584,2133494818201,2209753532084,2251160608340,2160920267968,2231690920036,2251234140439
United States,,,,,,,,,,,,,,,,,,,,2756400000000,3100200000000,3259500000000,3494200000000,3905200000000,4169000000000,4374900000000,4683800000000,5093600000000,5409400000000,5705000000000,5893300000000,6210600000000,6509700000000,6945800000000,7336500000000,7789600000000,8316300000000,8843600000000,9399900000000,10070500000000,10389100000000,10661400000000,11141300000000,11911300000000,12756500000000,13629200000000,14097100000000,14390900000000,13938400000000,14635600000000,15232385400000
Uruguay,,,,,,,,,,,,,,,,,,,,10458710152,11989625296,11319889942,10172302808,10224287826,10701707439,12220259766,13709138280,14411440881,15064841848,15799267761,17140257213,18996245837,19964297243,21806414373,22049048254,23736765665,26418238103,27992324427,28031469844,28056502590,27579711103,26092861145,25617283587,27584857339,31087124139,33628361986,36873341864,40073945666,41515739382,45528069293,49641790144
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27645012259,27584713749,26675917683,27044294738,27898914416,29715907354,31592288137,33329608406,35127729012,37354369077,39600539598,42283573525,47168523167,52270336945,57690830881,68071007219,77288221041,81708066542,89862122607,100948875059
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,129053568.3,144852084.8,171913678.4,213364430.3,244125482.3,282279374.4,291783245.2,254825896,279245634.6,315561638.1,372572310.8,353787946.6,360769949.2,401708672.8,403985449.2,445048028.3,450537804.6,476379450.2,547559149.6,564708926.1,593176595.8,605311592.2,571102941.7,602025725.5,644745063,690237942.3,780906605.4,850566378.9,964161911.1,980047590.9,1030334200,1104347898
Venezuela,,,,,,,,,,,,,,,,,,,,83643269622,91395811990,92359702373,91744188050,95573759464,98509781205,108535585481,114704193331,126311166797,116635591553,134315042439,153151499967,162783576498,166870208331,165553361286,177508997776,180419484360,194800497027,198440486857,191843143508,203835455083,214531710694,196034959798,184968802551,223861690980,259775482868,297446573801,338469972275,360699963450,349050869413,347226024616,369504184141
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6087266814,6722881374,6919188047,8020403778,9453885690,10421679951,9902537167,8273675901,7578708833,8319839710,8904044792,9681426917,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39784258248,40396339433,44749723425,50645868259,55705297392,62687227445,71301628996,78950213650,86809416521,93094840838,99482776817,108423177189,118640058500,128749154829,141138176246,155959181030,174514409530,194287901376,215237418925,233444064021,244733919046,265863835441,286641423342
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15540829127,16620299164,18550866953,19806248264,21563380440,22733699165,23088729897,24711020853,27531909375,27929296100,30656508450,32903656580,34514396360,36141076652,38212982166,41722358989,45988765003,49026574354,51450333087,55436508720,59449370063,54066290308
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,3909562224,4767984536,4749887396,4765973670,4787971323,4921395036,4688628863,5152635511,5945413361,6162903600,6483788930,6493201016,6622331381,7397718861,6951552481,6919287833,7585915594,7977057598,7899265292,8338114345,8862138354,9535250194,10059500763,10884586028,11426986579,12173958656,12961175726,13851244028,15531880189,16502013357,17751722455,20091007628
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
