Total sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
France,92.568,93.349,94.162,94.808,95.356,95.841,95.309,94.936,94.667,94.391,94.318,94.507,94.673,94.957,95.279,95.614,95.853,95.989,96.1,96.286,96.616
French Guiana,107.754,105.397,103.293,111.611,110.479,100.437,108.146,110.148,108.7,107.517,106.613,99.852,99.59,99.372,99.149,98.902,98.659,98.458,98.323,98.283,98.338
French Polynesia,105.248,105.259,105.257,105.377,105.497,109.13,109.766,108.83,108.547,108.121,106.571,105.087,104.39,103.734,103.1,102.476,101.868,101.282,100.745,100.279,99.909
Gabon,95.036,95.056,95.136,95.285,95.593,96.186,96.798,97.448,98.037,98.424,98.565,99.322,99.896,100.286,100.668,101.077,101.393,101.648,101.884,102.056,102.128
Gambia,94.951,95.298,95.811,96.234,96.56,96.912,97.195,97.463,97.749,97.987,98.18,98.313,98.406,98.458,98.473,98.455,98.419,98.376,98.322,98.256,98.173
Georgia,85.848,86.307,87.12,88.012,88.572,88.59,88.423,89.484,90.576,90.451,89.91,89.459,88.687,88.588,88.761,89.047,89.262,89.485,89.865,90.468,91.324
Germany,85.386,86.279,86.95,88.963,89.574,90.244,90.8,91.22,93.156,94.731,95.375,95.71,96.301,96.63,96.753,96.73,96.6,96.399,96.133,95.803,95.535
Ghana,102.215,102.068,102.003,101.955,101.937,101.953,102.011,102.062,102.211,102.393,102.61,102.693,102.771,102.822,102.842,102.837,102.792,102.716,102.61,102.473,102.312
Greece,95.05,95.389,95.332,94.651,95.357,96.027,96.418,96.82,97.135,97.542,97.939,98.066,98.35,98.344,98.484,98.689,98.917,99.102,99.236,99.315,99.375
Grenada,84.677,85.299,86.582,88.56,89.804,91.394,93.492,95.126,97.458,97.802,98.288,99.316,100.223,100.996,101.616,102.086,102.393,102.573,102.651,102.686,102.704
Guadeloupe,92.661,95.04,96.358,96.789,96.439,95.769,95.938,95.675,95.622,94.149,92.729,92.984,91.886,90.935,90.18,89.561,88.986,88.447,87.964,87.591,87.359
Guam,210.742,171.517,140.491,132.77,125.408,116.822,108.821,111.474,114.043,108.817,104.528,103.958,103.469,102.999,102.56,102.148,101.751,101.37,101.024,100.736,100.528
Guatemala,102.106,102.469,102.64,102.636,102.537,102.392,102.264,102.01,101.664,98.876,96.517,95.291,95.064,95.289,95.445,95.54,95.582,95.586,95.562,95.514,95.436
Guinea,99.469,99.031,99.01,99.327,99.813,100.363,100.87,101.298,101.618,101.825,101.906,101.97,102.042,102.124,102.199,102.251,102.268,102.251,102.205,102.132,102.022
Guinea-Bissau,97.896,97.718,97.573,97.506,97.416,97.56,97.592,97.687,97.775,97.887,98.022,98.093,98.185,98.305,98.411,98.489,98.549,98.587,98.602,98.589,98.537
Guyana,95.335,95.182,95.697,99.505,98.795,98.491,98.19,96.631,94.921,94.595,94.249,103.122,105.565,104.821,104.035,103.244,102.48,101.745,101.073,100.557,100.223
Haiti,95.295,95.865,96.525,96.956,97.062,96.858,96.869,97,97.352,97.628,97.657,97.473,97.648,97.743,97.814,97.901,97.954,97.961,97.926,97.836,97.663
Honduras,101.163,101.387,101.288,101.11,101.007,100.908,100.891,100.703,100.546,100.256,99.775,99.478,99.917,100.126,100.278,100.368,100.406,100.399,100.356,100.301,100.234
Hungary,92.616,93.406,93.189,93.443,94.09,94.207,93.986,93.245,92.43,91.485,90.76,90.443,90.368,90.5,90.747,91.038,91.327,91.627,92.047,92.575,93.046
Iceland,98.619,102.567,102.299,102.107,102.282,102.143,101.681,101.24,100.794,100.55,100.283,100.796,105.86,108.018,108.863,109.047,108.711,108.257,107.71,107.11,106.469
India,108.033,108.386,108.722,108.914,108.945,108.861,108.55,108.322,108.184,107.958,107.644,107.246,106.8,106.39,105.982,105.565,105.134,104.7,104.277,103.877,103.486
Indonesia,98.434,98.891,99.294,99.677,100.032,100.263,100.496,100.488,100.437,100.332,100.069,99.833,99.663,99.501,99.397,99.221,98.994,98.701,98.353,98.046,97.807
Iran,103.11,103.265,103.502,103.79,104.176,104.518,104.714,105.412,106.189,103.471,103.634,103.891,103.331,102.872,102.421,101.976,101.529,101.059,100.589,100.131,99.677
Iraq,99.494,100.16,101.373,102.653,103.567,104.076,103.921,103.1,101.671,100.985,101.735,102.388,102.264,102.648,102.865,102.935,102.881,102.757,102.601,102.409,102.178
Ireland,103.635,102.005,100.993,101.119,101.014,100.262,101.094,100.841,99.76,98.658,98.833,99.945,100.355,100.564,100.635,100.577,100.447,100.291,100.148,100.016,99.887
Israel,105.824,103.324,103.043,102.343,101.684,100.402,99.883,99.584,99.197,97.334,97.521,97.989,98.479,99.03,99.552,99.962,100.27,100.503,100.696,100.871,101.037
Italy,94.857,94.6,94.118,94.234,94.495,94.428,94.04,94.252,93.997,93.642,93.613,94.28,94.831,95.204,95.47,95.712,95.897,96.04,96.133,96.16,96.181
Jamaica,94.739,94.733,92.555,91.479,95.298,95.69,97.3,98.24,96.482,97.092,97.191,95.977,95.864,95.794,95.708,95.555,95.345,95.104,94.919,94.892,95.076
Japan,96.27,96.589,96.513,96.449,96.372,96.884,96.81,96.661,96.287,96.168,95.747,95.308,94.894,94.472,93.994,93.534,93.118,92.779,92.544,92.453,92.423
Jordan,107.876,107.78,107.715,106.603,105.599,104.725,107.269,109.428,108.791,109.54,107.219,105.95,105.154,104.785,104.367,103.96,103.578,103.188,102.777,102.331,101.859
Kazakhstan,93.77,93.095,92.856,92.919,92.939,93.121,92.915,93.187,93.884,93.497,92.128,91.528,90.795,90.355,90.15,90.052,90.047,90.2,90.568,91.079,91.61
Kenya,101.736,101.112,100.616,99.978,99.531,99.264,99.199,99.261,99.256,99.215,99.282,99.715,99.997,100.283,100.431,100.54,100.599,100.644,100.665,100.628,100.501
Kuwait,146.359,150.492,166.772,157.041,130.855,120.716,134.183,131.471,131.601,150.861,155.105,151.993,146.129,142.986,140.33,137.903,135.516,133.038,130.444,127.797,125.164
