"Murder per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.568,18.08,18.758,21.468,19.779,24.76968,15.745,25.1291256,22.05639723
Egypt,,,,,,,,,,,,,,,,,,,,,,,,1.728226,1.253351,1.396552,1.448124,2.199534,1.26053,0.9498761,1.076351,,,,,,,0.6157055,,,,,,,,,,,,,0.0796743,,1.460151,,1.497259259,1.559354009
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.45,49.424,42.003,39.274,37.981,42.39205,33.831,41.18565369,49.73319
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.89756,,28.29985428,28.29985428
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.640601,,20.3461647,20.3461647
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.047211,7.846889,,,6.626109,5.932984,5.675317,5.737007,7.748259,10.88933,10.75495,19.81122,25.91855,28.7999,22.6656,19.90375,15.76437,18.03358,15.63435,13.07728,13.92882,10.55732,10.21876,6.907458,8.09041
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.46085,,25.66409874,25.66409874
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.860967,,0.6920335889,0.6920335889
Finland,,,3.38622,3.196126,3.165696,2.684001,2.702468,2.723818,2.31102,1.870389,3.036367,2.592195,2.691749,2.497182,2.152766,2.010538,2.305054,2.297832,2.094362,2.660135,2.094397,2.789979,3.216646,2.689458,2.523451,3.53913,3.19807,2.807254,2.920757,2.518725,3.202789,2.609385,2.690611,2.837159,2.620785,2.582468,3.137573,2.598999,2.582566,3.030033,3.011749,2.825295,3.230288,3.11109,3.024222,2.848838,3.298618,2.536136,2.238693,2.512355,2.631521,2.659637,2.513534,1.779634,2.305308,1.919503
France,0.7433326,,0.5889392,0.6233324,0.5758267,0.6836541,0.8094457,2.032626,2.343333,2.011286,1.658561,2.389409,1.615604,0.7695355,0.8564892,0.7992353,0.7327476,0.9190366,0.7515401,0.8207214,0.7380276,0.7827316,0.8751437,0.8027834,0.960117,1.007213,0.9082543,0.9854375,1.005927,1.077251,0.9755027,0.9943638,1.111402,1.248428,1.305615,1.222968,1.154789,1.068575,0.9661692,1.099515,1.043029,1.052702,0.981137,1.054251,1.102683,1.016658,0.9991262,0.8967677,0.7136183,0.6816378,0.842521,0.8189615,0.7848521,0.7293937,0.7072825,0.6886944
