Total contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Canada,1,1.100000024,1.100000024,1,0.8999999762,1,0.8000000119,0.8000000119,0.6000000238,0.5,0.5,0.5,0.5,0.6000000238,0.400000006,0.400000006,0.400000006,0.5,0.400000006,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
Cape Verde,,,,,,,,,,,,,,,,,,,,,10.30000019,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,28.29999924,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,2.599999905,2.400000095,2.400000095,2.299999952,2.299999952,2,2.099999905,2,2.200000048,2,1.899999976,1.600000024
Colombia,,,,,,,,,,,,,1.5,1.299999952,1.299999952,0.8999999762,0.8999999762,1.200000048,0.8999999762,1.600000024,1,5.900000095,6,6,5.599999905,5.199999809,4.400000095,4.400000095
Costa Rica,,,,,,,,5.699999809,4.900000095,4.5,5.099999905,4.400000095,3.599999905,3.599999905,3.400000095,3.700000048,3.200000048,3.099999905,3.299999952,3,2.599999905,2.900000095,3.099999905,2.599999905,2.400000095,2.299999952,2.200000048,1.799999952
Croatia,,,,,,,,,,,,,,,,,7.900000095,7.5,6.199999809,5.699999809,4.900000095,4.800000191,4.599999905,3.799999952,2.700000048,2.400000095,2.200000048,2.299999952
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,2.099999905,3,3.299999952,3.200000048,3.5,3.099999905,2.799999952,2.200000048,1.700000048
Czech Rep.,,,,,,,,,,,,,,0.3000000119,0.400000006,0.5,0.400000006,0.400000006,0.5,0.5,0.6000000238,0.6000000238,0.6000000238,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.6000000238
Denmark,,2.799999952,,3.099999905,2.599999905,2.5,2.200000048,2.299999952,2.200000048,1.899999976,2.099999905,1.799999952,1.899999976,1.799999952,1.399999976,1.200000048,1,1,1,0.8999999762,0.8999999762,0.8000000119,0.8000000119,0.6999999881,0.8000000119,0.6999999881,0.6000000238,0.6000000238
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,2.900000095,,,,,,1.899999976,,1.600000024,,1.5,,,,,,
Dominican Rep.,,,,,,,,,,,,5.5,5.300000191,5.400000095,4.599999905,4.199999809,4.699999809,3.700000048,2.400000095,2.200000048,2.200000048,1.700000048,1.600000024,1.700000048,2,3.5,,
Ecuador,,,,,,,,,4.099999905,4.400000095,6.5,6.099999905,7,6.400000095,6.300000191,7,6.5,4.800000191,6.699999809,5.699999809,6,6.699999809,5.199999809,4.400000095,6.599999905,5.599999905,7.099999905,
Egypt,,,,,,,,,,,,,,14.19999981,13.80000019,13.19999981,2.900000095,12.80000019,12.10000038,11.39999962,11.5,9.300000191,10.39999962,12.19999981,14,13,13.10000038,
El Salvador,,,,,,,,,,,,,,7.900000095,8,8.699999809,9.899999619,8.100000381,10.5,8.399999619,7.900000095,10.80000019,9.100000381,8.699999809,7.699999809,9.800000191,9.199999809,
Equatorial Guinea,,,,39.5,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,1.600000024,,,,,,,,,,,
Estonia,,,,,,,,,,1.299999952,1.600000024,1.700000048,2.099999905,2.799999952,2.799999952,1.399999976,1.5,0.8000000119,0.8000000119,0.8000000119,0.6999999881,0.8000000119,0.5,0.400000006,0.5,0.200000003,0.200000003,0.200000003
Ethiopia,,,,,,,,,,,,,,,,,,,,47,,,,,7.199999809,50.29999924,10,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,14.60000038,,
Finland,3.799999952,3.799999952,3.700000048,1.899999976,1.600000024,1.5,1.399999976,1.200000048,1,1.5,1.399999976,1.200000048,1.299999952,1.299999952,1.299999952,1.200000048,1.200000048,0.8000000119,0.6999999881,0.6999999881,0.6000000238,0.5,0.5,0.400000006,0.5,0.5,0.5,0.6000000238
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200000048,1.100000024,1,0.8999999762,0.6000000238
Gabon,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,31.39999962,30.60000038,29.5,31.39999962,28.29999924,28.79999924,27.89999962,28.5,28.70000076,28.39999962
Germany,3.400000095,3.299999952,3.099999905,3,,,,,,,,1.399999976,1.399999976,1.299999952,1.399999976,1.299999952,1.100000024,1,1.100000024,0.8999999762,0.8999999762,1.200000048,1.100000024,1.100000024,1.100000024,1.200000048,1,1
Greece,,14,12,15.10000038,15.10000038,14.69999981,15.39999962,14.69999981,14.39999962,14.30000019,12.89999962,11.60000038,12.10000038,12.10000038,12.30000019,12.39999962,12,11.89999962,11.30000019,10,9.600000381,8.399999619,8,8,6.300000191,6.300000191,6.5,6.400000095
Grenada,,,,,,,,,,,,,,,,,0.8999999762,,1.100000024,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,22.39999962,,,,,
Guyana,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,11.89999962,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,9.800000191,9.899999619,8.800000191,,8.600000381,9,12.80000019,11.89999962,11.39999962,13,,12,12.30000019,8.5,12.19999981,10.89999962,,
"Hong Kong, China",,,,,,,,,,,,,,0.8999999762,0.8000000119,0.6000000238,0.6000000238,0.6000000238,0.6000000238,0.6999999881,0.6000000238,0.6000000238,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.6000000238,0.6000000238
Hungary,,,,,,,,,,,,,1.200000048,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,0.8000000119,0.6999999881,0.6999999881,0.6999999881,0.6000000238,0.5,0.400000006,0.400000006,0.5,0.5
Iceland,,,,,,,,,,,,2.599999905,2.599999905,2.799999952,1.700000048,1.100000024,0.400000006,0.5,0.3000000119,0.3000000119,0.400000006,0.3000000119,0.3000000119,0.1000000015,0,0.1000000015,0.1000000015,0.1000000015
Indonesia,,,,,,,,,,,,,,,,,,18.5,19.5,18.29999924,20.10000038,19.39999962,17.60000038,20.29999924,18.5,18,16.89999962,17.29999924
Iran,,,,,,,,,,,,,,,,,5.5,,,,,,,,,12.89999962,,10.39999962
Ireland,3.299999952,3.200000048,3.200000048,3.5,3.099999905,2.700000048,2.099999905,2.799999952,2.599999905,2.599999905,2.400000095,1.899999976,1.600000024,1.700000048,1.5,1.299999952,1.100000024,1.299999952,1.299999952,1.299999952,1.299999952,1.100000024,0.8999999762,1,0.6999999881,0.6999999881,0.6000000238,0.6000000238
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,0.6000000238,0.6000000238,0.5,0.5,0.5,0.5,0.5,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,0.200000003
Italy,5.400000095,5.300000191,5.099999905,5.199999809,5.599999905,5.400000095,5.300000191,5.099999905,4.900000095,4.300000191,4.099999905,4.099999905,4.099999905,4.699999809,4.599999905,4.400000095,4.300000191,4.199999809,4.300000191,3.799999952,3.900000095,4.199999809,4.099999905,4.099999905,2.5,1.899999976,1.799999952,1.799999952
Jamaica,,,,,,,,,,,,3.099999905,3,2.200000048,2.400000095,2.799999952,2.400000095,2.099999905,2.200000048,2.200000048,2,2.099999905,1.399999976,1.299999952,1.299999952,1.299999952,1.200000048,
Japan,10.89999962,10.60000038,10.39999962,10,9.800000191,9.600000381,9.300000191,9.300000191,9,8.699999809,8.300000191,7.699999809,7.099999905,6.5,6.300000191,6.099999905,5.900000095,5.699999809,5.599999905,5.5,5.300000191,5.099999905,4.800000191,4.699999809,4.599999905,4.400000095,3.900000095,3.700000048
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,1.100000024,1,1,1.200000048,,,
"Korea, Rep.",18.79999924,19.10000038,18.29999924,16.79999924,15.39999962,14.60000038,14.19999981,13.30000019,12.80000019,12.10000038,11.39999962,10.89999962,10.5,10.80000019,10.19999981,9.600000381,9.300000191,9,10.10000038,9.5,9.100000381,8.600000381,8.100000381,7.699999809,6.900000095,6.599999905,6.300000191,6
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,10.60000038,13.10000038,14.80000019,14.69999981,13.19999981,
Laos,,,,,,,,,,,,,,,,33.5,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,4.400000095,6.300000191,5.400000095,5.099999905,3.900000095,4.599999905,4.300000191,3.700000048,3.400000095,2.299999952,1.5,1.600000024
Lesotho,,,,,,,,18.79999924,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,3.599999905,3.599999905,4,3.400000095,3.200000048,3.5,3.5,3.5,3,2.400000095,1.700000048
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Macao, China",,,,,,,,,,,,,,,,,1.200000048,1.5,1.600000024,1.600000024,1.5,1.399999976,1.399999976,1.600000024,1.799999952,1.200000048,0.8999999762,0.6999999881
Madagascar,,,,,,,,,,,,,,31.20000076,,,,,,,,,,40.59999847,,52.29999924,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,4.199999809,,,,6.599999905,6.699999809,6,6,6.199999809,5.699999809,5.099999905,4.800000191,4.800000191,5,4.5,5,4.900000095
Maldives,,,,,,,,,,,4.5,,,,,6.300000191,,,,,2,,,,,,,
Mali,,,,,,,,,,,,,,,66.90000153,,,,,,,,,,15,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Marshall Islands,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mauritius,,,,,,,,,,,2,,,,,2.400000095,,,,,0.8999999762,,,,2.099999905,2.099999905,2.099999905,2.200000048
Mexico,33.79999924,,,,,,,,,,2.5,13,11.5,13.89999962,12,11.69999981,11.39999962,11.89999962,10.30000019,9.699999809,8.300000191,8,8.399999619,7.900000095,7.800000191,7.400000095,7,6.800000191
Mongolia,,,,,,,,,,,,,,,,,,,,,25.29999924,,,24.79999924,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,2.200000048,,
Montserrat,,,,,,,,,,,,0.8999999762,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,19.20000076,,,,,31.29999924,5.5,5.5,29.89999962,29.70000076,32,31.70000076,27.39999962,
Namibia,,,,,,,,,,,,,,,22.39999962,,,11.69999981,,,3.299999952,16.89999962,,,4.400000095,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,8.800000191,,,,,,
Netherlands,0,0,0,0,0,0,0,2.200000048,2.099999905,2,2,1.600000024,1.299999952,1.399999976,1.299999952,1.299999952,1.200000048,1.100000024,0.8000000119,0.8000000119,0.8000000119,0.6999999881,0.6000000238,0.6000000238,0.6000000238,0.6000000238,0.6000000238,0.6000000238
Netherlands Antilles,,,,,,,,,,,,1.799999952,1.200000048,1.299999952,0.8000000119,0.8000000119,0.8000000119,0.6000000238,1,,0.5,,0.3000000119,0.6000000238,0.5,0.5,0.6000000238,0.200000003
New Caledonia,,,,,,,,,,,,,,,,,0.3000000119,,,,,,,,,,,
New Zealand,0,0.5,,,,,1,0.6999999881,0.6000000238,0.8000000119,1.200000048,1.299999952,1.200000048,1.100000024,1.100000024,1.100000024,1.200000048,0.8999999762,0.8999999762,0.8999999762,0.8000000119,0.8999999762,0.8000000119,0.6999999881,0.6000000238,0.6000000238,0.8999999762,1.100000024
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,3.599999905,13.69999981,12.89999962,13.39999962,11,
Norway,4.300000191,3.799999952,3.400000095,3,3.299999952,2.599999905,3.299999952,2.599999905,2.5,2.299999952,2.099999905,1.700000048,1.299999952,1.200000048,1,0.8999999762,0.8999999762,0.6000000238,0.6000000238,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.200000003
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,22.60000038,22.60000038,20.29999924,22.39999962,22.39999962,21.39999962,21.39999962,20.79999924,20.79999924,24.20000076,24.20000076,26.89999962,27.20000076
Panama,,,5.5,4.300000191,4.5,4.800000191,4.800000191,6.199999809,7.300000191,6.300000191,,5.199999809,4.5,4.099999905,3.299999952,4,3.900000095,3.5,3.099999905,2.599999905,2.599999905,3.400000095,3,3.400000095,3.099999905,3.799999952,3.599999905,2.900000095
Paraguay,,,,,,,,,,,0.3000000119,,,,,,,8.699999809,,,9.800000191,,12.10000038,10.10000038,,,,10.10000038
Peru,,,,,,,,,,,5.300000191,3.599999905,4.099999905,5.5,5.5,5,7.099999905,7.900000095,7.599999905,7,7.400000095,7.699999809,7.900000095,8.699999809,9.5,8.300000191,8.100000381,7.099999905
Philippines,,,,,,,,,,,,,,,,,,,13.10000038,12.69999981,12.5,13.60000038,13.19999981,11.69999981,11.60000038,12.69999981,13.10000038,12.39999962
Poland,0,0,0,0,0,0,0,0,0,0,0,0,6.599999905,6.800000191,6,6,6.199999809,5.199999809,4.800000191,4.300000191,5,5.199999809,5.5,5.5,5.5,5.300000191,4.5,4.199999809
Portugal,,,,,,,,,,3.700000048,3.299999952,3.700000048,1.799999952,1.899999976,2.200000048,1.899999976,1.700000048,1.600000024,2.200000048,2.099999905,2.400000095,2,1.799999952,1.600000024,1.5,1.5,1.200000048,1.100000024
Puerto Rico,,,,,,,,,,,,1,0.8999999762,0.8999999762,1,0.8999999762,0.8000000119,0.8000000119,0.6000000238,0.5,0.5,0.400000006,0.6000000238,0.5,0.5,0.5,0,0.200000003
Qatar,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,
Moldova,,,,,,,,,,,,,,,,,,,,6.599999905,7.199999809,7.800000191,7.599999905,2.400000095,1,1.100000024,2.900000095,2.299999952
Romania,,,,,,,,,,,0,4.5,13.69999981,14.5,15.19999981,14.60000038,16,17.10000038,17.79999924,18.70000076,19.29999924,19.10000038,15.10000038,14.80000019,13.89999962,13.80000019,13.10000038,12.60000038
Russia,,,,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0.200000003,0.200000003,0.1000000015,0.1000000015,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015
Rwanda,,,,,,,,,,,,,,,,,31.20000076,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,0.8999999762,,,,,,,,,,0.6000000238,,,,,,
Saint Lucia,,,,,,,,,,,,,,2.799999952,1.799999952,1.799999952,2,1.799999952,1.100000024,1.100000024,0.8999999762,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,2.299999952,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,,0,0,0,0,0,0,0
Sao Tome and Principe,,,,,,,,,,,,0.8000000119,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,7.199999809,8,6.900000095,6.800000191
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,18.10000038,,,
Singapore,,,,,,,1.899999976,2.200000048,1.700000048,1.399999976,,1.100000024,0.8999999762,0.8999999762,1.100000024,1.200000048,1.200000048,1.100000024,1.100000024,1.200000048,0.400000006,1,0.8999999762,0.8000000119,0.8000000119,,0.6999999881,0.8000000119
Slovak Republic,,,,,,,,,,,,,,,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0,0.1000000015
Slovenia,,,,,,,,,,,,,,3.200000048,5.400000095,4.599999905,4.199999809,6.800000191,6.599999905,5.800000191,4.800000191,5.300000191,4.599999905,4.199999809,5.5,4.599999905,5.099999905,4.800000191
South Africa,,,,,,,,,,,,,,,,,,,,,,1.200000048,1,0.8000000119,0.6999999881,,,0.400000006
Spain,8.100000381,8.100000381,7.900000095,7.699999809,7.699999809,7.300000191,6.699999809,6.699999809,6.599999905,6,5.400000095,5,4.5,4.400000095,4.099999905,3.700000048,3.400000095,2.900000095,2.799999952,2.299999952,2.099999905,1.899999976,1.700000048,1.600000024,1.399999976,1.600000024,1.299999952,1.100000024
Sri Lanka,,,,,,,,,,,,,,,,,,9.5,13.60000038,12.19999981,13.10000038,10.5,12.10000038,9.5,9.399999619,8.100000381,10.5,10.30000019
Suriname,,,,,,,,,,,,,,1.399999976,0.6999999881,0.8999999762,1.899999976,1.899999976,1.200000048,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,1.100000024,,,,,,,,,,
Sweden,0.5,0.5,0.5,0.400000006,0.400000006,0.3000000119,0.200000003,0.400000006,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.400000006,0.5,0.5,0.5,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.200000003,0.200000003,0.3000000119
Switzerland,,,,,,,,,,,,3.700000048,3.5,3.599999905,3.5,3.200000048,3.099999905,2.900000095,2.799999952,2.799999952,2.5,2.599999905,2.599999905,2.299999952,2,2,2.200000048,2.400000095
Syria,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,
Taiwan,10.69999981,10.39999962,10.5,11.10000038,10.80000019,10.80000019,10.89999962,9.899999619,9.5,9.199999809,9,9.100000381,8.899999619,8.5,8.600000381,8.5,8.399999619,8,7.699999809,7.699999809,7.5,7.300000191,7.400000095,7.300000191,7,6.699999809,6.400000095,6.199999809
Tanzania,,,,,,,,,,,,,,,,,,,,,,3.799999952,,,,,11.39999962,
Thailand,,,,,,,,39.59999847,42.59999847,42.70000076,40.59999847,37.79999924,38.40000153,34.29999924,34,31.20000076,28.89999962,30.29999924,29.79999924,27.10000038,26.89999962,24.70000076,25.60000038,24.60000038,22.20000076,21.60000038,21.5,21.39999962
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,8.300000191,10.30000019,10.89999962,14.39999962,12.19999981,11.39999962,8.5,10.39999962,10.89999962,10.10000038
Tonga,,,,,,,,,,,,,,,,,31.10000038,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,5,5,4.800000191,3.799999952,3.400000095,3.599999905,3.799999952,3.700000048,3.200000048,2.299999952,2.200000048,1.899999976,1.799999952,1.399999976,1.100000024,1,1,0.8999999762,0.8999999762,,
Tunisia,,,,,,,,,,8.899999619,,,,,0.8999999762,,,,,7.800000191,7.400000095,7.900000095,7.099999905,8.699999809,,,,
Turkey,,,,,,,,,30.20000076,31.29999924,30.10000038,32.20000076,29.79999924,27.20000076,28.79999924,28.5,28.39999962,25.60000038,25,26.5,21.60000038,22.60000038,20.89999962,19.60000038,19.70000076,16,14.60000038,14.10000038
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,0.1000000015,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,31.5,26.10000038,,,,
Ukraine,,,,,,,,,,,,,,,,0.200000003,0.1000000015,0.3000000119,0.200000003,1,1.100000024,1.299999952,1.899999976,1.600000024,0.6000000238,0.5,0.400000006,0.400000006
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,0.1000000015,1.399999976,1.600000024,1.700000048,2.099999905,2.099999905,1.899999976,1.799999952,1.700000048,0.6999999881,0.6000000238,0.6000000238,0.5,0.5,0.400000006,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.400000006,0.3000000119,0.3000000119,0.3000000119
United States,0.6999999881,0.6999999881,0.6999999881,0.6000000238,0.5,0.400000006,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015
Uruguay,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.399999976,1.100000024,1.399999976,,1.299999952,2,1.799999952
Venezuela,,,,,,,,,,,,,,,1.5,1.200000048,1.299999952,0.8000000119,1.399999976,2.099999905,1.700000048,2.299999952,2.599999905,2.700000048,,,1.200000048,1
Vietnam,,,,,,,,,,,,,,,,,45.79999924,39.5,37.79999924,38.29999924,37,37.20000076,37.90000153,35.90000153,32.70000076,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,12.10000038,9.899999619,8,7.900000095,9.600000381,9.199999809,10.30000019,11.39999962,11.10000038,10.10000038,11.10000038,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,0.3000000119,,,,,,,,
Zambia,6.199999809,,,,,,,,,,37.40000153,29.60000038,,,,,27,,26.70000076,,41.59999847,,,19.60000038,,,,
Zimbabwe,,,,,,,,,,,,,,,18.39999962,,,14.60000038,,14.89999962,,,11.89999962,,,,,
