HIV Incidence % (Ages 15-49),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,0.06
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,
Senegal,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.06,0.06,0.06,0.06,,0.06
Serbia,,,,,,,,,,,,,,,,,,,,,,0.06
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.12,0.14,0.16,0.18,0.2,0.21,0.22,0.22,0.22,0.21,0.18,0.15,0.13,0.13,0.12
Singapore,,,,,,,,,,,,,,,,,,,,,,0.06
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,0.06
Slovenia,,,,,,,,,,,,,,,,,,,,,,0.06
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,0.06
Somaliland,,,,,,,,,,,,,,,,,,,,,,
South Africa,0.22,0.35,0.57,0.89,1.34,1.9,2.47,2.9,3.07,2.97,2.72,2.42,2.16,1.96,1.83,1.75,1.7,1.66,1.63,1.55,1.5,1.43
South Ossetia,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,0.06
Sri Lanka,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Sudan,,,,,,,,,,,,,,,,,,,,,,0.06
Suriname,0.52,0.56,0.57,0.55,0.51,0.45,0.38,0.32,0.26,0.2,0.15,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Svalbard,,,,,,,,,,,,,,,,,,,,,,
Swaziland,1.03,1.33,1.68,2.08,2.52,3.01,3.51,3.87,4.06,4.17,4.18,4.11,3.97,3.88,3.75,3.5,3.3,3.16,3.05,2.9,2.79,2.6
Sweden,,,,,,,,,,,,,,,,,,,,,,0.06
Switzerland,,,,,,,,,,,,,,,,,,,,,,0.06
Syria,,,,,,,,,,,,,,,,,,,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
