Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,,14.7091996,14.64866948,13.99907039,13.39429452,13.61814651,14.23935072,14.9374726,15.05323108,15.06390715,15.24061911,14.62391521,13.82178063,13.65384219,13.77954708,13.73117055,13.7499526,13.70982663,12.78562421,12.40201833,11.93198605,
Cape Verde,,,,,,,,,,,,,,,,21.07697136,22.74444386,23.77648692,24.56128844,19.94750825,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,6.214223404,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,16.72191413,16.59747149,16.796964,16.30546227,17.01228764,18.74378834,20.55618845,21.40206686,19.68696047,15.56409393,17.83043627,
China,3.932439816,3.609485114,3.251806043,2.496752411,5.550864249,5.018776617,4.704074092,5.329289757,5.660529371,6.18620159,6.815633118,7.402022108,8.503401634,8.538996219,8.860551515,8.679594442,9.188060347,9.928816567,10.26866091,10.53972933,,
Colombia,,,,,,,,,,,,11.02831503,9.854370158,11.22677404,10.53214594,12.81286442,11.83207831,13.60423691,12.31600329,11.83089579,11.49908981,
Comoros,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",9.290676114,4.389080412,2.733890784,3.407601665,2.651177969,4.931615868,4.760047165,4.053750065,5.349763312,3.459786988,3.456501455,4.363621233,6.667434614,6.368379534,8.344567582,9.972079544,11.55063205,11.74680813,15.2070909,13.13580461,13.70000504,
"Congo, Rep.",,,14.69603297,11.73529799,8.275988436,11.24313577,11.13103024,7.618204618,10.90253021,7.771337887,5.935426283,9.215640922,8.361449231,8.702773947,7.849247686,6.243112413,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,15.72456601,13.86143371,,
Cote d'Ivoire,,,,,,,,,,,,,,14.9056345,15.17895977,9.770377248,15.02380021,15.47522284,15.57468763,16.55511815,,
Croatia,,14.88887176,19.73481732,21.5487456,26.87202303,23.1346667,22.97887957,22.1018246,25.3209074,23.34706449,22.42280536,21.05792715,21.63417602,20.92861311,20.14066525,20.04451312,20.0894037,20.18014961,20.16522687,18.99789685,18.78763707,
Cuba,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,33.82621412,32.65678721,31.35794745,34.74953468,35.70836036,39.31643141,40.45837607,41.15397962,43.65511731,42.82043423,45.43914224,47.70996206,55.70735803,52.38874264,25.77068335,,
Czech Rep.,,,,22.28514417,19.3916218,17.08675356,16.43664067,15.88967773,15.3359683,15.85430967,15.43544605,15.91173252,15.75847903,16.14587658,15.69713532,15.56097433,14.65595653,15.18354047,14.82718595,13.46390448,13.92585923,
Denmark,,,,,,31.91021485,32.19278758,31.85953603,31.83853766,31.9141835,30.82221053,29.54939724,29.42289747,29.48763073,30.79458184,32.60965652,31.57571527,35.76634672,34.73132963,34.3129043,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,12.89308922,14.55017166,14.83691149,15.914247,14.92904853,13.06703968,,
Ecuador,14.10491801,16.23909083,25.20223488,27.7098831,27.24923172,,,,,,,,,,,,,,,,,
Egypt,13.18837468,14.90412066,18.48023005,18.76417526,19.04742857,17.62303922,17.46294682,15.96464836,,,,,13.40775919,13.34994013,13.83597767,14.06863515,15.82951274,15.34985231,15.32052485,15.66136058,14.13007625,
El Salvador,,,,,,,,,,,,,10.71036647,11.15925751,10.99358792,12.47703846,13.51539295,14.16868525,14.31851057,12.75930497,13.74989983,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,19.24341398,22.16912638,18.28894731,17.95531625,16.62760109,15.76823767,15.48495568,16.03037656,16.19155569,15.96254652,16.05870406,16.16752577,16.62580254,15.08664167,17.41823631,,
Ethiopia,8.70539252,7.507720655,5.643718831,5.95726009,7.737151981,8.494159493,9.021170112,10.16581279,10.91151367,10.70932843,,8.145883252,9.784309177,9.186839265,9.75502791,8.791357035,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
Fiji,22.75707071,21.87169442,21.60100769,21.41066825,21.49565933,22.20614241,21.2021419,,,,,,,,22.19001559,21.34806423,23.18702332,,,,,
Finland,,,,,,20.73721686,22.12123352,22.89625629,23.05647727,22.84153988,24.64767956,22.40752972,22.97105384,22.7401722,22.54935442,22.58605467,22.10116732,21.66434966,21.22098347,,,
France,,,,,,18.76797909,19.89723365,20.67196129,22.6721002,23.41490556,23.19048427,22.98166478,22.46197424,22.13366514,22.27678682,22.42133204,22.54399345,21.88460544,21.67080909,19.80361322,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,
Gambia,18.20477995,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,8.33383326,7.241986477,7.903052203,7.651756552,7.352414429,7.61665803,7.032852345,9.927429423,12.11003331,15.44824805,17.71530651,23.80935867,23.13855221,22.08812081,
Germany,,,,,,11.07384366,10.82933333,10.73251072,10.96443333,11.74082592,11.98192918,11.32451591,11.31038364,11.44540163,10.93637564,11.14322963,11.35226241,11.80522957,11.86150861,12.15750684,,
Ghana,11.43679663,13.15959312,10.76865678,13.14924718,,,,,,,,17.19292789,17.49311121,18.47768613,21.75210552,21.32150832,12.80737594,13.87793457,13.89595262,12.61212679,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,18.92900891,18.94908262,19.91704366,21.50809541,22.52224134,23.46429536,22.00924802,21.61051047,19.95724184,19.76596017,20.33828973,20.40663385,20.74640586,20.35932235,19.61172721,,
Greenland,,,,,,,,,,,,,,,,,,,,,,
Grenada,,23.04673126,21.71609024,23.52227431,22.33588002,23.08310992,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Guatemala,6.86521167,7.325686438,8.313948701,7.81982717,6.765227236,7.714731243,8.529663739,8.697669273,9.371933975,10.24715093,10.06497645,10.86302829,11.880549,11.67385737,11.55273495,11.20539318,11.85697112,12.05936275,11.27381312,10.3494408,,
Guinea,,,,,,,,,10.45108904,11.12930212,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,13.74646198,14.49586336,14.53485123,15.23835326,16.38500099,16.13051871,14.57336705,14.83632229,
"Hong Kong, China",,,,,,,,,,,,,9.094631391,10.60391444,12.04491289,12.66239449,12.72227671,14.24490614,12.95167414,12.78414519,,
Hungary,,,,,,23.49104696,23.15260783,21.13435741,20.98730812,22.01218598,22.64186995,21.70615162,21.16000459,21.05120584,20.69735918,20.27891094,20.1385927,21.83903815,23.67244063,23.92815074,,
Iceland,,,,,,,,,24.56776718,26.56867314,26.05342088,23.66010459,23.63566852,24.66871037,25.83885427,28.10662383,28.06614894,27.31003644,24.30172447,21.45741482,21.86464085,
India,10.10736907,10.28792065,9.9173389,8.635662765,9.086165684,9.333427308,9.339939954,9.116214563,8.210888654,8.79861273,8.967594755,8.208114958,8.810781235,9.233429935,9.405871121,9.916140485,11.02813629,11.89587492,10.84010151,9.663310113,9.478979108,
Indonesia,,15.64116412,15.75803926,14.35640676,15.56199185,14.01936678,14.04722046,15.99646956,14.96617063,15.4751667,,11.57818458,11.82695959,12.38553231,12.3307675,12.50237804,12.25446097,12.42728189,13.03621003,11.43548307,10.89214975,
Iran,5.993785388,6.658887707,7.440989032,4.09507387,4.678151876,6.603632344,8.652779495,10.98955936,9.285579333,9.059293453,6.341889787,6.316442585,5.518010748,5.897925421,6.048874515,7.851609443,7.428922975,7.262471657,7.556701809,9.256528983,,
Iraq,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,26.23758322,26.8685913,26.64314582,26.07585505,26.24853047,25.7732509,23.92645692,23.01821115,23.45994461,24.54516856,24.92420531,26.28295667,25.45252108,23.30477637,21.1564176,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,28.73665087,28.39550438,27.62842255,26.69883363,26.5682339,26.9281663,27.57807911,27.91919249,25.41191334,23.19226686,24.30806743,
Italy,,,,,,23.55270388,23.39971455,25.07795376,23.91490742,24.43293376,23.07125724,22.70346642,21.96335524,21.99194923,21.47870979,21.10514718,22.61868181,22.90086547,22.39236717,22.87746841,,
Jamaica,,,,,,,,,,,,,,24.54517514,25.21818336,25.53709937,26.00970941,26.89115074,26.23059944,20.99941172,,
Japan,,,,,,,,,,,,,,,,,10.91709555,10.4247669,9.22614327,8.703653803,,
Jordan,18.63283739,18.59689678,22.97224703,20.91856064,19.98742115,20.70907402,21.68658263,19.04992225,18.11923177,18.10520611,18.99115133,18.66992289,17.47799982,18.21365346,20.99608415,24.41581174,23.6312639,23.77962793,17.12255684,16.16508196,15.29035231,
Kazakhstan,,,,,,,,6.787220587,7.294793896,7.745369934,10.22139507,9.642300653,12.13435978,13.08323765,13.90867797,17.14934059,14.85084259,12.27857293,12.66099413,8.05513661,8.938610216,
Kenya,,17.6238629,18.40725046,14.96562051,14.93543728,20.49432528,15.84757514,16.06217213,15.05943408,16.15444222,16.83114396,17.83177478,17.29459984,15.76577221,16.97282036,18.67045922,17.37761018,17.79018866,18.77560934,18.81952106,19.54549472,
Kiribati,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",14.41581481,13.44955367,13.72020003,13.55360187,13.89178744,14.23486295,14.48094546,14.23804626,14.00482418,14.28858851,15.40601887,14.70534,14.42916684,14.94748705,14.24559039,14.7318129,15.1906731,16.55968915,16.29944923,15.44938034,15.15329381,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,1.545070847,0.2556073923,0.08581481022,1.092624072,1.422764277,1.146167119,0.9650769541,1.173084234,1.492329666,,,1.037286235,1.182053494,1.324735403,1.324427699,1.029966515,0.9704784527,1.08652282,0.8676952314,0.9396825397,,
Kyrgyzstan,,,,14.85984275,14.67568557,15.06401323,12.59447932,12.51139782,14.23317945,12.21483144,11.74379425,12.4356925,,,,,14.218268,16.39633842,16.50850648,15.03609082,15.61061121,
Laos,,,,,,,,,,,,,,,,,10.37902785,11.48791107,12.0281679,12.59684379,12.72612625,
Latvia,,,,,15.13831089,13.21731716,14.11137479,16.66900559,17.10907274,15.51206048,14.15564175,13.74105731,13.72899237,14.10028629,13.61095247,15.05447561,15.8723907,15.64492371,15.01090422,13.40914537,12.771579,
Lebanon,,,,,,,,,,,11.90122982,11.8780772,14.43059019,15.37671346,16.0319055,14.91598543,14.73019571,14.80732534,15.89402139,17.0855021,,
Lesotho,39.88796939,42.36824831,43.63322155,47.63666089,48.40184092,47.86017057,45.40443081,46.21092288,38.22700644,39.35314708,37.3776995,40.24573765,38.26638513,40.89422361,46.71757409,46.18592824,61.01811856,56.89410316,58.85826899,,,
Liberia,,,,,,,,,,,,,,,,0.2395918277,0.228126403,0.3110155409,0.3189767282,,,
Libya,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,14.55501915,14.38743012,17.29418611,17.08357181,16.96199867,17.25996525,17.85710835,17.74780554,17.38423006,13.9787725,13.35847403,
Luxembourg,,,,,,,,,,25.50296374,26.37521417,25.94064822,25.3749928,24.55459825,24.39715116,25.24806393,24.16399786,24.0104658,23.67068426,24.49459025,24.48568612,
"Macao, China",,,,,,,14.18725671,17.36358915,15.62698603,15.70530086,16.56730436,17.33924564,18.19983142,20.93642861,22.14412788,21.7143631,21.64488623,26.05326761,30.71470175,29.69766802,34.73481671,
"Macedonia, FYR",,,,,,,,,,,,,,,,19.2615756,18.91775716,19.48769515,19.09444905,,,
Madagascar,,,,,,,,,,,11.32608304,9.738941155,7.669634194,10.00898251,10.87752385,10.1056231,10.67094459,11.4329106,13.0043873,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,19.37785032,19.75336664,16.73015823,14.09370782,13.6669089,17.79488881,17.44695509,15.49565512,15.19909376,15.42612141,15.08080743,14.82260537,15.20562976,15.66384106,14.29768363,
Maldives,13.96231926,14.6140953,14.95898236,13.73453732,13.00458215,13.59638849,13.45217883,14.44550441,14.20024041,14.09157038,13.79611008,10.84570825,10.4716411,10.6334652,12.15430477,13.74040931,14.44177049,15.0245401,14.69653583,11.90351243,,
Mali,,,,,,,,,,,13.15201304,13.94888038,13.00139257,13.76617854,15.28847593,15.65608991,15.66267512,14.88175182,13.27436749,14.74821639,,
Malta,,,,,,,,,,,,,,24.88233327,26.1002118,26.18080666,27.28570436,28.2150585,26.83013274,27.6352531,26.53573744,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,18.69473668,18.535161,
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,11.7826895,11.54614912,11.58802336,11.2649621,10.6281304,10.6498434,10.79319655,11.20250123,10.19419816,10.73744842,11.6552896,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,12.08961722,18.28319866,18.73331743,15.05732708,14.72585441,12.17133767,12.88135437,14.67291369,16.35750648,18.48540374,19.57105102,20.56670079,20.4460968,17.68525567,18.20470709,
Monaco,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,11.08136575,17.51732902,11.32416493,9.773956357,9.602347817,10.57243315,8.358672087,9.805817877,13.9101607,14.66205919,13.36924022,18.03874557,,,28.70997468,23.47917648,21.65181536,16.5402944,22.71811248,
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,19.93177388,19.63512238,19.87134028,21.96626023,22.43165354,25.11864508,27.57395567,23.96978462,23.42597321,
Mozambique,,,,,,,,,,,,,,,,,,,,,,
Myanmar,6.197784146,5.610206293,5.037396545,4.728010353,4.25171345,3.7444872,3.959317154,4.415239181,3.519309519,2.752748457,2.966506877,2.257140538,2.001047064,2.210411921,3.272456476,3.881778483,,,,,,
Namibia,27.31458642,32.41499564,30.3422711,29.84411954,27.15943535,28.41413505,27.40590234,30.48176228,29.27989781,31.89760201,27.5296553,26.39518258,25.97571832,23.17565409,24.28691394,25.7606579,29.14516547,27.3342488,,,,
Nepal,6.996692968,6.620301936,6.483344072,6.654637356,7.729134048,8.985513859,8.719914187,8.723659866,8.639332547,8.422505233,8.735981111,8.802565688,8.560583141,8.651811853,8.9749585,9.179453421,8.77975841,9.772473404,10.44008641,11.84666207,13.33646499,
Netherlands,,,,,,21.91206869,22.67142031,22.21968986,22.16689106,22.62806421,22.33012728,22.59392358,22.52060342,21.63792471,21.62916545,22.63720596,23.1938706,23.37501071,22.83605363,22.62787908,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,29.0974508,28.70952149,29.7583962,29.74307957,30.75909064,32.61941867,30.83882771,,,,
Nicaragua,26.26583668,18.23936737,19.84950915,18.98088283,11.66917812,12.19993924,12.31892233,13.7391881,14.31969739,13.90768319,13.8141616,12.71863266,13.48802607,15.20760832,15.813993,16.73732656,17.69589289,18.17423633,17.60355793,17.5456102,18.28647862,
Niger,,,,,,,,,,,,,,,,10.09072138,10.70061717,11.34007151,,,,
Nigeria,,,,,,,,,,,,,,,0.2304202361,0.175064443,0.1166795441,0.1953827288,0.2790116092,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,27.4352199,26.87920452,27.93311001,26.30942953,27.80634774,28.72545761,29.39699679,28.80424203,28.26626207,26.5639169,26.87670466,
Oman,9.361436934,7.507796733,6.992627245,6.143309181,7.122581678,7.425901144,7.536217073,8.762624179,6.794900762,6.686475024,7.161744676,7.388045097,,,,,,,,,,
Pakistan,13.31911088,12.22662197,12.99398276,12.82608712,12.75200115,13.24862454,13.81547638,12.74247296,12.8290938,13.16532006,10.08899115,10.04260699,10.31131096,10.78383837,10.28454521,9.604414425,9.427412748,9.838225658,9.85963799,9.277452949,9.995904704,
Palau,,,,,,,,,,,,,,,,,,,,,,
Panama,12.61010314,13.46558718,13.06049929,12.45467205,12.42969265,13.00008854,11.19704788,11.51824673,10.76423508,11.04632386,10.20438019,9.260131272,,,,,,,,,,
Papua New Guinea,20.07346726,17.73352563,18.28415818,19.86439564,20.59600745,19.72715386,22.46318454,23.7232047,20.48029115,21.78816746,18.975965,24.6964497,21.01324696,,,,,,,,,
Paraguay,9.16648647,8.978685892,9.989886455,9.079346548,11.03443129,12.50801657,11.53371043,11.5727994,11.51274645,10.5417672,10.85777954,10.77419094,10.12700077,10.30803883,11.87142657,11.8487801,12.04244915,11.41030657,11.75739256,13.02140493,13.13895117,
Peru,10.77121086,11.0397693,11.98806552,12.16941196,12.97234893,13.60953502,14.04703979,14.15856948,13.9183681,12.65428374,12.23222868,12.44139367,12.05189721,12.84044363,13.09095124,13.51693758,15.04868801,15.6330945,15.69544754,13.74864297,14.49597894,
Philippines,14.08232357,14.60523986,15.44179721,15.61049254,16.02574705,16.29197183,16.93863776,16.98428717,14.10831678,13.306404,12.84754896,12.59665789,11.82303923,12.10329139,11.8146209,12.4278107,13.7112965,13.53510399,13.58881168,12.2304197,12.14689213,
Poland,,,,,,,,,,,,15.9884243,17.00800665,16.95854622,15.69443333,16.67371774,17.35807726,18.30757425,18.30509192,16.34096739,,
Portugal,,,,,,19.2517267,20.20423423,19.96540641,20.04524514,20.5899391,20.54465668,20.23487575,20.73137469,20.80349644,19.93060862,20.64843354,21.33614414,21.66681038,21.51909693,19.55455551,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,25.55534354,21.04847844,20.1791535,20.34021455,16.57870182,19.82011262,,
Romania,,,,,,,,,,,,,11.74065406,12.27863817,12.30174586,12.20840833,11.37556847,11.81109504,17.88799783,,,
Russia,,,,,,,,,,,,,13.64919151,13.3140302,13.23402539,16.62290968,16.56821576,16.55131306,15.81806782,12.96331603,13.44595883,
Rwanda,8.78380627,9.260063959,9.048258736,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,19.63284135,19.54535906,19.34194542,20.21022548,20.29396918,,,,,,,,16.23937989,18.15383336,20.06828065,22.68840411,21.60766202,20.96762487,20.23139875,19.716775,17.59667508,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,22.14291053,23.47794324,22.02951089,22.42938522,23.52350009,22.79360566,23.49690929,24.40318973,24.88930505,24.36275166,20.631681,20.28788962,21.84716424,20.92175439,20.61022501,20.47202668,22.00842768,21.76855905,23.61348163,22.91787311,22.14905998,
Samoa,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,23.51805797,21.96864891,20.69812504,21.98806042,22.37013161,22.84534155,22.26489924,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,14.25077667,14.70740536,14.78942736,15.50904478,16.12957601,16.11536342,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,23.6093442,23.11100986,22.50378012,22.01730302,
Seychelles,,,,35.35999348,31.96714646,27.63407983,26.93784497,26.96494204,26.43613532,27.21809933,26.08089261,25.2572087,26.13802846,32.72899011,35.3997246,28.3899206,25.93283414,23.58497687,23.49013708,27.14083147,28.8419457,
Sierra Leone,5.316813368,7.469819896,10.12782347,11.83417984,12.13171869,9.042219938,7.661186153,9.911060728,7.199601269,6.294158723,10.16038813,12.03476902,11.37661872,11.51505523,10.78353815,10.76638877,11.18011286,10.21783318,10.52579251,11.04012448,,
Singapore,14.56728597,15.27562485,16.14051156,16.32554479,16.71610249,15.90440179,16.08329186,15.43997206,14.14905035,14.77257957,15.13432125,14.93355123,12.95444533,12.66524699,11.84507691,11.79659107,12.09928166,13.08158733,14.06185215,13.71938414,13.76808731,
Slovak Republic,,,,,,,,,,,,,,17.23401708,15.84101375,14.91491569,13.94050482,14.19442379,13.4943444,12.4241718,,
Slovenia,,,18.76896616,19.71298126,21.49490821,19.77911139,20.26301349,20.55869218,20.96936345,21.92717832,20.46251823,20.41931426,18.81053558,20.73844125,20.48779511,20.54129271,20.99534201,19.64787719,19.92931396,18.07135805,17.12705469,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,23.95568793,24.80531941,24.19634425,24.00118818,25.33468808,26.86034211,28.38043206,28.87356497,27.9324175,25.53576444,,
Spain,,,,,,15.8625239,16.09184244,15.5792277,15.56720847,15.99263375,16.15944455,15.82892351,12.78692167,12.18910016,11.76207609,12.88512663,13.48553873,13.87127362,10.47509291,8.558857744,11.16892577,
Sri Lanka,19.02083385,18.30479797,17.95345687,17.4699989,17.16797563,17.75201716,16.95069051,16.00767405,14.47642698,15.01206188,14.50276895,14.6255052,13.55629488,12.71067585,13.46596896,13.73252902,14.57725918,14.22160859,13.27733142,,,
Sudan,,,,,,,,,6.197163293,6.386617228,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,25.05604433,24.30881783,23.97564692,24.079509,26.10119642,,,,,,,,
Sweden,,,,,,20.84246301,21.08025449,21.93738399,22.51553562,24.50298608,23.64950493,21.45605192,20.37084174,20.70811559,21.34995041,22.58607086,23.25609276,22.424471,21.65220702,21.63067098,,
Switzerland,8.811965094,8.54522334,8.71133078,8.029842134,8.612987931,8.708269511,9.166838582,9.126259132,10.15831239,9.734494661,11.08721379,10.03902448,9.951441788,9.951134424,9.979079114,10.3085832,10.4272074,10.00154766,10.87560643,,,
Syria,16.71200918,18.08970228,19.39617361,17.46057449,17.4698331,18.62901178,15.64274517,16.2976191,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,7.689738854,8.209728725,7.702822742,8.201888131,,9.709529745,9.82118344,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,15.46032672,15.91719451,17.24283808,16.74465652,16.12207284,16.44629251,15.16303442,15.97200188,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,14.3897493,13.88488385,14.81058695,16.19504623,14.90892341,15.36988222,15.8005412,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,23.22310056,21.38668104,22.7105944,,,,,,22.12128594,20.45549831,21.43330842,22.70123015,26.37869728,30.25760882,25.99529034,30.23877148,26.21475463,,
