Total 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bhutan,13.69047619,13.7755102,14.22222222,14.453125,14.86486486,15.32033426,15.60283688,15.8004158,15.72212066,13.80670611,14.08199643,14.79198767,16.66666667,17.92207792,20.21924482,23.8150289,26.63706992,29.01498929,29.11917098,28.09667674,26.65350444
Bolivia,15.00184298,14.93182574,14.41791045,14.07624633,14.12966041,13.9104854,13.97909668,13.9959772,14.06296852,14.2475274,14.71507574,15.29411765,16.01515756,17.13811849,18.17478732,19.41794665,20.90204802,22.57614679,24.1581777,25.58363087,26.5074787
Bosnia and Herzegovina,16.78558017,16.46300068,14.52830189,14.2773035,16.75084175,19.2153723,21.9269103,21.94471387,22.64282397,23.82238224,25.43978349,28.35978836,29.87496675,29.78266702,29.48857454,29.66454117,30.69053708,30.26392962,29.78399757,27.67375436,25.05815886
Botswana,13.59223301,12.36673774,11.68582375,11.74496644,11.2716763,11.50550796,11.49542218,11.20689655,11.25092524,12.58876695,13.82113821,14.45652174,14.76238625,14.67933492,15.67130669,17.87852866,20.4601479,22.47815727,23.42307692,23.30350485,23.49528644
Brazil,14.54693666,14.52287436,14.06851424,13.91810646,14.17528727,14.25242072,14.63916,14.75515795,15.49364516,17.07650442,18.78800057,20.95544174,22.61697642,23.93623314,25.4324283,26.94757816,28.09123815,28.65077085,28.9925185,28.82803833,28.20119719
Brunei,18.36734694,15.625,14.63414634,14.5631068,15.38461538,16.14906832,12.37113402,13.33333333,13.22957198,15.25423729,17.96407186,19.78319783,21.56862745,22.67573696,23.75,25.04892368,25.50458716,26.47058824,26.7768595,26.38230648,26.06707317
Bulgaria,21.70735071,23.30977464,22.62903636,24.20141429,25.1531574,26.04357798,26.81110359,26.05735967,25.80791473,26.24461465,27.36920964,28.16537468,27.88743665,28.39047226,29.50399088,30.37618483,30.98330241,29.49070331,26.32290786,23.86845827,22.27373887
Burkina Faso,14.87380544,15.43224031,15.5720339,15.30193473,14.58890672,13.63783609,12.63848397,11.90599844,11.18421053,10.67338073,10.67237687,11.04727273,11.48366495,12.1186619,12.79776873,13.50002013,14.1635049,14.89975942,15.75495516,16.90054912,19.02137977
Burundi,14.61726384,14.64232489,14.3877551,13.91656289,13.28213879,12.34366504,11.52821506,11.01781692,10.87836648,11.68936446,12.36093943,12.889672,13.28482572,13.53734991,14.65542309,17.02203906,19.81060923,21.78233438,22.64670837,22.61207201,22.72666038
Cambodia,14.03912543,14.04088375,14.00441664,13.95310974,13.89249171,14.03409892,12.6871202,12.45832819,12.69349845,13.19743432,14.32714163,15.50219915,16.44636333,16.91122524,16.86998757,19.69114004,22.56604149,25.75040242,27.85348848,26.80582735,25.9035132
Cameroon,15.7411554,15.63265306,15.51692251,15.2497519,14.87276982,14.41533546,13.86716599,13.29336759,12.82596256,12.64940239,12.65519632,12.67044498,12.68664195,13.00072176,13.91900772,15.35294784,16.94287113,18.42259387,19.42871064,20.52341598,21.84352371
Canada,20.3974667,20.33682873,20.42104088,20.6717821,20.82335605,20.58162648,20.44295795,20.76851637,22.3602036,24.71419309,27.79443394,30.08542776,29.86338556,28.95863857,27.606469,26.37936832,26.24083404,26.42435674,25.91912198,25.04659564,24.20633134
Cape Verde,16.43835616,15.97633136,16.75126904,14.84716157,13.10861423,12.58992806,13.10344828,11.91222571,10.14084507,9.523809524,10.2739726,13.33333333,15.98440546,17.33576642,19.07216495,21.00977199,23.06501548,25.71428571,27.25947522,27.6504298,26.78062678
Central African Rep.,17.53590325,17.39441661,16.77762983,16.32281553,16.01968289,15.61725335,15.21164021,14.55309396,13.85192767,13.50135014,13.43124166,13.40809361,13.4991119,13.7812056,14.32316046,15.32173913,16.66666667,18.03855569,19.56867854,20.90271088,21.9621252
Chad,16.74208145,16.57953697,16.23989218,15.8960411,15.35326087,14.63649494,13.88587546,13.19417848,12.54503767,12.40005611,12.21137824,11.99720531,11.84702303,11.77098422,12.0577375,12.66339386,13.49773898,14.51163669,15.65187626,16.96969697,18.34677419
Channel Islands,25.49019608,25.23364486,27.27272727,25.2173913,25,23.01587302,23.62204724,23.13432836,24.28571429,25.69444444,27.21088435,30.20134228,31.33333333,31.57894737,30.51948052,28.28947368,26.49006623,24.50331126,25.16556291,25.85034014,24.64788732
Chile,18.06377383,17.41830549,16.54459848,15.78217135,15.56298308,15.70208273,16.03469862,16.83871501,17.62699014,18.92698501,21.40216616,23.99828189,25.6157348,26.36657742,25.66124792,25.11678605,25.58645096,26.32883776,26.73713055,26.15429431,25.1282796
China,19.32206873,17.743599,17.42335809,16.83724969,16.30992547,16.39710393,16.81774809,16.87789233,17.45608267,19.64365786,21.40882779,24.50148638,27.97604102,29.35870968,29.25229674,28.58657803,28.34516721,27.5521592,27.66991259,26.96386206,25.0644299
Colombia,14.21070178,14.12453895,13.70025614,13.29741379,12.75019922,12.43376309,12.29688023,12.47833044,13.59653085,15.3972738,17.47372656,19.76352529,21.5771399,22.35203596,23.13784001,23.60931554,23.9849821,24.81430211,25.22241042,25.44718463,25.60354973
Comoros,14.83870968,15.81920904,15.625,15.09433962,14.40677966,13.38289963,12.5,11.45833333,11.00917431,11.58536585,12.52268603,13.63636364,14.73988439,15.79634465,17.26190476,19.64679912,20.84188912,21.26436782,21.65318958,21.95744681,23.47188264
"Congo, Dem. Rep.",13.21730564,13.2396232,13.26139245,13.24344398,13.20187331,13.10118209,12.96650718,12.74759569,12.41321555,11.93624505,11.53233263,11.22226172,11.23020671,11.48326595,11.96586073,12.78536486,13.95552281,15.40448011,17.02933122,18.77711604,20.35481619
"Congo, Rep.",15.47029703,15.29017857,15.13353116,14.81802426,14.45692884,13.92649903,13.34804192,12.94284365,12.67375307,12.62135922,12.47942048,12.35724744,12.55653099,13.37911437,14.89995743,16.71249018,18.59828436,20.22894242,21.27796556,22.26121453,23.12736811
Costa Rica,17.18426501,16.13475177,15.29235382,13.84323641,13.40659341,13.15789474,12.9471891,13.31602374,13.99350649,15.72290888,18.04071247,20.71593533,22.75371687,23.48194472,24.14778137,24.95924651,26.25368732,27.41286863,27.62664929,27.00462299,25.65913371
Cote d'Ivoire,13.57827476,13.75988992,13.90824623,13.8967803,13.95259939,13.97069929,13.95818484,13.98701547,13.97082144,14.01014551,13.99965276,13.73934733,13.49559573,13.66264662,14.50727219,15.6903625,17.11520737,18.62379094,19.92446694,21.31027048,22.5785627
Croatia,23.72793354,23.9727754,21.884273,21.83935938,23.15991369,24.9003517,26.95910441,26.17344658,26.07348384,26.31691649,26.90941385,28.5907249,28.66213152,28.09065934,27.85366983,27.98024924,28.01435407,27.77642177,26.86641698,25.10855683,24.15054888
Cuba,17.31711438,18.34862385,18.7088643,17.54275654,16.64945496,16.27635901,17.16986886,19.03014677,20.50991501,22.10815765,24.01695527,26.14793639,29.74830418,32.09381131,31.8384849,29.34529148,27.40471869,26.02701702,26.50888699,26.82614688,25.3470437
Cyprus,18.38383838,19.20903955,18.67364747,18.52487136,18.56677524,18.42105263,19.80360065,19.75308642,21.5542522,22.98221614,24.9047014,26.31578947,26.81818182,26.7027027,26.49484536,27.12031558,27.85171103,28.91344383,28.25112108,26.63755459,25.12776831
Czech Rep.,27.33587273,27.90872888,25.22258301,25.02832424,24.06897255,22.65297987,23.02081307,22.89787605,24.72586123,26.8120155,28.47222222,28.47194978,27.11815562,27.61442573,29.50804163,30.1749409,30.72243346,29.14871206,25.78531509,23.93575851,22.94014769
Denmark,24.56099274,25.20838027,25.21834061,24.90018912,23.68100649,22.38688006,22.05308353,23.27400743,25.54474708,26.86053185,27.79235382,28.07827211,27.79704326,27.8471845,27.03383729,24.90606549,23.35233345,23.08376312,23.60492066,24.71326165,25.16222062
Djibouti,12.90322581,11.5942029,13.0952381,11.96581197,11.875,12.55605381,12.35294118,12.90322581,13.05903399,13.16211878,13.69863014,14.39205955,15.24459613,16.45702306,17.60700389,19.00900901,20.85427136,22.66982622,23.91629297,24.55516014,24.8125426
Dominican Rep.,11.90280066,11.79378531,11.75768427,11.94331984,12.37494563,12.89893617,13.29957806,13.60554467,13.88851214,14.57589561,15.94022416,17.64582459,19.26650367,20.4323827,21.18962355,21.88439693,22.65486726,23.57393679,24.26207002,24.81423103,25.24365747
Ecuador,15.90439658,15.02590674,14.21491327,13.58600583,13.18699732,12.89808917,12.93157564,13.06306306,13.50325907,14.77422183,16.19689708,17.80738019,19.38716236,20.31924368,21.18236212,22.02662354,22.91691644,23.90684134,25.01566327,25.72663001,25.89648079
Egypt,15.79510064,15.46539771,15.09766538,14.85399379,14.69091727,14.80845476,14.64644191,13.89031468,14.22094553,14.94049483,15.97052998,17.18336876,17.78061889,18.50007627,19.87347804,21.83936516,24.26220639,25.21308464,25.47052681,25.35871877,25.07758581
El Salvador,13.66939146,13.65131579,13.3525803,13.0702836,12.5634857,12.72426818,13.04161304,13.52270454,14.26158754,15.03142458,15.6628533,16.44943079,17.50363313,18.59918521,19.41967659,20.06669566,21.32608998,23.54925776,25.81536034,26.5566585,26.48477157
Equatorial Guinea,18.5840708,18.06722689,17.71653543,17.34317343,17.06484642,17.15481172,14.9321267,12.42038217,10.87533156,11.50442478,13.96226415,16.8852459,18.1556196,17.02944942,14.7260274,13.59423275,14.15182755,15.51724138,17.43630573,18.69918699,19.58477509
Eritrea,12.42344707,12.35154394,12.42105263,12.51541307,12.77056277,12.90780142,13.56275304,13.18602994,12.95123496,12.13349969,11.19321292,10.24150268,10.26426656,12.25033289,15.35942849,17.81228899,19.59183673,20.08196721,19.87983556,20.81243238,22.4550343
Estonia,23.20291174,23.986195,23.64085667,22.57564003,23.38709677,23.81284916,26.03670972,25.37704918,24.44302992,25.48611111,25.87463557,26.96879643,26.75635277,26.3670412,26.08695652,26.8329554,28.67025365,27.99061767,26.03174603,23.71382637,21.89781022
Ethiopia,13.1868728,13.40099522,13.63253359,13.52359268,13.41324398,13.33171442,13.28758225,13.23020706,13.1074897,12.7654347,12.53453408,12.50736673,12.56692988,12.89940459,13.44244378,14.26210764,15.56411952,17.29277556,19.05733047,20.67630969,22.23436817
Fiji,10.76388889,10.71428571,11.6751269,12.31101512,12.93436293,13.34488735,13.78763867,14.24541608,15.33149171,16.77503251,18.47690387,19.92753623,20.25761124,20.0228833,20.51860203,21.43646409,22.54901961,24.62203024,25.96982759,26.49294245,27.03296703
Finland,22.5436409,23.32939787,22.86681716,22.85276074,22.99674267,22.4533107,22.90315834,23.07692308,25.70683778,27.7266497,29.17069399,29.89317055,27.94612795,25.93001842,24.93175614,24.28623057,23.97186147,24.71524137,24.47717767,23.96271248,23.75091844
France,26.37089449,26.10198392,23.08483853,22.55187403,22.22244106,22.0960003,23.15662651,21.86315219,22.9746134,24.28578818,25.92298195,27.52274031,26.97576396,26.51058702,25.4320037,24.57919625,23.87585937,23.00029824,22.91286885,22.9856349,23.16536131
French Guiana,20,21.42857143,21.875,17.94871795,17.0212766,16.07142857,16.17647059,16.47058824,16.37931034,17.85714286,19.39393939,19.30693069,21.03004292,22.13740458,21.30584192,20.80745342,20.9039548,21.55844156,23.24455206,24.48512586,25.32467532
French Polynesia,15,14.28571429,14.1025641,13.18681319,13.76146789,14.0625,13.90728477,14.94252874,15.46391753,16.74418605,18.98734177,21.875,24.07407407,24.91349481,25.16339869,25.07836991,25.83586626,26.25368732,27.11370262,26.85714286,25.49575071
Gabon,22.12765957,21.75732218,21.60493827,21,20.37735849,18.51851852,16.00587372,14.06844106,13.0387931,13.06347746,13.60323887,14.63057791,15.52298468,16.2195122,17.0416198,18.26722338,19.84359726,21.85767098,23.39489886,24.25388819,24.75728155
Gambia,15.50387597,15.65836299,15.67398119,15.94594595,16.08391608,16.31067961,16.42276423,16.32653061,16.08938547,15.14312096,14.57055215,14.39790576,14.51428571,14.91183879,15.33632287,15.74485264,16.31309437,17.37825217,18.84013501,20.48364154,22.03615098
Georgia,19.7845805,20.57291667,19.27421293,18.5127289,20.67134056,21.90747911,25.37460568,24.03100775,22.16117216,22.32301321,22.81737663,26.31578947,27.7619725,27.69343781,26.63316583,25.61069684,27.37371066,28.76263316,27.76836158,26.34976526,24.44920441
Germany,28.54949105,28.76217561,25.83192562,23.92217264,22.58312119,22.24566577,25.75968527,26.53794169,26.3039291,26.71428396,26.72986244,28.73003931,31.25426538,30.94228287,29.58518813,27.5101567,25.93862793,25.69393431,25.58205145,24.85482959,23.63094816
Ghana,12.79116466,12.99239806,13.04860088,12.98701299,12.87627332,12.76127613,12.69164474,12.70182992,12.89417424,12.85010148,13.18484383,13.76351937,14.42544797,15.39775681,16.45753712,17.56421392,18.6967864,19.76499427,20.58860145,21.27082164,21.96492159
Greece,20.34099921,21.60703076,21.78087123,22.13776167,24.09556314,24.55791335,25.57560672,25.53362867,24.81550723,24.45173383,25.01827485,26.92759649,28.32871323,29.60397798,30.60085076,30.82313287,29.31909212,27.42468937,25.27640449,23.84141926,23.67458867
Grenada,14.66666667,14.63414634,13.63636364,12.90322581,13.82978723,14.28571429,13.48314607,11.88118812,13.54166667,14,13.86138614,17.64705882,17.64705882,19.62616822,20.18348624,20.90909091,26.85185185,28.97196262,28.15533981,26.73267327,22.44897959
Guadeloupe,15.71428571,15.6779661,16.05839416,15.84158416,16,15.85365854,16.56441718,17.51412429,18.7012987,20.74074074,23.07692308,25.71428571,27.35042735,27.78947368,25.97938144,25.25667351,24.64358452,24.54361055,25.51020408,25.10288066,24.9475891
Guam,12.28070175,11.29032258,13.43283582,13.69863014,15.29411765,14.89361702,15.38461538,15,16.66666667,19.04761905,20.64516129,23.35329341,24.44444444,24.60732984,24.25742574,23.22274882,22.47706422,23.34801762,25.21367521,25.73839662,26.25
Guatemala,12.71051795,12.43437414,12.19512195,12.37069875,12.95441963,13.27319588,13.21265678,12.77721774,12.6838029,12.55372314,12.37976487,12.44098206,12.51391208,13.0046225,14.09540656,15.5803101,17.1630094,19.01173247,20.82211596,22.57671515,24.2422037
Guinea,15.3611005,15.50333216,15.59398015,15.48480463,15.04424779,14.25030979,13.53220925,13.40421492,13.1283553,13.21208879,13.30231448,13.22923444,13.30168572,13.46787132,13.88043075,14.60518504,15.63184374,16.82378147,18.04320203,19.35701439,20.78328328
Guinea-Bissau,15.44401544,15.72438163,16.18887015,16.360601,16.44518272,14.96402878,14.26858513,14.36343852,14.10381978,15.18010292,14.87730061,14.33423913,13.20754717,13.83036197,14.23728814,14.46623094,15.18138801,15.27128997,16.13965744,17.39526412,18.73944851
Guyana,14.18439716,13.99176955,13.55633803,13.35403727,12.85310734,12.68758527,12.5,12.20779221,12.8342246,14.09749671,16.38044914,20.83879423,22.93577982,24.10596026,23.48993289,22.84541724,21.31837307,21.42857143,24.11128284,25.49668874,26.52329749
Haiti,15.58522198,16.33001422,16.23158439,15.53579785,14.87059822,14.50233281,14.3384291,14.03069214,13.53404615,13.63694186,13.82818823,14.33581296,15.05692972,15.47727688,16.61832452,18.67585765,20.68207654,22.5676163,23.88028753,24.12231031,24.29936717
Honduras,14.39139206,13.79511059,12.73090364,12.46278179,12.26309922,12.00514966,11.66758393,11.07438017,10.93654356,11.40146769,12.25309138,13.36331979,14.43759023,15.41671635,16.89107827,18.80142204,20.93023256,23.22912902,24.97839239,25.98202397,26.562374
"Hong Kong, China",15.13157895,17.2953451,18.6402082,18.96505012,20.06086736,20.70534699,19.75382172,18.87483966,20.19635344,22.76749799,27.4445111,33.05244806,34.7715377,34.31120725,32.06077133,29.77788932,28.92228739,29.00443273,28.38077241,26.17128169,24.65213358
Hungary,25.27307775,25.99491094,24.07611417,24.83492658,24.83072161,24.26659071,25.20317609,24.74948005,25.11578541,26.80472228,27.93224985,27.4116713,27.26634577,27.20275471,28.84201904,30.18867925,30.53948891,29.73810796,27.23122078,25.84133289,24.91326245
Iceland,20.27972028,19.62025316,19.31818182,19.27083333,18.71921182,18.89400922,18.85964912,18.18181818,19.60784314,21.64179104,24.28571429,26.35135135,26.36363636,26.62889518,26.68463612,26.63185379,26.92307692,26.58227848,25.37313433,23.95061728,23.34152334
India,16.28390407,16.21624945,15.8745879,15.71748532,15.56270492,15.56222477,15.53949772,15.33709787,15.31125785,16.18152041,17.18697247,18.35695168,19.52407027,20.34300885,21.48206878,22.86186991,24.40679268,26.00379481,27.10583008,27.85122323,28.16963461
Indonesia,14.88399222,15.05658442,14.84434606,14.58948442,14.61927284,14.88029971,15.40560638,15.67814619,15.6833121,16.31784524,17.67310671,19.51809208,21.84872504,23.99218648,25.68514301,26.95917383,27.43382716,27.38205997,27.08244415,26.85330831,26.70672067
Iran,16.34837108,15.5857083,14.94194619,14.16860886,13.44905398,15.17514395,13.89086656,12.36368143,11.79539606,12.69532506,15.07981586,16.98414493,19.31616873,21.12317974,23.73326646,28.34861648,32.15695431,33.21361733,30.82654323,27.0917784,24.484661
Iraq,19.11173282,18.10097965,17.251501,15.56893159,13.73163565,12.47503329,11.61662982,11.25333996,10.6483018,11.72150691,11.8336714,12.34904558,13.8335399,14.83308254,16.49597295,17.92307176,19.09299092,20.42063567,22.04402129,23.40699421,24.41398925
Ireland,21.35399124,22.69770626,22.61820748,22.25312935,21.28595601,19.50298836,18.25933549,17.99435028,20.056899,21.9789357,23.91590013,24.65360726,24.92917847,26.32009824,28.11892732,29.08752328,28.85340032,27.21760222,25.13826043,24.08462164,24.35266084
Israel,20.09531374,22.01257862,21.00283822,20.7797271,19.2613048,17.72415847,16.83930943,16.15890812,17.39804965,19.59798995,20.75595727,21.56950673,21.08731466,21.3190184,21.87838651,22.4883111,22.89836208,22.76119403,23.04395495,23.74843253,24.57276995
Italy,22.50355864,24.215228,23.38517471,24.10651853,23.99452753,23.70567762,25.37917806,24.88616986,25.2302672,25.42215851,25.97436706,27.54663575,28.81793071,30.5441885,31.05052311,29.64011996,27.26784215,24.88951352,23.33954172,23.03585313,23.4136511
Jamaica,17.22419929,17.88723266,16.88152241,15.56818182,14.87426431,14.30700447,13.26769808,12.92990858,13.40947547,14.43048237,16.08881963,18.92803598,21.12005857,22.29002154,21.77134792,20.90750436,20.78690808,22.23389356,24.28115016,25.14492754,25.35421327
Japan,17.55955615,18.31126683,18.87709659,19.79174103,21.49873621,23.20035119,24.91630635,26.59377378,28.78155694,29.13776885,28.38291122,27.41353336,26.00790576,26.96695312,28.01219433,28.29846595,27.41432757,25.14925308,23.89690816,23.19513533,22.88752484
Jordan,13.77118644,12.36802413,11.70568562,11.47244806,11.52187307,11.7768595,11.81491465,11.52993348,10.94374424,11.43122677,12.17803421,12.81452193,14.9435945,17.73753054,20.35633559,22.79639016,24.09750435,24.88459002,25.53258474,25.64800807,26.38414217
Kazakhstan,18.34999254,18.42862505,16.4082041,15.09069533,16.66030971,16.53342766,19.52412869,18.21292776,17.69119071,19.62951334,20.34238331,23.313368,23.93346877,23.86126458,23.83713978,24.59180078,26.91058796,27.67969735,26.55258386,25.41430257,25.15688032
Kenya,16.01382488,14.95702006,13.79565647,12.80648216,12.08107387,11.52818991,10.70528193,9.788750318,9.639428206,10.2466172,11.02983271,11.52836721,11.57526369,11.95080979,13.02225468,14.52094768,16.08937133,17.02232603,17.69284355,18.59562896,20.01053741
"Korea, Dem. Rep.",6.7364962,8.887965943,10.92436975,13.69318182,15.45588545,17.19868085,20.45480914,22.39491534,23.1807803,21.34174418,21.67104112,22.35209113,25.66069195,29.78278689,28.79893561,28.99669678,27.50375464,27.38052887,29.00135167,28.47905538,27.62397199
"Korea, Rep.",15.68372287,15.57613266,15.04248275,14.529764,14.71785737,15.36534086,16.99191116,17.8747778,19.35926667,21.30651916,24.3474328,27.77252181,30.78017401,32.76300531,31.96095076,31.02416943,29.04203801,27.98579129,27.56163573,25.70773764,24.78163214
Kuwait,13.07189542,12.12121212,11.15107914,10.87420043,10.60402685,11.80555556,13.28976035,14.30232558,14.43250817,16,19.7935368,19.89625787,23.06684142,27.45039976,30.59620596,31.75438596,30.63421484,28.47711268,26.26430801,25.12901945,25.15267176
Kyrgyzstan,20.29902243,19.4108364,16.4825046,14.69673406,15.85160202,16.18181818,17.71837972,15.57438325,13.85980883,13.89978214,15.35822402,18.53695902,19.8233916,20.73191489,21.26035407,22.46785826,25.01910439,26.67963489,27.27005151,26.68997669,26.40604563
Laos,15.18607443,15.29910005,15.34839925,15.16547968,14.82169391,14.23884514,14.1180105,13.10175055,12.14931051,12.12310252,12.55090707,13.6928049,14.80733375,15.80594679,16.74728723,18.03675048,20.01581385,22.22695791,24.39493671,24.95402188,25.02326447
Latvia,23.19138019,24.06947891,23.86792453,22.55075022,23.61169987,23.97232397,26.49164678,26.54010074,25.14092446,25.15042118,25.72754112,26.64919179,27.52007136,27.82331512,27.74163569,28.38095238,30.81054688,30.43696635,28.21833162,25.35582499,22.35421166
Lebanon,17.67151767,17.24565757,15.3968254,14.8419606,14.77086743,14.97443389,15.58348294,14.87889273,14.26168853,16.16045845,18.36734694,20.11761823,22.39473065,24.28281003,25.61587094,26.82154171,27.54786905,28.13511327,28.53712227,27.48258706,26.2718601
Lesotho,15.14324693,15.41401274,15.00586166,14.54545455,13.77303589,13.47826087,13.05019305,12.88135593,12.60923845,12.31126597,12.6059322,12.5250501,11.36690647,10.47531149,10.81441923,12.43500867,14.66101695,16.77768526,18.36818368,19.20583468,19.76697469
Liberia,14.70230863,14.80263158,14.46124764,14.04220779,13.64590623,13.51681957,13.09586171,12.72563177,12.43068392,12.12121212,12.64164306,13.26530612,13.75274323,13.84483498,14.26123382,14.95646235,15.96599691,17.40296401,18.76462939,20.11841469,21.48190045
Libya,13.9941691,13.23268206,13.3432172,13.68680641,12.8320802,12.2515213,12.42661448,12.07792208,12.53150057,13.48779479,14.90276739,16.29517055,18.10819071,20.60631461,23.3406936,26.62082515,27.60685768,26.95514988,25.93194625,24.84296482,25.56268459
Lithuania,22.86716011,22.61497529,20.83483267,20.2020202,20.85323145,22.44774311,24.78757691,24.64749013,23.52623039,23.26350606,24.43555302,26.55152225,28.2728949,29.0394402,28.0156914,27.47989276,28.5665177,29.25362575,29.01459854,26.99548193,24.3316544
Luxembourg,27.45762712,28.94736842,27.15654952,25.1497006,24.92581602,24.44444444,25.27472527,25.54347826,25.45931759,25.49019608,26.43678161,28.4164859,29.87804878,30.30888031,29.37956204,27.83505155,26.71009772,26.42967543,26.51851852,26.42045455,26.08695652
"Macao, China",18.94736842,20.11173184,19.07514451,17.30769231,16.8627451,17.39130435,16.60079051,14.42622951,16.12903226,21.0653753,27.8280543,33.05954825,34.8540146,36.20386643,33.95904437,32.22591362,31.91489362,30.50570962,29.03752039,26.45590682,23.23232323
"Macedonia, FYR",15.62245728,16.46971935,15.79325197,16.26180837,17.7480916,19.0816935,20.74735081,21.34646962,21.93717277,23.05343511,24.44001991,26.03143418,27.33953944,27.70435634,28.29912023,29.08288377,29.69757065,30.19153226,29.34224049,27.64056752,25.74044157
