Physicians per 1000 people,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,2.601900101,3.088399887,2.769399881,3.060800076,2.928499937,3.038599968,3.147099972,3.249599934,3.323499918,3.368700027,3.37409997,3.412400007,3.349499941,3.118400097,3.096400023,3.208,3.293,3.058,3.01,2.875,2.823,2.679,2.6,2.6,2.5,,2.39,2.301,,,,
Lao,0.02021129988,,,,,0.04111842066,,,,,0.06599999964,,,,,,0.05090000108,,,,,,,,,0.7287999988,,,,,0.2343000025,,,,,,0.586,,,,,,,,0.35,0.272,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,3.622999907,,,,,4.099100113,4.0770998,4.111800194,4.183300018,4.162000179,4.1177001,4.046299934,3.601700068,3.197499991,3.060199976,2.976,2.994,2.96,3.061,3.177,3.204,2.914,,3.008,,,3.14,3.039,,2.988,,
Lebanon,0.7777811885,,,,,0.9376946092,,,,,0.726000011,,,,,,,,,1.692600012,,1.714300036,,1.255300045,,,,,,1.862400055,,1.325899959,,1.862200022,,,,2.1,,,,3.253,,,,2.36,3.254,,,3.54,,
Lesotho,0.04171364009,,,,,0.0482897386,,,,,0.03180000186,,,,,0.03189999983,,,,,,,,,,0.07100000232,,,,,0.0430000015,,,0.0504000001,,0.054,,,,,,,,0.05,,,,,,,,
Liberia,0.07699711621,,,,,0.08033473045,,,,,0.07940000296,,,,,0.07959999889,,,,,,0.1058000028,,0.1067000031,,,,,,,,,,,,,,0.023,,,,,,,0.03,,,,0.014,,,
Libya,0.1519644111,,,,,0.2587800324,,,,,0.3680999875,,,,,,,,,,1.333199978,1.632699966,1.562399983,1.439700007,,,,,,,1.07099998,,,1.440799952,,,,1.29,,,,,,,1.25,,,,,1.9,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,3.720099926,3.816499949,3.885099888,3.941200018,3.976599932,4.02699995,3.904900074,3.927999973,3.977600098,4.091100216,4.061,4.099,4.128,4.12,4.151,4.01,4.027,,3.973,,,3.95,4.034,3.664,,,
Luxembourg,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.5,1.6,1.7,1.5,1.7,1.7,1.7,1.8,1.9,1.8,1.9,2,2,2,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.73,2.852,,2.862,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,0.8902000189,0.918900013,0.9534999728,1.012300014,1.025400043,1.120800018,1.113899946,1.158100009,1.238100052,1.310799956,1.343600035,1.466099977,1.494799972,1.67869997,1.671300054,1.808500051,1.901100039,1.951900005,2.032900095,2.139699936,2.167700052,2.342400074,2.371000052,2.342900038,2.315099955,2.297,2.251,2.249,2.246,2.211,2.201,2.191,,,,,2.5463,,,,,
Madagascar,0.1145891473,,,,,0.09296605736,,,,,0.0971999988,,,,,0.09629999846,,,,,,0.09939999878,,,,0.1009000018,,,,,0.1196999997,,,,,0.272,0.107,,,,,0.087,0.14,,0.29,,,0.161,,,,
Malawi,0.02748654038,,,,,0.02113207616,,,,,0.0131000001,,,,,,,,,,,0.01850000024,,,0.08739999682,,,,,0.02260000072,0.0219000001,,,0.0277999993,,,,,,,,,,0.011,0.02,,,,0.019,,,
Malaysia,0.1428746879,,,,,0.1612292081,,,,,0.2319999933,,,,,0.2335000038,,,,,0.2552999854,0.2551999986,,,,0.3149999976,0.3346000016,0.3483999968,0.3666000068,0.3738000095,0.391900003,0.3928000033,0.4113999903,0.4309999943,0.4492000043,0.478,0.496,0.658,,0.683,0.702,,0.71,,,,,,0.941,,,
Maldives,,,,,,,,,,,0.03310000151,,,,,,,,,,,0.04910000041,0.06549999863,,,,,,,0.07240000367,0.0697999969,,,0.1914000064,,0.4,,,,,0.777,,,,0.92,,,1.595,,,,
Mali,0.01448275894,,,,,0.01941544935,,,,,0.02270000055,,,,,0.02339999937,,,,,0.03929999843,0.03849999979,,,,0.03940000013,,0.04250000045,0.05440000072,,0.0513999984,,,,0.0469999984,0.043,0.063,,,,0.044,,,,0.08,,,0.074,0.049,,,
Malta,0.8905774951,,,,,,,,,,1.07190001,1.026100039,,,,1.276299953,,,,,,1.171900034,1.266100049,,1.379500031,,,2.031899929,2.015000105,1.973199964,2.259200096,2.446199894,2.421799898,2.452526093,,,,2.465,2.607,2.591,2.654,2.926,,3.183,,,3.88,3.351,,3.073,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422,,,,0.47,,,,,,,,0.559,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0.02421796136,,,,,0.02737226337,,,,,0.05570000038,,,,,0.05539999902,,0.06880000234,,,,,,,0.08250000328,0.1133000031,,,,,0.0627000034,,,0.0634000003,,0.138,,,,,,,,,0.11,,,,,0.13,,
Mauritius,0.2151515186,,,,,0.2549800873,,,,,0.2397000045,,,,,0.2354000062,,,,,0.5206999779,0.5515000224,,,,0.5285000205,,,,0.8579999804,0.8108000159,0.8350999951,0.8474000096,0.8440999985,0.8454999924,0.85,,,,,,,,,1.06,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1,1.3,1.4,1.5,1.6,1.6,1.4,1.2,1.7,1.98,1.5,1.5,1.5,2.893,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4508000016,,,,,,0.573,0.598,,,0.55,,0.564,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,2.815599918,2.895299911,3.006900072,3.08920002,3.193200111,3.296700001,3.370300055,3.443599939,3.520400047,3.573400021,3.550199986,3.484100103,3.509599924,3.555399895,3.56430006,3.513,3.562,3.582,3.631,3.245,3.18,2.694,,2.636,,,2.66,2.668,,,,
Monaco,,,,,,,,,,,2.400000095,1.958299994,2.208300114,2.25,2.375,2.359999895,2.416699886,2.400000095,2.319999933,2.359999895,2.384599924,2.230799913,2.185199976,,,,,,,2.85710001,,,3,,,5.81,,,,,,,,,,,,,,,,
Mongolia,0.9103232622,,,,,1.377513766,,,,,1.729300022,,,,,,,,,,,,,,,,,,,,2.538399935,2.694900036,2.618000031,,,,,,2.433,2.54,,,2.63,,,,,,2.763,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.986,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0.1063134372,,,,,0.08248893172,,,,,0.07639999688,,,,,0.07630000263,,,,,,0.05389999971,0.0644999966,,,,,0.2171999961,0.2143000066,,,,,0.2143999934,0.3628000021,,,0.46,,,,0.483,,,0.51,,,0.564,,0.62,,
Mozambique,0.04302372411,,,,,0.05600863695,,,,,0.05299999937,,,,,,,,,,0.02549999952,0.0270000007,0.02639999986,,,0.0206000004,,,,0.02759999968,0.0121790003,,,,,,,,,,0.024,,,,0.03,,0.027,,,,,
Myanmar,0.06481481344,,,,,0.08494143933,,,,,0.1143999994,,,,,,,,,,,0.202700004,,,,0.2698999941,,,,0.08139999956,0.0784000009,,,,,0.293,,,,0.297,0.302,,,,0.36,,,,0.457,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2313999981,0.2316000015,,,,,0.295,,,,,,,0.3,,,0.374,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.01300945226,,,,,0.0207599625,,,,,0.01860000007,,,,,0.01899999939,,,,,0.03350000083,,,,0.03139999881,0.03409999982,,0.05099999905,0.05079999939,0.05370000005,0.0507000014,0.0621000007,0.0756999999,0.0737000033,,0.04,0.04,0.04,0.04,,,0.052,,,0.21,,,,,,,
Netherlands,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,2,2,2.1,2.2,2.2,2.3,2.4,2.4,2.4,2.5,2.6,,,,,,,2.9,3.1,3.2,3.3,3.1,3.1,,3.71,,3.921,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,0.6534000039,,,,,,,,,,,,,,,,1.982,,,,,,,,,,,,
New Zealand,,1.1,,,,,1.1,,,,,1.1,,1.2,,,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2.2,2.2,2.2,2.2,2.2,2.13,2.2,,,,2.384,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0.339818418,,,,,0.3781094551,,,,,0.4526999891,,,,,0.4596000016,,,,,0.4156000018,0.4255000055,,,0.6369000077,,,,0.4713000059,,0.6571000218,,,,,0.82,,0.856,,,,,,0.37,,,,,,,,
Niger,0.0109993713,,,,,0.01573716104,,,,,0.01659999974,,,,,0.01640000008,,,,,,,,,0.0251000002,,,,,,0.0184000004,,0.0272000004,,0.0225000009,,0.024,0.035,0.033,,,,0.033,,0.02,,,,0.019,,,
Nigeria,0.01714803651,,,,,0.042609483,,,,,0.05040000007,,,,,0.04949999973,,,,,0.112999998,,0.1490000039,,,0.1923999935,0.1867000014,,,0.1920000017,,,0.1850000024,0.1920000017,,,,,,,0.269,,,0.28,,,,,0.395,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445,,,,,,,,,,,,
Norway,1.2,,1.2,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.2,2.2,2.3,2.5,,,,2.6,2.6,2.6,2.7,2.8,2.8,2.5,2.7,2.8,2.9,3,3.1,3.1,,,3.77,3.889,4.076,,,
Oman,0.03046594933,,,,,0.03803486377,,,,,0.1079000011,,,,,0.1074000001,,,,,0.4668000042,,0.5490999818,,,0.5232999921,,0.8335000277,,0.8830999732,0.6108999848,,,0.8841999769,,,,1.3,1.33,,,,1.257,,1.319,1.67,,1.84,1.901,,,
Pakistan,0.18529585,,,,,,,,,,0.2319999933,,,,,0.2326000035,,,,,0.2851999998,0.3436999917,0.3422999978,,,,0.3513999879,,,,0.461800009,0.4796999991,0.503099978,0.5181000233,0.5953999758,,,0.57,,,,0.662,,,0.739,0.8,,0.777,,0.813,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111,,1.58,,,,,,1.3,,,,,
Panama,0.356127888,,,,,0.4781273901,,,,,0.613499999,,,,,0.5965999961,,,,,,0.9929999709,,,1.020799994,1.006000042,,,1.793300033,,1.639999986,,,1.779399991,,1.668,1.17,,,,1.5,,,,,,,,,,,
Papua New Guinea,,,,,,0.07914339006,,,,,0.08590000123,,,0.0560999997,,0.08540000021,,,,,0.06219999865,0.06219999865,,,,0.1622000039,,,,,0.0727000013,,,,,,,,0.073,,0.05,,,,,,,,0.053,,,
Paraguay,0.5336590409,,,,,0.5329168439,,,,,0.4352999926,,,,,0.4388999939,,,,0.5631999969,,0.5785999894,,,0.700600028,0.6750000119,,,0.6396999955,,0.6499999762,0.8126999736,,,0.280099988,0.73,,1.098,,,1.17,,1.11,,,,,,,,,
Peru,0.509616375,,,,,0.6045172811,,,,,0.5206999779,,,,,0.5263000131,,,,0.6917999983,0.7157999873,0.7601000071,0.8463000059,0.9017000198,0.9075000286,0.9286000133,0.9840999842,0.9833999872,0.965200007,1.034800053,1.064499974,,1.029999971,,,0.98,,0.932,,1.17,,,,,,,,,,0.92,,
Philippines,0.1459619254,,,,,,,,,,0.110799998,,,,,0.1127000004,,,,,0.1281999946,0.1499000043,,,0.1536000073,0.1536000073,,,,0.1242000014,0.1186999977,,0.1084000021,,,,1.23,1.24,,,0.585,,1.15,,1.153,,,,,,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.3,2.3,2.2,2.3,2.3,2.5,,1.97,2.012,,2.144,,,
Portugal,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.5,1.7,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,3,3,3.1,3.1,3.2,3.2,3.3,3.3,,3.44,,,,3.755,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,0.5134999752,,,,,,,,,,,0.7379000187,,,,,1.675600052,,,,1.5,,,,,,1.26,1.26,,,,2.217,,,,2.64,2.757,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,1.269249558,,,,,1.315814376,,,,,1.184999943,1.207599998,,1.2421,,1.318099976,1.332100034,1.355200052,1.376999974,1.413499951,1.475700021,1.540799975,1.634699941,1.97239995,1.723899961,1.762400031,1.783499956,1.789800048,1.805199981,1.811499953,1.801800013,1.815899968,1.86590004,1.769500017,1.764799953,1.768,1.81,1.791,1.836,1.909,1.889,1.887,,1.905,,,1.9166,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,3.870899916,3.938999891,4.004199982,4.039700031,4.085199833,4.070400238,4.045599937,3.871700048,3.972300053,3.835099936,3.859,4.096,4.155,4.209,4.194,4.213,4.172,4,4.252,4,4,4.3089,,,,,
Rwanda,0.007658643182,,,,,0.01382343657,,,,,0.01659999974,,,,,0.01669999957,,,,,0.03180000186,0.03089999966,,0.02869999968,,0.02690000087,,,,0.0401000008,,,,0.0401000008,,,,,,,,,0.019,,0.05,0.024,,,,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,0.2352941185,,,,,,,,,,0.3118000031,,,,,,,,,,0.3603999913,,,,0.4580000043,,,,,,0.8999999762,,,,,1.07,,1.186,,,1.0952,,,,,,,,,,,
St. Lucia,0.1388246119,,,,,,,,,,0.1873999983,,,,,,,,,,,,,,0.284799993,,,,,,0.349999994,0.3932999969,,0.5440000296,,0.56,,0.473,,5.17,,,0.473,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,0.1000000015,,,,,,,,,,0.1817999929,,,,,,,,,,,,,,0.2662999928,,,,,,0.4600000083,0.1345999986,,,,0.46,,0.871,,,0.7542,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,0.4414414465,,,,,,,,,,0.3501000106,,,,,,,,,,0.3612999916,0.4043000042,,,,,0.2795000076,,,0.2073999941,,,0.3646999896,,,,0.344,,0.33,0.702,,,,0.28,,0.27,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,2.059999943,2.217999935,2.180999994,2.246999979,2.165999889,2.286999941,2.398999929,2.519000053,2.538000107,2.423000097,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0.2996845543,,,,,,,,,,0.2328999937,,,,,,,,,,0.4381999969,0.4187000096,,0.5370000005,,,,,,0.5457999706,0.5303999782,,0.3278999925,,,,0.467,,,,,,,,0.49,,,,,,,
Saudi Arabia,0.06110429391,,,,,0.1064051837,,,,,0.1340000033,,,,,,,,,,,0.5496000051,,,,,1.345600009,,,,1.433400035,,,1.335100055,,,,1.66,,,,1.397,,,1.37,,,1.622,0.939,,,
Senegal,0.04392845929,,,,,0.05129619315,,,,,0.06329999864,,,,,0.06140000001,,,,,,0.07880000025,0.07660000026,,,,,,,,0.0549000017,,0.0675999969,,0.0956000015,0.075,0.093,0.093,0.095,,,,,,0.06,,,,0.059,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.035,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,0.3117505908,,,,,,,,,,0.2239000052,,,,,0.2180999964,,,,,,,,0.4068000019,,0.4451000094,,,,,,,,1.027400017,,,1.324,,,,,,,,1.51,,,,,,,
Sierra Leone,0.04730031267,,,,,0.05928365514,,,,,0.0560999997,,,,,0.05389999971,,,,,0.05779999867,0.05270000175,,,0.0746999979,,,,,,,,,,,,0.073,,,,,,,,0.03,,,,0.016,,,
Singapore,0.4204131365,,,,,0.5262321234,,,,,0.6568999887,,,,,0.6668000221,,,,,0.8508999944,0.8768000007,,,,0.9981999993,0.72299999,,1.110999942,,1.265799999,1.320299983,1.347800016,1.384799957,1.410599947,,,,1.627,1.348,,1.4,,1.5,,,,,,1.833,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.1,3.1,3.1,3.12,,,3,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,1.771000028,,1.842599988,,1.861099958,1.879199982,1.882099986,2.004400015,2.023600101,2.063199997,1.990100026,2.07859993,2.090699911,2.030299902,2.189500094,2.121,2.135,2.147,2.178,2.135,2.17,2.194,2.253,,,2.4,2.424,,2.473,,,
Solomon Islands,0.1864406765,,,,,,,,,,0.2049999982,,,,,,,,,,,,,,,,0.1351999938,,,0.1519999951,,,0.1569000036,,,0.14,,,,0.127,,,,0.13,,0.186,,,,,,
Somalia,0.02375886589,,,,,0.02710368671,,,,,0.03669999912,,,,,0.03799999878,,,,,0.04610000178,0.04100000113,,,0.07140000165,,,,,,,,,0.0421999991,,,,0.04,,,,,,,,,0.035,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,0.4879487753,,,,,,,,,,0.5386000276,,,0.5511999726,,,,,,,,,0.6126000285,,,,,0.6243000031,,,,0.593,,,,,0.692,,,0.77,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.8,2.9,2.8,2.9,3.2,3.1,2.9,3.3,,,,3.757,,3.705,,
Sri Lanka,0.2225705385,,,,,0.1718917936,,,,,0.1694000065,,,,,0.1694999933,,,,,0.1394000053,0.1338,0.1340000033,,,0.1812999994,0.1376000047,,,0.1460999995,,,,0.1460999995,0.2302999943,,,,,0.365,0.428,,,,0.55,,0.492,,,,,
Sudan,0.02951770276,,,,,0.04119028896,,,,,0.06830000132,,,,,0.06849999726,,,,,0.1098999977,0.1008000001,,,0.09619999677,,0.08990000188,,,,,,,,0.1048000008,,0.09,,,,0.158,,,,0.22,,0.3,,0.28,,,
Suriname,0.5103448033,,,,,,,,,,0.4650999904,,,,,,,,,,,,,,0.790899992,,,,,,0.75,,,0.7620000243,,0.75,0.252,,,,0.45,,,,,,,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0.1042944789,,,,,,,,,,0.1240999997,,,,,,,,,,,,,0.05319999903,,,,,,,0.1077999994,,,,,,0.151,,,,0.176,,,,0.16,,,,,,,
Sweden,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2,2,2.2,2.3,2.3,2.4,2.6,2.6,2.8,2.8,2.8,2.8,2.9,,2.7,2.7,2.8,2.9,2.9,2.9,3,3,3.1,3.2,3.3,,3.28,,3.583,,,,,
Switzerland,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2,2.1,2.2,2.4,2.5,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3,2.9,3,3,3,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.6,,,,3.97,,,4.07,,
Syria,0.2159614116,,,,,0.1851643175,,,,,0.2594000101,,,,,0.2563999891,,,,,0.4458000064,0.4629999995,,,,,0.8065999746,0.7833999991,,0.8629999757,0.834800005,,,,,,,1.1,1.44,1.3,,1.399,,,,,0.53,,1.5,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,2.527400017,2.555900097,2.582299948,2.697099924,2.678200006,2.550899983,2.419199944,2.265700102,2.176700115,2.254100084,2.136,2.086,2.023,2.086,2.102,2.13,2.18,,2.033,,,2.0128,,,,,
Tanzania,0.05487506092,0.03953936324,,,,0.04532722011,,,,,0.04369999841,,,,,0.04430000111,,,,,,,,,0.03889999911,0.03539999947,,0.03880000114,,,,,,,0.0419000015,0.041,,,,,,,0.02,,,,0.008,,,,,
Thailand,0.1289027035,,,,,0.139682129,,,,,0.1207000017,,,,,0.119099997,,,,,0.1469999999,0.1455000043,,0.1595000029,0.1599999964,0.1691000015,0.1821999997,0.181400001,0.2097000033,0.2328000069,0.2252999991,0.2266000062,0.2337000072,0.233099997,,0.24,0.365,,,0.301,0.37,,0.305,,0.298,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
Togo,0.02099737525,,,,,0.04276114702,,,,,0.03480000049,,,,,0.03489999846,,,,,0.05519999936,0.0485999994,,,0.117399998,,0.08529999852,,,,,0.0878000036,,,0.056400001,0.076,,,,,,0.057,,,0.04,,,,0.053,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,0.375,,,,,,,,,,0.2558000088,,,,,,,,,,0.3616999984,0.6021999717,0.5995000005,,,,,,,0.4921000004,,0.5083000064,,,,,,0.44,,,0.499,0.343,0.2912,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0.4175563455,,,,,0.2622767985,,,,,0.4449000061,,,,,0.4535999894,,,,,0.7264000177,0.6729999781,,,1.043300033,,,,,,0.7200000286,0.7315999866,,0.6577000022,0.7879999876,0.79,,0.79,,,,,,,,,,1.175,,,,
Tunisia,0.09973939508,,,,,0.1250540018,,,,,0.1685000062,,,,,0.1694999933,,,,,0.2707000077,0.2745999992,,,,,0.4609000087,,,,0.5282999873,0.5368999839,0.6453999877,0.6506000161,0.5673000216,0.663,,0.7,,,,,,,1.34,,,,,1.19,,
Turkey,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.3,1.56,,1.451,1.64,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,2.838799953,,,,,3.30430007,3.440000057,3.527400017,3.550199986,3.59980011,3.613699913,3.672800064,3.588700056,3.5697999,3.53489995,3.17,3.222,3.171,,,,,4.179,,,,2.49,2.438,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5454546,0.91,,,,,0.636,,,
Uganda,0.07375799865,,,,,0.09021995962,,,,,0.1084999964,,,,,0.1075000018,,,,,,0.04670000076,0.04580000043,,0.04410000145,,,,,0.04459999874,,,,0.0399999991,,,,,,,,,0.047,,0.08,0.117,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,3.514600039,3.630899906,3.740700006,3.820100069,3.909199953,4.001999855,4.060200214,4.143000126,4.200300217,4.274600029,4.289500237,4.345200062,4.297100067,4.341800213,4.314199925,4.407,2.992,2.97,2.99,2.986,2.978,2.974,,2.951,,,3.1254,,,,,
United Arab Emirates,,,,,,,,,,,0.9090999961,,,,,,,,,,1.068099976,,,,0.9531999826,,,,,,0.8274999857,,0.8399999738,,,,,1.81,,,,2.023,1.69,,,1.545,,1.93,,,,
United Kingdom,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,2.3,1.9,1.9,1.9,2,2.3,2.2,,,,,,2.739,,
United States,1.1,,,,,1.2,,,,,1.2,,,,,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,,2,2,2.1,2.1,2.2,2.56,2.2,2.3,,2.672,,,,,,,
Uruguay,1.06382978,,,,,1.136279225,,,,,1.093299985,,,,,1.111299992,,,,,,1.996600032,,,1.925699949,1.94749999,,,,,3.680000067,,3.226000071,,,3.56,3.703,,,3.745,,,3.65,,,,,4.181,3.736,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,2.669100046,,,,,2.694400072,3.254600048,3.319200039,3.363500118,3.38560009,3.387500048,3.424999952,3.321000099,3.337800026,3.295000076,3.239,3.171,3.115,3.085,2.975,2.946,2.885,,2.745,,2.65,,2.617,,,,
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
