Income share held by third 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Botswana,,,,,,,,,11.42,,,,,,,,9.76,9.64,,,,,,,,,,,,
Brazil,,,,10.59,10.39,10.17,10.2,10.12,10.43,10.19,9.65,8.99,9.72,,10.95,10.16,,10.15,10.18,10.17,10.16,10.33,,10.38,10.45,10.7,,11.36,,11.78
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,18.31,,,,,18.09,,,17.45,,,,17.11,,17.38,,,,
Burkina Faso,,,,,,,,,,,,,,,,,11.79,,,,12.78,,,,,14.71,,,,
Burundi,,,,,,,,,,,,,,,16.29,,,,,,15.13,,,,,,,,15.43,
Cambodia,,,,,,,,,,,,,,,,,14.44,,,,,,,,,,13.87,,,13.97223981
Cameroon,,,,,,,,,,,,,,,,,,,12.87,,,,,13.72,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,17.18002516,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,12.27,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,9.56,,,,,,,,,,14.29,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,15.03,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,10.8,,,11.37,,,,11.45,,11.45,,11.32,,11.37,,,11.45,,,12.17,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.66,,
Colombia,,,,,,,,,,,,,,,,,,11.03,11.52,,,11,11.24,,,10.63,,,10.98,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01,,
Costa Rica,,,,14.14,,,,,18.03,,,,14.61,,,14.33,,,14.12,,13.69,,14.06,13.15,,13.5,,13.85,,
Cote d'Ivoire,,,,,,,,14.91,,14.68,15.78,,,,,15.56,,15.58,,,14.01,,,,12.86,,,,,
Croatia,,,,,,,,,,,18.47,,,,,,,,,,17.9,17.57,,16.98,,,,17.47,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,18.76,,,,,17.05,,,17.53,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,18.20097509,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,16.24,,,,,,15.21,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,13.77,,,12.61,,,12.27,,,,13.33,,,,12.47,,,12.39,,12.92,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,13.42,,,,,,,12.91,,,,11.98,,,,,9.72,,12.12,,11.78
Egypt,,,,,,,,,,,,,,16.27,,,,,16.4,,,,15.83,,,,,16.05,,
El Salvador,,,,,,,,,,,,14.52,,,,,,13.25,12.63,,12.38,,13.07,,13.03,13.81,,13.59,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,18.92,,,,,15.15,,17.6,,,15.54,,15.97,,16.01,,16.16,,,
Ethiopia,,,,,16.36,,,,,,,,,,,,,14.45,,,,,16.72,,,,,16.78,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,17.4740836,,,,,,,
France,,,,,,,,,,,,,,,,,,17.19,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.64,,
Gambia,,,,,,,,,,,,,,,,,,,,,12.43,,,,,13.24,,,,
Georgia,,,,,,,,,,,,,,,,,,,16.27,,,16.03,,,15.43,,,15.42,,
Germany,,,,,,,,,,,,,,,,,,,,,,,17.78919117,,,,,,,
Ghana,,,,,,,,,,,16.29,16.03,,,15.4,,,,,,15.09,,,,,,,,14.73,
Greece,,,,,,,,,,,,,,,,,,,,,,,16.83931455,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,10.75,,10.52,,,,,,,,,11.51,,11.61,,11.78,,,,11.98,
Guinea,,,,,,,,,,,,,,14.71,,,14.81,,,,,,,,,14.11,,,,
Guinea-Bissau,,,,,,,,,,,,,,12.02,,13.11,,,,,,,,,16.03,,,,,
Guyana,,,,,,,,,,,,,,,,12.39,,,,,14.69,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,10.48,,,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,10.92,,11.78,,11.53,,,12.34,,12.85,,,,11.7,,11.49,12.05,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,13.8545702,,,,,,,,,,,
Hungary,,,,,,,,,,18.51,,17.74,,,,17.09,,,,,18.12,17.34,,,17.65,,17.14,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38157555,,
Iran,,,,,,,,,13.48,,,,14.46,,,,14.46,,,,14.29,,,,,,,15.58,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,16.31364087,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,15.85691511,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,16.7547554,,,,,,,
Jamaica,,,,,,,,,,,14.5,,14.54,,,16.36,,,14.81,,,14.13,,,13.1,,13.75,,,
Japan,,,,,,,,,,,,,,,,17.58,,,,,,,,,,,,,,
Jordan,,,,,,,,,,15.77,,,,,14.03,,,,,15.54,,,,,,15.23,,,15.2,
Kazakhstan,,,,,,,,,,,18.14,,,,,16.91,,,16.54,,,,,17.04,16.31,16.58,,,,
Kenya,,,,,,,,,,,,,,,10.73,,14.75,,,14.27,,,,,,,,13.32,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,17.95411028,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,17.28,,,,,12.51,,,,,15.81,16.24,,,16.58,,16.24,,,
Laos,,,,,,,,,,,,,,,16.43,,,,,15.66,,,,,16.13,16.18,,,,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,18.71,,,,,17.59,,,17.28,,16.73,,,,16.1,,16.27,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,11.25,,,,,,10.19,,9,,,,,,,,12.52,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,18.62,,,,,16.26,,,16.84,,17.36,,,,16.91,,16.27,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,17.10023339,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,17.97,,16.86,,15.68,15.58,,,,
Madagascar,,,13.35,,,,,,,,,,,,,13.61,,,,,,14.51,,12.86,,,,13.06,,
Malawi,,,,,,,,,,,,,,,,,,,,,12.32,,,,,,14.89,,,
Malaysia,,,,,,,13.07,,,13.42,,13.57,,,13.31,,,13.13,,13.03,,,,,,,15.78,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,12.1,,,,,,,14.95,,,,,15.18,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,15,,,,,,12.21,,,15.96,,,,15.35,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,13.62,,,,,11.62,,,12.58,,12.26,,13.26,,13.28,,12.4,,12.88,,14.09,,13.2,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,18.37,,,,16.75,,,,,16.09,,15.86,,,15.73,,15.96,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,16.75,,,17.7,,,,16.84,,,16.97,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,15.07,,,,,,14.99,,,,,,,,15.13,,14.73,,,,,,14.54
Mozambique,,,,,,,,,,,,,,,,,,,,13.86,,,,,,13.06,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,5.46,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,14.97,,,,,,,,12.45,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,17.23542687,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,15.81119766,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,11.44,,,,,12.09,,,12.61,,,,12.26,,
Niger,,,,,,,,,,,,,,,15.67,,14.59,,,,,,,,,,,13.91,,
Nigeria,,,,,,,,,15.52,,,,,,,14.57,,,13.56,,,,,,,,14.68,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,17.24122092,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,16.07,,,,16.3,,16.29,,,,16.65,,15.89,,,16.39,,,16.33,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,13.13,,,,,,,,,,,,11.45,,,,11.34,11.53,13.87,,,11.57,,11.27,,11.7,,12.11,
Papua New Guinea,,,,,,,,,,,,,,,,,,,12.06,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,15.44,,,,,10.74,,,11.73,11.62,,,11.27,,,12.19,,12.21
Peru,,,,,,,,,13.89,,,,14.08,,,,14.12,,14.07,,,,,,11.84,,,12.31,13.15,
Philippines,,,,,,,,14.42,,,14.43,,,13.67,,,13.96,,,13.2,,,13.17,,,13.68,,,13.68,
Poland,,,,,,,,18.1,,18.03,,17.89,,,,17.87,,,16.4,,,16.52,,,16.34,,,16.2,,
Portugal,,,,,,,,,,,,,,,,,,,,15.45136584,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,18.72,,,18.44,,17.64,,,,17.31,,17.4,,17.14,,,16.84,,
Russia,,,,,,,,,,,18.54,,,,,13.33,,,14.11,,,16.09,,,16.34,,,15.89,,
Rwanda,,,,,,,,16.65,,,,,,,,,,,,,,,13.29,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,14.81,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,11.6,,,,14.38,,,,,,14.33,,,,15.32,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,9.77,,,,,,,,,,,,,14.04,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,14.55071067,,,,,,,,,
Slovak Republic,,,,,,,,,,,18.68,,,,18.92,,,,18.6,,,,,,,,,,,
Slovenia,,,,,,,,,,18.22,,,,,,16.94,,,,,17.51,,,,17.47,,17,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,9.3,,10.15,,,,,9.88,,,,,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,16.42923843,,,,,,,
Sri Lanka,,,,,,,,16.4,,,,,,16.1,,,,,15.43,,,,,,14.42,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,12.59,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,9.96,,,,,,12.34,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,17.57015533,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,16.28867297,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,17.02,,,,16.59,16.41,,,
Tanzania,,,,,,,,,,,,,,,16.55,,,,,,,,16.28,,,,,,,
Thailand,,,,13.5,,,,,,,13.53,,,,12.95,,,,14,,,13.65,,,14.3,,14.22,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,14.78,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.09,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,14.91,,,,15.53,,,,,,,,,,,,,,,
Tunisia,,,,,,,,14.25,,,,,15.27,,,,,14.88,,,,,14.94,,,,,,,
Turkey,,,,,,,,,,13.98,,,,,,,14.81,,,,,,,,14.47,,,14.62,,
Turkmenistan,,,,,,,,,,,17.17,,,,,16.25,,,,,14.87,,,,,,,,,
Uganda,,,,,,,,,,,,14.25,,,14.41,,,,15.31,,,14.15,,,13.3,,,14.12,,
Ukraine,,,,,,,,,,,18.47,,,,18.06,,,,16.26,,,17.41,,,17.58,,,17.57,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,15.96337874,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,15.66047165,,,,,,,
Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,15.04,,,,14.69,,14.43,,14.35,14.41,,,,14.33,13.97,
Uzbekistan,,,,,,,,,,,17.21,,,,,,,,,,14.8,,,,15.97,15.67,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,11.18,,,,,,11.64,,14.56,,,,14.97,,,13.6,,13.95,,,,,14.12,,14.05,14.77,
Vietnam,,,,,,,,,,,,,,,,15.44,,,,,15.4,,,,14.94,,14.58,,15.15,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,15.37,,,,,,16.7,,,,,,,15.27,,
Zambia,,,,,,,,,,,,,,10.78,,12.31,,,12.86,,12.12,,,,,14.37,12.81,,,
Zimbabwe,,,,,,,,,,,,,,,,,,12.18581575,,,,,,,,,,,,
