"10-14 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Botswana,52000,54000,57000,80000,94000,107000,125000,149000,180000,207000,218000,217000,214000,209000,225000,232000,234000,229000,223000,220000,220000
Brazil,6436000,6966000,8513000,10315000,11978000,13853000,14216000,15008000,16775000,18261000,17488000,16598000,17312000,17195000,15136000,13734000,13005000,12241000,11605000,11252000,10841000
Brunei,5000,6000,7000,13000,16000,19000,21000,25000,26000,28000,31000,34000,35000,33000,35000,35000,35000,37000,37000,38000,38000
Bulgaria,599000,591000,703000,686000,659000,617000,625000,656000,650000,555000,514000,403000,324000,329000,353000,346000,317000,284000,259000,255000,261000
Burkina Faso,470000,518000,535000,576000,670000,766000,873000,994000,1148000,1328000,1519000,1751000,2007000,2339000,2991000,3243000,3431000,3606000,3809000,4011000,4143000
Burundi,281000,306000,336000,415000,448000,482000,527000,576000,660000,808000,941000,974000,983000,1014000,1125000,1236000,1273000,1244000,1206000,1202000,1233000
Cambodia,517000,576000,645000,727000,830000,884000,887000,911000,920000,1601000,1725000,1862000,1688000,1533000,1636000,1781000,1864000,1821000,1726000,1674000,1680000
Cameroon,497000,543000,598000,685000,772000,909000,1079000,1279000,1525000,1808000,2034000,2227000,2332000,2637000,2936000,3069000,3103000,3129000,3190000,3263000,3302000
Canada,1125000,1372000,1744000,2044000,2336000,2353000,1970000,1841000,1878000,1997000,2052000,2135000,1937000,1861000,1923000,2029000,2155000,2237000,2257000,2262000,2305000
Cape Verde,20000,19000,16000,27000,40000,42000,43000,40000,47000,56000,62000,63000,62000,61000,57000,58000,59000,57000,54000,51000,48000
Central African Rep.,137000,145000,154000,175000,202000,231000,265000,304000,348000,405000,456000,493000,551000,591000,613000,638000,656000,668000,679000,679000,677000
Chad,260000,286000,312000,383000,428000,480000,535000,624000,757000,897000,1059000,1262000,1461000,1683000,1882000,2105000,2325000,2518000,2665000,2766000,2840000
Channel Islands,7000,8000,8000,8000,8000,10000,9000,8000,7000,8000,9000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000
Chile,619000,738000,831000,965000,1178000,1317000,1262000,1243000,1166000,1321000,1464000,1488000,1329000,1238000,1250000,1262000,1250000,1237000,1204000,1170000,1149000
China,52433000,54499000,67511000,90457000,86296000,107071000,127902000,121642000,96081000,102485000,123676000,106459000,94551000,86781000,87237000,91167000,89246000,81500000,75374000,73180000,73451000
Colombia,1356000,1575000,1996000,2444000,2811000,3254000,3557000,3493000,3829000,4029000,4209000,4394000,4399000,4405000,4465000,4413000,4366000,4286000,4180000,4058000,3918000
Comoros,18000,19000,19000,26000,30000,34000,41000,48000,58000,71000,68000,70000,75000,86000,97000,99000,96000,95000,97000,101000,102000
"Congo, Dem. Rep.",1444000,1638000,1852000,2076000,2418000,2814000,3287000,3815000,4530000,5633000,6571000,7716000,8877000,10154000,11032000,12126000,13088000,13701000,14006000,14132000,14184000
"Congo, Rep.",91000,100000,113000,132000,155000,186000,223000,265000,312000,352000,386000,423000,445000,500000,533000,551000,570000,576000,579000,581000,581000
Costa Rica,100000,116000,148000,199000,242000,288000,292000,280000,323000,376000,432000,428000,410000,399000,376000,394000,386000,383000,375000,369000,365000
Cote d'Ivoire,302000,337000,370000,452000,571000,733000,948000,1232000,1583000,1865000,2099000,2341000,2585000,2898000,3127000,3333000,3465000,3565000,3654000,3723000,3761000
Croatia,343000,292000,372000,370000,339000,314000,304000,305000,317000,320000,277000,258000,241000,208000,211000,213000,208000,199000,190000,183000,183000
Cuba,660000,708000,744000,853000,847000,1192000,1193000,1074000,741000,773000,854000,779000,707000,642000,567000,545000,526000,496000,462000,427000,400000
Cyprus,51000,52000,67000,65000,67000,60000,48000,50000,55000,61000,63000,64000,54000,50000,52000,55000,59000,60000,60000,59000,60000
Czech Rep.,558000,720000,881000,841000,714000,685000,688000,844000,869000,691000,649000,592000,447000,473000,552000,569000,541000,505000,475000,478000,509000
Denmark,315000,384000,417000,371000,368000,393000,390000,364000,317000,272000,304000,350000,345000,331000,322000,304000,304000,316000,323000,318000,308000
Djibouti,8000,9000,11000,14000,20000,28000,44000,51000,69000,77000,93000,101000,100000,103000,105000,109000,113000,116000,117000,116000,115000
Dominican Rep.,308000,353000,408000,505000,622000,723000,790000,829000,866000,936000,990000,1033000,1024000,1054000,1066000,1050000,1025000,998000,970000,939000,902000
Ecuador,374000,419000,492000,642000,739000,861000,995000,1122000,1251000,1340000,1378000,1390000,1433000,1406000,1356000,1328000,1313000,1282000,1241000,1191000,1142000
Egypt,2277000,2406000,3390000,3875000,4507000,4961000,5454000,5943000,7017000,8052000,9168000,8155000,8464000,9005000,9590000,9846000,9626000,9344000,9252000,9276000,9202000
El Salvador,270000,279000,321000,403000,483000,547000,592000,656000,671000,664000,681000,745000,730000,602000,581000,596000,601000,601000,565000,533000,508000
Equatorial Guinea,22000,23000,25000,30000,32000,33000,35000,32000,29000,45000,66000,76000,83000,90000,101000,115000,125000,129000,132000,136000,140000
Eritrea,139000,156000,176000,189000,222000,255000,273000,385000,466000,445000,497000,542000,593000,723000,837000,880000,876000,864000,877000,915000,952000
Estonia,102000,90000,84000,98000,102000,102000,99000,112000,112000,107000,109000,77000,62000,65000,78000,84000,81000,74000,65000,62000,66000
Ethiopia,2172000,2444000,2760000,2986000,3375000,3972000,4329000,4997000,5760000,6869000,8270000,9788000,10861000,11818000,13131000,14112000,14848000,15295000,15487000,15497000,15450000
Fiji,36000,43000,50000,62000,73000,78000,78000,78000,87000,91000,85000,89000,90000,86000,81000,78000,75000,72000,70000,66000,61000
Finland,327000,359000,492000,438000,402000,385000,351000,302000,325000,330000,317000,330000,300000,292000,301000,307000,308000,304000,296000,288000,287000
France,2822000,2735000,4058000,4107000,4155000,4334000,4229000,4225000,3737000,3887000,3839000,3691000,3736000,3974000,3965000,3794000,3727000,3676000,3677000,3737000,3768000
French Guiana,2000,2000,3000,4000,5000,7000,8000,9000,11000,15000,16000,22000,24000,27000,27000,28000,30000,32000,33000,33000,33000
French Polynesia,7000,8000,9000,12000,15000,17000,20000,21000,21000,24000,28000,23000,24000,23000,24000,24000,23000,23000,22000,21000,21000
Gabon,41000,41000,41000,47000,49000,57000,67000,84000,105000,128000,150000,173000,173000,175000,180000,188000,194000,195000,194000,192000,190000
Gambia,29000,33000,36000,35000,43000,54000,67000,83000,104000,125000,150000,183000,216000,243000,266000,286000,303000,318000,330000,339000,344000
Georgia,394000,277000,300000,403000,490000,506000,438000,437000,432000,406000,408000,349000,234000,220000,239000,232000,219000,197000,181000,175000,175000
Germany,6194000,5251000,4538000,5223000,5704000,6526000,6095000,4343000,4095000,4498000,4736000,4227000,3958000,3663000,3381000,3281000,3314000,3273000,3168000,3051000,2971000
Ghana,604000,713000,851000,906000,1044000,1239000,1398000,1656000,1891000,2154000,2412000,2646000,2815000,3009000,3252000,3473000,3604000,3708000,3776000,3867000,3965000
Greece,777000,642000,732000,717000,716000,711000,779000,716000,747000,698000,602000,547000,528000,525000,548000,524000,499000,480000,475000,483000,496000
Grenada,9000,9000,11000,12000,16000,15000,12000,12000,10000,12000,14000,11000,10000,9000,9000,10000,9000,8000,7000,6000,6000
Guadeloupe,22000,24000,34000,40000,42000,46000,42000,38000,33000,34000,36000,36000,34000,36000,34000,32000,31000,30000,29000,28000,27000
Guam,4000,6000,7000,9000,10000,11000,11000,12000,12000,13000,14000,16000,17000,17000,16000,16000,16000,16000,16000,16000,15000
Guatemala,370000,416000,521000,604000,666000,766000,873000,1012000,1167000,1315000,1425000,1624000,1799000,1991000,2131000,2236000,2292000,2304000,2278000,2223000,2147000
Guinea,269000,328000,346000,399000,448000,475000,542000,625000,743000,920000,1043000,1144000,1257000,1435000,1636000,1805000,1932000,2026000,2102000,2170000,2223000
Guinea-Bissau,54000,61000,63000,82000,66000,74000,74000,129000,124000,130000,147000,172000,198000,223000,250000,274000,296000,316000,333000,346000,359000
Guyana,43000,52000,69000,87000,102000,104000,106000,99000,92000,90000,74000,75000,83000,74000,61000,56000,54000,52000,48000,41000,35000
Haiti,380000,404000,415000,500000,566000,638000,684000,721000,847000,1043000,1097000,1139000,1185000,1193000,1225000,1247000,1265000,1268000,1249000,1222000,1191000
Honduras,170000,191000,232000,298000,346000,407000,481000,543000,637000,730000,802000,879000,906000,918000,947000,964000,962000,940000,905000,863000,816000
"Hong Kong, China",158000,146000,346000,444000,506000,531000,460000,438000,424000,435000,400000,440000,363000,236000,279000,334000,339000,337000,322000,311000,322000
Hungary,739000,767000,804000,917000,796000,642000,711000,786000,834000,663000,628000,593000,498000,481000,497000,492000,476000,460000,442000,430000,434000
Iceland,12000,14000,18000,20000,23000,23000,21000,21000,21000,21000,21000,23000,22000,22000,24000,24000,24000,23000,22000,21000,21000
India,41634000,42465000,47093000,60273000,66375000,72696000,79643000,87841000,98233000,107210000,114997000,122162000,123272000,124443000,122698000,121242000,117706000,112484000,106080000,100983000,99982000
Indonesia,9358000,9534000,9721000,11661000,14073000,15983000,17968000,19578000,20646000,21327000,20885000,20573000,20464000,20938000,20394000,19389000,18239000,17978000,17962000,17797000,17337000
Iran,1734000,2024000,2586000,3097000,3544000,4147000,4890000,5600000,7413000,8964000,8223000,7334000,5307000,5855000,6600000,6722000,6409000,5698000,5405000,5523000,5678000
Iraq,610000,695000,742000,1219000,1184000,1441000,1877000,2145000,2433000,2682000,3030000,3442000,4009000,4261000,4509000,4655000,4844000,5049000,5182000,5201000,5163000
Ireland,262000,278000,290000,284000,296000,318000,340000,350000,345000,333000,292000,274000,285000,324000,360000,363000,339000,320000,317000,333000,353000
Israel,109000,146000,229000,296000,300000,322000,362000,422000,454000,510000,542000,566000,635000,683000,705000,692000,679000,679000,689000,696000,689000
Italy,4170000,3784000,4236000,3903000,4079000,4551000,4602000,4377000,3609000,3010000,2797000,2833000,2772000,2912000,2961000,2736000,2518000,2450000,2468000,2540000,2607000
Jamaica,150000,162000,174000,189000,249000,300000,286000,286000,259000,271000,273000,293000,282000,252000,245000,240000,235000,223000,205000,188000,173000
Japan,8661000,9438000,11118000,9248000,7963000,8250000,8909000,10125000,8583000,7528000,6574000,6025000,5895000,5658000,5214000,4752000,4380000,4201000,4123000,4065000,3954000
Jordan,58000,84000,115000,132000,192000,241000,315000,376000,441000,544000,595000,663000,705000,711000,764000,771000,741000,719000,701000,683000,666000
Kazakhstan,990000,635000,893000,1282000,1609000,1716000,1509000,1581000,1597000,1556000,1606000,1389000,1087000,1176000,1458000,1432000,1322000,1184000,1109000,1119000,1154000
Kenya,654000,681000,918000,1202000,1451000,1751000,2122000,2623000,3184000,3794000,4282000,4415000,4874000,5673000,6622000,7072000,7223000,7363000,7641000,7966000,8168000
"Korea, Dem. Rep.",1528000,1468000,1367000,963000,1649000,1724000,2262000,2157000,1513000,1866000,1866000,2060000,1886000,1633000,1533000,1554000,1616000,1600000,1503000,1403000,1358000
"Korea, Rep.",2442000,2621000,2822000,3449000,4393000,4527000,4441000,4486000,3966000,3727000,3104000,3462000,3162000,2434000,2262000,2206000,2124000,2068000,1984000,1869000,1744000
Kuwait,15000,17000,22000,39000,75000,110000,153000,175000,217000,144000,178000,196000,218000,236000,263000,266000,262000,261000,268000,281000,294000
Kyrgyzstan,204000,133000,166000,272000,382000,430000,409000,444000,473000,527000,598000,586000,536000,498000,567000,573000,536000,484000,445000,445000,446000
Laos,188000,209000,245000,298000,323000,360000,402000,466000,511000,590000,693000,772000,823000,741000,784000,827000,868000,880000,857000,828000,816000
Latvia,181000,164000,145000,163000,174000,176000,164000,180000,174000,179000,191000,135000,96000,100000,112000,118000,115000,105000,91000,85000,90000
Lebanon,147000,149000,189000,255000,310000,344000,342000,340000,337000,364000,365000,392000,395000,334000,320000,328000,333000,331000,317000,298000,286000
Lesotho,83000,93000,107000,116000,130000,146000,165000,191000,215000,239000,254000,258000,266000,262000,262000,264000,263000,258000,251000,244000,237000
Liberia,95000,106000,118000,134000,181000,215000,241000,252000,268000,244000,351000,412000,509000,571000,629000,683000,723000,751000,773000,790000,803000
Libya,119000,133000,157000,187000,234000,286000,389000,515000,600000,698000,586000,544000,590000,663000,718000,724000,674000,604000,563000,575000,614000
Lithuania,247000,226000,229000,248000,283000,295000,273000,277000,263000,270000,276000,236000,176000,143000,147000,153000,153000,149000,137000,123000,120000
Luxembourg,20000,20000,20000,24000,25000,26000,26000,21000,21000,23000,26000,29000,31000,29000,30000,31000,34000,37000,39000,40000,40000
"Macao, China",16000,13000,23000,31000,41000,30000,21000,22000,23000,34000,41000,35000,26000,20000,23000,25000,25000,24000,21000,19000,20000
"Macedonia, FYR",129000,131000,157000,169000,169000,167000,171000,160000,167000,168000,160000,153000,133000,117000,108000,109000,108000,104000,98000,92000,89000
Madagascar,444000,463000,526000,692000,799000,918000,1063000,1259000,1447000,1518000,1888000,2249000,2581000,2805000,3032000,3248000,3430000,3570000,3672000,3745000,3793000
Malawi,345000,389000,442000,471000,547000,646000,773000,901000,1222000,1252000,1412000,1775000,2127000,2378000,2606000,2882000,3156000,3357000,3473000,3549000,3625000
Malaysia,727000,738000,949000,1207000,1418000,1583000,1694000,1829000,1976000,2324000,2492000,2646000,2660000,2732000,2722000,2716000,2664000,2561000,2450000,2450000,2452000
Maldives,8000,8000,9000,14000,15000,16000,18000,22000,27000,35000,39000,38000,31000,26000,28000,30000,31000,30000,28000,26000,26000
Mali,484000,539000,568000,602000,707000,785000,883000,973000,1058000,1230000,1388000,1530000,1664000,1872000,2137000,2336000,2465000,2559000,2624000,2713000,2809000
Malta,32000,31000,31000,35000,32000,27000,23000,27000,29000,29000,28000,26000,24000,20000,19000,20000,20000,20000,19000,18000,17000
Martinique,24000,25000,32000,41000,41000,47000,41000,35000,29000,30000,30000,31000,28000,28000,25000,24000,24000,23000,22000,21000,20000
Mauritania,79000,89000,101000,115000,142000,166000,192000,221000,254000,288000,324000,359000,396000,434000,467000,488000,491000,494000,501000,509000,512000
Mauritius,61000,71000,82000,99000,114000,134000,120000,114000,106000,102000,97000,110000,103000,96000,88000,91000,92000,90000,87000,84000,82000
Mayotte,1000,2000,3000,4000,4000,6000,7000,10000,12000,16000,19000,23000,26000,26000,25000,26000,27000,28000,28000,27000,26000
Mexico,3139000,3784000,4407000,5727000,6778000,7771000,9072000,10423000,10542000,10431000,10675000,10983000,10477000,10077000,9573000,9030000,8380000,8070000,7916000,7598000,7175000
"Micronesia, Fed. Sts.",4000,4000,5000,7000,8000,8000,10000,12000,12000,15000,14000,14000,14000,13000,13000,12000,12000,12000,11000,10000,9000
Moldova,250000,214000,222000,343000,415000,398000,333000,352000,376000,408000,400000,311000,204000,170000,203000,208000,195000,169000,146000,140000,145000
Mongolia,88000,101000,114000,131000,152000,178000,205000,237000,271000,275000,316000,278000,237000,214000,235000,242000,242000,235000,216000,201000,199000
Montenegro,48000,42000,51000,59000,58000,57000,53000,50000,52000,53000,54000,43000,43000,40000,37000,38000,37000,37000,36000,35000,34000
Morocco,1091000,1245000,1429000,1599000,1998000,2354000,2412000,2752000,3002000,3386000,3372000,3221000,3032000,2920000,3075000,3166000,3119000,2964000,2798000,2699000,2658000
Mozambique,736000,802000,874000,974000,1111000,1265000,1442000,1638000,1854000,1965000,2223000,2523000,2914000,3428000,3639000,3777000,3913000,4066000,4211000,4296000,4323000
Myanmar,1678000,1727000,2048000,2870000,3190000,3518000,3956000,4534000,4760000,5066000,4846000,4582000,4320000,4427000,4506000,4504000,4347000,4142000,3987000,3899000,3849000
Namibia,51000,59000,69000,81000,93000,108000,127000,156000,183000,201000,229000,254000,257000,264000,279000,287000,296000,300000,299000,295000,293000
Nepal,988000,1070000,1062000,1228000,1394000,1582000,1794000,2049000,2346000,2645000,2965000,3339000,3616000,3597000,3452000,3537000,3712000,3778000,3716000,3611000,3539000
Netherlands,825000,918000,1184000,1107000,1155000,1231000,1223000,1057000,902000,905000,976000,1005000,1001000,1014000,946000,915000,932000,965000,973000,964000,940000
Netherlands Antilles,11000,12000,16000,18000,21000,19000,19000,17000,16000,16000,15000,15000,14000,14000,13000,12000,11000,10000,9000,9000,9000
New Caledonia,7000,7000,8000,10000,12000,15000,17000,18000,18000,19000,21000,22000,23000,21000,21000,21000,22000,22000,22000,21000,21000
New Zealand,146000,182000,237000,261000,295000,318000,304000,295000,256000,266000,295000,313000,293000,291000,300000,305000,305000,302000,297000,295000,297000
Nicaragua,160000,180000,191000,280000,337000,365000,416000,490000,560000,635000,660000,701000,670000,644000,662000,665000,652000,626000,599000,574000,549000
Niger,323000,390000,417000,443000,533000,644000,762000,884000,1041000,1216000,1416000,1682000,2041000,2476000,3222000,3736000,4315000,5000000,5782000,6538000,7118000
Nigeria,4249000,4693000,5077000,5943000,6705000,7576000,8673000,10237000,12271000,14084000,15617000,17292000,19252000,21466000,23606000,24710000,25019000,25111000,25438000,25936000,26229000
Norway,214000,258000,317000,302000,308000,313000,333000,313000,266000,261000,289000,317000,317000,305000,312000,307000,315000,325000,330000,329000,327000
Oman,53000,60000,69000,84000,97000,114000,138000,173000,218000,264000,276000,290000,306000,291000,300000,327000,339000,340000,332000,323000,318000
Pakistan,4021000,4717000,5080000,5817000,6733000,7981000,9861000,11930000,13724000,16121000,19358000,20122000,20854000,22183000,23908000,25557000,25897000,25787000,25685000,25848000,26065000
Panama,93000,112000,132000,156000,185000,217000,249000,267000,267000,280000,300000,308000,330000,342000,344000,342000,342000,343000,340000,333000,323000
Papua New Guinea,205000,219000,243000,274000,318000,356000,424000,482000,501000,562000,634000,727000,841000,902000,955000,996000,1019000,1053000,1077000,1086000,1082000
Paraguay,194000,215000,250000,300000,333000,373000,412000,430000,500000,598000,648000,680000,703000,720000,732000,740000,737000,726000,714000,702000,690000
Peru,887000,980000,1144000,1376000,1616000,1907000,2142000,2376000,2620000,2711000,2880000,2949000,2928000,2914000,2905000,2815000,2746000,2692000,2635000,2567000,2492000
Philippines,2376000,2791000,3245000,4123000,4750000,5421000,6099000,6776000,7613000,8354000,9206000,9840000,10114000,10297000,10763000,10914000,11020000,10992000,10861000,10699000,10503000
Poland,2323000,2000000,2908000,3482000,3455000,2774000,2522000,2852000,3231000,3378000,2929000,2466000,1991000,1769000,1844000,1848000,1755000,1588000,1435000,1361000,1362000
Portugal,796000,767000,839000,808000,810000,856000,852000,857000,804000,674000,577000,550000,551000,561000,530000,501000,473000,452000,448000,452000,453000
Puerto Rico,273000,293000,322000,314000,335000,329000,338000,344000,340000,320000,306000,301000,287000,254000,251000,251000,246000,239000,230000,220000,214000
Qatar,3000,4000,5000,6000,10000,16000,22000,26000,35000,40000,50000,45000,70000,84000,91000,103000,108000,103000,103000,105000,110000
Reunion,25000,31000,40000,54000,64000,69000,67000,61000,61000,66000,68000,69000,69000,74000,74000,73000,73000,72000,71000,70000,68000
Romania,1630000,1365000,1562000,1796000,1793000,1413000,2007000,1896000,1966000,1669000,1732000,1200000,1115000,1054000,1043000,995000,936000,862000,808000,787000,783000
Russia,12244000,7398000,9937000,12434000,13254000,11825000,9263000,10116000,10788000,11906000,12051000,8156000,6442000,6979000,7568000,7749000,7266000,6469000,5900000,5900000,6208000
Rwanda,268000,308000,354000,392000,476000,562000,652000,709000,856000,810000,1203000,1083000,1186000,1381000,1606000,1830000,1898000,1889000,1911000,2001000,2109000
Saint Lucia,10000,10000,11000,13000,14000,16000,17000,17000,16000,16000,17000,17000,16000,14000,15000,15000,14000,14000,14000,13000,13000
Saint Vincent and the Grenadines,9000,10000,11000,12000,13000,14000,14000,14000,13000,13000,12000,11000,10000,9000,9000,9000,8000,8000,7000,7000,7000
Samoa,11000,12000,13000,18000,20000,22000,20000,19000,22000,19000,21000,23000,25000,24000,19000,18000,18000,20000,20000,18000,15000
Sao Tome and Principe,4000,4000,4000,6000,9000,10000,12000,14000,16000,19000,18000,19000,21000,22000,23000,23000,23000,24000,24000,24000,24000
Saudi Arabia,366000,415000,476000,560000,671000,856000,1090000,1405000,1920000,2191000,2444000,2612000,2684000,2812000,2844000,2951000,3012000,3001000,2927000,2812000,2718000
Senegal,278000,312000,342000,375000,469000,560000,690000,834000,989000,1136000,1294000,1471000,1623000,1797000,2035000,2143000,2177000,2203000,2253000,2318000,2361000
Serbia,619000,531000,729000,775000,681000,658000,677000,708000,742000,789000,742000,647000,579000,591000,564000,554000,541000,522000,508000,503000,497000
Sierra Leone,213000,235000,252000,252000,282000,320000,365000,423000,494000,492000,511000,593000,706000,836000,925000,1000000,1051000,1106000,1157000,1205000,1242000
Singapore,117000,138000,170000,241000,289000,284000,236000,237000,207000,229000,273000,337000,316000,249000,210000,207000,227000,247000,247000,224000,200000
Slovak Republic,301000,322000,384000,483000,440000,410000,379000,438000,474000,448000,412000,360000,288000,259000,274000,280000,268000,246000,226000,216000,218000
Slovenia,129000,124000,144000,148000,132000,137000,137000,142000,149000,138000,124000,103000,93000,90000,99000,103000,98000,92000,87000,86000,90000
Solomon Islands,11000,13000,13000,16000,21000,23000,29000,38000,42000,47000,51000,58000,64000,69000,73000,75000,77000,78000,80000,81000,80000
Somalia,258000,271000,314000,388000,440000,501000,793000,808000,866000,746000,887000,985000,1150000,1348000,1524000,1714000,1892000,2091000,2278000,2419000,2505000
South Africa,1485000,1690000,1930000,2356000,2727000,3060000,3530000,4023000,4390000,4794000,5011000,4980000,4984000,5107000,5050000,5054000,4896000,4762000,4656000,4551000,4422000
Spain,2316000,2492000,2636000,2712000,3001000,3195000,3311000,3309000,3136000,2551000,2148000,2090000,2051000,2309000,2556000,2629000,2496000,2313000,2260000,2359000,2522000
Sri Lanka,855000,985000,1199000,1318000,1544000,1603000,1705000,1733000,1864000,1877000,1722000,1588000,1456000,1702000,1737000,1680000,1548000,1410000,1347000,1337000,1309000
Sudan,1086000,1235000,1424000,1578000,1808000,2106000,2505000,2979000,3372000,3819000,4255000,4737000,5244000,5484000,5714000,5860000,6011000,6152000,6234000,6236000,6188000
Suriname,23000,26000,34000,42000,54000,55000,51000,44000,40000,47000,47000,45000,51000,51000,46000,45000,45000,44000,43000,40000,37000
Swaziland,32000,36000,44000,50000,57000,67000,79000,93000,112000,134000,159000,158000,152000,151000,157000,165000,170000,169000,164000,162000,162000
Sweden,450000,571000,609000,539000,531000,563000,584000,553000,497000,500000,575000,613000,485000,514000,563000,566000,583000,589000,573000,564000,576000
Switzerland,307000,383000,426000,442000,462000,505000,484000,410000,373000,405000,422000,437000,412000,387000,389000,392000,409000,425000,432000,433000,440000
Syria,405000,451000,533000,699000,825000,984000,1180000,1429000,1754000,2120000,2251000,2187000,2294000,2576000,2859000,2918000,2741000,2594000,2528000,2524000,2488000
Tajikistan,197000,152000,165000,267000,384000,472000,500000,558000,609000,717000,855000,863000,846000,832000,866000,930000,947000,912000,852000,803000,773000
Tanzania,937000,1076000,1259000,1414000,1678000,1986000,2337000,2753000,3247000,3814000,4353000,4861000,5517000,6522000,7685000,8679000,9269000,9775000,10283000,10786000,11195000
Thailand,2582000,2632000,3092000,3914000,4672000,5522000,6195000,6203000,5914000,5660000,5355000,5334000,4940000,4827000,4833000,4801000,4669000,4540000,4430000,4347000,4293000
Timor-Leste,50000,53000,58000,64000,71000,81000,75000,76000,78000,96000,107000,132000,160000,162000,197000,234000,270000,292000,300000,305000,318000
Togo,150000,165000,183000,202000,252000,293000,341000,421000,509000,575000,667000,740000,816000,890000,948000,1010000,1042000,1064000,1082000,1096000,1104000
Tonga,6000,7000,9000,11000,13000,14000,15000,12000,11000,13000,12000,12000,12000,13000,13000,12000,11000,11000,11000,11000,11000
Trinidad and Tobago,65000,84000,103000,109000,132000,140000,121000,120000,125000,150000,139000,107000,91000,89000,94000,95000,91000,83000,78000,75000,74000
Tunisia,369000,415000,457000,583000,686000,745000,823000,873000,969000,1030000,1060000,958000,809000,762000,794000,831000,828000,806000,746000,704000,697000
Turkey,2500000,2575000,3175000,3945000,4384000,5097000,5499000,6252000,6680000,6930000,6554000,6832000,6886000,6519000,6546000,6456000,6314000,6136000,5966000,5881000,5800000
Turkmenistan,146000,110000,139000,206000,284000,341000,354000,386000,421000,488000,566000,569000,479000,499000,507000,515000,500000,462000,430000,426000,429000
Uganda,554000,693000,809000,1001000,1173000,1359000,1608000,1895000,2260000,2726000,3254000,3897000,4527000,5285000,6204000,7067000,7836000,8438000,8896000,9261000,9541000
Ukraine,4302000,2935000,3068000,3835000,4231000,4087000,3459000,3621000,3635000,3820000,3633000,2798000,2098000,1970000,2234000,2368000,2272000,2024000,1810000,1746000,1830000
