Natural Gas Production per person (tonnes oil equivalent),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Kuwait,2.452167352,2.38745314,2.658165604,2.805713045,2.781831833,2.87121161,3.245768509,3.325274454,3.501199752,4.356127769,2.674903579,2.943747609,2.209023876,2.319548454,2.405158693,2.18141023,2.846829321,2.27440104,3.119887611,3.570631555,1.760495161,0.4716630104,1.662794101,3.287564877,3.463263176,5.151751472,4.945380482,4.725988405,4.652852637,4.081362722,4.377848895,4.627904255,4.032088109,4.542954001,4.744083074,4.701050843,4.651849389,4.346335488,4.436230914
Libya,-,0.6272320773,1.317839787,1.478137789,1.284177247,1.625151872,1.613556576,1.669861264,1.647628477,2.086680382,1.517926903,1.067392077,0.909668865,0.8910811814,0.9111925229,1.126401268,1.36233227,1.184258832,1.264912552,1.519799486,1.347883063,1.384174507,1.396035881,1.278912094,1.254302874,1.225975731,1.232948007,1.242313017,1.174241041,0.9047917917,1.034513093,1.061329058,0.9890874411,0.9001515528,1.288092074,1.763921407,2.0117768,2.280966732,2.317942315
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01446620482,0.4469785176,0.594016299,0.7878338728,0.8591222576,0.8844422625,0.9197425328,0.9166110734,1.02387487,1.119298985,1.196773975,1.226100247,1.325370774,1.510584418,1.697980342,1.655558439,1.721373508,1.869061275,1.900486931,1.919437799,2.019101942,2.061375198,2.252428701,2.202693586,2.205250969,2.228280862
Mexico,0.191807043,0.1841702949,0.1864600097,0.1971994414,0.2013347498,0.1992313694,0.1909067643,0.1974015643,0.2413223232,0.2864365359,0.3385153094,0.3559776669,0.3715617128,0.3653544358,0.3512052548,0.3337211942,0.29039247,0.2889477402,0.2868362204,0.2700737137,0.2874440614,0.2861573726,0.2719620801,0.2878835687,0.291941069,0.2786959261,0.3336850653,0.3345260562,0.3548276768,0.3386200976,0.3401547656,0.3325990594,0.3417069276,0.3571337555,0.3660827709,0.3815091571,0.4320445158,0.4473646495,0.4493818494
Myanmar,-,-,-,-,0.005066367314,0.005335884369,0.007272880547,0.006565574372,0.007581123402,0.007439329285,0.009438678494,0.01111129369,0.01167805185,0.01526942303,0.01597327671,0.02253642879,0.02575067771,0.02816303045,0.02424634598,0.02506887616,0.01929119655,0.01927526066,0.01931114316,0.02415587361,0.03095434184,0.03499804772,0.03370130635,0.03142351506,0.03620572091,0.03499521811,0.06845294094,0.1395270622,0.165796451,0.1877022728,0.1973339114,0.2336341312,0.2393281944,0.2547633076,0.23185707
Netherlands,1.842487091,2.515054144,3.318486731,4.002271103,4.709169708,5.058643691,5.359793268,5.345222031,4.86365211,5.066947318,4.859870626,4.480322579,3.812962963,4.046331733,4.080012083,4.251002872,3.864224748,3.84765478,3.374004824,3.66643592,3.673836021,4.11926535,4.11689215,4.171805431,3.913261876,3.946716533,4.447232832,3.916139958,3.712743003,3.430142564,3.286414641,3.507692269,3.36585984,3.220473422,3.77547461,3.430664018,3.359977263,3.288454205,3.650822847
New Zealand,0.03536005375,0.04416930407,0.07852241303,0.08922902115,0.1021952655,0.1103143242,0.25589098,0.4323135012,0.4052337482,0.2711004724,0.2504146491,0.304007597,0.5350851074,0.5731329718,0.7231809448,0.9206434105,1.101739262,1.058098389,1.140625089,1.169551884,1.159840267,1.244599295,1.303834511,1.257950004,1.156255677,1.081440498,1.214129018,1.281691329,1.113973325,1.274527463,1.323670166,1.376952478,1.294211135,0.9764176765,0.8646209879,0.793747728,0.8127748311,0.8868953107,0.8258365828
Nigeria,0.001959726983,0.003532516066,0.004614804759,0.006886589416,0.006252681167,0.005433843536,0.00978039888,0.01249011942,0.01465643875,0.01869748833,0.02186716278,0.03117971062,0.03148986377,0.03515610572,0.03320681422,0.03062915297,0.03492321688,0.03364744152,0.03936034136,0.04434874609,0.04109123776,0.03902303607,0.04112923573,0.04565227302,0.040624676,0.04308632603,0.04724474955,0.04324539547,0.0424135593,0.04875408357,0.09869937633,0.1145420777,0.1065876915,0.1407275417,0.1631881065,0.15656335,0.194047916,0.2333736233,0.2279663537
Norway,-,-,-,-,-,-,-,0.5911152168,3.14906037,4.567936733,5.526456205,5.477471289,5.240611482,5.147717099,5.644073385,5.675486987,5.635535579,6.052343599,6.058123486,6.120002593,5.40569721,5.285173895,5.424419851,5.177223186,5.570674795,5.742697864,7.684061063,8.773916896,8.972147563,9.775333789,9.966387677,10.74283613,12.99742415,14.4470299,15.43722238,16.64838176,17.10144833,17.43670923,19.2289217
Oman,-,-,-,-,-,-,-,-,0.2729649471,0.4356732092,0.5251702973,0.5872635699,0.6118144757,0.7247711066,0.8724844944,1.067098996,1.202447556,1.299343364,1.26163715,1.263698834,1.318124236,1.285768925,1.352333532,1.250033941,1.264480438,1.710986825,1.786978719,1.963536204,1.969502324,2.005084014,3.080063899,4.794832427,4.975194051,5.290109988,5.735120119,5.933868895,6.87570131,6.753727187,6.540381454
