,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Nicaragua,49,35,39,,,,,,42,36,,35,,105,154,145,143,,50
Nigeria,,441,,,1522,,258,,,,,,,,,,,,
Norway,5293,6734,6872,8310,9459,10063,11885,12572,14104,14675,18548,21676,27178,32007,44258,50662,68055,84373,91216
Oman,,,,,,,,,,,,,,,,,,2174,75825
Pakistan,,,,,,,547,524,622,636,605,699,798,,,,1195,1226,
Panama,113,92,94,76,88,50,68,87,84,100,97,78,173,,,,160,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,33
Paraguay,42,42,,,44,40,52,,64,101,,,,,,,,,
Peru,272,261,256,237,247,,268,247,283,288,398,,617,804,,992,1078,,
Philippines,1636,1580,,,,1843,1969,1921,,,,,2797,3565,3443,3361,3636,13598,81697
Poland,5888,5894,6199,6451,7043,6137,5421,8817,11371,13756,18660,22089,27316,32538,41352,47480,64873,81074,94500
Portugal,1852,1991,2268,2319,2464,3397,3642,3555,13402,42932,51761,58701,71649,106687,145142,159666,198700,230908,251937
Romania,3903,5160,5489,6276,7392,8206,6742,7184,8318,10952,15060,18667,23970,29055,37826,91304,113379,131750,142780
Russia,,,,,,,,1203,59239,43717,41348,41357,46287,48220,58532,67876,89429,107678,120364
Rwanda,6,1,1,2,6,1,4,1,2,,3,,,,,4,,,
Saint Lucia,1,,,,,,2,,1,,6,4,3207,22899,34087,40901,58724,75932,89625
Saint Vincent and the Grenadines,,,,,,,,,,,,,8,,,,2,,17118
Samoa,,4,,,,,,,,,,2,3,,,,,,
Saudi Arabia,,,,,,70,455,519,626,750,720,746,837,1058,1331,1216,873,729,613
Serbia and Montenegro,,,,,,,,,1125,838,788,822,809,17021,34541,42084,59669,77513,91400
Seychelles,1,2,,,5,,,,,,,1,6,,,,,,3581
Sierra Leone,,,,,,,,,,,,5,,9506,33154,72449,116129,150466,177366
Singapore,931,1007,,,,838,1028,1104,1354,1426,1818,14231,38618,37655,44948,51495,70191,79026,94259
Slovak Republic,,,,,,,,,,9459,14590,17932,23066,28207,36852,43079,60511,77391,157928
Slovenia,,,,,,,,,420,696,8412,16585,21987,27447,36297,90972,112864,130943,137244
Solomon Islands,12,4,8,6,2,2,,,,,,,,,,,,,
Somalia,8,7,,,,,,,,,,,,,,,,,
South Africa,10149,9900,9776,9766,9734,9976,10469,10202,10128,9807,10414,11050,,,8,26470,58166,76746,90655
Spain,10700,11298,14358,23386,26229,30685,49026,48929,53605,56733,64389,71251,83983,113767,147889,163090,202439,234543,255590
Sri Lanka,94,476,759,1030,1442,1948,3279,4494,6044,8517,12553,16020,21188,26403,34974,41263,58929,76095,89759
Sudan,,306,622,887,1316,1816,3202,4411,5986,8473,16084,28951,39061,49920,67719,80426,115860,150393,177338
Swaziland,35,30,,,15,56,33,60,126,98,2440,15002,20322,25672,34535,40673,58033,75092,88379
Sweden,6674,30248,32641,34657,39230,44029,49596,48568,52726,55641,63700,70561,83441,115000,149493,165051,204173,231483,256329
Switzerland,6107,28937,31379,33899,38961,43558,49402,48496,52941,55557,63314,69742,78275,112852,147579,162403,201571,233652,254428
Syria,,,,,,,,,,,,55,,,,,296,,30
Tajikistan,,,,,,,,,,,7075,15631,19602,24765,33779,40141,58133,75462,89392
Thailand,667,707,694,882,1119,1424,1940,1987,1962,3345,3928,,4558,5443,5071,,5665,,
"Macedonia, FYR",,,,,,,,,,128,236,3184,18987,26153,35133,89425,111683,130061,140630
Trinidad and Tobago,,,,,,,,,67,91,7284,15539,20811,26339,34969,41238,58974,76046,89903
Tunisia,213,216,167,,,144,160,128,,142,144,146,174,,,,,195,72604
Turkey,600,593,726,898,900,1048,1228,1205,1252,1226,1367,1712,20035,28218,37386,43833,77274,229339,251042
Turkmenistan,,,,,,,,,,,,8420,19014,24636,33705,40114,58061,75440,89333
Uganda,28,33,33,37,47,46,59,74,96,104,80,20840,38497,49760,67610,80421,115875,150408,177305
Ukraine,,,,,,,,,579,19365,19639,22354,26502,32728,41950,48273,65917,84430,90600
USSR,1941,168012,173036,181994,176913,151808,123797,30180,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,8,24218,56158,75414,89666
United Kingdom,32828,70182,73421,76509,84175,90234,97891,95533,99241,101242,108404,115754,129353,148209,176187,192875,233223,264706,284910
Tanzania,,30,,,37,23,,,,,,,,,,14467,108930,148740,176850
United States,111284,117006,122433,133807,147344,161660,176100,177388,187291,191386,209691,235440,223419,236692,262787,294706,331773,375657,381737
Uruguay,190,168,163,135,172,134,,171,179,176,169,256,207,402,496,552,616,,496
Uzbekistan,,,,,,,,,,3768,12244,16912,22002,27307,35110,42365,59859,77235,90619
Venezuela,2234,1530,1574,1681,,1367,1352,1361,1540,1675,1729,,2004,2524,,,2348,,
Vietnam,,73,65,,72,70,79,62,83,5008,12449,16982,22243,27440,35748,42212,59776,76542,90137
Yugoslavia,2257,2072,2287,2451,2406,2509,2481,2010,,,,,,,,,,,
Zambia,79,105,133,120,109,92,105,120,161,173,90,94,99,96,93,92,10,3186,157720
Zimbabwe,225,250,287,263,216,219,260,270,302,293,91,233,211,21969,66272,80168,115750,150408,177483
