Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,-1.055078684,-2.592571718,1.298484173,-0.8193764494,1.161597313,-2.025294821,-2.174796748,-0.9995622355,-2.164840012,-1.364888176,-0.2417210539,-0.2724661872,0.7852820787,3.039223486,-0.1165903082,-0.4870378359,0.1070243659,-0.6569651716,-0.9887059001,-1.079338028,0.478176299,-1.852164978,-3.318337111,-2.072522581,-1.474383971,-2.075094236,-3.100048045,-1.644414481,-0.6995823252,-1.896426359,-1.999799089,-0.2032796418,0.1210092688,-0.512073653,-0.5498564853,-2.020199998,-0.4064138955,0.3052542355,-0.8026914169,-2.30659564,-2.04636869,0.2132824766,0.08010244681,-2.029192016,-2.546947719,-2.514013214,-1.533192203,-1.237687025,-2.095906354,0.6072140728,-0.3095478826,
Austria,-0.01410821761,1.103422518,1.214656222,0.5689291055,-0.1867834077,-0.6987282678,-1.508179722,-0.9000317694,-0.3955383339,0.97074392,0.1455272354,-0.09667683715,-0.2258919921,-0.4144236715,-1.137146166,-0.1908456056,-2.2418099,-4.26279711,-1.239599549,-1.345157168,-3.273373927,-2.191095405,-0.3917875887,-1.30944859,-0.835091072,0.03916582678,0.2428556122,0.2152939737,-0.161451002,-0.235303421,0.1969710521,-0.6090257,-1.08729519,-0.08895743134,-1.458553248,-0.9510480435,-1.552226947,-0.5120659984,0.5766544382,1.173827819,1.747313876,2.194637135,4.760150238,3.492706745,3.778064839,3.984211376,5.060973409,5.729438239,5.755565188,4.750480117,4.308447155,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.624829468,4.453592814,31.60722807,-18.55591347,-5.907446827,-13.60915741,-26.03195457,-24.00248721,-31.82894485,-13.89406448,0.6632647878,3.605111469,-7.280410575,-23.53963594,-23.92840445,10.03941539,27.74684489,39.61724134,42.31007726,29.2951081,34.76152691,
Bahamas,,,,,,,,,,,,,,,,,,16.5077094,15.148963,8.668186915,7.503931881,5.012270144,6.234556042,8.552635272,5.281468929,5.519885091,5.913046143,5.51953099,,-3.337361202,-1.798483891,-4.216433742,-0.96751367,0.5734152652,-2.35900583,-5.367162438,-9.781379884,-5.264538101,-8.097470003,-1.694526154,-2.489114274,-3.553205473,3.769619873,2.048546641,1.998333054,-2.829272243,-10.79141929,-7.226232589,-7.861876217,-7.732543111,-9.213328209,
Bahrain,,,,,,,,,,,,,,,,,,,,,8.867976413,11.12047952,12.20455909,3.731121618,2.642151913,11.92921566,13.89735754,14.96785146,17.84354613,11.01397374,20.95069618,-10.63548236,-12.36005374,3.145299085,7.208367411,11.51677618,11.71162948,9.571486064,0.7182445387,15.90279234,25.04587994,21.85026164,15.68627451,18.21828104,19.28038821,23.10458614,25.88026102,25.3782916,22.5368531,,,
Bangladesh,0.6894268282,-0.9176457179,-0.06134565979,-1.672792804,-4.093443168,-3.703880819,-2.367541516,-3.289575963,-3.27552239,-3.519336307,-4.194371159,-4.436097069,-8.057828681,-5.315837967,-6.64747009,-5.205468358,-12.89011137,-5.340694261,-9.923188623,-9.688624581,-12.38866354,-9.229331711,-10.73118815,-9.334130117,-9.676247022,-7.682616061,-6.868755838,-6.943003473,-7.071627607,-7.515736617,-7.408539025,-5.564609872,-4.760653216,-5.087043469,-4.862777369,-6.48022681,-7.6088834,-6.024750031,-4.948831077,-5.465069862,-5.247305297,-6.118564492,-4.771065992,-5.821476538,-5.3485702,-6.464458454,-6.271000816,-6.925735417,-8.411875365,-7.124779113,-6.610066794,
Barbados,-21.96261682,-13.76720901,-11.85318893,-5.77540107,-8.288482239,-10.12207528,-11.70363379,-9.567771716,-11.68973052,-16.35362694,-19.1184573,-12.65822785,-13.26940232,-11.59705974,-7.009011266,-10.03200394,-19.09777513,-11.51369082,-10.2787741,-10.73283184,-1.912633377,-9.288037491,-2.638189347,1.145396441,4.746394566,7.680817857,2.312925058,0.5319663483,0.4710872483,-0.03501502826,-2.621942494,-2.687569938,9.002207547,6.179945591,8.055509266,5.720319271,4.187354362,-2.211132792,-2.060644406,-5.579394184,-6.571311833,-4.026721404,-5.906451921,-6.291560952,-10.99431303,-9.961489148,-4.244879916,-4.435840325,-4.145533356,-3.967778344,-5.056576226,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.309468822,3.444316877,1.449432125,-15.72991515,-12.83467842,-4.388209149,-4.074923165,-5.7964709,-4.855481171,-2.428412198,-3.187523265,-3.549717001,-3.747026394,-3.829092461,-6.36384367,0.7112657549,-4.172480351,-6.267772548,-7.723968109,-11.25083853,-13.70520779,
Belgium,-0.6999825608,-0.792122699,-0.0114606056,-0.9575057055,-0.3317692972,-0.02352720952,-0.7035347445,0.419170966,0.4612528085,1.109272467,2.185785553,1.932097117,3.141458105,1.878930222,0.3240037228,0.1291905315,0.1005495545,-0.93845049,-1.068444772,-2.112137613,-3.306059415,-2.530653662,-2.138865765,0.159162191,0.3574849586,0.8441833377,2.185711727,1.730683875,2.344397832,2.110916884,1.64261331,1.768564894,2.51670938,3.243094304,3.685558511,3.931817843,3.140821328,3.766037572,3.801023881,4.162185201,2.927428057,3.642566236,5.741651019,5.404615894,4.913590173,3.934342035,3.813057544,3.845172855,0.8560653928,2.729602089,2.701074419,
Belize,,,,,,,,,,,,,,,,,,,,,-13.19640565,-21.95438051,-22.59414226,-15.92592593,-7.705073495,-12.81377002,-2.611367127,-2.133429636,-5.827246745,-9.39005879,2.154702904,-10.57967331,-3.200357264,-3.494225189,-2.606759103,-1.150197711,-0.2624976348,-2.928390816,-4.346983662,-12.29934014,-20.70081349,-18.23121994,-13.56572185,-12.77921832,-7.953742403,-8.029900963,-0.5197818908,-1.806194538,-7.959814529,,,
Benin,-5.986372201,-4.951142631,-6.441481286,-7.804538528,-7.105826859,-7.638147403,-9.349518055,-12.10644431,-9.741944168,-9.655286515,-9.284743762,-10.04681557,-12.41574709,-10.28819131,-15.17789225,-18.8847361,-18.03726507,-18.60188031,-18.02027624,-19.50540921,-21.50559383,-28.02837119,-22.31526371,-17.8134335,-11.35255285,-12.99598128,-15.9395758,-15.68307898,-18.2793496,-11.3095094,-12.03872413,-12.54947607,-13.7239047,-14.24099434,-9.758592066,-12.89497828,-13.73408438,-12.79757783,-10.40869641,-12.68618841,-12.93758568,-12.71127461,-13.94184085,-12.84394797,-12.73968759,-12.64647358,-11.34178851,-15.32297506,-13.60689701,-14.36319551,-13.60647754,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.61557318,-6.315038592,-10.22705322,-9.797977707,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,-34.7720448,-35.07967111,-35.841708,-33.78973635,-37.28283819,-37.12149732,-16.10801055,-22.8156348,-10.4722879,-4.073630612,-8.176591424,-25.16971431,-12.96457688,-10.58391173,-5.1418175,-10.70290917,-10.89923505,-17.29202067,-20.68977363,-20.83133604,-20.81445714,-18.78483147,-18.19134565,-21.67295835,-23.6930281,-4.414288384,-2.310212004,-11.12388486,-7.225869152,,
Bolivia,,,,,,,,,,,0.2399867594,-3.012140771,-2.906698565,-0.6053891505,8.494741351,-6.278315807,-2.209661783,-2.87236184,-7.513098056,-3.221372353,2.242032949,0.3122761179,-0.3395673828,4.277738543,-2.16500605,-3.792909775,-4.410774829,-4.949038918,-4.371358293,-0.6582530571,-1.149304816,-5.486274859,-9.019332904,-9.305595063,-5.534227515,-4.635145197,-4.692549795,-8.248457003,-12.88379312,-10.40645779,-9.048285015,-5.283523952,-6.081350161,-0.7663675244,4.812514911,3.454344516,9.005580042,7.529402067,6.946091105,2.818175717,6.863286322,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.95064905,-51.05613355,-60.2646319,-44.96369574,-71.06021522,-66.53269638,-46.80993177,-47.53389966,-46.58193998,-52.87913691,-45.25347613,-40.21559722,-29.65427455,-36.63917601,-36.75291545,-22.77224354,-20.82506618,
Botswana,-13.36829249,-15.30915304,-16.91292808,-18.35094045,-19.76566895,-18.90243902,-21.6802168,-26.15964518,-39.89473684,-29.7929793,-36.25815809,-28.41409692,-23.17073171,-23.13366775,-23.85188747,-20.19798211,-15.93508501,-18.40894149,-16.46385111,-11.12690811,-13.38305743,-21.82526433,-14.71221473,-0.4821713264,2.849073586,15.05928947,19.20210937,26.68737688,26.59229083,13.08833115,5.263493729,6.500642976,6.607871603,7.983314154,10.5161516,12.88592403,16.36398806,14.88014435,5.945733027,10.71851936,12.06370162,8.907299809,11.14210357,10.97883886,7.336076129,16.79334639,16.35253491,12.03671652,-0.1395946537,-11.17316598,-7.095008926,
Brazil,-0.05823351769,-0.06005110235,-1.320212195,-0.07454574848,0.7078094961,2.179836507,0.8330662607,0,-0.609858352,0.06669078794,-0.4203228919,-1.724666773,-1.584899902,-1.229903211,-5.870608682,-3.967007487,-2.396904265,-0.6653791637,-1.188815492,-2.051662838,-2.253100882,-0.3790947866,-0.6647963222,2.413480398,5.623197625,5.152645105,2.462012124,3.267280572,5.195678665,3.4683417,1.238224469,0.7630295683,2.483155049,1.407224184,0.3513907224,-1.518194328,-1.799362372,-2.199763022,-1.99943836,-1.404976526,-1.763486005,-1.315453993,1.513646434,2.911736124,3.876903298,3.608354729,2.902657287,1.517579088,0.1899821364,-0.05585336341,-0.9937240202,
Brunei,,,,,,,,,,,,,,,72.70086385,66.63297719,75.39603538,78.54641809,80.53995289,80.92371783,81.69724075,79.42977939,72.11659635,69.28938072,,,,,,26.60342656,24.5416079,26.5050821,9.963316214,2.999698523,2.674995996,3.889716841,-0.7070567032,-1.308798756,-6.932153392,7.413107605,31.5370385,30.33174148,25.49569144,33.32003602,37.00852348,42.87927809,46.50824655,39.95525073,50.6846293,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,5.019193994,1.115824271,1.06642048,0.208625414,1.885011724,-0.407111254,-3.436286031,-1.837054622,-0.3304190514,-1.737777028,-3.608676003,4.274134119,-5.826693227,-7.62796922,-0.6249984779,2.014878404,2.583312568,5.270732213,1.010752354,-4.59334477,-5.337281579,-9.422439035,-8.090017092,-10.33049321,-11.46125056,-15.09010987,-17.58678697,-19.71684715,-20.51464531,-8.833167134,-1.902934775,
Burkina Faso,-10.97743922,-10.36109042,-10.17398097,-10.08951716,-8.71960331,-6.724024089,-6.596757467,-8.998800872,-9.082652585,-10.71518086,-10.68652997,-14.4196216,-14.88927249,-16.60774117,-16.15215253,-22.80286199,-18.80299078,-22.48300003,-20.28241005,-21.03630929,-22.31198664,-22.15870304,-23.42831918,-21.68999846,-17.79687842,-21.10461759,-19.98060315,-16.72231273,-16.1322819,-14.89703476,-13.48926762,-12.90113954,-10.68105564,-11.7219974,-10.82597995,-12.46635834,-17.05308735,-15.79135678,-15.32357753,-14.48796441,-16.11094822,-13.88242192,-12.36102416,-12.93016423,-13.53766445,-15.63188237,-15.27929155,,,,,
Burundi,-0.892857516,-1.724138627,-3.278688426,-6.766917074,2.013422509,-2.186325959,-2.216020558,-1.085186847,-3.071116656,-2.43585892,-0.9322428916,-5.735930247,-3.340526223,-2.316557928,-5.780540282,-10.72612487,-2.926392868,0.3041913057,-8.518708019,-8.559496881,-14.48268447,-12.89434519,-16.69547099,-15.70217966,-12.04830288,-9.76028321,-10.59240205,-15.99372882,-13.36241319,-13.19782142,-19.90215496,-18.58780507,-20.72777036,-17.77907489,-18.20999348,-14.35194071,-9.933080228,-4.604325713,-11.44049044,-8.388230127,-12.17318982,-14.03890909,-16.16660965,-19.27139088,-24.33907276,-33.89652316,-36.24357177,,,,,
Cambodia,-8.071747638,-5.777777844,-9.090907882,-3.529410725,-0.7299279552,-0.9868421053,-5,-1.186943629,-2.144772192,-3.597122324,-2.005012518,,,,,,,,,,,,,,,,,,,,,,,-16.61011053,-12.88411317,-15.39836498,-18.43355332,-11.70077331,-13.14318142,-13.08851572,-11.91706364,-8.670094905,-8.848670522,-10.03987153,-7.299627342,-8.662515554,-7.428047545,-7.616210768,-2.233757974,-6.69694837,-5.438152652,
Cameroon,,,,,,-0.5012538892,-2.58250159,-1.953971701,-2.509652326,0.5242923011,1.539910694,-4.139814962,-5.69388033,-3.303442264,2.638166373,-2.858075645,-4.722022328,-2.745803221,-4.466830824,-7.163848114,0.753357291,-6.547071733,4.3032822,1.094015677,2.485168147,1.872953743,0.5569341775,-3.931782402,0.07134087983,2.937589491,2.869383359,5.358981567,2.231452325,0.6143152724,4.217439073,5.781441806,4.989936177,3.068307304,3.724094158,4.338144851,3.591394048,-1.294311493,-0.7831433429,0.3276010064,-0.4301736092,-1.016046448,2.050599201,0.8140579994,-3.020039515,-4.83101012,-3.107598347,
Canada,-1.16950361,-0.2988518002,-0.01033572045,0.8036264264,1.03310801,-0.1170135153,0.0307568274,1.016222389,1.214568412,0.1025424631,2.542720589,1.645856404,0.9061712445,1.409007724,0.1402251393,-1.753244135,-0.7150214506,-0.1737768868,0.372431874,0.56084728,1.853112376,0.7257171867,3.894866253,3.25630916,3.524607302,2.326883722,0.9708491613,1.180250792,0.770681168,0.03238420745,0.1307504842,-0.5737072255,-0.3724588853,-0.001237650993,1.182166193,3.191161192,4.026341198,1.963560896,2.003556389,3.659761757,5.752863009,5.742260263,4.41354665,3.760133534,4.312165254,3.724219253,2.509712804,1.939279114,1.523058865,-1.687459328,-1.878668577,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.54365056,-24.94515353,-26.46804762,-34.17916126,-30.99391871,-30.4280612,-37.98256175,-36.01176728,-40.51044553,-39.9962339,-32.15196923,-30.35863095,-35.10683938,-38.44078659,-33.50617122,-32.54489679,-35.99978895,-36.03967846,-37.55882382,-28.78911888,-27.5522867,-34.94665999,-33.18691692,-32.16144464,-28.00683721,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,-10.90908773,-9.271523022,-13.11474238,-13.24921265,-12.35632076,-10.5691084,-14.17525773,-20.59550868,-5.318927618,-10.26379412,-9.623852012,-7.624229436,-8.878286238,-7.868841435,-15.59928931,-18.78962344,-7.13974458,-9.120508493,-10.46544264,-12.70037211,-15.85923764,-9.676293891,-12.04675446,-12.46726179,-12.10768311,-11.96000495,-14.02472804,-12.84675776,-10.38093082,-9.203769363,-12.86078857,-9.826056543,-12.60910564,-8.346652831,-5.714077346,-7.303300118,-3.726039459,-5.415007702,-8.237941081,-3.414742778,-4.349593034,-4.484240029,-4.632592702,-4.513158746,-6.171489675,-8.772944388,-7.875951444,-7.497539237,-12.92792793,-8.042070199,,
Chad,-3.647923024,-4.645742823,-5.598571196,-6.263719436,-7.601830522,-4.312783597,-4.050603736,-3.802236395,-3.744016533,-4.492086836,-5.789893976,-5.14524401,-4.818960965,-7.771475896,-8.41265595,-11.44794437,-10.3002973,-13.01857162,-11.54482793,-16.85902761,-11.92077001,-7.560858461,-6.932854646,-7.122652633,-6.035224272,-19.42039518,-21.98169028,-20.98322985,-15.08509631,-17.62724285,-14.42660695,-12.4462752,-13.72306725,-16.0004411,-18.77714736,-11.83852148,-11.5230147,-12.22542897,-11.07573077,-13.87162622,-17.79097915,-34.99033295,-100.9709267,-34.11298115,0.2491251907,17.16361682,22.01240527,2.5,2.6,-28,-24.8,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,-2.244252302,-4.013814345,-1.703117207,-2.229932834,-0.7417582132,1.046572475,1.110699741,1.141552511,0.8221993834,2.269825507,0.5924170616,-0.9956345255,-3.412685201,-1.814263764,0.6764434102,-1.972831938,4.329101491,-1.801875076,-3.343274151,-2.830932461,-4.158018235,-10.33617318,-1.884885974,2.691834932,-1.108742623,2.434556917,3.059099341,2.906612527,6.994568737,4.737583647,3.43636569,4.62607531,1.642900895,-1.995727332,1.663658861,2.200145161,-1.68839876,-2.119306265,-3.266071296,2.272245906,1.863561442,1.533706511,2.416786459,4.111991607,9.173973705,8.514372888,15.05645031,14.0033132,3.619810541,7.755350478,6.872619453,
China,,,,,,,,,,,-0.09485694637,-0.2566911631,-0.2430461051,0.5479276532,-0.2848411236,0.02333048975,0.3417581817,0.3756331448,-0.4645736931,-0.9212226257,-0.3653643904,0.506797396,2.368305866,1.125381074,0.02097640119,-4.076413123,-2.481265606,0.1076294343,-1.312020405,-1.432667754,2.98876355,3.057169444,1.182508302,-2.676952539,1.315571344,1.642566173,2.050146962,4.495132427,4.299944169,2.649089324,2.409185555,2.119872768,2.571327795,2.198652305,2.551382892,5.529600635,7.700544858,8.8000022,7.715243811,4.409711344,3.916234092,
Colombia,0.9348748049,-0.8361499228,-0.003795653257,-0.3673362666,-0.6919456574,1.018132295,-2.962955919,0.5162326212,-1.306656074,-1.146522533,-1.50638631,-3.848965896,-0.5273869482,0.8225032801,-0.9305674326,1.7279339,3.193867293,3.631137702,2.858755229,1.766461566,0.6332605402,-3.580843519,-4.244587181,-2.783111175,-0.5963824533,1.288793297,6.843856973,4.034264288,2.429387843,4.184648873,5.744478918,7.43487422,1.951362373,-2.3303939,-5.920813781,-6.429744539,-5.645183784,-5.913980602,-5.89422138,0.5438781861,-0.3661523875,-2.743119206,-2.99515464,-3.084155048,-2.128136352,-1.773814662,-2.871142074,-3.254296498,-2.251074242,-2.049165244,-2.212401486,
Comoros,,,,,,,,,,,,,,,,,,,,,-43.24365635,-37.45451179,-38.15288799,-33.8549506,-46.51677633,-33.06050822,-25.05242654,-27.25501674,-23.786329,-24.40651546,-22.89420337,-18.19617981,-23.80992932,-17.74171937,-27.17482644,-24.80302262,-23.05726434,-24.88098572,-25.90264735,-21.20215602,-15.799872,-15.27166054,-15.02821933,-13.67393256,-17.86191816,-21.61032447,-24.41339793,-26.59490444,-34.37294647,-33.49860748,,
"Congo, Dem. Rep.",-0.500545233,0.47064546,0.308194832,0.1138864521,-3.801617731,-1.310164804,-6.901427097,-0.8204248138,-0.7860485618,-1.046775209,-2.763765177,-6.397185239,-4.526305587,-2.434701412,-2.84937285,-5.127796043,-7.495988379,-9.344557074,3.151382032,2.607325842,0.126565106,-3.001075303,-1.803005804,-1.052609464,-0.1042951606,1.876731072,0.6794743441,-2.880363958,-2.323027378,0.651049835,0.2992358882,-3.744697693,-0.846240634,2.218859023,2.73388313,4.756045298,-0.3107305758,3.75000006,-3.099130151,5.981783049,1.009761178,-2.039011187,-4.909687039,-7.213257844,-8.818468016,-8.24667191,-13.67857338,-10.77065541,-15.2497423,-13.43437351,-12.81577888,
"Congo, Rep.",-65.15384122,-64.20164681,-32.46211703,-21.37462321,-18.29640918,-17.07818579,-21.21771218,-25.34248722,-26.84890675,-24.81859206,-23.02631579,-20.06763696,-23.47827053,-11.75495861,-6.245550035,-27.85888078,-26.17858569,-19.68096277,-17.34765003,-1.215686275,-0.1109877913,-18.07273399,-13.23943662,6.181181181,16.00417319,0.7828594973,-13.83483302,3.113419784,0.1972685888,13.69539473,7.874015748,-1.925328477,2.782071097,-5.905559795,-15.70707276,1.098276842,8.771254905,15.43509921,3.653597079,13.18595184,36.68366848,24.10879315,27.57379163,4.76295386,29.69138695,29.65277891,18.53971112,25.00637093,28.14900515,20.21254869,30.4217462,
Costa Rica,-4.761451961,-3.618654742,-2.755341607,-4.556176358,-3.4920969,-10.01399822,-5.710757088,-6.182696262,-4.511673609,-5.191590102,-6.769867132,-10.38811953,-6.43637866,-6.100920985,-14.81041278,-8.48577104,-6.001761003,-5.465864114,-7.850259265,-10.27052641,-10.34113728,-4.907823198,2.919026625,-0.934216076,-0.02636379371,-1.600122248,0.07144508218,-4.054284852,-2.224820606,-3.820948383,-6.062875761,-3.561348826,-4.62727382,-6.466270535,-5.571286297,-2.81002697,-3.471243966,-3.840164727,-2.645374573,5.817780369,2.856721483,-3.053885726,-5.246921984,-1.866168766,-3.224807107,-5.474302002,-6.148245932,-4.805014694,-9.756337265,0.5850644081,-3.095193,
Cote d'Ivoire,11.3350266,7.18898291,8.645695594,10.41558575,11.16326006,6.699191645,7.710635502,7.432431684,12.70490846,9.692003951,6.661694315,3.782666209,4.505469992,2.521911072,7.320703834,0.1437983191,5.493716663,6.295479651,-0.9142911338,-3.059283512,-6.177031032,-7.109191892,-2.903564298,1.239542861,13.5206572,14.37731225,9.314459654,3.809732114,2.597985467,2.978127233,4.57825373,3.025631377,3.79390852,3.536383899,11.21814571,7.316255422,8.682714167,8.329561231,6.365119147,8.165825896,7.104237734,8.378934296,16.62863408,10.92528777,9.201036916,7.464786032,10.29380392,5.875145901,7.709089357,8.056052108,4.591161093,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.476842807,5.468141242,-1.18323877,-0.07193408276,-8.410821638,-6.623649523,-13.08451253,-6.880007613,-6.263326514,-3.270672009,-3.925706945,-8.378226654,-7.87550318,-6.387586114,-6.495734205,-7.069772294,-7.617055378,-8.277290434,-3.934018067,-0.509565403,
Cuba,,,,,,,,,,,-11.55581953,-11.55712844,-11.55688707,-11.5535699,-11.55819587,-11.55331637,-11.56367295,-11.55568031,-11.53698398,-11.58132572,-11.52891889,-11.61545581,-11.5157172,-11.44350234,-11.80303441,-11.26688466,-12.04814042,-11.01702415,-11.08242806,-13.60069475,-10.63640251,-7.13375718,-1.31033372,-2.527410649,-1.296468957,-2.505394001,-1.998217234,-2.907018,-3.999362775,-2.793906639,-2.815947548,-2.89079736,-1.675181004,-0.6832583597,0.7321452878,2.673986146,0.2383295318,2.705128533,-3.78201565,3.030093804,0.6510688957,
Cyprus,,,,,,,,,,,,,,,,-21.20622568,-12.87810722,-19.94800284,-20.5923001,-19.08542394,-17.80875895,-13.07077991,-13.31837294,-13.56558421,-12.44205115,-10.09310441,-3.38559567,-2.98280923,-5.42612507,-8.414191853,-5.607078139,-10.00860268,-11.18308679,-0.4336275079,-0.3971841017,-0.07789874119,-2.901449348,-1.735472283,-0.9502711014,1.743563445,0.8440014868,2.068576353,-1.559419307,-1.240212101,-2.456584763,-2.567295037,-3.750347693,-6.252379847,-10.7479609,-5.289743892,-6.443172058,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.634940913,7.031042717,0.8974964573,1.526489075,-2.679102862,-4.327722325,-5.840533527,-5.181619507,-1.088464064,-1.167869811,-3.02032415,-2.500367739,-2.084618281,-2.281509132,0.06799864429,3.174107918,3.424126784,4.972478829,4.553870242,5.556825751,4.768163201,
Denmark,-2.011355343,-2.345376759,-3.885469521,-0.3883190548,-2.775852024,-2.243020978,-2.231259427,-2.66587669,-2.033571998,-2.842851531,-3.711353463,-2.786141292,-1.065022422,-2.754697827,-3.555824526,-1.691346792,-5.289710706,-4.331281859,-2.873744247,-3.565980954,-1.617562838,0.4415580792,-0.04337308181,1.381716498,0.6988140071,-0.2414654455,-1.268634183,0.9559950873,2.282432863,2.644960096,4.599784928,5.435042425,6.23994176,6.692849051,5.247583027,4.088490454,4.908236465,3.672129924,2.114531009,5.048814436,6.035566705,6.639657805,5.837097711,6.250423899,4.871980248,4.905527042,3.178176322,2.284187006,3.17268554,3.753299929,5.26532957,
