CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Niger,,,,,,,,,,,,,,,,,,,,,0.1035507149,0.1233768402,0.1324432276,0.1792646483,0.222083984,0.206923708,0.1759535434,0.1951200435,0.1805214712,0.1881248906,0.1523238092,0.1466385908,0.1498576135,0.1656634248,0.157957395,0.1623547515,0.1732488361,0.1679968145,0.1615113115,0.1602176301,0.1220217268,0.108677767,0.1131591854,0.1161768799,0.116060819,0.1041215482,0.0975387744,0.1006766717,0.09028390462,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,0.5483120418,0.6108297319,0.6089648713,0.5874060405,0.7169843915,0.656070936,0.6730581237,0.5472148249,0.5936123509,0.3321930712,0.3282509061,0.3124629747,0.4353637959,0.3943346782,0.3060322329,0.2234332601,0.2479905571,0.2400907606,0.2356186406,0.2597667071,0.4357104212,0.4448624334,0.5157281725,0.443804889,0.4181116181,0.4252898171,0.3549712655,0.3203768293,0.3266338189,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,0.3272333653,0.3056855417,0.301834173,0.2661428291,0.2764438365,0.2765236536,0.2563754259,0.2630380197,0.2508702151,0.2768750412,0.2282554726,0.2262777246,0.202558435,0.2079515878,0.1848788966,0.2002100236,0.1915324706,0.186954513,0.1845346648,0.2144795095,0.196506077,0.2040139244,0.1830764015,0.2064618059,0.1987833166,0.1924012079,0.1961842643,0.1939960068,0.2158044028,,,
Oman,,,,,,,,,,,,,,,,,,,,,0.5213513905,0.4432593264,0.378651121,0.4262418971,0.3908133423,0.3683742971,0.3964629219,0.392222347,0.4151261705,0.3526012151,0.3779647966,0.3768955508,0.3840861275,0.4032602278,0.4401096669,0.4373849389,0.4056023886,0.3918279337,0.4079503995,0.5101932832,0.5128675332,0.4422627247,0.5387728177,0.6874523816,0.6418780692,0.6776793622,0.7214033522,0.7007386274,0.7039389655,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,0.3254845328,0.3235300823,0.3300276407,0.3332091905,0.3372282067,0.3450247072,0.3428185343,0.3486173701,0.3522292015,0.3513970922,0.3783901023,0.358465289,0.3549946116,0.3738716239,0.3919643924,0.371866749,0.3965042664,0.3936198165,0.395794367,0.3924568259,0.3991643506,0.3981464299,0.4063736723,0.4039351004,0.4164769608,0.4015613349,0.4037150169,0.4213630385,0.4206615608,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041080619,0.5387536588,0.5944977292,0.5540519378,0.5162491756,0.4827014264,0.4718489101,0.4625969625,0.4890031317,0.4875405101,0.7520059695,0.7792807974,0.8211266761,0.7827709019,0.7562314582,0.7757640898,0.7869441235,0.8274911919,,,
Panama,,,,,,,,,,,,,,,,,,,,,0.2696854792,0.2223068243,0.2023109132,0.2282391946,0.1950751537,0.1754938635,0.1762169035,0.2132168965,0.2077332868,0.1821116836,0.2137087875,0.2113027896,0.2311764621,0.2254227,0.2538235583,0.1811601757,0.2476583546,0.2840127196,0.2640995177,0.2422360547,0.2408662632,0.289846213,0.23604972,0.2389095592,0.2093513579,0.2032124735,0.2118312305,0.1841731164,0.1728359183,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,0.2953224121,0.3127531481,0.3140186719,0.3139527906,0.3208198871,0.3206423935,0.297292165,0.3273000396,0.2995735717,0.281095936,0.3049700474,0.2683815436,0.2344783434,0.192702672,0.1989469049,0.1922757226,0.189386976,0.2328237759,0.2686711437,0.2290153655,0.2561956384,0.30829802,0.3357770279,0.3712055064,0.408129864,0.4055686581,0.3937794676,0.2488942717,0.1579831018,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,0.1185668491,0.1029694536,0.1039583363,0.1111197059,0.1143192556,0.1143873059,0.1245724769,0.1349181825,0.1447437741,0.1421495682,0.1331406795,0.128247273,0.1455862145,0.157741228,0.1802210984,0.1936542599,0.1825291451,0.1981888773,0.2115157215,0.2146970033,0.1819717318,0.184671503,0.1884848337,0.1895409674,0.1828340595,0.1665649828,0.1660804845,0.161430015,0.1518654918,,,
Peru,,,,,,,,,,,,,,,,,,,,,0.2293790801,0.2138491071,0.2112777052,0.2069614621,0.1990596105,0.1825884256,0.1858607985,0.203086307,0.2166172782,0.2133962347,0.2180546466,0.2058529296,0.2064423206,0.2276739164,0.1990040697,0.1883783356,0.1874469771,0.1973196046,0.2015232163,0.2108373898,0.2113432509,0.1890914499,0.1801983161,0.1680739735,0.1935781752,0.212582579,0.1863846876,0.2106843692,0.1787441174,,,
Philippines,,,,,,,,,,,,,,,,,,,,,0.2780397712,0.2544995149,0.2469474348,0.2465434964,0.235871681,0.2403878953,0.2378164195,0.2495619667,0.2767750138,0.2662021801,0.2831911915,0.2931416102,0.3207910848,0.3201862668,0.3365084767,0.3605175925,0.3543024773,0.397181192,0.3904385942,0.3656012556,0.379362606,0.3596180503,0.3419884188,0.3265963089,0.3171512212,0.3106142017,0.2462238047,0.2683337306,0.2726391334,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176211522,1.247085223,1.20199505,1.14323204,1.035380342,0.9987583298,0.972659769,0.8886168503,0.7883056872,0.7315735313,0.6675170929,0.6620044584,0.639924068,0.6325407336,0.6010041283,0.5774174133,0.5715595232,0.5281937432,0.5038097321,,,
Portugal,,,,,,,,,,,,,,,,,,,,,0.23813425,0.2326807823,0.2339317196,0.2416104482,0.2435638545,0.2260827225,0.2366563604,0.2366374783,0.2312795472,0.271264019,0.2707410273,0.2861901862,0.30735973,0.2844194499,0.2893826716,0.2981345962,0.2792586482,0.2805586423,0.2902393887,0.3107456505,0.2910697341,0.2849671427,0.3006057587,0.2781973876,0.282414731,0.2897094891,0.2584594543,0.2572963825,0.2405560946,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9065341568,0.7603417306,0.7259701824,0.8190429304,0.8442611529,0.9093501103,0.8454586812,0.7918853464,0.6361265049,,,
Romania,,,,,,,,,,,,,,,,,,,,,1.159382874,1.159563786,1.101568416,1.063633809,0.9478343101,0.974198001,0.9895573516,1.030348218,1.03850584,1.10951211,0.8719227862,0.8666436593,0.8645041608,0.8316813673,0.7650494226,0.7855409456,0.7512120146,0.7258871628,0.6815070131,0.5963705518,0.586350446,0.5897928198,0.5406532927,0.5349269683,0.4905892814,0.4688761559,0.4667654417,0.4248940631,0.3734510786,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.461525068,1.462831308,1.44481346,1.45513317,1.488597269,1.387186375,1.403737308,1.339363917,1.232841285,1.166275306,1.108258956,1.065020734,1.004975335,0.9522343905,0.9098305139,0.8372642825,0.8151120833,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,0.1172630523,0.1351081449,0.1343234144,0.1450680878,0.1379379471,0.1283024665,0.1180254271,0.1216750849,0.131684473,0.1303459416,0.1321294529,0.125335639,0.1197598625,0.1310767471,0.2544276772,0.1859259844,0.1698447372,0.1543872953,0.1394333249,0.1355325652,0.1281175076,0.1187120995,0.1069478374,0.103532382,0.09743541286,0.089144934,0.08163455495,0.08025984781,0.07106572025,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,0.2202063881,0.2684779624,0.2108699319,0.191059509,0.1795669154,0.1837435333,0.158462249,0.1743449993,0.1620040892,0.1584084254,0.1753200471,0.1697041425,0.1829776704,0.1816606806,0.1898362004,0.1918832988,0.1797162069,0.1776841622,0.1688842373,0.1643072654,0.2875182676,0.3073704227,0.3399263832,0.326340315,0.3189674982,0.3023216632,0.3010014734,0.2836229946,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,0.2294073917,0.1858813449,0.24852184,0.2153183901,0.1930236359,0.2313670651,0.2071581711,0.2258063006,0.2264751448,0.2076539532,0.1680797544,0.1709714495,0.1903451632,0.2054530623,0.2352473571,0.2688821483,0.2700685006,0.2540392599,0.2360537159,0.2388507052,0.2470988717,0.2864762281,0.2497819266,0.269565684,0.2526001208,0.2495850967,0.235716239,0.2446408,0.2387383123,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,0.1109258649,0.1045194062,0.1097085914,0.1050856726,0.1623897252,0.1530295194,0.1434702612,0.1601135715,0.1197460087,0.1363055876,0.1359374443,0.128964238,0.1313633209,0.1596691561,0.1940080613,0.2095460082,0.2125186585,0.18761345,0.2169508792,0.2124151793,0.1950556846,0.2174351541,0.2179380559,0.21973173,0.2061740502,0.2056880047,0.1912696655,0.1846782975,0.181674726,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.2943930511,0.2931295615,0.289403338,0.2784880183,0.2639582161,0.2626891821,0.2665334101,0.2735864065,0.2949164812,0.3018592352,0.3113601748,0.2990971914,0.289361799,0.2962436094,0.2761551791,0.2739540361,0.2675473408,0.2761114301,0.2579868866,0.2472426727,0.2368038028,0.2376273526,0.2322915888,0.2283553481,0.2239051152,0.2151578469,0.2234157642,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5619243691,0.5841543765,0.5732086643,0.5556372431,0.5936744211,0.556526192,0.5250247094,0.4962426492,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,0.5097953291,0.5044504388,0.5111642535,0.5673491668,0.5660343424,0.6559696717,0.7407018815,0.7180685157,0.7047237418,0.7084021108,0.6902608691,0.7898218972,0.8064245952,0.8870595728,0.867371011,0.6545021235,0.6968563656,0.5697058911,0.5296325647,0.5849617781,0.7309458703,0.722310555,0.7887264971,0.7330966576,0.7444984907,0.748165271,0.7576021505,0.7692007114,0.8057030443,,,
Senegal,,,,,,,,,,,,,,,,,,,,,0.4043249352,0.3785012237,0.3252073682,0.2960812425,0.3585276159,0.2809364643,0.2709611454,0.2353445576,0.2647038064,0.3430664607,0.2974278774,0.3120674616,0.3131874367,0.3192650688,0.3466907229,0.2947157979,0.3092138176,0.2616307806,0.2595493378,0.2633745245,0.271651083,0.2856305222,0.2979489747,0.3079512714,0.3063217621,0.3218228113,0.2565315447,0.274435525,0.2451242332,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7841039852,0.982545865,0.9325005136,0.9283866182,1.007523183,0.9837341622,1.027927242,0.7985406961,0.8420357828,0.8592308761,0.8822224102,0.91876871,0.9184748103,0.7348034563,0.7456855164,0.7053618785,0.695160977,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,0.1357156197,0.1535498465,0.132280182,0.1579857947,0.1511664723,0.20656699,0.2271214242,0.2658830714,0.2476820652,0.2639858063,0.1195078971,0.1463098692,0.1575371132,0.1450481609,0.1694776185,0.1742393002,0.1724600472,0.3223326164,0.3157651225,0.3616230408,0.3815569829,0.4436638093,0.3707166494,0.4045525442,0.5780601458,0.4843450244,0.4778225201,0.3647697087,0.4043576245,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,0.2371018791,0.2623926864,0.2000696437,0.2544437791,0.2184346854,0.2485380727,0.2495726532,0.1720270084,0.1701604167,0.1378446342,0.1386069726,0.1635314679,0.2034930949,0.2147270542,0.2523232129,0.2759832953,0.2792688107,0.3413368093,0.32233264,0.3443291528,0.3588205364,0.413102379,0.4501377549,0.423287902,0.3430185332,0.3783347571,0.3465070443,0.3447984383,0.3321933791,,,
Singapore,,,,,,,,,,,,,,,,,,,,,0.8642376937,0.666703854,0.6892041584,0.7467846916,0.6549486153,0.6595237627,0.6825090756,0.5734366244,0.5717854149,0.6018108195,0.6125045093,0.5811315736,0.5754912024,0.561007683,0.6071100345,0.4078525555,0.4444087074,0.5125368934,0.4332315311,0.3578419829,0.31084071,0.282574421,0.2666197883,0.210007345,0.2261842433,0.2597777101,0.2274934726,0.1573571792,0.1390427726,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8516842098,0.7938208973,0.7361328164,0.7499100365,0.6897100122,0.6478729871,0.639236037,0.5892368429,0.5326775315,0.5545927641,0.5288573215,0.5078674071,0.474305354,0.4495908286,0.4123581827,0.3508021828,0.3400191905,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4580465434,0.4504192971,0.3670241986,0.4565559448,0.4608543298,0.468670826,0.4336016944,0.4016601517,0.3714233418,0.3743178298,0.3665429988,0.3580589536,0.3480788282,0.3379473578,0.3265005978,0.3048211224,0.3117842635,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2227931938,0.21017397,0.1865055796,0.1752962329,0.1568033582,0.1517877772,0.1493898049,0.1515719466,0.1489154913,0.1530384996,0.1785069489,0.2026056116,0.2084419873,0.2040486939,0.1945203649,0.1845173242,0.1725321216,0.1717592052,0.1600738166,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,0.9454387774,1.010906186,1.106986263,1.173934286,1.207635455,1.254424567,1.27989152,1.246624126,1.247390408,1.211301268,1.188108721,1.24648419,1.194689823,1.244421476,1.263079694,1.206243689,1.173392007,1.183577298,1.180310822,1.149449448,1.096389858,1.050210831,0.9710039679,1.033045965,1.074587449,1.006018829,0.9468250179,0.9580103715,0.9303108809,,,
Spain,,,,,,,,,,,,,,,,,,,,,0.3739461769,0.3610053967,0.3610646897,0.3462685715,0.3301619465,0.3275988903,0.2994441515,0.2843072785,0.282372752,0.3063971703,0.2964320548,0.2985830373,0.3084414415,0.2885846694,0.3038551526,0.310894239,0.3001342152,0.3004668022,0.298734413,0.2931945325,0.2910173434,0.2840092104,0.2920294876,0.2891767278,0.2960153971,0.297501427,0.2832364677,0.2798678709,0.2550571406,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,0.1450605929,0.1642016479,0.1751260925,0.181792709,0.1354731716,0.1321666397,0.1165279369,0.1279372564,0.1064693881,0.1046413828,0.1092864277,0.1125016602,0.1341167246,0.1216388693,0.1270776191,0.1291089827,0.1491645316,0.1513496234,0.1495010789,0.1576230592,0.1769976241,0.1812680158,0.1873353534,0.1712351885,0.1822799139,0.1669437877,0.1563735737,0.1535539722,0.1384565751,,,
Sudan,,,,,,,,,,,,,,,,,,,,,0.1756401659,0.1588422534,0.1576089252,0.1576780716,0.1488638006,0.1845941031,0.1826794474,0.1261266699,0.183034302,0.1302782264,0.203834534,0.1837163539,0.1521945124,0.08898776424,0.1346516165,0.1315402688,0.1151843818,0.1322788947,0.1099121091,0.1155906559,0.1158680896,0.1256293921,0.1519816152,0.1585046228,0.1780970371,0.1936031007,0.1694355157,0.1668877301,0.1731514875,,,
Suriname,,,,,,,,,,,,,,,,,,,,,0.984659453,0.8420621096,0.7912473157,0.5987411163,0.7039861263,0.7361136107,0.8382522508,0.9684205366,0.9525722466,0.8523402465,0.8362485657,0.9437320877,0.9505785378,1.04630009,1.016827189,1.01427511,0.9779821354,0.9297020568,0.9249174577,0.9282729506,0.9177773361,0.9353506949,0.8864927032,0.8322038492,0.7806126556,0.7777569353,0.7678144639,0.7301098619,0.6976009804,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,0.3358270331,0.2744841436,0.2713029264,0.1667050024,0.1931035255,0.2453377843,0.2276411904,0.1890941986,0.1774369109,0.1571474397,0.1265809551,0.0954380772,0.07479528126,0.03627102153,0.129875828,0.1163880822,0.08406137836,0.2875523492,0.2828177157,0.2805209332,0.2642504554,0.2515507512,0.243197374,0.2200480912,0.2115738553,0.2042828992,0.1970406787,0.1993051174,0.2000859847,,,
Sweden,,,,,,,,,,,,,,,,,,,,,0.4240718364,0.4111426399,0.3645153942,0.3350829288,0.3160405995,0.3365657547,0.3253388012,0.3027012919,0.2836145855,0.2667856261,0.2459106877,0.2664597828,0.2781317467,0.2641809249,0.2696905773,0.2462531843,0.2739708217,0.2401556016,0.2323250076,0.2064426733,0.1925663514,0.1952634727,0.2139946627,0.1994828383,0.1904174363,0.1745741427,0.1609162366,0.1509945265,0.1551036815,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,0.2251388779,0.2124101504,0.2028797181,0.2205214843,0.2093005227,0.2052479065,0.2139887919,0.2004763353,0.1963245236,0.1827172614,0.1915599745,0.1906169731,0.1948128571,0.1848004352,0.1846173166,0.1747328433,0.1764545598,0.1795815347,0.1763690993,0.1690452377,0.1567589347,0.1704548786,0.1609036627,0.1591344024,0.1559814226,0.155468338,0.1518435501,0.1330083319,0.1384082171,,,
Syria,,,,,,,,,,,,,,,,,,,,,0.706140338,0.8256754449,0.7432929147,0.8367400135,1.032293559,0.8716874695,0.9696643444,1.099415743,0.9899046143,1.01726701,1.0239625,1.094491977,0.992322358,1.000373488,0.9571740295,0.9615499351,0.9114608572,0.9176735735,1.034842533,1.110680979,1.058984239,0.964196074,0.8369160903,1.041485834,0.9385310246,0.8428471187,0.8503869665,0.8360976282,0.8079975228,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6971737024,0.5971839349,0.3455009924,0.410380416,0.5686166096,0.4256790844,0.4689893183,0.4562404848,0.3740575864,0.3477819588,0.2616493417,0.2619612885,0.2548489522,0.2367229405,0.2342824978,0.2935995618,0.2640466484,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1194917756,0.1110967503,0.1115430377,0.112150107,0.1081402045,0.1192957039,0.1089597989,0.1528377479,0.1424223706,0.1145466403,0.09794407892,0.09275191964,0.09235055637,0.1027905714,0.1100879627,0.1092025428,0.1158119475,0.1260365883,0.1248917514,0.1308617684,0.1303822147,,,
Thailand,,,,,,,,,,,,,,,,,,,,,0.3804722296,0.34073086,0.3222046473,0.3417408236,0.349922878,0.3540434816,0.3426068306,0.3584121753,0.3722554021,0.3906789241,0.4269019993,0.4766091057,0.4815189295,0.4999640463,0.5093362192,0.5345580057,0.5638814693,0.5924582079,0.587785027,0.5942682491,0.5805767677,0.6120672835,0.6174371196,0.613866517,0.6291405256,0.6180759373,0.6069808524,0.5739756294,0.5672914784,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2525827409,0.2523158342,0.2642695557,0.2487886267,0.2695017507,0.2551740714,0.2345056785,,,
Togo,,,,,,,,,,,,,,,,,,,,,0.2375012064,0.2143125448,0.2599711607,0.2047644795,0.2161201935,0.1850109516,0.2343297724,0.2524680781,0.2446719323,0.2481883179,0.2302440524,0.2527460694,0.2609352944,0.3181126566,0.2661113384,0.2826230009,0.288641373,0.2348945195,0.2842186758,0.3654205574,0.3252345575,0.2791478949,0.2841297838,0.3285337102,0.3045753928,0.2883807586,0.252851477,0.2664897265,0.280598255,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,0.1963720743,0.1730612499,0.1838385811,0.1806973457,0.1695757958,0.1660576097,0.1860501242,0.2401834282,0.2392505828,0.2699529418,0.3019994567,0.2891907637,0.3252319353,0.3209521275,0.3201363705,0.3201036667,0.3312096108,0.3120416155,0.3504452847,0.3196481785,0.3552832127,0.3515001409,0.4216699778,0.4086702131,0.4125893145,0.4121069268,0.4249331655,0.4138135784,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,1.026431924,1.000205697,1.026355847,1.000142216,1.141385521,1.408991238,1.220231245,1.28856264,1.214522011,1.245865304,1.289532823,1.558615521,1.580025884,1.2850145,1.46452572,1.487915472,1.486996625,1.278194367,1.191476428,1.348083094,1.364689013,1.338267408,1.331395481,1.198371675,1.265323228,1.173025315,1.154476121,1.183255692,1.552862925,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,0.3673422891,0.3602523651,0.3512246605,0.3981509089,0.3845662967,0.3763737448,0.3858876857,0.3521985232,0.3733644117,0.3896263388,0.3618329117,0.4065639507,0.365787687,0.3931587619,0.3680918907,0.3550015017,0.3528674402,0.3383935468,0.3424786796,0.3289622024,0.3427831577,0.3416099483,0.339093586,0.3273395819,0.3240724654,0.3165457499,0.3038935906,0.2951516671,0.2959214443,,,
Turkey,,,,,,,,,,,,,,,,,,,,,0.2882622764,0.2898266086,0.3047798319,0.3022065924,0.2996343545,0.3202099332,0.3277297937,0.3326938055,0.3161441331,0.3476901649,0.3444120115,0.3442358359,0.3335514276,0.329428936,0.340090664,0.3445948685,0.3495954742,0.3425080042,0.3389616769,0.3359888931,0.3456643463,0.3299022242,0.3285434008,0.3315803409,0.3127637823,0.3038343437,0.3132215295,0.325664011,0.3227614131,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.261553806,2.47672414,3.624045612,4.038689537,3.921563936,4.219041512,3.441078684,3.98359809,3.409914474,3.15193837,2.817465183,2.528257641,1.981266735,1.847082395,1.741927294,1.628919749,1.481241163,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.07153635692,0.07673071243,0.07289571601,0.0777442267,0.08823709932,0.08984051447,0.09715802475,0.08742615202,0.08211022122,0.08092920151,0.07926610156,0.06974832392,0.05940531836,0.06848641041,0.06904497244,0.07073036831,0.07964215766,0.07673493129,0.08183717618,0.08282969868,0.07960107042,0.07540467138,0.07526529144,0.09031900225,0.09430502932,0.1030174659,0.1108116438,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.854410241,1.839979363,1.954281559,2.220519739,2.281303092,1.94609549,1.910763947,1.937387943,1.764674106,1.620417134,1.526114013,1.541954367,1.339833752,1.289049356,1.161550014,1.079986361,1.038612325,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,0.2946169185,0.2811376522,0.301508871,0.3034037205,0.3829032413,0.4274108946,0.4754936862,0.4644019891,0.4836380657,0.4849969364,0.3912281037,0.4251960522,0.4195582265,0.4702339013,0.487572034,0.4414481043,0.2425245729,0.227367808,0.4436304114,0.4146100737,0.53716766,0.4769114937,0.3873221083,0.4491681934,0.4350512782,0.4250161213,0.4105370057,0.4471028263,0.4864356359,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,0.5918146349,0.5800003086,0.5550551127,0.5325843548,0.5030344158,0.513432914,0.5014838757,0.4822103594,0.4579804684,0.4566013921,0.4441113618,0.4690150195,0.4633162312,0.4378671693,0.4171218745,0.4053041446,0.4052123687,0.3641412141,0.3506299236,0.3269173091,0.3177065199,0.3119059705,0.2935613696,0.2882015401,0.2825602983,0.2751411623,0.2685453288,0.2530265786,0.2525799189,,,
United States,,,,,,,,,,,,,,,,,,,,,0.8145005219,0.7624530641,0.7381735201,0.7119156714,0.6848765203,0.6602008392,0.6389950324,0.6460304164,0.6476425093,0.6333334686,0.6127868041,0.6132410841,0.5937515201,0.6116742299,0.5942877188,0.5807124767,0.5708026645,0.5623278081,0.5330474599,0.5156711267,0.4936020322,0.4774158044,0.4730140049,0.4643454902,0.4558137809,0.4447926386,0.426969103,0.4239066928,0.4148382541,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,0.2565015427,0.2325734196,0.233637074,0.2039628784,0.1865008943,0.1756014723,0.1556393876,0.1614074172,0.2147447126,0.2156403014,0.1759099087,0.1937674644,0.2038120253,0.1715011756,0.1455550102,0.1667372876,0.1871927599,0.1760545367,0.172445393,0.207942735,0.1672924992,0.1668866521,0.1641918546,0.1621045864,0.1883574014,0.1804365222,0.1995248069,0.1689909873,0.2188765565,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.142053023,3.34345425,3.302194333,3.029848709,3.046431625,2.856330656,3.163427631,3.029129748,2.981119964,2.910725365,2.910624448,2.700168522,2.437428074,2.09321688,2.053086944,1.883012307,1.862718291,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.1949022292,0.1540386299,0.1391494734,0.130971333,0.1195146178,0.2603701448,0.126407082,0.1057666375,0.1489962017,0.1385934474,0.1386656821,0.1273689666,0.1241509533,0.1232258477,0.1129927834,0.1118610183,0.1396811112,0.1389283215,0.1276488686,0.1272229412,0.1148878022,0.1244514743,0.130176601,0.1309451752,0.1253233747,0.07442178036,0.06007703995,0.09545769053,0.1021676603,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,0.5208563942,0.5294663279,0.5491140644,0.5687366825,0.5613578083,0.6087183664,0.6180695491,0.6046088748,0.5976836519,0.6129262747,0.6460693121,0.5563856432,0.4811170014,0.5635505619,0.6030620447,0.5948217203,0.5491035359,0.5633575787,0.7015787911,0.7697382317,0.6554875414,0.7176157187,0.8819751502,0.9503927575,0.7038207616,0.6050299632,0.5300041187,0.5189447613,0.5109430029,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,0.3852314608,0.4475623268,0.4750212313,0.5157566022,0.437921228,0.3080733451,0.3583755142,0.3389102438,0.3255371573,0.3090654956,0.325173494,0.330084257,0.3548393735,0.4321727952,0.431151908,0.4136241733,0.4321396098,0.4649943127,0.5027177445,0.5214355109,0.6191896257,0.5844966793,0.4344765609,0.5372098063,0.5732423191,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04969206478,0.06514452093,0.06494270604,0.08327849408,0.1654282897,0.1585524584,0.1639835614,0.2251164917,0.31127129,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4431450168,0.4392100113,0.577411324,0.3640886338,0.4111914753,0.385113409,0.4886195642,0.4810882313,0.3577929592,0.39265274,0.3896045351,0.4166972317,0.3888888764,0.4114630481,0.4318017982,0.4341114116,0.436475107,0.4464356301,0.4583236142,,,
Zambia,,,,,,,,,,,,,,,,,,,,,0.39907943,0.3583292611,0.385568618,0.365444669,0.3161174283,0.3038105765,0.316487574,0.2882905611,0.3154199444,0.2640186422,0.249227746,0.2463275141,0.2548504655,0.2429040946,0.2572581287,0.2374519745,0.1912762681,0.2367244706,0.2334388504,0.1784169696,0.1733006757,0.1731994207,0.173147831,0.1757902063,0.1673969157,0.1702398858,0.1620843717,0.1149021083,0.1193886237,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
