"15-19 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
United Arab Emirates,7000,8000,9000,15000,20000,39000,56000,76000,133000,166000,232000,251000,238000,319000,366000,366000,387000,371000,369000,388000,415000
United Kingdom,3316000,3312000,3572000,4273000,3858000,4128000,4680000,4528000,3898000,3435000,3659000,3970000,3963000,3737000,3619000,3878000,3934000,4043000,4089000,4043000,3998000
United States,11217000,11404000,13803000,17341000,19444000,21258000,21009000,18624000,17923000,18439000,20373000,21705000,22413000,21892000,22424000,23373000,23374000,23417000,23287000,23211000,23481000
Uruguay,200000,200000,204000,219000,227000,237000,246000,235000,260000,275000,255000,257000,266000,258000,248000,242000,236000,231000,224000,217000,212000
Uzbekistan,636000,789000,590000,684000,1105000,1598000,1904000,1907000,2101000,2311000,2700000,3120000,3182000,2763000,2526000,2535000,2686000,2720000,2605000,2400000,2216000
Vanuatu,5000,6000,7000,8000,9000,11000,13000,13000,14000,17000,20000,24000,27000,29000,31000,34000,36000,36000,37000,38000,39000
Venezuela,500000,578000,727000,922000,1134000,1383000,1732000,1875000,1972000,2276000,2487000,2705000,2728000,2765000,2848000,2920000,2936000,2905000,2855000,2802000,2743000
Vietnam,2773000,2528000,2516000,2836000,4178000,5149000,6126000,6864000,6964000,7779000,8263000,8955000,9044000,7728000,7301000,7096000,7093000,7042000,6974000,6677000,6413000
Virgin Islands (U.S.),2000,2000,3000,5000,5000,7000,11000,11000,10000,8000,9000,8000,9000,8000,7000,7000,6000,6000,6000,5000,4000
West Bank and Gaza,99000,111000,119000,129000,110000,123000,170000,195000,246000,272000,317000,408000,473000,583000,651000,707000,755000,798000,838000,872000,893000
Western Sahara,1000,2000,4000,5000,7000,8000,16000,17000,20000,26000,34000,44000,48000,50000,53000,58000,64000,67000,66000,62000,59000
"Yemen, Rep.",430000,474000,530000,612000,706000,783000,922000,1098000,1319000,1648000,2078000,2513000,2896000,3148000,3370000,3823000,4194000,4459000,4574000,4612000,4645000
Zambia,241000,275000,314000,367000,407000,490000,593000,724000,858000,1005000,1128000,1283000,1442000,1694000,1936000,2188000,2396000,2562000,2680000,2771000,2860000
Zimbabwe,278000,315000,371000,391000,551000,657000,788000,949000,1149000,1377000,1590000,1658000,1656000,1620000,1598000,1676000,1799000,1909000,1892000,1821000,1782000
