 New smear-positive cases (per 100 000 population),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Syrian Arab Republic,,,,,,9,10,9,10,10,10,9,8,9,8,7,7,6
Tajikistan,,,,,,18,4,6,7,0,7,12,11,0,16,27,31,33
Thailand,,,,,36,35,29,22,13,25,29,46,41,46,45,47,46,45
"Macedonia, FYR",,,,,,16,11,10,9,6,8,8,10,10,10,9,9,10
Timor-Leste,,,,,,,,,,,,,122,108,100,97,81,88
Togo,,,,13,,20,20,19,18,17,18,,21,22,26,29,33,27
Tokelau,,,,,0,68,0,,,0,0,0,,0,,0,0,0
Tonga,,,,17,18,9,14,11,16,10,15,8,23,11,8,11,14,14
Trinidad and Tobago,,,,,4,1,5,4,6,7,9,12,5,6,5,7,11,10
Tunisia,,,,12,11,14,11,,13,11,11,11,9,9,9,9,9,9
Turkey,,,,,,7,4,5,6,6,6,6,0,8,8,10,11,10
Turkmenistan,,,,12,,13,13,18,18,22,23,27,27,25,23,21,24,28
Turks and Caicos Islands,,,,,,,,,,11,,5,9,27,,,28,
Tuvalu,,,,21,10,61,,,,0,0,0,0,0,,48,38,114
Uganda,,,,60,72,64,70,76,78,77,70,68,73,75,75,71,68,69
Ukraine,,,,16,17,16,15,19,21,21,22,0,0,27,0,,31,24
United Arab Emirates,,,,,,,,,,1,2,2,2,2,1,2,1,1
United Kingdom,,,,0,0,,7,1,2,1,2,2,2,2,3,3,3,3
Tanzania,45,46,50,55,59,67,70,70,74,73,71,71,68,68,69,66,63,61
Virgin Islands (U.S.),,,,,,2,5,,,,,,,,,,,
United States of America,,,,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
Uruguay,,,,12,12,11,13,13,11,12,10,10,9,11,11,11,9,11
Uzbekistan,,,,,33,12,14,14,15,16,15,18,19,18,20,21,27,23
Vanuatu,,,,,37,17,28,37,21,23,33,29,19,20,28,16,19,18
Venezuela,,,,13,13,14,14,14,15,15,14,14,14,15,14,14,13,12
Viet Nam,,,,,,51,66,66,71,69,67,68,70,68,70,65,65,62
Wallis et Futuna,,,,,,21,21,7,,,,7,7,47,,7,,7
West Bank and Gaza,,,,,,0,1,,0,,1,1,,0,0,0,0,0
Yemen,0,0,0,0,0,24,27,28,29,31,31,27,22,19,17,16,15,16
Zambia,,,,,107,108,127,,,114,124,122,150,171,153,129,120,112
Zimbabwe,,,,47,,76,100,119,117,115,114,120,124,112,112,100,96,79
