Population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bosnia and Herzegovina,1.436868491,1.416669713,1.391468478,1.343656726,1.264377217,1.166742858,1.062203933,0.9751086761,0.9235967967,0.9193079646,0.9473840969,0.9909249829,1.023801868,1.031470522,1.002513033,0.9504854583,0.8887272969,0.8428210346,0.8298982733,0.8616814391,0.9225423381,0.9149954242,0.876008026,0.9325999171,1.116410298,1.339877457,1.750292549,2.012387473,1.623571439,0.3989335719,-1.357258757,-3.560916298,-5.592184977,-6.678820421,-6.034457024,-3.825356429,-0.7962354711,1.797122634,3.350317972,3.421902317,2.529491409,1.469295458,0.7313183813,0.1808271866,-0.03593301268,-0.009441498354,0.01552378428,-0.06756058158,-0.1289520194,-0.1718677559,-0.2001639387,-0.2108787388
Botswana,2.27161207,2.365515749,2.469170342,2.571244565,2.665145787,2.753542497,2.847453671,2.945727482,3.03478624,3.112535407,3.183365784,3.235312389,3.289775777,3.378613522,3.50988464,3.65631353,3.799668881,3.898535026,3.923085148,3.861713371,3.745922533,3.615592679,3.502504885,3.408999674,3.344240603,3.296986337,3.242995121,3.17744031,3.115401495,3.057279321,2.998193303,2.936766026,2.863556289,2.767833348,2.645700469,2.504751718,2.372373978,2.243168713,2.088734732,1.903925942,1.706588326,1.497554787,1.316854527,1.210713398,1.201197377,1.257019123,1.33625602,1.391448995,1.405456219,1.3593347,1.272117766,1.178560843
Brazil,2.956706423,3.00135995,3.026983943,3.01109653,2.944145723,2.845112376,2.742251259,2.654338887,2.578709191,2.520701067,2.476666171,2.433582163,2.392336276,2.365686291,2.355757106,2.356674847,2.356634659,2.352238842,2.349087719,2.346460539,2.340837079,2.335928009,2.321567938,2.282773712,2.214394193,2.126456342,2.036187054,1.952688117,1.871804856,1.796116672,1.726496105,1.654580522,1.587895013,1.543014209,1.525221161,1.525090422,1.529418667,1.525726944,1.511003801,1.480377248,1.437317783,1.395827045,1.354495615,1.298827999,1.22587771,1.1429233,1.054307097,0.9741061319,0.9152846289,0.8853581455,0.8757862788,0.8725987571
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,4.496823077,4.424373182,4.376907229,4.371348862,4.40593273,4.463398826,4.512073077,4.54141426,4.574050065,4.601939144,4.620333638,4.625616656,4.602756557,4.536825231,4.422578626,4.276759426,4.136260637,3.997854299,3.824888147,3.615676179,3.392341103,3.168497468,2.978326745,2.850669129,2.79935637,2.799845892,2.807956944,2.806384774,2.81079344,2.81638831,2.820974733,2.828049471,2.827133405,2.80043801,2.74258658,2.664193095,2.581593329,2.504807701,2.428224378,2.354390485,2.283109576,2.211211015,2.141418322,2.081899643,2.03550593,1.997101417,1.961777574,1.924560959,1.884580735,1.839512446,1.791495855,1.743954305
Bulgaria,0.9529365382,0.9581558813,0.8752590336,0.8103783244,0.8160940496,0.7319110353,0.6547012022,0.6297474809,0.7119647427,0.7685096687,0.6547273625,0.5499965145,0.4652137422,0.5206334406,0.6679673607,0.4827393079,0.4331634607,0.5190988804,0.1118047546,0.1350115727,0.4024887447,0.3332688252,0.2958127833,0.2495466008,0.2339723097,-0.001473113502,-0.02651975453,0.1471092926,0.1123724238,-1.170038599,-1.803750479,-0.9904259801,-1.073853191,-0.7976658515,-0.3395860795,-0.4453985005,-0.5157298796,-0.6087973545,-0.6673027011,-0.5606482248,-0.4938964166,-1.851637793,-1.911020315,-0.5724069727,-0.5433754627,-0.5316788227,-0.5295719589,-0.5111874154,-0.4759365345,-0.5031924953,-0.6725415609,-0.7766578378
Burkina Faso,1.525917472,1.524066615,1.529025605,1.556497373,1.614592558,1.692659361,1.77641109,1.849797627,1.907525708,1.94382778,1.966065526,1.985447919,2.01128882,2.044213389,2.08703643,2.136574608,2.186061821,2.232795414,2.27964027,2.326177816,2.371733415,2.416257587,2.458659807,2.497555855,2.532370385,2.563650605,2.592735924,2.620071804,2.645128781,2.668027388,2.688820365,2.708995325,2.727545801,2.742197108,2.752568447,2.760434606,2.767449611,2.776181533,2.788247179,2.804612307,2.823870323,2.842426092,2.859938538,2.879025931,2.899832714,2.9209172,2.940733926,2.957599499,2.970687326,2.979426209,2.984427086,2.98576226
Burundi,1.801230991,1.766152339,1.738915036,1.740209182,1.779004228,1.834098859,1.929709255,1.99527818,1.931677819,1.703806147,1.384494184,1.029688586,0.7667444462,0.6969142997,0.8866237366,1.260959592,1.671929794,2.027770881,2.355036666,2.626649653,2.8441097,3.035918062,3.195907934,3.2875316,3.304170054,3.258983308,3.197497862,3.109993292,2.950485065,2.712400889,2.426813221,2.159940933,1.921333085,1.669293724,1.403053203,1.150453895,0.8752318996,0.6693067233,0.6775031622,0.9618071875,1.432872288,1.946713644,2.378057967,2.707764302,2.893496125,2.965588858,3.028103488,3.075143985,3.010916872,2.823380296,2.561452306,2.268321831
Cambodia,2.401923015,2.380812612,2.368876794,2.402476554,2.494876736,2.603516509,2.713300791,2.742400366,2.612388315,2.290201482,1.837668196,1.452147385,1.111144753,0.6189872492,-0.06649485699,-0.8385940442,-1.780257458,-2.559395045,-2.64917932,-1.713976062,-0.007915830289,1.996267641,3.648968761,4.659064958,4.84831142,4.516243799,4.090505375,3.812831996,3.604377629,3.518319121,3.502045898,3.467309501,3.363167615,3.21535625,3.017147265,2.788613264,2.560011071,2.348779571,2.149913004,1.968511855,1.804043299,1.647286543,1.502351533,1.383502538,1.295228613,1.232433989,1.17820216,1.132760342,1.111492715,1.116960858,1.140651853,1.173767507
Cameroon,2.069431814,2.129072487,2.188179852,2.242017245,2.288049108,2.329160039,2.370991619,2.416151868,2.462469378,2.510453853,2.560041491,2.602028942,2.644093959,2.702088347,2.779700218,2.864969694,2.953591352,3.022840197,3.051175618,3.030291367,2.978949987,2.914202541,2.863396227,2.842472734,2.860897799,2.901692431,2.94201927,2.962094727,2.959464839,2.928515943,2.877219253,2.825560587,2.77521597,2.711341318,2.632839913,2.54745008,2.459669926,2.382134414,2.325765087,2.29612806,2.285205847,2.279359238,2.270499536,2.261407571,2.249970483,2.237044873,2.224226547,2.213007752,2.203102945,2.194700462,2.186407347,2.177634145
Canada,2.298626535,2.00112211,1.859888233,1.862845928,1.885714943,1.810166597,1.862813771,1.799356505,1.613408503,1.359783472,1.3978316,1.496600637,1.595369674,1.69413871,1.792907747,1.891676784,1.322595092,1.175141392,1.003520715,0.9976693601,1.293244953,1.240595387,1.205555298,1.002811515,0.961733829,0.9294467034,1.004879395,1.311767682,1.291064804,1.783590046,1.493593109,1.360506045,1.227418982,1.094331918,0.9612448547,0.8281577912,1.077164681,1.057015395,0.8656136632,0.8273693182,0.8829985769,1.009521666,0.8971312767,0.9962327389,1.002034424,0.985903767,0.8139414275,1.079789571,1.175475786,1.22477123,1.168640257,1.039517903
Cape Verde,1.984159778,2.277443327,2.539855378,2.712896418,2.7662044,2.738776146,2.637799876,2.546300018,2.544720175,2.665892131,2.831734801,3.089428538,3.221630941,2.958372595,2.21344311,1.192894344,0.01734237711,-0.9615675887,-1.419125857,-1.108140764,-0.226042212,0.892531274,1.798181575,2.302712226,2.241578565,1.818983215,1.298758834,0.9543378434,0.856822511,1.111965477,1.597866109,2.128465451,2.518796868,2.729678221,2.705972681,2.524340915,2.307663796,2.136279483,1.992642325,1.898982496,1.837294157,1.781231997,1.702802004,1.597586924,1.457274539,1.29813767,1.132115335,0.9895117615,0.896136847,0.86824544,0.8865816158,0.9203503912
Cayman Islands,2.883489231,2.26046646,1.689168645,1.251344389,1.027086527,1.028138208,0.983539493,0.9964978848,1.420843951,2.349432908,3.507635322,4.696755584,5.607492691,6.157481985,6.343820927,6.255573938,6.182212746,6.099712744,5.775105662,5.224117725,4.556306561,3.856810716,3.322415574,3.183494432,3.488848118,4.077655303,4.69187788,5.126254797,5.345919411,5.297026874,5.103469599,4.925074605,4.805375827,4.641551697,4.432453206,4.219904004,3.899549215,3.642944256,3.727622303,4.214631339,4.871055545,5.578499529,5.973151055,5.808028218,5.012875586,3.891617546,2.725211111,1.784328323,1.120276506,0.8428078486,0.8339855291,0.8835121521
Central African Republic,1.611103477,1.696720874,1.777679414,1.852690386,1.920554875,1.979263243,2.043581403,2.098011945,2.112912379,2.079848778,2.019591098,1.952425012,1.909983657,1.911768945,1.971497865,2.072370913,2.162666285,2.243230137,2.358562861,2.513604884,2.680631421,2.867025941,3.006666268,3.020635283,2.882969358,2.655405974,2.392942466,2.185841607,2.08973195,2.140461259,2.283699658,2.442682392,2.547974825,2.588954047,2.544433712,2.441245915,2.338660712,2.251782181,2.146049405,2.021317472,1.890457224,1.752993036,1.636884774,1.576260987,1.586444295,1.646151975,1.718745389,1.779915605,1.834124706,1.873971766,1.902140103,1.930462313
Chad,2.076736981,2.11942916,2.153639878,2.167415113,2.155639356,2.129461704,2.089139444,2.060710777,2.072749339,2.136971538,2.23021317,2.34315446,2.428313334,2.441338083,2.363073406,2.231617838,2.092132907,1.995279707,1.959838143,2.004952528,2.108483808,2.21561135,2.314949051,2.441085329,2.594182056,2.757289232,2.929695084,3.076355801,3.157842073,3.16022157,3.113056221,3.056051616,3.020978329,3.010388119,3.033581384,3.080144395,3.108783268,3.129642198,3.187537543,3.289277706,3.406102508,3.532173814,3.611579532,3.58884608,3.445554494,3.230798029,3.001585831,2.813570818,2.681872422,2.624660462,2.618044424,2.622150676
Channel Islands,0.8242586617,0.8963691334,0.9620096821,1.012373062,1.045307225,1.057109858,1.060682857,1.058917516,1.04950712,1.034437061,1.008986472,0.9956379687,0.9728716025,0.8985365652,0.7592504744,0.584281672,0.3839534493,0.2205402553,0.1556604088,0.2244159069,0.3911296886,0.5784075321,0.7339411535,0.86542764,0.9511173687,0.9983594318,1.055230002,1.102881887,1.066190592,0.9242209965,0.716864349,0.4748336862,0.2659736375,0.1451004102,0.1484214593,0.2398353341,0.361486001,0.4580641874,0.5192572018,0.5269483235,0.498730068,0.4565355908,0.4312752523,0.4328186199,0.474892924,0.5392193056,0.615860815,0.6705066552,0.6719735333,0.6000221733,0.4797865203,0.3411150729
Chile,2.517258623,2.539408998,2.539503758,2.503663067,2.426451496,2.322014867,2.208381277,2.102387158,2.008210064,1.932138655,1.869049002,1.814558563,1.758283906,1.693575432,1.616717712,1.536407363,1.455133151,1.391677145,1.365701338,1.386822648,1.440776041,1.505981761,1.563541383,1.610655997,1.640387513,1.657606713,1.666365925,1.677585767,1.698727057,1.733662417,1.772795867,1.814625185,1.837596835,1.818502408,1.747109299,1.640979234,1.52448951,1.420202151,1.33288005,1.271179523,1.22843008,1.188641387,1.145608973,1.107642349,1.074521053,1.045315923,1.018922132,0.9943731445,0.9712586029,0.9489712068,0.9272368505,0.9064776296
